
[00:00:00.040 --> 00:00:09.440]   걸로
[00:04:09.340 --> 00:04:38.740]  , so, so there's, there's many ways. First, you need to be aware of the distance control. That's one of the things that was the best. To master the distance control, you need to master the footwork. To be always in balance and ready to explode. A lot of guys, they don't know how to manage distance control also because they don't have good footwork.
[00:04:38.780 --> 00:04:49.080]   work
[00:04:49.080 --> 00:04:50.080]   the which again
[00:04:50.080 --> 00:04:52.600]   Mehr No photograph . ... as high ac be actually has a
[00:04:52.600 --> 00:04:54.720]   그래도
[00:04:54.720 --> 00:05:04.680]  , it, acquire, ,,,,,,,,,,,,,,,,,, .. ,D.`R.=B� butterfly � haunted boaули perception free
[00:05:04.680 --> 00:05:07.640]   . esper什 whereas I'm in the dead service in the
[00:05:07.660 --> 00:05:17.940]   didnt make up for the fact that I'm here to see you coming by you in the
[00:05:17.940 --> 00:05:22.360]   destruction I'm here and I like a cool bro like a snake lunch itself on its
[00:05:22.360 --> 00:05:27.240]   bridge I'm using my body to hope so you're you have a false feeling of
[00:05:27.240 --> 00:05:33.180]   security now because you think I can't touch you but because of my leg boom and
[00:05:33.180 --> 00:05:36.540]   my way yes and I can pull it off and my job
[00:05:36.560 --> 00:06:05.520]   and I'm not doing this I'm doing purposeful and putting it down and I'm here and I'm attracting your attention here because I'm moving my hand boom once I said you want for twice now I have a perfect set up because not in finding out a short-term memory you always remember what hurts you the lack and if this is my job then I can I plant a seed in your mind and I can go hop and get in easier you finish up and you finish up
[00:06:05.560 --> 00:06:11.080]  ha
[00:06:11.080 --> 00:06:16.540]   connect where�
[00:06:16.540 --> 00:06:24.480]   drunk. That is a— — الك
[00:06:24.480 --> 00:06:33.080]  ,
[00:06:33.680 --> 00:06:42.840]   galaxy
[00:06:42.840 --> 00:06:43.960]   66áfic ad, but,,,,
[00:06:43.960 --> 00:06:58.740]   indirect
[00:07:02.460 --> 00:07:12.840]   guess
[00:07:12.840 --> 00:07:31.200]   100, I,
[00:07:31.460 --> 00:07:49.440]   rend, I'm sprawling, yes! Very nice. You feel the difference? Yeah. If he's too strong, you go on the other side. Don't force, don't waste your energy for nothing. You try to be as economic as you can, as possibly you can be.
[00:07:49.440 --> 00:08:00.060]   What about on the ground, what's the difference between getting free or not? Well, there's a lot of difference. I believe in the jiu-jitsu, especially in the guard,
[00:08:01.180 --> 00:08:11.480]   obrig
[00:08:57.180 --> 00:08:58.180]   all the time.
[00:08:58.180 --> 00:09:01.180]   So you are very close to you or I'm very far.
[00:09:01.180 --> 00:09:02.180]   Can you try to get up?
[00:09:02.180 --> 00:09:03.180]   I'm very far.
[00:09:03.180 --> 00:09:04.180]   Yeah, if I can't get up, no problem.
[00:09:04.180 --> 00:09:11.180]   I'm using my leg to push you away or I can use the tip of my feet to adjust them.
[00:09:11.180 --> 00:09:14.180]   So you need to be aware that I can't get you in there.
[00:09:14.180 --> 00:09:17.180]   Yeah, so it's either very close or very far.
[00:09:17.180 --> 00:09:18.180]   Put it on top.
[00:09:18.180 --> 00:09:19.180]   On top, yeah.
[00:09:19.180 --> 00:09:25.180]   So if I'm on top, the best position for me to be, ultimately, is not even mount,
[00:09:25.180 --> 00:09:26.180]   is to have a good position.
[00:09:26.180 --> 00:09:27.180]   Okay.
[00:09:27.180 --> 00:09:27.180]   The best position for me to be, ultimately, is not even mount, is to have a good position.
[00:09:27.180 --> 00:09:27.180]   The best position for me to be, ultimately, is not even mount, is to have a good position.
[00:09:27.720 --> 00:09:31.220]   And now, your back, left you to the floor from this position.
[00:09:31.220 --> 00:09:35.220]   Because now you cannot hit me, I can hit you and I can either knock you out or commit you.
[00:09:35.220 --> 00:09:36.220]   This is the worst.
[00:09:36.220 --> 00:09:37.220]   Mount is the second best because I'm having a lot of control.
[00:09:37.220 --> 00:09:38.220]   Mount and also with my knees under your armpits, the worst would be in your guard.
[00:09:38.220 --> 00:09:53.220]   So it's not as bad as it would be in a GT2 competition because I have the ground,
[00:09:53.220 --> 00:09:54.220]   I can't even get up.
[00:09:54.220 --> 00:09:55.220]   So I'm not even going to get up.
[00:09:55.220 --> 00:09:56.220]   I'm not even going to get up.
[00:09:56.220 --> 00:09:57.220]   I'm not even going to get up.
[00:09:57.220 --> 00:09:57.220]   So I'm not even going to get up.
[00:09:57.260 --> 00:10:08.080]  ~
[00:10:08.080 --> 00:10:24.920]   but the比較 at my across這 statut all in just, and, and, and, and, and, Or, sólo cam,
[00:10:25.920 --> 00:10:35.980]   the
[00:10:35.980 --> 00:10:40.100]   como poison,,,, Sun It I check the walls don
[00:10:52.960 --> 00:11:02.680]   x
[00:11:02.680 --> 00:11:04.860]   just,,,,
[00:11:21.920 --> 00:11:50.880]   the adverse reaction. We got a lot of heart before we stopped. So I've always found that by sparring away the most important things and the two people get into a fight, skill little trumps everything else in terms of what's going to be in the outcome. Skill beats heart. Skill beats the opponent. That's not to say other things aren't relevant, but skill is more relevant. From what I understand, the proposed opponent is almost two years of being assisted. That's a big advantage.
[00:11:50.900 --> 00:12:19.860]   So it will be an uphill battle. I will say however though, that he deeply impressed both George and myself with his overall ability to watch and study his very complete lead, his strength intelligence and see what is the crux of the problem, identifies what needs to be done, but I also believe that he's probably one of the craziest human beings on the planet.
[00:12:19.900 --> 00:12:30.060]   Med
[00:12:30.060 --> 00:12:31.480]   bring, AA B. TL
[00:12:48.800 --> 00:12:59.120]   che
[00:12:59.120 --> 00:12:59.820]   90 bon
[00:12:59.820 --> 00:13:00.920]   し it is a fireio Dir Because . . ., the, the, the, the, the, the, the, the, the, the, inexшие leanednej Buch compart هي
[00:13:00.920 --> 00:13:18.780]   bath was stream notice Apple Hmm expecting
[00:13:18.820 --> 00:13:21.580]   le
[00:13:21.580 --> 00:13:28.940]   don follow the inspire the

