
[00:00:00.000 --> 00:00:20.040]   so good morning everybody there we go my name is Dave Burnison I'm a senior devops advocate with
[00:14:43.040 --> 00:14:52.040]   Being able to tap into knowledge bases of information that you have and everything.
[00:14:52.040 --> 00:14:57.040]   So for this, I'm actually going to do a live demo if I can find.
[00:14:57.040 --> 00:14:59.040]   Here we go.
[00:14:59.040 --> 00:15:06.040]   So here I am on GitHub.
[00:15:06.040 --> 00:15:11.040]   Let me reload this.
[00:15:11.040 --> 00:15:15.040]   Get logged in here.
[00:15:15.040 --> 00:15:16.040]   There we go.
[00:15:16.040 --> 00:15:22.040]   So I'm on github.com/github, you know, where we have our repositories and everything.
[00:15:22.040 --> 00:15:31.040]   And you can see here now, we actually have the chat available to us right inside of github.com.
[00:15:31.040 --> 00:15:36.040]   So I can come in here and I can ask general questions.
[00:15:36.040 --> 00:15:43.040]   Like let's say I'm starting a new project and I know we want to put feature flags into our solution.
[00:15:43.040 --> 00:15:52.040]   So I could say, how do I, whoops, if I type my little shortcut right here.
[00:15:52.040 --> 00:15:54.040]   How do I get started with feature flags here at GitHub?
[00:15:54.040 --> 00:16:00.040]   Now if I don't specify that I want to search our knowledge bases, I'm going to get a very generic answer.
[00:16:00.040 --> 00:16:02.040]   Choose a feature flag library.
[00:16:02.040 --> 00:16:07.040]   Integrate that library and such.
[00:16:07.040 --> 00:16:13.040]   But now we have the capability to add in your own knowledge bases.
[00:16:13.040 --> 00:16:23.040]   So knowledge bases are collections of markdown files that are stored right inside of your repos themselves.
[00:16:23.040 --> 00:16:30.040]   So if I say, hey, I, I want as context to look at the GitHub engineering documentation.
[00:16:30.040 --> 00:16:40.040]   And then I ask that same, ask that same, well, yeah, I should have pulled out my other keyboard.
[00:16:40.040 --> 00:16:42.040]   This keyboard is a little sticky.
[00:16:42.040 --> 00:16:44.040]   Come on now.
[00:16:44.040 --> 00:16:54.040]   There we go.
[00:16:54.040 --> 00:16:57.040]   How do I get started using feature flags here at GitHub?
[00:16:57.040 --> 00:17:08.040]   Now I'm going to see a different answer with more specifics based on GitHub engineering's documentation and everything.
[00:17:08.040 --> 00:17:12.040]   So, and actually this is still somewhat generic.
[00:17:12.040 --> 00:17:20.040]   It's, it's, it, but it is referencing documentation from our, from our knowledge base.
[00:17:20.040 --> 00:17:27.040]   So I'm going to do this again because I typically get a little different answer there.
[00:17:27.040 --> 00:17:32.040]   There we go.
[00:17:32.040 --> 00:17:34.040]   Now my shortcut's working.
[00:17:34.040 --> 00:17:39.040]   There we go.
[00:17:39.040 --> 00:17:41.040]   This is more what I was hoping to see.
[00:17:41.040 --> 00:17:43.040]   So now it's giving me specifics.
[00:17:43.040 --> 00:17:49.040]   You know, it's saying, hey, we use the flipper framework here internally.
[00:17:49.040 --> 00:17:56.040]   So it's showing me specifics about here's what I need to actually put in my code to get started with feature flags.
[00:17:56.040 --> 00:17:59.040]   So that's using knowledge bases.
[00:17:59.040 --> 00:18:00.040]   All right.
[00:18:00.040 --> 00:18:04.040]   Now I'm going to flip over to another environment.
[00:18:04.040 --> 00:18:07.040]   This environment uses enterprise managed users.
[00:18:07.040 --> 00:18:12.040]   So let me do a refresh here because I'll have to re-log in.
[00:18:12.040 --> 00:18:16.040]   There we go.
[00:18:16.040 --> 00:18:23.040]   So, yeah, I have a separate identity under enterprise managed users because now this is for everything internal.
[00:18:23.040 --> 00:18:33.040]   You know, this is a walled garden to ensure that I, nobody can accidentally take a private repository and make it public and things like that.
[00:18:33.040 --> 00:18:36.040]   So a lot of the security that enterprises are looking for.
[00:18:36.040 --> 00:18:45.040]   But in this case, I have, this is, this is a parts unlimited website.
[00:18:45.040 --> 00:18:53.040]   So if I open up, you know, if I open up the website, it's a site for selling auto parts, right?
[00:18:53.040 --> 00:18:56.040]   And how many recognize parts unlimited?
[00:18:56.040 --> 00:19:01.040]   Anybody ever read the Phoenix project by Jean Kim?
[00:19:01.040 --> 00:19:02.040]   Okay.
[00:19:02.040 --> 00:19:03.040]   Yeah.
[00:19:03.040 --> 00:19:06.040]   Parts unlimited was the fictitional company that was in that book.
[00:19:06.040 --> 00:19:07.040]   But anyway.
[00:19:07.040 --> 00:19:08.040]   Yeah.
[00:19:08.040 --> 00:19:16.040]   So parts unlimited started out as a brick and mortar store in the Washington area.
[00:19:16.040 --> 00:19:24.040]   So right now sales tax is kind of hard coded to sales tax for Washington.
[00:19:24.040 --> 00:19:26.040]   But that, that's not what we want.
[00:19:26.040 --> 00:19:33.040]   Now that we're an e-commerce site, we have to be able to calculate sales tax wherever the buyer lives, right?
[00:19:33.040 --> 00:19:45.040]   So I'm going to bring up GitHub co-pilot chat here, enterprise chat, and ask where, come on, my keys will cooperate.
[00:19:45.040 --> 00:19:52.040]   Where in this repo do we have code that calculates sales tax?
[00:19:52.040 --> 00:19:56.040]   So it'll take a moment, but it's looking.
[00:19:56.040 --> 00:20:07.040]   So something you, something to notice here is it's saying this repository has been indexed for improved understanding and accuracy.
[00:20:07.040 --> 00:20:14.040]   So with GitHub co-pilot enterprise, you go through and pick what repos you want to index for these types of searches.
[00:20:14.040 --> 00:20:23.040]   So it's telling me, yes, there's the default shipping tax calculator CS file that includes this calculate tax function.
[00:20:23.040 --> 00:20:26.040]   And I'm actually going, oh, come on.
[00:20:26.040 --> 00:20:27.040]   Yeah.
[00:20:27.040 --> 00:20:28.040]   There we go.
[00:20:28.040 --> 00:20:29.040]   Copy, calculate tax there.
[00:20:29.040 --> 00:20:33.040]   But then it's also showing me who the other callers are of calculate tax.
[00:20:33.040 --> 00:20:48.040]   So I get a good picture, you know, of how this is working throughout the entire solution or repository.
[00:20:48.040 --> 00:20:54.040]   So we can open that file up and we'll see, okay, here's calculate tax.
[00:20:54.040 --> 00:20:59.040]   And yeah, in fact, it is hard coded right now to certain tax rates.
[00:20:59.040 --> 00:21:04.040]   So 7.5% sales tax for state of Washington.
[00:21:04.040 --> 00:21:07.040]   That might even be out of date.
[00:21:07.040 --> 00:21:10.040]   But now I'm going to ask co-pilot.
[00:21:10.040 --> 00:21:16.040]   This is where kind of like the, the Bing, built in Bing search comes into play.
[00:21:16.040 --> 00:21:23.040]   Are there any public APIs out there that I can use to calculate sales tax in any postal code?
[00:21:23.040 --> 00:21:31.040]   So now it's going to come back with a list of APIs that I could use here.
[00:21:31.040 --> 00:21:42.040]   Free sales tax API, tax APIs, sales tax USA, Avalara, et cetera.
[00:21:42.040 --> 00:21:47.040]   So now I want to leverage GitHub co-pilot enterprise to say, hey,
[00:21:47.040 --> 00:21:56.040]   what would that calculate tax function look like if I wanted to use, let's say, the Avalara API?
[00:21:56.040 --> 00:22:02.040]   So the, but what I want to do is first kind of set the context for co-pilot.
[00:22:02.040 --> 00:22:06.040]   So I'm going to say, now did that paste?
[00:22:06.040 --> 00:22:08.040]   Nope, doesn't look like it.
[00:22:08.040 --> 00:22:10.040]   Let's see if I can spell it right.
[00:22:10.040 --> 00:22:14.040]   Calcule, and see if my keyboard will cooperate.
[00:22:14.040 --> 00:22:28.040]   There we go, calculate tax.
[00:22:28.040 --> 00:22:34.040]   So now I'm telling co-pilot that's the context that I'm talking about.
[00:22:34.040 --> 00:22:54.040]   So now I will say, how would this, how would I update this code to use Avalara API?
[00:22:54.040 --> 00:23:10.040]   All right, and you can see this, this is live demo responding in real time.
[00:23:10.040 --> 00:23:18.040]   So now if we look here at the differences, kind of try to zoom in here.
[00:23:18.040 --> 00:23:24.040]   Yeah, you can see where we were calculating, you know, the tax rate here hard coded.
[00:23:24.040 --> 00:23:31.040]   Now it is showing me how to, it's doing the same thing.
[00:23:31.040 --> 00:23:34.040]   It's still returning taxable times tax rate and all that.
[00:23:34.040 --> 00:23:42.040]   But here it is using that Avalara API and everything instead.
[00:23:42.040 --> 00:23:49.040]   Now another key thing here, if I scroll down and look at some of the additional explanation it gave me.
[00:23:49.040 --> 00:23:53.040]   It said, hey, there's one possible vulnerability here.
[00:23:53.040 --> 00:24:00.040]   You're, when you're working with an API like that, you're going to have an API key that you have to store.
[00:24:00.040 --> 00:24:06.040]   So it's telling me, make sure you do not hard code that API key in your code.
[00:24:06.040 --> 00:24:14.040]   Make sure you store that in HashiCorp Vault or Azure Key Vault or GitHub Secrets or something like that.
[00:24:14.040 --> 00:24:23.040]   So it's helping you with some of those security best practices as well along the way.
[00:24:23.040 --> 00:24:24.040]   All right.
[00:24:24.040 --> 00:24:32.040]   A couple more things and then kind of, about five, six minutes left.
[00:24:32.040 --> 00:24:33.040]   So yeah.
[00:24:33.040 --> 00:24:38.040]   There's demos out there on YouTube for GitHub Copilot Enterprise and everything also.
[00:24:38.040 --> 00:24:39.040]   Oh.
[00:24:39.040 --> 00:24:40.040]   Yeah.
[00:24:40.040 --> 00:24:42.040]   So that was the chat in the repository.
[00:24:42.040 --> 00:24:51.040]   One other thing I want to show you is we, we have it now so that when we're looking at pull requests.
[00:24:51.040 --> 00:24:54.040]   So here's, here's an existing pull request.
[00:24:54.040 --> 00:24:58.040]   And I was kind of lazy when I first created this pull request.
[00:24:58.040 --> 00:25:01.040]   I've got GitHub integrated with Azure Boards.
[00:25:01.040 --> 00:25:09.040]   So I referred to the Azure Boards, user stories and work tasks and stuff that I'm completing as part of this.
[00:25:09.040 --> 00:25:12.040]   But I didn't provide any other kind of a description.
[00:25:12.040 --> 00:25:23.040]   Well now, with GitHub Copilot chat, I can edit this and you'll see we have the Copilot icon in here as well.
[00:25:23.040 --> 00:25:30.040]   So I could come in here and say, hey Copilot, generate a summary for me.
[00:25:30.040 --> 00:25:38.040]   So, how many times do developers write nice summaries that anybody could read?
[00:25:38.040 --> 00:25:41.040]   You know, getting ready to review the code and everything.
[00:25:41.040 --> 00:25:42.040]   Yeah.
[00:25:42.040 --> 00:25:43.040]   Not very, not very often.
[00:25:43.040 --> 00:25:51.040]   But with Copilot, it's going to look at all the changes that you've made, provide a nice summary paragraph,
[00:25:51.040 --> 00:25:55.040]   and then file by file list out all of the changes.
[00:25:55.040 --> 00:25:56.040]   There we go.
[00:25:56.040 --> 00:25:58.040]   Just took a few seconds.
[00:25:58.040 --> 00:26:01.040]   So now I have a nice summary here.
[00:26:01.040 --> 00:26:09.040]   And then you can see, yeah, file by file, it's listing out each change in each file kind of a thing.
[00:26:09.040 --> 00:26:19.040]   So, and it makes it easy for developers then to provide a lot of information and, you know, not have to spend a lot of time doing that.
[00:26:19.040 --> 00:26:28.040]   Now the other thing that you can do here when you're looking at a pull request, and we even have more coming with this.
[00:26:28.040 --> 00:26:29.040]   Okay.
[00:26:29.040 --> 00:26:30.040]   Come on, Internet.
[00:26:30.040 --> 00:26:31.040]   You can do it.
[00:26:31.040 --> 00:26:32.040]   There we go.
[00:26:32.040 --> 00:26:38.040]   So I can go in and look at one of my changes.
[00:26:38.040 --> 00:26:41.040]   I'm going to skip over this one for the moment.
[00:26:41.040 --> 00:26:43.040]   Yeah, let me just look at this change.
[00:26:43.040 --> 00:26:44.040]   And I can come in.
[00:26:44.040 --> 00:26:45.040]   Whoops.
[00:26:45.040 --> 00:26:46.040]   That's not what I want.
[00:26:46.040 --> 00:26:47.040]   Here we go.
[00:26:47.040 --> 00:26:49.040]   You'll see the Copilot icon here too.
[00:26:49.040 --> 00:26:51.040]   Now this is obviously a very simple change.
[00:26:51.040 --> 00:26:54.040]   We're just doing some rebranding of the website here.
[00:26:54.040 --> 00:27:03.040]   But if this were more complex, you know, I could say explain and have Copilot explain the change to me.
[00:27:03.040 --> 00:27:08.040]   So, yeah, in this case, it's just that simple changing from Fabricam to Contoso.
[00:27:08.040 --> 00:27:18.040]   But if this were more complex, you know, the reviewer can look at this, look back at that user story and say, okay, by looking at the user story, I know what the intent was.
[00:27:18.040 --> 00:27:25.040]   Now, does Copilot agree that what's actually implemented matches that intent?
[00:27:25.040 --> 00:27:29.040]   So that's another way to use Copilot Enterprise.
[00:27:29.040 --> 00:27:32.040]   So we talked about the chat.
[00:27:32.040 --> 00:27:40.040]   We talked about searching the knowledge bases, pull request summaries and such.
[00:27:40.040 --> 00:27:44.040]   This works with -- Copilot works with any language.
[00:27:44.040 --> 00:27:50.040]   The large language models have been built off of the vast majority of the open source code that's out there.
[00:27:50.040 --> 00:27:53.040]   There's even COBOL code out there.
[00:27:53.040 --> 00:28:01.040]   So I found a COBOL repository out there that has COBOL examples in it.
[00:28:01.040 --> 00:28:06.040]   So I said, hey, what does this code do?
[00:28:06.040 --> 00:28:14.040]   And GitHub Copilot was able to provide an explanation for me, you know, simple Fibonacci sequence.
[00:28:14.040 --> 00:28:20.040]   So you could then next prompt and say, hey, how would -- what would that code look like in Java?
[00:28:20.040 --> 00:28:24.040]   What would that code look like in C# or something?
[00:28:24.040 --> 00:28:31.040]   So use this as a way to modernize your COBOL and other code.
[00:28:31.040 --> 00:28:33.040]   The next one is Copilot workspace.
[00:28:33.040 --> 00:28:34.040]   Ah, I ran out of time.
[00:28:34.040 --> 00:28:37.040]   I actually don't -- let's see.
[00:28:37.040 --> 00:28:44.040]   Let's go -- all right, let me do this.
[00:28:44.040 --> 00:28:49.040]   I'm not sure if there's anybody coming in the room right away here at 11:15.
[00:28:49.040 --> 00:28:53.040]   Let me do this first just in case there is somebody coming in next.
[00:28:53.040 --> 00:29:13.040]   So if you want to take a screenshot of this URL, we have a page out there that has, I don't know, 15, 20 links to additional training, some of our key blog posts, and things like that that we've recently had.
[00:29:13.040 --> 00:29:16.040]   And, yeah, this will be dynamic.
[00:29:16.040 --> 00:29:22.040]   As more and more things come in, we'll add to that and everything.
[00:29:22.040 --> 00:29:32.040]   Also, yes, we'll be at the GitHub booth where we can answer additional questions and things like that.
[00:29:32.040 --> 00:29:35.040]   So, yep, I see people moving on.
[00:29:35.040 --> 00:29:36.040]   Thank you very much for your time.
[00:29:36.040 --> 00:29:41.040]   So, yeah, stop by the Microsoft booth and we'll show you Copilot workspace.
[00:29:41.040 --> 00:29:42.040]   We'll see you next time.
[00:29:42.040 --> 00:29:42.040]   Peace.
[00:29:42.040 --> 00:29:43.040]   Peace.
[00:29:43.040 --> 00:29:43.040]   Peace.
[00:29:43.040 --> 00:29:44.040]   Peace.
[00:29:44.040 --> 00:29:44.040]   Peace.
[00:29:44.040 --> 00:29:48.940]   We'll see you next time.

