
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:03:28.000 --> 00:03:28.840]   that showed--
[00:03:28.840 --> 00:03:30.360]   - Right, maybe you should describe those,
[00:03:30.360 --> 00:03:31.600]   'cause those are beautiful experiments.
[00:03:31.600 --> 00:03:32.960]   - They are beautiful experiments.
[00:03:32.960 --> 00:03:35.680]   He took these, you know, college students
[00:03:35.680 --> 00:03:39.400]   that had a late onset of sleep and late waking time.
[00:03:39.400 --> 00:03:41.000]   And then he said, "Let's go camping
[00:03:41.000 --> 00:03:43.460]   "and just don't use any artificial light.
[00:03:43.460 --> 00:03:47.460]   "And you could go to sleep as late or as early as you want
[00:03:47.460 --> 00:03:49.040]   "and wake up as late as early."
[00:03:49.040 --> 00:03:52.760]   And he found a huge shift in their sleep pattern
[00:03:52.760 --> 00:03:55.160]   just by exposing them to the light-dark cycle.
[00:03:55.160 --> 00:03:56.280]   I mean, so--
[00:03:56.280 --> 00:03:57.400]   - And it lasted.
[00:03:57.400 --> 00:03:58.240]   - And it lasted.
[00:03:58.240 --> 00:03:59.080]   - Even after they came back.
[00:03:59.080 --> 00:03:59.920]   - Exactly.
[00:03:59.920 --> 00:04:00.740]   - I think it was two days of camping,
[00:04:00.740 --> 00:04:01.580]   reset the circadian clock.
[00:04:01.580 --> 00:04:03.120]   - Seven days, but it lasted.
[00:04:03.120 --> 00:04:04.680]   Yeah, it's pretty amazing.
[00:04:04.680 --> 00:04:06.500]   Yeah, it's really incredible.
[00:04:06.500 --> 00:04:11.160]   - Okay, so get bright light of some sort early in the day,
[00:04:11.160 --> 00:04:13.480]   ideally sunlight, even on a cloudy day,
[00:04:13.480 --> 00:04:15.440]   it's going to be brighter than indoor light.
[00:04:15.440 --> 00:04:16.320]   - So that's easy.
[00:04:16.320 --> 00:04:17.160]   - Okay, so then--
[00:04:17.360 --> 00:04:18.800]   - And the other thing that I would like
[00:04:18.800 --> 00:04:22.140]   to mention to people, if you think it's very dim outside,
[00:04:22.140 --> 00:04:24.280]   let's say it's very cloudy, stay longer.
[00:04:24.280 --> 00:04:27.040]   So remember, intensity is only one component.
[00:04:27.040 --> 00:04:28.600]   Duration is also important,
[00:04:28.600 --> 00:04:31.260]   because remember that the circadian system,
[00:04:31.260 --> 00:04:32.720]   it's not like the image system.
[00:04:32.720 --> 00:04:35.080]   In the image system, you have to change every second
[00:04:35.080 --> 00:04:36.720]   because you're looking at different objects.
[00:04:36.720 --> 00:04:38.760]   You have to change your perception.
[00:04:38.760 --> 00:04:41.880]   But for the circadian system, it's trying to figure out
[00:04:41.880 --> 00:04:44.680]   where am I in the day-night cycle?
[00:04:44.680 --> 00:04:46.740]   So the more you give them the information,
[00:04:46.740 --> 00:04:47.760]   the better you are.
[00:04:47.760 --> 00:04:50.280]   So if it's very bright, you don't need a lot,
[00:04:50.280 --> 00:04:53.440]   because it's clearly going to make you fire like crazy.
[00:04:53.440 --> 00:04:55.400]   But if it's not bright, stay longer.
[00:04:55.400 --> 00:04:58.440]   Stay for one hour, have your coffee outside
[00:04:58.440 --> 00:04:59.480]   or something like that.
[00:04:59.480 --> 00:05:00.960]   It's just going to help.
[00:05:00.960 --> 00:05:02.800]   - I think you said something extremely important,
[00:05:02.800 --> 00:05:05.000]   which is that this circadian system
[00:05:05.000 --> 00:05:07.960]   is trying to figure out when you are in time.
[00:05:07.960 --> 00:05:08.800]   - Exactly.
[00:05:08.800 --> 00:05:09.640]   - Not where you are in space.
[00:05:09.640 --> 00:05:11.240]   - Sorry, I said where you are in time.
[00:05:11.240 --> 00:05:12.320]   I meant when you are.
[00:05:12.320 --> 00:05:13.480]   - Oh, no, no, I wasn't correcting you.
[00:05:13.480 --> 00:05:15.820]   I just meant that, I think fundamentally,
[00:05:15.820 --> 00:05:19.620]   that's the incredible thing about this system,
[00:05:19.620 --> 00:05:22.540]   that you have this clock, this 24-hour clock in your brain,
[00:05:22.540 --> 00:05:25.300]   but it needs to be synchronized to the outside.
[00:05:25.300 --> 00:05:27.580]   So could we go a little deeper
[00:05:27.580 --> 00:05:30.180]   into this circadian setting behavior
[00:05:30.180 --> 00:05:33.060]   and come up with some general rules of thumb?
[00:05:33.060 --> 00:05:37.000]   So let's say it's a very bright day, extremely bright.
[00:05:37.000 --> 00:05:39.280]   No clouds, sun's out.
[00:05:39.280 --> 00:05:42.540]   You said 10 minutes, 15 minutes.
[00:05:42.540 --> 00:05:44.780]   And I'll tell you, if you're sensitive,
[00:05:44.780 --> 00:05:46.460]   you don't even have to go in the sun.
[00:05:46.460 --> 00:05:47.860]   You could be in the shade.
[00:05:47.860 --> 00:05:50.980]   There's going to be so many photons out there in the shade.
[00:05:50.980 --> 00:05:52.060]   It's going to be perfect.
[00:05:52.060 --> 00:05:54.100]   You don't even have to see the sun.
[00:05:54.100 --> 00:05:55.900]   You don't have to have the sun.
[00:05:55.900 --> 00:05:57.060]   It's great for vitamin D.
[00:05:57.060 --> 00:05:58.020]   That's a different story.
[00:05:58.020 --> 00:06:01.900]   You could do this for your skin and protect your skin.
[00:06:01.900 --> 00:06:03.520]   That's not my area of expertise.
[00:06:03.520 --> 00:06:07.460]   But for that effect on the circadian system,
[00:06:07.460 --> 00:06:10.700]   as long as you're outside in the shade and it's a sunny day,
[00:06:10.700 --> 00:06:13.300]   10 to 15 minutes should be ample amount.
[00:06:13.300 --> 00:06:16.980]   - Okay, and then let's say it's kind of overcast.
[00:06:16.980 --> 00:06:20.680]   It's not particularly bright or there's solid cloud cover,
[00:06:20.680 --> 00:06:25.020]   but obviously the sun is out, but it's not as bright.
[00:06:25.020 --> 00:06:27.100]   How long do you think it would take to set the clock?
[00:06:27.100 --> 00:06:29.060]   - 10 to 15 should be sufficient.
[00:06:29.060 --> 00:06:31.500]   Stay for half an hour, stay for 45 minutes.
[00:06:31.500 --> 00:06:34.560]   If it's very dark cloud, yeah, stay for longer.
[00:06:34.560 --> 00:06:37.140]   [upbeat music]
[00:06:37.980 --> 00:06:40.560]   [upbeat music]
[00:06:40.560 --> 00:06:42.220]   (upbeat music)

