
[00:00:00.000 --> 00:00:04.860]   Amid the dozens of papers that have come out in the last 10 days, there were a couple that
[00:05:37.600 --> 00:06:07.580]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:06:07.580 --> 00:06:37.560]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:06:37.560 --> 00:07:07.540]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:07:07.540 --> 00:07:37.520]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:07:37.520 --> 00:08:07.500]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:08:07.500 --> 00:08:37.480]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:08:37.480 --> 00:09:07.460]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:09:07.460 --> 00:09:37.440]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:09:37.440 --> 00:10:07.420]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:10:07.420 --> 00:10:37.400]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:10:37.400 --> 00:11:07.380]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:11:07.380 --> 00:11:37.360]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:11:37.360 --> 00:12:07.340]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:12:07.340 --> 00:12:37.320]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:12:37.320 --> 00:13:07.300]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:13:07.300 --> 00:13:37.280]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:13:37.280 --> 00:14:07.260]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:14:07.260 --> 00:14:37.240]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:14:37.240 --> 00:15:07.220]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:15:07.220 --> 00:15:37.200]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:15:37.200 --> 00:16:07.180]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:16:07.180 --> 00:16:37.160]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:16:37.160 --> 00:17:07.140]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.
[00:17:07.140 --> 00:17:37.120]   And then I'm going to show you the example and then explain why I think GPT-4 and all other language models are the same.

