
[00:00:00.000 --> 00:00:08.920]   so there's a myth that coca-cola at one point had cocaine in it not just the coca leaf but
[00:03:26.080 --> 00:03:32.080]   uh a lot of people probably don't know this but cocaine is the best local anesthetic that's ever
[00:03:32.080 --> 00:03:37.920]   been discovered uh it was the template for all the local anesthetics that we use now like lidocaine
[00:03:37.920 --> 00:03:46.240]   or bapivacaine um it was the template and it is still the best one that we have and it's used almost
[00:03:46.240 --> 00:03:52.480]   exclusively for nasal and eye surgeries now where you have to stay awake and you have to be functioning and we
[00:03:52.480 --> 00:03:59.920]   we can't intubate you and we can't do these things so this is the ideal uh drug um it's also obviously
[00:03:59.920 --> 00:04:06.720]   put into lots of drug testing kits and supplies and whatnot for for the forensics industries
[00:04:06.720 --> 00:04:15.360]   but what's the fate of what's left right well that coca leaf extract the dealkalinated extract
[00:04:15.360 --> 00:04:25.680]   decoconized extract if you will um is the secret sauce if you will for coca-cola still so that is a
[00:04:25.680 --> 00:04:34.800]   grass substance a gras generally recognized as safe food substance and that is the flavoring agent that
[00:04:34.800 --> 00:04:41.600]   gives coca-cola its unique flavor and there was a period of time i believe is in the 80s where coca-cola
[00:04:42.880 --> 00:04:50.400]   really wanted to distance itself from the cocaine industry cocaine became hugely the drug of choice
[00:04:50.400 --> 00:04:58.640]   sort of drug of abuse len bias one nba basketball player died from overdose it just became a very
[00:04:58.640 --> 00:05:05.440]   nationally uh aware drug of abuse and there was a problem associated with cocaine and so coca-cola
[00:05:05.440 --> 00:05:11.120]   said we're gonna cut our ties with the coca plant completely they came out with this product called new
[00:05:11.120 --> 00:05:18.960]   coke and it didn't last long because the flavor profile couldn't be replicated to the old coke and
[00:05:18.960 --> 00:05:28.000]   so indeed they re uh re-upped their their sort of contract uh and have been bringing it in ever since
[00:05:28.000 --> 00:05:37.360]   and to this day coca-cola classic and coke zero are the two products interestingly enough um you know diet
[00:05:37.360 --> 00:05:42.560]   coke does not taste very much like coca-cola original and a lot of people complained about that for a long
[00:05:42.560 --> 00:05:50.160]   time um they got smart and made this product called coke zero that has the flavoring agent from the coca
[00:05:50.160 --> 00:05:58.000]   plant in it and lo and behold everyone started saying gosh this tastes a lot more like coca-cola does well
[00:05:58.000 --> 00:06:04.640]   yeah it's got the flavoring ingredient in it and so everybody in the united states almost has had a
[00:06:04.640 --> 00:06:12.560]   coke at one point at a time so you've all had coca leaf already in your dietary chain and i think it'll
[00:06:12.560 --> 00:06:19.840]   be interesting to see where things develop as we start to do more research as the world health organization
[00:06:19.840 --> 00:06:29.120]   and reconsiders um removing uh coca leaf from an international ban and and looking at it as a potential product
[00:06:29.120 --> 00:06:37.760]   to work into food products and develop um further and so you know it supposedly has no abuse potential as the leaf
[00:06:38.800 --> 00:06:46.400]   but again it's that story of isolating that one alkaloid out and sort of destroying the rest of it
[00:06:46.400 --> 00:06:54.240]   forever however coca-cola was smart enough to keep sort of a monopoly if you will on on keeping that plant
[00:06:54.240 --> 00:07:02.400]   alive uh in their product and so it's it's there and um the next time you have a coca-cola or coke zero
[00:07:03.520 --> 00:07:10.800]   just realized that it's got natural product in it that's incredible and i'll keep that in mind the next
[00:07:10.800 --> 00:07:19.440]   time i have a coke zero is there any evidence that what's still retained from the coca plant in coca-cola
[00:07:19.440 --> 00:07:26.320]   is psychoactive and not just there for flavor that's a great question and that's been debated quite a bit
[00:07:26.320 --> 00:07:32.160]   so the one thing that we know um is that probably it is not having any psychoactivity
[00:07:32.160 --> 00:07:39.920]   um and the the other thing that we know um back to my pharmacy days we used to sell coke syrup so
[00:07:39.920 --> 00:07:49.040]   when coke is sold uh for fountain beverages um it's it's the syrup that's then blended with the carbonated
[00:07:49.040 --> 00:07:55.360]   water uh to make coca-cola and that's why a lot of people say coca-cola out of a fountain is so much
[00:07:55.360 --> 00:08:01.840]   better than out of a can or a bottle because it is it is a sort of formulated on the spot product if you
[00:08:01.840 --> 00:08:12.720]   will uh yeah on tap and um coke syrup we used to sell out of the pharmacy for uh nausea and vomiting
[00:08:12.720 --> 00:08:19.120]   particularly in pregnant women is one of the safest things you could use and it really calms and settles
[00:08:19.120 --> 00:08:29.280]   the gi tract and this is interesting because one of the big um benefits that people report drinking coca
[00:08:29.280 --> 00:08:37.600]   tea is that it soothes their gi tract and it calms their gi tract and it helps um them be able to be
[00:08:37.600 --> 00:08:46.160]   alert of course the coca tea's got all the alkaloids in it but that same gi tract benefit is still still there
[00:08:46.160 --> 00:08:54.720]   and that's probably what's still remaining within that extract that's now devoid of of the alkaloids
[00:08:54.720 --> 00:09:03.280]   and you are not paid for by coca-cola no in fact we went to coca-cola to see if we could work um with
[00:09:03.280 --> 00:09:12.400]   them on developing uh some type of medications or or something from the coca leaf and i have a former
[00:09:12.400 --> 00:09:19.040]   colleague that is in their natural products division at coca-cola and they said they won't even let us
[00:09:19.040 --> 00:09:24.800]   touch the the coca extract and they've also got all that cocaine that they've pulled out of the coca
[00:09:24.800 --> 00:09:30.880]   leaf in this plant in new jersey i can only imagine what the security is on this place i don't i don't
[00:09:30.880 --> 00:09:37.200]   know but if you you know you can you can fact check me on wikipedia or or which is not a great place to
[00:09:37.200 --> 00:09:44.240]   fact check but uh you got my agreement there but this the stepan company is listed there in new jersey and
[00:09:44.240 --> 00:09:49.520]   their connection to coca-cola and this whole this whole story is actually out there in front of
[00:09:49.520 --> 00:09:58.080]   everybody to see um it just takes knowing where to look and find it love it last question about soda
[00:09:58.800 --> 00:10:07.440]   is there still lithium and 7up no lithium has gone from 7up but that was the whole idea right up mood
[00:10:07.440 --> 00:10:14.880]   lift your mood up and lithium and we know lithium carbonate is still used to this day as a treatment
[00:10:14.880 --> 00:10:25.760]   for uh psychosis so

