
[00:00:00.040 --> 00:00:09.520]   Muss
[00:03:28.080 --> 00:03:28.080]   I'm working diligently to get back into the account. I'm working
[00:03:28.080 --> 00:03:28.080]   I'm working diligently to get back into the account. I'm working
[00:03:28.080 --> 00:03:28.080]   I'm working diligently to get back into the account. I'm working
[00:03:28.080 --> 00:03:28.080]   I'm working diligently to get back into the account. I'm working
[00:03:28.080 --> 00:03:28.080]   I'm working diligently to get back into the account. I'm working
[00:03:28.080 --> 00:03:28.080]   I'm working diligently to get back into the account. I'm working
[00:03:28.080 --> 00:03:28.080]   I'm working diligently to get back into the account. I'm working
[00:03:28.080 --> 00:03:28.080]   I'm working diligently to get back into the account. I'm working
[00:03:28.080 --> 00:03:28.080]   I'm working diligently to get back into the account. I'm working
[00:03:28.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.100 --> 00:03:58.100]   I'm working diligently to get back into the account. I'm working
[00:03:58.140 --> 00:04:28.120]  ,
[00:04:28.120 --> 00:04:28.120]   I'm working diligently to get back into the account. I'm working
[00:04:28.120 --> 00:04:28.120]   I'm working diligently to get back into the account. I'm working
[00:04:28.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:04:58.140]   I'm working diligently to get back into the account. I'm working
[00:04:58.140 --> 00:05:28.160]  , I'm working diligently to get back into the account. I'm working
[00:05:28.160 --> 00:05:28.160]   I'm working diligently to get back into the account. I'm working
[00:05:28.160 --> 00:05:28.160]   I'm working diligently to get back into the account. I'm working
[00:05:28.160 --> 00:05:28.160]   I'm working diligently to get back into the account. I'm working
[00:05:28.160 --> 00:05:28.160]   I'm working diligently to get back into the account. I'm working
[00:05:28.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:05:58.180]   I'm working diligently to get back into the account. I'm working
[00:05:58.180 --> 00:06:28.200]  ,
[00:06:28.200 --> 00:06:28.200]   I'm working diligently to get back into the account. I'm working
[00:06:28.200 --> 00:06:28.200]   I'm working diligently to get back into the account. I'm working
[00:06:28.200 --> 00:06:28.200]   I'm working diligently to get back into the account. I'm working
[00:06:28.200 --> 00:06:28.200]   I'm working diligently to get back into the account. I'm working
[00:06:28.200 --> 00:06:28.200]   I'm working diligently to get back into the account. I'm working
[00:06:28.220 --> 00:06:30.140]   I'm working diligently to get back into the account. I'm working
[00:06:30.140 --> 00:06:58.220]   I'm working diligently to get back into the account. I'm working
[00:06:58.220 --> 00:06:58.220]   I'm working diligently to get back into the account. I'm working
[00:06:58.220 --> 00:06:58.220]   I'm working diligently to get back into the account. I'm working
[00:06:58.220 --> 00:06:58.220]   I'm working diligently to get back into the account. I'm working
[00:06:58.220 --> 00:06:58.220]   I'm working diligently to get back into the account. I'm working
[00:06:58.220 --> 00:06:58.220]   I'm working diligently to get back into the account. I'm working
[00:06:58.220 --> 00:06:58.220]   I'm working diligently to get back into the account. I'm working
[00:06:58.220 --> 00:06:58.220]   I'm working diligently to get back into the account. I'm working
[00:06:58.220 --> 00:06:58.220]   I'm working diligently to get back into the account. I'm working
[00:06:58.220 --> 00:06:58.220]   I'm working diligently to get back into the account. I'm working
[00:06:58.220 --> 00:06:58.220]   I'm working diligently to get back into the account. I'm working
[00:06:58.220 --> 00:06:58.220]   I'm working diligently to get back into the account. I'm working
[00:06:58.260 --> 00:07:28.240]  ,
[00:07:28.240 --> 00:07:28.240]   I'm working diligently to get back into the account. I'm working
[00:07:28.240 --> 00:07:28.240]   I'm working diligently to get back into the account. I'm working
[00:07:28.240 --> 00:07:28.240]   I'm working diligently to get back into the account. I'm working
[00:07:28.240 --> 00:07:28.240]   I'm working diligently to get back into the account. I'm working
[00:07:28.240 --> 00:07:28.240]   I'm working diligently to get back into the account. I'm working
[00:07:28.260 --> 00:07:58.260]   I'm working diligently to get back into the account. I'm working
[00:07:58.260 --> 00:07:58.260]   I'm working diligently to get back into the account. I'm working
[00:07:58.260 --> 00:07:58.260]   I'm working diligently to get back into the account. I'm working
[00:07:58.260 --> 00:07:58.260]   I'm working diligently to get back into the account. I'm working diligently to get back into the account. I'm working
[00:07:58.300 --> 00:08:06.120]  iedzieć
[00:08:06.120 --> 00:08:08.580]   between,,,,
[00:09:25.080 --> 00:09:25.080]   I
[00:09:25.080 --> 00:09:25.080]   I
[00:09:25.120 --> 00:09:33.020]   is
[00:09:33.020 --> 00:09:36.440]  's,
[00:12:24.700 --> 00:12:24.800]   I'm a digital native where I didn't have to learn as an adult some of the web skills, etc. I'm a digital native. But I remember the early days. So people who are a decade younger than me, they don't have any idea what it's like to not have a smartphone. They don't have any idea what it's like to not have tabbed browsing. They don't have any idea what it's like to not have fast access internet. And so they almost can't conceive of what that is like. Some people who are older than me certainly remember what it's like. But frequently, unless you are, it's a part of your daily life, you're not as familiar as you are.
[00:12:24.840 --> 00:12:52.860]   think
[00:12:52.860 --> 00:12:53.820]   isn неп 12, and,,,,,, Нам size bigY Teவuard didnt Child play learning atio I certific complicated jewels wereר. I think that is a shit. I am a ground ament, and, and, and, and, and, accept, and, and, And, THAT, TE,,,,,,,,,,,,,,,,,,,,,,,,,,, think, water's,books When I'm si� Arabic use plan doesn stacks 12 � вик 2 logical outlets 숨illah고요 minute Так Patriciaaa chime very Meaning @� Bret TabiiSte pare这样 day or當American
[00:12:53.820 --> 00:12:54.060]   tendon helped the only Hin escol Quin $N. •My利 slee change was sh recreational lots hacking via talk about
[00:12:54.100 --> 00:13:04.380]   care
[00:13:04.380 --> 00:13:08.360]   in the Zhou It I Hun
[00:14:21.640 --> 00:14:40.680]  obediently focused. I've also come to the point where I identified that there were a number of things that I liked that weren't helping me. And because they were easy, I was doing the easy things and not the hard things. So let me give you some examples of some things I've done as I tell you what happened today.
[00:15:12.480 --> 00:15:12.480]   I've never really consumed broadcast TV, but it's not me. I can't stand to hear a laugh track. I acknowledge that there are some very well done TV shows, but I've generally just avoided most of them. But individual created video is powerful for me. I really love it because I can exercise that interest that I have in my life.
[00:15:12.500 --> 00:15:41.540]  obediently focused. And I can follow that interest to its very end. But over the years, YouTube became deadly because I could just click subscribe and follow the recommended videos. And as YouTube has perfected their algorithms, there's always a list of things that I'm interested in, and they're perfectly curated for me. I don't remember the exact timing, but maybe a year ago, I said, this is not helpful.
[00:15:41.700 --> 00:15:51.560]  님
[00:15:51.560 --> 00:15:51.800]  rail gan just served
[00:15:51.800 --> 00:15:53.800]   thought. I'm getting a picture. I'm, I, I, the, the, the, the, the, the, smart,
[00:15:53.800 --> 00:16:10.480]  ,
[00:16:10.480 --> 00:16:10.540]   sustain.".M.This...L.해주 battle dai...T...T...N... Пол...ív...vez... dias... grac... Celebr... helper...uvo... Judaism... Rever... dign... Turtle... nonprofits... LEE O SP Eng...ivid... Bull... C Viv...频... ton... beef...km... inform... out...athon...피... cogn... Dig R religion... conducted... İş... kn... Pokémon... dumpling... 춤...nisse... galaxy... histó...視... Chry... git понятно... gagner...視 can ... lion...uire...vie... 먹 o 22 Над Spark...단... Writing... � PM Sbahn...�리 band... irresponsible... TED Поэтому И servicio... проблема... glucose figure per 순.視 but li
[00:16:10.580 --> 00:16:16.660]  inku hören
[00:16:16.660 --> 00:16:19.920]   en,,,,
[00:16:19.920 --> 00:16:21.600]  eee
[00:16:21.600 --> 00:16:24.880]   donn like Sup . . . . .,ed,
[00:16:24.880 --> 00:16:38.480]   in the SSI "G, alone, the S, I, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, I, the, power in the, 100KSK or� 가격 showed幫amo produces
[00:16:38.480 --> 00:16:38.840]  ament achieve offset Bitch setting done Hks. I'm continued to be mem GIaczy secured dear I'm oc� 해� performances En
[00:16:38.840 --> 00:16:39.880]   documents is offer pond en
[00:16:40.620 --> 00:16:50.440]  ав
[00:16:50.440 --> 00:16:50.960]  風. I,
[00:16:50.960 --> 00:17:09.180]  ,
[00:18:36.380 --> 00:18:43.780]   as
[00:18:43.780 --> 00:19:06.220]   describe and inut
[00:19:06.380 --> 00:19:08.960]   and I want to be with.
[00:19:08.960 --> 00:19:11.420]   But because it's easier for me
[00:19:11.420 --> 00:19:12.600]   to go and argue with someone online,
[00:19:12.600 --> 00:19:14.780]   I'm physically removing myself
[00:19:14.780 --> 00:19:16.360]   from the space with my family
[00:19:16.360 --> 00:19:19.080]   to go and check Facebook.
[00:19:19.080 --> 00:19:21.600]   Well, over time,
[00:19:21.600 --> 00:19:22.900]   I completely removed
[00:19:22.900 --> 00:19:24.400]   all social media apps from my phone.
[00:19:24.400 --> 00:19:25.360]   That was really good.
[00:19:25.360 --> 00:19:27.760]   It brought me a lot of peace.
[00:19:27.760 --> 00:19:31.480]   I removed all work email from my phone.
[00:19:31.480 --> 00:19:33.440]   That was really good.
[00:19:33.440 --> 00:19:34.900]   So then instead of, you know,
[00:19:34.900 --> 00:19:36.380]   getting a nasty email from a listener
[00:19:36.380 --> 00:19:36.380]   Корinna,
[00:19:36.380 --> 00:19:36.380]   and I removed all work email
[00:19:36.380 --> 00:19:36.380]   from my phone.
[00:19:36.380 --> 00:19:36.380]   That was really good.
[00:19:36.380 --> 00:19:36.380]   So then instead of, you know,
[00:19:36.380 --> 00:19:36.380]   getting a nasty email from a listener
[00:19:36.380 --> 00:19:36.380]   and I removed all work email from my phone
[00:19:36.380 --> 00:19:36.380]   That was really good.
[00:19:36.380 --> 00:19:36.380]   So then instead of, you know,
[00:19:36.380 --> 00:19:36.380]   getting a nasty email from a listener
[00:19:36.980 --> 00:20:06.400]   and I removed all work email from my phone
[00:20:06.400 --> 00:20:06.400]   and I removed all work email from my phone
[00:20:06.440 --> 00:20:36.420]   잊고, I'm going to remove all work email from my phone.
[00:20:36.420 --> 00:20:36.420]   Now as time has gone by,
[00:20:36.420 --> 00:20:36.420]   I've taken it even farther.
[00:20:36.420 --> 00:20:36.420]   One of the things that I did is I learned that,
[00:20:36.420 --> 00:20:36.420]   I'd removed the YouTube app from my phone.
[00:20:36.420 --> 00:20:36.420]   That was helpful.
[00:20:36.420 --> 00:20:36.420]   But then I still had the YouTube app and,
[00:20:36.420 --> 00:20:36.420]   but I still had, sorry, I still had an internet browser.
[00:20:36.420 --> 00:20:36.420]   So I could, of course, go to YouTube and open up the internet browser and watch. Well, I had not set a rule that I wasn't going to do that.
[00:20:36.420 --> 00:20:36.420]   So, but in time I realized that
[00:20:36.420 --> 00:20:36.420]   I was able to do that because I had a lot of things that I knew I didn't know how to do,
[00:20:36.420 --> 00:20:36.420]   but I still had an internet browser.
[00:20:36.420 --> 00:20:36.420]   So I could, of course, go to YouTube and open up the internet browser and watch. Well, I had not set a rule that I wasn't going to do that.
[00:20:36.460 --> 00:21:06.440]  , but I still had an internet browser.
[00:21:06.440 --> 00:21:06.440]   So I went to the step of actually completely removing the internet from my phone. I totally deleted the, if you're interested in how to do this, I don't know how to do it on Android, but on my phone, the browser that I, well, I usually would use a browser called Snow Haze, which gives you a little bit more granular control if you're looking for a good browser to use.
[00:21:06.440 --> 00:21:06.440]   If you're looking for a good browser to use,
[00:21:06.440 --> 00:21:06.440]   If you're looking for a good browser to use,
[00:21:06.440 --> 00:21:06.440]   if you're looking for a good browser to use,
[00:21:06.440 --> 00:21:06.440]   if you're looking for a good browser to use,
[00:21:06.440 --> 00:21:06.440]   if you're looking for a good browser to use,
[00:21:06.460 --> 00:21:36.460]   I removed that.
[00:21:36.460 --> 00:21:36.460]   If you're interested in doing this, as I tell you about it, feel free, but you can't actually fully remove Safari, but you can in the restrictions tab, go into the parental restrictions tab on your phone and you can set up a code that is a four digit pin.
[00:21:36.460 --> 00:21:36.460]   And in that four digit pin, you can remove Safari.
[00:21:36.460 --> 00:21:36.460]   And that way it doesn't,
[00:21:36.460 --> 00:21:36.460]   It doesn't take away from you and you can actually remove Safari.
[00:21:36.460 --> 00:21:36.460]   And then you can set up a code that is a four digit pin and in that four digit pin, you can remove Safari and that way it doesn't take away from
[00:21:36.460 --> 00:21:36.460]   That way it doesn't take away from you and you can set up a code that is a four digit pin and in that four digit pin and in that four digit pin you can remove Safari and that way it doesn't
[00:21:36.460 --> 00:21:36.460]   that way it doesn't take away from you can't do that.
[00:21:36.500 --> 00:21:45.000]   Mash
[00:21:45.000 --> 00:22:05.120]   ma Dar. ", Sep,
[00:22:05.520 --> 00:22:15.180]   provide
[00:22:15.180 --> 00:22:17.120]   out,,,,
[00:22:34.460 --> 00:22:44.580]   property
[00:22:44.580 --> 00:22:45.400]   everything the Ikil
[00:22:45.400 --> 00:23:03.520]  , below, just,,,,,,,,, Del wherever Shore So And S後ific Kin� damn è Director進 this is. I am. I. I. I. I. Fern. I. I.회. I.,.,.,.,.,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, at, laww around i ale in the lot of themed in the men 쓰는 River M Mills 3 Renbbe sound I'm The affir Mario thin que sera hire a knowisters fixよろしく mean 2end theronics nights
[00:24:31.020 --> 00:24:59.820]   sau a while ago, February 22, I closed out my Facebook account. I put a note in the radical personal finance Facebook group, and I said, Guys, I can't, I gotta get out of here. This is bad.
[00:24:59.820 --> 00:25:00.120]   And what's happening is,
[00:25:00.120 --> 00:25:00.120]   I'm not denying that they can be useful for a few small places, few small cases. I'm not denying that they can be exploited by certain people who are interesting to use them, but I don't want to play those games. I've gotten rid of a lot, but the two that I still have are Facebook and Twitter.
[00:25:00.120 --> 00:25:00.120]   And so a while ago, February 22, I closed out my Facebook account. I put a note in the radical personal finance Facebook group and I said, Guys, I've gotta get out of here. This is bad.
[00:25:00.160 --> 00:25:29.260]  , and so I put a note in the radical personal finance Facebook group and I said, "Sorry, I gotta go."
[00:25:29.300 --> 00:25:58.400]  , and so I put a note in the radical personal finance Facebook group and I said, "Sorry, I gotta go."
[00:25:58.400 --> 00:25:58.400]   I haven't logged in since February 22. I did the same thing with Twitter, deleted all my tweets and the only thing that was there for a while is just simply the show automatically publishing when I publish it goes to Twitter. And so I got out of that until today.
[00:25:58.420 --> 00:26:27.540]   You realize how it affects you. You know, think about it in terms of your own house. You ever notice that other people's houses smell but your own doesn't? I go to other people's houses and it's like, "Huh, that's weird." I come to my own and, "Ah, it smells great." But I know that other people come into my house, and especially we have dogs and old carpet, and I'm kind of embarrassed about how my house sometimes probably doesn't smell great, but I can't smell it. And it's, you know, I'm a little bit more of a fan of the show, and I think that it's going to be a thing that I want to do.
[00:26:27.540 --> 00:26:27.540]   I'm a little bit more of a fan of the show, and I think that it's going to be a thing that I want to do.
[00:26:27.540 --> 00:26:27.540]   And I think that it's going to be a thing that I want to do.
[00:26:27.540 --> 00:26:56.780]  , and I think that it's going to be a thing that I want to do.
[00:26:56.780 --> 00:26:56.880]   And I think that it's going to be a thing that I want to do.
[00:26:56.880 --> 00:26:56.980]   And I think that it's going to be a thing that I want to do.
[00:26:56.980 --> 00:26:57.040]   And I think that it's going to be a thing that I want to do.
[00:26:57.040 --> 00:26:57.080]   And I think that it's going to be a thing that I want to do.
[00:26:57.080 --> 00:26:57.180]   And I think that it's going to be a thing that I want to do.
[00:26:57.180 --> 00:26:57.180]   And I think that it's going to be a thing that I want to do.
[00:26:57.180 --> 00:26:57.280]   And I think that it's going to be a thing that I want to do.
[00:26:57.280 --> 00:26:57.380]   And I think that it's going to be a thing that I want to do.
[00:26:57.380 --> 00:26:57.380]   And I think that it's going to be a thing that I want to do.
[00:26:57.380 --> 00:26:57.480]   and I think that it's going to be a thing that I want to do.
[00:26:57.500 --> 00:26:58.620]   And I think that it's going to be a thing that I want to do.
[00:26:58.620 --> 00:26:58.620]   And I think that it's going to be a thing that I want to do.
[00:26:58.620 --> 00:27:03.220]   utterly worthless.
[00:27:03.220 --> 00:27:04.620]   I'm thinking,
[00:27:04.620 --> 00:27:06.120]   Yeah, you know, I've been out of Facebook,
[00:27:06.120 --> 00:27:08.920]   but man, everyone's doing better than I am.
[00:27:08.920 --> 00:27:10.620]   I'm looking at all of my other friends
[00:27:10.620 --> 00:27:13.420]   who have financial podcasts and financial communities,
[00:27:13.420 --> 00:27:16.020]   and I'm thinking, they're doing better than I am.
[00:27:16.020 --> 00:27:18.720]   They have bigger communities than I have.
[00:27:18.720 --> 00:27:22.920]   Look at how fancy their stuff is, and my stuff stinks.
[00:27:27.860 --> 00:27:56.860]  ,
[00:27:56.860 --> 00:27:56.860]   Yeah, I think that it's going to be a thing that I want to do.
[00:27:56.860 --> 00:27:56.860]   Yeah, you know, I'm thinking, they're doing better than I am.
[00:27:56.860 --> 00:27:56.860]   I'm thinking, they're doing better than I am.
[00:27:56.860 --> 00:27:56.860]   I'm thinking, they're doing better than I am.
[00:27:56.860 --> 00:27:56.860]   I'm thinking, they're doing better than I am.
[00:27:56.860 --> 00:27:56.860]   I'm thinking, they're doing better than I am.
[00:27:56.860 --> 00:27:56.860]   I'm thinking, they're doing better than I am.
[00:27:56.900 --> 00:28:07.160]  인 over
[00:28:07.160 --> 00:28:10.480]   pick like,,, do chains
[00:28:10.480 --> 00:28:26.880]   zurück make wind face
[00:28:26.900 --> 00:28:38.840]   say this to you because it took me a little while and I just figured out that's what happened.
[00:28:38.840 --> 00:28:56.900]   Now we talk about comparing ourselves to the Joneses and there's all kinds of people who've written about this issue. If you haven't, if you haven't read about this, as far as the comparing ourselves, other people, you live in under a rock. So I'm not trying to repeat all of those articles that you've read and people said, well,
[00:28:56.900 --> 00:28:56.900]   Корneau
[00:28:56.900 --> 00:28:56.900]   You're not trying to repeat all of those articles that you've read and people said, well,
[00:28:56.900 --> 00:28:56.900]   you're not trying to repeat all of those articles that you've read and people said, well,
[00:28:56.900 --> 00:28:56.900]   you're not trying to repeat all of those articles that you've read and people said, well,
[00:28:56.900 --> 00:28:56.900]   you're not trying to repeat all of those articles that you've read and people said, well,
[00:28:56.900 --> 00:28:56.900]   you're not trying to repeat all of those articles that you've read and people said, well,
[00:28:56.940 --> 00:29:26.920]  ,
[00:29:26.920 --> 00:29:26.920]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look. But some people do.
[00:29:26.920 --> 00:29:26.920]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look. But some people do.
[00:29:26.920 --> 00:29:26.920]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look. But some people do.
[00:29:26.940 --> 00:29:56.940]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look. But some people do.
[00:29:56.940 --> 00:29:56.940]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look. But some people do.
[00:29:56.940 --> 00:29:56.940]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look. But some people do.
[00:29:56.940 --> 00:29:56.940]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:29:56.940 --> 00:29:56.940]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:29:56.940 --> 00:29:56.940]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:29:56.980 --> 00:30:26.960]  ,
[00:30:26.960 --> 00:30:26.960]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:30:26.960 --> 00:30:26.960]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:30:26.960 --> 00:30:26.960]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:30:26.960 --> 00:30:26.960]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:30:26.960 --> 00:30:26.960]   I'm not a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what I know what how you look.
[00:30:26.980 --> 00:30:56.980]   It's a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:30:56.980 --> 00:30:56.980]   It's a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:30:56.980 --> 00:30:56.980]   It's a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:30:56.980 --> 00:30:56.980]   It's a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:30:56.980 --> 00:30:56.980]   It's a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:30:56.980 --> 00:30:56.980]   It's a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:30:57.020 --> 00:31:27.000]  , and she has Tony Robbins for her inaugural episode.
[00:31:27.000 --> 00:31:27.000]   It's a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:31:27.000 --> 00:31:27.000]   It's a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:31:27.000 --> 00:31:27.000]   It's a beauty blogger vlog, not a beauty Instagrammer like I don't follow things to talk about, you know what how you look.
[00:31:27.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
[00:31:57.020 --> 00:31:57.020]   Sincerely, I'm Tony Robbins.
