
[00:00:00.000 --> 00:00:20.160]   yes AI and a case study on the New York Times connections which is the team that I work on is
[00:06:01.120 --> 00:06:29.120]   where they use both their fast intuitive thinking and then the slow deep thinking and that's what takes a lot of time in the actual playing of the game and then you can suffer from canonical failures like system one failures you thought it looked obvious but you messed up because it wasn't actually obvious stuff belong to a different category or system two thinking where you're like oh I thought too deeply about this but it was actually the obvious one and so you know you over thought that one so that's one of the fun parts of the game if you
[00:06:29.120 --> 00:06:36.120]   that's one of the fun parts of the game if you think that's fun so connection studies and benchmarks do exist there's several benchmarks for solving connections with the later models that are come out that have come out they're not by us they're third party benchmarks but they do demonstrate progressive capability of LLMs to solve the game but it's still not perfect and as I mentioned before there are caveats that solvability
[00:06:36.120 --> 00:06:43.120]   so there's now I'm going into the like deeper part and I'm going into the like deeper part and I'm going to see how far I get through the rest of this because this is where my AI analysis goes into play
[00:06:43.120 --> 00:06:48.120]   so if this is mathematics this is your chances of winning the game if you're winning the game and you're going to see how far I get through the rest of this because this is where my AI analysis goes into play
[00:06:48.120 --> 00:06:55.120]   so if this is mathematics this is your chances of winning the game if you're guessing randomly right if you use no intuition whatsoever so if you're totally randomly guessing you have
[00:06:55.120 --> 00:07:10.120]   if you have the complete initial board you have the complete initial board you have about a zero percent chance of winning then the mathematics or combinatorics of the connections board indicate that after maybe if you get one category right and you get one category right
[00:07:10.120 --> 00:07:14.900]   So if you're totally randomly guessing, you have, if you have the complete initial board,
[00:07:14.900 --> 00:07:18.240]   you have about a 0% chance of winning.
[00:07:18.240 --> 00:07:23.760]   Then the mathematics or combinatorics of the connections board indicate that after maybe
[00:07:23.760 --> 00:07:27.480]   if you get one category right and you still need to randomly guess through the next three,
[00:07:27.480 --> 00:07:32.900]   you have about a 1 in 5,000, 1 in 6,000 chance of winning, which is tiny, but it's, you know,
[00:07:32.900 --> 00:07:34.440]   you could maybe do it, I don't know.
[00:07:34.440 --> 00:07:38.360]   And then most people get stuck on the third and fourth category where it's like, oh, I
[00:07:38.360 --> 00:07:42.180]   don't know, like I got two, and now all these words, how do they relate to each other?
[00:07:42.180 --> 00:07:47.120]   So if you're like, screw it, I'm going to guess randomly, then you have a 1 in 35% chance,
[00:07:47.120 --> 00:07:49.960]   1 in 35% chance of winning or about 10% chance.
[00:07:49.960 --> 00:07:55.200]   And that means that, oh, okay, well, you're doing pretty good, I think.
[00:07:55.200 --> 00:07:58.480]   Now the graph coloring problem, we're going to go into a little bit of CS.
[00:07:58.480 --> 00:08:00.700]   Who's familiar with the graph coloring problem?
[00:08:00.700 --> 00:08:01.700]   Okay, great.
[00:08:01.700 --> 00:08:02.880]   You have CS people here, yes.
[00:08:02.880 --> 00:08:06.720]   So graph coloring involves assigning colors to vertices of a graph.
[00:08:06.720 --> 00:08:11.220]   The graph is the structure on the right, which is basically a bunch of nodes and edges.
[00:08:11.220 --> 00:08:15.100]   There's some numbers associated with the graph, not going to get too deep into that, but I'm
[00:08:15.100 --> 00:08:18.340]   doing that chromatic number is important.
[00:08:18.340 --> 00:08:23.220]   And when you want to solve a graph coloring problem, you use algorithms that are popularly known,
[00:08:23.220 --> 00:08:25.260]   backtracking, greedy coloring.
[00:08:25.260 --> 00:08:31.400]   And the graph coloring problem, just for interest, has applications in all kinds of areas outside
[00:08:31.400 --> 00:08:37.900]   of, you know, just science, scheduling, frequency assignment, wireless networks, and in connections.
[00:08:37.900 --> 00:08:42.520]   But you can model connections as a graph coloring, an augmented graph coloring problem.
[00:08:42.520 --> 00:08:46.280]   So this is a connection solver that I built on the right, that's a bunch of puzzles and attempts
[00:08:46.280 --> 00:08:49.660]   to organize them into graph coloring groups.
[00:08:49.660 --> 00:08:54.160]   So each of the words, 16 words and connections can be a vertex in this graph.
[00:08:54.160 --> 00:08:59.380]   The hidden categories that we already went over, they're color coded.
[00:08:59.380 --> 00:09:03.740]   The goal is to color each word node with one of the four categories, such that all four words
[00:09:03.740 --> 00:09:06.780]   belong to a specific category, receive the same color.
[00:09:06.780 --> 00:09:10.820]   And then edge is the strength of the connection that it's thought of to exist between words.
[00:09:10.820 --> 00:09:14.360]   So that is basically how related they are, is the edge.
[00:09:14.360 --> 00:09:19.180]   So the reason why that's important is because that creates the search space for an algorithm
[00:09:19.180 --> 00:09:24.680]   or an AI to actually, you know, play the game effectively, or solve the game effectively.
[00:09:24.680 --> 00:09:30.160]   Without that, it's falling into the random range of sorting words and it becomes much more difficult.
[00:09:30.160 --> 00:09:33.500]   So we have this idea of semantic similarity.
[00:09:33.500 --> 00:09:34.500]   It's not enough.
[00:09:34.500 --> 00:09:40.760]   I've renamed it semantic similarity is not all you need if you get the transformer joke.
[00:09:40.760 --> 00:09:45.180]   So this is like, it's hard to see here, but there's a tree of word relationships between
[00:09:45.180 --> 00:09:46.180]   different words.
[00:09:46.180 --> 00:09:51.840]   For example, anagrams are related, could be a type of category called orthography of words.
[00:09:51.840 --> 00:09:54.820]   So you know, that could be an entire category.
[00:09:54.820 --> 00:10:01.420]   Morphology, meaning things like that have the same suffix, like something like kingdom, fiefdom,
[00:10:01.420 --> 00:10:04.480]   or connectedness, things like that.
[00:10:04.480 --> 00:10:07.940]   Then you have other semantic relationships that are not so obvious, which could be things
[00:10:07.940 --> 00:10:10.100]   like encyclopedic relationships.
[00:10:10.100 --> 00:10:14.960]   Like for example, globe, mirror, post, and sun are all part of the newspaper category.
[00:10:14.960 --> 00:10:18.980]   And then you have things like associative relationships, things that are red or things that are green,
[00:10:18.980 --> 00:10:19.980]   right?
[00:10:19.980 --> 00:10:21.560]   And strawberry rose, Mars, et cetera.
[00:10:21.560 --> 00:10:26.260]   And so again, the most I just going back to this polysemy, things that can like, for example,
[00:10:26.260 --> 00:10:30.320]   what a mole can be, an animal, birthmark, spy, or unit.
[00:10:30.320 --> 00:10:35.720]   That is where the connections actually, just for interest's sake, is the most complicated
[00:10:35.720 --> 00:10:37.760]   for most AIs and people.
[00:10:37.760 --> 00:10:42.540]   Because that's the polysemy, multiple meaning section is where on a base level, people get
[00:10:42.540 --> 00:10:43.540]   tripped up.
[00:10:43.540 --> 00:10:45.620]   Any intelligence can get tripped up.
[00:10:45.620 --> 00:10:48.040]   So you have this concept of relational alignment.
[00:10:48.040 --> 00:10:53.320]   So relational alignment is if you can create a metric that associates two words together,
[00:10:53.320 --> 00:10:55.520]   you can have a relational alignment score.
[00:10:55.520 --> 00:10:59.420]   So there's different metrics that are associated with relational alignment.
[00:10:59.420 --> 00:11:03.280]   And so I created this heat map simulation on the right, which can pick different metrics
[00:11:03.280 --> 00:11:07.480]   and show how based on the metric calculations, which I'm not showing here, that these two things
[00:11:07.480 --> 00:11:12.320]   words from a large category are related.
[00:11:12.320 --> 00:11:19.940]   Now the story I'm building up is that relational alignment between puzzles can help you determine
[00:11:19.940 --> 00:11:23.700]   on a computational way whether a puzzle is easy or whether it's hard.
[00:11:23.700 --> 00:11:30.280]   So this is an example from an easy puzzle years ago that was done versus a hard puzzle.
[00:11:30.280 --> 00:11:34.940]   And this is like people have described this as the solve rate is 19% for the hard puzzle,
[00:11:34.940 --> 00:11:37.540]   but like 70 something for the easier puzzle.
[00:11:37.540 --> 00:11:42.880]   And you can see that there's a rough overarching coherence or relational alignment score differential
[00:11:42.880 --> 00:11:44.420]   between easy and hard.
[00:11:44.420 --> 00:11:49.500]   So that differential lets you understand there's a computational process which you can apply.
[00:11:49.500 --> 00:11:55.520]   So you can see that time variant relational alignment scores can go across categories and time.
[00:11:55.520 --> 00:11:59.840]   So puzzles are easy, puzzles are hard, and you see some sort of time variant metric, which,
[00:11:59.840 --> 00:12:03.560]   you know, you can compute this and you can draw a graph over time.
[00:12:03.560 --> 00:12:07.480]   I'm not sure what happened here on 12-12, I think, oh we had a broken puzzle that day,
[00:12:07.480 --> 00:12:09.340]   so it was zero.
[00:12:09.340 --> 00:12:14.120]   But the idea is that you can see that there could be patterns established from this alignment
[00:12:14.120 --> 00:12:15.620]   score that you compute.
[00:12:15.620 --> 00:12:19.300]   Now if it was that easy, that would be great, but it's not actually that easy because as we
[00:12:19.300 --> 00:12:24.520]   have multiple different semantic relationships, we have multiple relational alignment scores.
[00:12:24.520 --> 00:12:29.400]   So basically two words can be related in multiple ways and they can have different scores
[00:12:29.400 --> 00:12:31.120]   across different categories.
[00:12:31.120 --> 00:12:37.040]   So some can be semantically or morphologically more strongly related than they are, for example,
[00:12:37.040 --> 00:12:39.580]   categorically or encyclopedically related.
[00:12:39.580 --> 00:12:44.040]   But the idea is that you can create sort of this radar chart, which lets you kind of map
[00:12:44.040 --> 00:12:50.120]   out some sort of diagram or surface which you can analyze to see how the semantic space of
[00:12:50.120 --> 00:12:52.360]   the word across different categories looks.
[00:12:52.360 --> 00:12:58.540]   So that means you have yet another dimension to analyze how your AI can analyze how to solve
[00:12:58.540 --> 00:13:04.000]   a puzzle or your AI or solver or you yourself if you want to think about this stuff more deeply
[00:13:04.000 --> 00:13:06.080]   using your reasoning.
[00:13:06.080 --> 00:13:11.180]   So multi-dimensional relational alignment distribution was part of the things that I was kind of
[00:13:11.180 --> 00:13:12.260]   looking at.
[00:13:12.260 --> 00:13:17.200]   So I basically, another component of the system I built was the semantic distribution evaluation
[00:13:17.200 --> 00:13:23.060]   framework where I'm taking a bunch of our puzzles and then I'm building this categorical distribution
[00:13:23.060 --> 00:13:26.900]   over time where you can see on the lower right, it's hard maybe to see a little bit, but there's
[00:13:26.900 --> 00:13:31.800]   the different categories like hypernomy, morphology, orthography, things I talked about.
[00:13:31.800 --> 00:13:37.080]   And the distribution of categories for the connections puzzles over time.
[00:13:37.080 --> 00:13:41.920]   And so you can see I'm counting like which categories over the days fall into which of these buckets
[00:13:41.920 --> 00:13:47.260]   with these dots on this right and I can build a sort of like histogram or count of this association.
[00:13:47.260 --> 00:13:51.520]   And so you can look at trends and then you can use that data, that trend data.
[00:13:51.520 --> 00:13:54.820]   So now here it gets a little bit more involved.
[00:13:54.820 --> 00:14:00.520]   The graph coloring approximation is a search space reduction process, but then you get to a more
[00:14:00.520 --> 00:14:02.680]   complicated idea of graph clustering.
[00:14:02.680 --> 00:14:07.800]   Once you add the semantic relationships into the actual formulation, you actually start to
[00:14:07.800 --> 00:14:10.680]   build multi-dimensional or hypergraphs.
[00:14:10.680 --> 00:14:14.520]   And this is just a three-dimensional hypergraph, but if you have multiple semantic relationships,
[00:14:14.520 --> 00:14:16.860]   you actually have multi-dimensional hypergraphs.
[00:14:16.860 --> 00:14:21.140]   And this is kind of just a demonstration of how the hypergraph converges in three dimensions,
[00:14:21.140 --> 00:14:26.400]   meaning that if you have all these semantic relationships, you're going to have these inter-cluster
[00:14:26.400 --> 00:14:31.900]   strengths between different nodes and different categories, but you also have the intra-cluster
[00:14:31.900 --> 00:14:36.400]   strength, which shows you how strong the relationships are within the clusters that form due to the
[00:14:36.400 --> 00:14:37.560]   algorithm you're using.
[00:14:37.560 --> 00:14:43.620]   That's important because this graph gives you more dimensionality and, again, is a more computational
[00:14:43.620 --> 00:14:50.280]   way of using AI to solve this problem or any, again, solver to solve the problem.
[00:14:50.280 --> 00:14:52.120]   So how do you build these semantic graphs?
[00:14:52.120 --> 00:14:56.900]   You can use different types of lexical databases or lexical constructors.
[00:14:56.900 --> 00:15:01.840]   For example, WordNet, ConceptNet, and other word embeddings can be used to construct these relationships.
[00:15:01.840 --> 00:15:08.500]   And so this is a flat example of a 2D graph of one puzzle where you see relationships between, like, different words.
[00:15:08.500 --> 00:15:17.640]   Like, for example, two words co-occur together, a mouse hunts a cat, a dog is related to a cat, a cat is capable of play, a cat is used for pet.
[00:15:17.640 --> 00:15:26.000]   And you can see the complex dimensionality of these conceptual semantic graphs is derived from WordNet, ConceptNet, and word embeddings allows you even more space.
[00:15:26.000 --> 00:15:27.760]   So we're increasing the intelligence here.
[00:15:27.760 --> 00:15:31.680]   You see, I'm not just doing a reasoning model or dumbly put it into an LLM.
[00:15:31.680 --> 00:15:39.000]   I'm actually trying to increase the intelligence space, like, procedurally so that you can have a trackable and explainable way.
[00:15:39.000 --> 00:15:41.440]   You know, explainable AI, that's what I'm all about.
[00:15:41.440 --> 00:15:43.240]   This is part of that.
[00:15:43.240 --> 00:15:49.400]   So to get to the actual model which does that, anyone familiar with graph neural networks?
[00:15:49.400 --> 00:15:55.960]   Okay, so if you've used GNNs before, that's the primary, since it's a geometric problem in multi-space, you--
[00:15:55.960 --> 00:16:10.880]   Well, the primary solver that I'm using is a graph convolutional neural network, which allows you to kind of take in the graph as an input and then put, like, candidate subgraphs that could be solutions as outputs.
[00:16:10.880 --> 00:16:12.880]   This is one part of the problem.
[00:16:12.880 --> 00:16:15.880]   It's part of a two-part problem where I'm using the graph--
[00:16:15.880 --> 00:16:17.800]   the reinforcement learning system.
[00:16:17.800 --> 00:16:34.800]   So once we have the graph neural network that's actually outputting candidate graphs, you have edge weights and node weights that are being optimized, and then you find out which graph, like, fits into the candidate solutions, then you can track the actual structure of the graph, which is cluster morphology, or, like, how the graph looks.
[00:16:34.800 --> 00:16:47.720]   The next visualization-- this is the system diagram, I'm not going to go into it, it's a lot, but I'll just say it's the combination of a reinforcement learning agent with a graph-based system for actually--
[00:16:47.720 --> 00:16:52.720]   with the graph neural network for kind of isolating how-- what candidate graphs you have.
[00:16:52.720 --> 00:16:58.640]   And so this is-- I'm almost out of time, but I'll just say that this is kind of, like, how the visualization looks in 3Space.
[00:16:58.640 --> 00:17:11.640]   Once your semantic graphs are-- once your semantic graphs are constructed, your graph candidates and the reinforcement learning system is kind of the appropriate way to kind of navigate these subclusters.
[00:17:11.640 --> 00:17:20.640]   And you can't actually see the cluster points here because the visualization wasn't super great, but the actual output is kind of like, OK, now this-- this traversal is allowed to exist.
[00:17:20.640 --> 00:17:30.960]   So, again, after all this stuff, the solvability rate from before to after for a short-- a small subset of hard puzzles increases somewhat reasonably.
[00:17:30.960 --> 00:17:41.520]   But now, again, this is a work in progress, and I tried this against a few puzzles before and after, and now the idea is to extend this and, like, make it more involved for even more puzzles and then get to game development.
[00:17:41.520 --> 00:17:42.720]   So why do all this?
[00:17:42.720 --> 00:17:48.880]   Or-- well, our LLMs are great at a bunch of stuff, but, you know, they can often make, you know, their own mistakes.
[00:17:48.880 --> 00:17:55.760]   LLMs often are trained on internet data and the puzzle solutions are available on the internet, so who knows if they're just pulling the solutions from the internet.
[00:17:55.760 --> 00:17:59.200]   That's one thing that bothered me about LLMs solving these problems.
[00:17:59.200 --> 00:18:03.200]   And so-- and that's-- LLM solutions are still a black box.
[00:18:03.200 --> 00:18:09.360]   And so the idea is to connect this to the ArcGi benchmark and that kind of thing.
[00:18:09.360 --> 00:18:17.240]   So, you know, that benchmark has a partition-- like a-- yeah, a solvability association.
[00:18:17.240 --> 00:18:20.760]   And so we have some next steps, and this is pretty much the end of my presentation.
[00:18:20.760 --> 00:18:24.080]   I ran a few seconds over, but, yeah, if you're interested, talk to me later.
[00:18:24.080 --> 00:18:24.960]   LLMs. All right, thanks.
[00:18:24.960 --> 00:18:25.840]   LLMs. All right, thanks.
[00:18:25.840 --> 00:18:30.180]   We'll see you next time.

