
[00:00:00.000 --> 00:00:10.920]   Hello, and welcome to the Everyday Educator, a podcast where we explore the beauty, challenges,
[00:03:46.540 --> 00:03:52.700]   conversations. And I was like, you know what, kindergarten isn't even required in the state
[00:03:52.700 --> 00:03:57.000]   of California. Like you don't even have to like, put your kid down as a homeschooler in kindergarten.
[00:03:57.000 --> 00:04:02.500]   So I was like, I'll just do that. I'll just do what my friend Emily did. And that was it. Like,
[00:04:02.500 --> 00:04:07.280]   that was literally it. The other thing that was interesting is that the school where she would
[00:04:07.280 --> 00:04:13.540]   have gone for public school, their kindergarten program was like an hour and 45 minutes or
[00:04:13.540 --> 00:04:20.820]   something like that. So I had a two year old and a six month old, I was like, I'm gonna literally get
[00:04:20.820 --> 00:04:26.460]   her ready for school, take her there, come home, turn around. I can't put a baby down for a nap. I
[00:04:26.460 --> 00:04:31.340]   can't do, you know, the morning nap or whatever. And I'll have to go back. And I was like, I'll just
[00:04:31.340 --> 00:04:39.260]   homeschool. It's just easier. I love that. I love that. Devi, what first sparked your interest
[00:04:39.260 --> 00:04:46.260]   in homeschooling for your family? Well, I would say it was primarily the idea that I could reclaim my
[00:04:46.260 --> 00:04:53.120]   family, my family time. So I was working corporate America when that idea first came across. It was
[00:04:53.120 --> 00:05:00.480]   actually at a Bible study and this mom probably wearing a jumper. I mean, that was love. It was like,
[00:05:00.660 --> 00:05:08.200]   you should consider homeschooling. And I was like, what? No, never. And I think that was just the
[00:05:08.200 --> 00:05:15.060]   first seed that was planted. And after the years of working like 70 hour work weeks and yes, in
[00:05:15.060 --> 00:05:20.180]   California, everything's like 45 minutes an hour. Like it was crazy, but I didn't have the option of
[00:05:20.180 --> 00:05:25.060]   homeschooling at that time as early in my career. And I was like, okay, I've got to do this. But honestly,
[00:05:25.060 --> 00:05:32.300]   I think that time really prepared my heart to desire it more and to just sink into the gift that
[00:05:32.300 --> 00:05:39.840]   it is. So what sparked my interest is I want to have more time with my family, but also I think
[00:05:39.840 --> 00:05:46.620]   we're just created to want to be with our kids, right? I feel like it's God's design for a mother to
[00:05:46.620 --> 00:05:50.320]   want to be with her kids. And homeschooling was a great opportunity to do that.
[00:05:50.320 --> 00:05:57.880]   I love that. And I, I, my story resonates with you, with both of yours in that I had this desire
[00:05:57.880 --> 00:06:04.620]   for something different for my family. I had seen different educational options because I'm a former
[00:06:04.620 --> 00:06:11.320]   public school kindergarten teacher. And so I looked at them and thought, Oh, is this really what I want?
[00:06:11.400 --> 00:06:16.660]   And I think it was driven by the same desire that you're expressing, Didi, where I looked at the amount
[00:06:16.660 --> 00:06:22.500]   of time that my kindergartners were with me during the day. And I was, I was a little jealous for that
[00:06:22.500 --> 00:06:30.140]   time with my own children. I agree with you that God creates us with that desire to want to be there
[00:06:30.140 --> 00:06:36.040]   and speak into the lives of our children. But I have to say as a kindergarten teacher, I was a little
[00:06:36.040 --> 00:06:42.900]   fearful about bringing that experience into our home. So I'm curious, did you guys experience any
[00:06:42.900 --> 00:06:50.520]   doubts or fears before you started homeschooling? And what steps did you take to overcome them? So
[00:06:50.520 --> 00:06:53.300]   Didi, what about you? Any doubts or fears?
[00:06:53.300 --> 00:07:01.500]   What helped me was a neighbor homeschooled and she kept telling me over and over, it's not a permanent
[00:07:01.500 --> 00:07:09.800]   decision. And I would say the fear was that if I do this, there's no going back, you know, like I'm in
[00:07:09.800 --> 00:07:15.140]   this black hole of homeschoolers that I'll never come out the same. And, you know, that's actually a
[00:07:15.140 --> 00:07:21.780]   wonderful thing. But it, I was so fearful of, I'll never get the charter school that I was into. I'll
[00:07:21.780 --> 00:07:27.760]   never like all the things that I've worked for, to get my kids into the, you know, magnet school,
[00:07:27.760 --> 00:07:33.280]   they were in a STEM school. I'll never be able to go back to that. And it was, it was a lot of just kind
[00:07:33.280 --> 00:07:41.040]   of letting that go and trusting that if, if God is opening this door, he can open the next one at the
[00:07:41.040 --> 00:07:46.400]   right time. And so really faith was a huge part of it. And my neighbor just encouraging me, my neighbor,
[00:07:46.400 --> 00:07:51.640]   Nikki, she was just like, it's not permanent. You don't have to do this forever. And I think that just took
[00:07:51.640 --> 00:07:57.720]   the pressure off. So that was super helpful. I love that. Just the thought of a, of a neighbor
[00:07:57.720 --> 00:08:04.320]   who's speaking truth into you, just shows the value of good community and surrounding your good
[00:08:04.320 --> 00:08:09.640]   community. Lynn, what about you? What about you? Were there any doubts and fears and what did you do to
[00:08:09.640 --> 00:08:15.180]   overcome those? Yeah. I feel like there were doubts and fears like before homeschool and after,
[00:08:15.420 --> 00:08:21.560]   you know, like, yes, agreed after you start, it's like, Whoa, I didn't even know I should be afraid
[00:08:21.560 --> 00:08:29.420]   of that. Um, no, I'm just kidding. Oh, well, I'm not kidding. But anyway, yeah, I was, I was scared.
[00:08:29.420 --> 00:08:37.440]   I think I, I struggled with, um, being fearful of what people thought of me. Um, I, I do, I do think
[00:08:37.440 --> 00:08:42.200]   that I'm a little bit rebellious, but then I really do. I'm like, Ooh, what are they going to think?
[00:08:42.200 --> 00:08:47.700]   You know, what is this person, this family member, this, whatever, um, that was certainly in there.
[00:08:47.700 --> 00:08:54.420]   Um, I doubted my ability to, to just to educate my daughter, you know, and I think what Dee said about
[00:08:54.420 --> 00:09:01.400]   how it's not a permanent decision, um, is really important because, you know, we aren't given 13
[00:09:01.400 --> 00:09:08.080]   years and, and, and, you know, say, Oh, you have to do all of this for 13 years. I mean, you might,
[00:09:08.080 --> 00:09:16.980]   but really it's today, right? It's just today. And, um, yeah, I think before I homeschooled or at the
[00:09:16.980 --> 00:09:24.080]   very beginning, I just had very little vision. Um, I just hadn't sat down to be like, what is the vision
[00:09:24.080 --> 00:09:29.980]   for this? But in the end, I think that that is how like God really wanted it to be for us. Um,
[00:09:30.400 --> 00:09:36.440]   that I wasn't going to set out this, you know, big, huge thing TM. It was just going to be today
[00:09:36.440 --> 00:09:43.180]   and just get through today. And then if you are adding babies and adding moves or building businesses
[00:09:43.180 --> 00:09:49.540]   or what else, all of that stuff really only have today because a lot of those things become very
[00:09:49.540 --> 00:09:57.640]   uncertain. Sleep is very uncertain. Um, so yeah, I, I had a lot of fears, but, um, I didn't know it would
[00:09:57.640 --> 00:10:04.340]   last so long. I really didn't like when DD was saying, um, that's like a happy surprise that I'm
[00:10:04.340 --> 00:10:14.100]   still here heading into year 14 and, um, we're still doing it, but, um, I definitely, I, I feel
[00:10:14.100 --> 00:10:19.560]   like I overcame those fears or the Lord helped me overcome those fears with community. It was a huge,
[00:10:19.640 --> 00:10:28.340]   huge puzzle piece. Um, and the times that my fear or doubting was allayed was directly related to the
[00:10:28.340 --> 00:10:34.940]   amount of time I was spending in the word and prayer and community. Um, and my husband and I being, um,
[00:10:34.940 --> 00:10:40.380]   really intentional about our time together. Uh, I can't say enough about that. I feel like
[00:10:40.380 --> 00:10:45.980]   I haven't heard a lot of people talk about that, but, um, yeah, just getting his, cause he does have
[00:10:45.980 --> 00:10:53.180]   vision. Um, and I'm not sure he was like 100% on board when we started, but he was like, Oh yeah,
[00:10:53.180 --> 00:10:59.460]   do your thing, babe. You know, like whatever. Um, and then as he got more on board, his vision,
[00:10:59.460 --> 00:11:06.200]   I really relied on that or really rely on it even today. Yeah. I love that. Go ahead.
[00:11:06.200 --> 00:11:11.660]   I was just going to say, I love what you said there about vision. I feel like that's such a good word
[00:11:11.660 --> 00:11:18.260]   because I love the scripture. That's like, for lack of vision, people perish. And that's something
[00:11:18.260 --> 00:11:23.720]   that I didn't know I needed honestly. And I was so caught up and like, but it has to be like this.
[00:11:23.720 --> 00:11:30.720]   It has to be school at home. I didn't realize the freedom I had to cast a vision for my family
[00:11:30.720 --> 00:11:37.240]   and my friend Diana. So kind of walking closer to making that decision. My friend Diana gave me this
[00:11:37.240 --> 00:11:44.820]   book called teaching from rest and it gave me this vision for relationship, which is what the deeper
[00:11:44.820 --> 00:11:50.240]   thing I was wanting. So it just kind of came together. And yes, my husband was very much like,
[00:11:50.240 --> 00:11:57.520]   so we're, we're doing this. And that was huge. It was huge to have that support and that vision,
[00:11:57.520 --> 00:12:05.740]   that he had as well. I agree. I agree. I think looking back now, having a spouse who could
[00:12:05.740 --> 00:12:11.860]   understand the reasons why I was drawn to homeschooling and who was there to say, all right,
[00:12:11.860 --> 00:12:20.320]   let's do this thing together. That was key for me. I do think, thinking back on my story and where God
[00:12:20.320 --> 00:12:25.460]   brought me from before homeschooling, one of my fears was that, and I think one of you already
[00:12:25.460 --> 00:12:31.380]   alluded to this, that I wouldn't be able to replicate a school atmosphere in our home.
[00:12:31.380 --> 00:12:39.300]   And now that's laughable to me because I think that's not what it's about. It's not about creating
[00:12:39.300 --> 00:12:48.400]   a school at home. It's about making life educational and fun. And having those experiences together,
[00:12:48.400 --> 00:12:55.400]   not necessarily bound to, you know, a desk sitting in a room, but that the classroom, our classroom is
[00:12:55.400 --> 00:13:03.280]   the world. And so I think that was one of the things. So unfortunately, that information did not
[00:13:03.280 --> 00:13:07.480]   come to me until later, like what Lynn was describing, how, you know, the farther you get in,
[00:13:07.480 --> 00:13:15.300]   the more questions you have and the more realizations you have. And so I did at first try to prepare our home
[00:13:15.300 --> 00:13:22.080]   for homeschooling by making it as much like that classroom environment that I knew. I made the mistake
[00:13:22.080 --> 00:13:29.920]   of reverting to my comfortable paradigm and bring that environment home. But I'm curious, as you guys
[00:13:29.920 --> 00:13:37.700]   began homeschooling, did you have something similar or how did you prepare your home for, you know, and your
[00:13:37.700 --> 00:13:45.540]   schedule, quite frankly, for homeschooling? Because when we came into homeschooling, I had a baby. I had a squirrely
[00:13:45.540 --> 00:13:52.940]   four-year-old boy and a squirrely six-year-old boy who were all, everyone was full of energy and perhaps me not so much
[00:13:52.940 --> 00:14:00.360]   because they took all my energy. But we had to definitely do some schedule shifting and we had to think about life in new
[00:14:00.360 --> 00:14:09.080]   ways. So I'm curious, I'm curious, Dede, what, what was life like? What was home like? How did you prepare for
[00:14:09.080 --> 00:14:14.740]   homeschooling once you guys made that decision? And then Lynn, I'm curious to hear your thoughts as well.
[00:14:14.740 --> 00:14:23.580]   Well, yeah, we, I felt like we always homeschooled in a way and that's kind of, I guess, the advice or
[00:14:23.580 --> 00:14:29.340]   encouragement I would like to give to moms, you're already doing this. You might also be sending your
[00:14:29.340 --> 00:14:35.320]   child to traditional school, but I don't know of a mom that's not teaching their children the ABCs or
[00:14:35.320 --> 00:14:42.180]   manners or how to be kind to your siblings, you know, so you just get more of that. And what you were
[00:14:42.180 --> 00:14:47.360]   saying, Kelly, about the idea of bringing school home, that's definitely what I had in mind. But honestly,
[00:14:47.360 --> 00:14:54.180]   the best conversations have been in between math and English and those spontaneous moments where we're
[00:14:54.180 --> 00:14:59.100]   just talking and learning so much and making connections about all of the subjects. We're not
[00:14:59.100 --> 00:15:05.240]   just focused, zeroed in on how to diagram the sentence. And we do that, but then it just, it kind of rounds
[00:15:05.240 --> 00:15:12.980]   out into this whole, like school, the world is our homeschool, so to speak. So the way I prepared
[00:15:12.980 --> 00:15:19.460]   is I just kept doing what I was doing. We were memorizing scripture. I remember we went to the
[00:15:19.460 --> 00:15:24.800]   Billy Graham library when we first moved to North Carolina and it gave us this bookmark, the ABCs of
[00:15:24.800 --> 00:15:30.740]   the Bible. And at the time I was still taking my kids to traditional school. My oldest had just gotten
[00:15:30.740 --> 00:15:39.200]   into, um, actually my second was in a STEM academy and I was like, okay, we're going to just say this on the
[00:15:39.200 --> 00:15:45.760]   way to school. And my kids still remember that like, oh yeah, we did do that. And that just grew
[00:15:45.760 --> 00:15:52.000]   and grew and grew until that was primarily, you know, what we did at home. But, um, I feel like
[00:15:52.000 --> 00:15:59.120]   God just put on my heart, what I was already doing was enough. It was a good foundation. And then finding
[00:15:59.120 --> 00:16:04.340]   CC obviously was, was helpful because I feel like I kind of did a couple of things. I did like the
[00:16:04.340 --> 00:16:08.900]   unschooling. I was like, we're just going to do it. I started with five in a row. I was like,
[00:16:08.900 --> 00:16:14.400]   everybody tries it. And that's all we need. But at the time, all of mine were in elementary,
[00:16:14.400 --> 00:16:20.320]   so it kind of worked well. But then I thought I am very all over the place. I'm a little scattered.
[00:16:20.320 --> 00:16:25.120]   So finding the classical conversations curriculum was great. Cause it was like, no, we can just
[00:16:25.120 --> 00:16:31.100]   follow this, put my mind at rest. And it was wonderful. I don't know if that answers your
[00:16:31.100 --> 00:16:35.500]   question. I feel like I was all over the place. It does. Lynn, what about you? What about you?
[00:16:35.500 --> 00:16:41.700]   How did you guys prepare your life, your home, your schedule once you decided, okay, we're all in,
[00:16:41.700 --> 00:16:47.560]   this is the thing we're going to do it. Yeah. I remember, you know, transforming our dining room
[00:16:47.560 --> 00:16:52.540]   and we had some built-in bookshelves. So those ended up being where all of our materials went.
[00:16:52.540 --> 00:16:59.920]   You know, talking to my husband about, he's got to get over to his studio, but by a certain time,
[00:16:59.920 --> 00:17:04.640]   because I want to start at a certain time, which now that I'm again, starting year 14,
[00:17:04.640 --> 00:17:11.260]   it's just so hilarious because I'm like, we, our schedule is like, you know, with all the kids and
[00:17:11.260 --> 00:17:18.080]   all the needs. But, um, I did, I absolutely, I, I resonate with the wanting to bring quote unquote
[00:17:18.080 --> 00:17:25.640]   traditional school home. That absolutely was a thing. Um, I can remember early on, um, Emma was,
[00:17:25.640 --> 00:17:32.600]   I had asked her, she's, she was six and she, um, was supposed to empty the dishwasher and she took
[00:17:32.600 --> 00:17:37.960]   the plates and the forks and the knives and the spoons, and maybe even a cup. And she laid them
[00:17:37.960 --> 00:17:45.600]   out on the floor and made this really big caterpillar. And I remember this very like Jekyll and Hyde moment
[00:17:45.600 --> 00:17:52.200]   where I was like, but your job was to empty the dishwasher. And then this other side, which I think
[00:17:52.200 --> 00:17:57.760]   is my homeschool persona was like, Oh my gosh, this is amazing. She's so creative, like blah, blah, blah.
[00:17:58.160 --> 00:18:03.280]   So like the reason I bring that up is because I think, I don't know if it was that incident or
[00:18:03.280 --> 00:18:09.760]   another, but my husband was like, well, that was her school for today. And you know, that idea creeping
[00:18:09.760 --> 00:18:14.680]   in that there's just so much of every day that is school, which is what Didi was talking about too.
[00:18:14.680 --> 00:18:23.440]   Um, and then, uh, being in the car is a big one, even for homeschoolers, when we are like supposed to
[00:18:23.440 --> 00:18:30.080]   be having these conversations in our school rooms, in our whatever, but then it's in the car where a
[00:18:30.080 --> 00:18:36.280]   kid asks about, you know, the pineal gland or something. And then you just go from there or the
[00:18:36.280 --> 00:18:42.160]   phases of matter. These are just from yesterday. Um, you know, stuff like that. It just, it just goes.
[00:18:42.160 --> 00:18:50.160]   So to prepare, I think, I just think about that first time homeschooler mom. Yeah, you got to prepare.
[00:18:50.480 --> 00:18:55.080]   And if it means that you're going to make a desk or going to make a table or going to make it look
[00:18:55.080 --> 00:19:00.880]   like school, you know what, go for it because you got to go through to get there. You know,
[00:19:00.880 --> 00:19:09.040]   you have to do those things to figure out what is my style. What is my vibe for lack of a better word?
[00:19:09.040 --> 00:19:14.920]   Yeah, absolutely. I totally agree with that. I think, you know, looking, looking back, I didn't know
[00:19:14.920 --> 00:19:21.420]   what I needed for our individual family until we had begun walking the homeschooling path and it took
[00:19:21.420 --> 00:19:29.640]   time. And one thing that I wish that I could speak to that Kelly from 20 years ago. Wow. Is that I wish
[00:19:29.640 --> 00:19:36.820]   that I had given more grace to myself to discover what it was that I needed to do in order to provide
[00:19:36.820 --> 00:19:41.160]   the best learning environment for our family. And I felt like almost like what Didi was saying,
[00:19:41.160 --> 00:19:45.500]   like it had to be like the magic switch that we did forever. And however we began,
[00:19:45.500 --> 00:19:51.820]   that was how we were going to finish. And now I look back and think, Oh, Kelly, you know, I wish,
[00:19:51.820 --> 00:19:56.900]   I wish that I'd had, and I know we all have similar regrets, right? Now that we've walked to this path
[00:19:56.900 --> 00:20:01.960]   for a while, how we wish we could go back and say certain things to ourselves and, you know,
[00:20:01.960 --> 00:20:08.560]   communicate like have grace. It will work out, you know, just start walking and align yourself with
[00:20:08.560 --> 00:20:15.460]   good community, align yourself with great curriculum. And most importantly, align yourself with God's
[00:20:15.460 --> 00:20:24.100]   calling, um, align yourself with him and, um, allow him to speak to you and walk it out friends. I mean,
[00:20:24.100 --> 00:20:30.440]   really that is, that is the thing. I'm glad that at the beginning, um, I was willing to take the steps,
[00:20:30.440 --> 00:20:35.600]   but there was, there were fears associated with that, that we wouldn't be enough that, um, I would
[00:20:35.600 --> 00:20:42.060]   do something wrong. And now I look back and think, Oh, I wish that I had more grace for myself. I wish
[00:20:42.060 --> 00:20:47.040]   that I had more grace for my family. Like what you were describing when, um, where there were teachable
[00:20:47.040 --> 00:20:53.160]   moments that God afforded us. And maybe I stole the joy of my child because I was in this, like,
[00:20:53.160 --> 00:20:59.320]   Oh, we have to accomplish learning objectives. Yeah. That's right. And now I'm like, Oh, you know what?
[00:20:59.320 --> 00:21:05.180]   The grace of God was sufficient even for those moments. And even in those times where, man,
[00:21:05.180 --> 00:21:11.300]   I love some gaps because I just didn't know the Lord has been kind to fill every single one of those
[00:21:11.300 --> 00:21:16.880]   for his glory. So I think we've kind of hit on another part of the homeschooling experience that
[00:21:16.880 --> 00:21:25.040]   kind of needs to be spoken about, and that is our families. So how did family dynamics shift for both of
[00:21:25.040 --> 00:21:31.020]   you once you began homeschooling and what helped you during that time to be able to ease the transition
[00:21:31.020 --> 00:21:37.660]   from life before homeschooling into this brave new world that you had chosen to enter with your family?
[00:21:37.660 --> 00:21:42.940]   So Lynn, I'm curious your thoughts about that. What did you guys do during that transition? You've
[00:21:42.940 --> 00:21:47.300]   already told us that you set up an environment, but what about with your family?
[00:21:47.980 --> 00:21:54.100]   Yeah. I, uh, these issues pop up real quick when you start, but, um, for me, one of the things,
[00:21:54.100 --> 00:22:00.620]   and I'm going to get a little bit like brass tacks here, um, is the house, the cleanliness of the house
[00:22:00.620 --> 00:22:07.300]   that became a real issue. Um, I had little littles and, you know, I know some people are like,
[00:22:07.300 --> 00:22:11.720]   we, we are going to teach our kids to clean the house when they're four years old. And yes,
[00:22:11.720 --> 00:22:17.340]   of course, but I'm sorry, they just don't do a great job when they're four. Um, so, uh, we got
[00:22:17.340 --> 00:22:23.060]   a cleaning lady. That was a big one. Um, we budgeted for it and we are Dave Ramsey people over here. So
[00:22:23.060 --> 00:22:30.360]   it came at a cost. It absolutely did. And we gave up other things, but I knew if I didn't have someone
[00:22:30.360 --> 00:22:37.820]   helping me with like the nuts and bolts, laundry, cleaning, whatever that I would, I, I found that my
[00:22:37.820 --> 00:22:43.480]   pattern was to sacrifice the homeschool to clean because when the kids are little, they do play
[00:22:43.480 --> 00:22:50.600]   and they play really, really well. And so it could be nine, 10, 11, 12, one, and I'm just doing all of
[00:22:50.600 --> 00:22:56.360]   the doing. Um, and I was like, if we're going to be intentional about this at all, I'm going to have
[00:22:56.360 --> 00:23:03.160]   to take that off my plate. So I did get a cleaning lady. Um, you know, I had to switch from, I thought I
[00:23:03.160 --> 00:23:08.480]   was an extrovert all these years, but when you're with the kids all of this time, I'm actually like,
[00:23:08.480 --> 00:23:14.840]   I really needed some space. So we also did like, um, I don't know if it was like one afternoon a week
[00:23:14.840 --> 00:23:21.840]   or something while the baby was sleeping, I would go out, um, by myself. I can remember sleeping in my
[00:23:21.840 --> 00:23:28.340]   van in the Trader Joe's parking lot for two hours or like whatever. Oh, that was you before. Yeah,
[00:23:28.340 --> 00:23:37.120]   exactly. Um, this was before the phone was such a draw, like to scroll or whatever. So I really did
[00:23:37.120 --> 00:23:43.780]   sleep. I really just, um, needed that. Uh, I can remember getting pedicures was a big deal. I would
[00:23:43.780 --> 00:23:48.280]   like, you know, not once a week, but like once a month. And, and that was like, and I would sleep
[00:23:48.280 --> 00:23:57.880]   during those two. Ha ha. Um, anyway, uh, yeah, I think that, uh, date nights, I've already kind of
[00:23:57.880 --> 00:24:03.660]   said this before we budgeted for that, found a great sitter to work with. Um, that was so important.
[00:24:03.660 --> 00:24:11.060]   I felt like my husband needed a space where he just had me like, just like really had my focused
[00:24:11.060 --> 00:24:16.940]   attention. Um, because he was building a business, which means we were building a business together.
[00:24:16.940 --> 00:24:22.840]   Um, so that was part of it. But then I also needed to say, you know, Hey, what do you think about this
[00:24:22.840 --> 00:24:27.040]   kid or that kid? And we still do that to this day. Date nights are a big deal. We just don't need a
[00:24:27.040 --> 00:24:33.800]   babysitter anymore. Cause we got like three built-in ones, which is awesome. Um, so, uh, yeah, I think
[00:24:33.800 --> 00:24:42.340]   so. Didi, how about you? Yeah, I, I would say what changed was, was really my attitude about it. So
[00:24:42.340 --> 00:24:48.740]   my kids, my older kids were like, Oh, mommy, can you please homeschool us? Because the neighbor was
[00:24:48.740 --> 00:24:55.480]   homeschooled that I was referring to earlier. And I was like, what? No, you know why? Because you think
[00:24:55.480 --> 00:25:03.120]   it's going to be easier and it will not be, I will not make it easier for you. So, and also my husband's
[00:25:03.120 --> 00:25:09.120]   from Nigeria. So we have that cultural, you know, background school is so important. Traditional
[00:25:09.120 --> 00:25:16.900]   school, that structure, that classroom setting, that respecting your elders and teachers. It's,
[00:25:16.900 --> 00:25:21.740]   it is kind of life school too, right? So the things, the soft skills that they learn in that environment
[00:25:21.740 --> 00:25:28.500]   are so important. And I was like, I will not homeschool you. I repeat, I will not do this for you.
[00:25:28.720 --> 00:25:38.200]   And then after feeling like I could do this for a year, I could try it. I saw that my kids were just
[00:25:38.200 --> 00:25:44.140]   wanting it so much. They were ready to do the work. They would wake up, they would read the books. We
[00:25:44.140 --> 00:25:48.480]   started with a boxcar children and this is a summer. We started like just in the summer to try it out.
[00:25:48.480 --> 00:25:52.960]   And they wanted to do all the experiments that this other curriculum had laid out for us
[00:25:52.960 --> 00:25:58.620]   on account of the books. And I just remember to this day, like very simple things that you could
[00:25:58.620 --> 00:26:06.480]   do at home became our classroom. And it was just like kind of walking into what God had already laid
[00:26:06.480 --> 00:26:14.200]   out before me. Right. So it was more of a heart issue for me and just the attitude of I can do this well
[00:26:14.200 --> 00:26:20.820]   and I can, I can love Lord, I can love my kids. And it just, I don't know, it just unfolded.
[00:26:20.820 --> 00:26:29.120]   I feel like the, the way that I wanted to prepare was not necessarily the best way. Like that idea of
[00:26:29.120 --> 00:26:34.500]   the, you're climbing a ladder, but it's against the wrong wall. And I kept thinking, no, I have to have
[00:26:34.500 --> 00:26:41.540]   all this curriculum color coded and, and the cleaning and everything, you know, just in order. But I think
[00:26:41.540 --> 00:26:47.160]   God just said, there's another way and, um, help me understand that. So really it was an attitude.
[00:26:47.160 --> 00:26:50.880]   It was a heart adjustment. And that was, that was huge.
[00:26:50.880 --> 00:26:57.940]   Hey everyone. We want to interrupt this show to tell you more about this semester's sponsor,
[00:26:57.940 --> 00:27:04.160]   Judson college. Judson college is an amazing fit for a CC student because they really do focus in
[00:27:04.160 --> 00:27:10.880]   on our three uniques classical Christian and community. Listen to their mission statement.
[00:27:10.880 --> 00:27:16.260]   They say equipping students to give their lives for the cause of Christ in the church,
[00:27:16.260 --> 00:27:22.640]   among the nations, and in every aspect of society. Let me tell you a little bit about what they mean
[00:27:22.640 --> 00:27:26.940]   when they say every aspect of society. I know sometimes we think of a Christian college and we
[00:27:26.940 --> 00:27:30.360]   think, okay, you're just teaching me to go into vocational ministry. Well, guess what?
[00:27:30.680 --> 00:27:35.480]   We spoke with a representative from Judson college and he shared with us that it's more
[00:27:35.480 --> 00:27:41.520]   than just official ministry. They believe that every believer is equipped and needs to be equipped
[00:27:41.520 --> 00:27:48.020]   for ministry, wherever their feet land. So whether that means the marketplace or someone's church,
[00:27:48.020 --> 00:27:51.920]   Judson college has a wide variety of degrees for students to choose from,
[00:27:51.920 --> 00:27:58.280]   including 25 majors, as well as five years, bachelor's to master's programs. And each of these programs are
[00:27:58.280 --> 00:28:04.040]   taught by exceptional faculty who are experts in their field and passionate about investing in the
[00:28:04.040 --> 00:28:08.860]   lives of their students. They want their students to leave equipped theologically and professionally
[00:28:08.860 --> 00:28:14.700]   for whatever career God wants them to pursue. To find out more about what Judson college has to offer,
[00:28:14.700 --> 00:28:20.960]   visit judsoncollege.com forward slash distinctives. And again, thank you to Judson college for sponsoring
[00:28:20.960 --> 00:28:24.440]   this semester of the everyday educator. Let's get back to the show.
