
[00:00:00.000 --> 00:00:09.000]   Today we return to the theme of doomsday prepping, a follow-up from a listener named Matt.
[00:09:58.000 --> 00:10:02.000]   And make sure you subscribe there for the latest content.
[00:10:02.000 --> 00:10:08.000]   No, there's no video of us to watch. You just go see. Go see how we do it.
[00:10:08.000 --> 00:10:14.000]   And if you're already listening to us through YouTube, be sure to subscribe to the channel for the latest from Desiring God.
[00:10:14.000 --> 00:10:21.000]   And if you have a question for Pastor John, send it to us through our podcast homepage, desiringgod.org/askpastorjohn.
[00:10:21.000 --> 00:10:27.000]   Well, is it wrong for couples to pray against pregnancy?
[00:10:27.000 --> 00:10:31.000]   On Monday, we're going to field that question and all of its dimensions.
[00:10:31.000 --> 00:10:35.000]   Until then, I'm your host Tony Reinke. Have a great weekend. We'll see you back here on Monday.
[00:10:35.000 --> 00:10:38.000]   [end]
[00:10:38.000 --> 00:10:41.000]   [end]
[00:10:41.000 --> 00:10:51.000]   [BLANK_AUDIO]

