
[00:00:00.080 --> 00:00:04.720]   Traveling for free isn't just about earning points, it's about using them smartly.
[00:10:59.680 --> 00:11:03.120]   realize they require you to cancel 24 hours out. And I didn't know that. And I saw a flight that I thought was slightly better. So I booked a different flight than my British Airways flight, forgot to cancel it, and lost $62,000.
[00:11:03.120 --> 00:11:10.000]   just because I forgot. And that was a painful lesson, but it's just part of the process. So that's cancellation policies. The other really important thing to understand are expiration policies.
[00:11:10.000 --> 00:11:16.880]   So many airlines, as long as you have some activity in your account, will keep your miles active.
[00:11:16.880 --> 00:11:23.760]   And that activity doesn't always have to be flying with the airline. It could be transferring in a thousand points from, you know, one of your credit card programs.
[00:11:23.760 --> 00:11:32.640]   Many airlines, as long as you have some activity in your account, will keep your miles active. And that activity doesn't always have to be flying with the airline.
[00:11:32.640 --> 00:11:38.640]   It could be transferring in a thousand points from, you know, one of your credit card programs. It could be buying a magazine subscription.
[00:11:38.640 --> 00:11:46.640]   It could be donating some miles. For example, American Airlines is notorious for canceling your miles after two years if you haven't had any activity.
[00:11:46.640 --> 00:11:58.880]   But if you do anything with those points and miles, if you open up a Basque Bank mileage checking account, leave a small amount of money in where it deposits, you know, your interest in the form of miles each month, your miles will never expire.
[00:11:58.880 --> 00:12:04.880]   Also, sometimes airlines have shopping portals, make a purchase through the shopping portal, credit the miles, miles extended.
[00:12:04.880 --> 00:12:12.960]   However, there are some programs, notably ANA and Japan Airlines, that have hard expirations, and there's not a way to avoid them.
[00:12:12.960 --> 00:12:19.040]   There is a way if you want to go earn millions of miles with Japan Airlines and get into a status that removes their expiration.
[00:12:19.040 --> 00:12:29.280]   But for almost anyone listening that isn't so far down the Japan Airlines rabbit hole that they already knew that, those programs you can't extend after, you know, those miles arrive.
[00:12:29.280 --> 00:12:40.160]   And so those are programs where I'd be very, very cautious transferring to unless you were really sure you had a booking to make or you really had a lot of flexibility in the next few years to use those points and miles again.
[00:12:40.160 --> 00:12:50.640]   So know the program rules before you transfer. It's really easy to go search online award expiration policies by airline, and there's some great posts on different frequent flyer blogs that you can find.
[00:12:50.640 --> 00:12:52.800]   I'll link to a couple of them in the show notes.
[00:12:52.800 --> 00:13:01.280]   This episode is brought to you by Masterclass. I have learned so much about everything from communication to leadership to negotiation from business experts on this show.
[00:13:01.280 --> 00:13:06.560]   But if you're like me, you are always hungry for more. And that's when I turn to Masterclass.
[00:13:06.560 --> 00:13:11.760]   It's the only streaming platform where you can learn and grow with over 200 of the world's best.
[00:13:11.760 --> 00:13:22.240]   And for just $10 a month, an annual membership with Masterclass gets you unlimited access to every instructor on your phone, computer, smart TV, or even in audio mode.
[00:13:22.240 --> 00:13:32.720]   I've leveled up my investing with Ray Dalio, perfected pizza making with Tony Gimignani, and picked up so many great business lessons from Howard Schultz, Rosalind Brewer, Bob Iger, and so many more.
[00:13:32.720 --> 00:13:34.320]   All through Masterclass.
[00:13:34.320 --> 00:13:41.320]   But recently, I wanted to set up some great habits for 2025, and I took James Clear's class on habits, and it was so helpful.
[00:13:41.320 --> 00:13:43.200]   And it's not just me that loves it.
[00:13:43.200 --> 00:13:50.840]   88% of members feel that Masterclass has made a positive impact on their lives, plus every new membership comes with a 30-day money-back guarantee.
[00:13:50.840 --> 00:14:00.880]   So you have to check out Masterclass, and right now, our listeners will get an additional 15% off any annual membership at chrishutchins.com slash masterclass.
[00:14:01.040 --> 00:14:05.240]   That's 15% off at chrishutchins.com slash masterclass.
[00:14:05.240 --> 00:14:07.840]   This episode is brought to you by Trust and Will.
[00:14:07.840 --> 00:14:10.860]   It is so easy to overcomplicate simple tasks.
[00:14:10.860 --> 00:14:20.540]   Believe me, I know, I love doing so much research, but some things don't always need to be so overcomplicated, they end up getting put off forever, like creating a will or trust.
[00:14:20.540 --> 00:14:26.740]   So check out Trust and Will, because they make estate planning straightforward and so simple you can do it from your couch.
[00:14:27.180 --> 00:14:33.540]   Their platform is attorney-designed, specific to each state, and most important, customized by you at every step.
[00:14:33.540 --> 00:14:44.280]   I can tell you firsthand how great Trust and Will is because we actually used it to set up our estate plan years ago, long before they were a sponsor, because it was quick, easy, and way less intimidating than it seems.
[00:14:44.280 --> 00:14:56.500]   In a few guided steps, we had a solid plan in place to protect our family, and we were able to customize it to match all our nuanced preferences about what happens to our savings, who's going to be the guardian for our kids, and so much more.
[00:14:56.700 --> 00:15:05.260]   I can't tell you how much peace of mind we have knowing that we got all of this taken care of, and it was so easy to update online after we had our second child.
[00:15:05.260 --> 00:15:08.700]   So let Trust and Will uncomplicate the process for you.
[00:15:08.700 --> 00:15:16.880]   Protect what matters most in minutes at allthehacks.com slash trustandwill, and get 10% off plus free shipping.
[00:15:16.880 --> 00:15:22.200]   That's 10% off and free shipping at allthehacks.com slash trustandwill.
[00:15:22.200 --> 00:15:36.540]   The next thing to understand is that every single one of those airlines, both the ones flying and the ones you can book from, have a different window whereby they release seats and make them available to book, and they're able to book flights on partners.
[00:15:36.540 --> 00:15:46.820]   And I'll link to a great guide that Devin Gimbel, who came on the podcast a few weeks ago from Point Me to First Class, has that you can download of when all of the different airlines open their schedules.
[00:15:46.820 --> 00:15:51.860]   For example, Japan Airlines actually opens their schedule at, I think, 361 days out.
[00:15:51.860 --> 00:15:58.380]   They're in the One World Alliance, but American Airlines doesn't actually open up their schedule or let you book until 331 days out.
[00:15:58.380 --> 00:16:03.300]   So you might think, oh, wow, Japan Airlines, I'm going to go grab one of those seats the moment the schedule is open.
[00:16:03.300 --> 00:16:12.880]   But if you're planning to book those seats with a partner, and that partner doesn't let you book until 331 days, you're going to have to hope those seats stay there for 30 days before you can book them.
[00:16:13.080 --> 00:16:15.720]   So it's important to understand when different airlines let you book seats.
[00:16:15.720 --> 00:16:24.060]   And the reason it's important is because some airlines have a practice where they just specifically drop a certain number of seats every day.
[00:16:24.060 --> 00:16:25.460]   And Japan Airlines is one of those.
[00:16:25.460 --> 00:16:32.760]   You can almost always find two business class seats on Japan Airlines on every single route the day they release the schedule.
[00:16:33.020 --> 00:16:44.040]   But if you're trying to book them from a program that doesn't have access to Japan Airlines or does but doesn't have access at 361 days, you'll find yourself in a situation that you can't book those flights.
[00:16:44.300 --> 00:16:53.160]   So on the Star Alliance side, Avianca lets you book 360 days out, Aeroplan lets you book 355 days out, but United only lets you book 337 days out.
[00:16:53.160 --> 00:16:54.760]   So similar process there.
[00:16:54.760 --> 00:16:59.140]   On the hotel side, almost every hotel group lets you book about a year out.
[00:16:59.140 --> 00:17:01.100]   Hyatt goes a few months past that.
[00:17:01.100 --> 00:17:03.480]   I think it's 13 months around there.
[00:17:03.480 --> 00:17:05.300]   Accor, I think it's around 13 months.
[00:17:05.300 --> 00:17:07.720]   And then Radisson, somehow they let you book two years out.
[00:17:07.720 --> 00:17:11.980]   So I think depending on the hotel program and the airline program, you'll want to look these up.
[00:17:11.980 --> 00:17:15.900]   I'll link to a guide that you can download that Devin put together and you can get all that.
[00:17:15.900 --> 00:17:21.840]   Some other programs have reliable windows where maybe six months out or 14 days out, they release more seats.
[00:17:21.840 --> 00:17:28.740]   Lufthansa is notorious for only releasing their first class awards to partners within the 15 days before departure.
[00:17:28.740 --> 00:17:30.500]   And there are tools that make this really easy.
[00:17:30.500 --> 00:17:41.960]   So seats.aero has a bunch of tools like the Lufthansa first class finder, the Qatar Q suites finder, the Japan Airlines first class finder, where you can actually just look for those routes that are really hard to find.
[00:17:41.960 --> 00:17:48.180]   And you'll see right here that Lufthansa's first class is only available in the next three days, but there are 10 routes you can take.
[00:17:48.180 --> 00:17:51.240]   So if you want to go from Boston to Munich in first class, you could do it.
[00:17:51.240 --> 00:17:53.180]   It's 140,000 points through United.
[00:17:53.180 --> 00:17:56.000]   And that's a way to get access to that ticket.
[00:17:56.000 --> 00:18:02.120]   Now, that doesn't mean that United, again, is the only place you can book it, but that's how they're searching this inventory with this tool.
[00:18:02.300 --> 00:18:06.800]   And that's really my next thing that I want to talk about, which is understanding these award search tools.
[00:18:06.800 --> 00:18:15.440]   Now, if you go back to episode 166 and 167, I sat down with Greg from the frequent miler and we broke down all the best tools for booking flights.
[00:18:15.440 --> 00:18:17.420]   And then the next episode on hotels.
[00:18:17.420 --> 00:18:23.300]   So I'm not going to do a masterclass on flights and hotel award search tools because I've already done that.
[00:18:23.720 --> 00:18:26.720]   But I'll just broadly remind everyone how these tools work.
[00:18:26.720 --> 00:18:29.120]   And there's really two searches you'd want to make.
[00:18:29.120 --> 00:18:31.800]   So one of them is a discovery search.
[00:18:31.800 --> 00:18:39.640]   And for that, I think Points Yeah has this daydream explorer, which is a really cool thing where you can say, hey, take me from the United States to anywhere.
[00:18:39.960 --> 00:18:46.860]   And then you could say, oh, I'm looking for a beach and I'm looking for something that I can transfer my points to from Amex.
[00:18:46.860 --> 00:18:49.720]   And I'd like to find it in business class.
[00:18:49.720 --> 00:18:50.780]   Tell me what you can find.
[00:18:50.780 --> 00:18:53.720]   And it'll just show you all these ideas of what's possible.
[00:18:53.720 --> 00:18:55.200]   So, for example, I'm looking right now.
[00:18:55.200 --> 00:18:59.280]   Oh, I can go to Italy for 55,000 points in premium economy.
[00:18:59.280 --> 00:19:04.020]   Or I can go to the Maldives, 35,000 points in economy.
[00:19:04.020 --> 00:19:06.600]   This is great for when you're really, really flexible.
[00:19:06.600 --> 00:19:10.340]   These discovery tools that are just like, help me get the most out of my points and miles.
[00:19:10.340 --> 00:19:12.780]   Then on the flip side, there are flight search tools.
[00:19:12.780 --> 00:19:17.040]   And they can let you say either San Francisco to Tokyo.
[00:19:17.040 --> 00:19:20.940]   Or depending on the tool, some of them let you say San Francisco to Europe.
[00:19:20.940 --> 00:19:23.060]   Or West Coast airports to Europe.
[00:19:23.060 --> 00:19:27.320]   The one I probably use the most is Award Tool or Seats.Aero.
[00:19:27.320 --> 00:19:31.060]   But almost every one of these tools has both of those features.
[00:19:31.060 --> 00:19:33.300]   So I'd encourage you to play around with them.
[00:19:33.300 --> 00:19:38.200]   Most of them give you free access to search in a limited window, like in the next 60 days.
[00:19:38.200 --> 00:19:40.960]   And the paid tools give you a longer window to search.
[00:19:40.960 --> 00:19:44.740]   So find the tool that you get the most value out of and explore that.
[00:19:44.740 --> 00:19:46.000]   Another tool is Point.me.
[00:19:46.000 --> 00:19:49.980]   They recently also offered something like that flight discovery tool.
[00:19:49.980 --> 00:19:50.960]   They call it Explore.
[00:19:50.960 --> 00:19:53.840]   But the thing that I think they really shine at is two or three things.
[00:19:53.840 --> 00:19:58.000]   One, on the search side, I feel like they have a great set of partners.
[00:19:58.000 --> 00:20:00.160]   They used to have at least the most number of partners.
[00:20:00.300 --> 00:20:05.920]   So if you found a flight you specifically want, you just want to know where's the best place to book it for the best deal.
[00:20:05.920 --> 00:20:07.580]   Point.me has that data.
[00:20:07.580 --> 00:20:10.340]   I really feel like they have a comprehensive list.
[00:20:10.340 --> 00:20:14.040]   But where they really shine is that they're going to walk you through exactly how to do it.
[00:20:14.040 --> 00:20:17.520]   They also have a concierge where you can spend $100 to $200 per person.
[00:20:17.520 --> 00:20:21.840]   And they will go out and do all the searching and do everything for you and walk you through the whole process.
[00:20:22.000 --> 00:20:24.620]   So having an award search tool is really important.
[00:20:24.620 --> 00:20:33.560]   On the hotel side, there's a ways, max my point, and stay with points that are all different ways to search and set alerts for hotels.
[00:20:33.560 --> 00:20:35.920]   And a lot of these tools have added hotels as well.
[00:20:35.920 --> 00:20:37.800]   So actually, Points.me, I think, has hotels.
[00:20:37.800 --> 00:20:38.960]   Award tool has hotels.
[00:20:38.960 --> 00:20:41.220]   Seats.arrow launched rooms.arrow.
[00:20:41.220 --> 00:20:44.840]   If you're kind of a spreadsheet nerd, Seats.arrow is probably going to be your favorite tool.
[00:20:45.180 --> 00:20:47.020]   But definitely go back to that episode.
[00:20:47.020 --> 00:20:51.380]   The other tool that I'll include on this list that is a little bit different is called PointsPath.
[00:20:51.380 --> 00:20:56.000]   And the way that tool works is it's an extension that sits on top of Google Flights.
[00:20:56.000 --> 00:21:02.400]   So if you search for a flight, it'll tell you, hey, this flight's $419 or 37,500 miles on United.
[00:21:02.400 --> 00:21:03.220]   Use cash.
[00:21:03.220 --> 00:21:09.600]   But if you scroll down, I'm looking right here, $419 on Alaska or 20,000 points, it's a great deal.
[00:21:09.600 --> 00:21:10.240]   Use your points.
[00:21:10.240 --> 00:21:14.440]   And so it layers it on top of your searches you're already doing on Google Flights.
[00:21:14.960 --> 00:21:17.920]   But it has a very limited number of airlines it supports.
[00:21:17.920 --> 00:21:21.840]   So I think it's a really good tool for domestic because they include all the domestic carriers.
[00:21:21.840 --> 00:21:27.340]   But if you're looking for kind of long-haul, complicated international flights, I don't think it's going to be as helpful.
[00:21:27.340 --> 00:21:29.960]   The other tool I use a lot is called Flight Connections.
[00:21:29.960 --> 00:21:37.720]   And the reason I use that is because you can basically search for an airport and it'll just tell you all of the flights that fly directly from that airport.
[00:21:37.720 --> 00:21:42.020]   So it's pretty helpful if you're thinking, oh, where can I fly direct?
[00:21:42.020 --> 00:21:43.480]   Who flies out of this airport?
[00:21:43.800 --> 00:21:48.300]   Or when we talk about positioning flights in a little bit, I'll explain how I use that tool as well.
[00:21:48.300 --> 00:21:55.160]   Finally, I'm hopeful that as AI agents get better and better, they can learn to use a lot of these award search tools and help all this process.
[00:21:55.160 --> 00:21:56.260]   But I haven't seen that yet.
[00:21:56.260 --> 00:21:59.120]   The last foundational tip I want to share is around buying points.
[00:21:59.360 --> 00:22:04.620]   Just because you don't have the points in your account doesn't mean you can't take advantage of some of these amazing deals.
[00:22:04.620 --> 00:22:06.980]   Points are very, very often on sale.
[00:22:06.980 --> 00:22:15.460]   And in the case where sometimes I've been able to get four, five, six cents a point, you can almost always buy points for less than four cents.
[00:22:15.460 --> 00:22:20.200]   You can almost always buy points for in the one to two cent range, depending on the program.
[00:22:20.200 --> 00:22:23.500]   And on the hotel side, they're often down as cheap as half a cent.
[00:22:23.500 --> 00:22:27.760]   I know I've seen Hilton points and Choice Hotels points down at half a cent pretty regularly.
[00:22:27.760 --> 00:22:30.100]   So points are always on sale.
[00:22:30.100 --> 00:22:35.740]   Some airlines like Avianca and Air Canada are notorious for putting points on sale all the time.
[00:22:35.860 --> 00:22:44.360]   So I think Avianca had their points on sale 13 times back in 2023, Air Canada 10 times, Hilton 6 times, British Airways 8 times.
[00:22:44.360 --> 00:22:58.220]   So I would say using these award tools to see if there's an amazing deal, even if you're not really deep in the points and miles game, is still valuable because you might be able to buy those points at a price that still makes the flight cheaper than if you paid cash.
[00:22:58.220 --> 00:23:01.300]   So that's kind of some of the foundational stuff that I think you need to know.
[00:23:01.300 --> 00:23:03.800]   You need to be flexible, but not in the way you might think.
[00:23:03.920 --> 00:23:13.380]   You want to look at all the different partners, understand their rules, understand when their schedule is open, find an award tool that you can use to search, and consider the fact that you can buy points.
