
[00:00:00.000 --> 00:00:20.520]   how's it going everyone are you all doing yeah let's go let's go let's get the vibes going let's
[00:04:20.740 --> 00:04:26.500]   this mantra that that we've had at our company for you know uh almost a decade now really kicked in
[00:04:26.500 --> 00:04:31.860]   which is you really want a small number of people with more context per head because what that means
[00:04:31.860 --> 00:04:37.060]   is that people at the company have more agency they can just go and build things they don't have to
[00:04:37.060 --> 00:04:41.700]   get permission to build things right um there's not this whole chain of command you have to go through
[00:04:41.700 --> 00:04:48.660]   etc everyone's very empowered things just move a lot faster you can just go and you know make uh uh you
[00:04:48.660 --> 00:04:53.140]   know immediate impact which again is really important when you're dealing with this sort of like scale right
[00:04:53.860 --> 00:04:58.420]   of course for startups the name of the game when you're finding product market fit is you need to
[00:04:58.420 --> 00:05:03.620]   be able to take as many shots on goal as you possibly can because like fundamentally getting
[00:05:03.620 --> 00:05:08.820]   product market fit is is just like an enterprise sales pipeline like if you're a sales an enterprise
[00:05:08.820 --> 00:05:12.820]   sales rep and you want to close a million dollars of pipeline you don't go and talk to like three
[00:05:12.820 --> 00:05:16.980]   people and assume you're going to close a million dollars of pipeline you're talking to like 100 200
[00:05:16.980 --> 00:05:22.180]   people at your top of funnel of those you know half of those maybe take the next call of those
[00:05:22.180 --> 00:05:27.380]   you know maybe 10 are remaining that are actually warm leads of those you close three or something
[00:05:27.380 --> 00:05:32.100]   right same thing with like you know building products and building startups in the early phases
[00:05:32.100 --> 00:05:36.660]   you need to stick around as long as you possibly can which means you need a lower burn rate you do
[00:05:36.660 --> 00:05:41.860]   not want to have more people at the company right um because humans are the most expensive thing for a
[00:05:41.860 --> 00:05:45.620]   company doesn't mean you shouldn't hire them but it means that you know it's important for your
[00:05:45.620 --> 00:05:51.620]   ability to have a durable uh you know enough time to actually take shots on goal case in point one of
[00:05:51.620 --> 00:05:57.460]   our main competitors of our previous product when we were in the ide space they got acquired basically
[00:05:57.460 --> 00:06:02.580]   stripped for parts two weeks before we launched bolt right and we were on that same trajectory but purely
[00:06:02.580 --> 00:06:07.300]   a matter of they they didn't have enough runway to actually get to the other side of this thing and
[00:06:07.300 --> 00:06:12.420]   they were good like they would have been meaningful competitors in this space to us right um okay so that's
[00:06:12.420 --> 00:06:15.540]   this is you know there's a whole bunch of reasons this is important those are kind of the
[00:06:15.540 --> 00:06:23.220]   main reasons um again this is not new a lot of uh you know folks that do startups repeat this sort of
[00:06:23.220 --> 00:06:30.180]   thing you want to have people to have a great shared uh you know shared set of core values that uh you
[00:06:30.180 --> 00:06:37.940]   know where it's low ego high trust um they're obsessed with making the user successful and underneath you
[00:06:37.940 --> 00:06:46.340]   know chaos they have grit and resilience right if you if you aren't in this sort of insane situation like
[00:06:46.340 --> 00:06:53.700]   we were uh and you have folks that are already having trouble with the ups and downs of a startup i will
[00:06:53.700 --> 00:06:58.900]   tell you it it would not have been possible to do what we did um with folks that they didn't have just
[00:06:58.900 --> 00:07:05.220]   incredible grit and ability to check their ego and focus on what really mattered right um so great people is
[00:07:05.220 --> 00:07:10.660]   what it's what it's always about um so that's i think from a team perspective those are the things
[00:07:10.660 --> 00:07:16.980]   that that really uh stick out to me from you know what what allowed us to uh uh you know really scale
[00:07:16.980 --> 00:07:24.580]   with the traction that we saw um and we're seeing to handle and this this probably applies to um not just
[00:07:24.580 --> 00:07:30.900]   like this crazy extreme situation that we are in growing the company but in general you know at startups
[00:07:30.900 --> 00:07:36.740]   there's going to be things times when just everything's on fire right and uh and a lot
[00:07:36.740 --> 00:07:39.780]   of you probably relate to this where it's like sometimes it's good things on fire it's just you
[00:07:39.780 --> 00:07:44.740]   know tons of customers sometimes it's bad things that are on fire right um and there's just lots of them
[00:07:44.740 --> 00:07:50.900]   and the question is how do you how do you prioritize and the best analogy that that uh i have uh leaned
[00:07:50.900 --> 00:07:56.900]   into like as an operator is like imagine that you're you know a fire truck squad you have one truck
[00:07:56.900 --> 00:08:03.700]   and you're in a town that's completely on fire where do you start and the answer is you have to make hard
[00:08:03.700 --> 00:08:10.500]   decisions and choose where the high impact areas are from infrastructure uh you know and the key people
[00:08:10.500 --> 00:08:16.100]   that that need to be saved right and it's tough because all these things it's it's hard to gauge uh
[00:08:16.100 --> 00:08:20.740]   sometimes what's actually going to be the most important thing but that's the job right of
[00:08:20.740 --> 00:08:26.180]   firefighting and so that's uh and a lot and that and what you're what you're saying is there are some
[00:08:26.180 --> 00:08:31.300]   fires they're just going to have to burn and that's okay right but if we focus on on saving the right
[00:08:31.300 --> 00:08:36.180]   things focus on the right things um that'll make up for you know all the other things that we that we
[00:08:36.180 --> 00:08:40.900]   have to let go because we simply can't focus on everything as a small team but there's actually an added
[00:08:40.900 --> 00:08:45.860]   benefit of that is that you don't get lost in the million things if you if you just hired a whole
[00:08:45.860 --> 00:08:51.620]   bunch of people you feel like you have to do all of these things it turns out focusing on 10 of the
[00:08:51.620 --> 00:08:57.140]   things often gets you the lion's share of of the result that actually matters so it forces you to
[00:08:57.140 --> 00:09:01.700]   actually have clearer thinking and what you're going to go put your time and focus into as a team right
[00:09:01.700 --> 00:09:09.860]   um and uh you know i kind of mentioned the story of for us you know we've been around for a long time
[00:09:09.860 --> 00:09:16.180]   like eight years now as a company and you know over the past eight years in the valley there's been a
[00:09:16.180 --> 00:09:22.500]   lot of things that people will say and believe and you go to things you know the gatherings of people
[00:09:22.500 --> 00:09:25.780]   and they'll kind of repeat these same things then they'll change all of a sudden so a couple of these
[00:09:25.780 --> 00:09:32.820]   like just random examples uh back when we started 2017 2018 remote work was like very uh looked down
[00:09:32.820 --> 00:09:37.700]   upon it was like there's no way you could do that um my co-founder and i we just you know the best
[00:09:37.700 --> 00:09:42.580]   candidates we saw were coming in from all around the world and so we uh when we had actually gotten an
[00:09:42.580 --> 00:09:47.620]   office in sf we thought we were going to set up shop here uh six months into paying this you know
[00:09:47.620 --> 00:09:51.060]   five thousand dollar a month office we're like what are we doing like we haven't hired a single person
[00:09:51.060 --> 00:09:56.980]   here uh we went fully in on remote in like 2018 pandemic hits then the world's like remote work
[00:09:56.980 --> 00:10:01.300]   this is it like how you know blah blah and now we're kind of flipping back to previous you need to
[00:10:01.300 --> 00:10:07.220]   have your own thinking right because if you just try and follow whatever you know the press or investors
[00:10:07.220 --> 00:10:11.780]   whatever say it's it's going to be a nightmare you're you're going to be distracted by a whole bunch
[00:10:11.780 --> 00:10:17.540]   of decisions that fundamentally are not actually coming from your assessment of reality um another great
[00:10:17.540 --> 00:10:23.220]   one is to the topic of tiny teams if you were raising money in 20 if you're a company in 2021
[00:10:23.220 --> 00:10:27.860]   you had investors they were screaming at you ours were uh you should raise more money you should hire
[00:10:27.860 --> 00:10:32.260]   a whole bunch more people that's how this is successful and then if you waited 12 months in 2022
[00:10:32.260 --> 00:10:35.860]   they would come back and they'd say you need to lay off a whole bunch of people you need to stop
[00:10:35.860 --> 00:10:40.740]   spending money and and you know and for us we're like we never were spending money we never did increase
[00:10:40.740 --> 00:10:45.620]   the head count right so you you know it's you want to have these sort of bets that you make and i i don't
[00:10:45.620 --> 00:10:50.260]   want to say it's you don't want to be contrarian for contrarian sake some of this stuff uh that that
[00:10:50.260 --> 00:10:55.060]   is repeated actually you know tends to be durable advice but i would just encourage you to like think
[00:10:55.060 --> 00:11:00.100]   for yourself and don't just adopt a lot of the hive mind stuff because the you know it seems like the
[00:11:00.100 --> 00:11:05.220]   best companies tend to have independent decision making that really allows them to succeed so um
[00:11:05.220 --> 00:11:10.740]   of course uh leading from the front is very important again this is not a new thing but what i'll say
[00:11:11.620 --> 00:11:18.660]   in the first week of bulping online it was uh it was it was pretty touch and go because again the
[00:11:18.660 --> 00:11:26.500]   product was very was very brittle um and it became clear to me like if if if i don't myself and the
[00:11:26.500 --> 00:11:32.900]   team don't get out and make ourselves visible to the community and and engage with them people are going
[00:11:32.900 --> 00:11:35.460]   to churn and they're going to go away and they're not going they're going to lose belief pretty quickly
[00:11:35.460 --> 00:11:40.100]   because we we have so much work to do and so we started running a weekly office hour session where
[00:11:40.100 --> 00:11:45.300]   we let all users tune in on youtube and x or whatever and we just showed them we were building
[00:11:45.300 --> 00:11:48.580]   we're like hey we hear you here's the things we're working on here's what we think they're going to land
[00:11:48.580 --> 00:11:54.580]   people would ask questions etc and so you know again how do you smooth that sort of you know growth curve
[00:11:54.580 --> 00:12:00.740]   you you go and do things that don't scale because user love is it hard to quantify on on you know
[00:12:00.740 --> 00:12:06.020]   specifically but oh my god it works and that's that's how you can really scale um you know love for a
[00:12:06.020 --> 00:12:14.420]   product like this um last thing uh i'll mention you know as far as like tools that we used um support is
[00:12:14.420 --> 00:12:19.940]   something that is now like you can there's a lot of ai tools that are coming out right that help you scale
[00:12:19.940 --> 00:12:25.620]   uh you know all aspects of your business support has been a huge one for us the first two months
[00:12:25.620 --> 00:12:30.660]   that we were online i mentioned earlier uh my chief of staff and i were the primary support people
[00:12:30.660 --> 00:12:34.980]   uh spending a lot of our time doing emails we ended up um picking up a tool called parahelp
[00:12:34.980 --> 00:12:42.500]   everyone's heard of those guys but they are our the ai assistant called sam from those guys is the
[00:12:42.500 --> 00:12:48.660]   top rated uh support assistant um for us and takes out 90 of our tickets automatically right
[00:12:49.460 --> 00:12:55.540]   a year ago two years ago we would have had to hire 50 people to to go and scale to that right
[00:12:55.540 --> 00:13:00.980]   um the leverage that that you can have by integrating ai and there's even custom things we're doing in our
[00:13:00.980 --> 00:13:05.860]   products you know training our own you know little uh models to help people be successful within the
[00:13:05.860 --> 00:13:10.820]   product experience it would have required human support before there's a lot of things you can do um by
[00:13:10.820 --> 00:13:16.180]   not just making an ai product but also building around the entire customer success journey to be um you
[00:13:16.180 --> 00:13:21.300]   you know powered by that para help yeah para help so i think they're they're uh we're one of their
[00:13:21.300 --> 00:13:27.940]   customers i think cursors using them um a couple of just brilliant uh you know young young guys i think
[00:13:27.940 --> 00:13:33.780]   out of europe or something running that company um and i mentioned this before with like kind of leading
[00:13:33.780 --> 00:13:40.660]   from the front but community this is something that ai cannot replace going and actually talking to
[00:13:40.660 --> 00:13:46.420]   users like creating a space for users to try out your product and like learn from each other um is
[00:13:46.420 --> 00:13:52.180]   so key and yeah this has always kind of been the case right but especially now if you're building an ai
[00:13:52.180 --> 00:13:57.220]   product it's really important that folks can like learn from each other and learn in a place where they
[00:13:57.220 --> 00:14:02.660]   can get help um you know from pros right and from the community themselves because this is another way
[00:14:02.660 --> 00:14:08.660]   you can really scale the customer experience without having to add headcount within your company itself
[00:14:08.660 --> 00:14:12.180]   right and so one of the kind of cool ways that we're doing this i don't know if you've even seen
[00:14:12.180 --> 00:14:15.860]   um we are throwing the world's largest hackathon right now actually for this entire month
[00:14:15.860 --> 00:14:19.700]   if you go to hackathon.dev you can check it out we have passed the guinness world record by the way
[00:14:19.700 --> 00:14:24.580]   this is like already so let's go we've got 80 something thousand people that are participating
[00:14:24.580 --> 00:14:30.500]   um but basically we've got this amazing event going on we have dozens of people coming to help uh provide
[00:14:30.500 --> 00:14:35.780]   support and uh you know as folks are building out their projects trying out the product um and this
[00:14:35.780 --> 00:14:42.100]   has been just in the most the craziest roi we've ever seen from a marketing initiative we've ever done
[00:14:42.100 --> 00:14:47.620]   both due to the scale but also the thoughtfulness and like getting augmenting it with both the ai support
[00:14:47.620 --> 00:14:54.580]   and the community support etc um this sort of stuff really works right so um to kind of wrap up here uh
[00:14:54.580 --> 00:14:58.980]   these are you know the main takeaways if you want to like take a photo of you know the tldr or whatever
[00:14:59.780 --> 00:15:04.580]   um these are kind of the main things that you know stuck out to me from the the past couple of months
[00:15:04.580 --> 00:15:11.460]   of uh of our experience that really made a difference and and you know again like i said it was very
[00:15:11.460 --> 00:15:16.740]   touch and go right for the first especially the first two months just how unexpected and unprepared
[00:15:16.740 --> 00:15:22.420]   we were you know for for what happened uh without this these things like this would not have worked
[00:15:22.420 --> 00:15:26.820]   and it wouldn't be working now right uh and to boil that down it's like you know you don't want to hire an
[00:15:26.820 --> 00:15:31.940]   army you want a small number of spartans right that's kind of the mentality that we look for
[00:15:31.940 --> 00:15:37.540]   when we hire people onto the team so um all right with that uh let's go uh so this is where you can
[00:15:37.540 --> 00:15:42.740]   find me um i have to like go to sfo like immediately after this but if if anyone wants to chat about
[00:15:42.740 --> 00:15:48.340]   stuff or ever has questions that's where i am on x and then that's my my email address there um i think
[00:15:48.340 --> 00:15:53.220]   we have one minute for questions actually if anyone has a burning one there's a microphone up here if you
[00:15:53.220 --> 00:16:04.420]   want to come on up but yeah yeah hey how did you decide what to build like did you have a framework
[00:16:04.420 --> 00:16:09.220]   for you know talking to users or did you just ideate and you know ship product experiments and see see
[00:16:09.220 --> 00:16:13.380]   what stuck or yeah what was the process there yeah you're talking about like for like kind of like how
[00:16:13.380 --> 00:16:18.980]   we decided to build bolt or and even after yeah we we tried out like uh probably five different things
[00:16:18.980 --> 00:16:24.980]   last year and all of them i mean i think it's you know all the things i've ever built that that really
[00:16:24.980 --> 00:16:30.820]   seem to stick with users and resonate always started with something that uh i myself thought was cool you
[00:16:30.820 --> 00:16:36.100]   know uh which sounds like very obvious but there's also most of the things i've built in my career have
[00:16:36.100 --> 00:16:41.940]   been things that sounded good and like it's like hey this should like maybe increase our arr but it
[00:16:41.940 --> 00:16:47.380]   like did intrinsically wasn't something that i was like so so so stoked about that i couldn't sleep at
[00:16:47.380 --> 00:16:51.940]   night bolt was one of those things you know and then we certainly put in front of users uh people
[00:16:51.940 --> 00:16:58.420]   seemed excited um and i'll tell you this what what the user feedback we got from the early bolt sessions
[00:16:58.420 --> 00:17:03.220]   before we launched versus some like launching stack puts was the exact same and the outcomes couldn't
[00:17:03.220 --> 00:17:07.460]   have been more different right so again it's all about just like taking shots on goal because you
[00:17:07.460 --> 00:17:11.460]   you just don't know until you actually get it out into the world um you can certainly get the early
[00:17:11.460 --> 00:17:16.420]   feedback but um you know it's it's all about just getting it launched getting it out there and you know
[00:17:16.420 --> 00:17:23.540]   iterating as fast as you can so am i cut okay i'm sorry i'm sorry i can't take anymore thank you thank
[00:17:23.540 --> 00:17:32.340]   you for having me um hopefully this is helpful

