
[00:00:00.000 --> 00:00:08.280]   I want to make sure that I ask you about stroke, diabetes, and heart disease.
[00:02:02.500 --> 00:02:08.260]   And the ones that have the modest view of nature recovered faster from gallbladder surgery and used less pain medication.
[00:02:08.260 --> 00:02:11.420]   And you've got to be thinking, what's up with that?
[00:02:11.420 --> 00:02:12.860]   Like, what's the mechanism there?
[00:02:12.860 --> 00:02:16.500]   I don't think it's air quality.
[00:02:16.500 --> 00:02:22.400]   I don't think the people with the views of nature somehow exercised more.
[00:02:22.400 --> 00:02:28.180]   There's something about the aesthetic of nature that can also be physically healing.
[00:02:28.180 --> 00:02:30.420]   I mean, that's pretty wild.
[00:02:32.340 --> 00:02:38.540]   We kind of followed up on that in a study that we did in Toronto, which was kind of cool.
[00:02:38.540 --> 00:02:42.680]   We had health data from about 30,000 people in Toronto.
[00:02:42.680 --> 00:02:51.700]   And then we had two incredible data sets to quantify green space in people's neighborhoods that we then could relate to health.
[00:02:51.700 --> 00:03:00.040]   So the University of Toronto Forestry Department had a data set where they cataloged every single tree on public land in the city of Toronto.
[00:03:00.040 --> 00:03:04.700]   So we had data for 580,000 trees in the city of Toronto.
[00:03:04.700 --> 00:03:12.700]   We knew the species of the tree and the diameter of the tree at breast height, basically saying how old the tree was.
[00:03:12.960 --> 00:03:20.160]   And then my student, Omid Cardan, calculated basically how much tree canopy each individual tree provided.
[00:03:20.160 --> 00:03:33.700]   Then we had this other data set that was satellite imagery of the whole city of Toronto, where we could quantify all the other trees that were like in people's backyards or something like that.
[00:03:33.820 --> 00:03:40.140]   And from those data, we basically related health, the health data to the tree data.
[00:03:40.140 --> 00:03:44.660]   And we found, so for one variable is subjective.
[00:03:44.660 --> 00:03:48.880]   So how healthy do people think they are?
[00:03:48.880 --> 00:03:50.100]   How healthy do they feel?
[00:03:50.100 --> 00:04:01.300]   And we found that if you just added one tree on their city block, that was related to a 1% increase in people's health perception.
[00:04:01.300 --> 00:04:18.860]   Now, that sounds pretty modest, but to get that equivalent benefit monetarily, you'd have to give everybody in that neighborhood $10,000 and have them move to a neighborhood that had a median income that was $10,000 wealthier, or it was also related with being seven years younger.
[00:04:19.340 --> 00:04:24.600]   And again, the tree effect was controlling for age, education, and income, so that was pretty interesting.
[00:04:24.600 --> 00:04:28.260]   We also had data on more objective health measures.
[00:04:28.260 --> 00:04:30.080]   Does somebody have a stroke?
[00:04:30.080 --> 00:04:31.560]   Do they have diabetes or heart disease?
[00:04:31.560 --> 00:04:44.760]   And there we found if you increased the amount of trees on the street by one tree per neighborhood, that was related to a 1% reduction in stroke, diabetes, and heart disease.
[00:04:44.760 --> 00:04:58.940]   Again, sounds pretty modest, but to get that equivalent benefit monetarily, you'd have to give every household in that neighborhood $20,000, have them all move to a neighborhood that's $20,000 wealthier, or it was also related to being one and a half years younger.
[00:04:58.940 --> 00:05:01.020]   So pretty incredible.
[00:05:01.020 --> 00:05:13.780]   Again, I can't say causality because it's correlational, but I'm fairly confident in the direction because the worst case scenario is just healthier people choose to live in neighborhoods that have more trees.
[00:05:13.960 --> 00:05:19.020]   But they can't be younger, they can't be wealthier, they can't be more educated because we controlled for that.
[00:05:19.020 --> 00:05:30.640]   Now, for that study, maybe the mechanism could be air quality, or maybe the mechanism could be, you know, maybe people are more willing to exercise if there's more trees on the street.
[00:05:30.640 --> 00:05:40.280]   But pretty incredible stuff that just increasing the tree canopy a little bit, you could get these physical health benefits.
[00:05:40.920 --> 00:05:41.580]   That is impressive.
[00:05:41.580 --> 00:05:50.160]   For people that don't have the opportunity to plant more trees in their neighborhood, would getting and tending to an indoor plant have any positive effects?
[00:05:50.160 --> 00:06:03.740]   So people have found some effects of having indoor plants, not necessarily to these physical health benefits, but there's some attention benefits of having indoor greenery.
[00:06:03.740 --> 00:06:15.080]   There's also been some benefits, like hospitals now are starting to take this seriously, that patients subjectively feel better when there's this greenery around.
[00:06:15.080 --> 00:06:34.480]   I've seen other work too, that people that are having some procedures that are very painful, that actually bringing greenery into the hospital rooms can be helpful for reducing feelings of pain.
[00:06:34.480 --> 00:06:35.480]   Interesting.
[00:06:35.480 --> 00:06:36.480]   Interesting.
[00:06:36.480 --> 00:06:37.480]   Yeah.
[00:06:37.480 --> 00:06:41.100]   Yeah, I'm about to embark on putting a bunch of plants in my place.
[00:06:41.100 --> 00:06:43.420]   I'm also a big fan of fish tanks.
[00:06:43.420 --> 00:06:46.860]   As long as you take good care of them, underwater scapes are really cool.
[00:06:46.860 --> 00:06:47.360]   Yes.
[00:06:47.360 --> 00:06:51.980]   And I like to think, I don't have any data on this, but I like to think that they are passive and restorative.
[00:06:51.980 --> 00:06:56.260]   Staring at a fish tank is a lot like being in a dream.
[00:06:56.260 --> 00:07:06.900]   Yeah, there's a, in Toronto, there's a Ripley's Aquarium and they have this tank that's got kelp and you can see the kelp kind of moving in the water.
[00:07:06.900 --> 00:07:13.640]   It definitely feels very restorative and watching the fish swim around also feels very, very restorative.
[00:07:13.640 --> 00:07:29.280]   Yeah, the feeling that might be familiar to people that visited, for instance, the Monterey Bay Aquarium or this aquarium that you're describing is when the tanks are at eye level or higher, it puts you into this other world, right?
[00:07:29.280 --> 00:07:30.280]   Yes.
[00:07:30.280 --> 00:07:32.280]   Like you're at the bottom of the ocean or you're in the ocean.
[00:07:32.280 --> 00:07:33.280]   Yes.
[00:07:33.280 --> 00:07:39.840]   But the feeling that's always striking to me is when you leave an aquarium and you're out into the real world again, it feels so different.
[00:07:39.840 --> 00:07:48.000]   It's what you take away from it that's equally interesting, in the same way that when you walk out of a really great movie, the world feels different.
[00:07:48.000 --> 00:07:49.000]   Yes.
[00:07:49.000 --> 00:07:57.080]   It feels lighter, brighter, it's of course, physically brighter, but there's really something to it, the contrast between experiences, which is so much of what we're talking about today.
[00:07:57.080 --> 00:08:05.240]   It feels better.

