
[00:00:00.000 --> 00:00:02.000]   I'm now recording.
[00:07:53.000 --> 00:07:56.000]   And so we're just going to ring fence this problem.
[00:07:56.000 --> 00:08:00.000]   And we're going to just try to destroy this issue because, you know,
[00:08:00.000 --> 00:08:04.000]   we want to control the narrative and, and, and by result,
[00:08:04.000 --> 00:08:08.000]   we want to control power. Now you look at SBF, it's the exact opposite.
[00:08:08.000 --> 00:08:12.000]   He went to the perfect elite private high school.
[00:08:12.000 --> 00:08:17.000]   Then he went to one of the most prestigious elite private universities,
[00:08:17.000 --> 00:08:22.000]   MIT, his parents teach governance of all things at one of the most elite
[00:08:22.000 --> 00:08:25.000]   liberal institutions in America, Stanford,
[00:08:25.000 --> 00:08:30.000]   they are in the establishment of the progressive left.
[00:08:30.000 --> 00:08:35.000]   And what happened was he took customer funds and all of this money.
[00:08:35.000 --> 00:08:39.000]   He made tens of millions of dollars of political donations.
[00:08:39.000 --> 00:08:43.000]   He wrapped himself in this blanket of a progressive left-leaning cause
[00:08:43.000 --> 00:08:45.000]   called effective altruism.
[00:08:45.000 --> 00:08:50.000]   And all of the mainstream media fell for it and embraced him as well as some
[00:08:50.000 --> 00:08:57.000]   politicians, because it met everything that they themselves also bought into.
[00:08:57.000 --> 00:09:00.000]   And now you have this cataclysmic event,
[00:09:00.000 --> 00:09:04.000]   a multi-deck a billion dollar fraud or bankruptcy,
[00:09:04.000 --> 00:09:08.000]   millions of customer accounts who are frozen, you know,
[00:09:08.000 --> 00:09:12.000]   tens of millions to hundreds of millions to billions of dollars lost and stolen
[00:09:12.000 --> 00:09:16.000]   from them. And they refuse to re-underwrite this kid.
[00:09:16.000 --> 00:09:20.000]   And the reason is because in order to do so, it's like eating your own tail.
[00:09:20.000 --> 00:09:22.000]   And that's why they don't want to do it.
[00:09:22.000 --> 00:09:27.000]   And so this is why you have the media basically allowing him to do an apology
[00:09:27.000 --> 00:09:32.000]   tour. Now, this is his second time at manipulating them.
[00:09:32.000 --> 00:09:36.000]   The first time he was able to manipulate them by basically being one of them.
[00:09:36.000 --> 00:09:42.000]   And now he's allowing them and their desire to basically protect themselves
[00:09:42.000 --> 00:09:46.000]   so that he can create some kind of a defense for himself.
[00:09:46.000 --> 00:09:50.000]   And I just think the whole thing is gross because it misses the entire mood of
[00:09:50.000 --> 00:09:58.000]   the nation. This is an enormous financial fraud that was perpetrated on tens of
[00:09:58.000 --> 00:10:03.000]   millions of people. And there's no accountability because in order to do so,
[00:10:03.000 --> 00:10:06.000]   the media would effectively have to admit that they missed it and they got it
[00:10:06.000 --> 00:10:09.000]   wrong and they refused to do it. And I think that that is the really big
[00:10:09.000 --> 00:10:14.000]   problem that nobody is really speaking out about is like, well, if these folks
[00:10:14.000 --> 00:10:19.000]   are meant to be the last stop to make sure that there's truth and honesty and
[00:10:19.000 --> 00:10:23.000]   transparency in society and you can't count on them. And in fact, they're just
[00:10:23.000 --> 00:10:26.000]   going to reflect their own narrative. What is one supposed to do to learn the
[00:10:26.000 --> 00:10:28.000]   truth?
[00:10:28.000 --> 00:10:32.000]   In a way, what you're saying, and then we'll go to you, Freiburg, is this fraud
[00:10:32.000 --> 00:10:38.000]   was encased in all the gilded facade that America hates right now.
[00:10:38.000 --> 00:10:42.000]   It reflects the institutional rot of America. It reflects every single aspect
[00:10:42.000 --> 00:10:48.000]   of institutional rot that every non elite talks about all the time. But elites
[00:10:48.000 --> 00:10:52.000]   when they have those labels will refuse to give up.
[00:10:52.000 --> 00:10:57.000]   And just to add to that, the thing that's missing, I'd say one of the big issues
[00:10:57.000 --> 00:11:00.000]   with the institutional rot in our country is the lack of accountability when
[00:11:00.000 --> 00:11:05.000]   somebody gets it wrong. We saw this with COVID, right? The health establishment
[00:11:05.000 --> 00:11:09.000]   is saying that they want amnesty and Atlantic magazine was willing to give it
[00:11:09.000 --> 00:11:14.000]   to them. So the point is that this this class of people think that when they get
[00:11:14.000 --> 00:11:16.000]   it wrong, that they're the experts, but when they get it wrong, there should be
[00:11:16.000 --> 00:11:20.000]   no accountability. And so, Jamath, to your point, the media and these
[00:11:20.000 --> 00:11:25.000]   institutions are not willing to re underwrite SBF when he so clearly as a
[00:11:25.000 --> 00:11:27.000]   fraudster.
[00:11:27.000 --> 00:11:32.000]   Freiburg, what do you think the of this theory, you had a large amount of
[00:11:32.000 --> 00:11:37.000]   donations to politicians. Obviously, you have coming from Stanford, MIT, etc.
[00:11:37.000 --> 00:11:45.000]   And then you have these investments, gifts slash advertising slash donations
[00:11:45.000 --> 00:11:50.000]   to ProPublica, Vox, this new publication, Semaphore, the intercept that have all
[00:11:50.000 --> 00:11:56.000]   been uncovered now. Did he do this paying off of all the elites, you know,
[00:11:56.000 --> 00:12:00.000]   splashy cashy giving money to everybody because he knew he was doing a fraud and
[00:12:00.000 --> 00:12:05.000]   that this is evidence of this is a premeditated fraud? Or do you think this
[00:12:05.000 --> 00:12:08.000]   is a deranged individual who just was seeking status?
[00:12:08.000 --> 00:12:13.000]   I don't know. The the motivation, there's a video you can watch this guy.
[00:12:13.000 --> 00:12:19.000]   For some reason, FT x has left up all of their videos on YouTube from three
[00:12:19.000 --> 00:12:24.000]   years ago called quantitative trading seven and a half thousand cell wall of
[00:12:24.000 --> 00:12:30.000]   Bitcoin on finance. It's a 17 and a half minute YouTube video of SBF trading
[00:12:30.000 --> 00:12:36.000]   arbitrage across markets. I think it provides probably the best like natural
[00:12:36.000 --> 00:12:42.000]   non scripted insight into this guy's behavior that you could see.
[00:12:42.000 --> 00:12:45.000]   You know, because it's not like him being interviewed. It's just him living
[00:12:45.000 --> 00:12:50.000]   in his world. And he's just, you know, a mouse trying to get a piece of cheese.
[00:12:50.000 --> 00:12:55.000]   Like, you know, he's like out there. He's, you know, scrambling around in the
[00:12:55.000 --> 00:12:59.000]   markets, he's finding edges, he's finding advantages, and he's, and he's
[00:12:59.000 --> 00:13:03.000]   clearly just taking advantage of them all day, every day. That's who he is.
[00:13:03.000 --> 00:13:08.000]   Now, you put a person like that, in an unregulated environment, and there was
[00:13:08.000 --> 00:13:13.000]   this clustering demand for an unregulated environment because of a lot of what
[00:13:13.000 --> 00:13:18.000]   you guys are saying, which is people have this disdain for the elitism and the
[00:13:18.000 --> 00:13:23.000]   and the institutional rot and all these things. So Bitcoin emerged as a solution
[00:13:23.000 --> 00:13:31.000]   out of 2008 to the you know, the what felt like institutional rot that
[00:13:31.000 --> 00:13:36.000]   governments have a key role in. But when you have no regulation, and you have no
[00:13:36.000 --> 00:13:40.000]   trusted central authority involved, mice that are trying to find cheese will rule
[00:13:40.000 --> 00:13:44.000]   the day. And I think that's what happened here. If it wasn't this guy, it was
[00:13:44.000 --> 00:13:47.000]   someone else, it was going to be someone else. And then all of a sudden,
[00:13:47.000 --> 00:13:49.000]   everyone's clamoring and saying, Hey, we needed the government to protect us. No
[00:13:49.000 --> 00:13:53.000]   one protected us. Someone's got to save us. We're the regulators, we're people
[00:13:53.000 --> 00:13:57.000]   that are supposed to keep an eye on this stuff, when the whole premise of so much
[00:13:57.000 --> 00:14:02.000]   of what was being sold was non regulatory regimes was openness was peer to peer
[00:14:02.000 --> 00:14:07.000]   trust protocols. And it turns out that in that sort of an environment, the mouse
[00:14:07.000 --> 00:14:10.000]   that is hungriest for the cheese will get the cheese. And that's exactly what
[00:14:10.000 --> 00:14:13.000]   happened. I don't know how much of it was I don't agree with him saying I'm
[00:14:13.000 --> 00:14:17.000]   creating intentional fraud, which certainly seems to be the case, versus
[00:14:17.000 --> 00:14:19.000]   him saying I'm going to pay these guys. I don't know how much it was even that
[00:14:19.000 --> 00:14:23.000]   intelligent. But the guy was clearly like, trying to get a piece of cheese.
[00:14:23.000 --> 00:14:30.000]   Okay, so this cheese eater, this rat is a League of Legends. You know, expert
[00:14:30.000 --> 00:14:34.000]   playing on eight different monitors at a time, the cryptocurrency game while
[00:14:34.000 --> 00:14:39.000]   hopped up on speed. Yeah, I'm not saying that to be cruel. I'm saying that
[00:14:39.000 --> 00:14:44.000]   because they admitted it. They talked about it in their staff meetings,
[00:14:44.000 --> 00:14:49.000]   instructing their traders and team members of how to take speed. He admitted
[00:14:49.000 --> 00:14:52.000]   to it in an interview this week. He said that it was all legal prescription
[00:14:52.000 --> 00:14:56.000]   drugs, but they were taking them. Yes, yes. And literally in the same videos
[00:14:56.000 --> 00:15:00.000]   you're referencing people see speed patches, or I don't even understand this.
[00:15:00.000 --> 00:15:03.000]   But there are patches you can put on your body to deliver speed to you at
[00:15:03.000 --> 00:15:09.000]   some, you know, dose or whatever. Saks you buy this theory? No care that this
[00:15:09.000 --> 00:15:14.000]   isn't about the elite side of it. It's about the non elite, the anarchy side of
[00:15:14.000 --> 00:15:19.000]   it. No. And this cheese eating rat was just wanted to eat more cheese. I don't
[00:15:19.000 --> 00:15:24.000]   buy this narrative because I see too much design intentionality, but time
[00:15:24.000 --> 00:15:29.000]   what happened. So in other words, it wasn't just a series of individual
[00:15:29.000 --> 00:15:33.000]   decisions that didn't add up. Many of those individual decisions by themselves
[00:15:33.000 --> 00:15:38.000]   were totally unjustifiable. And moreover, there were too many. There's too
[00:15:38.000 --> 00:15:43.000]   much evidence of sophisticated behavior here. Again, we overnight went from
[00:15:43.000 --> 00:15:46.000]   portraying himself as the smartest guy in the room to the to the babe in the
[00:15:46.000 --> 00:15:51.000]   woods. And so, for example, when you look at the construction of all these
[00:15:51.000 --> 00:15:55.000]   entities and the corporate org chart, you know, of all the related entities,
[00:15:55.000 --> 00:16:01.000]   it's a very sophisticated attempt to obscure and construct certain, you know,
[00:16:01.000 --> 00:16:07.000]   protections. When you look at the way that Alameda was exempted from the
[00:16:07.000 --> 00:16:11.000]   normal margin requirements and FTX, there was the so called backdoors. There
[00:16:11.000 --> 00:16:14.000]   was intentionality there there was intentionality in terms of who was
[00:16:14.000 --> 00:16:19.000]   hired to staff these organizations. Again, they wasn't hired. No board, no
[00:16:19.000 --> 00:16:24.000]   CFO. Yeah, exactly. And the guy who was in charge of compliance was like
[00:16:24.000 --> 00:16:28.000]   tomorrow talked about in previous episode was the guy who was involved in
[00:16:28.000 --> 00:16:33.000]   the ultimate bet poker cheating scandal. You know, not exactly. Yeah,
[00:16:33.000 --> 00:16:37.000]   exactly. Right. Or look at this goofy goofball, Caroline Ellison, who was
[00:16:37.000 --> 00:16:41.000]   put in charge of Alameda, right? His girlfriend. It's it's being done for a
[00:16:41.000 --> 00:16:45.000]   reason, right? He's setting it up in a certain way. And, you know, the one
[00:16:45.000 --> 00:16:49.000]   time I interacted with him at this tech conference, he was sitting there
[00:16:49.000 --> 00:16:52.000]   holding court and he had all of his minions around him who were following
[00:16:52.000 --> 00:16:58.000]   his orders. This was a guy who was controlling his business. He was making
[00:16:58.000 --> 00:17:03.000]   the decisions at, I think, a task level. And he knew exactly what was going on
[00:17:03.000 --> 00:17:10.000]   here. So, look, I just don't buy I do not buy this idea that that he was like
[00:17:10.000 --> 00:17:15.000]   a blind mouse who's just stimulus response, you know, in the moment.
[00:17:15.000 --> 00:17:20.000]   That wasn't that wasn't my point, sex. My point was whether it was him or it
[00:17:20.000 --> 00:17:24.000]   was going to be someone else, it was bound to happen. No, I don't agree
[00:17:24.000 --> 00:17:28.000]   with that criminal would have the idea that we want to have completely free
[00:17:28.000 --> 00:17:33.000]   unregulated Bahamian based trading, you know, environments that we can
[00:17:33.000 --> 00:17:37.000]   supposedly trust because someone puts on a good face when there is no real
[00:17:37.000 --> 00:17:41.000]   regulatory body and regulatory authority overseeing it. At some point, it was
[00:17:41.000 --> 00:17:46.000]   going to happen. Well, no, hold on. It is. Look, Coinbase is a fully regulated
[00:17:46.000 --> 00:17:49.000]   institution. They're not set up in the Bahamas, and they're not unregulated.
[00:17:49.000 --> 00:17:53.000]   He set up and he had no oversight. He had no board. There was no regulatory
[00:17:53.000 --> 00:17:56.000]   regime. There was nothing. How was he able? But okay, so first of all, look,
[00:17:56.000 --> 00:18:00.000]   I don't think this had to happen. I think that again, I think that excuses
[00:18:00.000 --> 00:18:03.000]   too much because it implies that if it wasn't SPF would be somebody else. I
[00:18:03.000 --> 00:18:07.000]   actually think that this was a highly concerted effort. Listen, he courted
[00:18:07.000 --> 00:18:12.000]   regulators. He donated to politicians. He courted the media and donated to
[00:18:12.000 --> 00:18:17.000]   the media. Yeah, he was really good at it. He was unusually good at it. No,
[00:18:17.000 --> 00:18:20.000]   and I totally agree on that. Yeah, super smart, super connected, really
[00:18:20.000 --> 00:18:24.000]   thoughtful design on how he committed this. I only think an insider could
[00:18:24.000 --> 00:18:27.000]   have pulled off something at this scale. I think I agree. This is where
[00:18:27.000 --> 00:18:30.000]   Chamath, you're exactly right. I think you needed to be an insider. This level
[00:18:30.000 --> 00:18:34.000]   of cynicism here is he knew the playbook and he admitted it. You pointed this
[00:18:34.000 --> 00:18:38.000]   out with the chats that were released where he said he he he he. Yeah, look,
[00:18:38.000 --> 00:18:42.000]   I mean, just like he he chat, look how like convoluted and intertwined. All
[00:18:42.000 --> 00:18:46.000]   these people are like Gensler's intertwined with the parents. Yeah,
[00:18:46.000 --> 00:18:50.000]   parents apparently bundled a bunch of money to Elizabeth Warren. You know, he
[00:18:50.000 --> 00:18:54.000]   was dating the CEO of the business that he owned 90% in. There are all these
[00:18:54.000 --> 00:18:58.000]   other random shell companies that he owned 100% of where they were lending
[00:18:58.000 --> 00:19:02.000]   back and forth hundreds of millions to billions of dollars. Yeah, to David's
[00:19:02.000 --> 00:19:07.000]   point, that is a sophisticated con that you have to architect and and
[00:19:07.000 --> 00:19:11.000]   the way that he was able to get away with it is that not a single reporter
[00:19:11.000 --> 00:19:18.000]   or regulator thought to dig in. And the reason I think is because he said all
[00:19:18.000 --> 00:19:23.000]   of the right things that wanted them to embrace him. And the reason is he
[00:19:23.000 --> 00:19:26.000]   admitted it. This is a dumb game that we woke Westerners have to play. I say
[00:19:26.000 --> 00:19:29.000]   the right shibboleth and that everyone thinks we're a good person. Exactly.
[00:19:29.000 --> 00:19:32.000]   Imagine pull that quote up on what he said because it's actually a good
[00:19:32.000 --> 00:19:38.000]   it was what I just said. It's the game that we woke Westerners have to play
[00:19:38.000 --> 00:19:41.000]   and we say the right shibboleth or everyone likes us. He actually said the
[00:19:41.000 --> 00:19:45.000]   most uncomfortable thing out loud, which is look by having gone to Crystal
[00:19:45.000 --> 00:19:49.000]   Springs High School by having professors, my parents that went to Stanford by
[00:19:49.000 --> 00:19:54.000]   having gone to MIT. I can pull this off. That's that's what he said because he
[00:19:54.000 --> 00:19:58.000]   can go with those things because I'm a I'm a champion of effective altruism
[00:19:58.000 --> 00:20:03.000]   that I can justify any of these decisions, how amoral or immoral that they
[00:20:03.000 --> 00:20:07.000]   be because I'm trying to help, you know, my brother stand up a multi-million
[00:20:07.000 --> 00:20:10.000]   dollar pandemic response business. I'm trying to do this. I'm trying to do
[00:20:10.000 --> 00:20:16.000]   that. And all of these regulators and all of these reporters said, okay, you
[00:20:16.000 --> 00:20:22.000]   get the hall pass. Now imagine if you replaced him with some random kid in
[00:20:22.000 --> 00:20:28.000]   some developing country or even from the United States who did went to public
[00:20:28.000 --> 00:20:32.000]   high school who went to some random state school. Do you think that they
[00:20:32.000 --> 00:20:36.000]   could have pulled any of this stuff off? No, you need the patina of the
[00:20:36.000 --> 00:20:40.000]   privilege class. The New York Times what he had the New York Times the
[00:20:40.000 --> 00:20:45.000]   privilege class even after this fraud, the New York Times wrote more of a puff
[00:20:45.000 --> 00:20:48.000]   piece on him than the hit piece. They wrote on Brian Armstrong last year when
[00:20:48.000 --> 00:20:52.000]   Brian Armstrong wouldn't toe the line on allowing politics at work. Remember
[00:20:52.000 --> 00:20:56.000]   that? Yeah, unbelievable. Yeah. So the big I think what your mouth is kind of
[00:20:56.000 --> 00:21:00.000]   saying here is that the big enabler here is not crypto per se. It's all these
[00:21:00.000 --> 00:21:05.000]   institutional biases and elite biases that he was able to play into, partly
[00:21:05.000 --> 00:21:09.000]   because he was a big insider. I mean, in a way he monetized his parents life
[00:21:09.000 --> 00:21:14.000]   work. The problem that I think this allows us to put a fine point on is the
