
[00:00:00.000 --> 00:00:05.500]   Struggling with your electric bill? Get an energy assist from SDG&E and SAFE.
[00:04:25.500 --> 00:04:31.500]   So in the future, I might go ahead and cover that in depth.
[00:04:31.500 --> 00:04:43.500]   The reason that I'm mentioning it here is I would love to see a financial planner who is an expert in this do their own series of podcast episodes that are educational in this area.
[00:04:43.500 --> 00:04:45.500]   That's why I wanted to bring it up here.
[00:04:45.500 --> 00:05:02.500]   If you are that financial planner with the knowledge and you can start a show on this topic and make it very user-friendly, make it good information, let me know and I will help you publicize this because I do get emails about this from time to time and I'd love for somebody else to do this.
[00:05:02.500 --> 00:05:12.500]   As far as being a podcast producer, it's kind of a balance because it's very technical and it applies to a very important but very small portion of the population.
[00:05:12.500 --> 00:05:25.500]   So my personal need is to – my personal strategy is right now I'm appealing to fairly broad-scale mainstream needs and special needs is much more niche.
[00:05:25.500 --> 00:05:38.500]   But if you know of a great podcast or a great series of publicly available, useful, not so just salesy materials on this, let me know.
[00:05:38.500 --> 00:05:42.500]   Comment on today's show and put it in the show notes and I'll be glad to publicize that.
[00:05:42.500 --> 00:05:48.500]   If you are a financial planner with a real expertise in this area or an attorney who practices in this area, I'd be glad to interview you on the show.
[00:05:48.500 --> 00:05:51.500]   So reach out to me, email me, Joshua at Radical Personal Finance.
[00:05:51.500 --> 00:06:01.500]   So, Jose, the technical side is quite specialized but it's really not that complex from the perspective of what it actually means as far as a financial planning constraint.
[00:06:01.500 --> 00:06:04.500]   And I think this is a useful concept.
[00:06:04.500 --> 00:06:08.500]   I'll leave it up to you to judge whether it's useful or not, but I think it's a useful concept.
[00:06:08.500 --> 00:06:15.500]   All you need to do is add some additional constraints to your financial plan and those constraints are this.
[00:06:15.500 --> 00:06:19.500]   What are the expenses that my child needs during my lifetime?
[00:06:19.500 --> 00:06:26.500]   And what are the expenses that my child needs during their lifetime after I'm dead and gone?
[00:06:26.500 --> 00:06:32.500]   If you keep that in mind as your operating principle, I think it'll be less overwhelming to you.
[00:06:32.500 --> 00:06:34.500]   Let's assume that – I think you said a son.
[00:06:34.500 --> 00:06:48.500]   So let's assume that your son has extra need for help such that it's going to cost you $2,000 a month of ongoing extra support and maintenance to provide for his care regardless of the living situation that you and your family find is best for him and for his needs.
[00:06:48.500 --> 00:06:57.500]   Well, under this scenario, you just simply need to take all of your financial plans and add on a $2,000 additional cost throughout your lifetime.
[00:06:57.500 --> 00:07:07.500]   And then you would look at all of your assets and say, "When I die, how much do I need in terms of assets to make sure that my son is cared for throughout his life?"
[00:07:07.500 --> 00:07:15.500]   And if you keep that in mind, I think you'll be able to make better decisions with regard to the technical complexity.
[00:07:15.500 --> 00:07:19.500]   There are a variety of technical financial planning tools.
[00:07:19.500 --> 00:07:23.500]   There might be a certain special needs trust design that will be useful to you.
[00:07:23.500 --> 00:07:27.500]   You might or might not need to reassess your life insurance strategy.
[00:07:27.500 --> 00:07:29.500]   You might need to look at your investment strategy.
[00:07:29.500 --> 00:07:44.500]   If you're investing with a 60-year time horizon instead of a 16-year time horizon because you have to cover your lifetime plus his instead of just your lifetime like many parents can plan for at the end of their life, it's going to adjust those things.
[00:07:44.500 --> 00:07:49.500]   So try to keep that as an operating principle and just realize this is an additional constraint.
[00:07:49.500 --> 00:07:52.500]   You might need to work a few extra years to earn the money.
[00:07:52.500 --> 00:07:54.500]   You might need to put some additional measures in place.
[00:07:54.500 --> 00:07:59.500]   But there's not that much different to it other than the need for cash flow.
[00:07:59.500 --> 00:08:06.500]   The primary thing people forget about with investment planning is that we're always just dealing with cash flow.
[00:08:06.500 --> 00:08:09.500]   Almost every aspect of financial planning is cash flow.
[00:08:09.500 --> 00:08:22.500]   So if we're talking about retirement planning, we're saying how do we create cash flow from a job and then have cash flow from investments such that I can stop the cash flow from a job?
[00:08:22.500 --> 00:08:24.500]   It's all cash flow planning.
[00:08:24.500 --> 00:08:27.500]   And there are a variety of ways to do that.
[00:08:27.500 --> 00:08:31.500]   It could be the cash flow from rental income, from a real estate portfolio.
[00:08:31.500 --> 00:08:35.500]   It could be the cash flow from dividends, from a dividend stock portfolio.
[00:08:35.500 --> 00:08:40.500]   It could be the cash flow of life insurance cash value loans.
[00:08:40.500 --> 00:08:50.500]   It could be the cash flow from selling off gross stocks that aren't paying dividends but you're just selling off partial shares of a mutual fund maybe.
[00:08:50.500 --> 00:08:56.500]   It could be cash flow from the fact that I've written a book and I'm spending the royalty income from that book.
[00:08:56.500 --> 00:09:03.500]   It could be cash flow from the fact that I continue to own a minor stake in the family business and that family business is paying me out cash flow.
[00:09:03.500 --> 00:09:05.500]   It's all cash flow planning.
[00:09:05.500 --> 00:09:08.500]   All insurance comes down to cash flow planning.
[00:09:08.500 --> 00:09:10.500]   Let's talk with simple insurance.
[00:09:10.500 --> 00:09:11.500]   This is actually not an insurance policy.
[00:09:11.500 --> 00:09:13.500]   What is an emergency fund?
[00:09:13.500 --> 00:09:16.500]   An emergency fund is partially – well, it's – no.
[00:09:16.500 --> 00:09:22.500]   An emergency fund is cash flow planning for unplanned expenses.
[00:09:22.500 --> 00:09:27.500]   So in advance, we know that it's possible that the transmission could break on the car and the car is undriveable.
[00:09:27.500 --> 00:09:34.500]   So therefore, we're going to require a cash outflow of say $2,000 to drive the car.
[00:09:34.500 --> 00:09:38.500]   We need to set that money aside in an emergency fund or we might suffer a job loss.
[00:09:38.500 --> 00:09:42.500]   So therefore, we're going to be out of work for maybe four months.
[00:09:42.500 --> 00:09:54.500]   So by having four months of savings to cover cash flow, then we'll be able – when we don't have the cash inflow from a job to meet the cash outflow of our expenses,
[00:09:54.500 --> 00:10:00.500]   we'll be able to cover that necessary cash outflow from our savings, from our emergency fund.
[00:10:00.500 --> 00:10:02.500]   What do insurance policies do?
[00:10:02.500 --> 00:10:05.500]   What does a car insurance policy do?
[00:10:05.500 --> 00:10:14.500]   We're going to wreck the car and so we're going to have a large cash outflow of paying for the other person's car to get fixed and paying for my car to get fixed.
[00:10:14.500 --> 00:10:24.500]   So we have an insurance policy that establishes the cash inflow that we need to protect us from that cash outflow so we don't have to pull it from other areas of our budget.
[00:10:24.500 --> 00:10:27.500]   What does disability income insurance cover?
[00:10:27.500 --> 00:10:29.500]   I'm going to get disabled, so I'm not going to be able to work.
[00:10:29.500 --> 00:10:34.500]   In that scenario, I would suffer – I wouldn't have any cash inflow.
[00:10:34.500 --> 00:10:44.500]   Once I'm able to cover that – so I need another source of funds to be able to cover the necessary monthly cash outflow of my budget.
[00:10:44.500 --> 00:10:53.500]   Now, once I have enough other assets set up that the cash inflow from those other assets is enough to cover my cash outflow, I don't need the insurance policy anymore.
[00:10:53.500 --> 00:10:58.500]   So I know this sounds incredibly simple and incredibly basic, but we don't often cover this very much.
[00:10:58.500 --> 00:11:08.500]   If you always just keep that in mind that the only thing we're dealing with practically with insurance – or excuse me, with any aspect of financial planning is cash flows because that's the money that you spend.
[00:11:08.500 --> 00:11:12.500]   The only purpose of assets and owning assets is for cash flow.
[00:11:12.500 --> 00:11:14.500]   You own a house.
[00:11:14.500 --> 00:11:17.500]   Let's say that you reach the goal of paying off your house.
[00:11:17.500 --> 00:11:19.500]   What does that benefit you?
[00:11:19.500 --> 00:11:33.500]   Now you have an asset that doesn't require quite so much cash outflow from your budget because you're no longer paying off the mortgage principal and interest payments.
[00:11:33.500 --> 00:11:41.500]   So if you grasp that concept, I think it will be very helpful to you to consider every aspect of financial planning.
[00:11:41.500 --> 00:11:46.500]   The next question – in two questions, I'm going to answer some questions about my investment strategies.
[00:11:46.500 --> 00:11:49.500]   This answer is that question.
[00:11:49.500 --> 00:11:57.500]   All I need to do is structure my investment strategy so that they provide me with cash inflow to meet my cash outflow needs, with cash flow needs.
[00:11:57.500 --> 00:11:59.500]   That's it. That's all I need to do.
[00:11:59.500 --> 00:12:03.500]   And I can invest that money in all kinds of different ways that I can do that.
[00:12:03.500 --> 00:12:10.500]   One of my favorite discussions of this – if I remember, I'll go and look it up.
[00:12:10.500 --> 00:12:12.500]   But if not, just go to Joshua Kennan's site.
[00:12:12.500 --> 00:12:14.500]   His site is joshuakennan.com.
[00:12:14.500 --> 00:12:21.500]   And he had a great essay on that called "The American Measure of Net Worth Versus the English Measure of Net Worth."
[00:12:21.500 --> 00:12:24.500]   And I've mentioned this before, but I want to mention it again because it's so important.
[00:12:24.500 --> 00:12:28.500]   The American measure of net worth is I'm a millionaire, which means I have a million dollars of assets.
[00:12:28.500 --> 00:12:31.500]   You can't spend assets.
[00:12:31.500 --> 00:12:33.500]   You only spend cash flow.
[00:12:33.500 --> 00:12:38.500]   The traditional English definition of net worth was I have an income of 20,000 pounds a year.
[00:12:38.500 --> 00:12:39.500]   That's money that you can spend.
[00:12:39.500 --> 00:12:43.500]   So what you're always focusing on is what the actual money that you can spend is.
[00:12:43.500 --> 00:12:46.500]   When you're bringing in special needs, don't get intimidated by it.
[00:12:46.500 --> 00:12:54.500]   All you're looking for is how much money needs to go out and for how long and how am I going to replace that cash flow.
[00:12:54.500 --> 00:13:08.500]   Even when you get into discussions of a special needs trust, the major purpose of a special needs trust is to allow you to have some of the required cash outflow expenses covered by the cash inflow from the government programs
[00:13:08.500 --> 00:13:15.500]   and not have the cash inflow from the government programs reduced because of the fact that your special needs child has too much money.
[00:13:15.500 --> 00:13:18.500]   That's the major purpose of the special needs trust.
[00:13:18.500 --> 00:13:20.500]   So don't be intimidated by the details.
[00:13:20.500 --> 00:13:26.500]   Be confident in your ability to ask the right questions and just remember I'm adding on additional expenses to my needs,
[00:13:26.500 --> 00:13:31.500]   and I need to figure out how to cover those expenses in an ongoing period of time.
[00:13:31.500 --> 00:13:37.500]   And you'll be able to sort through all of the challenging technical decisions if you're confident in that.
[00:13:37.500 --> 00:13:43.500]   Oftentimes we get intimidated by financial planning topics because we as financial planners or attorneys or whomever,
[00:13:43.500 --> 00:13:46.500]   we're likely to jump right into the technical consideration.
[00:13:46.500 --> 00:13:52.500]   But you need just a simple mindset and then you'll be able to handle the technical decisions.
[00:13:52.500 --> 00:13:58.500]   So I know that's not a brilliant technical answer for you, but I still felt it was important to give that answer.
[00:13:58.500 --> 00:14:02.500]   Next question is an email comes in from Ray.
[00:14:02.500 --> 00:14:06.500]   Ray says, "I've been working at a major package carrier for almost 26 years.
[00:14:06.500 --> 00:14:12.500]   I was just inducted into their circle of honor, which means that I've been accident free for over 25 years.
[00:14:12.500 --> 00:14:14.500]   Mind you, I drive in New York City.
[00:14:14.500 --> 00:14:16.500]   I'm highly trained and I'm pretty good at what I do.
[00:14:16.500 --> 00:14:21.500]   Since listening to you and some other podcasts, I was thinking of starting my own podcast.
[00:14:21.500 --> 00:14:25.500]   Driving is something almost everyone does and there really aren't any podcasts on safe driving.
[00:14:25.500 --> 00:14:28.500]   Trust me, most people don't know what they're doing.
[00:14:28.500 --> 00:14:32.500]   The problem I have is exactly what you went through after episode 181.
[00:14:32.500 --> 00:14:35.500]   I don't want to argue with people over everything that I say.
[00:14:35.500 --> 00:14:41.500]   I don't understand why people can't take the good and credible information out of a conversation and leave the bad behind.
[00:14:41.500 --> 00:14:46.500]   I don't agree with everything you said, but that doesn't mean I didn't pause and think about what you were saying.
[00:14:46.500 --> 00:14:49.500]   Kudos to you. I'll be retiring in four years.
[00:14:49.500 --> 00:14:52.500]   Maybe by then I won't care what anybody thinks.
[00:14:52.500 --> 00:14:55.500]   Also, while I have your attention, I have a question.
[00:14:55.500 --> 00:14:59.500]   I have a 15-year-old son who works for his mother's company from home.
[00:14:59.500 --> 00:15:04.500]   He takes home $225 every two weeks and she saves about 75% of that.
[00:15:04.500 --> 00:15:09.500]   I opened up a brokerage account for him to separate the money from savings and checking.
[00:15:09.500 --> 00:15:12.500]   I spread the money out into four different ETFs.
[00:15:12.500 --> 00:15:15.500]   I'm trying to teach him to invest and diversify.
[00:15:15.500 --> 00:15:20.500]   The problem I have is he might be using some of this money or all of it for college.
[00:15:20.500 --> 00:15:26.500]   I'm afraid the stock portion could be a problem since I know you shouldn't have money in the market if you're going to need it within three to five years.
[00:15:26.500 --> 00:15:29.500]   I'd like to know your thoughts on this situation. Thanks. Ray.
[00:15:29.500 --> 00:15:34.500]   Ray, it's a fun question. I'm going to answer the financial planning question first and then come back to the podcast question.
[00:15:34.500 --> 00:15:46.500]   But with the financial planning question, just you have to constantly think about what's the goal of this money and what's the backup plan in case of a change in the investment fluctuation.
[00:15:46.500 --> 00:15:52.500]   If the goal is college and the money is necessary for college, then yes, I would be very careful with the portfolio.
[00:15:52.500 --> 00:16:01.500]   You're right in that very difficult window right now as far as how to manage an investment portfolio for a cashflow outflow need.
[00:16:01.500 --> 00:16:05.500]   It's difficult to know the answer because of the time horizon.
[00:16:05.500 --> 00:16:13.500]   If he's 15 years old and we use simple numbers to say he's going to go to college at 18 under a traditional graduate high school, go right to a four-year university plan,
[00:16:13.500 --> 00:16:26.500]   then you've got a three-year time horizon for that up to a maximum of a six-year time horizon to when the final tuition payment is due at the beginning of his senior year.
[00:16:26.500 --> 00:16:32.500]   So three to six years is a very problematic, challenging number.
[00:16:32.500 --> 00:16:41.500]   Three years is probably – you'd have to look at the data and I didn't check all the numbers for my name.
[00:16:41.500 --> 00:16:45.500]   I did a lot of – excuse me, in preparation for this answer to make sure I have all the data at my fingertips.
[00:16:45.500 --> 00:16:49.500]   But three years is one of those scenarios where a lot could change in three years.
[00:16:49.500 --> 00:16:51.500]   We could head into a nasty bear market.
[00:16:51.500 --> 00:16:55.500]   We could head into a nasty recession and three years could bring us out of it.
[00:16:55.500 --> 00:17:02.500]   Six years could almost surely bring us out of a nasty bear market or nasty recession.
[00:17:02.500 --> 00:17:03.500]   Think back in recent history.
[00:17:03.500 --> 00:17:05.500]   The best one that most of us remember would be 2008.
[00:17:05.500 --> 00:17:08.500]   What was the difference between 2008 and 2011?
[00:17:08.500 --> 00:17:11.500]   What was the difference between 2008, 2013, and 2014?
[00:17:11.500 --> 00:17:13.500]   Big difference.
[00:17:13.500 --> 00:17:17.500]   Now the challenge would be the emotional ability to handle it.
[00:17:17.500 --> 00:17:20.500]   Do you have the emotional ability to handle that change?
[00:17:20.500 --> 00:17:27.500]   Let's say that your son is sitting down and trying to figure out where he's going to go to college and he's trying to choose among different options.
[00:17:27.500 --> 00:17:33.500]   Well, if there's a lot of money sitting in an account versus a little money sitting in an account, that might influence his decision.
[00:17:33.500 --> 00:17:42.500]   So you're right. It's in a very difficult – you're in a very difficult place with this phase of his investing.
[00:17:42.500 --> 00:17:45.500]   And it's difficult to know the answer.
[00:17:45.500 --> 00:17:47.500]   It's tough.
[00:17:47.500 --> 00:17:49.500]   I don't have a good answer for you.
[00:17:49.500 --> 00:17:55.500]   I'm not really that comfortable commenting too deeply on my own personal prognostication of the markets.
[00:17:55.500 --> 00:18:05.500]   I do think that it just feels to me like recession in the near or short term is at least possible if not likely.
[00:18:05.500 --> 00:18:11.500]   But I'm not qualified to provide any support or numbers behind that.
[00:18:11.500 --> 00:18:14.500]   That's just a pure feeling from one friend to another, not an academic prediction.
[00:18:14.500 --> 00:18:17.500]   And your problem here is time horizon.
[00:18:17.500 --> 00:18:21.500]   And so a couple ways to solve that would be – here are my thoughts.
[00:18:21.500 --> 00:18:26.500]   Do you have other money available to you that you could use if you needed it?
[00:18:26.500 --> 00:18:35.500]   So if you, for example, are sitting on a big pile of money and this money is just in cash and this money is just sitting in an ETF –
[00:18:35.500 --> 00:18:39.500]   it's not within the constraints of a 529 plan, something like that –
[00:18:39.500 --> 00:18:47.500]   then if you have another source of cash where you needed to use some of that and wait for investments to come back, that might give you a little bit of a longer time frame.
[00:18:47.500 --> 00:18:48.500]   So that might be useful for you.
[00:18:48.500 --> 00:18:55.500]   It's one of the reasons why having cash and having liquid nonvolatile savings available can make a big difference.
[00:18:55.500 --> 00:19:01.500]   It's not about – in the academic literature of investing, it's all about optimizing the total rate of return.
[00:19:01.500 --> 00:19:07.500]   And the total rate of return is going to be about how do we invest and keep invested for the total rate of return.
[00:19:07.500 --> 00:19:12.500]   And when the academics are writing their papers, they can't take – you can't take money out and put it on the sidelines.
[00:19:12.500 --> 00:19:15.500]   In real life, however, we can't spend total returns.
[00:19:15.500 --> 00:19:18.500]   We can only spend the money that we have in our accounts.
[00:19:18.500 --> 00:19:31.500]   And so in real life, you've got to take the academic literature and look at it and say, "Am I going to be bothered by my account declining in value by 20% or am I going to be joyed by the value of my account increasing in 20%?"
[00:19:31.500 --> 00:19:46.500]   And so this is why from a practical perspective, when you're purely in the accumulation phase of planning for an investment goal, you kind of got to keep your stomach strong and just deal with the ups and downs.
[00:19:46.500 --> 00:19:53.500]   But when you're about at the distribution phase, you've got to start to be strategic and you've got to prognosticate a little bit.
[00:19:53.500 --> 00:20:05.500]   And I'll tell you I'd be hedging my bets personally if I were working with a 15-year-old boy at this phase of his planning and I wouldn't want to have all the money invested in purely stocks.
[00:20:05.500 --> 00:20:20.500]   Unless I had enough – unless I as a father were wealthy enough and I had enough other money that was liquid where I knew that if this specific account were to significantly decline in value, I could take money from another account to fund the cash flow need and then pull it out.
[00:20:20.500 --> 00:20:29.500]   Now, remember though, if you did get burned, let's say that all of a sudden we went into a scenario and, again, this money is just in ETFs.
[00:20:29.500 --> 00:20:31.500]   It's not inside of a 529.
[00:20:31.500 --> 00:20:42.500]   It's just a brokerage account and it's money that he's earning and you did get burned by the investment market and he's 17 years old and he's saying, "Man, my investments are down 30 or 40 percent."
[00:20:42.500 --> 00:20:45.500]   Well, all is not lost.
[00:20:45.500 --> 00:20:47.500]   So still be strategic at that point in time.
[00:20:47.500 --> 00:20:52.500]   So for example, maybe at that point in time you would simply choose not to sell those investments.
[00:20:52.500 --> 00:20:55.500]   You would look at them and say, "I'm happy with these investments.
[00:20:55.500 --> 00:20:57.500]   We're in a temporary decline.
[00:20:57.500 --> 00:21:12.500]   There's a short-term scenario if you believe this about your investment portfolio," and he could go ahead and at that point in time maybe he could take out a student loan and the interest on that student loan would be deferred while he's in school and then he can go ahead and pay it back when the market comes back.
[00:21:12.500 --> 00:21:25.500]   He might also just be in the scenario where he has the money in the ETF but he realizes he'd rather have it for the long term and he's going to own it and not necessarily take it out and use it on school because he's able to get scholarships or other things, etc.
[00:21:25.500 --> 00:21:38.500]   So that's a difficult scenario from the technical financial planning perspective and it very much depends on how much money you have available, what portion of the portfolio, what are the backup plans.
[00:21:38.500 --> 00:21:43.500]   To me, think about the backup plans and if you're comfortable with volatility.
[00:21:43.500 --> 00:21:45.500]   Hopefully that's a good start.
[00:21:45.500 --> 00:21:46.500]   Remember this, however.
[00:21:46.500 --> 00:21:53.500]   At 15 years old, I love, love, love that you're teaching him about investing using the ETFs.
[00:21:53.500 --> 00:21:59.500]   Don't forget about teaching him about investing in personal finance with his personal expenditures.
[00:21:59.500 --> 00:22:01.500]   I don't know what your involvement is here.
[00:22:01.500 --> 00:22:03.500]   I'm mentioning this for you and also for the audience.
[00:22:03.500 --> 00:22:11.500]   But one of the most important lessons here is that he is learning how to manage his own money for the purpose of his own personal expenditures.
[00:22:11.500 --> 00:22:17.500]   Investment knowledge is important but also spending knowledge is incredibly important.
[00:22:17.500 --> 00:22:25.500]   So be working on transitioning him over so that he's not just pushed out of the nest at 18 and he's got to figure out all his college expenses.
[00:22:25.500 --> 00:22:29.500]   A lot of college students get really into a jam because it's the first time they've managed money.
[00:22:29.500 --> 00:22:31.500]   It's the first time they've had a credit card.
[00:22:31.500 --> 00:22:36.500]   It's the first time they've been able to go and buy all the food and drinks they want.
[00:22:36.500 --> 00:22:40.500]   It's the first time they've been able to – they needed to buy for their – pay for their own clothes.
[00:22:40.500 --> 00:22:43.500]   So get him started with a system of budgeting if you haven't already.
[00:22:43.500 --> 00:22:47.500]   Make sure that he's responsible for all of his own expenditures.
[00:22:47.500 --> 00:22:52.500]   Make sure that he is the one – even if it's something you're going to pay for, get him started paying your rent.
[00:22:52.500 --> 00:22:55.500]   Get him started paying – or his mom rent.
[00:22:55.500 --> 00:22:59.500]   Get him started with – again, with paying for his clothes.
[00:22:59.500 --> 00:23:00.500]   Here's the budget.
[00:23:00.500 --> 00:23:04.500]   Get him started with budgeting, with keeping a checkbook, with looking at things.
[00:23:04.500 --> 00:23:09.500]   And get him started on goal setting, thinking about what his long-term goals are, thinking about it.
[00:23:09.500 --> 00:23:15.500]   If he's conscious of that stuff, he will probably make an excellent decision with regard to college.
[00:23:15.500 --> 00:23:21.500]   And that will be a big, big deal to him is knowing how to make a good decision with regard to college.
[00:23:21.500 --> 00:23:27.500]   Can he go to a college that's really going to open up a career option for him, especially if they're going to pay him?
[00:23:27.500 --> 00:23:30.500]   Or is he going to go to the dead-end college that's expensive?
[00:23:30.500 --> 00:23:32.500]   Or is he going to go to the dead-end college that's cheap?
[00:23:32.500 --> 00:23:34.500]   And making a consumer decision.
[00:23:34.500 --> 00:23:39.500]   Not enough college students make careful, financially motivated decisions with regard to college.
[00:23:39.500 --> 00:23:40.500]   I didn't.
[00:23:40.500 --> 00:23:42.500]   I made mistakes here and I wish I'd done things differently.
[00:23:42.500 --> 00:23:45.500]   So I'm trying just to share that.
[00:23:45.500 --> 00:23:54.500]   The other aspect of it is I'd encourage you to try to find – in addition to the ETFs, try to find a way to make investing really connected to him.
[00:23:54.500 --> 00:23:59.500]   Finding some brands and venturing into individual stocks or finding an ability with trading.
[00:23:59.500 --> 00:24:01.500]   And I know you're probably already doing it.
[00:24:01.500 --> 00:24:02.500]   It's just fun.
[00:24:02.500 --> 00:24:04.500]   I love the idea of talking with 15-year-olds.
[00:24:04.500 --> 00:24:06.500]   Try to make it in addition to ETFs.
[00:24:06.500 --> 00:24:10.500]   Have him look at the idea of swapping out cars or whatever.
[00:24:10.500 --> 00:24:12.500]   If you're in New York City, I don't know how difficult that is.
[00:24:12.500 --> 00:24:15.500]   It's a little different than in the suburbs.
[00:24:15.500 --> 00:24:22.500]   Finally, make sure that he is focused on his investments in scholarships and scholarship applications.
[00:24:22.500 --> 00:24:26.500]   At 15 years old, you have a real opportunity.
[00:24:26.500 --> 00:24:35.500]   If you can hold a vision before him, he has a real opportunity to make a massive amount of money going to school if he can be strategic with his scholarship work.
[00:24:35.500 --> 00:24:41.500]   There are thousands and thousands and thousands of potential scholarships that are available out there.
[00:24:41.500 --> 00:24:50.500]   And very few 15-year-old students have had somebody come alongside them and talk to them about approaching this as a financial planning strategy.
[00:24:50.500 --> 00:24:55.500]   Most of the time, we just simply look and say, "Well, I'm an athlete, and this school is offering me an athletic scholarship."
[00:24:55.500 --> 00:25:00.500]   That's awesome if it's true or "I'm an academic, and this school is offering me an academic scholarship."
[00:25:00.500 --> 00:25:11.500]   But even if he has those things or doesn't have those things, just simply applying for individual scholarships is worth an amazing amount of money.
[00:25:11.500 --> 00:25:14.500]   That should open up a lot of opportunities for him.
[00:25:14.500 --> 00:25:17.500]   And let me give you this as a strategy for a parent.
[00:25:17.500 --> 00:25:20.500]   Very few parents are aware of this.
[00:25:20.500 --> 00:25:25.500]   Many scholarships go unclaimed, and many scholarships have very few applicants.
[00:25:25.500 --> 00:25:33.500]   And so depending on his skill and depending on his diligence with finding the right scholarships, it can be relatively easy to get scholarships.
[00:25:33.500 --> 00:25:42.500]   And there are scholarships if he's a bad student and he's just in need, or there's a scholarship if he's a great student, or if he has some ethnic background, or if he has some religious background,
[00:25:42.500 --> 00:25:48.500]   or some connection and relation to the local furniture store.
[00:25:48.500 --> 00:25:52.500]   And little scholarships can add up to be a big deal.
[00:25:52.500 --> 00:25:55.500]   I missed this one.
