
[00:00:00.000 --> 00:00:04.740]   All right. I want to try something unexpected here. I'm going to start with a little known
[00:08:30.500 --> 00:08:37.540]   it's on laptop screens and it's on our phone. When we're not in work, it's on our phone and it's text
[00:08:37.540 --> 00:08:42.420]   messages and it's social media. And maybe at some point it's on a TV screen and it's streaming media.
[00:08:42.420 --> 00:08:46.100]   And we're sitting here just swiping these things with our small motions of our hands. There's nothing
[00:08:46.100 --> 00:08:50.740]   wrong with a screen, but weird things happen when most of your life becomes mediated through these
[00:08:50.740 --> 00:08:57.620]   screens. And when we live in what is basically an artificial or abstract world, my conjecture is this
[00:08:57.620 --> 00:09:04.740]   dulls our nervous system. We begin to lose what it feels like to be a being that exists in the physical
[00:09:04.740 --> 00:09:08.900]   world, that is shaping that physical world, that is enjoying that physical world. So much of our nervous
[00:09:08.900 --> 00:09:15.780]   system, our senses, is built around experiencing the world. So much of our brain is built around projecting
[00:09:15.780 --> 00:09:20.500]   things into the world, imagining what's going to happen and finding satisfactions when they do happen
[00:09:20.500 --> 00:09:26.740]   as we expect. And we lose touch with all of that when our life is increasingly through this abstraction
[00:09:26.740 --> 00:09:32.740]   that we're seeing through screens. It's a digital grayness where we exist, where these real world
[00:09:32.740 --> 00:09:37.620]   sensations have been dulled and where we get our sensations from instead are these highly optimized and
[00:09:37.620 --> 00:09:42.580]   artificial pings that are delivered by memes and comments and highly produced videos that are squeezed on
[00:09:42.580 --> 00:09:47.540]   the glass. It's a sort of a fake or artificial version of the feelings we would have used to
[00:09:47.540 --> 00:09:53.140]   have being out there in the real world. It creates a condition I call the digital doldrums. And it makes
[00:09:53.140 --> 00:10:00.340]   life seem sort of listless, sort of like you're sleepwalking, not miserable, but not really fully all there.
[00:10:00.340 --> 00:10:08.420]   Now let's bring this back to what Disney discovered, which was the power of engineering wonder.
[00:10:09.460 --> 00:10:12.980]   Right? So if you take something that really interests you, like for him, it was trains,
[00:10:12.980 --> 00:10:17.700]   and that has no instrumental purpose, it's not like this is going to be good for my career,
[00:10:17.700 --> 00:10:20.820]   it's going to make me healthier, or it's something I can brag about because God knows
[00:10:20.820 --> 00:10:27.460]   Disney was not bragging about it wasn't that cool that he was building this weird train in his backyards.
[00:10:27.460 --> 00:10:31.300]   You find something that has no instrumental purpose other than you find it remarkably interesting.
[00:10:31.940 --> 00:10:36.580]   And then if you take that and you inflate your ambition for it to 10 times larger than what is
[00:10:36.580 --> 00:10:43.140]   reasonable, I think interesting things happen. Instead of buying the Lionel train, you buy five
[00:10:43.140 --> 00:10:48.420]   acres of land and build a 1/8 scale train you can ride. I saw a guy, to give some more examples of this,
[00:10:48.420 --> 00:10:53.460]   I saw a guy on YouTube once who had built a reproduction of the Haunted Mansion ride from
[00:10:53.460 --> 00:10:58.820]   Disneyland in his suburban backyard. I mean, the whole thing, he had built a dark room, he was using
[00:10:58.820 --> 00:11:05.940]   tarps to make the passages, and there was a track system and actual homemade doom buggies
[00:11:05.940 --> 00:11:11.380]   and prop controllers. And he really did the best he can. And this was like thousands of hours of work.
[00:11:11.380 --> 00:11:16.260]   My old hairstylist in Georgetown that I used to go see, he took me once to his house and showed
[00:11:16.260 --> 00:11:22.820]   me that he had built this commercial grade glass blowing studio, that he was building this wonderful
[00:11:22.820 --> 00:11:29.700]   art out of glass. The whole salon he used to work before he left had his custom glass creations hanging
[00:11:29.700 --> 00:11:34.980]   from the ceiling. God knows how much effort went into it, but it was really kind of incredible to see.
[00:11:34.980 --> 00:11:42.180]   I call this engineered wonder, and I think it is an effective way to free you from the digital
[00:11:42.180 --> 00:11:49.940]   doldrums. I think it works because it reactivates your actual analog world nervous system. You get used
[00:11:49.940 --> 00:11:53.860]   to what it feels like to be really engaged with something that exists in the real world, not just
[00:11:53.860 --> 00:12:00.180]   feeling these sort of artificial simulated emotions. You get used to having an intention in your mind that
[00:12:00.180 --> 00:12:06.420]   your nervous system then sees being made manifest in the real world. That's an incredibly powerful
[00:12:06.420 --> 00:12:10.740]   thing. We lose what that feels like when more and more our accomplishments have to do with numbers
[00:12:10.740 --> 00:12:15.380]   next to a thumbs up on a social media post. But it feels fantastic when you get back to it. We get used
[00:12:15.380 --> 00:12:19.460]   to how much better the analog settings to work in. We feel that it feels like to have actual authentic
[00:12:19.460 --> 00:12:24.420]   wonder for something and not just an artificially manipulated emotion delivered through a screen.
[00:12:24.420 --> 00:12:29.300]   And I think once all that's reinvigorated, that screens no longer seem so great.
[00:12:29.300 --> 00:12:37.060]   And you begin seeking other things you can do. Your version of Disney saying I'm now going to start
[00:12:37.060 --> 00:12:42.900]   Disneyland. Opening up new chapters of your life that really can be profound or meaningful in a bigger
[00:12:42.900 --> 00:12:50.900]   way. Now look, I know there's an irony that we're using Walt Disney, creator of Disneyland of all people,
[00:12:50.900 --> 00:12:57.700]   to give us a solution for escaping artificial worlds. But I still think there's something here in
[00:12:57.700 --> 00:13:04.900]   this notion of engineered wonder that can be an important part of building a bridge from a shallow
[00:13:04.900 --> 00:13:12.180]   life to one that's deeper. So there's my monologue. This was the thought I had when I encountered that
[00:13:12.180 --> 00:13:18.980]   story. And this is what it made me think about. So I need to go do something crazy, Jesse. My Halloween
[00:13:18.980 --> 00:13:24.420]   decorations are not nearly enough. Why did you come up with the term digital doldrums? Have you had it for a
[00:13:24.420 --> 00:13:32.260]   while? No, I came up with it earlier today. But it seemed about right. Because when I think of the
[00:13:32.260 --> 00:13:37.940]   doldrums, I think about the nautical version of the term, which is you're in a position in the ocean
[00:13:37.940 --> 00:13:43.620]   where you have no prevailing winds. And so your sailing ship is just sort of sitting there and
[00:13:43.620 --> 00:13:48.340]   drifting around. That's what it feels like sometimes, right? This life, this very screen mediated life.
[00:13:48.340 --> 00:13:52.660]   It's not just being distracted on social media. It's like work becomes this artificial,
[00:13:52.660 --> 00:13:58.340]   performative, pseudo-productive dance of busily answering emails and jumping off of Zooms. But
[00:13:58.340 --> 00:14:02.980]   all work is the same in this world. It's all just moving text back and forth and jumping under these
[00:14:02.980 --> 00:14:07.780]   small screens. And everyone's very busy and sending Google Docs back and forth, but nothing's really
[00:14:07.780 --> 00:14:14.340]   happening. So you're busy. It's like you're in the sailing ship in the doldrums furiously trying to
[00:14:14.340 --> 00:14:19.460]   adjust your sails and tack, but nothing's happening. And so that's what I thought about. It really is
[00:14:19.460 --> 00:14:23.220]   like the doldrums. I think we're sleepwalking. And when you realize what it's like to actually
[00:14:23.220 --> 00:14:29.060]   be back in the world again, this stuff on your screen, it doesn't seem so exciting anymore. At
[00:14:29.060 --> 00:14:32.420]   least that's the hope. So I like this idea of engineered wonder. I'm playing with this for my
[00:14:32.420 --> 00:14:36.020]   Deep Life book. So this is why I've really been thinking about it. But I wanted to test it out here.
[00:14:36.900 --> 00:14:40.820]   I'm interested in both examples and feedback. By the way, you can send those to Jesse
[00:14:40.820 --> 00:14:47.380]   at calnewport.com. I gotta say that guy who built the haunted mansion in his yard. I showed my kids that
[00:14:47.380 --> 00:14:54.740]   video. That's a full-time job. And I can tell you, I admire it. I think that guy has it all figured out,
[00:14:54.740 --> 00:14:58.260]   Jesse. Full-time. I think he starts working in June to get that thing set up.
[00:15:00.260 --> 00:15:04.900]   It's an amazing build. All right. Well, we got some cool questions here. Some of them a little
[00:15:04.900 --> 00:15:10.340]   bit more reasonable to get to. I'm excited for it. But first, Jesse, it's time to hear some ads.
[00:15:10.340 --> 00:15:15.460]   So as you know, I'm recording this ad up in New England, where my family and I have been staying
[00:15:15.460 --> 00:15:20.180]   for most of the month. I have been loving almost everything about being up here, except for one
[00:15:20.180 --> 00:15:24.740]   terrible, disastrous mistake that I made when we were leaving for this trip.
[00:15:25.780 --> 00:15:31.140]   I forgot to pack our cozy earth bamboo sheets. These are by far the most comfortable sheets that
[00:15:31.140 --> 00:15:36.180]   we've ever owned. We love them. We have many pairs. We give them as gifts. We bring them when we travel.
[00:15:36.180 --> 00:15:41.220]   And I forgot to bring them up to this rental. And I have been kicking myself ever since. Look,
[00:15:41.220 --> 00:15:47.300]   I was this close, Jesse, to Cindy, my 12-year-old, to drive back to DC to pick up our sheets
[00:15:47.300 --> 00:15:53.300]   and bring them up here. But my wife, who's like the super stickler for the details, was like,
[00:15:53.300 --> 00:15:58.980]   it's illegal for a 12-year-old to drive for eight hours. He doesn't know how to drive a car. He has
[00:15:58.980 --> 00:16:03.140]   no money to buy gas. And so I was like, come on. You need to read The Anxious Generation. Stop
[00:16:03.140 --> 00:16:08.900]   helicoptering. But anyways, until he goes and does that, I am unhappy to be on normal sheets. That's how
[00:16:08.900 --> 00:16:14.900]   comfortable they are. And it's not just sheets that Cozy Earth offers. The Everywhere Pant. They sent me
[00:16:14.900 --> 00:16:19.460]   a pair of these. I love these as well. They're super comfortable like the sheets. They're very
[00:16:19.460 --> 00:16:24.980]   breathable and flexible. So you can bring the comfort of the sheets with you for your day as well.
[00:16:24.980 --> 00:16:30.820]   So now Cozy Earth Comfort is something that shows up day in, day out. All right, let me make this
[00:16:30.820 --> 00:16:36.660]   simple. Buy Cozy Earth sheets. And there's a 100-night sleep trial, 10-year warranty. You won't need them,
[00:16:36.660 --> 00:16:42.100]   but there's no risk here. And then once you love them, buy The Everywhere Pants. And of course,
[00:16:42.100 --> 00:16:45.620]   if you leave any of this on a trip at home, just send your pre-adolescent kid to go back home and pick them up.
[00:16:45.620 --> 00:16:50.820]   Now, are you looking for a discount before you pull the trigger? Well, I have one to offer for you.
[00:16:50.820 --> 00:16:57.460]   Go to CozyEarth.com and use my code DEEP for 40% off the softest bedding, bath, and apparel.
[00:16:57.460 --> 00:17:02.260]   And if you get a post-purchase survey, tell them you heard about Cozy Earth right here in the Deep
[00:17:02.260 --> 00:17:09.060]   Questions podcast. Cozy Earth is built for real life, made to keep up with yours. That's Cozy Earth,
[00:17:09.060 --> 00:17:14.020]   CozyEarth.com, and use that code DEEP. Let me talk about one other product that I use
[00:17:14.020 --> 00:17:20.420]   every day and I miss when I run out of it. And that is Element, L-M-N-T. Here's the thing. Staying
[00:17:20.420 --> 00:17:26.500]   hydrated can be hard, especially for someone like me who spends a lot of time giving talks and recording
[00:17:26.500 --> 00:17:32.260]   podcasts and doing interviews, which is all very dehydrating. I do this. And at the same time,
[00:17:32.260 --> 00:17:40.020]   I also live in a city, Washington, D.C., that in the summer becomes a stupid swamp town where even,
[00:17:40.020 --> 00:17:44.500]   and Jesse, you can back me up here, even prehistoric jungle-adapted reptiles would likely
[00:17:44.500 --> 00:17:48.900]   rather go extinct and try to handle the humidity levels that we suffer down here, which is all to
[00:17:48.900 --> 00:17:55.060]   say I use a lot of Element. So what is it? It's a zero-sugar electrolyte drink mix and sparkling
[00:17:55.060 --> 00:18:00.340]   electrolyte drink born from the growing body of research revealing that optimal health outcomes
[00:18:00.340 --> 00:18:05.300]   occur at sodium levels two to three times government recommendations. Each serving delivers a
[00:18:05.300 --> 00:18:11.380]   meaningful dose of electrolytes, but it does so, and here's why I like it, without sugar or food dye
[00:18:11.380 --> 00:18:17.780]   or those other dodgy ingredients you find in popular electrolyte and sports drinks. Element is used by
[00:18:17.780 --> 00:18:22.100]   professional athletes like Bradley Beal. It's used by special forces team like U.S. Navy SEALs. There's a
[00:18:22.100 --> 00:18:27.860]   lot of Olympians that use it. And most impressively, MIT trained technology theorists like myself.
[00:18:28.580 --> 00:18:32.740]   Now I typically start my day adding some element to my water, and then I'll add some more after my
[00:18:32.740 --> 00:18:38.420]   workout or if I've had like a busy speech or podcasting. I'll titrate the amount I put in by
[00:18:38.420 --> 00:18:44.100]   just how humid or dehydrated I feel. There's a new flavor this summer that you have to try lemonade salt.
[00:18:44.100 --> 00:18:49.460]   It's refreshing and hydrating. It's limited supply. So, you know, get that now while it's still
[00:18:50.020 --> 00:18:56.980]   summer time. I got good news. You can receive a free element sample pack with any order if you go to
[00:18:56.980 --> 00:19:04.580]   drinkelement.com/deep. That's drinkelement.com/deep. You can try element totally risk-free. If you don't
[00:19:04.580 --> 00:19:11.860]   like it, you'll get your money back, but you will like it. I am a big element drinker. So go to drinkelement.com/deep now.
[00:19:11.860 --> 00:19:18.340]   That's drinkelementlmnt.com/deep. All right, Jesse, let's move on with some questions.
[00:19:18.340 --> 00:19:22.020]   First question is from Natalie.
[00:19:23.060 --> 00:19:28.100]   I left a long software engineering career to start an art business while also learning to paint
[00:19:28.100 --> 00:19:33.780]   with the goal of becoming a full-time artist. I have a financial cushion to last for a bit. I'm weighing
[00:19:33.780 --> 00:19:38.980]   different strategies for balancing business growth and my creative ambitions. Typically, I have a large
[00:19:38.980 --> 00:19:44.260]   time block for the art business before lunch, a time block for marketing and admin for both pursuits
[00:19:44.260 --> 00:19:49.460]   after lunch, and then painting after dinner. How should I pursue these two different goals?
[00:19:49.460 --> 00:19:54.500]   Well, I think there's two things going on here, Natalie. There's the big picture question about
[00:19:54.500 --> 00:19:58.340]   what you're doing with your career, the sort of like the general deep life question. And then I
[00:19:58.340 --> 00:20:04.580]   think there's the tactical question about what's the best time to do art training. Let me start with
[00:20:04.580 --> 00:20:11.460]   the easy one first. Once you're in a steady state, you kind of have your art business going and you're
[00:20:11.460 --> 00:20:18.660]   like, okay, where is art training go into this? You probably need to let your internal creative
[00:20:18.660 --> 00:20:22.980]   rhythms take the lead. You own your art business. So you probably have, I don't know exactly what
[00:20:22.980 --> 00:20:27.060]   it is, but you probably have some autonomy about how this business, like when and where it happens.
[00:20:27.060 --> 00:20:32.020]   Like it's not you behind a counter at a store, I'm assuming. So you should decide when and where
[00:20:32.020 --> 00:20:37.620]   do I do my best artwork? When am I most inspired? Like what location, what time? Make that your time
[00:20:37.620 --> 00:20:42.260]   block for doing your painting and then run the art business other places, right? That's just going to give
[00:20:42.260 --> 00:20:48.740]   you a bit of a multiplier on your return of effort for working on a creative pursuit. Find the best time,
[00:20:48.740 --> 00:20:53.700]   best location, because I can. I'm going to get 20% more out of those sessions. That adds up over time.
[00:20:53.700 --> 00:20:56.100]   All right, let's go to the general question here, the harder question.
[00:20:56.100 --> 00:21:01.620]   Leaving a long time software engineering career to start an art business. I'm a little bit worried.
[00:21:02.660 --> 00:21:09.460]   I know you have a financial cushion, but I'm a little bit worried about how much prep you did
[00:21:09.460 --> 00:21:14.340]   before making that change. The typical argument that I would make in like my book "So Good They
[00:21:14.340 --> 00:21:19.860]   Can't Ignore You" is that you really want sufficient career capital in the new thing you're doing
[00:21:21.220 --> 00:21:26.740]   that you can exchange it for success, right? That you're not coming into a new field where you have
[00:21:26.740 --> 00:21:31.300]   very little rare and valuable skills because that is a recipe for really falling behind.
[00:21:31.300 --> 00:21:35.860]   And one of the best ways, I talk about this in So Good, one of the best ways to check your career
[00:21:35.860 --> 00:21:41.780]   capital stores when it comes to a new professional endeavor is to use Derek Siver's concept of money
[00:21:41.780 --> 00:21:47.700]   being a neutral indicator of value. That is, running the art business on your side until the income it
[00:21:47.700 --> 00:21:53.700]   produces is enough to cover your needs. Now you have confidence that the business will work.
[00:21:53.700 --> 00:21:59.780]   Now you make your change. So if you made your jump before then, I guess it's all hands on deck with
[00:21:59.780 --> 00:22:05.620]   the art business until that income is coming in. And only if and when it feels stable would I really
[00:22:05.620 --> 00:22:12.020]   start prioritizing more time for the more personal pursuit of working on your own art. My concern is
[00:22:12.020 --> 00:22:16.900]   you're going to burn through this cushion and nothing comes of it because it's hard to run a new business
[00:22:16.900 --> 00:22:21.060]   if you don't have very invaluable skills. So really, I'm just going to say, put your focus on that
[00:22:21.060 --> 00:22:25.620]   until you feel comfortable and then do more time on your own art and do it when
[00:22:25.620 --> 00:22:31.220]   you feel like it's the best time for you to do the art. But you know, I've got some alarm sirens going
[00:22:31.220 --> 00:22:35.380]   here, Natalie, and hopefully I might be missing context here where it's safer than I think. But I want to put
[00:22:35.380 --> 00:22:41.860]   out that fire before I worry too much about extending the proverbial house here. All right, who do we got next, Jesse?
[00:22:41.860 --> 00:22:48.180]   Next question is from Vishal. I've been a business analyst for 11 years and it provides stability and
[00:22:48.180 --> 00:22:53.220]   good balance. I have a chance to buy a retail convenience store. The expected financial returns
[00:22:53.220 --> 00:22:58.980]   are roughly equivalent to my current full-time role. This new potential role is a major shift from my current
[00:22:58.980 --> 00:23:04.340]   career capital. However, if successful, owning multiple stores could provide long-term upside. Ideally,
[00:23:04.340 --> 00:23:09.540]   I want to take three to four months off each year. So I think this question has a lot of related themes to
[00:23:09.540 --> 00:23:20.500]   the last question. And again, I have deep life alarm sirens going off. Because when I analyze how to use your
[00:23:20.500 --> 00:23:29.300]   work as one of the tools you have to construct a deep life, there is a clear formula. The benefits of a professional
[00:23:30.020 --> 00:23:36.580]   pursuit are directly proportional to how rare and valuable the skills involved in that pursuit are.
[00:23:36.580 --> 00:23:40.420]   This is just the way the market works. The more you're leveraging rare and valuable skills,
[00:23:40.420 --> 00:23:44.420]   the more you get back either in terms of compensation or sort of like autonomy and flexibility.
[00:23:44.420 --> 00:23:49.540]   If you are really, really good at throwing a baseball with your left hand,
[00:23:50.740 --> 00:23:56.420]   you could get 20, 25 million dollars a year for doing that, right? Because it's an incredibly rare
[00:23:56.420 --> 00:24:03.700]   and valuable skill. You can leverage that to get a lot in return. If you are very, very good at writing
[00:24:03.700 --> 00:24:14.500]   dark fantasy novels like Rebecca Yaros, then you can have an extreme amount of flexibility in your life.
[00:24:14.500 --> 00:24:19.220]   You write one book every year or two. You make a massive amount of money. That's all you have to do.
[00:24:19.220 --> 00:24:22.580]   You can dictate when and where you work. The more rare and valuable skills, the better.
[00:24:22.580 --> 00:24:27.780]   I get worried about things like retail convenience stores because where's the rare and valuable skill?
[00:24:27.780 --> 00:24:35.780]   If you don't have a particular hard-won skill in this field, then why do you think
[00:24:35.780 --> 00:24:42.580]   that I can just relatively easily be making the same money as a business analyst and then maybe buy a few
[00:24:42.580 --> 00:24:48.020]   other stores and then I could have a pretty good lifestyle business or make a lot of money and don't have
[00:24:48.020 --> 00:24:53.380]   to work three or four months a year. If that was possible without you needing a hard-won skill,
[00:24:53.380 --> 00:24:57.860]   guess what? Everyone would be doing it. First, it would be people and then you would have private
[00:24:57.860 --> 00:25:00.820]   equity funds come in and everyone would be like, "This is great. What an easy business. I don't need
[00:25:00.820 --> 00:25:05.940]   to know much about it. If you have enough capital, you can have a retail convenience store do well and
[00:25:05.940 --> 00:25:12.740]   just buy three more." Everyone would be doing it. I'm always really wary if you don't have a rare and
[00:25:12.740 --> 00:25:16.420]   valuable skill being applied. I don't trust a person saying this thing's going to make you a lot of
[00:25:16.420 --> 00:25:20.580]   money. It just never works. The market is too efficient. The market of professional pursuits
[00:25:20.580 --> 00:25:25.460]   and rewards is very efficient. If there's ways to do really well without rare and valuable skills,
[00:25:25.460 --> 00:25:29.940]   people move into it till it's saturated. Then people try to automate and systematize it and then all the
