
[00:00:00.000 --> 00:00:06.000]   Today's question comes from an international listener named Weiganjo Camotho.
[00:06:35.000 --> 00:06:46.000]   So when God hears the echoes of his own excellence in the joyful praises of his people,
[00:06:46.000 --> 00:06:49.000]   he delights in it.
[00:06:49.000 --> 00:06:56.000]   He would be unrighteous not to delight in the echoes of what is most infinitely delightful.
[00:06:56.000 --> 00:07:05.000]   Finally, I say at the front of that sentence that this delight or this joy that God has
[00:07:05.000 --> 00:07:13.000]   in the echo of his excellence in the praises of his people, this delight is the climax of God's happiness.
[00:07:13.000 --> 00:07:21.000]   In other words, there is no higher or greater happiness that God is looking forward to
[00:07:21.000 --> 00:07:30.000]   beyond the delight that he takes in the echoes of his excellence in the supremely happy praises of the saints.
[00:07:30.000 --> 00:07:35.000]   And this, I think, is the heart of the biblical message,
[00:07:35.000 --> 00:07:41.000]   that God's purpose in creation and through the redeeming work of Jesus Christ,
[00:07:41.000 --> 00:07:51.000]   God's purpose is to bring his redeemed people to full and lasting happiness in himself,
[00:07:51.000 --> 00:08:02.000]   which is also God's happiness in God, because our happiness in him is an echo of his excellence.
[00:08:02.000 --> 00:08:10.000]   So I'll say the sentence one more time and hope it's not as confusing as it was at first.
[00:08:10.000 --> 00:08:22.000]   The climax of God's happiness is the delight he takes in the echoes of his excellence in the praises,
[00:08:22.000 --> 00:08:27.000]   the white-hot, joyful praises of the saints.
[00:08:27.000 --> 00:08:31.000]   Well, it doesn't get more foundational or more glorious than that. Thank you, Pastor John.
[00:08:31.000 --> 00:08:38.000]   And to find a bunch of old episodes on Christian hedonism and this joy theme in Scripture and praise and glory,
[00:08:38.000 --> 00:08:45.000]   visit our episode archive, type in your keywords into the search bar at our online home at DesiringGod.org/AskPastorJohn.
[00:08:45.000 --> 00:08:49.000]   Almost a thousand episodes there now that you can search any time of the day.
[00:08:49.000 --> 00:08:54.000]   Well, if we're going to put our Bibles together and make sense of the whole story from Genesis to Revelation,
[00:08:54.000 --> 00:09:00.000]   we have to be clear on covenants. Covenants are the skeletal structure of redemptive history,
[00:09:00.000 --> 00:09:03.000]   and we're going to do that very thing when we return on Friday.
[00:09:03.000 --> 00:09:05.000]   I'm your host, Tony Reinke. We'll see you then.
[00:09:05.000 --> 00:09:07.000]   [End]
[00:09:07.000 --> 00:09:13.000]   © The Blue Devils Publishing Company, LLC.
[00:09:13.000 --> 00:09:18.000]   Thank you.

