
[00:00:00.040 --> 00:00:09.420]   caveat
[00:06:01.400 --> 00:06:01.400]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:06:01.400 --> 00:06:31.420]  ,
[00:06:31.420 --> 00:06:31.420]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:06:31.420 --> 00:06:31.420]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:06:31.420 --> 00:06:31.420]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:06:31.420 --> 00:06:31.420]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:06:31.420 --> 00:06:31.420]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:06:31.440 --> 00:07:01.440]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:07:01.440 --> 00:07:01.440]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:07:01.440 --> 00:07:01.440]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:07:01.440 --> 00:07:01.440]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:07:01.440 --> 00:07:01.440]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:07:01.440 --> 00:07:31.460]  , and I would like to earn an income doing what you're doing.
[00:07:31.460 --> 00:07:31.460]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:07:31.460 --> 00:07:31.460]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:07:31.460 --> 00:07:31.460]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:07:31.460 --> 00:07:31.460]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:07:31.460 --> 00:07:31.460]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:07:31.480 --> 00:08:01.480]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:08:01.480 --> 00:08:01.480]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:08:01.480 --> 00:08:01.480]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:08:01.480 --> 00:08:01.480]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:08:01.480 --> 00:08:01.480]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:08:01.480 --> 00:08:31.500]  , I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:08:31.500 --> 00:08:31.500]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:08:31.500 --> 00:08:31.500]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:08:31.500 --> 00:08:31.500]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:08:31.500 --> 00:08:31.500]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:08:31.520 --> 00:09:01.520]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:09:01.520 --> 00:09:01.520]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:09:01.520 --> 00:09:01.520]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:09:01.520 --> 00:09:01.520]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:09:01.520 --> 00:09:01.520]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:09:01.560 --> 00:09:31.540]  , and I would like to earn an income doing what you're doing.
[00:09:31.540 --> 00:09:31.540]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:09:31.540 --> 00:09:31.540]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:09:31.540 --> 00:09:31.540]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:09:31.540 --> 00:09:31.540]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:09:31.540 --> 00:09:31.540]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:09:31.560 --> 00:10:01.560]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:10:01.560 --> 00:10:01.560]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:10:01.560 --> 00:10:01.560]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:10:01.560 --> 00:10:01.560]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:10:01.560 --> 00:10:01.560]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:10:01.560 --> 00:10:31.580]  ,
[00:10:31.580 --> 00:10:31.580]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:10:31.580 --> 00:10:31.580]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:10:31.580 --> 00:10:31.580]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:10:31.600 --> 00:11:01.600]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:11:01.600 --> 00:11:01.600]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:11:01.600 --> 00:11:01.600]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:11:01.600 --> 00:11:01.600]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:11:01.600 --> 00:11:01.600]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:11:01.640 --> 00:11:31.620]  ,
[00:11:31.620 --> 00:11:31.620]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:11:31.620 --> 00:11:31.620]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:11:31.620 --> 00:11:31.620]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:11:31.620 --> 00:11:31.620]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:11:31.620 --> 00:11:31.620]   I'm in a union, so I feel like probably making more than my skills and services are necessarily worth, and I would like to earn an income doing what you're doing.
[00:11:31.660 --> 00:11:40.920]  anov is
[00:11:40.920 --> 00:11:58.420]   �
[00:11:58.420 --> 00:12:00.020]   in in. Dist., ,, ,, ,, ,, ,, is 전에 ec minced the're the main see the幸 the all the see the hone the is the love the be the Wilro 믿 the Mo resulting the cess при the персон fizer the minions
[00:12:00.380 --> 00:12:10.080]   about
[00:12:10.080 --> 00:12:16.300]   databases down,
[00:14:34.820 --> 00:14:45.080]   V
[00:14:45.080 --> 00:14:46.160]  - the essence the
[00:14:46.160 --> 00:15:03.480]   #òngił tells--d-- --, I would be a like, or, or, or, war,,,,,,,,,,,,, gig . jeu believesarch .illos . Juan "аст. L.e. E. Engine. tail. �. del. movements inc. him. Fort. devil. seed. the
[00:15:03.760 --> 00:15:19.660]   하지.
[00:15:19.660 --> 00:15:33.740]   Mak wanted he is the low is the end Men的話 trabaj conduct colour made comes person ghosts인, talk, and, I'm, I, "S, ", ", ", ", ", ", ", ", ", ", ", ", ", ", canceled kind of the dois I said within the life and be like or---C altTo loveass Keалы comported see CRISI Gold Budter work plastic的人
[00:15:33.760 --> 00:15:37.780]   but I have wife and couple young children
[00:15:37.780 --> 00:15:40.780]   at some more age to yours and we're trying to
[00:15:40.780 --> 00:15:46.780]   just develop like we've bought a large piece of property and want to have animals and
[00:15:46.780 --> 00:15:49.780]   that's kind of what the family lifestyle goal is
[00:15:49.780 --> 00:15:52.780]   which is in and of itself somewhat time consuming
[00:15:52.780 --> 00:15:53.780]   right right
[00:15:53.780 --> 00:15:58.780]   so you can kind of think through what you're trying to do
[00:15:58.780 --> 00:16:00.780]   so if you're looking for business skills
[00:16:00.780 --> 00:16:03.760]   business skills are present in every business
[00:16:03.760 --> 00:16:03.760]   Кор
[00:16:03.760 --> 00:16:03.760]   and I'm sure you're familiar with the word business skills
[00:16:03.760 --> 00:16:03.760]   and I'm sure you're familiar with the word business skills
[00:16:03.760 --> 00:16:03.760]   and I'm sure you're familiar with the word business skills
[00:16:03.760 --> 00:16:03.760]   and I'm sure you're familiar with the word business skills
[00:16:03.760 --> 00:16:03.760]   and I'm sure you're familiar with the word business skills
[00:16:03.760 --> 00:16:03.760]   and I'm sure you're familiar with the word business skills
[00:16:03.760 --> 00:16:03.760]   and I'm sure you're familiar with the word business skills
[00:16:03.800 --> 00:16:33.780]   and I'm sure you're familiar with the word business skills
[00:16:33.780 --> 00:16:33.780]   and I'm sure you're familiar with the word business skills
[00:16:33.780 --> 00:16:33.780]   and I'm sure you're familiar with the word business skills
[00:16:33.780 --> 00:16:33.780]   and I'm sure you're familiar with the word business skills
[00:16:33.780 --> 00:16:33.780]   and I'm sure you're familiar with the word business skills
[00:16:33.780 --> 00:16:33.780]   and I'm sure you're familiar with the word business skills
[00:16:33.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills
[00:17:03.800 --> 00:17:03.800]   and I'm sure you're familiar with the word business skills skills
[00:17:03.800 --> 00:17:33.820]   in the way that we're dealing with it
[00:17:33.820 --> 00:17:33.820]   and I'm sure you're familiar with the word business skills skills
[00:17:33.820 --> 00:17:33.820]   and I'm sure you're familiar with the word business skills skills
[00:17:33.820 --> 00:17:33.820]   and I'm sure you're familiar with the word business skills skills
[00:17:33.820 --> 00:17:33.820]   and I'm sure you're familiar with the word business skills skills skills
[00:17:33.820 --> 00:17:33.820]   and I'm sure you're familiar with the word business skills skills skills
[00:17:33.820 --> 00:17:33.820]   and I'm sure you're familiar with the word business skills skills skills skills
[00:17:33.820 --> 00:17:33.820]   and I'm sure you're familiar with the word business skills skills skills skills skills as well as well as the labor of your children, it will allow you to do it in a way that won't be harmful to other components of your life because you can be at home you can be working on the farm that will be really really valuable and it can be highly profitable as a source of extra income but also highly profitable as a way to develop skills skills skills skills
[00:17:33.860 --> 00:17:36.960]   only
[00:17:36.960 --> 00:17:43.460]   encourage a is
[00:17:43.460 --> 00:17:45.060]   realities,,,,,
[00:17:45.060 --> 00:18:02.840]   dragon
[00:18:03.900 --> 00:18:13.980]   hear
[00:18:13.980 --> 00:18:22.480]  , 那i. , show, Gran,,,,, moreкої periodátRL and dont ocean Muhammad Er Reverend S The I I is the re, for the four, and, for the, the, and, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, woman. To.uffed.SA.台灣. Imam. rational. 알.주세요. subscribe.
[00:18:22.480 --> 00:18:32.840]  . en valued. water. full. i'm Death.ating. particle.ath. vie. diversing.dessus.�. be em�. code. absorbed. Pare Ja, any un
[00:18:32.840 --> 00:18:32.920]   Es it's was actually. settings. et brown. un없ing. in the big close. represents a ge's.ю. is in trousers. in the big "'R.,"
[00:18:33.060 --> 00:18:42.800]   particle
[00:18:42.800 --> 00:18:43.140]  , in the,
[00:18:43.140 --> 00:18:51.240]  恩
[00:19:29.540 --> 00:19:29.540]   and, in the,
[00:19:29.580 --> 00:19:41.540]  --
[00:19:41.540 --> 00:19:58.480]   g.P C L wont
[00:21:55.240 --> 00:21:55.240]   or from poultry to a rabbitry or to raising some beef cattle or milk cattle or whatever you do and you keep transitioning. And all along the way, you're practicing those business skills. Now, if you did that for a few years, you would now have the confidence from having done it that you could be plucked up from the middle of Indiana and plopped down in the middle of Wisconsin and do exactly the same thing because you've done it once. And then you could have the confidence that you could be plucked up out of a food operation and you could be put into an artisan handshake.
[00:22:53.520 --> 00:22:53.520]   a way to kind of show your qualifications. Do you think that would be the most I mean, because I picture if I get laid off as a diesel technician, I want to go become a salesperson. At least at the large company I work for, I have trouble walking and saying like I should qualify for this good salary job because I sold $5,000 a year worth of chickens. With a blog kind of demonstrating that you think there's a better way to sort of demonstrate that value.
[00:22:53.520 --> 00:23:22.660]  , for potential employers.
[00:23:22.660 --> 00:23:22.660]   Maybe that one's hard because if you're trying to prepare yourself for a career change that you're not actively moving into or that you're not currently working in it, it's a little bit harder to build that kind of thing, especially to make it worth the time. So I think everybody needs a career website that's related to themselves, their career and their business. The trick is with a career website, it should be related to either what you're doing or what you actively want to do. So do you actually have a career website that's related to your career?
[00:23:22.660 --> 00:23:22.660]   So do you actually have a career website that's related to your career?
[00:23:22.660 --> 00:23:22.660]   a career website that's related to either what you're doing or what you actively want to do?
[00:23:22.660 --> 00:23:22.660]   So do you actively want to build that career website that's related to your career?
[00:23:22.680 --> 00:23:24.700]   So do you actually want to transition out of your technician role to a sales role?
[00:23:24.700 --> 00:23:25.700]   So do you actually want to transition out of your technician role to a sales role?
[00:23:25.700 --> 00:23:26.700]   I don't know if I want to transition to a sales role, but I do eventually want to transition out of the technician role.
[00:23:26.700 --> 00:23:27.700]   I don't know if I want to transition to a sales role, but I do eventually want to transition out of the technician role.
[00:23:27.700 --> 00:23:28.700]   Okay. So the way that I would see a blog or a career website, because a blog is just one function of it, fitting into that, is you develop a website for the particular career that you want to pursue.
[00:23:28.700 --> 00:23:46.700]   Okay. So the way that I would see a blog or a career website, because a blog is just one function of it, fitting into that, is you develop a website for the particular career that you want to pursue.
[00:23:47.240 --> 00:24:12.740]   and laying the groundwork for it, you should have a specific goal of a specific career or a specific company that you want to work for.
[00:24:12.740 --> 00:24:13.740]   and laying the groundwork for it, you should have a specific goal of a specific career or a specific company that you want to work for.
[00:24:13.740 --> 00:24:14.740]   and laying the groundwork for it, you should have a specific goal of a specific career or a specific company that you want to work for.
[00:24:14.740 --> 00:24:15.740]   and laying the groundwork for it, you should have a specific goal of a specific career or a specific company that you want to work for.
[00:24:15.740 --> 00:24:16.740]   and laying the groundwork for it, you should have a specific goal of a specific career or a specific company that you want to work for.
[00:24:16.740 --> 00:24:16.740]   and laying the groundwork for it, you should have a specific goal of a specific career or a specific company that you want to work for.
[00:24:16.780 --> 00:24:26.500]   que
[00:24:26.500 --> 00:24:45.500]  � Bar I, listening, cause,,, or
[00:25:43.100 --> 00:26:11.360]   didnt want to talk about?� Because they don't usually pay salespeople unless they actually produce. You can go and you can get sales jobs. So I'm not worried about your ability to get a sales job. I would focus on building the lifestyle job first, which is probably related to the big property that you bought, and there should be enough profit there that you could learn the lessons and apply those elsewhere. We move to Colorado Springs, Colorado. David, welcome to Radical Personal Finance. How can I serve you today, sir?�
[00:26:11.360 --> 00:26:11.860]   ��
[00:26:11.860 --> 00:26:12.100]   ��
[00:26:12.100 --> 00:26:12.360]   ��
[00:26:12.360 --> 00:26:12.700]   ��
[00:26:12.700 --> 00:26:12.900]   ��
[00:26:12.900 --> 00:26:13.100]   ��
[00:26:14.080 --> 00:26:42.920]  obedient. I'd like to ask about, I've had a change in status this year, recently married, and because of that we've been making some Roth contributions on our own individually, but I think combined, our income is going to exceed the IRS limitation. So I guess part of my question is, my initial thought was to do a backdoor Roth, kind of recategorize it into a traditional Roth.
[00:26:42.920 --> 00:26:43.140]   ��
[00:26:43.160 --> 00:27:13.180]   and then move it back over into a Roth. But I thought I'd ask, so one, I'd like to ask either, is that the best option or should I look into something else? And then B, if it's the best option, is it just mechanically that, just having a traditional IRA and moving it into there and then moving it back over into the Roth, kind of get some of the details ironed out in my head about actually how to execute that, or should I just see a CPA or something?
[00:27:13.240 --> 00:27:23.360]  еч
[00:27:23.360 --> 00:27:24.060]   maybe a null
[00:27:24.060 --> 00:27:25.420]   Butt 5買" το, and,,,,,,, request days
[00:27:25.420 --> 00:27:29.220]   money
[00:27:29.220 --> 00:27:42.180]  , misses para
[00:28:42.080 --> 00:29:11.480]   methyl. I don't think it did. There is. I'm my brain is going down, married filing jointly. Um, and because of your married filing jointly income is a hundred. The range is less than a hundred ninety three thousand. You contribute over two hundred three thousand. You can't contribute. But with two hundred and thirty thousand, you're over that. Um, married filing separately. You have, you can't contribute anything if you make more than ten grand. So that doesn't work. Um, singled, if you did not live with your spouse at any time of the year.
[00:29:11.480 --> 00:29:11.680]   Yeah.
[00:29:11.700 --> 00:29:40.100]   You stumped me. So I get my best guess is I would talk with the CPA and see your accountant and that would be a good good. Um, a good question for a tax specialist. But my guess to your answer is you can't do a Roth IRA. So could you do a backdoor, a backdoor Roth? Yeah, you could do a backdoor Roth for you to simply contribute to a non deductible IRA and then convert it to a Roth IRA. Is that worth your time and worth the hassle with two hundred and thirty thousand dollars of income?
[00:29:40.100 --> 00:29:41.300]   You'd be the one who's going to pay for it.
[00:29:41.300 --> 00:29:41.600]   Yeah.
[00:29:41.640 --> 00:30:11.620]   I'm going to have to say that I think it's a good question.
[00:30:11.620 --> 00:30:11.620]   I'm going to have to say that I think it's a good question.
[00:30:11.620 --> 00:30:11.620]   Yeah, I'm going to have to say that I think it's a good question.
[00:30:11.620 --> 00:30:11.620]   Yeah, I'm going to have to say that I think it's a good question.
[00:30:11.620 --> 00:30:11.620]   Yeah, I'm going to have to say that I think it's a good question.
[00:30:11.640 --> 00:30:13.840]   Okay, thanks.
[00:30:13.840 --> 00:30:21.460]   Um, yeah, I'll definitely reach out, maybe find someone that I can trust and see about what the best steps are.
[00:30:21.460 --> 00:30:24.800]   It's a fairly simple question for a tax preparer.
[00:30:24.800 --> 00:30:27.120]   Right, right.
[00:30:27.120 --> 00:30:28.060]   It should be pretty straightforward.
[00:30:28.060 --> 00:30:34.140]   I just don't want to run into any, you know, crazy, hairy stuff when I start preparing taxes.
[00:30:34.140 --> 00:30:35.040]   I want to get it done.
[00:30:35.040 --> 00:30:38.080]   Well, thanks for that.
[00:30:38.080 --> 00:30:41.640]   And then I, you know, I know I've heard you talk about the tax preparer.
[00:30:41.640 --> 00:30:41.640]   I know I've heard you talk about the tax preparer.
[00:30:41.640 --> 00:30:41.640]   I know I've heard you talk about the tax preparer.
[00:30:41.640 --> 00:30:41.640]   I know I've heard you talk about the tax preparer.
