
[00:00:00.000 --> 00:00:18.540]   Thanks Ally for the great intro. Indeed we're working on what I believe to
[00:09:15.180 --> 00:09:22.180]   Just use the off the shelf elements. Have really strong inductive priors, but basically build agents as judges. Right? So this is one approach.
[00:09:22.180 --> 00:09:28.940]   basically we'll build agent frameworks, pipelines, workflows to do the judging task. And we have this nice little library called
[00:09:28.940 --> 00:09:34.940]   Verdict that does this. Very on-the-nose name, I know. But the idea of Verdict is essentially, there's a lot of great
[00:09:34.940 --> 00:09:40.940]   intuition from the scalable oversight community, which is subfield of AI safety. Goal of scalable oversight is basically how do you take
[00:09:40.940 --> 00:09:44.940]   smaller language models and have them audit and correct and steer stronger models.
[00:09:44.940 --> 00:09:49.940]   Urgently, this is an AI safety concept because people were worried about, you know, in the age of superhuman AI, how do you have
[00:09:49.940 --> 00:09:55.940]   weaker models, i.e. humans control the stronger models, right? And that's how the field got started. But as a result of scalable
[00:09:55.940 --> 00:09:59.940]   oversight, there's been a lot of great intuition around the architectures and primitives and units that you would use to probe and reason and critique what a stronger model is doing. And so we baked a lot of the
[00:09:59.940 --> 00:10:18.940]   primitives and architectures into this Verdict library. One example is having LLMs debate each other, having the weaker LLMs debate each other about what the stronger model is saying and seeing if that makes sense. Another example is having the LLMs, weaker LLMs self-verify the results of their own responses, right? So, you know, have an LLM say, okay, this response of the stronger model is
[00:10:18.940 --> 00:10:39.940]   good or bad. It is bad for this reason, and then maybe having an LLM critique its own reasoning, right? So self-verification is another great primitive. Ensembling, of course, another classic primitive in this case, and so on and so forth.
[00:10:39.940 --> 00:11:06.940]   TLDR, scaling judge time compute in this particular way, through building agents as judges, actually allows you to come up with extremely powerful judging systems that are also quite cheap and also low latency. So here's a plot of price and latency and cost and accuracy of Verdict systems vis-à-vis some of the Frontier Labs reasoning models.
[00:11:06.940 --> 00:11:19.940]   So you can see that Verdict is beating 01 and 03 mini and, of course, GPT-40 and 3.5 sonnets on the task of expert QA verification. So this is subjective criteria grading in expert domains.
[00:11:19.940 --> 00:11:31.940]   Critically, Verdict here is powered by a GPT-40 mini backbone, right? So we basically have stacked GPT-40 mini aggressively in what is, in this case, like a self-verified debate ensemble architecture.
[00:11:31.940 --> 00:11:39.940]   And we're able to beat 01 for a fraction of the cost, like less than a third of the cost, right? And also, like less than a third of the latency.
[00:11:39.940 --> 00:11:45.940]   And this is all because of the fact that we've chosen the priors in a pretty careful and intelligent way.
[00:11:45.940 --> 00:11:51.940]   So that's one way to scale just-time compute, is basically building agents to do the task.
[00:11:51.940 --> 00:11:58.940]   Another way to do it, and this is a lot more fun in my opinion, is basically, yeah, just rip RL from scratch, train models to do the judging task.
[00:11:58.940 --> 00:12:01.940]   And this is something that we've also been pretty excited about over the past few months.
[00:12:01.940 --> 00:12:07.940]   Again, for standard LM judges, a whole host of issues, but two particular issues that are solved by RL is one.
[00:12:07.940 --> 00:12:14.940]   There's a lack of coherent rationales that explain why an LM judge thinks something is a 5 out of 5, or thinks something is good or bad.
[00:12:14.940 --> 00:12:24.940]   And also, standard LM judge doesn't provide real fine-grained, tailored, unique criteria to whatever idiosyncratic task and data you're looking at.
[00:12:24.940 --> 00:12:29.940]   But both of these can be solved by RL tuning, or specifically, GRPO tuning.
[00:12:29.940 --> 00:12:34.940]   One paper recently that has come out in this general flavor is from DeepSeq.
[00:12:34.940 --> 00:12:37.940]   This is SPCT, self-principled critique tuning.
[00:12:37.940 --> 00:12:48.940]   The idea here is essentially, can you get an LM to first propose some data set, or sorry, data point specific criteria about what to test for?
[00:12:48.940 --> 00:12:51.940]   It's almost like coming up with unit tests for the specific data point you're looking at.
[00:12:51.940 --> 00:12:57.940]   And having the LM essentially look at each of those criteria and critique the data points against each of those criteria.
[00:12:57.940 --> 00:13:01.940]   So it's like instance specific rubric and then instance specific rubric critiques.
[00:13:01.940 --> 00:13:04.940]   This is one way to train RL models.
[00:13:04.940 --> 00:13:15.940]   We ran a pretty simple experiment using a grant of this technique to GRPO train 600 million parameter and 1.7 billion parameter models.
[00:13:15.940 --> 00:13:23.940]   And TLDR, this gets us to, you know, competitive performance on the reward bench task with Cloud3 Opus, which is at 80%.
[00:13:23.940 --> 00:13:25.940]   GPT-4 Mini, which is at 80%.
[00:13:25.940 --> 00:13:27.940]   LAM370B at 77%.
[00:13:27.940 --> 00:13:34.940]   And J1 Micro, which is this 1.7 billion parameter reward model at 80.7% accuracy on the reward bench task, right?
[00:13:34.940 --> 00:13:36.940]   And this is all because of judged time scaling.
[00:13:36.940 --> 00:13:43.940]   This is all because we did GRPO to come up with better rubric proposals and better critiques on the specific tasks that we're looking at.
[00:13:43.940 --> 00:13:50.940]   So training off essentially a much smaller model, doing more compute, gets you this much better performance.
[00:13:50.940 --> 00:13:54.940]   And similar numbers for the 600 million parameter model.
[00:13:54.940 --> 00:13:55.940]   Cool.
[00:13:55.940 --> 00:13:58.940]   So that's all judging and scoring the outputs.
[00:13:58.940 --> 00:14:02.940]   Equally important though is how do you come up with inputs to throw out the AI system, right?
[00:14:02.940 --> 00:14:04.940]   And how do you run the search over time?
[00:14:04.940 --> 00:14:07.940]   TLDR, there's two ways that we think about this.
[00:14:07.940 --> 00:14:21.940]   There is fuzzing in the general sense, which is essentially, okay, I just want to come up with some variance of some customer happy path and test my system under some reasonable in distribution user inputs, right?
[00:14:21.940 --> 00:14:25.940]   Then there's the more fun part, which is how do you do adversarial testing, right?
[00:14:25.940 --> 00:14:31.940]   How do you basically emulate some person trying to sit down and prompt inject and jailbreak and mess with your AI systems at large?
[00:14:31.940 --> 00:14:36.940]   And this is much more aggressive in terms of how we pursue the optimization problem.
[00:14:36.940 --> 00:14:48.940]   Long story short is, you know, fuzzing in the AI sense is much more structured and optimization driven than in classical security or software or hardware, right?
[00:14:48.940 --> 00:14:57.940]   It is impossible to like search over the input space of natural language and do a brute force search in any reasonably short amount of time.
[00:14:57.940 --> 00:15:01.940]   Like we were dealing with, you know, let's say you were dealing with a Lama 3 tokenizer.
[00:15:01.940 --> 00:15:05.940]   There's 128,000 tokens per individual inputs, right?
[00:15:05.940 --> 00:15:10.940]   You scale this up to like 100 million tokens and you're like literally impossible to scan this entire input space.
[00:15:10.940 --> 00:15:15.940]   So you have to be very clever and guided and prune the search space as you do hazing and fuzzing.
[00:15:15.940 --> 00:15:18.940]   We treat this task essentially as an optimization problem, right?
[00:15:18.940 --> 00:15:21.940]   This is, long story short, just discrete optimization.
[00:15:21.940 --> 00:15:28.940]   There's plenty of rich literature over the past 60, 70 years of discrete math research to go and support how to do this sort of task.
[00:15:28.940 --> 00:15:30.940]   We have to massage it, of course, to work for the LLM domain.
[00:15:30.940 --> 00:15:33.940]   But TL;DR, the search space is just natural language.
[00:15:33.940 --> 00:15:40.940]   The objective that we're trying to minimize in this case is essentially whatever judge that we're using to score the output.
[00:15:40.940 --> 00:15:48.940]   We basically want to find inputs that break your AI application vis-a-vis the judge, gets the output to score very low on some measure of the judge.
[00:15:48.940 --> 00:15:52.940]   And yeah, we can rip and throw a bunch of fun optimization algorithms at this.
[00:15:52.940 --> 00:15:59.940]   We can use gradient-based methods to backprop all the way from the judge loss through the model to the input space and use that to guide what tokens we want to flip.
[00:15:59.940 --> 00:16:02.940]   We can use various forms of tree search and MCTS.
[00:16:02.940 --> 00:16:12.940]   We can search over the latent space of embedding models and then map from the embedding models to text and throw that at the underlying AI application or the application under test.
[00:16:12.940 --> 00:16:13.940]   We can use DSPy.
[00:16:13.940 --> 00:16:19.940]   We can use all sorts of other great tools and tricks to solve this optimization problem.
[00:16:19.940 --> 00:16:22.940]   Some fun case studies in the last few minutes.
[00:16:22.940 --> 00:16:27.940]   TL;DR, you could probably imagine that this hazing thing matters a lot for people in regulated industries.
[00:16:27.940 --> 00:16:32.940]   And indeed we work a lot with banks and financial services and healthcare and so on.
[00:16:32.940 --> 00:16:37.940]   We did something recently where we hazed the largest bank in Hungary.
[00:16:37.940 --> 00:16:41.940]   They had this like loan calculation AI application that they're showing to customers.
[00:16:41.940 --> 00:16:45.940]   The customer application had to follow this 18-line code of conduct is what they called it.
[00:16:45.940 --> 00:16:52.940]   And we basically threw everything under the sun from our platform in terms of optimization and scoring to emulate adversaries.
[00:16:52.940 --> 00:16:55.940]   We were able to discover a ton of prompt injections and jail breaks.
[00:16:55.940 --> 00:17:00.940]   And honestly just like unexpected corner cases that they didn't account for in their code of conduct.
[00:17:00.940 --> 00:17:04.940]   And they were able to patch this up and then finally unblock their production into prod.
[00:17:04.940 --> 00:17:11.940]   We are doing this right now for a fortune 500 bank that wants to do outbound debt collection with voice agents.
[00:17:11.940 --> 00:17:17.940]   A little bit actually more complex problem because now we're not just testing in the text space.
[00:17:17.940 --> 00:17:22.940]   We're actually introducing a lot of variance to just the audio signal as well.
[00:17:22.940 --> 00:17:29.940]   So adding things like background noise, stacking weird static into the input domain, changing the frequencies of things, etc.
[00:17:29.940 --> 00:17:32.940]   But still an optimization problem by the end of the day.
[00:17:32.940 --> 00:17:41.940]   TLDR, what took this team, you know, three months or so to do with their internal ops teams, took, in their own words, only five minutes for a platform to do.
[00:17:41.940 --> 00:17:44.940]   So scaling up adversary emulation works for this task as well.
[00:17:44.940 --> 00:17:53.940]   And a little bit more difference for another voice agent company, we've been helping them with scaling up their eval suite, right?
[00:17:53.940 --> 00:17:59.940]   So not so much hazing, but basically scaling up their subjective human annotators through verdicts.
[00:17:59.940 --> 00:18:06.940]   They've seen a 38% increase in ground truth human agreements using verdicts as opposed to using their internal ops teams.
[00:18:06.940 --> 00:18:13.940]   And what we're using here is essentially a tried and true architecture from the verdict library, which is what we call a rubric fanout.
[00:18:13.940 --> 00:18:20.940]   So it is basically proposed individual unit tests and criteria for any particular data points, critique it, self verify your critique,
[00:18:20.940 --> 00:18:22.940]   and then aggregate results at the very end.
[00:18:22.940 --> 00:18:23.940]   Cool.
[00:18:23.940 --> 00:18:27.940]   So we've got a few minutes left for questions.
[00:18:27.940 --> 00:18:30.940]   But yeah, hazing is a ton of fun.
[00:18:30.940 --> 00:18:33.940]   I think it matters a lot for this new era of software that we're building.
[00:18:33.940 --> 00:18:35.940]   We're very aggressively hiring.
[00:18:35.940 --> 00:18:39.940]   We're, you know, facing what I would deem to be insurmountable enterprise demands.
[00:18:39.940 --> 00:18:41.940]   And we're only a team of four people.
[00:18:41.940 --> 00:18:43.940]   So we really need to scale up our team.
[00:18:43.940 --> 00:18:46.940]   And yeah, we're based in New York in case you guys want to move out to the city.
[00:18:46.940 --> 00:18:49.940]   And yeah, any last questions for me?
[00:18:49.940 --> 00:18:53.940]   For the hazing input, is it multi-shot or single-shot?
[00:18:53.940 --> 00:18:54.940]   Yeah.
[00:18:54.940 --> 00:18:55.940]   Great question.
[00:18:55.940 --> 00:18:56.940]   So we do both.
[00:18:56.940 --> 00:18:58.940]   We do single turn, multi-turn.
[00:18:58.940 --> 00:19:01.940]   We do persistent conversations if you're doing voice.
[00:19:01.940 --> 00:19:02.940]   Yeah.
[00:19:02.940 --> 00:19:04.940]   All sorts of modalities, all sorts of inputs.
[00:19:04.940 --> 00:19:05.940]   Yeah.
[00:19:05.940 --> 00:19:05.940]   Yeah.
[00:19:05.940 --> 00:19:06.940]   Yeah.
[00:19:06.940 --> 00:19:07.940]   Yeah.
[00:19:07.940 --> 00:19:08.940]   Yeah.
[00:19:08.940 --> 00:19:09.940]   Yeah.
[00:19:09.940 --> 00:19:10.940]   Yeah.

