
[00:00:00.000 --> 00:00:00.640]   Hi, folks.
[00:02:35.520 --> 00:02:36.880]   that you have stored.
[00:02:36.880 --> 00:02:39.280]   And they take only log(n) operations.
[00:02:39.280 --> 00:02:41.920]   In other words, they're sublinear.
[00:02:41.920 --> 00:02:44.960]   It's a lot less expensive to do an O(log(n)) lookup
[00:02:44.960 --> 00:02:47.440]   than it is to scan the entire list.
[00:02:47.440 --> 00:02:49.880]   And the way that they do that is because they trade recall.
[00:02:49.880 --> 00:02:51.360]   In other words, sometimes they might
[00:02:51.360 --> 00:02:54.520]   miss the truly n-th nearest neighbor
[00:02:54.520 --> 00:02:57.400]   and grab something else in exchange for speed
[00:02:57.400 --> 00:02:59.520]   and computational complexity.
[00:02:59.520 --> 00:03:01.480]   Now, that might sound a little worrying.
[00:03:01.480 --> 00:03:03.040]   But the reality is that the trade-off between speed
[00:03:03.040 --> 00:03:04.400]   and recall can be tuned depending
[00:03:04.400 --> 00:03:05.440]   on the algorithm used.
[00:03:05.440 --> 00:03:07.060]   And there's a lot of flexibility in how
[00:03:07.060 --> 00:03:09.400]   these things are implemented.
[00:03:09.400 --> 00:03:10.960]   So going into a little bit more depth
[00:03:10.960 --> 00:03:13.280]   about approximate nearest neighbors,
[00:03:13.280 --> 00:03:15.760]   ANN algorithms are an active area of research.
[00:03:15.760 --> 00:03:17.840]   And there's a lot of different ones.
[00:03:17.840 --> 00:03:19.320]   Commonly used ones include things
[00:03:19.320 --> 00:03:22.400]   called inverted file indexes, locality-sensitive hashing,
[00:03:22.400 --> 00:03:24.880]   and hierarchical navigable small-world graphs.
[00:03:24.880 --> 00:03:27.320]   And if you want to learn more details about each of these,
[00:03:27.320 --> 00:03:30.240]   there's plenty of detail available online.
[00:03:30.240 --> 00:03:32.960]   Different algorithms work best in different settings.
[00:03:32.960 --> 00:03:36.000]   A lot of the approximate nearest neighbor algorithms
[00:03:36.000 --> 00:03:39.080]   used in many solutions today are set up
[00:03:39.080 --> 00:03:41.400]   for the case where the index doesn't change very much
[00:03:41.400 --> 00:03:43.960]   and gets updated only infrequently.
[00:03:43.960 --> 00:03:46.680]   However, if we're building an LLM in the loop application,
[00:03:46.680 --> 00:03:48.880]   it's very likely that our data will mutate online
[00:03:48.880 --> 00:03:49.600]   quite frequently.
[00:03:49.600 --> 00:03:52.960]   And so a graph-based algorithm like HNSW
[00:03:52.960 --> 00:03:54.720]   works well in these types of applications
[00:03:54.720 --> 00:03:57.000]   because we can iteratively construct and iterate
[00:03:57.000 --> 00:03:59.320]   on the graph.
[00:03:59.320 --> 00:04:00.600]   So what's next?
[00:04:00.600 --> 00:04:01.880]   I mean, this all sounds great.
[00:04:01.880 --> 00:04:03.340]   But the issue is that there is quite
[00:04:03.340 --> 00:04:06.040]   a few fundamental limitations, even when you have a software
[00:04:06.040 --> 00:04:08.120]   package that's supporting you in finding nearest neighbors
[00:04:08.120 --> 00:04:10.600]   in this way, because it doesn't answer certain questions.
[00:04:10.600 --> 00:04:12.880]   It doesn't answer for you which embedding model is best
[00:04:12.880 --> 00:04:14.520]   for my task or your data.
[00:04:14.520 --> 00:04:16.560]   It doesn't tell you how you should be chunking up
[00:04:16.560 --> 00:04:18.400]   your data to ensure good results.
[00:04:18.400 --> 00:04:20.760]   And just because you've gotten the n nearest neighbors
[00:04:20.760 --> 00:04:23.000]   doesn't actually tell you whether those neighbors are
[00:04:23.000 --> 00:04:24.840]   relevant or how relevant they actually are.
[00:04:24.840 --> 00:04:27.280]   So what should you do with the information
[00:04:27.280 --> 00:04:28.640]   that they're not sometimes?
[00:04:28.640 --> 00:04:30.400]   And finally, I think it's really important
[00:04:30.400 --> 00:04:31.880]   and one of the core principles of AI
[00:04:31.880 --> 00:04:34.560]   is that we can easily incorporate human feedback
[00:04:34.560 --> 00:04:37.600]   into the data that we're returning to the model.
[00:04:37.600 --> 00:04:40.320]   So providing opportunities and affordances
[00:04:40.320 --> 00:04:41.760]   to actually do that for developers
[00:04:41.760 --> 00:04:43.720]   is something that's really important.
[00:04:43.720 --> 00:04:44.540]   These are all features that we're
[00:04:44.540 --> 00:04:46.000]   looking into building into Chroma.
[00:04:46.000 --> 00:04:48.800]   And as I said, this is a still growing,
[00:04:48.800 --> 00:04:53.440]   this is still a field with a lot of product experimentation
[00:04:53.440 --> 00:04:56.840]   going on and we're hoping to support users like you
[00:04:56.840 --> 00:04:59.240]   in doing all of these things in the near future.
[00:04:59.240 --> 00:05:00.080]   Thank you.
[00:05:00.080 --> 00:05:02.660]   (upbeat music)
[00:05:02.660 --> 00:05:05.240]   (upbeat music)
[00:05:05.240 --> 00:05:07.820]   (upbeat music)

