
[00:00:00.000 --> 00:00:07.000]   At Suboba Casino Resort this October, something fun is lurking in the dark.
[00:05:32.000 --> 00:05:37.000]   Or is it due to covering personal income during a time of low income as you start the business?
[00:05:37.000 --> 00:05:47.000]   Yeah. So I would say it's about 50/50 in that regard. 50 percent towards the buying purchasing and then 50 percent towards covering expenses due to low income.
[00:05:47.000 --> 00:05:54.000]   And at this point, do you feel like like are you continuing to add money to the credit card balances?
[00:05:54.000 --> 00:06:04.000]   No, I think we've hit like probably over the past two months we've hit a stopping point where we were just like, okay, this is we've gone too far.
[00:06:04.000 --> 00:06:13.000]   And so we're really trying to like relook at what we've spent and try and figure out the best way to eliminate this debt.
[00:06:13.000 --> 00:06:22.000]   Okay. All right. So this is – the reason all these questions are important is it will guide the advice.
[00:06:22.000 --> 00:06:27.000]   For example, if the debt were related to your house, then that would be one thing.
[00:06:27.000 --> 00:06:32.000]   And you said it was a fruitful investment. So we tried to figure out, well, was this – did you buy an old house and needed to fix it up?
[00:06:32.000 --> 00:06:51.000]   That's not the case. If the debt were related to overspending, let's say that you and she had stable incomes and just over the years you continually put extra expenses onto your credit card balances, then under those circumstances, that would lead in a different course of action.
[00:06:51.000 --> 00:07:05.000]   If it's related to low income and it's piled up a lot over the last couple of years and now it's just related to low income, the major question is are the businesses working now? I'm hearing a yes. Is that right?
[00:07:05.000 --> 00:07:06.000]   No, not yet.
[00:07:06.000 --> 00:07:17.000]   Okay. So tell me more. Tell me about the stage of the business, yours and hers both, what the experience has been thus far and what you see coming down the line in the next six months.
[00:07:17.000 --> 00:07:32.000]   So experience thus far, I'll speak for mine first as an agent. So I just recently over the past month or two became licensed as an agent. And so I'm just really getting my foot in the door to get off the ground.
[00:07:32.000 --> 00:07:44.000]   And then I have a second job that I'm working right now to provide additional income because it's stable income. And I work that one full-time and I'm doing full-time for my real estate business as well.
[00:07:44.000 --> 00:07:52.000]   That's not producing any profit right now. It's putting money out for licenses and fees and everything else to get off the ground.
[00:07:52.000 --> 00:08:10.000]   But over the next six months, ideally, I'm hoping to be making all of that back and even more. So projected income, I guess, would be not including our initial 75, would be probably an additional 75 over the next six months.
[00:08:10.000 --> 00:08:14.000]   And the 75 is coming from your wife then currently?
[00:08:14.000 --> 00:08:25.000]   No. So the 75 is coming from me. And my wife is currently looking for another job in addition to running her business right now just to provide additional income.
[00:08:25.000 --> 00:08:41.000]   Okay. So in your real estate business, this is brand new, you haven't yet sold any property. So you have no net income from that business yet. You're working a side job, which is paying you steady income. And how much is that paying you on a weekly or monthly basis?
[00:08:41.000 --> 00:08:45.000]   So on a monthly after-tax basis, it's about $4,000.
[00:08:45.000 --> 00:08:47.000]   And is this a regular job?
[00:08:47.000 --> 00:08:49.000]   Yes, it's a 9-to-5.
[00:08:49.000 --> 00:09:01.000]   Okay, good. All right, great. So that gives us a great place to start from. Now, your wife's business, is she earning any profit whatsoever in that business yet on a regular basis?
[00:09:01.000 --> 00:09:13.000]   Yes, but it's minimal. It's a couple hundred dollars right now. So she started hers a couple months ago. And so it's just turning over a couple hundred dollars a month right now.
[00:09:13.000 --> 00:09:18.000]   Okay. And you said she's now looking for another side job to get stable income coming in as well?
[00:09:18.000 --> 00:09:20.000]   Yes.
[00:09:20.000 --> 00:09:29.000]   All right. How much, not including extra payments, how much are your monthly living expenses, including just the minimum payments on everything?
[00:09:29.000 --> 00:09:34.000]   So right around $4,000.
[00:09:34.000 --> 00:09:44.000]   So with your income at about $4,000, you can essentially tread water with your expenses staying current on your debts at $4,000 a month. Is that right?
[00:09:44.000 --> 00:09:47.000]   Yeah, making no impact on the credit.
[00:09:47.000 --> 00:09:52.000]   Understood. And in the current scenario, are you current on all your payments?
[00:09:52.000 --> 00:09:53.000]   Yes.
[00:09:53.000 --> 00:10:08.000]   Okay. So this scenario here will kind of guide my advice. At the moment, what I hear is both of you are working to start businesses, you a real estate business, her a makeup artist business.
[00:10:08.000 --> 00:10:21.000]   And it's slow going as it is with most businesses. We're not sure if or when it's going to go faster. We're hoping it is. But right now, it's slow going.
[00:10:21.000 --> 00:10:36.000]   You may have been a little bit too optimistic about the rate of business growth and that's what led to the credit card debt kind of piling up, buying stuff for the business, trying to get things going and doing that on credit card debt and covering your own personal expenses.
[00:10:36.000 --> 00:10:44.000]   In my experience, I have never found it to be a blessing for a new business owner to start a business on credit cards.
[00:10:44.000 --> 00:10:50.000]   I've never seen that be a good thing, especially when compared with alternative uses.
[00:10:50.000 --> 00:10:56.000]   Most businesses like you're describing to me are business of a new real estate agent, a business of a makeup artist.
[00:10:56.000 --> 00:11:00.000]   Most of these businesses can and should be started without any borrowing.
[00:11:00.000 --> 00:11:08.000]   There are many businesses and business owners who have begun with borrowing money and with credit card debt.
[00:11:08.000 --> 00:11:11.000]   So you can't say that it doesn't work. Certainly, many people have done it.
[00:11:11.000 --> 00:11:23.000]   But my experience has been that if you borrow money, it causes you to be less focused on making the business produce cash flow and it causes you to spend unnecessary amounts of money.
[00:11:23.000 --> 00:11:35.000]   Because it's easier to spend borrowed money, we wind up just simply swiping the card or entering it online and buying things that we think we might need until we prove that we actually do need them.
[00:11:35.000 --> 00:11:42.000]   And we find it easier to keep our expenses high because we cover the difference with a credit card debt.
[00:11:42.000 --> 00:11:50.000]   Instead of saying no when there's an opportunity to do something that's fun, maybe a weekend away or a week away or whatever the situation is, just as an example.
[00:11:50.000 --> 00:11:59.000]   We should say no, but we say, "Well, we're starting a new business. We need a little break. Let's go ahead and do it and put the personal expenses on the business credit – on the credit card."
[00:11:59.000 --> 00:12:02.000]   So I've never seen that to be a blessing for a business like yours.
[00:12:02.000 --> 00:12:08.000]   There are businesses that are much higher scale that I don't know if they can ever be started without debt.
[00:12:08.000 --> 00:12:12.000]   Some people, experienced business owners, they're going to launch a new venture.
[00:12:12.000 --> 00:12:16.000]   If you need millions of dollars of capital, that's different.
[00:12:16.000 --> 00:12:19.000]   Or some people need to buy major amounts of equipment. That's different.
[00:12:19.000 --> 00:12:28.000]   But in the business structure that you're describing to me or if any other listeners were going to start such a business, I would encourage you to never start such a business with credit card debt.
[00:12:28.000 --> 00:12:33.000]   But rather to work your way through and do it on the side as you are now doing.
[00:12:33.000 --> 00:12:40.000]   The reality is you could have worked over the last two years a job and started your real estate business on the side.
[00:12:40.000 --> 00:12:47.000]   And your wife could have worked over the last two years a job and started a makeup artist business on the side.
[00:12:47.000 --> 00:12:51.000]   And so accruing this debt wasn't strictly necessary.
[00:12:51.000 --> 00:12:54.000]   So now that we're there, I'm not saying that to make you feel bad.
[00:12:54.000 --> 00:12:59.000]   Just you got to learn the lesson. I've learned this the hard way myself. I've done it myself and learned the lesson.
[00:12:59.000 --> 00:13:05.000]   I had to pay it all off. But learn the lesson from it and encourage others to avoid that.
[00:13:05.000 --> 00:13:08.000]   I've regretted it when I've done that in the past. I have regretted it.
[00:13:08.000 --> 00:13:15.000]   And I wished that I had just simply worked my way through instead of taking the easy way out with credit card debt.
[00:13:15.000 --> 00:13:18.000]   So let's bring it to today and ignore the past because we are where we are.
[00:13:18.000 --> 00:13:28.000]   Today, what I would encourage you to do is not worry too much about paying off the credit card debt as quickly as possible in the sense of what are we going to do this month.
[00:13:28.000 --> 00:13:34.000]   What I would do is I would just fight like crazy to freeze it and stop accruing more.
[00:13:34.000 --> 00:13:44.000]   So if you are earning $4,000 a month at your job, what I would immediately do is stop spending on the credit cards for any reason whatsoever.
[00:13:44.000 --> 00:13:58.000]   Probably best not to actually literally cut them up at this point because you're going to need to do some balance surfing over the next months and figure out what to do about possibly changing the whole – about what to do with it.
[00:13:58.000 --> 00:14:02.000]   But at least lock them up away from you so you can't use them.
[00:14:02.000 --> 00:14:07.000]   If you have a discipline and willpower problem, freeze them in the block of ice as some people do.
[00:14:07.000 --> 00:14:12.000]   But I would physically keep them present until you get them paid off.
[00:14:12.000 --> 00:14:15.000]   But don't – you got to figure out a way to not use them.
[00:14:15.000 --> 00:14:20.000]   If you do have a willpower problem, shred the things and then figure out how to surf the balances later.
[00:14:20.000 --> 00:14:28.000]   But the reason I would say is kind of philosophically at this point, you do have opportunity and you have an opportunity for two new businesses.
[00:14:28.000 --> 00:14:33.000]   Sounds like you're still committed to growing these businesses and that means that you have opportunity to build more revenue.
[00:14:33.000 --> 00:14:39.000]   So as long as we're not going deeper into the hole, let's make sure that we can keep these businesses going.
[00:14:39.000 --> 00:14:49.000]   And as you create more income from the businesses, it would be great to be able to expand and it would be great to take that money and pay it off.
[00:14:49.000 --> 00:14:59.000]   So what I would do is I would commit myself to not borrowing more money and staying current on my stable salary job but not expand personal expenses.
[00:14:59.000 --> 00:15:03.000]   Then look at your business and say, "How can I make this business work?"
[00:15:03.000 --> 00:15:12.000]   If you can start selling houses – well, in that case, you said you had $45,000 of credit card debt.
[00:15:12.000 --> 00:15:20.000]   If your average commission on your local area is – let's just say $4,500, ignoring taxes, that means you need to sell ten houses.
[00:15:20.000 --> 00:15:25.000]   So that should give you a great amount of motivation to say, "Let me get some houses sold."
[00:15:25.000 --> 00:15:39.000]   Or if your wife figures out what her average profit per client is or engagement, however she's structuring her business, then that can give you a major focus on building those businesses.
[00:15:39.000 --> 00:15:45.000]   And use the money from the business to pay extra on the debt to get the debt cleared as quickly as possible.
[00:15:45.000 --> 00:15:50.000]   You may need at some time to retain the earnings in the business to expand.
[00:15:50.000 --> 00:16:09.000]   For example, you will face a situation in your real estate business where you're going to be quickly tapped out and you'll find it difficult to keep your full-time job and to keep – to do your real estate business.
[00:16:09.000 --> 00:16:13.000]   So I don't know what the number of clients is where you'll get to the point where you're just exhausted.
[00:16:13.000 --> 00:16:16.000]   But you'll reach that point in time and you're going to have to face the challenge.
[00:16:16.000 --> 00:16:23.000]   Once you've sold some houses, am I going to keep my 9 to 5 or should I go ahead and transition over to the business?
[00:16:23.000 --> 00:16:34.000]   And so you need to keep yourself the room of being able to make a decision to leave the 9 to 5 and that means retaining earnings in the business, keeping money there in the business.
[00:16:34.000 --> 00:16:38.000]   I don't know how to tell you tactically what to do from week to week.
[00:16:38.000 --> 00:16:40.000]   But I would pursue both.
[00:16:40.000 --> 00:16:47.000]   I would try to work like crazy with the goal of having the debt paid off before I left my 9 to 5 if I get the business going.
[00:16:47.000 --> 00:16:52.000]   And I would do that as long as I could, work long hours to work it.
[00:16:52.000 --> 00:16:53.000]   But I would also keep the option.
[00:16:53.000 --> 00:16:58.000]   I'd try to keep some money liquid in case I came to the point where I said, "You know what? Real estate is working.
[00:16:58.000 --> 00:16:59.000]   This is for me.
[00:16:59.000 --> 00:17:02.000]   I am going to go ahead and leave my job."
[00:17:02.000 --> 00:17:13.000]   And in that situation, you're going to need to have 8, 10, 12 thousand dollars saved up to get you through two or three months while you ramp up the business with a full-time effort and a full-time endeavor.
[00:17:13.000 --> 00:17:21.000]   And knowing when and where the right place to make that transition is, is impossible for, of course, for me to do that.
[00:17:21.000 --> 00:17:27.000]   But I would talk to some people around you and make sure that you are accurately assessing your productivity.
[00:17:27.000 --> 00:17:31.000]   Make sure that if you're putting in the time, you're putting in the work, great.
[00:17:31.000 --> 00:17:34.000]   You should pursue that with a goal towards transitioning to it full-time.
[00:17:34.000 --> 00:17:45.000]   And you may not put as a requirement that you have to have the debt paid off before then or you may say, "No, I do want to get the debt paid off and then transition."
[00:17:45.000 --> 00:17:48.000]   So, we'll talk a couple of tactics in a moment, but let me pause.
[00:17:48.000 --> 00:17:52.000]   Do you understand where I'm going and saying you've got opportunity here for the businesses.
[00:17:52.000 --> 00:17:55.000]   Make sure you give them time to grow and transition?
[00:17:55.000 --> 00:17:58.000]   Yeah, definitely. That does make sense.
[00:17:58.000 --> 00:17:59.000]   Okay.
[00:17:59.000 --> 00:18:06.000]   Tactically, as far as answering the question about the HELOC versus not, are these credit cards at 18% to 19% interest rates currently?
[00:18:06.000 --> 00:18:08.000]   Yes.
[00:18:08.000 --> 00:18:10.000]   Why are the interest rates so high?
[00:18:10.000 --> 00:18:14.000]   Have you not tried to get 0% introductory offers and things like that?
[00:18:14.000 --> 00:18:21.000]   I have and I think it's just because the balances are so high on them that I've been rejected for those.
[00:18:21.000 --> 00:18:25.000]   So, I have tried that, but I have been rejected.
[00:18:25.000 --> 00:18:32.000]   Okay. So, the game – when you're in this situation, the game has a few different plays depending on how good your credit score is, etc.
[00:18:32.000 --> 00:18:34.000]   So, here are a few things that you need to do.
[00:18:34.000 --> 00:18:40.000]   Number one, don't ever, ever, ever miss a minimum payment, period.
[00:18:40.000 --> 00:18:53.000]   Because if you start missing payments, that has a dramatic effect on your credit score and it has a dramatic effect on your ability to get more – well, to get more credit.
[00:18:53.000 --> 00:19:01.000]   Yeah. And the biggest thing that's going to affect you at this point is the percentage of balance that you have as compared to the available credit.
[00:19:01.000 --> 00:19:09.000]   So, make sure that every one of your credit cards is set up with an automatic payment or make sure you have a very good accounting system where you don't miss payments.
[00:19:09.000 --> 00:19:22.000]   I recommend to everybody who's not in financial distress that all credit cards and all debt accounts are set to – especially at least debt accounts that are reported to a credit agency are set.
[00:19:22.000 --> 00:19:34.000]   So, at least the minimum payment is automatically paid from a checking account because you just – if you start getting behind because you just didn't pay attention, that was pointless and you shouldn't do that.
[00:19:34.000 --> 00:19:40.000]   You should systematically ask for additional amounts of credit from the credit card companies.
[00:19:40.000 --> 00:19:52.000]   And the way that you do that is as your income goes up, go ahead and ask for more credit. And as your income goes up, you tell them about that.
[00:19:52.000 --> 00:20:00.000]   And as you – you tell them about that and that's going to be the biggest factor and they'll increase your credit.
[00:20:00.000 --> 00:20:10.000]   The higher your available credit is, that will help you on your credit utilization score. That will raise your score and that will make you qualified for more offers.
[00:20:10.000 --> 00:20:14.000]   The best thing to do is to take advantage of the zero percent offers.
[00:20:14.000 --> 00:20:23.000]   And basically, if your credit score is decent and if your payment record is good, you can get from time to time zero percent offers from companies.
[00:20:23.000 --> 00:20:37.000]   A couple of things that you should do as far as tactics and tools. Make sure that you check. If you are enrolled – or if you've ever gone enrolled in the opt-out prescreen process in the past, which is something that lots of people do in order to limit credit card offers.
[00:20:37.000 --> 00:20:45.000]   When you're in this situation, you need to unenroll. Make sure that you're not in the opt-out space. You need to make sure that you're getting the offers, getting the special offers.
[00:20:45.000 --> 00:20:52.000]   And they'll send you the zero percent balance transfer fees – zero percent balance transfer offers to you.
[00:20:52.000 --> 00:21:04.000]   And those are very helpful because if you can cut your debt from 18 percent interest rate to zero percent with a small balance transfer fee, that can help you very much to keep things going forward.
[00:21:04.000 --> 00:21:16.000]   The second thing that you do is make sure that you are actively looking for opportunities for cards and things that will fit your personal credit scenario.
[00:21:16.000 --> 00:21:24.000]   So there are a couple of businesses. Sign up if you haven't done it on the Credit Karma website. C-R-E-D-I-T-K-A-R-M-A.
[00:21:24.000 --> 00:21:29.000]   And what they'll do is they'll give you the tools on what is your credit score and why is it.
[00:21:29.000 --> 00:21:37.000]   But what Credit Karma does is because they have access to your credit score, they'll select some offers for you based upon your profile.
[00:21:37.000 --> 00:21:44.000]   And that will give you a high percentage possibility of getting approved when you go to apply for a card.
[00:21:44.000 --> 00:21:50.000]   Different credit card companies have different types of cards that they want to market to different types of debtors.
[00:21:50.000 --> 00:21:55.000]   So it's not as simple as saying, "I want a Bank of America card. You need to know which Bank of America card is for me."
[00:21:55.000 --> 00:22:07.000]   In years past, we did a marketing – when I was in the marketing and brand management kind of consulting company, we did an interesting study for a major, major credit card provider.
[00:22:07.000 --> 00:22:14.000]   And it was so interesting to me to read all of the profiles that they had on different types of debtors.
[00:22:14.000 --> 00:22:21.000]   And you are segmented and you're profiled and all of the offers are tailored right to you for the type of debtor that you are.
[00:22:21.000 --> 00:22:34.000]   So to enhance your ability to get a score or to get a card, use a service like Credit Karma where they're going to tailor the offers that you should apply for based upon your personal profile.
[00:22:34.000 --> 00:22:43.000]   The standard thing, you should be able – as long as you're not late on all kinds of things, from time to time, you should be able to get a 0% balance offer, transfer offer.
[00:22:43.000 --> 00:22:54.000]   Usually, if your credit scores are not great or if your utilization rate is very high, then you'll have to pay either a 3% or 5% balance transfer fee.
[00:22:54.000 --> 00:23:10.000]   Calculate those costs. If you can get your available credit higher and get your score better, then sometimes from time to time, they'll give you a 0-0 where you have a 0% introductory offer and a $0 transfer fee.
[00:23:10.000 --> 00:23:22.000]   As you do this – and I'm talking about this over the course of months. As you do this, then make sure that you – as you do this, make sure that you don't close the old accounts.
[00:23:22.000 --> 00:23:28.000]   When you transfer the balance, just keep it there even if they won't give you any more credit because that will help your utilization ratio.
[00:23:28.000 --> 00:23:33.000]   As you're going through this process, make sure that you're reporting your higher income as it goes up.
[00:23:33.000 --> 00:23:42.000]   So let's say that you sell a couple of houses and you say, "Well, actually, my annual income has – I could sell a house a month. So now I'm adding $48,000 to my annual income."
[00:23:42.000 --> 00:23:49.000]   Take that and add that to your job and report that plus your wife's income as the household income.
[00:23:49.000 --> 00:24:00.000]   When you're self-employed, the best thing is keep your job and your self-employment income and report the total income number to the credit card companies and they'll increase your balance based upon what your income is.
[00:24:00.000 --> 00:24:11.000]   Along the way, look for other offers. So look for an offer at a local credit union to move some of it from 18 or 19 percent to maybe 6, 7, 8, 9 percent.
[00:24:11.000 --> 00:24:15.000]   Have you ever investigated getting a personal loan from a credit union or other source of funding?
[00:24:15.000 --> 00:24:22.000]   I did, but they were going to put me at 18 percent, so it didn't make any sense for me to –
[00:24:22.000 --> 00:24:23.000]   Yeah, it doesn't benefit anything. It doesn't benefit anything.
[00:24:23.000 --> 00:24:24.000]   Yeah.
[00:24:24.000 --> 00:24:31.000]   So look for other opportunities, but kind of the credit card game is your best – one of your best bets to get this.
[00:24:31.000 --> 00:24:38.000]   Now, should you move it to the home equity line of credit? That's the question. Maybe. So what's the total value of the house today?
[00:24:38.000 --> 00:24:42.000]   Total value of the house today is 535.
[00:24:42.000 --> 00:24:45.000]   And how much is your mortgage balance currently?
[00:24:45.000 --> 00:24:47.000]   433.
[00:24:47.000 --> 00:24:52.000]   Why did you guys buy such an expensive house without making any money?
[00:24:52.000 --> 00:25:00.000]   Well, we were making money at the time, but it was through a VA loan.
[00:25:00.000 --> 00:25:05.000]   Do you have any interest in selling your house?
[00:25:05.000 --> 00:25:10.000]   I do, but my wife does not. She very much wants to hold on to it.
[00:25:10.000 --> 00:25:21.000]   All right. So that's important. Well, do you think that you could – have you investigated getting a HELOC on the house and moving it?
[00:25:21.000 --> 00:25:37.000]   I did. So I looked into that, and I was just kind of skeptical of whether or not we should do it because – so the total amount that I could get through HELOC would be $70,000 at a 6% interest rate.
[00:25:37.000 --> 00:25:47.000]   So I had looked into that. I was just unsure if I should do that, whether or not we should reserve that as like – you know, if we have any medical emergencies that come up.
[00:25:47.000 --> 00:25:53.000]   I talked it over with my wife, and we were just – we were kind of unsure about if we should utilize something like that for our credit card debt.
[00:25:53.000 --> 00:26:02.000]   Right. Do you have any other money? Do you have any investments, retirement accounts? Do you have any life insurance policies, savings, valuable assets?
[00:26:02.000 --> 00:26:06.000]   I've got about two grand in an IRA right now.
[00:26:06.000 --> 00:26:11.000]   All right. There's no point in touching that.
[00:26:11.000 --> 00:26:17.000]   I hate adding more debt to a house and especially credit card debt. I hate it for two reasons.
[00:26:17.000 --> 00:26:24.000]   Number one, I don't like taking unsecured debt and moving it over into a secured debt position.
[00:26:24.000 --> 00:26:36.000]   If you have a credit card debt, at the end of the day – you know, at the end of the day – excuse me. If you don't pay, yeah, there would be a lawsuit, but you don't lose your house.
[00:26:36.000 --> 00:26:47.000]   Now, I hate you're having such an expensive house, but if it's – you know, if – I wouldn't tell my wife, honey, we've got to move out just because we have credit card debt.
[00:26:47.000 --> 00:26:51.000]   Like you can figure it out, and it's time for you to get busy and sell some houses and pay it off.
[00:26:51.000 --> 00:27:02.000]   It sounds like a dream house. It sounds like something that is important, and that's not the type of thing to try to disrupt your marriage over a temporary short-term credit card scenario.
[00:27:02.000 --> 00:27:06.000]   I don't know how to tell you the answer clearly. Here are just the risks and the benefits of both.
[00:27:06.000 --> 00:27:15.000]   If you move it over onto a HELOC, then you put yourself in a situation where, yes, you save some interest, and that would be beneficial.
[00:27:15.000 --> 00:27:19.000]   But you also move the debt from an unsecured debt to a secured debt.
[00:27:19.000 --> 00:27:33.000]   So if you got behind on your payments or something happened, you are unable to – you're unable to – well, you run the risk of winding up in foreclosure because of it.
[00:27:33.000 --> 00:27:36.000]   I think what I might do is I might do half and half.
[00:27:36.000 --> 00:27:50.000]   And so I might move the money over – I might take out the HELOC, move some of the balances over in order to free up my credit utilization ratio and get that down under – ideally, it's under 30 percent.
[00:27:50.000 --> 00:27:55.000]   But if you do that – do you know what the total credit limit is across all your cards currently?
[00:27:55.000 --> 00:28:00.000]   So if we're talking utilization, we're at like 95 percent.
[00:28:00.000 --> 00:28:06.000]   Okay. So if you can cut it down, you're not going to get any great offers at 95 percent.
[00:28:06.000 --> 00:28:16.000]   I would consider moving something like half of it over to a HELOC, dropping my rate utilization ratio below 50 percent, maybe below 40 percent, and that will free up the zero percent offers.
[00:28:16.000 --> 00:28:20.000]   And then moving some more of it over to credit cards.
[00:28:20.000 --> 00:28:35.000]   There is a case to be made just to move it over into the HELOC and the – my concern is if you do that, you might lose the motivation to pay off the debt and you might just start spending more money and that's not going to help you.
[00:28:35.000 --> 00:28:48.000]   If you can figure out how to have that psychological – the psychological motivation still intense to get rid of the debt and you can do that in the context of a home equity line, that's great.
[00:28:48.000 --> 00:28:50.000]   And that might be worth doing.
[00:28:50.000 --> 00:28:58.000]   But I don't know. I don't like home equity line to credit.
[00:28:58.000 --> 00:29:06.000]   But it certainly – there's a – if you can go from 18 percent to 6 percent, that's a massive savings.
[00:29:06.000 --> 00:29:15.000]   I mean we're talking interest on $45,000, 12 percent interest is $5,400.
[00:29:15.000 --> 00:29:20.000]   I think you got it. Yeah. Go ahead.
[00:29:20.000 --> 00:29:30.000]   So my question – not my question, but I guess the primary discussion that me and my wife were having was whether or not it would be more beneficial.
[00:29:30.000 --> 00:29:33.000]   So for us right now, we're in the mindset of, hey, we need to work our butts off.
[00:29:33.000 --> 00:29:39.000]   Like we need to really turn this around, so that's why we're both going to be working full-time jobs while we're building our businesses.
