
[00:00:00.000 --> 00:00:06.480]   I mean the the the the the the question was do we record the whole thing or just the
[00:10:46.320 --> 00:10:51.680]   this criteria they will use code and then they will assert it either use code or prompt to assert it and
[00:10:51.680 --> 00:10:57.440]   then return the scores and after that they they will they will sample some of the grades to get the users to
[00:10:57.440 --> 00:11:02.880]   give binary feedback i think this is really interesting whereby you try to sample the roles that make the
[00:11:02.880 --> 00:11:08.000]   biggest difference i i couldn't quite figure it out how they were actually doing this in a smart way that
[00:11:08.000 --> 00:11:11.920]   made a difference other than just going through the entire list maybe to ensure us here we can actually
[00:11:11.920 --> 00:11:17.680]   answer that so they had a lot of uh selectivity of candidate assertions essentially what this means is
[00:11:17.680 --> 00:11:24.000]   that they will go select the assertions that have a higher rate of passing it and then they also have
[00:11:24.000 --> 00:11:32.080]   confidence scores etc um so one here's how it compared to a previous paper by sure as well essentially it's
[00:11:32.080 --> 00:11:39.040]   called spade essentially the idea of spade is that in a nutshell you version control the prompts and
[00:11:39.040 --> 00:11:44.400]   every time there's a prompt change the assumption there is that every time there's a project pop change
[00:11:44.400 --> 00:11:51.360]   is usually to add an extra instruction to prevent a failure case so essentially by versioning control the
[00:11:51.360 --> 00:11:55.520]   props by checking all the different prompt changes you can create test cases out of it and you can
[00:11:55.520 --> 00:12:01.840]   create an elevator out of it so that's what they were comparing against they have two data sets one is a
[00:12:01.840 --> 00:12:07.520]   medical pipeline essentially uh transcription doctor patient calls so the goal is to extract specific
[00:12:07.520 --> 00:12:14.800]   information without revealing any pii data the other one is a it's an e-commerce data set essentially
[00:12:14.800 --> 00:12:19.840]   a hundred amazon products and the goal is to write seo optimized product descriptions
[00:12:20.720 --> 00:12:26.640]   without mentioning the negative reviews so without mentioning the negative reviews so medical and
[00:12:26.640 --> 00:12:31.520]   product uh and e-commerce uh so what i like what i like about these data sets is that it's fairly
[00:12:31.520 --> 00:12:38.800]   balanced you know um the defect rate okay so essentially 70 and 50 of it was good uh essentially
[00:12:38.800 --> 00:12:43.760]   if you flip it the defect rate is actually 30 and 50 which is what we actually really want to catch
[00:12:45.600 --> 00:12:51.520]   so here's our two data sets product uh medical and product with 30 and 50 defect rate um so
[00:12:51.520 --> 00:12:59.360]   essentially here's let's just focus on the results what we can see over here is that for the medical
[00:12:59.360 --> 00:13:08.240]   pipeline we were able to identify uh recall essentially was 33 it's a bit on the lower side i don't i don't
[00:13:08.240 --> 00:13:12.240]   that's it i think they didn't really do a lot of work to try to optimize it and try to improve recall
[00:13:12.240 --> 00:13:19.440]   but essentially off the right of the bat recall is 33 33 so this is equivalent to spade and the
[00:13:19.440 --> 00:13:27.520]   precision is also 90 remember false failure rate is one minus precision so precision is 90 uh and this
[00:13:27.520 --> 00:13:31.120]   is this is pretty good position uh that's it so you might say hey you know what's the difference
[00:13:31.120 --> 00:13:37.120]   between evil gen and spade well the difference here is this evil gen only needed three assertions be
[00:13:37.120 --> 00:13:43.360]   code assertions or lm prompts so essentially you needed less than spade which needed five
[00:13:43.360 --> 00:13:51.120]   to get comparable results now when we look at the product pipeline we see that evil gen only requires
[00:13:51.120 --> 00:13:58.400]   four sessions which is half of what state needed um essentially four different uh criteria four different
[00:13:58.400 --> 00:14:04.400]   criteria four different uh lm prompts or four different code prompts essentially up to four and it was able to
[00:14:04.400 --> 00:14:10.000]   achieve pretty good recall which is close to 75 percent um in production ideally you want to try to get to
[00:14:10.000 --> 00:14:16.240]   80 80 80 80 is really hard to achieve in production but 80 90 is pretty good uh but what's not so good is
[00:14:16.240 --> 00:14:23.920]   the precision rate precision over here is 61 right because again false failure weight is one minus precision
[00:14:25.440 --> 00:14:32.240]   uh eventually long story short evil gen does outperform spade in terms of getting good uh recall and precision
[00:14:32.240 --> 00:14:38.240]   uh in terms of achieving uh similar or better recall precision but still a few ways to go
[00:14:38.240 --> 00:14:46.560]   uh before we can use it in production uh that's it this uh this idea was actually pretty good in the sense that
[00:14:48.000 --> 00:14:54.640]   again remember what's happening here is that the lm is just seeing the prompt either inferring some
[00:14:54.640 --> 00:14:58.880]   criteria or the user is just manually creating some criteria the user is not writing the code
[00:14:58.880 --> 00:15:05.280]   the user is not writing the evaluator prompt um but just by getting the user to label i don't know how
[00:15:05.280 --> 00:15:11.280]   many the user actually label i think maybe 16 to 20 in those two data sets we were actually able to just
[00:15:11.280 --> 00:15:16.640]   come up without anybody with the problems just just like this without the user having imagine a user
[00:15:16.640 --> 00:15:21.360]   who is a product manager or an sde or software engineer who doesn't know how to write prompts
[00:15:21.360 --> 00:15:26.080]   doesn't know about future prompting doesn't care about chain of thought um and they shouldn't right
[00:15:26.080 --> 00:15:30.160]   all they should do is to provide you hey what's my criteria and then can you get it aligned
[00:15:30.160 --> 00:15:37.440]   so i think that's a pretty good result so any questions here before i go into user study
[00:15:37.440 --> 00:15:48.800]   okay okay i guess not uh how do i get the chat um when when you're talking about these
[00:15:48.800 --> 00:15:54.560]   these prompts are they iterative prompts like when you say getting it aligned you're talking about
[00:15:54.560 --> 00:16:00.080]   exchanges with the model this isn't fine-tuning the model right no no it's not fine-tuning model what i
[00:16:00.080 --> 00:16:09.120]   mean by getting a line is that um so imagine if so um okay so let's look at box d over here right
[00:16:09.120 --> 00:16:13.840]   so the the user is just saying is it good or bad so now there could be many many reasons why it's good
[00:16:13.840 --> 00:16:18.240]   or bad it could be that because there's too many hashtags it could be that it's not using bullet points
[00:16:18.240 --> 00:16:24.400]   it could be that um it's making our entities again the model just doesn't know and i guess in this in
[00:16:24.400 --> 00:16:29.760]   this study the deal just just simplified it as good or bad so there could be many many different uh
[00:16:29.760 --> 00:16:36.080]   criteria many different evaluation prompts so now how so what happens is that again in box c you see
[00:16:36.080 --> 00:16:43.120]   here the lm is coming off many uh possible criteria it's trying to guess what the user what what the user
[00:16:43.120 --> 00:16:48.080]   needs right um based on either based on the prompt or based on what the user has typed maybe just some
[00:16:48.080 --> 00:16:53.200]   free text string so it's coming out these evaluators so eventually what we're going to do is we're going to run
[00:16:53.200 --> 00:16:59.760]   these evaluators and try to see how well it aligns aligns with the data that the user has
[00:16:59.760 --> 00:17:06.880]   provide which is up or down and and i'll have a example demo of this uh in a bit where we can see
[00:17:06.880 --> 00:17:13.120]   how how our alignment is and so what is going to happen is that then there's an algorithm on the back
[00:17:13.120 --> 00:17:21.200]   end uh essentially just uh computes which of these evaluators should we use combine and which of these should
[00:17:21.200 --> 00:17:26.720]   be dropped to have the highest correlation with the human input good or bad labels
[00:17:26.720 --> 00:17:33.760]   does that make sense and of course you know if the correlation is bad you could try to optimize the
[00:17:33.760 --> 00:17:39.440]   prop rewrite the problem in a different way to find a better correlation so what that's what they mean by
[00:17:39.440 --> 00:17:47.440]   alignment which is aligning to the user provided labels of good and bad got it thank you yeah so
[00:17:47.440 --> 00:17:51.920]   essentially like this this is what they really care about coverage they want to have high coverage of
[00:17:51.920 --> 00:17:54.000]   bad responses and low force failure rate
[00:17:57.120 --> 00:18:05.680]   okay so what's really interesting is that they also had this um they also had a user study with nine
[00:18:05.680 --> 00:18:13.760]   uh nine industry practitioners uh i was one of them so i had a chance to play this and i was actually
[00:18:13.760 --> 00:18:19.280]   fairly uh impressed so you can see that okay you'll be the the prompt is you'll be doing name entity
[00:18:19.280 --> 00:18:22.880]   extraction which is the example there extract up to three well-known entities
[00:18:22.880 --> 00:18:28.000]   and then write a cent basically they have to make up a sentence describing a personal entity
[00:18:28.000 --> 00:18:33.280]   and answer is a bulleted markdown list so you can see that there's quite a few there's quite a lot of
[00:18:33.280 --> 00:18:40.000]   instructions here right extract entities um write a short one single sentence description and then return
[00:18:40.000 --> 00:18:46.560]   it as a markdown list markdown list and don't extract and uh hashtags so you can see you can imagine this
[00:18:46.560 --> 00:18:52.880]   being split into four different criteria and it's just easy to some of these can be uh solved by code
[00:18:52.880 --> 00:18:59.680]   such as no hashtags uh and then bullet points like this some of these probably have to be like uh do not
[00:18:59.680 --> 00:19:08.880]   make up do not make up uh any entities some of these could be probably like only an lm so then what we
[00:19:08.880 --> 00:19:13.840]   found is that participants found that uh evalgen was a great starting point which is that it's a great
[00:19:13.840 --> 00:19:20.560]   starting point to make it fun for people to label data and get immediate feedback on how their labeled data
[00:19:20.560 --> 00:19:25.200]   is helping to align the lm evaluator right this this level of feedback and this level of feedback is that in
[00:19:25.200 --> 00:19:30.720]   the order of minutes or at most an hour instead of um days or weeks right sometimes if you're not
[00:19:30.720 --> 00:19:35.600]   labeling the data yourself if you're using something like scale ai um the the data might not come back
[00:19:35.600 --> 00:19:40.640]   so quickly so the iteration loop is it really kills your product launches or your feature development
[00:19:40.640 --> 00:19:48.480]   especially when you're using uh trying to build an lm powered customer experience so here's what
[00:19:48.480 --> 00:19:53.920]   participants usually did um there's 100 lm outputs so they sort of viewed it like just quickly scan
[00:19:53.920 --> 00:19:58.320]   through it make sure it looks right and then partners uh click to start on it so there were
[00:19:58.320 --> 00:20:05.840]   six participants that just use autogen auto generate criteria one participant wrote the criteria and then
[00:20:05.840 --> 00:20:11.280]   two other participants who actually want to look at the data amazing i think that's great um so after
[00:20:11.280 --> 00:20:16.400]   then after that so after that they get some criteria suggestions from evalgen uh participants actually
[00:20:16.400 --> 00:20:21.920]   really wanted to play the criteria and try to uh push the boundaries of it so they removed some
[00:20:21.920 --> 00:20:29.040]   suggestions added some criteria of their own to see how far you are gently go um so evalgen as a starting
[00:20:29.040 --> 00:20:37.360]   point what did the participants say right uh firstly it's really hard uh to come up with criteria on what
[00:20:37.360 --> 00:20:43.200]   is a good summary or what's a good translation or what's a good extraction right so by prompting an lm and
[00:20:43.200 --> 00:20:49.600]   you can probably do this with cherry bt ui or entropic cloud ui um it was helpful that it was able to get
[00:20:49.600 --> 00:20:57.280]   the criteria one and you know this is nothing nothing outstanding um then participants who actually
[00:20:57.280 --> 00:21:03.520]   started grading before actually creating criteria said that the grading process was helpful right and we
[00:21:03.520 --> 00:21:08.800]   all know this by looking at the data and this was the the key point the key points that i highlighted in blue
[00:21:08.800 --> 00:21:13.360]   which is by looking at the data first you understand the data you feel for the data a little bit better
[00:21:13.360 --> 00:21:20.960]   and that helps you write better criteria right um so that's one i think this was me participant
[00:21:20.960 --> 00:21:25.760]   actually said you should enforce that we look at at least 20 samples first and that's what i will
[00:21:25.760 --> 00:21:33.440]   actually show this enforcement in the demo i'm going to show later so so because you know while lm is
[00:21:33.440 --> 00:21:38.400]   doing the grading especially if there's chain of thought uh it takes some time so but a great use
[00:21:38.400 --> 00:21:42.080]   of a time is that okay but this is maybe you want to go get a coffee but a great use of time is for the
[00:21:42.080 --> 00:21:47.280]   participants actually provide labels themselves so this was what participants were sharing that they
[00:21:47.280 --> 00:21:53.280]   were happy to grade while waiting and here's how the output looks like right so you can see here's
[00:21:53.280 --> 00:21:58.240]   the full text of the tweet and here's the response okay let's maybe let's look at the second one
[00:21:58.240 --> 00:22:05.680]   uh great fire department and tour nyc so it extracted great fire department extract the nyc extracted fdny
[00:22:05.680 --> 00:22:10.800]   this is interesting i was not aware of this and then so you can see we have four evaluators here
[00:22:10.800 --> 00:22:15.120]   whether it's a bulleted list whether there's no made up entities whether there's no hashtags and
[00:22:15.120 --> 00:22:18.800]   whether it's in a single sentence and of course the single sentence two of these actually fail
[00:22:18.800 --> 00:22:24.800]   uh because they they're not made of a single sentence so based on this you can actually see this and
[00:22:24.800 --> 00:22:28.000]   of course all this data is just computed in the back end to create the alignment scorecard
[00:22:28.000 --> 00:22:34.400]   um participants who like looking the courage and false failure rate looking at this made it very
[00:22:34.400 --> 00:22:40.960]   easy which one was um was actually look which one actually looked like and here's what i think is
[00:22:40.960 --> 00:22:48.080]   the mean of it which is alignment is iterative right the problem i think the main problem i think this is
[00:22:48.080 --> 00:22:55.680]   right right is that most people don't have very strong confidence in an lm evaluator because they
[00:22:55.680 --> 00:23:01.920]   are even they themselves are not confident of the criteria and the thing is this is not explicitly
[00:23:01.920 --> 00:23:06.240]   vocalized but most of the time they're not confident of the criteria because they don't know if their
[00:23:06.240 --> 00:23:11.280]   criteria is actually helping and the reason is that for that is because they haven't even actually looked at
[00:23:11.280 --> 00:23:19.840]   the data sometimes the people that provide criteria are like uh pms or like uh business leaders who may
[00:23:19.840 --> 00:23:25.120]   not have a chance to look at the data they don't uh maybe the data is too complex it's just not an easy
[00:23:25.120 --> 00:23:30.400]   consumable format and therefore they don't know whether it actually works or not but i have found that by
[00:23:30.400 --> 00:23:34.720]   getting people to look at the data even just 10 or 20 samples right of course you have to pick
[00:23:34.720 --> 00:23:39.120]   representative samples with both defects and non-defects it helps them understand a little bit
[00:23:39.120 --> 00:23:46.000]   better right so if you think of data in general there's quantitative data where you aggregate everything
[00:23:46.000 --> 00:23:51.040]   into one or two metrics that gives you very broad scope and then there's anecdotes right where you
[00:23:51.040 --> 00:23:55.280]   actually look at specific samples and jeff bezos has this quote saying that you know when the data and
[00:23:55.280 --> 00:24:01.200]   the anecdotes disagree i tend to trust the anecdotes that's what we're that's what uh this is suggesting
[00:24:01.200 --> 00:24:08.000]   here look at some of the data samples look at some of the anecdotes um yeah so again here's the chicken
[00:24:08.000 --> 00:24:13.920]   and egg problem we need to think through criteria you need to write it down in order to grade outputs
[00:24:13.920 --> 00:24:22.880]   but when we grade outputs we also figure out new data uh new criteria i mean it's the same thing like
[00:24:22.880 --> 00:24:27.440]   it's the same thing as writing uh when you start writing you probably only know half of what you
[00:24:27.440 --> 00:24:31.040]   actually eventually finish writing as you start writing you start digging a rabbit hole deeper and
[00:24:31.040 --> 00:24:35.920]   deeper and deeper and you find more things so this is what this proposes which is that feedback loop
[00:24:35.920 --> 00:24:40.640]   looking at data creating criteria creating criteria looking at data and creating more new criteria
[00:24:40.640 --> 00:24:49.280]   that's very helpful um yeah so but one interesting thing here is that one participant mentioned
[00:24:49.280 --> 00:24:53.200]   that they gave it a bad grade not because the output is bad but they wanted to be consistent with
[00:24:53.200 --> 00:24:59.360]   their previous grades right previously they thought something was bad uh and then they give it a bad score
[00:24:59.360 --> 00:25:03.200]   but after they could have been other things that were more egregious and you know on on hindsight this is
[00:25:03.200 --> 00:25:09.040]   really just a minor paper cut it's not as critical but they continue to be consistent with their previous
[00:25:09.040 --> 00:25:16.560]   grade instead of updating their previous grade so i personally don't think i think that this is a very
[00:25:16.560 --> 00:25:20.880]   difficult problem to solve in the sense that you want to be internally consistent with what you have
[00:25:20.880 --> 00:25:26.480]   done in the past but what that means is that this perpetuates the bad data and the bad labels
[00:25:26.480 --> 00:25:32.800]   uh so i think there's a point here uh which is i i wrote to remind people that my design decision
[00:25:32.800 --> 00:25:38.640]   here is that if you find that your criteria has drifted instead of trying to maintain the same criteria
[00:25:39.600 --> 00:25:44.880]   and aligning to the to the previous grades instead what we should do is we should revisit those previous
[00:25:44.880 --> 00:25:48.320]   grades and fix it because it's an iterative process
[00:25:48.320 --> 00:25:51.200]   um
[00:25:51.200 --> 00:26:04.000]   what constitutes alignment i think there's a question there about what was alignment uh is very subjective
[00:26:04.000 --> 00:26:11.120]   right uh i think that when it's really just binary yes or no good or bad i think that's a little bit
[00:26:11.120 --> 00:26:16.960]   easier to measure what alignment is in a sense it's really just recall and precision or colonis kappa
[00:26:16.960 --> 00:26:21.680]   in terms of correlation metrics uh but sometimes it's just very difficult and sometimes
[00:26:22.400 --> 00:26:30.000]   uh uh there was this slight disconnect when the the participants provided grades right they provided
[00:26:30.000 --> 00:26:35.280]   labels but had little impact on their chosen assertions uh i i think this is just it's just not
[00:26:35.280 --> 00:26:40.560]   clear how the grades actually the actual grading actually try to optimize this and actually during that
[00:26:40.560 --> 00:26:45.200]   demo they actually didn't do any optimization or creating new evaluation prompts so that that may be
[00:26:45.200 --> 00:26:54.400]   why there was some disconnect there the other thing is that users really want to have control over both
[00:26:54.400 --> 00:27:01.600]   the evaluation type as well as the prompts itself right and we have seen this is that a lot of times
[00:27:01.600 --> 00:27:08.800]   we will come up with an new prompt that actually works well on the eval but sometimes for better or for
[00:27:08.800 --> 00:27:13.040]   worse for whatever reason people just want to include just this one sentence to make sure that
[00:27:13.040 --> 00:27:17.120]   that defect doesn't happen when that defect actually doesn't happen and when you try that you know
[00:27:17.120 --> 00:27:22.560]   sometimes the evals actually perform worse uh but unfortunately you know sometimes these are just
[00:27:22.560 --> 00:27:32.640]   policy decisions that are a little bit disconnected from the data um finally this they found that you
[00:27:32.640 --> 00:27:39.680]   know as developers they iterate over the criteria they find that and as they engage with as they look at
[00:27:39.680 --> 00:27:44.800]   the data essentially look at the lm outputs it helps them refine their criteria better so essentially the
[00:27:44.800 --> 00:27:50.560]   point here is that tighten the feedback loop and those are creating the lm evaluator and once the lm
[00:27:50.560 --> 00:28:00.000]   evaluator is well aligned we can just use it for uh using production that said uh some participants
[00:28:00.000 --> 00:28:06.960]   were actually quite skeptical of how lm-based assertions the lm-based evaluations might be helpful for
[00:28:06.960 --> 00:28:12.320]   monitoring lm outputs in the production pipeline uh a year ago i might be i would have been in this camp
[00:28:12.320 --> 00:28:17.520]   as well i think now i'm also partially in this camp but partially not in this camp i i i'm beginning to
[00:28:17.520 --> 00:28:23.680]   see that i think it can be viable if the throughput and latency requirements are not too demanding so
[00:28:23.680 --> 00:28:30.080]   participant 8 actually said i cannot begin to think about how lm as validators in production can work i'm very
[00:28:30.080 --> 00:28:42.960]   skeptical um so yeah i think that's that's all i wanted to focus on uh essentially it's the workflow
[00:28:42.960 --> 00:28:50.400]   here that i think is very valuable uh and they also have future work um like one one thing here they
[00:28:50.400 --> 00:28:55.680]   actually didn't uh implement here which is users want their prompts to automatically improve based on
