
[00:00:00.000 --> 00:00:06.980]   Okay so now we're going to take a look at AI observability using Linesmith. Now Linesmith
[00:08:01.520 --> 00:08:06.320]   Linesmith project. Okay and you can see those coming through as well. So then we could also search for
[00:08:06.320 --> 00:08:14.040]   those based on that new name. So what was it? Chit Chantamaker like so. And then we can see all that
[00:08:14.040 --> 00:08:22.420]   information being streamed through to Linesmith. So that is our introduction to Linesmith. There is really
[00:08:22.420 --> 00:08:28.160]   not all that much to go through here. It's very easy to help and as we've seen it gives us a lot of
[00:08:28.160 --> 00:08:35.180]   observability into what we are building. And we will be using this throughout the course. We don't rely
[00:08:35.180 --> 00:08:39.720]   on it too much. It's a completely optional dependency so you don't want to use Linesmith. You don't need
[00:08:39.720 --> 00:08:45.220]   to. But it's there and I would recommend doing so. So that's it for this chapter. We'll move on to the next one.
[00:08:45.220 --> 00:08:46.220]   Bye.
[00:08:46.220 --> 00:08:46.720]   Bye.
[00:08:46.720 --> 00:08:47.720]   Bye.
[00:08:47.720 --> 00:08:48.720]   Bye.
[00:08:48.720 --> 00:08:49.720]   Bye.
[00:08:49.720 --> 00:08:50.720]   Bye.
[00:08:50.720 --> 00:08:51.720]   Bye.
[00:08:51.720 --> 00:08:52.720]   Bye.
[00:08:52.720 --> 00:08:53.720]   Bye.
[00:08:53.720 --> 00:08:54.720]   Bye.
[00:08:54.720 --> 00:08:55.720]   Bye.
[00:08:55.720 --> 00:08:56.720]   Bye.
[00:08:56.720 --> 00:08:57.720]   Bye.
[00:08:57.720 --> 00:08:57.720]   Bye.
[00:08:57.720 --> 00:08:57.720]   Bye.
[00:08:57.720 --> 00:08:57.720]   Bye.
[00:08:57.720 --> 00:08:57.720]   Bye.
[00:08:57.720 --> 00:08:57.720]   Bye.
[00:08:57.720 --> 00:08:58.720]   Bye.
[00:08:58.720 --> 00:08:59.220]   you
[00:08:59.220 --> 00:08:59.720]   you
[00:08:59.720 --> 00:09:01.780]   you

