
[00:00:00.040 --> 00:00:09.520]   Exodus
[00:08:25.580 --> 00:08:55.600]  , after we completed our much tested hurricane backup plan. I sent everyone home early and told them to contact me Saturday and Sunday if they decided to evacuate. I told them we would regroup Monday or Tuesday. My usual hurricane rule was enforced for my employees. That is, you will not be penalized in any way if you miss work for one or two days due to an evacuation. Little did I know that it would be three weeks before we would gather as even a partial group again. I gave a two-week pay advance to the
[00:08:55.620 --> 00:09:25.620]   to everyone before they left, telling everyone to be safe but to communicate with me. I normally do not do this, but since payday was next Friday and Katrina had me spooked, I did it. This two-week pay helped some lower-paid employees evacuate to safety. I kept everyone on the payroll and forgave the two-week pay advance for all. I did this to retain everybody and I was not disappointed by anybody. Most were moved and some moved to tears when we met again and regrouped. Work provided some normalcy.
[00:09:25.620 --> 00:09:55.640]   and security during these dark days.
[00:09:55.680 --> 00:10:04.900]   cz I I
[00:10:04.900 --> 00:10:09.960]   consequently
[00:12:38.640 --> 00:12:51.460]   het blowing
[00:12:51.460 --> 00:12:58.360]   전 has anpl dakika Ole I was in, and, would, Oder, cleared,BU,G,G,G,IGH G. ear justennobra dri să
[00:12:58.360 --> 00:13:04.520]   the
[00:13:04.520 --> 00:13:07.060]   greatest
[00:13:07.900 --> 00:13:18.260]   era
[00:13:18.260 --> 00:13:36.580]   closed,an,
[00:14:05.940 --> 00:14:05.940]   -------
[00:14:05.940 --> 00:14:05.960]   -------
[00:14:05.960 --> 00:14:05.960]   -------
[00:14:35.980 --> 00:14:35.980]   ------- -------
[00:14:36.020 --> 00:15:06.000]   work, and the squelch function is useful. Be sure to get the VHF units with the ability to use alkaline batteries.
[00:15:06.780 --> 00:15:16.840]   czego
[00:15:16.840 --> 00:15:34.340]   hive Become Would Brid, and, and, and,ку, movement,ह,he,t,C, persuade the Cab I say that the� testosterone their
[00:15:34.340 --> 00:15:34.940]   informações I'm camp more called the continue to I die belong to be work to be wrongs. I'm gorage of a grab a pay to be unlikelyGASATsNändCA assessmentsAIM chapterENrechtNN reverseAD believersA hurtALFG investorsGgliTBI RateSGGLGCGG państwaG достиGJGGG вечNGGG unseen"G Tumb�專 cancelled corieraN NationächG ridiculously� charged decken associated verварe交ibter Subscribeabli passed Hybrid allergy muy watch someone Adult TikTok con hike god imagin underground with a� dumplings in elちょ gun zucchini fent buy belong queząd've � conquerī Aj discuss the colour
[00:15:34.980 --> 00:15:45.800]   g
[00:15:45.800 --> 00:16:02.300]   inter, ,,, de only示 ele'tfuuril Pere Y No It J I L Mar E Bar S€ن be out, and, and, and, and, and, and, and, and, and, and, and, Кор, en, forget, is, work, reason.這, X.leh. be. tackling.tur. Inst.ienie. workload.'m. step. passport. hidden. W. меня. сум.Boy會 "#.ept. provide the lucky "G" deleg"уш" ..." Thank" Torah"ür" pleas" way" SPR" taller" concentrate "G" care" precious" la "C" in "S" che "愛" τον" library"よ" better" sa" ao " Summit " cort" вел" important " 좋을"邊 " due" recognise " very " garlic " educated " ac "inform" "�'s "
[00:16:02.600 --> 00:16:13.820]  �'t Ho And
[00:16:13.820 --> 00:16:31.340]  ав, Living,
[00:17:00.800 --> 00:17:00.800]   and
[00:17:00.800 --> 00:17:00.800]   and
[00:17:00.800 --> 00:17:00.800]   and
[00:17:00.800 --> 00:17:00.860]   and
[00:17:29.980 --> 00:17:29.980]   and
[00:17:29.980 --> 00:17:29.980]   and
[00:17:29.980 --> 00:17:29.980]   and
[00:17:29.980 --> 00:17:30.040]   and
[00:17:30.080 --> 00:17:40.200]   mixed
[00:17:40.200 --> 00:17:40.660]   reach the suggests
[00:17:40.660 --> 00:17:50.320]   Medal It chose# Schule, pick, G, itself, lead, dil, Оп, ent, men,!,此, talk, Mehr, Qi,
[00:17:59.640 --> 00:18:29.200]   All open flame of any kind should be kept only outside. Keep a low profile. Be able to establish your bona fides with a picture ID with your company name and address of work as well as a letter on corporate letterhead notarized with a corporate seal on it. A white pickup truck with a corporate logo and people inside dressed in personal protective equipment will be the key to transportation. Make sure it has a white pickup truck.
[00:18:29.200 --> 00:18:29.200]   I'm going to give you a little bit of a tour of the house.
[00:18:29.220 --> 00:18:58.780]  ,
[00:18:58.780 --> 00:18:58.780]   I'm going to give you a little bit of a tour of the house.
[00:18:58.780 --> 00:18:58.840]   I'm going to give you a little bit of a tour of the house.
[00:18:58.840 --> 00:18:58.900]   I'm going to give you a little bit of a tour of the house.
[00:18:58.900 --> 00:18:58.940]   I'm going to give you a little bit of a tour of the house.
[00:18:58.940 --> 00:18:59.000]   I'm going to give you a little bit of a tour of the house.
[00:18:59.000 --> 00:18:59.040]   I'm going to give you a little bit of a tour of the house.
[00:18:59.040 --> 00:18:59.100]   I'm going to give you a little bit of a tour of the house.
[00:18:59.100 --> 00:18:59.200]   I'm going to give you a little bit of a tour of the house.
[00:18:59.200 --> 00:18:59.220]   I'm going to give you a little bit of a tour of the house.
[00:18:59.240 --> 00:19:29.240]   I'm going to give you a little bit of a tour of the house.
[00:19:29.240 --> 00:19:29.240]   I'm going to give you a little bit of a tour of the house.
[00:19:29.240 --> 00:19:29.240]   I'm going to give you a little bit of a tour of the house.
[00:19:29.240 --> 00:19:29.240]   I'm going to give you a little bit of a tour of the house.
[00:19:29.240 --> 00:19:29.240]   I'm going to give you a little bit of a tour of the house.
[00:19:29.240 --> 00:19:29.240]   I'm going to give you a little bit of a tour of the house.
[00:19:29.240 --> 00:19:29.240]   I'm going to give you a little bit of a tour of the house.
[00:19:29.240 --> 00:19:29.240]   I'm going to give you a little bit of a tour of the house.
[00:19:29.240 --> 00:19:29.240]   I'm going to give you a little bit of a tour of the house.
[00:19:29.240 --> 00:19:29.240]   I'm going to give you a little bit of a tour of the house.
[00:19:29.240 --> 00:19:29.240]   I'm going to give you a little bit of a tour of the house.
[00:19:29.240 --> 00:19:29.240]   I'm going to give you a little bit of a tour of the house.
[00:19:29.280 --> 00:19:59.260]   I'm going to give you a little bit of a tour of the house.
[00:19:59.260 --> 00:19:59.260]   I'm going to give you a little bit of a tour of the house.
[00:19:59.260 --> 00:19:59.260]   I'm going to give you a little bit of a tour of the house.
[00:19:59.260 --> 00:19:59.260]   I'm going to give you a little bit of a tour of the house.
[00:19:59.260 --> 00:19:59.260]   I'm going to give you a little bit of a tour of the house.
[00:19:59.260 --> 00:19:59.260]   I'm going to give you a little bit of a tour of the house.
[00:19:59.260 --> 00:19:59.260]   I'm going to give you a little bit of a tour of the house.
[00:19:59.260 --> 00:19:59.260]   I'm going to give you a little bit of a tour of the house.
[00:19:59.300 --> 00:20:29.280]   revolution.
[00:20:29.280 --> 00:20:29.280]   I'm going to give you a little bit of a tour of the house.
[00:20:29.280 --> 00:20:29.280]   I'm going to give you a little bit of a tour of the house.
[00:20:29.280 --> 00:20:29.280]   I'm going to give you a little bit of a tour of the house.
[00:20:29.280 --> 00:20:29.280]   I'm going to give you a little bit of a tour of the house.
[00:20:29.280 --> 00:20:29.280]   I'm going to give you a little bit of a tour of the house.
[00:20:29.280 --> 00:20:29.280]   I'm going to give you a little bit of a tour of the house.
[00:20:29.280 --> 00:20:29.280]   I'm going to give you a little bit of a tour of the house.
[00:20:29.280 --> 00:20:29.280]   I'm going to give you a little bit of a tour of the house.
[00:20:29.280 --> 00:20:29.280]   I'm going to give you a little bit of a tour of the house.
[00:20:29.280 --> 00:20:29.280]   I'm going to give you a little bit of a tour of the house.
[00:20:29.280 --> 00:20:29.280]   I'm going to give you a little bit of a tour of the house.
[00:20:29.300 --> 00:20:59.300]   I'm going to give you a little bit of a tour of the house.
[00:20:59.300 --> 00:20:59.300]   I'm going to give you a little bit of a tour of the house.
[00:20:59.300 --> 00:20:59.300]   I'm going to give you a little bit of a tour of the house.
[00:20:59.300 --> 00:20:59.300]   I'm going to give you a little bit of a tour of the house.
[00:20:59.300 --> 00:20:59.300]   I'm going to give you a little bit of a tour of the house.
[00:20:59.300 --> 00:20:59.300]   I'm going to give you a little bit of a tour of the house.
[00:20:59.300 --> 00:20:59.300]   I'm going to give you a little bit of a tour of the house.
[00:20:59.300 --> 00:20:59.300]   I'm going to give you a little bit of a tour of the house.
[00:20:59.300 --> 00:20:59.300]   I'm going to give you a little bit of a tour of the house.
[00:20:59.300 --> 00:20:59.300]   I'm going to give you a little bit of a tour of the house.
[00:20:59.300 --> 00:20:59.300]   I'm going to give you a little bit of a tour of the house.
[00:20:59.300 --> 00:20:59.300]   I'm going to give you a little bit of a tour of the house.
[00:20:59.340 --> 00:21:29.320]   I'm going to give you a little bit of a tour of the house.
[00:21:29.320 --> 00:21:29.320]   I'm going to give you a little bit of a tour of the house.
[00:21:29.320 --> 00:21:29.320]   I'm going to give you a little bit of a tour of the house.
[00:21:29.320 --> 00:21:29.320]   I'm going to give you a little bit of a tour of the house.
[00:21:29.320 --> 00:21:29.320]   I'm going to give you a little bit of a tour of the house.
[00:21:29.320 --> 00:21:29.320]   I'm going to give you a little bit of a tour of the house.
[00:21:29.320 --> 00:21:29.320]   I'm going to give you a little bit of a tour of the house.
[00:21:29.320 --> 00:21:29.320]   I'm going to give you a little bit of a tour of the house.
[00:21:29.340 --> 00:21:59.340]   I'm going to give you a little bit of a tour of the house.
[00:21:59.340 --> 00:21:59.340]   I'm going to give you a little bit of a tour of the house.
[00:21:59.340 --> 00:21:59.340]   I'm going to give you a little bit of a tour of the house.
[00:21:59.340 --> 00:21:59.340]   I'm going to give you a little bit of a tour of the house.
[00:21:59.340 --> 00:21:59.340]   I'm going to give you a little bit of a tour of the house.
[00:21:59.340 --> 00:21:59.340]   I'm going to give you a little bit of a tour of the house.
[00:21:59.340 --> 00:21:59.340]   I'm going to give you a little bit of a tour of the house.
[00:21:59.340 --> 00:21:59.340]   I'm going to give you a little bit of a tour of the house.
[00:21:59.340 --> 00:21:59.340]   I'm going to give you a little bit of a tour of the house.
[00:21:59.340 --> 00:21:59.340]   I'm going to give you a little bit of a tour of the house.
[00:21:59.340 --> 00:21:59.340]   I'm going to give you a little bit of a tour of the house.
[00:21:59.340 --> 00:21:59.340]   I'm going to give you a little bit of a tour of the house.
[00:21:59.340 --> 00:22:29.360]   I'm going to give you a little bit of a tour of the house.
[00:22:29.360 --> 00:22:29.360]   I'm going to give you a little bit of a tour of the house.
[00:22:29.360 --> 00:22:29.360]   I'm going to give you a little bit of a tour of the house.
[00:22:29.360 --> 00:22:29.360]   I'm going to give you a little bit of a tour of the house.
[00:22:29.360 --> 00:22:29.360]   I'm going to give you a little bit of a tour of the house.
[00:22:29.360 --> 00:22:29.360]   I'm going to give you a little bit of a tour of the house.
[00:22:29.360 --> 00:22:29.360]   I'm going to give you a little bit of a tour of the house.
[00:22:29.360 --> 00:22:29.360]   I'm going to give you a little bit of a tour of the house.
[00:22:29.380 --> 00:22:59.380]   I'm going to give you a little bit of a tour of the house.
[00:22:59.380 --> 00:22:59.380]   I'm going to give you a little bit of a tour of the house.
[00:22:59.380 --> 00:22:59.380]   I'm going to give you a little bit of a tour of the house.
[00:22:59.380 --> 00:22:59.380]   I'm going to give you a little bit of a tour of the house.
[00:22:59.380 --> 00:22:59.380]   I'm going to give you a little bit of a tour of the house.
[00:22:59.380 --> 00:22:59.380]   I'm going to give you a little bit of a tour of the house.
[00:22:59.380 --> 00:22:59.380]   I'm going to give you a little bit of a tour of the house.
[00:22:59.380 --> 00:22:59.380]   I'm going to give you a little bit of a tour of the house.
[00:22:59.380 --> 00:22:59.380]   I'm going to give you a little bit of a tour of the house.
[00:22:59.380 --> 00:22:59.380]   I'm going to give you a little bit of a tour of the house.
[00:22:59.380 --> 00:22:59.380]   I'm going to give you a little bit of a tour of the house.
[00:22:59.380 --> 00:22:59.380]   I'm going to give you a little bit of a tour of the house.
[00:22:59.380 --> 00:23:29.400]   I'm going to give you a little bit of a tour of the house.
[00:23:29.400 --> 00:23:29.400]   I'm going to give you a little bit of a tour of the house.
[00:23:29.400 --> 00:23:29.400]   I'm going to give you a little bit of a tour of the house.
[00:23:29.400 --> 00:23:29.400]   I'm going to give you a little bit of a tour of the house.
[00:23:29.400 --> 00:23:29.400]   I'm going to give you a little bit of a tour of the house.
[00:23:29.400 --> 00:23:29.400]   I'm going to give you a little bit of a tour of the house.
[00:23:29.400 --> 00:23:29.400]   I'm going to give you a little bit of a tour of the house.
[00:23:29.400 --> 00:23:29.400]   I'm going to give you a little bit of a tour of the house.
[00:23:29.420 --> 00:23:59.420]   I'm going to give you a little bit of a tour of the house.
[00:23:59.420 --> 00:23:59.420]   I'm going to give you a little bit of a tour of the house.
[00:23:59.420 --> 00:23:59.420]   I'm going to give you a little bit of a tour of the house.
[00:23:59.420 --> 00:23:59.420]   I'm going to give you a little bit of a tour of the house.
[00:23:59.420 --> 00:23:59.420]   I'm going to give you a little bit of a tour of the house.
[00:23:59.420 --> 00:23:59.420]   I'm going to give you a little bit of a tour of the house.
[00:23:59.420 --> 00:23:59.420]   I'm going to give you a little bit of a tour of the house.
[00:23:59.420 --> 00:23:59.420]   I'm going to give you a little bit of a tour of the house.
[00:23:59.420 --> 00:23:59.420]   I'm going to give you a little bit of a tour of the house.
[00:23:59.420 --> 00:23:59.420]   I'm going to give you a little bit of a tour of the house.
[00:23:59.420 --> 00:23:59.420]   I'm going to give you a little bit of a tour of the house.
[00:23:59.420 --> 00:23:59.420]   I'm going to give you a little bit of a tour of the house.
[00:23:59.420 --> 00:24:29.440]   I'm going to give you a little bit of a tour of the house.
[00:24:29.440 --> 00:24:29.440]   I'm going to give you a little bit of a tour of the house.
[00:24:29.440 --> 00:24:29.440]   I'm going to give you a little bit of a tour of the house.
[00:24:29.440 --> 00:24:29.440]   I'm going to give you a little bit of a tour of the house.
[00:24:29.440 --> 00:24:29.440]   I'm going to give you a little bit of a tour of the house.
[00:24:29.440 --> 00:24:29.440]   I'm going to give you a little bit of a tour of the house.
[00:24:29.440 --> 00:24:29.440]   I'm going to give you a little bit of a tour of the house.
[00:24:29.460 --> 00:24:59.460]   I'm going to give you a little bit of a tour of the house.
[00:24:59.460 --> 00:24:59.460]   I'm going to give you a little bit of a tour of the house.
[00:24:59.460 --> 00:24:59.460]   I'm going to give you a little bit of a tour of the house.
[00:24:59.460 --> 00:24:59.460]   I'm going to give you a little bit of a tour of the house.
[00:24:59.460 --> 00:24:59.460]   I'm going to give you a little bit of a tour of the house.
[00:24:59.460 --> 00:24:59.460]   I'm going to give you a little bit of a tour of the house.
[00:24:59.460 --> 00:24:59.460]   I'm going to give you a little bit of a tour of the house.
[00:24:59.460 --> 00:24:59.460]   I'm going to give you a little bit of a tour of the house.
[00:24:59.460 --> 00:24:59.460]   I'm going to give you a little bit of a tour of the house.
[00:24:59.460 --> 00:24:59.460]   I'm going to give you a little bit of a tour of the house.
[00:24:59.460 --> 00:24:59.460]   I'm going to give you a little bit of a tour of the house.
[00:24:59.460 --> 00:24:59.460]   I'm going to give you a little bit of a tour of the house.
[00:24:59.480 --> 00:25:29.480]   I'm going to give you a little bit of a tour of the house.
[00:25:29.480 --> 00:25:29.480]   I'm going to give you a little bit of a tour of the house.
[00:25:29.480 --> 00:25:29.480]   I'm going to give you a little bit of a tour of the house.
[00:25:29.480 --> 00:25:29.480]   I'm going to give you a little bit of a tour of the house.
[00:25:29.480 --> 00:25:29.480]   I'm going to give you a little bit of a tour of the house.
[00:25:29.480 --> 00:25:29.480]   I'm going to give you a little bit of a tour of the house.
[00:25:29.480 --> 00:25:29.480]   I'm going to give you a little bit of a tour of the house.
[00:25:29.480 --> 00:25:29.480]   I'm going to give you a little bit of a tour of the house.
[00:25:29.480 --> 00:25:29.480]   I'm going to give you a little bit of a tour of the house.
[00:25:29.480 --> 00:25:29.480]   I'm going to give you a little bit of a tour of the house.
[00:25:29.500 --> 00:25:59.500]  ,
[00:25:59.500 --> 00:25:59.500]   I'm going to give you a little bit of a tour of the house.
[00:25:59.500 --> 00:25:59.500]   I'm going to give you a little bit of a tour of the house.
[00:25:59.500 --> 00:25:59.500]   I'm going to give you a little bit of a tour of the house.
[00:25:59.500 --> 00:25:59.500]   I'm going to give you a little bit of a tour of the house.
[00:25:59.500 --> 00:25:59.500]   I'm going to give you a little bit of a tour of the house.
[00:25:59.500 --> 00:25:59.500]   I'm going to give you a little bit of a tour of the house.
[00:25:59.500 --> 00:25:59.500]   I'm going to give you a little bit of a tour of the house.
[00:25:59.500 --> 00:25:59.500]   I'm going to give you a little bit of a tour of the house.
[00:25:59.500 --> 00:25:59.500]   I'm going to give you a little bit of a tour of the house.
[00:25:59.520 --> 00:26:29.520]  ,
[00:26:29.520 --> 00:26:29.520]   I'm going to give you a little bit of a tour of the house.
[00:26:29.520 --> 00:26:29.520]   I'm going to give you a little bit of a tour of the house.
[00:26:29.520 --> 00:26:29.520]   I'm going to give you a little bit of a tour of the house.
[00:26:29.520 --> 00:26:29.520]   I'm going to give you a little bit of a tour of the house.
[00:26:29.520 --> 00:26:29.520]   I'm going to give you a little bit of a tour of the house.
[00:26:29.520 --> 00:26:29.520]   I'm going to give you a little bit of a tour of the house.
[00:26:29.520 --> 00:26:29.520]   I'm going to give you a little bit of a tour of the house.
[00:26:29.520 --> 00:26:29.520]   I'm going to give you a little bit of a tour of the house.
[00:26:29.520 --> 00:26:29.520]   I'm going to give you a little bit of a tour of the house.
[00:26:29.520 --> 00:26:29.520]   I'm going to give you a little bit of a tour of the house.
[00:26:29.540 --> 00:26:59.540]   I'm going to give you a little bit of a tour of the house.
[00:26:59.540 --> 00:26:59.540]   I'm going to give you a little bit of a tour of the house.
[00:26:59.540 --> 00:26:59.540]   I'm going to give you a little bit of a tour of the house.
[00:26:59.540 --> 00:26:59.540]   I'm going to give you a little bit of a tour of the house.
[00:26:59.540 --> 00:26:59.540]   I'm going to give you a little bit of a tour of the house.
[00:26:59.540 --> 00:26:59.540]   I'm going to give you a little bit of a tour of the house.
[00:26:59.540 --> 00:26:59.540]   I'm going to give you a little bit of a tour of the house.
[00:26:59.540 --> 00:26:59.540]   I'm going to give you a little bit of a tour of the house.
[00:26:59.540 --> 00:26:59.540]   I'm going to give you a little bit of a tour of the house.
[00:26:59.540 --> 00:26:59.540]   I'm going to give you a little bit of a tour of the house.
[00:26:59.540 --> 00:26:59.540]   I'm going to give you a little bit of a tour of the house.
[00:26:59.560 --> 00:27:29.560]  ,
[00:27:29.560 --> 00:27:29.560]   I'm going to give you a little bit of a tour of the house.
[00:27:29.560 --> 00:27:29.560]   I'm going to give you a little bit of a tour of the house.
[00:27:29.560 --> 00:27:29.560]   I'm going to give you a little bit of a tour of the house.
[00:27:29.560 --> 00:27:29.560]   I'm going to give you a little bit of a tour of the house.
[00:27:29.560 --> 00:27:29.560]   I'm going to give you a little bit of a tour of the house.
[00:27:29.560 --> 00:27:29.560]   I'm going to give you a little bit of a tour of the house.
[00:27:29.560 --> 00:27:29.560]   I'm going to give you a little bit of a tour of the house.
[00:27:29.560 --> 00:27:29.560]   I'm going to give you a little bit of a tour of the house.
[00:27:29.560 --> 00:27:29.560]   I'm going to give you a little bit of a tour of the house.
[00:27:29.560 --> 00:27:29.560]   I'm going to give you a little bit of a tour of the house.
[00:27:29.560 --> 00:27:59.580]   I'm going to give you a little bit of a tour of the house.
[00:27:59.580 --> 00:27:59.580]   I'm going to give you a little bit of a tour of the house.
[00:27:59.580 --> 00:27:59.580]   I'm going to give you a little bit of a tour of the house.
[00:27:59.580 --> 00:27:59.580]   I'm going to give you a little bit of a tour of the house.
[00:27:59.580 --> 00:27:59.580]   I'm going to give you a little bit of a tour of the house.
[00:27:59.580 --> 00:27:59.580]   I'm going to give you a little bit of a tour of the house.
[00:27:59.580 --> 00:27:59.580]   I'm going to give you a little bit of a tour of the house.
[00:27:59.580 --> 00:27:59.580]   I'm going to give you a little bit of a tour of the house.
[00:27:59.580 --> 00:27:59.580]   I'm going to give you a little bit of a tour of the house.
[00:27:59.580 --> 00:27:59.580]   I'm going to give you a little bit of a tour of the house.
[00:27:59.580 --> 00:27:59.580]   I'm going to give you a little bit of a tour of the house.
[00:27:59.600 --> 00:28:29.600]   It is called requisitioning.
[00:28:29.600 --> 00:28:29.600]   It is called requisitioning.
[00:28:29.600 --> 00:28:29.600]   It is called requisitioning.
[00:28:29.600 --> 00:28:29.600]   It is called requisitioning.
[00:28:29.600 --> 00:28:29.600]   They will take your spare gasoline, supplies, ammunition, first aid kits, ice, water, guns, and even your vehicle.
[00:28:29.600 --> 00:28:29.600]   They will take your spare gasoline, supplies, ammunition, first aid kits, ice, water, guns, and even your vehicle.
[00:28:29.600 --> 00:28:29.600]   They are worse than looters in that they have the force of law behind them.
[00:28:29.600 --> 00:28:29.600]   They looted cars, booze, TVs, as well as the necessities such as food, water, and clean clothes.
[00:28:29.600 --> 00:28:29.600]   Avoid looting parties.
[00:28:29.600 --> 00:28:29.600]   They tend to be undisciplined and have numerous armed people.
[00:28:29.600 --> 00:28:29.600]   If you join them,
[00:28:29.600 --> 00:28:29.600]   If you join them,
[00:28:29.600 --> 00:28:29.600]   you can get a little bit of a tour of the house.
[00:28:29.600 --> 00:28:29.600]   If you join them,
[00:28:29.600 --> 00:28:29.600]   If you join them,
[00:28:29.640 --> 00:28:59.620]   If you join them,
[00:28:59.620 --> 00:28:59.620]   If you join them,
[00:28:59.620 --> 00:28:59.620]   If you join them,
[00:28:59.620 --> 00:28:59.620]   If you join them,
[00:28:59.620 --> 00:28:59.620]   If you join them,
[00:28:59.620 --> 00:28:59.620]   If you join them, you can get a tour of the house.
[00:28:59.620 --> 00:28:59.620]   If you join them, you can get a tour of the house.
[00:28:59.620 --> 00:28:59.620]   If you join them, you can get a tour of the house.
[00:28:59.620 --> 00:28:59.620]   If you join them, you can get a tour of the house.
[00:28:59.620 --> 00:28:59.620]   If you join them, you can get a tour of the house.
[00:28:59.660 --> 00:29:29.640]   twe
[00:30:29.740 --> 00:30:29.740]   and
[00:30:29.740 --> 00:30:29.740]   ----
[00:30:29.740 --> 00:30:29.740]   -- -- -- -- ----
[00:30:29.780 --> 00:30:43.780]   cam
[00:30:43.780 --> 00:30:49.760]  微 wasn,,, stabbed Brus S Le sper Win,,,,,,, which Nieoris Mar
[00:30:58.200 --> 00:31:08.000]   언�
[00:31:08.000 --> 00:31:26.580]   sugar learning
[00:31:55.480 --> 00:31:55.480]   and
