
[00:00:00.000 --> 00:00:05.540]   The following is a conversation with Jeffrey Wasserstrom, a historian of modern China.
[00:02:01.980 --> 00:02:12.840]   And a key difference is that Mao really reveled in chaos, in turning things upside down, in a sense that, you know,
[00:02:12.840 --> 00:02:27.880]   he talked about class struggle, which came out of Marxism, but he also really, his favorite work of Chinese popular fiction was the monkey king about this legendary figure who, this monkey king who could turn the heavens upside down.
[00:02:27.880 --> 00:02:32.860]   So he reveled in disorder and thought disorder was a way to improve things.
[00:02:32.860 --> 00:02:38.360]   Xi Jinping is very orderly, is very concerned with kind of stability and predictability.
[00:02:38.360 --> 00:02:42.120]   So you can see them as very, very different that way.
[00:02:42.200 --> 00:02:47.180]   Mao also liked to stir things up, liked to have people on the streets, clamoring.
[00:02:47.180 --> 00:02:51.160]   So Xi Jinping, even though he has a personality cult, it's not manifesting itself.
[00:02:51.160 --> 00:02:57.040]   He doesn't like the idea of people on the streets in anything that can't be controlled.
[00:02:57.040 --> 00:03:02.400]   So you can, you know, there are a lot of ways that they're similar, a lot of ways they're different.
[00:03:02.400 --> 00:03:12.120]   They're also different, and this fits with this orderliness, that Xi Jinping talks positively about Confucius and Confucian traditions in China.
[00:03:12.120 --> 00:03:22.580]   And Confucian traditions are based on kind of stable hierarchies for the most part and sort of clear categories of superior and inferior.
[00:03:22.580 --> 00:03:25.660]   Whereas Mao liked things to be turned upside down.
[00:03:25.660 --> 00:03:30.040]   He thought of Confucianism as a futile way of thought that had held China back.
[00:03:30.040 --> 00:03:35.060]   So you can come up with things that they're similar, and you can come up with things where they're really opposites.
[00:03:35.060 --> 00:03:40.660]   But they both clearly did want to see China under rule by the Communist Party.
[00:03:40.660 --> 00:03:45.300]   And that's been a continuity, and that connects them to the leaders in between them, too, as well.
[00:03:45.820 --> 00:03:52.380]   So there's some degree, as you said, that Xi Jinping espouses the ideas of communism and the ideas of Confucianism.
[00:03:52.380 --> 00:03:55.500]   So let's go all the way back.
[00:03:55.500 --> 00:04:00.200]   You wrote that in order to understand the China of today, we have to study its past.
[00:04:00.200 --> 00:04:08.120]   So the China of today celebrates ideas of Confucius, a Chinese philosopher who lived 2,500 years ago.
[00:04:08.120 --> 00:04:10.860]   Can you tell me about the ideas of Confucius?
[00:04:11.440 --> 00:04:15.220]   First of all, we don't know that much about the historic Confucius.
[00:04:15.220 --> 00:04:19.360]   He's around the same time as, you know, figures like Socrates.
[00:04:19.360 --> 00:04:27.620]   And like with Socrates, we get a lot of what we know about him or think we know about him from what his followers said
[00:04:27.620 --> 00:04:32.400]   and things that were attributed to him and dialogues that were written afterwards.
[00:04:32.400 --> 00:04:39.660]   So, you know, you can have a lot of fun with these sort of axial age thinkers and what they had in common.
[00:04:39.760 --> 00:04:49.960]   Another thing that connects these axial age thinkers is they were trying to kind of make a case for why they should be able to educate the next generation,
[00:04:49.960 --> 00:04:59.260]   the elite, and sort of had a way of promising that they had philosophical ideas that helped decide how you should run a polity.
[00:05:00.280 --> 00:05:06.820]   Confucius lived in a time when there were these warring kingdoms in a territory that later became China.
[00:05:06.820 --> 00:05:15.140]   But what he said was that there had been this period of great order in the past, that the lines between inferior and superior were clear,
[00:05:15.140 --> 00:05:21.360]   and there was a kind of synergy between superior and inferior that kept everything ticking along really nicely.
[00:05:21.940 --> 00:05:31.760]   He thought that hierarchical relationships were a good thing, and that the trick was that both sides in a hierarchical relationship owed something to the other.
[00:05:32.020 --> 00:05:36.680]   So the father and son relationship was a key one.
[00:05:36.680 --> 00:05:43.800]   The father deserved respect from the son, but owed the son care and benevolence.
[00:05:44.020 --> 00:05:49.660]   And things would be fine as long as both sides in a relationship held up their end.
[00:05:49.660 --> 00:05:52.220]   And he had a whole series of these relationships.
[00:05:52.220 --> 00:05:58.940]   The husband to the wife was, again, an unequal one of the husband being superior to the wife,
[00:05:58.940 --> 00:06:03.900]   but him owing the wife care and her owing him deference.
[00:06:04.180 --> 00:06:09.320]   And he had the same notion that then the emperor to the ministers, these were all parallels.
[00:06:09.320 --> 00:06:14.380]   And there were no egalitarian relationships in Confucianism.
[00:06:14.380 --> 00:06:22.860]   Even something that in the West we often think of as a kind of quintessentially egalitarian relationship between brothers.
[00:06:22.860 --> 00:06:29.980]   In the Chinese tradition of Confucianism, there was only older brother and younger brother.
[00:06:29.980 --> 00:06:34.360]   Brotherhood was not an egalitarian relationship.
[00:06:34.360 --> 00:06:39.900]   It was one where the older brother took care of the younger brother, and the younger brother showed respect for the older brother.
[00:06:39.900 --> 00:06:43.960]   So stable hierarchy was at the core of everything in society.
[00:06:43.960 --> 00:06:46.040]   It permeated everything, including politics.
[00:06:46.040 --> 00:06:52.740]   Yeah, and there was even a sense that it connected the natural world to the supernatural world.
[00:06:52.740 --> 00:07:03.000]   So the emperor was to heaven, this kind of non-personified deity, like the emperor was to the ministers.
[00:07:03.000 --> 00:07:05.060]   So all of this had these relationships.
[00:07:05.060 --> 00:07:07.160]   So the emperor was the son of heaven.
[00:07:07.160 --> 00:07:13.640]   And for Confucius, he said, so we should study the text.
[00:07:13.780 --> 00:07:27.100]   We should study how the sages of old behaved, that society was becoming corrupted and was going away from that sort of purity of the sages when the relationships were all in order.
[00:07:27.100 --> 00:07:33.300]   So Confucianism was a kind of conservative or even backward-looking thing.
[00:07:33.300 --> 00:07:36.100]   It wasn't arguing for progress.
[00:07:36.100 --> 00:07:40.280]   It was arguing for reclaiming a pure golden age in the past.
[00:07:40.840 --> 00:07:54.960]   So it was also a kind of conservative—so in all kinds of ways, you know, it's irreconcilable to many things about Marxism and communism, which is all about struggle and all about actually a progressive view of history moving from one stage to the next.
[00:07:54.960 --> 00:08:05.700]   So that's the interesting thing about Xi Jinping and the China of today, is there is that tension of Confucianism and communism, where communism and Marxism is supposed to let go of history.
[00:08:06.280 --> 00:08:11.760]   And Confucianism, there's a real veneration of history that's happening in China of today.
[00:08:11.760 --> 00:08:15.440]   So they're able to wear both hats and balance it.
[00:08:15.440 --> 00:08:30.800]   Yeah, you could say that in many points in the 20th century, there was a kind of struggle between different competing political groups over which part of the Chinese past to connect with.
[00:08:30.800 --> 00:08:37.860]   Was it to the Confucian tradition or to the kind of rebellious monkey king tradition, which was what Mao connected to?
[00:08:38.600 --> 00:08:44.280]   Xi Jinping and before him, to some extent, you know, Hu Jintao, we saw this a little bit at the Olympics.
[00:08:44.280 --> 00:08:47.380]   There was more of this kind of mix-it-all-together view.
[00:08:47.380 --> 00:08:53.560]   Anything that suggested greatness in the past could be something that could be fused together.
[00:08:53.560 --> 00:09:02.180]   So Xi Jinping says that, you know, Mao is one of his heroes or one of the people he looks to as a model, but so is Confucius.
[00:09:02.600 --> 00:09:14.520]   And there's really, you know, they had so little in common, but they both, in his mind and the minds of others, suggest a kind of power and greatness of the Chinese past.
[00:09:14.520 --> 00:09:29.640]   Yeah, so this platonic notion of greatness, and that, you could say, connects, that's a thread that connects for Xi Jinping, the great history, multi-thousand-year history of China.
[00:09:29.840 --> 00:09:34.080]   Yeah, and it involves smoothing out all kinds of internal contradictions.
[00:09:34.080 --> 00:09:42.920]   You had, you know, the first emperor of China, jumping forward a bit, you know, in 221 BC, he is anti-scholars.
[00:09:42.920 --> 00:09:49.320]   He burns books, and he doesn't venerate these kind of rituals and things.
[00:09:50.520 --> 00:10:05.380]   So he was very much against the things that Confucius stood for, but, and Mao, in a sense of having to choose between Confucius and the first emperor, he said, well, maybe the first emperor had the right idea, you know, scholars can be a pain.
[00:10:05.380 --> 00:10:09.560]   So he said, like, if you have to choose between Confucianism and that.
[00:10:09.560 --> 00:10:13.640]   But Xi Jinping, I think, continually is kind of not choosing.
[00:10:13.640 --> 00:10:22.480]   And if he wants to say, well, look at the great wall, look at this wonderful, in fact, that was a symbol of kind of strength and domination related to the first emperor.
[00:10:23.180 --> 00:10:27.160]   Who, by the way, didn't build anything like the great wall you see today.
[00:10:27.160 --> 00:10:29.960]   He built walls, and they were fine, you know, they were good.
[00:10:29.960 --> 00:10:34.860]   But the great wall itself didn't come into being until many centuries later.
[00:10:34.860 --> 00:10:48.840]   But still, this idea of anything that suggests a kind of greatness is something that, as a, in many ways, a nationalist above all else, Xi Jinping is a supporter of the party and single-party rule.
[00:10:48.840 --> 00:10:50.520]   That's something he clearly believes in.
[00:10:50.520 --> 00:10:53.880]   And he's a nationalist.
[00:10:53.880 --> 00:10:59.280]   He wants to see China be great and acknowledge this great on the world stage.
[00:10:59.280 --> 00:11:02.360]   Boy, so many contradictions always.
[00:11:02.480 --> 00:11:07.180]   So, Stalin, he was a communist, but also a nationalist, right?
[00:11:07.180 --> 00:11:13.840]   That contradiction is, is, is, is, uh, also permeates through, through Mao and all the way to Xi Jinping.
[00:11:13.840 --> 00:11:21.940]   But if you can linger on Confucius for a little bit, you write that one of the most famous statements of Confucianism is the belief that, quote,
[00:11:21.940 --> 00:11:26.260]   people are pretty much alike at birth, but become differentiated via learning.
[00:11:26.260 --> 00:11:31.760]   So, this sets the tradition that China places a high value on education and on meritocracy.
[00:11:31.760 --> 00:11:43.180]   Can you speak to this Confucius' idea of education and how much does it permeate to the China of today?
[00:11:44.040 --> 00:11:44.440]   Sure.
[00:11:44.440 --> 00:11:47.060]   So, there's an optimism to this.
[00:11:47.060 --> 00:11:52.320]   There's an optimism in the sense of a ability that people can be good.
[00:11:52.320 --> 00:11:59.780]   And when exposed to exemplary figures from the past, they'll want to be like those exemplary figures.
[00:11:59.940 --> 00:12:10.300]   So, it was a form of education through kind of emulation of models and study of past figures and past texts that were exemplary.
[00:12:10.300 --> 00:12:21.560]   And it, and it was, it did have this, this idea, uh, relatively positive view of human nature and the sort of changeability of humans through, um, through education.
[00:12:21.560 --> 00:12:37.560]   And I think that, um, that shows through in all kinds of things, even the fact that while there were lots of killings by the Chinese Communist Party and other groups, there was often an idea that, um, that people could be, could be remolded potentially.
[00:12:38.380 --> 00:13:01.820]   And China was one of the few places where they didn't kill the, um, the last emperor, you know, the last emperor, the idea was that he could become, anybody could be kind of turned into a citizen of this or a subject of this, a good, a good member of this polity through the kind of, um, education.
[00:13:01.820 --> 00:13:30.820]   And often it was a very kind of forceful form of education, but I think that's a carryover from, from the Confucian times and, um, over time, this Confucian idea led to the creation of, uh, one of the early great civil service exams and idea that bureaucracy should be run not by people who were born into the right families, but ones who had shown their ability to master these fairly intensive kind of exams.
[00:13:30.820 --> 00:13:46.380]   And the exams were things that could make or break your career a bit like at some points in the American past, passing a bar exam, a really intensive thing could, could set you on the road to, to a good career in China, you had the civil service exam tradition.
[00:13:46.380 --> 00:14:06.600]   So I think this kind of emphasis on, on, on education and on, uh, valuing of scholarly pursuits, but then Chinese leaders throughout history, including up to Mao and Xi Jinping have also found scholars to be, uh, tremendously difficult to control.
[00:14:06.940 --> 00:14:25.300]   So there's an ambivalence to it or contradiction again, there, but, uh, to which degree this idea of meritocracy that's inherent to the notion that we all start at the same line, there's a meritocratic view of human nature there.
[00:14:25.420 --> 00:14:30.820]   Or if you work hard and you, uh, learn things, you will succeed.
[00:14:30.820 --> 00:14:38.760]   And so the reverse, if you haven't succeeded, that means you didn't work hard enough or do not deserve the spoils of the, of the success.
[00:14:38.760 --> 00:14:42.160]   Uh, does that carry over to the China today?
[00:14:42.780 --> 00:14:55.240]   There's such a challenge in all these forms of meritocracy because, you know, you had the civil service exams, but the question was who, if you, if you had a really good tutor, if you could afford a really good tutor, you had a better chance of passing the exams.
[00:14:55.240 --> 00:15:09.020]   Um, one thing that happened there was families would, would pool together resources to try to help the, the brightest in their group to be able to become part of the officialdom.
[00:15:09.020 --> 00:15:16.720]   Um, and this kind of pooling together resources to help as a family was, was an important part of that structure.
[00:15:16.720 --> 00:15:22.360]   But there also was a kind of, um, there was always a tension of that.
[00:15:22.360 --> 00:15:24.640]   Um, so what if you don't succeed?
[00:15:24.640 --> 00:15:31.340]   Some of the leaders of rebellions against, um, against emperors were failed examination candidates.
[00:15:31.340 --> 00:15:33.940]   Yeah.
[00:15:33.940 --> 00:15:37.840]   You know, this, this, you, you, you had this issue and then it became something, well,
[00:15:38.540 --> 00:15:42.400]   the system was out of whack and it needed a new, a new leader.
[00:15:42.400 --> 00:16:07.580]   And, and also there was a, there was something built in that was not so much Confucius himself, but one of his main, um, main interpreters, early interpreters, Mencius, had this idea, which can be seen as a crude justification for rebellion or for a kind of democracy to say that even though the emperor rules at the, the will of heaven,
[00:16:08.060 --> 00:16:15.600]   if, if, if he doesn't act like a true emperor, if he's not morally upstanding, then heaven will
[00:16:15.600 --> 00:16:20.040]   remove his, uh, heaven will remove its, its mandate to him.
[00:16:20.200 --> 00:16:34.060]   And then there's, if it's, if it's, if the rebellion isn't justified, then heaven will stop the ruler from being killed.
[00:16:34.060 --> 00:16:47.920]   but if heaven has removed his, uh, support, then the rebellion will succeed and then a new, um, a new ruler will be justified in taking power.
[00:16:47.920 --> 00:17:03.720]   So it's a, it's an interesting sense that the, the universe in this Confucian view has a kind of moral dimension to it, but it also, um, it's when things actually happen that you see where the side of morality is.
[00:17:03.780 --> 00:17:12.860]   Okay. So it's meritocracy with an asterisk. It does seem to be the case. Maybe you can speak to that, that in the Chinese education system, there seems to be a high value for excellence.
[00:17:13.320 --> 00:17:29.100]   Uh, hopefully I'm not generalizing too much, but from the things I've seen, there are certain cultures, certain peoples that, you know, it's just part of the value system of the culture that you need to be a really good student.
[00:17:29.500 --> 00:17:31.540]   Is that the case with the China of today?
[00:17:31.540 --> 00:17:52.940]   There's been a lot of emphasis on, um, on education and sort of working really hard and excelling at, at some subjects and having, um, you know, there isn't the civil service exam, but there is, um, the gaokao, an exam that really can determine where you get, what kind of, um, institution to get into.
[00:17:53.540 --> 00:18:14.600]   And I think, you know, getting back to this idea of, of meritocracy, which, which is strong in a lot of, um, in a lot of tradition, it also a kind of, um, what it opens you up to is when there is a sense of unfairness and who's getting ahead and how the spoils are being divided.
[00:18:14.900 --> 00:18:31.500]   This leads to a kind of outrage and some of the biggest protests in, in China have been about this sense of nepotism, which really seems to subvert this whole, um, idea of kind of meritocracy.
[00:18:31.500 --> 00:18:40.920]   And the, the 1989 protest at Tiananmen, even though kind of in the, the Western press in particular, it was discussed as a movement for democracy.
[00:18:40.920 --> 00:18:48.540]   But a lot of the first posters that went up that got students really angry were criticisms of corruption within the communist party and nepotism.
[00:18:48.700 --> 00:19:03.580]   And the sense that people, despite all the talk, I mean, despite the fact that most people seem to be having to study really hard to pass these exams, to get, uh, good positions in universities, that some of them were being handed out via the kind of back door.
[00:19:03.760 --> 00:19:21.160]   And that led to a kind of outrage, not, I mean, that's true in, in, in many places, but I think it gives a special, a special anger against nepotism because of that, um, the way in which so much emphasis is put on kind of the standard exam way of, of getting ahead.
[00:19:21.320 --> 00:19:26.920]   I hope it's okay if we jump around through history a bit and find the threads that connect everything.
[00:19:26.920 --> 00:19:34.340]   Since you mentioned Tiananmen Square, you have studied a lot of student protests throughout Chinese history, throughout history in general.
[00:19:34.340 --> 00:19:37.060]   What happened in Tiananmen Square?
[00:19:37.060 --> 00:19:42.040]   So in 1989, this massive movement took place.
[00:19:42.040 --> 00:19:50.880]   The story of it's largely suppressed within China and largely misunderstood, um, in other places, in part because it happened around the same time.
[00:19:50.880 --> 00:19:56.060]   That communism was unraveling and ending in the, the former Soviet bloc.
[00:19:56.060 --> 00:19:59.800]   So I think it's often conflated with what was going on there.
[00:19:59.800 --> 00:20:20.640]   Um, and so I think one of the key things to know about the protests in 1989 was that they were an effort to get the communist party in China to do a better job of living up to its own stated ideals and to try to support, uh, the trend within the party toward a kind of,
[00:20:20.640 --> 00:20:30.280]   liberalizing, um, liberalizing, um, liberalizing and opening up form, uh, that, that had taken shape after Mao's death.
[00:20:30.280 --> 00:20:38.900]   And in a sense, the student generation of 89, and I was there in 86 when there were some sort of warmup protests.
[00:20:39.120 --> 00:20:52.960]   There was a kind of frustration with what they felt was, um, um, a half-assed version of what they were talking about, that the, the government was saying, the party was saying, we believe in reforming and opening up.
[00:20:52.960 --> 00:20:54.400]   We need to liberalize.
[00:20:54.400 --> 00:20:59.020]   We need to give people more, um, more control of, of their fate.
[00:20:59.020 --> 00:21:17.300]   And the students felt that this was being done more effectively in the economic realm than in the political realm, and that there were a lot of sort of partial gestures that, that suggested, um, the party needed to be pressed to really, really move in that direction.
[00:21:17.300 --> 00:21:28.000]   And it's, it'll seem like a very trivial thing, but I found it fascinating in 86 when I was there in Shanghai in late 86, and students protested.
[00:21:28.000 --> 00:21:36.640]   And this was the first time that students had been really on the streets in significant numbers since the Cultural Revolution, or at least since 76.
[00:21:36.900 --> 00:21:50.060]   Um, and the students were inspired by calls for democracy and discussions of democracy by this, um, uh, this physicist, Fang Li-Jer, who was a kind of, um, often thought it was a Chinese Sakharov.
[00:21:50.060 --> 00:21:52.700]   Um, he was a liberalizing intellectual.
[00:21:52.700 --> 00:22:05.220]   But one of the things that students in Shanghai, which were some of the most intense protests of that year took place, were frustrated about, was a rock concert, of all things, that, um, Jan and Dean,
[00:22:05.220 --> 00:22:10.500]   the American surf rock band, which was kind of like the Beach Boys, only not as big.
[00:22:10.500 --> 00:22:12.660]   And they were, um, touring China.
[00:22:12.660 --> 00:22:24.940]   It was the first time in Shanghai that there'd been a rock concert, and the students were really excited about this, because this fit in with what they thought the Communist Party was moving toward, was letting them be more part of the world.
[00:22:24.940 --> 00:22:29.160]   And for them, that meant being more in step with pop culture around the world.
[00:22:29.660 --> 00:22:35.420]   And at the concert, some students got up to dance, because that's what they knew you were supposed to do at a rock concert.
[00:22:35.420 --> 00:22:37.660]   And the security guards made them sit down.
[00:22:37.660 --> 00:22:45.700]   And for the students in Shanghai, this sort of symbolized what was, you know, a feint toward openness that really didn't have follow-through.
[00:22:45.700 --> 00:22:48.440]   We're going to give you rock concerts, but not let you dance.
[00:22:49.000 --> 00:22:54.800]   And so the protests went on for a little while in 86, and, um, posters went up.
[00:22:54.800 --> 00:23:00.340]   The officials at, at, um, universities said, no, this is out of hand.
[00:23:00.340 --> 00:23:03.240]   We had chaos on the streets during the Cultural Revolution.
[00:23:03.240 --> 00:23:04.540]   We can't go back to that.
[00:23:04.800 --> 00:23:06.820]   And nobody wanted to go back to that.
[00:23:06.820 --> 00:23:11.400]   So there were posters I saw that said, this is new Red Guardism.
[00:23:11.400 --> 00:23:14.160]   And, and the students didn't want to be associated with that.
[00:23:14.160 --> 00:23:16.320]   So it wound down pretty quickly.
[00:23:16.320 --> 00:23:20.820]   And they, they, they thought, you know, we're not like the Red Guards.
[00:23:20.820 --> 00:23:22.060]   We don't want to make chaos.
[00:23:22.060 --> 00:23:25.600]   We also are not fervent loyalists of anybody in power.
[00:23:25.600 --> 00:23:28.080]   The Red Guards had been, you know, passionate about Mao.
[00:23:28.080 --> 00:23:31.740]   The, the, the analogy partly sort of scared them.
[00:23:31.740 --> 00:23:34.680]   And also it meant that the government was really serious about,
[00:23:34.680 --> 00:23:35.800]   uh, dealing with them.
[00:23:35.800 --> 00:23:39.880]   So then in 1989, this protest, the protests restart.
[00:23:39.880 --> 00:23:44.220]   And there are a variety of reasons why they can restart.
[00:23:44.220 --> 00:23:49.660]   They, the space for them, students are thinking about doing something in 1989.
[00:23:49.660 --> 00:23:54.080]   It's a very resonant year, 200th anniversary of the French Revolution.
[00:23:54.080 --> 00:23:59.200]   People are thinking about that, but more importantly, it's the 70th anniversary of the biggest student
[00:23:59.200 --> 00:24:03.400]   movement in Chinese history, the May 4th movement of 1919.
[00:24:04.240 --> 00:24:08.560]   And the May 4th movement had helped lay the groundwork for the Chinese Communist Party.
[00:24:08.560 --> 00:24:12.540]   Some member, leading founders of it had been student activists.
[00:24:12.540 --> 00:24:18.720]   Then it was an anti-imperialist movement, but it was also, um, a movement against bad government.
[00:24:18.720 --> 00:24:25.380]   Um, and so the students thought, you know, the anniversary of that movement was always marked,
[00:24:25.380 --> 00:24:26.740]   commemorated in China.
[00:24:26.740 --> 00:24:29.320]   And people took the series, the history seriously.
[00:24:29.500 --> 00:24:32.880]   People were reminded of what students did in the past.
[00:24:32.880 --> 00:24:38.460]   And so there were sort of, there were a lot of reasons why people were itching to do something.
[00:24:38.680 --> 00:24:47.100]   And then, um, um, a leader, Pu Yaobang, who was associated with the more kind of reformist,
[00:24:47.100 --> 00:24:51.320]   more liberalizing, um, group within the Chinese Communist Party.
[00:24:51.700 --> 00:25:01.580]   He had been stripped of a very high office, demoted after taking, partly taking a fairly light stance toward the 86-87 protests.
[00:25:01.580 --> 00:25:06.580]   And so he was still a member of the government, but he was not as high up in power.
[00:25:06.580 --> 00:25:07.540]   He had been very high up.
[00:25:07.540 --> 00:25:10.160]   He had been sort of Deng Xiaoping's potential successor.
[00:25:10.940 --> 00:25:17.200]   And he dies unexpectedly, and there has to be a funeral for him, because he dies still as an official.
[00:25:17.200 --> 00:25:25.600]   And the students take advantage of the opening of their having to be, um, having to be commemorations of his death.
[00:25:25.600 --> 00:25:29.460]   And they put up posters that basically say the wrong people are dying.
[00:25:29.460 --> 00:25:33.360]   Uh, Pu Yaobang was younger than some of the more conservative members.
[00:25:33.460 --> 00:25:36.200]   They said, so some people are dying too young.
[00:25:36.200 --> 00:25:39.440]   Some people are, don't seem like they're ever going to die.
[00:25:39.440 --> 00:25:42.860]   And they, so they begin these sorts of protests.
[00:25:42.860 --> 00:25:44.140]   This is in April of 89.
[00:25:44.140 --> 00:25:49.260]   And the government tries to sort of get the protests to stop quickly.
[00:25:49.260 --> 00:25:57.420]   And they use the sort of same technique of, they issue an editorial in People's Daily that says this is creating chaos,
[00:25:57.420 --> 00:26:00.160]   which is a code term for taking us back to the Cultural Revolution.
[00:26:00.740 --> 00:26:04.320]   And this time the students say, no, you know, we're just trying to show our patriotism.
[00:26:04.320 --> 00:26:08.940]   We believe that there's too much corruption and nepotism.
[00:26:08.940 --> 00:26:15.740]   There's not enough support for the more liberalizing, um, wing within the party.
[00:26:15.740 --> 00:26:17.980]   And so they keep up the protests.
[00:26:17.980 --> 00:26:20.560]   And there's a lot of frustration at this point.
[00:26:20.560 --> 00:26:22.740]   There are also economic frustrations at this point.
[00:26:22.740 --> 00:26:30.480]   Um, the economy is, is improving because of the reforms, but it seems that people with good government connections,
[00:26:30.480 --> 00:26:33.560]   are getting rich, um, too easily.
[00:26:33.560 --> 00:26:36.060]   And so it's, there's sort of a sense of unfairness.
[00:26:36.060 --> 00:26:42.220]   The students are also really frustrated by the kind of macro managing of their private lives on campuses.
[00:26:42.220 --> 00:26:50.960]   So the protests at Tiananmen Square and in plazas all around the country and other cities as well become this mix of things.
[00:26:50.960 --> 00:26:52.420]   It's an anti-corruption movement.
[00:26:52.420 --> 00:26:54.680]   It's a call for more democracy movement.
[00:26:54.680 --> 00:27:03.760]   It's a call for more freedom of speech movement, but it's also a kind of, um, has some counterculture elements that are like, there are rock concerts on the square.
[00:27:03.760 --> 00:27:11.640]   The most popular, uh, rock musician, Sui Jien, comes to the square and is, um, celebrated when he's there.
[00:27:11.640 --> 00:27:15.540]   There's a sense of kind of a variety of things rolled into one.
[00:27:15.540 --> 00:27:23.420]   Um, and I, I, I brought up how it sort of gets conflated with the movements to overthrow communism and the Eastern bloc.
[00:27:23.420 --> 00:27:29.200]   It was actually in many ways, I think more like something that happened in the Eastern bloc 20 years earlier.
[00:27:29.200 --> 00:27:46.860]   It was more like Prague spring and other 1968 protests in the communist bloc, which was about moving toward socialism with a human face, more like trying to get the parties to empower to reform rather than necessarily doing away with them.
[00:27:46.860 --> 00:27:57.340]   Um, so there was a kind of disjuncture happened at the same time as moves to, to end communism, but of course, I would say there was a possibility when all the protesters were on the square.
[00:27:57.340 --> 00:28:10.820]   It seemed that for a time that this might be seen as an acceptable kind of movement movement to just have a kind of course correction, but then there's also an internal struggle within the communist party leadership.
[00:28:10.820 --> 00:28:22.220]   And clearly the people who are more political conservatives, even if they believe in economic reform are clearly getting the upper hand and they're, this is not going to be tolerated.
[00:28:22.220 --> 00:28:28.740]   And the students stay on the square when signals are given to try to get them out.
[00:28:28.740 --> 00:28:33.380]   Students from around the country are pouring into, to Beijing to join this movement.
[00:28:33.380 --> 00:28:36.460]   They don't want to end the movement when they've just arrived.
[00:28:36.460 --> 00:28:42.220]   So it's actually one thing that keeps it going is new, new, um, participants are coming from the provinces.
[00:28:42.220 --> 00:28:50.940]   And even if some moderates want to leave the square, people want to stay and then workers start joining in the movement as well.
[00:28:50.940 --> 00:28:53.460]   And form a independent labor union.
[00:28:53.460 --> 00:29:09.260]   And that really the, the Chinese communist party, to a certain extent, they might put up with student protesters, but they know from past experience that sometimes student protests lead to, to members of other social classes joining them.
[00:29:09.260 --> 00:29:31.260]   So it's important because they look up to students as sort of potential intellectual leaders of the country and admiration for scholars is part of this that turns people turn out when students protest something very different from the American case where there's a kind of often suspicious of American, of student activists being necessarily on the same side as, as everybody else.
[00:29:31.260 --> 00:29:40.260]   : But in China, there had been from the history of the 20th century, a sense of students as potentially a vanguard.
[00:29:40.260 --> 00:29:54.260]   So once there are, um, labor activists joining the movement, then troops are called in and there's a massacre near Tiananmen Square, um, on the middle of the night of June 3rd and early June 4th.
[00:29:54.260 --> 00:30:08.780]   And the, the, the army just moves in and begins behaving very much like an army of occupation, which is something that people civilization of armies is, is supposed to be the one that saves China from foreign aggression.
[00:30:08.780 --> 00:30:11.300]   And they're acting like an invading force.
[00:30:11.300 --> 00:30:21.780]   : So this is where famously the tanks rolling, the tanks roll in, and I think also you would have that famous image of the man standing in front of the tank, that's a band image within China.
[00:30:21.780 --> 00:30:35.780]   And I really think the reason why it's so considered so toxic by the regime is because it just shows the people's liberation army looking like an invading force, not like a stabilizing force.
