
[00:00:00.000 --> 00:00:03.280]   Hey there, wine lovers!
[00:05:26.560 --> 00:05:28.800]   So I want to give you some goals today.
[00:05:28.800 --> 00:05:31.720]   I don't love to do this, but I've changed my mind.
[00:05:31.720 --> 00:05:33.400]   I used to say, "What are your goals?
[00:05:33.400 --> 00:05:34.400]   What are your goals?
[00:05:34.400 --> 00:05:35.400]   I'll just listen.
[00:05:35.400 --> 00:05:36.400]   I'll just listen.
[00:05:36.400 --> 00:05:37.400]   What are your goals?
[00:05:37.400 --> 00:05:38.400]   You tell me about them."
[00:05:38.400 --> 00:05:41.320]   But I've learned that a lot of people don't have goals, and it's useful to have goals.
[00:05:41.320 --> 00:05:46.000]   I've learned that a lot of people, especially young men, just kind of wander from one thing
[00:05:46.000 --> 00:05:48.720]   to another.
[00:05:48.720 --> 00:05:52.480]   Years ago, I worked with a young man who was thinking about getting married.
[00:05:52.480 --> 00:05:54.000]   He was not earning much money.
[00:05:54.000 --> 00:05:56.720]   I think at the time he was working as a valet.
[00:05:56.720 --> 00:06:01.000]   I sat down with him and I said, "Let's make a budget, and let's figure out how much money
[00:06:01.000 --> 00:06:05.160]   you need to earn to be able to support a family."
[00:06:05.160 --> 00:06:08.480]   Well that process opened his eyes.
[00:06:08.480 --> 00:06:14.680]   I want to talk to you about some different levels of income by talking with you about
[00:06:14.680 --> 00:06:17.880]   some different lifestyles that are available to you.
[00:06:17.880 --> 00:06:21.160]   Let's start with a minimum wage income.
[00:06:21.160 --> 00:06:25.300]   Now one of my favorite shows that I have ever done on Radical Personal Finance, and one
[00:06:25.300 --> 00:06:30.680]   of the more popular ones, is a show that I did called "How I Would Become a Millionaire
[00:06:30.680 --> 00:06:35.320]   Working a Minimum Wage Job at Walmart."
[00:06:35.320 --> 00:06:38.720]   If you haven't listened to it, you are underprivileged.
[00:06:38.720 --> 00:06:48.560]   I would recommend you go back and listen to episode 43 from August 15, 2014.
[00:06:48.560 --> 00:06:51.600]   August 15, 2014, I published that show.
[00:06:51.600 --> 00:06:56.160]   Number 43 is called "My Plan for How I Would Become a Millionaire with a Minimum Wage Job
[00:06:56.160 --> 00:06:58.240]   at Walmart."
[00:06:58.240 --> 00:06:59.240]   Very popular.
[00:06:59.240 --> 00:07:00.240]   I'm really proud of it.
[00:07:00.240 --> 00:07:02.040]   I think it was still a good show.
[00:07:02.040 --> 00:07:05.840]   But the very thing that I led with was saying the first thing I would do is not work a minimum
[00:07:05.840 --> 00:07:10.280]   wage job at Walmart, because the way you get rich is not by earning a minimum wage.
[00:07:10.280 --> 00:07:14.040]   But I showed how you could build wealth on a minimum wage job at Walmart if you were
[00:07:14.040 --> 00:07:15.040]   very careful.
[00:07:15.040 --> 00:07:17.000]   So let's break down that income.
[00:07:17.000 --> 00:07:23.280]   In the United States of America, the federal minimum wage is $7.25 per hour.
[00:07:23.280 --> 00:07:25.200]   Some states have higher minimum wages.
[00:07:25.200 --> 00:07:27.600]   Some cities have higher minimum wages.
[00:07:27.600 --> 00:07:32.400]   And I don't know of an area, although I bet they do exist, perhaps a very rural small
[00:07:32.400 --> 00:07:36.320]   town area, I don't know of an area in the United States where an employer could get
[00:07:36.320 --> 00:07:38.900]   a decent employee for a minimum wage.
[00:07:38.900 --> 00:07:44.600]   When I hire immigrant, non-skilled laborers here locally where I live in South Florida,
[00:07:44.600 --> 00:07:50.520]   the going rate right now is $12 an hour or $11 an hour if you're hiring at 11 a.m.
[00:07:50.520 --> 00:07:56.160]   But very rarely will an unskilled immigrant laborer work for less than $12 an hour where
[00:07:56.160 --> 00:07:57.720]   I live.
[00:07:57.720 --> 00:08:01.760]   $7.25 an hour if you work a 40-hour workweek.
[00:08:01.760 --> 00:08:03.880]   And at this level, you need to work 52 weeks per year.
[00:08:03.880 --> 00:08:06.240]   You probably need to do a lot more than 40 hours a week.
[00:08:06.240 --> 00:08:12.900]   But your gross wage on a minimum wage job would be $15,000 per year.
[00:08:12.900 --> 00:08:18.280]   So minimum wage, $7.25 an hour is $15,000 per year.
[00:08:18.280 --> 00:08:25.200]   Now at this particular level of income, you would pay $0 in taxes.
[00:08:25.200 --> 00:08:27.840]   Now of course you do have employment taxes.
[00:08:27.840 --> 00:08:32.000]   Remember that when you are working in a job in the United States of America, you pay employment
[00:08:32.000 --> 00:08:33.000]   taxes.
[00:08:33.000 --> 00:08:42.880]   The employee share of the employment taxes is 7.65% or $1,150 per year of that $15,000
[00:08:42.880 --> 00:08:44.120]   income.
[00:08:44.120 --> 00:08:47.960]   But at this level of income, you pay no federal income taxes.
[00:08:47.960 --> 00:08:53.300]   And I'm going to ignore the employment tax cost because that employment tax cost would
[00:08:53.300 --> 00:08:58.040]   be offset by other extant tax credits such as the earned income tax credit or perhaps
[00:08:58.040 --> 00:09:00.840]   various welfare benefits that you would be eligible for.
[00:09:00.840 --> 00:09:05.080]   So let's assume that you pay $0 in taxes.
[00:09:05.080 --> 00:09:10.240]   On a $15,000 budget, if your ambition is to give away 10% of your income, that means that
[00:09:10.240 --> 00:09:17.200]   you can give $1,500 per year to others who are in need.
[00:09:17.200 --> 00:09:24.340]   If your ambition is to save 10% of your income, on a $15,000 budget, you can save $1,500 per
[00:09:24.340 --> 00:09:26.120]   year.
[00:09:26.120 --> 00:09:30.140]   Between your giving and your saving, you've now allocated $3,000 of your budget and you
[00:09:30.140 --> 00:09:39.340]   are left with $12,000 per year, $1,000 per month to use to arrange your living expenses.
[00:09:39.340 --> 00:09:45.060]   Now if that budget, we take 30% of that budget and we allocate it towards housing, that means
[00:09:45.060 --> 00:09:52.040]   you can afford a $300 a month house or housing arrangement.
[00:09:52.040 --> 00:09:57.580]   If 10% of your income, which is a normal number, is dedicated towards utilities, you have $100
[00:09:57.580 --> 00:10:04.440]   a month available for utilities, water, electricity, phone, internet.
[00:10:04.440 --> 00:10:10.180]   If you allocate 15% of your budget toward transportation, that leaves you with $150
[00:10:10.180 --> 00:10:14.500]   per month for transportation.
[00:10:14.500 --> 00:10:19.460]   Car payment, gas, insurance, etc.
[00:10:19.460 --> 00:10:25.780]   If you allocate 15% of your income for food, you have $150 per month available for your
[00:10:25.780 --> 00:10:26.780]   food.
[00:10:26.780 --> 00:10:32.820]   5% of your budget allocated towards health and medical expenses, that leaves you with
[00:10:32.820 --> 00:10:34.940]   $50 per month.
[00:10:34.940 --> 00:10:39.820]   If you set a 5% entertainment budget, you have $50 per month, which leaves you with
[00:10:39.820 --> 00:10:45.580]   20% of your budget available for miscellaneous expenses, about $200 per month.
[00:10:45.580 --> 00:10:53.780]   Friends, that's doable for a single person who's very flexible or for a young person
[00:10:53.780 --> 00:10:58.260]   or an old person who has a strong family support network.
[00:10:58.260 --> 00:11:06.100]   It's not really doable for anybody else.
[00:11:06.100 --> 00:11:12.220]   My scorecard for this particular level of income is your giving potential is limited.
[00:11:12.220 --> 00:11:16.780]   If you give $1,500 per year over the course of a 40-year career, you'll be able to give
[00:11:16.780 --> 00:11:19.060]   away about $60,000.
[00:11:19.060 --> 00:11:22.340]   That's good, but I call that limited.
[00:11:22.340 --> 00:11:26.820]   Your wealth building potential, it's tough to build wealth.
[00:11:26.820 --> 00:11:32.400]   Doable but tough, and the potential is very limited.
[00:11:32.400 --> 00:11:37.520]   If you're investing $1,500 per year for 40 years at a 5% rate of return, you'll wind
[00:11:37.520 --> 00:11:43.860]   up with about $181,000 portfolio at the end of 40 years.
[00:11:43.860 --> 00:11:47.500]   It's not bad, but it certainly is limited.
[00:11:47.500 --> 00:11:52.460]   Your lifestyle potential on a minimum wage job is very limited.
[00:11:52.460 --> 00:11:58.680]   Again, it may be possible to support an individual, especially a very skilled individual who is
[00:11:58.680 --> 00:12:01.960]   very good at living on the fringes of society.
[00:12:01.960 --> 00:12:08.780]   But it's not possible to support a family on a minimum wage job.
[00:12:08.780 --> 00:12:12.580]   If you are unemployed, your first goal should be to become employed.
[00:12:12.580 --> 00:12:17.460]   You will become employed at a minimum wage level at the very least.
[00:12:17.460 --> 00:12:23.860]   But if you are working a minimum wage job, your first goal should be to stop working
[00:12:23.860 --> 00:12:31.440]   a minimum wage job and to start making more because it's limited.
[00:12:31.440 --> 00:12:35.460]   You're limited in your ability to give, you're limited in your ability to build wealth, and
[00:12:35.460 --> 00:12:40.940]   your lifestyle potential is very limited.
[00:12:40.940 --> 00:12:47.540]   Your target should be to move from a minimum wage job to a median wage job.
[00:12:47.540 --> 00:12:55.940]   Now, of course, the median, that term means that 50% of households earn more than that
[00:12:55.940 --> 00:12:58.960]   and 50% of households earn less than that.
[00:12:58.960 --> 00:13:03.920]   So when looking at something like income, the median wages or the median lifestyle is
[00:13:03.920 --> 00:13:05.260]   a very useful metric.
[00:13:05.260 --> 00:13:12.060]   It's more useful than the mean or average income or average level of expenses.
[00:13:12.060 --> 00:13:19.720]   In the United States of America in 2016, the US median wage was $59,039.
[00:13:19.720 --> 00:13:23.900]   You'll forgive me if I just call it $59,000 here among friends.
[00:13:23.900 --> 00:13:28.880]   At this level of income, your annual taxes would be about $9,000.
[00:13:28.880 --> 00:13:35.700]   You would have about $4,500 of employment taxes and about $4,500 of income taxes on
[00:13:35.700 --> 00:13:38.560]   a $59,000 per year job.
[00:13:38.560 --> 00:13:43.720]   That leaves you with $50,000 after taxes.
[00:13:43.720 --> 00:13:48.040]   Assume that you establish a 10% giving budget, that leaves you with the ability to give away
[00:13:48.040 --> 00:13:51.000]   $5,000 per year.
[00:13:51.000 --> 00:13:57.200]   You establish a 10% savings budget, that leaves you with the ability to save $5,000 per year.
[00:13:57.200 --> 00:14:01.880]   The remainder, $40,000 per year, is going to be allocated toward expenses.
[00:14:01.880 --> 00:14:08.640]   Well, 30% of that $40,000 for housing leaves you with a housing budget of $1,000 a month.
[00:14:08.640 --> 00:14:14.840]   10% toward utilities leaves you with a utilities budget of $330 per month.
[00:14:14.840 --> 00:14:21.280]   15% of your budget for transportation leaves you with $500 per month for transportation.
[00:14:21.280 --> 00:14:25.640]   15% for food leaves you with $500 a month for food.
[00:14:25.640 --> 00:14:29.560]   5% for health and medical is $160 a month.
[00:14:29.560 --> 00:14:32.800]   5% for entertainment, $160 per month.
[00:14:32.800 --> 00:14:39.120]   And you have an additional 20% slush fund for miscellaneous expenses of $650 per month.
[00:14:39.120 --> 00:14:44.360]   Now think about those numbers, $1,000 a month for housing.
[00:14:44.360 --> 00:14:52.640]   In your area, you should be able to find a reasonable place to live that's safe and dry
[00:14:52.640 --> 00:14:55.080]   for $1,000 a month.
[00:14:55.080 --> 00:14:57.080]   $330 a month for utilities.
[00:14:57.080 --> 00:15:03.000]   In your area, you should be able to find a way to pay for electricity and water and internet
[00:15:03.000 --> 00:15:09.160]   or phone, cell phone, home phone, et cetera, for $330 a month.
[00:15:09.160 --> 00:15:15.600]   $500 a month for transportation, you should be able to arrange the purchase of a vehicle,
[00:15:15.600 --> 00:15:19.240]   insurance and fuel costs on $500 a month.
[00:15:19.240 --> 00:15:24.400]   $500 a month on food, you should be able to feed yourself and your family on $500 a month
[00:15:24.400 --> 00:15:25.800]   of food.
[00:15:25.800 --> 00:15:32.600]   Health and medical, $160 a month for dental expenses, vitamin supplements, gym, et cetera,
[00:15:32.600 --> 00:15:33.600]   doable.
[00:15:33.600 --> 00:15:35.760]   Entertainment, $160 a month, adequate.
[00:15:35.760 --> 00:15:40.760]   Gives you $2,000 a year to spend on a family vacation or various entertainment options
[00:15:40.760 --> 00:15:41.760]   if that's what you want to do.
[00:15:41.760 --> 00:15:47.640]   And an additional $8,000 per year or $650 a month for miscellaneous expenses.
[00:15:47.640 --> 00:15:51.040]   Here's how I rate this particular level of income.
[00:15:51.040 --> 00:15:52.560]   Giving potential is effective.
[00:15:52.560 --> 00:15:57.640]   If you give away $5,000 per year for 40 years, you'll give away $200,000.
[00:15:57.640 --> 00:16:00.280]   Wealth building potential, I call that moderate.
[00:16:00.280 --> 00:16:06.280]   If you invest $5,000 per year for 40 years at a 5% mean rate of return, you'll wind
[00:16:06.280 --> 00:16:10.560]   up with $600,000 in your portfolio after 40 years.
[00:16:10.560 --> 00:16:13.160]   Lifestyle potential, I call it adequate.
[00:16:13.160 --> 00:16:17.560]   It's possible to support a family at this particular level of income.
[00:16:17.560 --> 00:16:23.960]   And with wise spending choices, I believe you could live in reasonable comfort.
[00:16:23.960 --> 00:16:28.920]   Wouldn't call it luxury, but I would call it reasonable comfort.
[00:16:28.920 --> 00:16:36.380]   The more skillful you are in allocating money and in managing expenses, the better.
[00:16:36.380 --> 00:16:40.000]   But lifestyle potential here is adequate.
[00:16:40.000 --> 00:16:48.680]   So if you are on a minimum wage job, you should target moving to a median wage job.
[00:16:48.680 --> 00:16:53.320]   Now your next target is to move to the top 20% of income earners.
[00:16:53.320 --> 00:16:59.160]   I'm convinced that every one of you listening to this show can move into the top 20% of
[00:16:59.160 --> 00:17:00.160]   income earners.
[00:17:00.160 --> 00:17:05.480]   I don't believe that everybody in society can move into the top 20% of income earners
[00:17:05.480 --> 00:17:11.240]   because obviously, mathematically, if everyone in society moved, it just wouldn't work.
[00:17:11.240 --> 00:17:16.060]   But more importantly is not everybody in society has adequate cognitive ability.
[00:17:16.060 --> 00:17:18.280]   Not everyone has adequate skills.
[00:17:18.280 --> 00:17:23.200]   Not everyone has just adequate physical ability to actually produce enough value to move into
[00:17:23.200 --> 00:17:26.360]   the top 20% of income.
[00:17:26.360 --> 00:17:32.120]   But I speak at a very high level, at the very least college if not master's degree level
[00:17:32.120 --> 00:17:36.840]   with my vocabulary, the concepts, the way that I speak, et cetera.
[00:17:36.840 --> 00:17:41.200]   And so if you're listening to my voice now and if you're understanding what I'm saying,
[00:17:41.200 --> 00:17:47.960]   if you're grasping at least the basis of these concepts, you have sufficient cognitive ability
[00:17:47.960 --> 00:17:59.080]   and sufficient motivation and sufficient vocabulary, sufficient practical tools to move into the
[00:17:59.080 --> 00:18:02.560]   top 20% of income earners.
[00:18:02.560 --> 00:18:10.400]   In the United States, if you look at the total level of income, according to the 2016 reports
[00:18:10.400 --> 00:18:20.920]   from census.gov, the 80th percentile limit of income is $121,018.
[00:18:20.920 --> 00:18:29.920]   So if you want to move into the top 20% of income, you should target $121,000 per year
[00:18:29.920 --> 00:18:33.720]   as your annual income.
[00:18:33.720 --> 00:18:37.360]   Now why is this important?
[00:18:37.360 --> 00:18:44.920]   Because the top 20% of income earners earn 80% of the money.
[00:18:44.920 --> 00:18:51.160]   Most things in life seem to be distributed according to a Pareto distribution, 20/80.
[00:18:51.160 --> 00:18:59.480]   So the top 20% of income earners actually earn 80% of the money available.
[00:18:59.480 --> 00:19:07.400]   Whereas the bottom 80% of income earners earn only 20% of the money available.
[00:19:07.400 --> 00:19:13.200]   Picture flows of revenue and income like a giant river.
[00:19:13.200 --> 00:19:17.660]   There are some people that go into that river with a little tiny teaspoon.
[00:19:17.660 --> 00:19:20.600]   There are some people that take a bucket.
[00:19:20.600 --> 00:19:24.800]   And there are some people that build a pipeline.
[00:19:24.800 --> 00:19:30.120]   I think you could imagine that if there are some people with a teaspoon and some people
[00:19:30.120 --> 00:19:37.360]   with a pipeline taking water out of that river, now you can see why 20% of the income earners
[00:19:37.360 --> 00:19:41.840]   earn 80% of the income.
[00:19:41.840 --> 00:19:48.040]   Now the cool thing about it is nobody has to take a teaspoon.
[00:19:48.040 --> 00:19:51.440]   Nobody has to take a pipeline.
[00:19:51.440 --> 00:19:55.160]   Some people come to the river with their teaspoon, they dip out a little bit of water, they put
[00:19:55.160 --> 00:19:57.920]   it in their mouth and they go away.
[00:19:57.920 --> 00:20:00.800]   Some people come to the river with a teaspoon, they dip out a little water, they fill their
[00:20:00.800 --> 00:20:03.000]   mouth and they start filling up buckets.
[00:20:03.000 --> 00:20:05.600]   And they take those buckets, they sell it to other people that didn't want to walk to
[00:20:05.600 --> 00:20:07.640]   the river with their teaspoon.
[00:20:07.640 --> 00:20:10.560]   They make a profit, they come back and they put more money in the buckets, they keep selling
[00:20:10.560 --> 00:20:11.960]   the buckets to other people.
[00:20:11.960 --> 00:20:14.240]   Then when they have enough money, they build a pipeline.
[00:20:14.240 --> 00:20:16.800]   That's how money works.
[00:20:16.800 --> 00:20:20.740]   The cool thing about it is those options are available to you.
[00:20:20.740 --> 00:20:23.000]   But you got to start that process.
[00:20:23.000 --> 00:20:26.880]   You take your teaspoon to the river, you slake your thirst, that's what we've talked about
[00:20:26.880 --> 00:20:32.340]   with minimum wage jobs, and you start tucking away water to sell to other people.
[00:20:32.340 --> 00:20:34.340]   You rent out your money.
[00:20:34.340 --> 00:20:35.820]   That's called investing.
[00:20:35.820 --> 00:20:39.760]   You rent out your money to other people who want to use that money.
[00:20:39.760 --> 00:20:41.120]   That's how you build wealth.
[00:20:41.120 --> 00:20:44.560]   You develop your skills, you invest in your own tools.
[00:20:44.560 --> 00:20:48.440]   You take your teaspoon, you rent somebody else's bucket, you fill it with water, you
[00:20:48.440 --> 00:20:50.600]   take that bucket and you sell it to them.
[00:20:50.600 --> 00:20:53.760]   Then you buy a teaspoon from somebody else, so you have two teaspoons now, so you can
[00:20:53.760 --> 00:20:56.000]   fill your bucket twice as fast.
[00:20:56.000 --> 00:20:59.200]   Then you sell that bucket and you come back and you buy a little cup.
[00:20:59.200 --> 00:21:02.520]   You take the cup and you put it into the bucket and you sell your bucket now about five times
[00:21:02.520 --> 00:21:03.700]   as fast.
[00:21:03.700 --> 00:21:05.840]   That's how money works.
[00:21:05.840 --> 00:21:08.880]   That's how wealth building works.
[00:21:08.880 --> 00:21:14.520]   You take what you have, your physical ability to dip water out of the river, you take whatever
[00:21:14.520 --> 00:21:19.120]   tools are at your disposal and you figure out how to use those tools to sell to other
[00:21:19.120 --> 00:21:24.160]   people, sell the product to other people who are either too lazy or too rich to go and
[00:21:24.160 --> 00:21:27.320]   get their own water.
[00:21:27.320 --> 00:21:32.080]   And then in time, you expand your capacity and your capability.
[00:21:32.080 --> 00:21:37.800]   So you, because you are listening to this, you've already demonstrated sufficient motivation,
[00:21:37.800 --> 00:21:43.760]   sufficient cognitive ability to move from the bottom 80% of income earners to the top
[00:21:43.760 --> 00:21:47.360]   20% of income earners in time.
[00:21:47.360 --> 00:21:50.860]   It takes time to fill a bucket with a teaspoon.
[00:21:50.860 --> 00:21:54.600]   It takes time to go and sell that water.
[00:21:54.600 --> 00:21:56.960]   Takes time to fill a bucket with a cup.
[00:21:56.960 --> 00:21:59.360]   Takes time to sell that water.
[00:21:59.360 --> 00:22:03.660]   It takes time to fill a bucket with a hose and sell that water.
[00:22:03.660 --> 00:22:07.920]   It takes time to buy more buckets, takes time to buy a truck, and it takes time and money
[00:22:07.920 --> 00:22:11.460]   to build a pipeline.
[00:22:11.460 --> 00:22:14.100]   But it's doable.
[00:22:14.100 --> 00:22:16.940]   Top 20% of income, $121,000 per year.
[00:22:16.940 --> 00:22:21.960]   At this level of earnings, your taxes would be about $21,000 per year.
[00:22:21.960 --> 00:22:26.320]   Of course, you would have $9,000 of employment taxes.
[00:22:26.320 --> 00:22:31.080]   Here we're still near the Social Security wage base, so still about 7.65% for employment
[00:22:31.080 --> 00:22:32.680]   taxes.
[00:22:32.680 --> 00:22:37.360]   And your income taxes, if we assume that you save about $10,000 in an IRA or qualified
[00:22:37.360 --> 00:22:42.520]   plan, a loose estimate of your income taxes here would be about $12,000 per year.
[00:22:42.520 --> 00:22:48.920]   So on $121,000 income, you're going to pay $21,000 in taxes.
[00:22:48.920 --> 00:22:52.240]   You set aside 10% of your income for giving to others who are in need.
[00:22:52.240 --> 00:22:55.000]   That's $10,000 per year.
[00:22:55.000 --> 00:22:56.940]   You save 10% of your income.
[00:22:56.940 --> 00:22:59.600]   That's $10,000 per year.
[00:22:59.600 --> 00:23:02.960]   The remaining 80% of your income is allocated towards expenses.
[00:23:02.960 --> 00:23:05.760]   That gives you a budget of $80,000 per year.
[00:23:05.760 --> 00:23:11.280]   30% of that goes to housing, $2,000 a month.
[00:23:11.280 --> 00:23:15.920]   As I go through these numbers, think about your area and what's available in your area.
[00:23:15.920 --> 00:23:20.120]   What kind of house can you rent for $2,000 per month?
[00:23:20.120 --> 00:23:24.480]   10% goes towards utilities, $650 per month.
[00:23:24.480 --> 00:23:29.520]   Is that adequate for the utilities in your area for a $2,000 a month house?
[00:23:29.520 --> 00:23:32.080]   15% goes to transportation.
[00:23:32.080 --> 00:23:40.480]   That gives you a budget of $1,000 a month between cars, car payment, insurance, gas,
[00:23:40.480 --> 00:23:42.360]   et cetera.
[00:23:42.360 --> 00:23:44.500]   15% is allocated towards food.
[00:23:44.500 --> 00:23:47.180]   That gives you a food budget of $1,000 a month.
[00:23:47.180 --> 00:23:51.440]   You're starting to move out of basic and into luxury.
[00:23:51.440 --> 00:23:53.880]   You can afford the fancier cuts of meat.
[00:23:53.880 --> 00:23:57.060]   You can afford more organic produce.
[00:23:57.060 --> 00:24:02.120]   You can afford a little bit more eating out, a fine restaurant from that time to time.
[00:24:02.120 --> 00:24:05.820]   Health and medical at 5%, that's $330 a month.
[00:24:05.820 --> 00:24:08.720]   You can afford some better nutritional supplements.
[00:24:08.720 --> 00:24:12.860]   You can afford a higher quality medical practitioner.
[00:24:12.860 --> 00:24:16.880]   You can afford to be on the chiropractor's normal monthly plan.
[00:24:16.880 --> 00:24:19.280]   5% is allocated towards entertainment.
[00:24:19.280 --> 00:24:25.200]   That gives you a budget of $4,000 per year or $330 per month.
[00:24:25.200 --> 00:24:29.120]   We still have a 20% miscellaneous expense slush fund.
[00:24:29.120 --> 00:24:33.000]   Comes out to about $1,300 per month.
