
[00:00:00.040 --> 00:00:09.580]   caregiver
[00:09:13.760 --> 00:09:13.760]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:13.760 --> 00:09:13.760]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:13.760 --> 00:09:13.760]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:13.760 --> 00:09:13.760]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:13.760 --> 00:09:13.760]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:13.760 --> 00:09:13.760]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:13.760 --> 00:09:13.760]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:13.760 --> 00:09:13.760]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:13.760 --> 00:09:13.760]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:13.760 --> 00:09:13.760]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:13.760 --> 00:09:13.760]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:13.800 --> 00:09:43.780]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:43.780 --> 00:09:43.780]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:43.780 --> 00:09:43.780]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:43.780 --> 00:09:43.780]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:43.780 --> 00:09:43.780]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:43.780 --> 00:09:43.780]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:43.780 --> 00:09:43.780]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:09:43.800 --> 00:10:13.800]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:10:13.800 --> 00:10:13.800]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:10:13.800 --> 00:10:13.800]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:10:13.800 --> 00:10:13.800]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:10:13.800 --> 00:10:13.800]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:10:13.800 --> 00:10:13.800]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:10:13.800 --> 00:10:13.800]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:10:13.800 --> 00:10:13.800]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:10:13.800 --> 00:10:13.800]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:10:13.800 --> 00:10:13.800]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:10:13.800 --> 00:10:13.800]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:10:13.800 --> 00:10:13.800]   I haven't seen or noticed any public statements by this raft of Democratic candidates
[00:10:13.840 --> 00:10:25.280]   feels
[00:10:43.080 --> 00:10:49.580]   you can avoid the you can avoid owing any income tax.
[00:10:49.580 --> 00:10:51.340]   So David Gross is self-employed.
[00:10:51.340 --> 00:10:52.180]   He runs a business.
[00:10:52.180 --> 00:10:55.100]   And so of course in a business you have your gross income.
[00:10:55.100 --> 00:10:57.640]   Let's say that you earn $50,000 of gross income.
[00:10:57.640 --> 00:10:59.680]   Funny gross income.
[00:10:59.680 --> 00:11:00.680]   David Gross.
[00:11:00.680 --> 00:11:03.340]   You have $50,000 of gross income.
[00:11:03.340 --> 00:11:09.020]   Then you additionally have some level of business expenses.
[00:11:09.020 --> 00:11:12.580]   Let's say that you have $10,000 of business expenses
[00:11:12.580 --> 00:11:13.080]   that are associated with the business.
[00:11:13.080 --> 00:11:13.080]   You have $10,000 of business expenses.
[00:11:13.080 --> 00:11:13.080]   So you have $50,000 of business expenses.
[00:11:13.080 --> 00:11:13.080]   So you have $50,000 of business expenses.
[00:11:13.080 --> 00:11:13.080]   Then you additionally have some level of business expenses.
[00:11:13.080 --> 00:11:13.080]   Then you additionally have some level of business expenses.
[00:11:13.080 --> 00:11:13.080]   Let's say that you have $10,000 of business expenses.
[00:11:13.080 --> 00:11:13.080]   Let's say that you have $10,000 of business expenses.
[00:11:13.880 --> 00:11:43.100]   Let's say that you have $10,000 of business expenses.
[00:11:43.100 --> 00:11:43.100]   Let's say that you have $10,000 of business expenses.
[00:11:43.100 --> 00:11:43.100]   Let's say that you have $10,000 of business expenses.
[00:11:43.100 --> 00:11:43.100]   Let's say that you have $10,000 of business expenses.
[00:11:43.100 --> 00:11:43.100]   Let's say that you have $10,000 of business expenses.
[00:11:43.100 --> 00:11:43.100]   Let's say that you have $10,000 of business expenses.
[00:11:43.100 --> 00:11:43.100]   Let's say that you have $10,000 of business expenses.
[00:11:43.120 --> 00:12:13.120]   Let's say that you have $10,000 of business expenses.
[00:12:13.120 --> 00:12:13.120]   You could, in that situation,
[00:12:13.120 --> 00:12:13.120]   You could, in that situation,
[00:12:13.120 --> 00:12:13.120]   You could, in that situation,
[00:12:13.120 --> 00:12:13.120]   You could effectively earn $40,000 of net profit
[00:12:13.120 --> 00:12:13.120]   You could effectively earn $40,000 of net profit
[00:12:13.120 --> 00:12:13.120]   You could effectively earn $40,000 of net profit from your business and not pay any income taxes illegally using those means. You haven't broken any law. You haven't run the risk of going to prison. You haven't done anything except use the law that exists, but yet lower your earned income. That type of strategy is the type of strategy, I think, is usually the first place, especially that Christians would go. Because if you're seeking to balance
[00:12:13.120 --> 00:12:13.120]   and you're seeking to balance
[00:12:13.120 --> 00:12:13.120]   You could, in that situation, you could effectively earn $40,000 of business expenses.
[00:12:13.140 --> 00:12:43.140]   I think that's the first place that you could go.
[00:12:43.140 --> 00:12:43.140]   I think that's the first place that you could go.
[00:12:43.140 --> 00:12:43.140]   I think that's the first place that you could go.
[00:12:43.140 --> 00:12:43.140]   I think that's the first place that you could go.
[00:12:43.140 --> 00:12:43.140]   I think that's the first place that you could go.
[00:12:43.140 --> 00:12:43.140]   I think that's the first place that you could go.
[00:12:43.140 --> 00:12:43.140]   I think that's the first place that you could go.
[00:12:43.140 --> 00:12:43.140]   I think that's the first place that you could go.
[00:12:43.140 --> 00:12:43.140]   I think that's the first place that you could go.
[00:12:43.140 --> 00:12:43.140]   I think that's the first place that you could go. I think that's the first place that you could go.
[00:12:43.140 --> 00:13:13.160]   I think that's the first place that you could go.
[00:13:13.160 --> 00:13:13.160]   I think that's the first place that you could go.
[00:13:13.160 --> 00:13:13.160]   I think that's the first place that you could go.
[00:13:13.160 --> 00:13:13.160]   I think that's the first place that you could go.
[00:13:13.160 --> 00:13:13.160]   I think that's the first place that you could go.
[00:13:13.160 --> 00:13:13.160]   I think that's the first place that you could go.
[00:13:13.160 --> 00:13:13.160]   I think that's the first place that you could go.
[00:13:13.160 --> 00:13:13.160]   I think that's the first place that you could go.
[00:13:13.160 --> 00:13:13.160]   I think that's the first place that you could go.
[00:13:13.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:13:43.180]   I think that's the first place that you could go.
[00:13:43.180 --> 00:14:13.200]   I think that's the first place that you could go.
[00:14:13.200 --> 00:14:13.200]   I think that's the first place that you could go.
[00:14:13.200 --> 00:14:13.200]   I think that's the first place that you could go.
[00:14:13.200 --> 00:14:13.200]   I think that's the first place that you could go.
[00:14:13.200 --> 00:14:13.200]   I think that's the first place that you could go.
[00:14:13.200 --> 00:14:13.200]   I think that's the first place that you could go.
[00:14:13.200 --> 00:14:13.200]   I think that's the first place that you could go.
[00:14:13.200 --> 00:14:13.200]   I think that's the first place that you could go.
[00:14:13.200 --> 00:14:13.200]   I think that's the first place that you could go.
[00:14:13.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:14:43.220]   I think that's the first place that you could go.
[00:14:43.220 --> 00:15:13.240]   I think that's the first place that you could go.
[00:15:13.240 --> 00:15:13.240]   I think that's the first place that you could go.
[00:15:13.240 --> 00:15:13.240]   I think that's the first place that you could go.
[00:15:13.240 --> 00:15:13.240]   I think that's the first place that you could go.
[00:15:13.240 --> 00:15:13.240]   I think that's the first place that you could go.
[00:15:13.240 --> 00:15:13.240]   I think that's the first place that you could go.
[00:15:13.240 --> 00:15:13.240]   I think that's the first place that you could go.
[00:15:13.240 --> 00:15:13.240]   I think that's the first place that you could go.
[00:15:13.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:15:43.260]   I think that's the first place that you could go.
[00:15:43.260 --> 00:16:13.280]   I think that's the first place that you could go.
[00:16:13.280 --> 00:16:13.280]   I think that's the first place that you could go.
[00:16:13.280 --> 00:16:13.280]   I think that's the first place that you could go.
[00:16:13.280 --> 00:16:13.280]   I think that's the first place that you could go.
[00:16:13.280 --> 00:16:13.280]   I think that's the first place that you could go.
[00:16:13.280 --> 00:16:13.280]   I think that's the first place that you could go.
[00:16:13.280 --> 00:16:13.280]   I think that's the first place that you could go.
[00:16:13.280 --> 00:16:13.280]   I think that's the first place that you could go.
[00:16:13.280 --> 00:16:13.280]   I think that's the first place that you could go.
[00:16:13.280 --> 00:16:13.280]   I think that's the first place that you could go.
[00:16:13.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:16:43.300]   I think that's the first place that you could go.
[00:16:43.300 --> 00:17:13.320]   I think that's the first place that you could go.
[00:17:13.320 --> 00:17:13.320]   I think that's the first place that you could go.
[00:17:13.320 --> 00:17:13.320]   I think that's the first place that you could go.
[00:17:13.320 --> 00:17:13.320]   I think that's the first place that you could go.
[00:17:13.320 --> 00:17:13.320]   I think that's the first place that you could go.
[00:17:13.320 --> 00:17:13.320]   I think that's the first place that you could go.
[00:17:13.320 --> 00:17:13.320]   I think that's the first place that you could go.
[00:17:13.320 --> 00:17:13.320]   I think that's the first place that you could go.
[00:17:13.320 --> 00:17:13.320]   I think that's the first place that you could go.
[00:17:13.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:17:43.340]   I think that's the first place that you could go.
[00:17:43.340 --> 00:18:13.360]   I think that's the first place that you could go.
[00:18:13.360 --> 00:18:13.360]   I think that's the first place that you could go.
[00:18:13.360 --> 00:18:13.360]   I think that's the first place that you could go.
[00:18:13.360 --> 00:18:13.360]   I think that's the first place that you could go.
[00:18:13.360 --> 00:18:13.360]   I think that's the first place that you could go.
[00:18:13.360 --> 00:18:13.360]   I think that's the first place that you could go.
[00:18:13.360 --> 00:18:13.360]   I think that's the first place that you could go.
[00:18:13.360 --> 00:18:13.360]   I think that's the first place that you could go.
[00:18:13.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:18:43.380]   I think that's the first place that you could go.
[00:18:43.380 --> 00:19:13.400]   I think that's the first place that you could go.
[00:19:13.400 --> 00:19:13.400]   I think that's the first place that you could go.
[00:19:13.400 --> 00:19:13.400]   I think that's the first place that you could go.
[00:19:13.400 --> 00:19:13.400]   I think that's the first place that you could go.
[00:19:13.400 --> 00:19:13.400]   I think that's the first place that you could go.
[00:19:13.400 --> 00:19:13.400]   I think that's the first place that you could go.
[00:19:13.400 --> 00:19:13.400]   I think that's the first place that you could go.
[00:19:13.400 --> 00:19:13.400]   I think that's the first place that you could go.
[00:19:13.400 --> 00:19:13.400]   I think that's the first place that you could go.
[00:19:13.400 --> 00:19:13.400]   I think that's the first place that you could go.
[00:19:13.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:19:43.420]   I think that's the first place that you could go.
[00:19:43.420 --> 00:20:13.440]   I think that's the first place that you could go.
[00:20:13.440 --> 00:20:13.440]   I think that's the first place that you could go.
[00:20:13.440 --> 00:20:13.440]   I think that's the first place that you could go.
[00:20:13.440 --> 00:20:13.440]   I think that's the first place that you could go.
[00:20:13.440 --> 00:20:13.440]   I think that's the first place that you could go.
[00:20:13.440 --> 00:20:13.440]   I think that's the first place that you could go.
[00:20:13.440 --> 00:20:13.440]   I think that's the first place that you could go.
[00:20:13.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
[00:20:43.460 --> 00:20:43.460]   I think that's the first place that you could go.
