
[00:00:00.000 --> 00:00:22.720]   For a show of hands, how many people in this audience know who Circle is, what we do?
[00:10:05.140 --> 00:10:18.140]   And then they connect their bank account to our circle mint platform and they wire their fiat to our reserve bank account.
[00:10:18.140 --> 00:10:30.140]   After that, that fiat settles as USD in our bank account, then we mint the corresponding amount of USDC and credit their circle mint account.
[00:10:30.140 --> 00:10:35.140]   And so that is how USDC gets issued in the ecosystem.
[00:10:35.140 --> 00:10:40.140]   Now, the reverse process happens when the business wants to get out of USDC.
[00:10:40.140 --> 00:10:41.140]   They can redeem.
[00:10:41.140 --> 00:10:49.140]   And there is a one to one with every USDC minted to a US dollar.
[00:10:49.140 --> 00:10:53.140]   So when they want to get out, they get that one to one parity.
[00:10:53.140 --> 00:10:58.140]   And so that is the trust and transparency that we provide to our customers.
[00:10:58.140 --> 00:11:02.140]   We also do a little bit of extra things.
[00:11:02.140 --> 00:11:08.140]   And you can go on our website, but we have a USDC transparency page where you can go and see our monthly attestations.
[00:11:08.140 --> 00:11:28.140]   And we have various auditors that are independent of the company that continue to audit and make sure that we are fully reserved and we, you know, make sure we ensure the trust and transparency around the actual issuance of a digital represent representation of the dollar on chain.
[00:11:28.140 --> 00:11:40.140]   So now we're going to jump into the USDC smart contract and really dive into like what makes this programmable?
[00:11:40.140 --> 00:11:41.140]   How does it work?
[00:11:41.140 --> 00:11:54.140]   So one thing is we have, you know, very strict implementation requirements before we deploy USDC on a different blockchain network.
[00:11:54.140 --> 00:12:08.140]   And so here are the things that we want to make sure that we can incorporate in the token contract before deploying it on a blockchain network, just to make sure we have standardization across the board.
[00:12:08.140 --> 00:12:30.140]   You know, as we expand to different blockchain ecosystems, but also to make sure that there are safeties provisions that we have built into this actual smart contract for businesses and individuals to be able to trust and use our technology as a protocol for money movement globally.
[00:12:30.140 --> 00:12:39.140]   And so here are some of the things I'll jump into and provide a little bit more clarity around the implementation requirements.
[00:12:39.140 --> 00:12:43.140]   But the first is allow lists and block lists.
[00:12:43.140 --> 00:12:51.140]   And so this enables us to basically protect, you know, people who use our token contract from bad actors.
[00:12:51.140 --> 00:13:06.140]   And so if we know someone's on a sanction list, you know, and they're malicious actor, we have the ability to actually stop them from transacting and protect other users from transacting with that actual user.
[00:13:06.140 --> 00:13:10.140]   And so it's built in for it for safety for businesses.
[00:13:10.140 --> 00:13:15.140]   And then we have spend on behalf.
[00:13:15.140 --> 00:13:33.140]   And so that's a feature where, you know, say if you're a business and you wanted to create a financial workflow where you wanted to enable, you know, somebody to spend a certain amount of money from a wallet balance and give them a cap on that on a daily basis.
[00:13:33.140 --> 00:13:45.140]   There is functionality built into it where you can delegate for a user to be able to spend a certain amount of money from an actual wallet balance using USDC stuff.
[00:13:45.140 --> 00:13:46.140]   Yeah.
[00:13:46.140 --> 00:13:52.140]   Like a corporate business card.
[00:13:52.140 --> 00:14:12.140]   So say if you have some virtual debit cards that you're issuing to your actual employees and the actual debit card is powered by USDC balance in a wallet, you could design basically a workflow where you could put thresholds on how much they could spend from that corporate card.
[00:14:12.140 --> 00:14:19.140]   Would you realistically be able to run that to like thousands, tens of thousands, hundreds of thousands, or would that not be the proper use case for that?
[00:14:19.140 --> 00:14:22.140]   No, no, no, you could scale it up.
[00:14:22.140 --> 00:14:23.140]   Yeah.
[00:14:23.140 --> 00:14:24.140]   Oops.
[00:14:24.140 --> 00:14:25.140]   Sorry.
[00:14:25.140 --> 00:14:33.140]   You could definitely scale that delegation of spending for that wallet address with a virtual debit card to tens of thousands.
[00:14:33.140 --> 00:14:34.140]   Yeah.
[00:14:34.140 --> 00:14:35.140]   Yeah.
[00:14:35.140 --> 00:14:36.140]   Yeah.
[00:14:36.140 --> 00:14:37.140]   Yeah.
[00:14:37.140 --> 00:14:39.140]   Another is mint or configuration.
[00:14:39.140 --> 00:14:48.140]   And so, you know, we have the ability to add, you know, other entities to be able to mint.
[00:14:48.140 --> 00:14:49.140]   From our token contract.
[00:14:49.140 --> 00:15:05.140]   This is something that we haven't done, but there could be a future where we could partner with financial institutions and they have a balance that they can mint from, from the actual token contract.
[00:15:05.140 --> 00:15:09.140]   And then multi-sig transactions.
[00:15:09.140 --> 00:15:23.140]   This is, this is for, you know, like if you're building some type of workflow where maybe you require the CEO, CFO, and COO to actually sign off on transactions that are above a certain threshold, you can design these type of transactional experiences to protect from, you know, a wallet being drained based off of like one person having total control of, you know, the transaction ability of that.
[00:15:23.140 --> 00:15:41.140]   And then, you know, cold storage support.
[00:15:41.140 --> 00:15:56.140]   A use case for this is where maybe you know that you're running payroll on a monthly basis using USDC for your employees, you know, the date and time that you were going to be sending money out, you know, the amount.
[00:15:56.140 --> 00:16:02.140]   You have the ability to put those transactions in a ready state that are offline.
[00:16:02.140 --> 00:16:05.140]   And so when that date and time comes, it's ready.
[00:16:05.140 --> 00:16:12.140]   The transaction object has already been approved and signed, and then you can just broadcast that to the actual blockchain network to send that off.
[00:16:12.140 --> 00:16:16.140]   So it allows you to kind of prepare transactions offline.
[00:16:16.140 --> 00:16:25.140]   Is that proof of funds transactions so that they can ensure that the money is there when the time comes?
[00:16:25.140 --> 00:16:27.140]   It could be designed for that.
[00:16:27.140 --> 00:16:41.140]   But it's more, it's more of you have a cadence of transactions that you know are going to happen on, you know, a biweekly or a monthly basis, and you want to make sure that that transaction is already ready to go.
[00:16:41.140 --> 00:16:48.140]   And in a state where it's already been signed and approved for, and then it can just be broadcasted at a later date.
[00:16:48.140 --> 00:16:51.140]   So it doesn't necessarily prevent it from bouncing?
[00:16:51.140 --> 00:16:53.140]   No, no, no.
[00:16:53.140 --> 00:16:54.140]   Yeah.
[00:16:54.140 --> 00:17:08.140]   And then since this is a new concept of money, and we're constantly, you know, thinking about ways of how we can enhance the actual protocol of money movement.
[00:17:08.140 --> 00:17:13.140]   There are times where we need to pause the contract for upgrading it.
[00:17:13.140 --> 00:17:22.140]   And so this hasn't been done much, but the most recent one was about two years ago, a year and a half to two years ago.
[00:17:22.140 --> 00:17:25.140]   And, you know, it's USDC version 2.2.
[00:17:25.140 --> 00:17:29.140]   And the main thing that we did was we made it more gas efficient.
[00:17:29.140 --> 00:17:37.140]   And so knowing that we want to make this technology scalable, we want to make sure that gas fees never become an issue.
[00:17:37.140 --> 00:17:49.140]   And so we were ready to design different functionality in the token contract to optimize for better gas performance across chains.
[00:17:49.140 --> 00:17:54.140]   And so now I'll jump into the contract functions of USDC.
[00:17:54.140 --> 00:18:06.140]   And so these are basically the functions, the core functions that a developer will plug into when commonly transacting with USDC.
[00:18:06.140 --> 00:18:13.140]   And you have balance of total supply allowance transfer transfer from and approve.
[00:18:13.140 --> 00:18:29.140]   And so these are these are, you know, functions that are built into the actual smart contract that powers USDC that you'll see actually later on when I do the demo that we'll be using to actually perform the actual escrow transaction.
[00:18:29.140 --> 00:18:38.140]   And so one of the most commonly used functions from this actual contract list is transfer from.
[00:18:38.140 --> 00:18:46.140]   And so in that argument, you see, you put the from address and the to address and then amount and you pass that.
[00:18:46.140 --> 00:18:53.140]   And then that gets broadcasted to the actual block blockchain network to be able to actually send that transaction.
[00:18:53.140 --> 00:19:02.140]   And you're you're telling it to send basically money from this account to that account and then the amount of USDC that you want to send.
[00:19:02.140 --> 00:19:14.140]   And so that that's the programmability that you get with USDC that that is not built into the digital representation of fiat in a database.
[00:19:14.140 --> 00:19:23.140]   And so that's where the magic allows you as developers in the room to create these very innovative experiences that were not available to us.
[00:19:23.140 --> 00:19:36.140]   And so, you know, USDC is, you know, it's kind of funny, but it's designed for agents basically how we've seen agents kind of proliferate over the last year or so.
[00:19:36.140 --> 00:19:43.140]   It seems like it's just the perfect currency for an agent to use to transact.
[00:19:43.140 --> 00:19:51.140]   And so some of the reasons why is, you know, when you get near instant settlement and built in verification of transactions.
[00:19:51.140 --> 00:19:54.140]   And so when an agent is transacting, it's not a human.
[00:19:54.140 --> 00:20:02.140]   And so one thing, you know, you want to do is you want to allow the agent to be able to to transact in those agents.
[00:20:02.140 --> 00:20:10.140]   If they're doing agent to agent payments, they want near instant settlement because these are robots transacting.
[00:20:10.140 --> 00:20:14.140]   Another thing is you don't want robots to have to deal with chargebacks.
[00:20:14.140 --> 00:20:22.140]   And so that could be a nightmare because when agents start transacting with each other, money is going to flow very fast.
[00:20:22.140 --> 00:20:31.140]   And so a chargeback could be a catastrophic risk to running agent to agent payments, you know, on reversible rails.
[00:20:31.140 --> 00:20:44.140]   The other thing is, you know, agents are always on, you know, and so they need a payment rail that's always on 24/7, no banking hours.
[00:20:44.140 --> 00:20:57.140]   And so, you know, the great thing about, you know, this public blockchain infrastructure is you have this compute that's always on that enables settlement to happen 24/7 globally with no banking hours.
[00:20:57.140 --> 00:21:03.140]   And all of these transactions are verifiable through private and public key technology.
[00:21:03.140 --> 00:21:18.140]   And so the cryptography and the actual openness of these actual ecosystems make it a perfect payment rail for agents to transact because there's no downtime.
[00:21:18.140 --> 00:21:20.140]   Oops, let's go back.
[00:21:20.140 --> 00:21:27.140]   And then the last thing is I'll go back to the slide where I was showing the actual contract functions.
[00:21:27.140 --> 00:21:28.140]   It's the programmability.
[00:21:28.140 --> 00:21:45.140]   You know, agents are going to need to be able to have a lot of programmability because there are going to be transactions where they'll need to be able to, you know, perform some sort of logic that they need to pass before they can actually make that transaction.
[00:21:45.140 --> 00:22:08.140]   And so that logic can actually be built into composable smart contracts that we'll show in this demo of how, like, this is great for escrow because, you know, you have the ability to perform value transfer with all this conditional logic that you can actually program in and the agent can actually interact with that logic to be able to perform those transactions.
[00:22:08.140 --> 00:22:14.140]   So very powerful technology here.
[00:22:14.140 --> 00:22:16.140]   And so now I'll jump into the sample app.
[00:22:16.140 --> 00:22:22.140]   And so first I'll run through kind of the architecture, what we used and how it works.
[00:22:22.140 --> 00:22:24.140]   And then we'll jump into a demo of it.
[00:22:24.140 --> 00:22:32.140]   And then everybody can have time to actually set it up in their own environment and I can walk around and help you out if you have any issues.
[00:22:32.140 --> 00:22:46.140]   So the core building blocks from a dev tooling standpoint of what we used to to build this actual escrow flow is we use circle wallets.
[00:22:46.140 --> 00:22:54.140]   And so that enabled us to actually provision wallets for the agent, the and the two parties involved in the actual escrow process.
[00:22:54.140 --> 00:22:59.140]   And then also to we use circle contracts.
[00:22:59.140 --> 00:23:09.140]   So we were able to actually we wrote a solidity contract and then we deployed that using the circle contracts API.
[00:23:09.140 --> 00:23:19.140]   So it was a repeatable process of us deploying contracts for each actual group of parties that are transacting.
[00:23:19.140 --> 00:23:33.140]   And so that API allowed for us to take, you know, this, this template of a escrow contract and solidity and repeatedly deployed and use it for different parties involved transacting amongst each other.
[00:23:33.140 --> 00:23:57.140]   And then lastly, USDC being able to embed the USDC stable coin in the actual smart contract gave us the ability to design basically a smart contract that is running off of dollars and interoperable with the actual fiat world as well.
[00:23:57.140 --> 00:24:12.140]   Because kind of the likely process of some of this will be there's an on ramping experience from fiat to USDC and then there's an off ramping experience for the beneficiary wants to go back to actual fiat and using the actual smart contract.
[00:24:12.140 --> 00:24:21.140]   And USDC gives both parties the trust that they have a tokenized version of the dollar that they know they can get in and out of any time one to one.
[00:24:21.140 --> 00:24:27.140]   So here's kind of how the onboarding flow works.
[00:24:27.140 --> 00:24:37.140]   As you can see from this, this design, you have a client, which is the business and the freelancer, and they both come to a platform and create an account.
[00:24:37.140 --> 00:24:46.140]   And so as they create an account in the background, there's an API call to the circle APIs that provisions a wallet for each of those actual parties.
[00:24:46.140 --> 00:25:05.140]   And then the next thing is the actual business will take basically a PDF version of an agreement that they have with that actual freelancer that they probably negotiated outside of the platform for this use case.
[00:25:05.140 --> 00:25:11.140]   And then they would upload that agreement.
[00:25:11.140 --> 00:25:24.140]   And what would happen is once they upload that agreement to the platform, it would pass it to the OpenAI's API and run it through a multimodal model to actually parse out information about the actual agreement.
[00:25:24.140 --> 00:25:33.140]   And so that information would be related to the amount that these two parties have agreed upon as far as the work is concerned.
[00:25:33.140 --> 00:25:43.140]   And then the the summary of tasks that need to be delivered in order for the actual escrow to be completed and payout to happen.
[00:25:43.140 --> 00:25:55.140]   And so after that happens, basically there's a listing on the platform that the AI agent generates and lists.
[00:25:55.140 --> 00:26:02.140]   And there's a human in the loop in this process where, you know, the actual business approves that, hey, this is the amount I'd agreed upon.
[00:26:02.140 --> 00:26:09.140]   This is the list of, you know, things that need to be done in order to honor their agreement and receive payout.
[00:26:09.140 --> 00:26:12.140]   And and this is a good summary of what the agreement is about.
[00:26:12.140 --> 00:26:15.140]   So I want to publish that listing to the platform.
[00:26:15.140 --> 00:26:24.140]   And then after that happens, then the actual business would need to create a smart contract.
[00:26:24.140 --> 00:26:31.140]   And so since we've already got a template running in the background, they're not designing that smart contract themselves.
[00:26:31.140 --> 00:26:38.140]   What it is doing is it's taking the information that the agent has parsed out from the actual contractual agreement
[00:26:38.140 --> 00:26:50.140]   and initializing certain constructor variables for the actual smart contract to be in a ready state to be deployed on chain to govern the rules of the actual agreement.
[00:26:50.140 --> 00:26:59.140]   And so those things are just simple things right now is just use USDC as the stable coin of choice for the currency that flows through.
[00:26:59.140 --> 00:27:09.140]   Also to the agent will will be given a wallet that can only be used to actually release funds from the contract.
[00:27:09.140 --> 00:27:16.140]   And then who is the, you know, depositor wallet and who is the beneficiary wallet?
[00:27:16.140 --> 00:27:24.140]   And so those rules will be will be enforced within the smart contract before it's deployed on chain.
[00:27:24.140 --> 00:27:31.140]   And so after so to deploy it on chain, we're using the circle APIs for this.
[00:27:31.140 --> 00:27:41.140]   And so after that that is deployed on chain, there's a notification that comes on the screen telling the actual business that the contract has been deployed successfully.
[00:27:41.140 --> 00:27:49.140]   And in the background, the developer can use the developer console that we have a circle to track all this activity.
[00:27:49.140 --> 00:27:54.140]   And to design web hook notifications as well around this activity.
[00:27:54.140 --> 00:27:57.140]   And so that's one of the powers of our dev console.
[00:27:57.140 --> 00:28:10.140]   We allow for you to do a lot with on chain data because we're indexing all this information and putting it in a nice format to allow you to design different programmable flows around that information that's happening on chain.
[00:28:10.140 --> 00:28:32.140]   And so once the actual contract has been deployed on chain, the next thing is you're going to have to the business will have to actually on ramp into USDC or if they have pure USDC, then they can fund that actual contract from some USDC.
[00:28:32.140 --> 00:28:33.140]   they already have an external wallet.
[00:28:33.140 --> 00:28:42.140]   And so you will deposit, you'll call the actual deposit function on the smart contract.
[00:28:42.140 --> 00:28:56.140]   And what that would do is that would basically initiate the approval for a certain amount of USDC to be sweep from your actual wallet address and transferred into the smart contract.
[00:28:56.140 --> 00:29:04.140]   So that the smart contract can go into a ready state of letting the beneficiary know funds have been deposited in the smart contract.
[00:29:04.140 --> 00:29:09.140]   Now it's ready for you to do the work you need to do to honor the contract.
[00:29:09.140 --> 00:29:36.140]   And so that's that's one, you know, magical moment where you have now in this escrow experience, a smart contract that's actually holding the money in code and there is some sort of transparency that you know the money actually is there because you're dealing with these public networks that have the ability to verify, you know, that information by just looking up on the block explorer to be able to see that.
[00:29:36.140 --> 00:29:39.140]   Okay, funds are actually in this smart contract.
[00:29:39.140 --> 00:29:42.140]   So I know this person serious about paying me.
[00:29:42.140 --> 00:29:55.140]   So after that, then the actual freelancer will infer for this actual experience where we use an image.
[00:29:55.140 --> 00:30:14.140]   They the task at hand was to design basically some marketing material in the format of an image that had certain things within that image that promoted the brand of the actual business.
[00:30:14.140 --> 00:30:33.140]   And so freelancer uploads that image to the platform, it passes it off to open AI and the agent goes to work in it, it looks and verifies, okay, does this image have all the things in it that, you know, were required of it in the actual task agreement.
[00:30:33.140 --> 00:30:40.140]   If it does, then it'll go through a simple scoring system.
[00:30:40.140 --> 00:31:00.140]   And if that system scores, it is, you know, confidence level high, that means, okay, yes, release funds from the actual smart contract and then the agent can use its wallet to actually call a release funds function within the smart contract that will ultimately release funds to the beneficiaries wallet.
[00:31:00.140 --> 00:31:21.140]   And so this is where like the automation, the verification happens where in most escrow situations, there's a lot of convoluted back in office work where manual review is being done and agents now are getting to the point where they're, they're very good at reading, seeing, hearing, doing a lot of things.
[00:31:21.140 --> 00:31:39.140]   And so what we think is there could be a future where agents could be a major checkpoint in a lot of escrow transactions and coupled with USDC becoming a great way to settle escrow transactions instantly.
[00:31:39.140 --> 00:31:46.140]   When you combine all this together, you can build some very cool stuff together.
[00:31:46.140 --> 00:31:47.140]   Yeah.
[00:31:47.140 --> 00:31:49.140]   So I did a lot of talking.
[00:31:49.140 --> 00:31:54.140]   Let me show the demo because I know people want to see that.
[00:31:54.140 --> 00:32:01.140]   So let me get out of here and open up my app.
[00:32:01.140 --> 00:32:02.140]   Okay.
[00:32:02.140 --> 00:32:02.140]   All right.
[00:32:02.140 --> 00:32:03.140]   Let's see.
[00:32:03.140 --> 00:32:04.140]   All right.
[00:32:04.140 --> 00:32:05.140]   Can everyone see this?
[00:32:05.140 --> 00:32:06.140]   Okay.
[00:32:06.140 --> 00:32:07.140]   Okay.
[00:32:07.140 --> 00:32:08.140]   All right.
[00:32:08.140 --> 00:32:09.140]   Thanks.
[00:32:09.140 --> 00:32:10.140]   All right.
[00:32:10.140 --> 00:32:11.140]   So here's the escrow agent app.
[00:32:11.140 --> 00:32:12.140]   I'm already logged in.
[00:32:12.140 --> 00:32:27.140]   And I have some transactions that I've already set up because I wanted to show you what things look like in each state.
[00:32:27.140 --> 00:32:34.140]   And then I'll kind of walk through certain transactions and get to the actual cool part of actually letting the agent actually release funds.
[00:32:34.140 --> 00:32:43.140]   But here's a transaction that I've staged and right now it's in the initiated status.
[00:32:43.140 --> 00:32:50.140]   And so this status is someone has already uploaded a contract in PDF form to the platform.
[00:32:50.140 --> 00:32:55.140]   It's parsed out the information with the agent using the four or mini model.
[00:32:55.140 --> 00:33:09.140]   And then that human in the loop process of approving that, hey, this, this is what, you know, the agreement should look like listed on the platform so that the beneficiary can receive that listing.
[00:33:09.140 --> 00:33:12.140]   And so this is the state of what it looks like after you get past that.
[00:33:12.140 --> 00:33:18.140]   So it's showing you the summary of the agreement obviously has the amount here of $10.
[00:33:18.140 --> 00:33:26.140]   And then here are some of the deliverables, high quality image, you know, featuring sparkle fizzle.
[00:33:26.140 --> 00:33:29.140]   So that's the brand, a fictitious company we created.
[00:33:29.140 --> 00:33:39.140]   And and so this is what it'll look like before a smart contract is deployed to govern the rules of a actual agreement.
[00:33:39.140 --> 00:33:47.140]   Now in this state, say I clicked deploy smart contract on chain.
[00:33:47.140 --> 00:33:54.140]   It has now built out the logic and the rules that will govern this this agreement.
[00:33:54.140 --> 00:33:57.140]   The next thing is, you know, depositing funds in the smart contract.
[00:33:57.140 --> 00:34:02.140]   So the actual beneficiary knows that, you know, this person serious.
[00:34:02.140 --> 00:34:03.140]   The money is there.
[00:34:03.140 --> 00:34:07.140]   It's time for me to go to work and do the things so I can receive the money.
[00:34:07.140 --> 00:34:09.140]   This is what state will look like.
[00:34:09.140 --> 00:34:16.140]   And then if you hit this button, you can deposit funds and it will draw the $10 amount from your account balance.
[00:34:16.140 --> 00:34:24.140]   And it will deposit it in the actual smart contract and provide a notification of when that money has settled in the actual smart contract.
[00:34:24.140 --> 00:34:30.140]   And then once it's, you know, in the smart contract, the state will move to locked.
[00:34:30.140 --> 00:34:33.140]   And so that means the smart contract will lock itself.
[00:34:33.140 --> 00:34:54.140]   And now the the next thing that can happen in that smart contract is basically the agent actually reviewing the work and interacting with it to either release the funds or, you know, revert the actual funds back to the actual depositor.
[00:34:54.140 --> 00:35:01.140]   If, you know, a period of time elapses where, you know, that person was never able to kind of meet the agreement.
[00:35:01.140 --> 00:35:11.140]   So what I'll do now is let me run through a test transaction.
[00:35:11.140 --> 00:35:12.140]   Okay.
[00:35:12.140 --> 00:35:12.140]   So let's see.
[00:35:12.140 --> 00:35:13.140]   Okay.
[00:35:13.140 --> 00:35:14.140]   So let's see.
[00:35:14.140 --> 00:35:15.140]   All right.
[00:35:15.140 --> 00:35:16.140]   Change design.
[00:35:16.140 --> 00:35:17.140]   Okay.
[00:35:17.140 --> 00:35:18.140]   So here's a PDF document.
[00:35:18.140 --> 00:35:19.140]   I'm going to upload it.
[00:35:19.140 --> 00:35:19.140]   Let's see.
[00:35:19.140 --> 00:35:19.140]   All right.
[00:35:19.140 --> 00:35:20.140]   So let's see.
[00:35:20.140 --> 00:35:21.140]   Let's see.
[00:35:21.140 --> 00:35:22.140]   All right.
[00:35:22.140 --> 00:35:23.140]   So let's see.
[00:35:23.140 --> 00:35:24.140]   All right.
[00:35:24.140 --> 00:35:30.140]   So in the background, the agent was running, parsing out the information in the PDF document.
[00:35:30.140 --> 00:35:31.140]   Again, it's, it's parsed out the amount and the task.
[00:35:31.140 --> 00:35:32.140]   And so if I hit continue, it's going to be a little bit more.
[00:35:32.140 --> 00:35:33.140]   So if I hit continue, it's going to be a little bit more.
[00:35:33.140 --> 00:35:34.140]   So if I hit continue, it's going to be a little bit more.
[00:35:34.140 --> 00:35:35.140]   So if I hit continue, it's going to be a little bit more.
[00:35:35.140 --> 00:35:36.140]   I'm going to upload it.
[00:35:36.140 --> 00:35:37.140]   I'm going to upload it.
[00:35:37.140 --> 00:35:38.140]   Let's see.
[00:35:38.140 --> 00:35:39.140]   All right.
[00:35:39.140 --> 00:35:53.140]   So in the background, the agent was running, parsing out the information in the PDF document.
[00:35:53.140 --> 00:35:57.140]   Again, it's, it's parsed out the amount and the task.
[00:35:57.140 --> 00:36:04.500]   And so if I hit continue, what it's going to do is it's going to generate that listing on
[00:36:04.500 --> 00:36:09.500]   the platform.
[00:36:09.500 --> 00:36:16.500]   So we've got our webhook working is passing updates, make sure.
