
[00:00:00.000 --> 00:00:02.000]   >> Hey, everybody.
[00:02:15.000 --> 00:02:18.000]   language, and I'm going to be using a little bit of a different
[00:02:18.000 --> 00:02:21.000]   language, and I'm going to be using a little bit of a different
[00:02:21.000 --> 00:02:24.000]   language, and I'm going to be using a little bit of a different
[00:02:24.000 --> 00:02:27.000]   language, and I'm going to be using a little bit of a different
[00:02:27.000 --> 00:02:30.000]   language, and I'm going to be using a little bit of a different
[00:02:30.000 --> 00:02:33.000]   language, and I'm going to be using a little bit of a different
[00:02:33.000 --> 00:02:36.000]   language, and I'm going to be using a little bit of a different
[00:02:36.000 --> 00:02:39.000]   language, and I'm going to be using a little bit of a different
[00:02:39.000 --> 00:02:42.000]   language, and I'm going to be using a little bit of a different
[00:02:42.000 --> 00:02:45.000]   language, and I'm going to be using a little bit of a different
[00:02:45.000 --> 00:02:48.000]   language, and I'm going to be using a little bit of a different
[00:02:48.000 --> 00:02:51.000]   language, and I'm going to be using a little bit of a different
[00:02:51.000 --> 00:02:54.000]   language, and I'm going to be using a little bit of a different
[00:02:54.000 --> 00:02:57.000]   language, and I'm going to be using a little bit of a different
[00:02:57.000 --> 00:03:00.000]   language, and I'm going to be using a little bit of a different
[00:03:00.000 --> 00:03:03.000]   language, and I'm going to be using a little bit of a different
[00:03:03.000 --> 00:03:06.000]   language, and I'm going to be using a little bit of a different
[00:03:06.000 --> 00:03:09.000]   language, and I'm going to be using a little bit of a different
[00:03:09.000 --> 00:03:12.000]   language, and I'm going to be using a little bit of a different
[00:03:12.000 --> 00:03:15.000]   language, and I'm going to be using a little bit of a different
[00:03:15.000 --> 00:03:18.000]   language, and I'm going to be using a little bit of a different
[00:03:18.000 --> 00:03:21.000]   language, and I'm going to be using a little bit of a different
[00:03:21.000 --> 00:03:24.000]   language, and I'm going to be using a little bit of a different
[00:03:24.000 --> 00:03:27.000]   language, and I'm going to be using a little bit of a different
[00:03:27.000 --> 00:03:30.000]   language, and I'm going to be using a little bit of a different
[00:03:30.000 --> 00:03:33.000]   language, and I'm going to be using a little bit of a different
[00:03:33.000 --> 00:03:36.000]   language, and I'm going to be using a little bit of a different
[00:03:36.000 --> 00:03:39.000]   language, and I'm going to be using a little bit of a different
[00:03:39.000 --> 00:03:42.000]   language, and I'm going to be using a little bit of a different
[00:03:42.000 --> 00:03:45.000]   language, and I'm going to be using a little bit of a different
[00:03:45.000 --> 00:03:48.000]   language, and I'm going to be using a little bit of a different
[00:03:48.000 --> 00:03:51.000]   language, and I'm going to be using a little bit of a different
[00:03:51.000 --> 00:03:54.000]   language, and I'm going to be using a little bit of a different
[00:03:54.000 --> 00:03:57.000]   language, and I'm going to be using a little bit of a different
[00:03:57.000 --> 00:04:00.000]   language, and I'm going to be using a little bit of a different
[00:04:00.000 --> 00:04:03.000]   language, and I'm going to be using a little bit of a different
[00:04:03.000 --> 00:04:06.000]   language, and I'm going to be using a little bit of a different
[00:04:06.000 --> 00:04:09.000]   language, and I'm going to be using a little bit of a different
[00:04:09.000 --> 00:04:12.000]   language, and I'm going to be using a little bit of a different
[00:04:12.000 --> 00:04:15.000]   language, and I'm going to be using a little bit of a different
[00:04:15.000 --> 00:04:18.000]   language, and I'm going to be using a little bit of a different
[00:04:18.000 --> 00:04:21.000]   language, and I'm going to be using a little bit of a different
[00:04:21.000 --> 00:04:24.000]   language, and I'm going to be using a little bit of a different
[00:04:24.000 --> 00:04:27.000]   language, and I'm going to be using a little bit of a different
[00:04:27.000 --> 00:04:30.000]   language, and I'm going to be using a little bit of a different
[00:04:30.000 --> 00:04:33.000]   language, and I'm going to be using a little bit of a different
[00:04:33.000 --> 00:04:36.000]   language, and I'm going to be using a little bit of a different
[00:04:36.000 --> 00:04:39.000]   language, and I'm going to be using a little bit of a different
[00:04:39.000 --> 00:04:42.000]   language, and I'm going to be using a little bit of a different
[00:04:42.000 --> 00:04:45.000]   language, and I'm going to be using a little bit of a different
[00:04:45.000 --> 00:04:48.000]   language, and I'm going to be using a little bit of a different
[00:04:48.000 --> 00:04:51.000]   language, and I'm going to be using a little bit of a different
[00:04:51.000 --> 00:04:54.000]   language, and I'm going to be using a little bit of a different
[00:04:54.000 --> 00:04:57.000]   language, and I'm going to be using a little bit of a different
[00:04:57.000 --> 00:05:00.000]   language, and I'm going to be using a little bit of a different
[00:05:00.000 --> 00:05:03.000]   language, and I'm going to be using a little bit of a different
[00:05:03.000 --> 00:05:06.000]   language, and I'm going to be using a little bit of a different
[00:05:06.000 --> 00:05:09.000]   language, and I'm going to be using a little bit of a different
[00:05:09.000 --> 00:05:12.000]   language, and I'm going to be using a little bit of a different
[00:05:12.000 --> 00:05:15.000]   language, and I'm going to be using a little bit of a different
[00:05:15.000 --> 00:05:18.000]   language, and I'm going to be using a little bit of a different
[00:05:18.000 --> 00:05:21.000]   language, and I'm going to be using a little bit of a different
[00:05:21.000 --> 00:05:24.000]   language, and I'm going to be using a little bit of a different
[00:05:24.000 --> 00:05:27.000]   language, and I'm going to be using a little bit of a different
[00:05:27.000 --> 00:05:30.000]   language, and I'm going to be using a little bit of a different
[00:05:30.000 --> 00:05:33.000]   language, and I'm going to be using a little bit of a different
[00:05:33.000 --> 00:05:36.000]   language, and I'm going to be using a little bit of a different
[00:05:36.000 --> 00:05:39.000]   language, and I'm going to be using a little bit of a different
[00:05:39.000 --> 00:05:42.000]   language, and I'm going to be using a little bit of a different
[00:05:42.000 --> 00:05:45.000]   language, and I'm going to be using a little bit of a different
[00:05:45.000 --> 00:05:48.000]   language, and I'm going to be using a little bit of a different
[00:05:48.000 --> 00:05:51.000]   language, and I'm going to be using a little bit of a different
[00:05:51.000 --> 00:05:54.000]   language, and I'm going to be using a little bit of a different
[00:05:54.000 --> 00:05:57.000]   language, and I'm going to be using a little bit of a different
[00:05:57.000 --> 00:06:00.000]   language, and I'm going to be using a little bit of a different
[00:06:00.000 --> 00:06:03.000]   language, and I'm going to be using a little bit of a different
[00:06:03.000 --> 00:06:06.000]   language, and I'm going to be using a little bit of a different
[00:06:06.000 --> 00:06:09.000]   language, and I'm going to be using a little bit of a different
[00:06:09.000 --> 00:06:12.000]   language, and I'm going to be using a little bit of a different
[00:06:12.000 --> 00:06:15.000]   language, and I'm going to be using a little bit of a different
[00:06:15.000 --> 00:06:18.000]   language, and I'm going to be using a little bit of a different
[00:06:18.000 --> 00:06:21.000]   language, and I'm going to be using a little bit of a different
[00:06:21.000 --> 00:06:24.000]   language, and I'm going to be using a little bit of a different
[00:06:24.000 --> 00:06:27.000]   language, and I'm going to be using a little bit of a different
[00:06:27.000 --> 00:06:30.000]   language, and I'm going to be using a little bit of a different
[00:06:30.000 --> 00:06:33.000]   language, and I'm going to be using a little bit of a different
[00:06:33.000 --> 00:06:36.000]   language, and I'm going to be using a little bit of a different
[00:06:36.000 --> 00:06:39.000]   language, and I'm going to be using a little bit of a different
[00:06:39.000 --> 00:06:42.000]   language, and I'm going to be using a little bit of a different
[00:06:42.000 --> 00:06:45.000]   language, and I'm going to be using a little bit of a different
[00:06:45.000 --> 00:06:48.000]   language, and I'm going to be using a little bit of a different
[00:06:48.000 --> 00:06:51.000]   language, and I'm going to be using a little bit of a different
[00:06:51.000 --> 00:06:54.000]   language, and I'm going to be using a little bit of a different
[00:06:54.000 --> 00:06:57.000]   language, and I'm going to be using a little bit of a different
[00:06:57.000 --> 00:07:00.000]   language, and I'm going to be using a little bit of a different
[00:07:00.000 --> 00:07:03.000]   language, and I'm going to be using a little bit of a different
[00:07:03.000 --> 00:07:06.000]   language, and I'm going to be using a little bit of a different
[00:07:06.000 --> 00:07:09.000]   language, and I'm going to be using a little bit of a different
[00:07:09.000 --> 00:07:12.000]   language, and I'm going to be using a little bit of a different
[00:07:12.000 --> 00:07:15.000]   language, and I'm going to be using a little bit of a different
[00:07:15.000 --> 00:07:18.000]   language, and I'm going to be using a little bit of a different
[00:07:18.000 --> 00:07:21.000]   language, and I'm going to be using a little bit of a different
[00:07:21.000 --> 00:07:24.000]   language, and I'm going to be using a little bit of a different
[00:07:24.000 --> 00:07:27.000]   language, and I'm going to be using a little bit of a different
[00:07:27.000 --> 00:07:30.000]   language, and I'm going to be using a little bit of a different
[00:07:30.000 --> 00:07:33.000]   language, and I'm going to be using a little bit of a different
[00:07:33.000 --> 00:07:36.000]   language, and I'm going to be using a little bit of a different
[00:07:36.000 --> 00:07:39.000]   language, and I'm going to be using a little bit of a different
[00:07:39.000 --> 00:07:42.000]   language, and I'm going to be using a little bit of a different
[00:07:42.000 --> 00:07:45.000]   language, and I'm going to be using a little bit of a different
[00:07:45.000 --> 00:07:48.000]   language, and I'm going to be using a little bit of a different
[00:07:48.000 --> 00:07:51.000]   language, and I'm going to be using a little bit of a different
[00:07:51.000 --> 00:07:54.000]   language, and I'm going to be using a little bit of a different
[00:07:54.000 --> 00:07:57.000]   language, and I'm going to be using a little bit of a different
[00:07:57.000 --> 00:08:00.000]   language, and I'm going to be using a little bit of a different
[00:08:00.000 --> 00:08:03.000]   language, and I'm going to be using a little bit of a different
[00:08:03.000 --> 00:08:06.000]   language, and I'm going to be using a little bit of a different
[00:08:06.000 --> 00:08:09.000]   language, and I'm going to be using a little bit of a different
[00:08:09.000 --> 00:08:12.000]   language, and I'm going to be using a little bit of a different
[00:08:12.000 --> 00:08:15.000]   language, and I'm going to be using a little bit of a different
[00:08:15.000 --> 00:08:18.000]   language, and I'm going to be using a little bit of a different
[00:08:18.000 --> 00:08:21.000]   language, and I'm going to be using a little bit of a different
[00:08:21.000 --> 00:08:24.000]   language, and I'm going to be using a little bit of a different
[00:08:24.000 --> 00:08:27.000]   language, and I'm going to be using a little bit of a different
[00:08:27.000 --> 00:08:30.000]   language, and I'm going to be using a little bit of a different
[00:08:30.000 --> 00:08:33.000]   language, and I'm going to be using a little bit of a different
[00:08:33.000 --> 00:08:36.000]   language, and I'm going to be using a little bit of a different
[00:08:36.000 --> 00:08:39.000]   language, and I'm going to be using a little bit of a different
[00:08:39.000 --> 00:08:42.000]   language, and I'm going to be using a little bit of a different
[00:08:42.000 --> 00:08:45.000]   language, and I'm going to be using a little bit of a different
[00:08:45.000 --> 00:08:48.000]   language, and I'm going to be using a little bit of a different
[00:08:48.000 --> 00:08:51.000]   language, and I'm going to be using a little bit of a different
[00:08:51.000 --> 00:08:54.000]   language, and I'm going to be using a little bit of a different
[00:08:54.000 --> 00:08:57.000]   language, and I'm going to be using a little bit of a different
[00:08:57.000 --> 00:09:00.000]   language, and I'm going to be using a little bit of a different
[00:09:00.000 --> 00:09:03.000]   language, and I'm going to be using a little bit of a different
[00:09:03.000 --> 00:09:06.000]   language, and I'm going to be using a little bit of a different
[00:09:06.000 --> 00:09:09.000]   language, and I'm going to be using a little bit of a different
[00:09:09.000 --> 00:09:12.000]   language, and I'm going to be using a little bit of a different
[00:09:12.000 --> 00:09:15.000]   language, and I'm going to be using a little bit of a different
[00:09:15.000 --> 00:09:18.000]   language, and I'm going to be using a little bit of a different
[00:09:18.000 --> 00:09:21.000]   language, and I'm going to be using a little bit of a different
[00:09:21.000 --> 00:09:24.000]   language, and I'm going to be using a little bit of a different
[00:09:24.000 --> 00:09:27.000]   language, and I'm going to be using a little bit of a different
[00:09:27.000 --> 00:09:30.000]   language, and I'm going to be using a little bit of a different
[00:09:30.000 --> 00:09:33.000]   language, and I'm going to be using a little bit of a different
[00:09:33.000 --> 00:09:36.000]   language, and I'm going to be using a little bit of a different
[00:09:36.000 --> 00:09:39.000]   language, and I'm going to be using a little bit of a different
[00:09:39.000 --> 00:09:42.000]   language, and I'm going to be using a little bit of a different
[00:09:42.000 --> 00:09:45.000]   language, and I'm going to be using a little bit of a different
[00:09:45.000 --> 00:09:48.000]   language, and I'm going to be using a little bit of a different
[00:09:48.000 --> 00:09:51.000]   language, and I'm going to be using a little bit of a different
[00:09:51.000 --> 00:09:54.000]   language, and I'm going to be using a little bit of a different
[00:09:54.000 --> 00:09:57.000]   language, and I'm going to be using a little bit of a different
[00:09:57.000 --> 00:10:00.000]   language, and I'm going to be using a little bit of a different
[00:10:00.000 --> 00:10:03.000]   language, and I'm going to be using a little bit of a different
[00:10:03.000 --> 00:10:06.000]   language, and I'm going to be using a little bit of a different
[00:10:06.000 --> 00:10:09.000]   language, and I'm going to be using a little bit of a different
[00:10:09.000 --> 00:10:12.000]   language, and I'm going to be using a little bit of a different
[00:10:12.000 --> 00:10:15.000]   language, and I'm going to be using a little bit of a different
[00:10:15.000 --> 00:10:18.000]   language, and I'm going to be using a little bit of a different
[00:10:18.000 --> 00:10:21.000]   language, and I'm going to be using a little bit of a different
[00:10:21.000 --> 00:10:24.000]   language, and I'm going to be using a little bit of a different
[00:10:24.000 --> 00:10:27.000]   language, and I'm going to be using a little bit of a different
[00:10:27.000 --> 00:10:30.000]   language, and I'm going to be using a little bit of a different
[00:10:30.000 --> 00:10:33.000]   language, and I'm going to be using a little bit of a different
[00:10:33.000 --> 00:10:36.000]   language, and I'm going to be using a little bit of a different
[00:10:36.000 --> 00:10:39.000]   language, and I'm going to be using a little bit of a different
[00:10:39.000 --> 00:10:42.000]   language, and I'm going to be using a little bit of a different
[00:10:42.000 --> 00:10:45.000]   language, and I'm going to be using a little bit of a different
[00:10:45.000 --> 00:10:48.000]   language, and I'm going to be using a little bit of a different
[00:10:48.000 --> 00:10:51.000]   language, and I'm going to be using a little bit of a different
[00:10:51.000 --> 00:10:54.000]   language, and I'm going to be using a little bit of a different
[00:10:54.000 --> 00:10:57.000]   language, and I'm going to be using a little bit of a different
[00:10:57.000 --> 00:11:00.000]   language, and I'm going to be using a little bit of a different
[00:11:00.000 --> 00:11:03.000]   language, and I'm going to be using a little bit of a different
[00:11:03.000 --> 00:11:06.000]   language, and I'm going to be using a little bit of a different
[00:11:06.000 --> 00:11:09.000]   language, and I'm going to be using a little bit of a different
[00:11:09.000 --> 00:11:12.000]   language, and I'm going to be using a little bit of a different
[00:11:12.000 --> 00:11:15.000]   language, and I'm going to be using a little bit of a different
[00:11:15.000 --> 00:11:18.000]   language, and I'm going to be using a little bit of a different
[00:11:18.000 --> 00:11:21.000]   language, and I'm going to be using a little bit of a different
[00:11:21.000 --> 00:11:24.000]   language, and I'm going to be using a little bit of a different
[00:11:24.000 --> 00:11:27.000]   language, and I'm going to be using a little bit of a different
[00:11:27.000 --> 00:11:30.000]   language, and I'm going to be using a little bit of a different
[00:11:30.000 --> 00:11:33.000]   language, and I'm going to be using a little bit of a different
[00:11:33.000 --> 00:11:36.000]   language, and I'm going to be using a little bit of a different
[00:11:36.000 --> 00:11:39.000]   language, and I'm going to be using a little bit of a different
[00:11:39.000 --> 00:11:42.000]   language, and I'm going to be using a little bit of a different
[00:11:42.000 --> 00:11:45.000]   language, and I'm going to be using a little bit of a different
[00:11:45.000 --> 00:11:48.000]   language, and I'm going to be using a little bit of a different
[00:11:48.000 --> 00:11:51.000]   language, and I'm going to be using a little bit of a different
[00:11:51.000 --> 00:11:54.000]   language, and I'm going to be using a little bit of a different
[00:11:54.000 --> 00:11:57.000]   language, and I'm going to be using a little bit of a different
[00:11:57.000 --> 00:12:00.000]   language, and I'm going to be using a little bit of a different
[00:12:00.000 --> 00:12:03.000]   language, and I'm going to be using a little bit of a different
[00:12:03.000 --> 00:12:06.000]   language, and I'm going to be using a little bit of a different
[00:12:06.000 --> 00:12:09.000]   language, and I'm going to be using a little bit of a different
[00:12:09.000 --> 00:12:12.000]   language, and I'm going to be using a little bit of a different
[00:12:12.000 --> 00:12:15.000]   language, and I'm going to be using a little bit of a different
[00:12:15.000 --> 00:12:18.000]   language, and I'm going to be using a little bit of a different
[00:12:18.000 --> 00:12:21.000]   language, and I'm going to be using a little bit of a different
[00:12:21.000 --> 00:12:24.000]   language, and I'm going to be using a little bit of a different
[00:12:24.000 --> 00:12:27.000]   language, and I'm going to be using a little bit of a different
[00:12:27.000 --> 00:12:30.000]   language, and I'm going to be using a little bit of a different
[00:12:30.000 --> 00:12:33.000]   language, and I'm going to be using a little bit of a different
[00:12:33.000 --> 00:12:36.000]   language, and I'm going to be using a little bit of a different
[00:12:36.000 --> 00:12:39.000]   language, and I'm going to be using a little bit of a different
[00:12:39.000 --> 00:12:42.000]   language, and I'm going to be using a little bit of a different
[00:12:42.000 --> 00:12:45.000]   language, and I'm going to be using a little bit of a different
[00:12:45.000 --> 00:12:48.000]   language, and I'm going to be using a little bit of a different
[00:12:48.000 --> 00:12:51.000]   language, and I'm going to be using a little bit of a different
[00:12:51.000 --> 00:12:54.000]   language, and I'm going to be using a little bit of a different
[00:12:54.000 --> 00:12:57.000]   language, and I'm going to be using a little bit of a different
[00:12:57.000 --> 00:13:00.000]   language, and I'm going to be using a little bit of a different
[00:13:00.000 --> 00:13:03.000]   language, and I'm going to be using a little bit of a different
[00:13:03.000 --> 00:13:06.000]   language, and I'm going to be using a little bit of a different
[00:13:06.000 --> 00:13:09.000]   language, and I'm going to be using a little bit of a different
[00:13:09.000 --> 00:13:12.000]   language, and I'm going to be using a little bit of a different
[00:13:12.000 --> 00:13:15.000]   language, and I'm going to be using a little bit of a different
[00:13:15.000 --> 00:13:18.000]   language, and I'm going to be using a little bit of a different
[00:13:18.000 --> 00:13:21.000]   language, and I'm going to be using a little bit of a different
[00:13:21.000 --> 00:13:24.000]   language, and I'm going to be using a little bit of a different
[00:13:24.000 --> 00:13:27.000]   language, and I'm going to be using a little bit of a different
[00:13:27.000 --> 00:13:30.000]   language, and I'm going to be using a little bit of a different
[00:13:30.000 --> 00:13:33.000]   language, and I'm going to be using a little bit of a different
[00:13:33.000 --> 00:13:36.000]   language, and I'm going to be using a little bit of a different
[00:13:36.000 --> 00:13:39.000]   language, and I'm going to be using a little bit of a different
[00:13:39.000 --> 00:13:42.000]   language, and I'm going to be using a little bit of a different
[00:13:42.000 --> 00:13:45.000]   language, and I'm going to be using a little bit of a different
[00:13:45.000 --> 00:13:48.000]   language, and I'm going to be using a little bit of a different
[00:13:48.000 --> 00:13:51.000]   language, and I'm going to be using a little bit of a different
[00:13:51.000 --> 00:13:54.000]   language, and I'm going to be using a little bit of a different
[00:13:54.000 --> 00:13:57.000]   language, and I'm going to be using a little bit of a different
[00:13:57.000 --> 00:14:00.000]   language, and I'm going to be using a little bit of a different
[00:14:00.000 --> 00:14:03.000]   language, and I'm going to be using a little bit of a different
[00:14:03.000 --> 00:14:06.000]   language, and I'm going to be using a little bit of a different
[00:14:06.000 --> 00:14:09.000]   language, and I'm going to be using a little bit of a different
[00:14:09.000 --> 00:14:12.000]   language, and I'm going to be using a little bit of a different
[00:14:12.000 --> 00:14:15.000]   language, and I'm going to be using a little bit of a different
[00:14:15.000 --> 00:14:18.000]   language, and I'm going to be using a little bit of a different
[00:14:18.000 --> 00:14:21.000]   language, and I'm going to be using a little bit of a different
[00:14:21.000 --> 00:14:24.000]   language, and I'm going to be using a little bit of a different
[00:14:24.000 --> 00:14:27.000]   language, and I'm going to be using a little bit of a different
[00:14:27.000 --> 00:14:30.000]   language, and I'm going to be using a little bit of a different
[00:14:30.000 --> 00:14:33.000]   language, and I'm going to be using a little bit of a different
[00:14:33.000 --> 00:14:36.000]   language, and I'm going to be using a little bit of a different
[00:14:36.000 --> 00:14:39.000]   language, and I'm going to be using a little bit of a different
[00:14:39.000 --> 00:14:42.000]   language, and I'm going to be using a little bit of a different
[00:14:42.000 --> 00:14:45.000]   language, and I'm going to be using a little bit of a different
[00:14:45.000 --> 00:14:48.000]   language, and I'm going to be using a little bit of a different
[00:14:48.000 --> 00:14:51.000]   language, and I'm going to be using a little bit of a different
[00:14:51.000 --> 00:14:54.000]   language, and I'm going to be using a little bit of a different
[00:14:54.000 --> 00:14:57.000]   language, and I'm going to be using a little bit of a different
[00:14:57.000 --> 00:15:00.000]   language, and I'm going to be using a little bit of a different
[00:15:00.000 --> 00:15:03.000]   language, and I'm going to be using a little bit of a different
[00:15:03.000 --> 00:15:06.000]   language, and I'm going to be using a little bit of a different
[00:15:06.000 --> 00:15:09.000]   language, and I'm going to be using a little bit of a different
[00:15:09.000 --> 00:15:12.000]   language, and I'm going to be using a little bit of a different
[00:15:12.000 --> 00:15:15.000]   language, and I'm going to be using a little bit of a different
[00:15:15.000 --> 00:15:18.000]   language, and I'm going to be using a little bit of a different
[00:15:18.000 --> 00:15:21.000]   language, and I'm going to be using a little bit of a different
[00:15:21.000 --> 00:15:24.000]   language, and I'm going to be using a little bit of a different
[00:15:24.000 --> 00:15:27.000]   language, and I'm going to be using a little bit of a different
[00:15:27.000 --> 00:15:30.000]   language, and I'm going to be using a little bit of a different
[00:15:30.000 --> 00:15:33.000]   language, and I'm going to be using a little bit of a different
[00:15:33.000 --> 00:15:36.000]   language, and I'm going to be using a little bit of a different
[00:15:36.000 --> 00:15:39.000]   language, and I'm going to be using a little bit of a different
[00:15:39.000 --> 00:15:42.000]   language, and I'm going to be using a little bit of a different
[00:15:42.000 --> 00:15:45.000]   language, and I'm going to be using a little bit of a different
[00:15:45.000 --> 00:15:48.000]   language, and I'm going to be using a little bit of a different
[00:15:48.000 --> 00:15:51.000]   language, and I'm going to be using a little bit of a different
[00:15:51.000 --> 00:15:54.000]   language, and I'm going to be using a little bit of a different
[00:15:54.000 --> 00:15:57.000]   language, and I'm going to be using a little bit of a different
[00:15:57.000 --> 00:16:00.000]   language, and I'm going to be using a little bit of a different
[00:16:00.000 --> 00:16:03.000]   language, and I'm going to be using a little bit of a different
[00:16:03.000 --> 00:16:06.000]   language, and I'm going to be using a little bit of a different
[00:16:06.000 --> 00:16:09.000]   language, and I'm going to be using a little bit of a different
[00:16:09.000 --> 00:16:12.000]   language, and I'm going to be using a little bit of a different
[00:16:12.000 --> 00:16:15.000]   language, and I'm going to be using a little bit of a different
[00:16:15.000 --> 00:16:18.000]   language, and I'm going to be using a little bit of a different
[00:16:18.000 --> 00:16:21.000]   language, and I'm going to be using a little bit of a different
[00:16:21.000 --> 00:16:24.000]   language, and I'm going to be using a little bit of a different
[00:16:24.000 --> 00:16:27.000]   language, and I'm going to be using a little bit of a different
[00:16:27.000 --> 00:16:30.000]   language, and I'm going to be using a little bit of a different
[00:16:30.000 --> 00:16:33.000]   language, and I'm going to be using a little bit of a different
[00:16:33.000 --> 00:16:36.000]   language, and I'm going to be using a little bit of a different
[00:16:36.000 --> 00:16:39.000]   language, and I'm going to be using a little bit of a different
[00:16:39.000 --> 00:16:42.000]   language, and I'm going to be using a little bit of a different
[00:16:42.000 --> 00:16:45.000]   language, and I'm going to be using a little bit of a different
[00:16:45.000 --> 00:16:48.000]   language, and I'm going to be using a little bit of a different
[00:16:48.000 --> 00:16:51.000]   language, and I'm going to be using a little bit of a different
[00:16:51.000 --> 00:16:54.000]   language, and I'm going to be using a little bit of a different
[00:16:54.000 --> 00:16:57.000]   language, and I'm going to be using a little bit of a different
[00:16:57.000 --> 00:17:00.000]   language, and I'm going to be using a little bit of a different
[00:17:00.000 --> 00:17:03.000]   language, and I'm going to be using a little bit of a different
[00:17:03.000 --> 00:17:06.000]   language, and I'm going to be using a little bit of a different
[00:17:06.000 --> 00:17:09.000]   language, and I'm going to be using a little bit of a different
[00:17:09.000 --> 00:17:12.000]   language, and I'm going to be using a little bit of a different
[00:17:12.000 --> 00:17:15.000]   language, and I'm going to be using a little bit of a different
[00:17:15.000 --> 00:17:18.000]   language, and I'm going to be using a little bit of a different
[00:17:18.000 --> 00:17:21.000]   language, and I'm going to be using a little bit of a different
[00:17:21.000 --> 00:17:24.000]   language, and I'm going to be using a little bit of a different
[00:17:24.000 --> 00:17:27.000]   language, and I'm going to be using a little bit of a different
[00:17:27.000 --> 00:17:30.000]   language, and I'm going to be using a little bit of a different
[00:17:30.000 --> 00:17:33.000]   language, and I'm going to be using a little bit of a different
[00:17:33.000 --> 00:17:36.000]   language, and I'm going to be using a little bit of a different
[00:17:36.000 --> 00:17:39.000]   language, and I'm going to be using a little bit of a different
[00:17:39.000 --> 00:17:42.000]   language, and I'm going to be using a little bit of a different
[00:17:42.000 --> 00:17:45.000]   language, and I'm going to be using a little bit of a different
[00:17:45.000 --> 00:17:48.000]   language, and I'm going to be using a little bit of a different
[00:17:48.000 --> 00:17:51.000]   language, and I'm going to be using a little bit of a different
[00:17:51.000 --> 00:17:54.000]   language, and I'm going to be using a little bit of a different
[00:17:54.000 --> 00:17:57.000]   language, and I'm going to be using a little bit of a different
[00:17:57.000 --> 00:18:00.000]   language, and I'm going to be using a little bit of a different
[00:18:00.000 --> 00:18:03.000]   language, and I'm going to be using a little bit of a different
