
[00:00:00.000 --> 00:00:04.820]   Almost no one has the time to investigate headlines like this one, seen by tens of
[00:03:15.280 --> 00:03:20.620]   several years now. If you don't give models access to any tools and ask them to perform a multiplication,
[00:03:20.620 --> 00:03:26.880]   then the moment the digits of the multiplication get too large, they start to fail dramatically.
[00:03:26.880 --> 00:03:31.980]   Not occasionally getting it right, just never getting the sum right. If the number of digits is
[00:03:31.980 --> 00:03:36.820]   small enough, the models can reason their way to the correct answer. And as you can see in the difference
[00:03:36.820 --> 00:03:43.480]   between 01 mini from OpenAI and 03 mini, performance is incrementally improving. In other words, it takes
[00:03:43.480 --> 00:03:49.540]   a bigger number of digits to flummox the latest models. But again, it must be emphasised that even
[00:03:49.540 --> 00:03:54.860]   with the very latest, the very best models you can access, if you don't give them tools, they will
[00:03:54.860 --> 00:03:59.680]   eventually reach a point where they just simply can't multiply two numbers. But this will always be the
[00:03:59.680 --> 00:04:04.420]   case because these models aren't designed to be fully predictable. They're designed to be generative.
[00:04:04.420 --> 00:04:09.180]   They're not designed to be software, they're designed to use software. They want to produce
[00:04:09.180 --> 00:04:14.320]   plausible outputs, which is why they'll hallucinate when you ask them questions they can't handle.
[00:04:14.320 --> 00:04:18.760]   Here, for example, I gave a calculation to Claude 4 Opus, the latest model from Anthropic,
[00:04:18.760 --> 00:04:23.780]   and Gemini 2.5 Pro, the latest model from Google DeepMind, but I didn't give them access to tools.
[00:04:23.780 --> 00:04:29.020]   They were never going to get this right, but rather than say, I don't know, they just hallucinated the
[00:04:29.020 --> 00:04:33.980]   answer in both cases. The funny thing was that these answers were plausible in that they ended
[00:04:33.980 --> 00:04:39.840]   in 2s and began with 6-7, which the correct answer does. These models are, after all, very convincing
[00:04:39.840 --> 00:04:45.400]   BSers. But what the paper ignored is that these models can use tools and use them very effectively.
[00:04:45.400 --> 00:04:50.960]   Here's that same Claude 4 Opus, but this time allowed to use code. It got the answer right,
[00:04:50.960 --> 00:04:57.220]   and notice I didn't even say use code or use a tool. It knew to do so. So for me, what was surprising
[00:04:57.220 --> 00:05:02.840]   is that this Apple paper found it surprising that large reasoning models, they call them,
[00:05:02.840 --> 00:05:07.920]   can't perform exact computation. We know they can't. Now, several other people before me have pointed
[00:05:07.920 --> 00:05:12.960]   out another fatal weakness with the paper, which is they describe accuracy ultimately collapsing
[00:05:12.960 --> 00:05:18.420]   towards zero beyond a certain level of complexity. Because models are constrained with how many tokens,
[00:05:18.420 --> 00:05:23.640]   or parts of a word, if you like, that they can output in one go. In the case of the Claude model
[00:05:23.640 --> 00:05:29.300]   from Anthropic that was tested, that token limit is 128,000 tokens. But some of the questions tested
[00:05:29.300 --> 00:05:35.280]   required more than that number of tokens. So even if the models were trained to be calculators,
[00:05:35.280 --> 00:05:40.640]   which they're not, they weren't given enough space to output the requisite number of tokens.
[00:05:40.640 --> 00:05:45.520]   For me then, it's to the credit of the models that they recognised their own output limits,
[00:05:45.520 --> 00:05:50.200]   and then outputted what the paper calls shorter traces, basically giving up, because they quote,
[00:05:50.200 --> 00:05:55.540]   knew they wouldn't have the space to output the required answer. Instead, the models would output
[00:05:55.540 --> 00:06:01.260]   things like, here is the algorithm you need to use, or the tool you need to use, which I think is
[00:06:01.260 --> 00:06:05.100]   reasonable. One quick detail that I think many people missed is the paper actually admits that
[00:06:05.100 --> 00:06:09.740]   it originally wanted to compare thinking versus non-thinking models. You know, those ones output
[00:06:09.740 --> 00:06:14.860]   long chains of thought versus those that don't on math benchmarks. Because the results didn't quite
[00:06:14.860 --> 00:06:20.260]   conform to the narrative they were expecting, and thinking models did indeed outperform non-thinking
[00:06:20.260 --> 00:06:25.300]   models with the same compute budget, they actually abandoned the math benchmark and then resorted to
[00:06:25.300 --> 00:06:31.000]   the puzzles. I guess what I'm saying is I slightly feel like the authors came to testing the thinking
[00:06:31.000 --> 00:06:36.720]   models with a preconceived notion about their lack of ability. Another learning moment for us all from the
[00:06:36.720 --> 00:06:44.580]   paper comes from their surprise, the Apple authors, that when they provide the algorithm in the prompt,
[00:06:44.580 --> 00:06:50.680]   the algorithm to solve these puzzles, the models still often fail. They're surprised by this and deem it
[00:06:50.680 --> 00:06:58.640]   noteworthy because they say surely finding the solution requires more computation than merely executing a given
[00:06:58.640 --> 00:07:04.560]   algorithm. But you guys have twigged this all by now. These are not calculators. They're not designed for
[00:07:04.560 --> 00:07:10.380]   executing algorithms. Because they are instead neural networks that are probabilistic, even if there is a
[00:07:10.380 --> 00:07:16.440]   99.9% chance that they output the correct next step, when there's millions of steps involved, they will
[00:07:16.440 --> 00:07:21.640]   eventually make a mistake. Remember multiplication, where of course the language models know the quote
[00:07:21.640 --> 00:07:27.740]   algorithm to perform a multiply step. Indeed, the models are derived through matrix multiplication, but that
[00:07:27.740 --> 00:07:33.560]   does not mean that given enough steps required, they won't start making mistakes. The conclusion of the paper
[00:07:33.560 --> 00:07:39.080]   paper then teed things up for the headline writers because they say, we may be encountering fundamental
[00:07:39.080 --> 00:07:44.960]   barriers to generalizable reasoning. Now do forgive me for pointing this out, but that quote limitation to
[00:07:44.960 --> 00:07:51.020]   generalized reasoning has been pointed out by experts like Professor Rao, who I interviewed back in
[00:07:51.020 --> 00:07:57.700]   December of 2023 on my Patreon. This is not a quote breaking news type of situation. You may also find it
[00:07:57.700 --> 00:08:05.220]   interesting that one researcher used Claude for Opus and named that model as a co-author in a paper pointing
[00:08:05.220 --> 00:08:11.640]   out all the flaws of the Apple paper. Flaws even I missed, like certain of the questions being impossible
[00:08:11.640 --> 00:08:18.920]   to answer due to logical impossibility. So no, to quote an article featured in The Guardian from Gary
[00:08:18.920 --> 00:08:24.440]   Marcus, the tech world is not reeling from a paper that shows the powers of the new generation of AI have been
[00:08:24.440 --> 00:08:29.880]   wildly oversold. I would go as far as to say that there isn't a single serious AI researcher that would
[00:08:29.880 --> 00:08:35.020]   have been surprised by the results of that paper. That is not of course to say that these models don't
[00:08:35.020 --> 00:08:41.480]   make basic reasoning mistakes in simple scenarios, or at least semi-simple scenarios. I'm the author of a
[00:08:41.480 --> 00:08:48.020]   benchmark called SimpleBench designed to test models on such scenarios. For example, I tested the brand new
[00:08:48.020 --> 00:08:55.780]   O3 Pro on this scenario in which models tend not to spot that the glove would just fall on to the road. This is
[00:08:55.780 --> 00:09:01.180]   despite, by the way, thinking for 18 minutes. If you want to learn more about SimpleBench, by the way, the link is in the
[00:09:01.180 --> 00:09:07.460]   description. And I'll end this video with my recommendation of which model you should check out if you're just used to say for
[00:09:07.460 --> 00:09:15.060]   example, the free ChatGPT. The O3 Pro API from OpenAI failed, by the way, which is why we don't have a result yet for that model.
[00:09:15.060 --> 00:09:21.860]   Of course, the failure modes go far beyond the simple scenarios featured in SimpleBench. Here's one quirk many of you may not know about.
[00:09:21.860 --> 00:09:29.460]   This is the brand new VO3 from Google Gemini. And I said, "Output a London scene with absolutely zero lampposts,
[00:09:29.460 --> 00:09:37.060]   not a single lamppost in sight." Of course, if you lean in to the hallucinations of generative models,
[00:09:37.060 --> 00:09:41.700]   you can get creative outputs like this one from VO3.
[00:09:46.740 --> 00:09:53.700]   Now obviously this is a quirky advert, but think of the immense amount of money that the company "saved"
[00:09:53.700 --> 00:09:59.620]   by not using actors, sets, or props for this advert. That's why I don't want you guys to be as shocked
[00:09:59.620 --> 00:10:05.220]   as this Sky News presenter in Britain, and this has got hundreds of thousands of views, where he noticed
[00:10:05.220 --> 00:10:11.220]   ChatGPT hallucinating an answer, in this case a transcript. This generated several news segments,
[00:10:11.220 --> 00:10:16.180]   as well as this article saying, "Can we trust ChatGPT despite it hallucinating answers?"
[00:10:16.180 --> 00:10:20.740]   This all then comes back to us being able to hold two thoughts in our head at the same time,
[00:10:20.740 --> 00:10:26.740]   which is that LLMs are swiftly catching up on human performance across almost all text-based domains.
[00:10:26.740 --> 00:10:34.020]   But they have almost no hesitation in generating mistruths, you could say like many humans.
[00:10:34.020 --> 00:10:40.580]   So if human performance is your yardstick, they are catching up fast and can BS like the best of us.
[00:10:40.580 --> 00:10:46.020]   But language models like ChatGPT, Gemini, and Claude are not super computers, they're not the kind of
[00:10:46.020 --> 00:10:50.820]   AI that can, for example, predict the weather. Their real breakthroughs, as with human breakthroughs,
[00:10:50.820 --> 00:10:57.220]   come when they use tools in an environment that corrects their BS for them. That can lead to genuine
[00:10:57.220 --> 00:11:01.460]   scientific advance, and if you want to learn more about that, check out my Alpha Evolve video.
[00:11:01.460 --> 00:11:07.540]   Frankly, having made that video, I was quite surprised to hear Sam Altman say it's going to be 2026 when we
[00:11:07.540 --> 00:11:12.580]   see the arrival of systems that can figure out novel insights. As far as I'm concerned, we have that
[00:11:12.580 --> 00:11:18.660]   now. Again, not LLMs on their own, but LLMs in combination with symbolic systems.
[00:11:18.660 --> 00:11:23.620]   So, while language models can't yet solo superintelligence, which one should you use?
[00:11:23.620 --> 00:11:28.580]   Well, let me give you one cautionary word on benchmarks and a little bit of advice.
[00:11:28.580 --> 00:11:35.540]   In just the last 48 hours, we got O3 Pro from OpenAI, at the $200 tier. I'm sure though that will
[00:11:35.540 --> 00:11:41.300]   eventually filter down to the $20 tier. And of course, the benchmark results were pretty impressive.
[00:11:41.300 --> 00:11:48.820]   On competition level mathematics, 93%, on really hard PhD level science questions, 84%, and competitive
[00:11:48.820 --> 00:11:54.740]   coding, you can see the ELO ranking here. My cautionary note though comes from the results you can see below
[00:11:54.740 --> 00:12:02.660]   for the O3 model, not O3 Pro, but the O3 model that OpenAI showcased on day 12 of Christmas in December
[00:12:02.660 --> 00:12:09.620]   2024. As you can see, today's O3 Pro mostly underperforms that system teased back in December.
[00:12:09.620 --> 00:12:15.140]   So that's the cautionary note that you often have to look beyond the headline benchmark results to see
[00:12:15.140 --> 00:12:20.020]   how these models perform on your use case. The word of advice is that when you're looking at benchmarks,
[00:12:20.020 --> 00:12:26.180]   companies will often either not compare to other model providers at all, as in the case of OpenAI these
[00:12:26.180 --> 00:12:31.380]   days, or like Anthropic with their Claude series of models, they will show you multiple benchmarks,
[00:12:31.380 --> 00:12:37.220]   but not be terribly clear about the multiple parallel attempts they took to get their record high scores,
[00:12:37.220 --> 00:12:43.780]   or about the serious usage limitations they have for their bigger model, or the massively elevated price
[00:12:43.780 --> 00:12:48.580]   for that model. Which brings me to my current recommendation if you just want to use a model for
[00:12:48.580 --> 00:12:54.580]   free, albeit with caps of course, and that would be Google's Gemini 2.5 Pro. Yes, I am slightly
[00:12:54.580 --> 00:13:00.900]   influenced by its top score on SimpleBench, and the fact you get a few uses of the Vio video generator
[00:13:00.900 --> 00:13:07.780]   model. An honorary mention goes to DeepSeq R1, which is very cheap via the API, and at least comes with a
[00:13:07.780 --> 00:13:12.820]   technical report that we can all read through. Many of you commented this month that you saw a pretty
[00:13:12.820 --> 00:13:18.580]   noticeable boost in production quality for my DeepSeq documentary, and there's more to come
[00:13:18.580 --> 00:13:24.980]   where that came from. But that boost was in no small part to my video editor choosing Storyblocks,
[00:13:24.980 --> 00:13:31.620]   the sponsors of today's video. We picked them actually before any sponsorship, partly due to the unlimited
[00:13:31.620 --> 00:13:38.420]   downloads of varied high quality media at their set subscription cost, but partly due to the clear-cut
[00:13:38.420 --> 00:13:45.140]   licensing, wherein anything we downloaded with Storyblocks was 100% royalty-free. If you want to
[00:13:45.140 --> 00:13:52.500]   get started with unlimited stock media downloads, head to storyblocks.com/aiexplained, link in the description.
[00:13:52.500 --> 00:14:00.500]   I hope that helped give you some signal amongst the noise, but either way, I hope you have a very wonderful day.

