
[00:00:00.000 --> 00:00:11.520]   All right. Hey, everybody. How are you doing? My name is Greg. I lead student outreach here at
[00:09:13.500 --> 00:09:19.660]   how all of these files interact with each other. So here we have a mapping of some of the most
[00:09:19.660 --> 00:09:24.220]   important files. We chose not to display all of them, just the most important ones that the users
[00:09:24.220 --> 00:09:29.580]   will interact with the most. And we have these lines to show how they're interconnected. And we do this
[00:09:29.580 --> 00:09:34.300]   through the function calls that are actually, like, in each file. So, like, if this demo TypeScript file
[00:09:34.300 --> 00:09:39.980]   is referencing the batch results, that's where the line comes in. And then over here, we have just a
[00:09:39.980 --> 00:09:45.340]   quick description on what the file actually does. And we have our comments on the code base.
[00:09:45.340 --> 00:09:52.860]   Okay, and on top of these two, I built many projects over the course of my learning how to code.
[00:09:52.860 --> 00:09:57.900]   Now, what is the point of me showing you all of this? I'm not here to brag. I'm here to say that
[00:09:57.900 --> 00:10:03.500]   Claude is the reason why I was able to learn how to code. Without Claude, without these AI tools,
[00:10:03.500 --> 00:10:07.980]   including cursor, windsurf, whatever you guys want to use, none of this would have been possible. And the key
[00:10:07.980 --> 00:10:13.100]   takeaway for me is that you can build anything you want nowadays. You just have to ask the right
[00:10:13.100 --> 00:10:15.900]   questions, learn through the different layers of abstraction.
[00:10:15.900 --> 00:10:22.300]   I think this is representative of a new style of building and a new class of builders.
[00:10:22.300 --> 00:10:27.660]   Where my flow, personally, is I find a problem that I'm inspired by and want to fix.
[00:10:27.660 --> 00:10:31.340]   I realize the solution is something that I have no idea how to do.
[00:10:31.900 --> 00:10:36.140]   And then I have a high level chat with Claude, execute steps in the actual editor,
[00:10:36.140 --> 00:10:41.660]   and then record and post a demo when it's not perfect, hopefully bringing users and revenue later
[00:10:41.660 --> 00:10:47.420]   on. But this iteration cycle, instead of taking years for an undergraduate degree or doing other things,
[00:10:47.420 --> 00:10:50.700]   can be one day to one week maximum if you really want to.
[00:10:51.500 --> 00:10:55.420]   So I'll keep it short and sweet and leave you guys with a couple of things to think about,
[00:10:55.420 --> 00:11:00.300]   which are on my mind right now. Which is, how can we build to get users and revenue?
[00:11:00.300 --> 00:11:06.940]   Not for technical perfection and impressiveness. How can I build things as fast and as simply as
[00:11:06.940 --> 00:11:12.220]   possible? As demonstrated by this prompt, give it to me in the simplest and most concise way possible.
[00:11:12.220 --> 00:11:20.220]   What ideas actually inspire you? And how can we build it today? And lastly, not on the slide,
[00:11:20.220 --> 00:11:25.820]   but what does it mean to really know how to code? Does it mean understanding every single line and
[00:11:25.820 --> 00:11:29.980]   every single function? Or does it mean being able to build something that actually improves people's
[00:11:29.980 --> 00:11:34.620]   lives? I'm going to continue to post more information. If you want to connect with me,
[00:11:34.620 --> 00:11:38.620]   you can scan this QR code. But my name is Mason. Thank you guys.
[00:11:38.620 --> 00:11:54.860]   All right. What is up everyone? How are we all doing? We good? Yeah. My name is Rohil. I'm a freshman,
[00:11:54.860 --> 00:12:00.140]   or just finished freshman year at UC Berkeley in the MET program, studying EKS and business. So CS and
[00:12:00.140 --> 00:12:05.980]   business. And I'm here to talk to you guys today about SideQuest, which is a project that a couple of
[00:12:05.980 --> 00:12:13.500]   friends and I made at the Pear Exanthropic Hackathon recently. So let me tell you guys about a big
[00:12:13.500 --> 00:12:21.420]   problem today, is AI embodiment. So we see like in Hacker News and the newest news all around that
[00:12:21.420 --> 00:12:26.540]   we're trying to create bots that interact with our world. And most recently, we have seen these robot
[00:12:26.540 --> 00:12:34.460]   dogs that are able to deliver you a water cup or something like that. But these systems do not compete
[00:12:34.460 --> 00:12:41.340]   with humans ourselves. Humans are like built to interact with our world. And that brings me
[00:12:41.340 --> 00:12:50.860]   to here, which is that today we have humans hiring AI agents to do their work for them. I'm sure all of
[00:12:50.860 --> 00:12:57.740]   you guys have probably employed some sort of AI agent to do your work for you. But today with SideQuest,
[00:12:57.740 --> 00:13:04.620]   we are flipping the script, we are flipping the script. And we have AI agents hiring humans to do their work for
[00:13:04.620 --> 00:13:13.500]   them. So AI agents obviously are amazing at interacting with the digital world. And humans are amazing at
[00:13:13.500 --> 00:13:19.180]   interacting with the physical world. So why can't these AI agents just hire the humans?
[00:13:19.180 --> 00:13:26.620]   So that brings me to the architecture of SideQuest, which is basically, like, let me give you a
[00:13:26.620 --> 00:13:34.060]   hypothetical example. Let's say an AI agent is trying to host a hackathon. So now they have all the logistics
[00:13:34.060 --> 00:13:39.660]   covered, but they need to put some advertising material up. They need some flyers up so that
[00:13:39.660 --> 00:13:44.620]   people can find out where this hackathon is, where to go. But they don't have any physical means to do that.
[00:13:44.620 --> 00:13:51.260]   So what they do is that they ping the nearest human to that area and tell them, "Oh, pick up this flyer,
[00:13:51.260 --> 00:13:57.580]   put it in this location, and livestream that video to me. And as soon as I can see that you did it,
[00:13:57.580 --> 00:14:03.260]   then I'll give you money." So that's exactly what's happening in SideQuest, and I'll show you a short demo.
[00:14:09.580 --> 00:14:14.540]   Hello, world. My AI friends and I are hosting a hackathon. Let's check if the flyers are up.
[00:14:14.540 --> 00:14:17.500]   So we see a flyer here. Flyer detected.
[00:14:17.500 --> 00:14:21.500]   But we do not see a flyer here. No flyer detected.
[00:14:21.500 --> 00:14:25.900]   Bruh, I need a human to put on some flyers in room two. Let's do this.
[00:14:35.740 --> 00:14:41.900]   It looks like there's a quest. So I have to collect three posters from table eight. Let's do it.
[00:14:41.900 --> 00:14:48.380]   So over here, there's a live video stream that Claude is actively looking at and verifying whether
[00:14:48.380 --> 00:14:50.700]   you're doing a new task. I found table eight. Let's see the posters.
[00:14:57.980 --> 00:15:01.100]   Boom. Scanned. It says I have to set them up in Strong Yes.
[00:15:01.100 --> 00:15:13.660]   We're here at Strong Yes. Now, let's set up the poster. And perfect. I think that should be good.
[00:15:13.660 --> 00:15:23.180]   Let's scan it. Booyah. I made a hundred bucks. Let's go. And boom, we're done. We're ready for the hackathon.
[00:15:24.700 --> 00:15:31.260]   Yep. And that's SideQuest. So let me talk a little bit about what I learned with building with Claude.
[00:15:31.260 --> 00:15:37.580]   Is that first, Claude is really smart, as with like any of these AI systems these days. And they can
[00:15:37.580 --> 00:15:44.140]   reason through many messy edge cases. So we as humans, we don't need to prompt every little nitty-gritty
[00:15:44.140 --> 00:15:51.740]   thing. We can start thinking about bigger picture parts of building products. Secondly, we should design
[00:15:52.780 --> 00:15:58.620]   like with a back and forth workflow with these AI systems. Like originally, we are thinking like
[00:15:58.620 --> 00:16:04.620]   upfront, oh, how should I build this whole big thing? But that's a really big task. You can break it down.
[00:16:04.620 --> 00:16:09.820]   Ask Claude, oh, like what are the different things that I need to do to to work on something? And let's
[00:16:09.820 --> 00:16:15.820]   build this step by step. So with this iterative process, you can build like very robust systems.
[00:16:17.580 --> 00:16:24.140]   So bottom line is that you should trust AI and trust Claude that they aren't things that you
[00:16:24.140 --> 00:16:30.860]   have to micromanage. They can think on their own as well. And now some takeaways for builders to be like
[00:16:30.860 --> 00:16:39.420]   like this cool guy, not this grumpy guy, is that you should think of AI as a system rather than just a
[00:16:39.420 --> 00:16:46.540]   feature builder. That this is someone that you can like talk to, reason with. And secondly, as like thinking
[00:16:46.540 --> 00:16:55.660]   bigger picture about us as humans, is that we should be system designers first, or architects of like the
[00:16:55.660 --> 00:17:00.860]   things that we're building. Because in the future, we aren't going to be the ones writing the small code.
[00:17:00.860 --> 00:17:07.500]   We'll be the ones dictating what code to write. So that brings me to the end. Thank you guys so much.
[00:17:07.500 --> 00:17:09.500]   Have a great day. Bye bye.
[00:17:09.500 --> 00:17:19.100]   All right. Good afternoon, everyone. I'm Daniel. I study computer science at USC, and I've also built
[00:17:19.100 --> 00:17:25.260]   projects across Amazon, IBM, and various startups. Yeah, very honored to be here as a student speaker
[00:17:25.260 --> 00:17:31.820]   today. For more context, I help USC lead some of the entrepreneurship programs. And over the past year,
[00:17:31.820 --> 00:17:36.780]   Claude has been integral to many of our projects, powering innovative solutions across various domains.
[00:17:36.780 --> 00:17:42.540]   When Anthropic announced the hackathon at USC, a lot of the students, including my teammates Vishnu,
[00:17:42.540 --> 00:17:47.340]   Shabayan, and myself, were naturally very eager to join in and explore new directions with Claude.
[00:17:48.220 --> 00:17:53.180]   Today, I'm honored to share our journey and insights with you. So let's first start by looking at the
[00:17:53.180 --> 00:17:59.580]   problem. Current LLMs are great at giving answers, but when decisions really matter, one general response
[00:17:59.580 --> 00:18:06.380]   just isn't enough most of the time. Whether it's business, healthcare, or policy, high-stakes decisions
[00:18:06.380 --> 00:18:14.460]   require diverse input and deep analysis. Today, getting those perspectives means prompting an LLM multiple times,
[00:18:14.460 --> 00:18:20.940]   which could be slow, inconsistent, and very manual. Knowing that Claude excels at complex reasoning
[00:18:20.940 --> 00:18:25.740]   as one of its most impressive capabilities, that's the gap that we aim to solve for our hackathon.
[00:18:25.740 --> 00:18:31.420]   Introducing Claude Cortex, a system designed to emulate a panel of experts,
[00:18:31.420 --> 00:18:37.100]   each analyzing the problem from a different angle. It dynamically creates specialized agents tailored to
[00:18:37.100 --> 00:18:43.580]   your problem context and enables parallel processing for diverse insights. The output here is a more
[00:18:43.580 --> 00:18:48.060]   synthesized and well-rounded recommendation, enhancing output quality for decision making.
[00:18:48.060 --> 00:18:52.540]   It's basically like having your own strategy team for each prompt.
[00:18:53.740 --> 00:18:59.100]   So yeah, let me show you how it works with a really simple example to test out the agents. So let's say I
[00:18:59.100 --> 00:19:04.060]   want to learn how to use Lengraph specifically by researching its documentation. I also want to share
[00:19:04.060 --> 00:19:09.180]   that finding with my teammates. I would type that in as a single prompt and let the master agent interpret
[00:19:09.180 --> 00:19:14.060]   that request and spin it different agents, which in this case will need a browser agent to search and
[00:19:14.060 --> 00:19:19.500]   extract relevant information from Lengraph's documentation, a research agent to summarize the key
[00:19:19.500 --> 00:19:26.860]   concepts in plain language, as well as a notes agent to generate clear explanations, which it then shares
[00:19:26.860 --> 00:19:31.980]   with my teammates automatically. Each agent will work independently, but they can communicate with one
[00:19:31.980 --> 00:19:35.820]   another, creating a multi-agent system that gives more comprehensive insights.
[00:19:35.820 --> 00:19:43.740]   Now for sectors where data security and compliance are paramount, Claude Cortex offers a secured mode by
[00:19:43.740 --> 00:19:49.580]   integrating with AWS Bedrock. It ensures that all operations meet privacy standards, making it ideal
[00:19:49.580 --> 00:19:54.940]   for sensitive environments. The rest of our architecture is also very straightforward. The front
[00:19:54.940 --> 00:20:00.060]   end was built with Next and Tailwind. The back end leverages Fast API and Lengraph for orchestrating
[00:20:00.060 --> 00:20:05.740]   multi-agent workflows. And Claude, of course, powers our agents reasoning with the addition of browser use,
[00:20:05.740 --> 00:20:13.420]   which allows agents to fetch real-time web data and enhance their analytical capabilities. Claude Cortex represents a
[00:20:13.420 --> 00:20:18.700]   shift in the way we use language models, moving away from simply generating responses to
[00:20:18.700 --> 00:20:22.700]   structuring parallel reasoning pathways and delivering more comprehensive insights.
[00:20:22.700 --> 00:20:28.620]   It's versatile, making it valuable across various sectors, from corporate strategy to public health safety.
[00:20:28.620 --> 00:20:35.980]   Now, the key takeaways from building Claude Cortex are very intuitive, but the main two points here that I
[00:20:35.980 --> 00:20:43.100]   want to emphasize are that when agent outputs were more focused and well-structured, like JSON format, Claude's synthesis
[00:20:43.100 --> 00:20:50.220]   became more nuanced and high quality. It struggled, however, when upstream agents were more vague and
[00:20:50.220 --> 00:20:57.740]   just dumped text blobs into the stream. And then dynamic task creation allows for flexibility. What that
[00:20:57.740 --> 00:21:04.780]   means is we first started off by creating five predefined agents for every scenario. However, we later
[00:21:04.780 --> 00:21:11.180]   realized that having a master agent to decide what tasks and agents to create allowed for more accurate and relevant information.
[00:21:12.780 --> 00:21:18.060]   What we're building with Claude Cortex sits at a broader trend. Claude is powering a large number of student-led
[00:21:18.060 --> 00:21:24.220]   products at USC. We've seen tools for lawyers to process case files faster, apps that help people retain
[00:21:24.220 --> 00:21:29.180]   and connect knowledge more effectively, and software that can automate documentation and progress updates.
[00:21:29.180 --> 00:21:35.020]   Claude's ability to read deeply, summarize clearly, and follow structure is what makes all of this possible.
[00:21:36.620 --> 00:21:41.900]   Looking ahead, as a student building with Claude, the most powerful applications I've seen aren't just
[00:21:41.900 --> 00:21:46.380]   asking Claude for answers. They're using it as infrastructure, something that you can wire into
[00:21:46.380 --> 00:21:51.020]   your workflows and something that you can orchestrate like a system. And that's the shift that we see as
[00:21:51.020 --> 00:21:57.740]   well. We imagine agents that can collaborate with one another, tools that can reflect, and context that can
[00:21:57.740 --> 00:22:03.900]   compound. In summary, Claude Cortex isn't another AI tool. It's a leap towards a more intelligent,
[00:22:03.900 --> 00:22:10.380]   secure, and multi-dimensional decision-making process. As we continue to refine and expand its capabilities,
[00:22:10.380 --> 00:22:15.260]   we invite you to explore its potential and join us in shaping the future of AI-driven solutions.
[00:22:16.300 --> 00:22:21.340]   Here's the team behind Claude Cortex. We're all student builders and we're all, yeah, builders and student
[00:22:21.340 --> 00:22:25.420]   leaders at USC, and we would love to discuss more, so please feel free to reach out to us whenever.
[00:22:25.420 --> 00:22:31.020]   I'm Daniel Gao, and it's been a pleasure sharing our work with you. Thank you for your time and attention today.
[00:22:31.020 --> 00:22:37.580]   Thank you.
[00:22:37.580 --> 00:22:38.580]   Thank you.

