
[00:00:00.000 --> 00:00:02.960]   if we impose high structural tariffs,
[00:01:38.820 --> 00:01:46.300]   - Well, I, I have to say, it's good to be reminded that it's March Madness,
[00:01:46.300 --> 00:01:52.060]   but it feels like it's global madness just in terms of like the pace of everything going on in the world.
[00:01:52.060 --> 00:02:01.000]   You know, you know, I can't believe I was in Washington last week and there's a lot of exciting stuff going on with regard to invest America on Capitol Hill and at the White House.
[00:02:01.000 --> 00:02:01.840]   - Yeah, congrats on that.
[00:02:01.840 --> 00:02:08.480]   - That, that I'm thrilled about, you know, the pace of AI, the pace of these changes coming out of Washington.
[00:02:08.480 --> 00:02:15.840]   You know, a lot of which I think is total, is really fantastic, but it's, you know, certainly unsettling the markets.
[00:02:15.840 --> 00:02:28.380]   And then the last couple of days I've been at, down at GTC, the big NVIDIA developer event, you know, while there's a lot of uncertainty in the world, you know, I'm super bullish on where all of this is headed.
[00:02:28.380 --> 00:02:41.960]   And this is one of those moments at times where I just feel like you have to hold these two competing, but simultaneous truths that things really are accelerating and that we're getting ourselves in a position for this period of, you know, the golden age.
[00:02:41.960 --> 00:02:48.800]   But, you know, still that some of this caution is warranted in the short run as we try to figure out how it all unfolds.
[00:02:48.800 --> 00:03:02.420]   - And for those, those that listen to us regularly, they'll know that, that, you know, many months ago, you expressed this concern that some of the changes were going to create disruption in the financial markets and that you were getting more cautious.
[00:03:02.420 --> 00:03:07.760]   - And that played out, I guess everything moves fast these days, but that played out extremely quickly.
[00:03:07.760 --> 00:03:16.460]   And so the markets have corrected the MAG-7, I think the cover of Barron's had the list of the MAG-7 and how down they all are.
[00:03:16.460 --> 00:03:23.260]   And so, yeah, I mean, anytime you get a correction, then people immediately want to know now what, right?
[00:03:23.260 --> 00:03:30.100]   And so did, has the air come out that you expected and now it's something different or do you remain cautious?
[00:03:30.100 --> 00:03:42.940]   - I think it was like on February 4th or February 6th, we did that pod and I said, you know, well, I think the golden age will come, that first we have to go through this golden age of uncertainty, right?
[00:03:42.940 --> 00:03:55.780]   - That we had kind of maximum political uncertainty, maximum economic uncertainty, maximum technological uncertainty that causes discount rates to go up, you know, causes risk premiums to go up, causes multiples to come down.
[00:03:55.780 --> 00:04:07.780]   And the first leg of that, I think the, the, the NASDAQ's down about 10%, um, since that moment, I think a lot of the components of the NASDAQ are down much more 20, 30%, right since that moment.
[00:04:07.780 --> 00:04:12.580]   And I, and I think that's just the gas of uncertainty being let out.
[00:04:12.580 --> 00:04:21.820]   And just in the last week or so, Bill, we started rolling over to the second potential leg of concern, which is fear of recession and growth.
[00:04:21.820 --> 00:04:23.940]   And so what I would tell you-
[00:04:23.940 --> 00:04:26.500]   - Which can become a self-fulfilling prophecy, right?
[00:04:26.500 --> 00:04:28.420]   Like if people fear, yeah.
[00:04:28.420 --> 00:04:30.300]   - Absolutely, absolutely.
[00:04:30.300 --> 00:04:36.900]   And so in fact, what everybody is now wringing their hands about, right, is where are we today?
[00:04:36.900 --> 00:04:38.580]   - So I think it's a mixed message.
[00:04:38.580 --> 00:04:44.420]   Um, so let me give you a couple of the data points that we're looking at, we're collecting on both sides of the message.
[00:04:44.420 --> 00:04:49.700]   You know, first, I would say that kind of the negative data points have been gathering steam.
[00:04:49.700 --> 00:04:50.740]   What are those?
[00:04:50.740 --> 00:04:53.620]   Well, consumer confidence is worsening.
[00:04:53.620 --> 00:05:01.300]   So this is consumers worried about their jobs is up to a really, uh, a much higher level than it's been out over the course of the last several years.
[00:05:01.860 --> 00:05:03.540]   Business confidence is worsening.
[00:05:03.540 --> 00:05:09.300]   So this is a record high share of consumers think business conditions, right, are worsening.
[00:05:09.300 --> 00:05:15.540]   Then we hear on CNBC from Delta Airlines at first, and then from United Airlines, and then from Frontier
[00:05:15.540 --> 00:05:19.940]   Airlines that consumer demand is really, uh, you know, taking a hit.
[00:05:19.940 --> 00:05:23.540]   And remember, you know, the airline stocks is kind of the bleeding edge.
[00:05:23.540 --> 00:05:26.900]   You know, am I going to fly to Vegas this weekend to watch the games in Vegas?
[00:05:26.900 --> 00:05:30.740]   Uh, I'm a little bit worried about, you know, my savings or this or that.
[00:05:30.740 --> 00:05:34.980]   So, you know, I'll, I'll just watch it at home, uh, rather than going to Vegas.
[00:05:34.980 --> 00:05:41.300]   And so I, I watch that very closely and we track it and we, we have this really interesting chart that
[00:05:41.300 --> 00:05:47.300]   we'll post on the U S uh, supply and, uh, airline supply and demand balance.
[00:05:47.300 --> 00:05:53.700]   And we're seeing, you know, a real downtick in terms of consumer, uh, employment.
[00:05:53.700 --> 00:05:56.100]   So this is TSA passenger growth.
[00:05:56.100 --> 00:05:58.740]   So that's a leading indicator again on the negative side.
[00:05:58.740 --> 00:06:03.220]   Are you able to, are you able to tell if it's consumer traffic or business or, and
[00:06:03.220 --> 00:06:05.940]   people have been talking about government traffic, maybe way down.
[00:06:05.940 --> 00:06:08.820]   I think, I think it's all in there, right?
[00:06:08.820 --> 00:06:14.580]   Because it's hard to, to differentiate between a small business, a sole proprietorship and consumer.
[00:06:14.580 --> 00:06:16.340]   So I think it's all in there.
[00:06:16.340 --> 00:06:21.780]   And then of course, if you look at the Atlanta fed tracker, the GDP tracker, which is kind of this,
[00:06:21.780 --> 00:06:22.820]   they call GDP.
[00:06:22.820 --> 00:06:25.780]   Now it's turned down pretty significantly.
[00:06:25.780 --> 00:06:31.060]   And a lot of people, Kevin Hassett and others have pointed out kind of the one time issues that
[00:06:31.060 --> 00:06:37.460]   are impacting this around net exports, but let's just suffice it to say, um, that, that that's going
[00:06:37.460 --> 00:06:38.420]   down.
[00:06:38.420 --> 00:06:43.220]   And then the fed just reported today that things in fact are resetting.
[00:06:43.220 --> 00:06:46.020]   So literally, but right before we got on here, Bill,
[00:06:46.020 --> 00:06:50.660]   the fed is, uh, released their new meat median dot plot, if you will,
[00:06:50.660 --> 00:06:54.900]   for what they think about, uh, GDP inflation, et cetera.
[00:06:54.900 --> 00:07:00.660]   So what they just told us is the median estimates of all the fed governors lower GDP.
[00:07:00.660 --> 00:07:04.740]   So they took their GDP estimate for the year from 2.1 to 1.7.
[00:07:04.740 --> 00:07:10.740]   They took their unemployment rate for the year up right from 4.3 to 4.4.
[00:07:10.740 --> 00:07:17.380]   And they took their median, uh, expectation for inflation up as well, which is slightly concerning
[00:07:17.380 --> 00:07:19.620]   from 2.5 to 2.7.
[00:07:19.620 --> 00:07:25.380]   So all three of those things, the fed just told us are kind of moving in the wrong direction.
[00:07:25.380 --> 00:07:30.180]   And they're looking at, they're really pointing to the economic conditions.
[00:07:30.180 --> 00:07:34.260]   And they're saying the economic conditionings are, uh, are worsening.
[00:07:34.260 --> 00:07:40.180]   Now, let's talk about kind of what we're hearing out of the administration and the other side of that.
[00:07:40.180 --> 00:07:45.940]   You know, I think one of the keys that people have to get their head around is this, this
[00:07:45.940 --> 00:07:51.460]   administration has a principled view about restructuring globalism.
[00:07:51.460 --> 00:07:54.340]   This is that uncertainty, the political uncertainty I was talking about.
[00:07:54.340 --> 00:07:58.100]   J.D. Vance gave this incredible speech yesterday, Bill,
[00:07:58.820 --> 00:08:02.660]   at the American dynamism event that, that Andreessen puts on in Washington.
[00:08:02.660 --> 00:08:05.220]   And there were two things he pointed out.
[00:08:05.220 --> 00:08:08.900]   He called them the two conceits of globalism, right?
[00:08:08.900 --> 00:08:13.460]   And he said, this is the reason we have to have tariffs and we have to restructure the world.
[00:08:13.460 --> 00:08:19.140]   The first one was that he, that he talked about was that he said, you know,
[00:08:19.140 --> 00:08:23.460]   there was this view in the United States that we would just whack up the world.
[00:08:23.460 --> 00:08:29.540]   We would do all the high value stuff. And then places like China would do all the low value stuff.
[00:08:29.540 --> 00:08:34.340]   But of course they start with manufacturing. Then it moves to precision manufacturing.
[00:08:34.340 --> 00:08:40.980]   And then it moves to design. And before you know it, BYD is designing a better car.
[00:08:40.980 --> 00:08:46.740]   And CATL is designing a better battery. And their glow, their vertically, uh,
[00:08:46.740 --> 00:08:52.660]   integrated supply chain around semiconductors no longer is dependent upon NVIDIA for inference.
[00:08:52.660 --> 00:08:57.380]   Now they're running inference at DeepSeq on the Ascend 910 produced by Huawei.
[00:08:57.380 --> 00:09:00.100]   And so that was the first thing that he pointed out.
[00:09:00.100 --> 00:09:04.340]   And the second thing is he said, cheap labor is fundamentally a crutch to innovation.
[00:09:04.340 --> 00:09:09.060]   And so that the United States has not innovated and industrialized the way that it should have.
[00:09:09.060 --> 00:09:14.340]   So my point here is that when you think about the administrative,
[00:09:14.340 --> 00:09:20.020]   administration's policies that is particular, that is causing some of this uncertainty, right?
[00:09:20.020 --> 00:09:22.100]   This is very intentional, right?
[00:09:22.100 --> 00:09:28.260]   Scott Bessett, our treasury secretary calls it the American detox period, right?
[00:09:28.260 --> 00:09:32.980]   That we need to reset the fiscal and monetary balance in the United States,
[00:09:32.980 --> 00:09:36.980]   and that there's going to be some short-term pain for longer-term gain.
[00:09:37.540 --> 00:09:42.820]   So I think that we haven't had a clearing event. We're going to have reciprocal and sectoral tariffs
[00:09:42.820 --> 00:09:49.300]   announced on April 2nd. And so the market is in this churning back and forth, waiting and seeing,
[00:09:49.300 --> 00:09:55.780]   trying to figure out if this tips the economy into a negative light. But I will just say,
[00:09:55.780 --> 00:09:59.940]   so what's the positive on here? I would say two big positives or maybe three big positives.
[00:09:59.940 --> 00:10:06.820]   Number one, first, Bessett said that he's seeing data points from credit card data and bank data that
[00:10:06.820 --> 00:10:12.660]   the consumer is really not slowing down. Moynihan from Bank of America was on CNBC this morning
[00:10:12.660 --> 00:10:19.540]   and said that consumer credit growth and bank expenditures from Bank of America were actually up
[00:10:19.540 --> 00:10:23.940]   six percent year over year, had not slowed down despite the fact that they're getting a little
[00:10:23.940 --> 00:10:29.220]   bit more concerned about the economy. So that the real-time data does not look that bad to me.
[00:10:29.220 --> 00:10:35.940]   Secondly, I think that when I talk to managers and I've talked to a lot of long only and hedge fund
[00:10:35.940 --> 00:10:41.460]   managers over the last couple of weeks, they're all in their bottom quartile of exposures bill. So
[00:10:41.460 --> 00:10:45.780]   they all kind of heeded the warning of the market said, I'm going to get out of the way here for a while.
[00:10:45.780 --> 00:10:50.740]   But interestingly enough, they all believe that the back half of the year and next year is going
[00:10:50.740 --> 00:10:56.900]   to be really great. And so there's this, you know, there's this, you know, volume dial where they've
[00:10:56.900 --> 00:11:02.820]   all turned down the volume dial a little bit, but they all kind of want to get back in before this plays
[00:11:02.820 --> 00:11:08.980]   through. So that's the question. Are we in for another five to 10 percent leg down, right? Can we find
[00:11:08.980 --> 00:11:17.460]   a bottom for the market or are we going to get a clearing event? And I think it's too early to know.
[00:11:17.460 --> 00:11:22.180]   How do you square your airline data with those other data points?
[00:11:22.180 --> 00:11:27.540]   Yeah. You know, they asked that question to Moynihan this morning on CNBC. They said,
[00:11:27.540 --> 00:11:33.620]   how can consumer spending, you know, be good if the airline data is ticking down? And he said,
[00:11:33.620 --> 00:11:38.340]   they just shift their spending. So they're spending on local entertainment and, you know, restaurants,
[00:11:38.340 --> 00:11:42.660]   etc. And they're, you know, the bigger ticket items are turning down. He said, but in the wash
[00:11:42.660 --> 00:11:48.740]   and they're looking at 1.5 trillion of consumer spending per quarter. He said in the wash,
[00:11:48.740 --> 00:11:54.340]   it's up 6% year over year. So again, I think, you know, when you think about the Fed's median forecast,
[00:11:54.340 --> 00:12:01.380]   those are forward looking forecasts. So I think what a lot of people are saying is the data at right now
[00:12:01.380 --> 00:12:06.580]   is, you know, there's a little bit that's mixed, but most of the data, the consumer is still holding
[00:12:06.580 --> 00:12:13.780]   up. But I will tell you talking to CEOs, CEOs are absolutely more on hold today than they were before.
[00:12:13.780 --> 00:12:18.980]   They want to see what these April 2nd tariffs bring before they make big decisions.
[00:12:18.980 --> 00:12:23.700]   And do you have any insight into that or perspective on where that lands?
[00:12:23.700 --> 00:12:30.020]   Because, I mean, obviously everyone's talking about this, but there's a big question as to whether
[00:12:30.020 --> 00:12:36.660]   Trump's negotiating or not. And so will the, will the, will the bark be worse than the bite and, and does
[00:12:36.660 --> 00:12:42.900]   what lands is simpler and less disruptive than maybe what was broadcast at the beginning?
[00:12:43.700 --> 00:12:50.660]   Well, so I, I have two strong points of view on that. One is, this is not a negotiating tactic
[00:12:50.660 --> 00:12:58.500]   by Trump. I think that diminishes the administration's principled approach to restructuring globalism.
[00:12:58.500 --> 00:13:01.780]   I mean, you really have to listen to the speech that Vance gave yesterday.
[00:13:01.780 --> 00:13:02.580]   I did. I did.
[00:13:02.580 --> 00:13:07.060]   Whether, whether, whether, whether it's Besant, whether it's Howard Lutnick, whether it's,
[00:13:07.060 --> 00:13:12.900]   like, they have a fundamental view that the middle class was hollowed out by, you know,
[00:13:12.900 --> 00:13:19.700]   effectively sending all of this labor offshore. They want to re-industrialize America. And so like,
[00:13:19.700 --> 00:13:25.460]   this is not just a negotiation to try to get a little bit more. In that light, Bill, when you think
[00:13:25.460 --> 00:13:33.060]   about the tariffs coming on April 2nd, they have said there's about 15 countries. They're going to outline
[00:13:33.060 --> 00:13:38.420]   country by country, what they, they call them. I think I heard Besant call them the terrible 15.
[00:13:38.420 --> 00:13:45.700]   Country by country, the trade and the non-trade barriers and what that, what that totals,
[00:13:45.700 --> 00:13:51.220]   right? Is it 1 trillion? Is it 2 trillion? They expect a lot of those countries to come to the table.
[00:13:51.220 --> 00:13:57.300]   They said some of them have already come preemptively to try to cut a deal. Some of them will come after
[00:13:57.300 --> 00:14:03.860]   the fact to try to cut a deal. I don't see like if on April 2nd, we're going to lay this out. I don't
[00:14:03.860 --> 00:14:09.460]   see how that can be the end. It feels like a lot closer to the beginning to me of a negotiation than
[00:14:09.460 --> 00:14:14.260]   it feels like the end of a negotiation. But I think, you know, they're going to be a lot of things made
[00:14:14.260 --> 00:14:18.420]   clear. Like one of the things we've talked about, are there going to be tariffs on semiconductors?
[00:14:18.420 --> 00:14:23.220]   There's a good argument not to tariff semiconductors because we're in an AI race.
[00:14:23.220 --> 00:14:28.020]   Why make it more expensive for U.S. companies? But at the same time, if you just look at,
[00:14:28.020 --> 00:14:34.980]   you know, re-onshoring American manufacturing, you would probably say we need to put some tariffs on,
[00:14:34.980 --> 00:14:41.140]   on, you know, the import of semiconductors to incentivize the domestic building of semiconductor
[00:14:41.140 --> 00:14:46.340]   manufacturing supply chain. Yeah. I will tell you for what it's worth and,
[00:14:47.060 --> 00:14:52.820]   and, you know, I'm always open to changing my mind later and, and would love, you know, perhaps to be
[00:14:52.820 --> 00:14:59.540]   proven wrong so that I could adopt a different perspective. But I, I remain based on all the
[00:14:59.540 --> 00:15:05.620]   learning I've done to this point in my life, a big believer in comparative advantage. And I also think
[00:15:05.620 --> 00:15:12.820]   that there are people around the globe that want to work harder for less money than people in America
[00:15:12.820 --> 00:15:19.140]   do. And they have the ability to improve their life on a percentage basis from a standard of living or,
[00:15:19.140 --> 00:15:25.940]   or that kind of thing, a wellness perspective, uh, more than someone would hear for the same marginal
[00:15:25.940 --> 00:15:32.340]   effort. And I think because of that, you know, water runs downhill and that's where those jobs want to go
[00:15:32.340 --> 00:15:38.020]   and pulling up, pulling up the wall. I mean, I've said some of this stuff before, but pulling up the wall,
[00:15:38.020 --> 00:15:43.380]   I don't think it's going to work. I don't think there's anybody that wants to build a $40 microwave
[00:15:43.380 --> 00:15:50.980]   in America. And I look at the, you know, competition in the auto market where China now has what 35% of
[00:15:50.980 --> 00:15:57.540]   the global market. Um, and they're producing better cars faster. Like, I don't like, does anyone really
[00:15:57.540 --> 00:16:03.540]   expect GM and Ford to reorient themselves overnight? And I don't even think they could because of the
[00:16:03.540 --> 00:16:08.740]   presence of the labor union. So I don't, I don't know. I'm, and, and, and you and I have talked
[00:16:08.740 --> 00:16:15.940]   about Morris Chang's comments about, you know, why he went from Texas Instruments to Taiwan. And, and we're,
[00:16:15.940 --> 00:16:20.420]   you know, I guess one day maybe we get to full automation and that's a completely different world.
[00:16:20.420 --> 00:16:26.100]   But, but even if that's what you're encouraging in the U S it doesn't bring the employment back. It
[00:16:26.100 --> 00:16:32.820]   just brings automation here, which has some value. Um, but, but, but that's the part that I think is a
[00:16:32.820 --> 00:16:41.300]   little between JD's two main points. One of them like vilified the loss of jobs, but I don't think the
[00:16:41.300 --> 00:16:47.460]   approach brings the jobs back. He's talking mostly about innovation and, and, and was a little derogatory
[00:16:47.460 --> 00:16:52.420]   towards cheap labor, which I, I don't think is the appropriate way to look at people that are trying
[00:16:52.420 --> 00:17:00.740]   to, you know, hustle their way up the ladder. Well, I, you know, I do think objectively, um,
[00:17:00.740 --> 00:17:08.420]   when you look at, at the facts, there has not been much in the, you know, the, the bottom 40% of the
[00:17:08.420 --> 00:17:13.700]   country has not been, you know, kind of keeping up. I think you make a good defense and frankly,
[00:17:13.700 --> 00:17:20.420]   a defense that most CEOs I talk to are in agreement with you. And I would say even, uh, maybe a majority
[00:17:20.420 --> 00:17:27.380]   of Republicans on Capitol Hill bill are in agreement with you. It's basically an argument against higher
[00:17:27.380 --> 00:17:32.980]   structural tariffs. I do think that the middle ground for the administration, I think they have
[00:17:32.980 --> 00:17:40.100]   a principled, a structured, and a sound belief that, that unfettered free trade has not been good for
[00:17:40.100 --> 00:17:47.860]   America. And they have a view that fair trade, right? Where the U S has appropriate incentives
[00:17:47.860 --> 00:17:53.220]   for structurally important industries, whether it's advanced manufacturing, whether it's semiconductors,
[00:17:53.220 --> 00:17:57.700]   whether it's steel and aluminum, et cetera, to be produced in the United States. So I, you know,
[00:17:57.700 --> 00:18:04.100]   maybe it's a cop-out by me, but I do believe there's a middle ground here. And if we just try to quantify it
[00:18:04.100 --> 00:18:11.780]   for a second, last year, we had about $65 billion in tariff revenues generated by the United States.
[00:18:11.780 --> 00:18:18.260]   And the real question is, what are we going to? If I told you, Bill, we're going from 65 billion
[00:18:18.260 --> 00:18:23.860]   in tariff revenue to 120 billion in tariff revenue, I imagine you would say, ah, that doesn't feel like
[00:18:23.860 --> 00:18:29.620]   that big a change. Like we can absorb that pretty easily. If I told you we were going from 65 billion
[00:18:29.620 --> 00:18:35.860]   to a trillion of tariff revenue, right? That we were going to erect a trillion dollars in, in, in kind
[00:18:35.860 --> 00:18:42.340]   of barriers. I think you would be more concerned about the impact that would have on the economy,
[00:18:42.340 --> 00:18:46.420]   not only globally, but also domestically. I don't mean to put words in your mouth,
[00:18:46.420 --> 00:18:50.340]   but would you agree with that? Well, I mean, I would, I would just continue
[00:18:50.340 --> 00:18:55.460]   like to say, like, like when you talk about the hollowing out of the middle class in America,
[00:18:55.460 --> 00:19:00.660]   that happened. If, if, if you believe that happened, that happened simultaneously
[00:19:00.660 --> 00:19:06.660]   with bringing 500 million people out of poverty in China. And so from a global perspective,
[00:19:06.660 --> 00:19:13.940]   is that trade like, like, is that the global poverty improved dramatically over that period
[00:19:13.940 --> 00:19:19.220]   of time? Correct. So you get into an interesting debate, but I also think whether it's through
[00:19:19.220 --> 00:19:26.580]   tariffs or restrictions, like protecting the U S and I would say this applies to cars and AI and,
[00:19:26.580 --> 00:19:36.340]   and everything else, protecting the U S by trying to somehow injure or, or disable or hinder
[00:19:36.980 --> 00:19:43.460]   a competitor that's in a different country in the long run will make us weaker. I believe that
[00:19:43.460 --> 00:19:49.300]   fundamentally. You know, listen, I don't think this is about protecting us from global competition,
[00:19:49.300 --> 00:19:54.660]   right? If I believe that's where the administration was going, I would give much stronger case for
[00:19:54.660 --> 00:20:01.460]   pushback. I think this is about making the playing field more even so that we're not the stooges on the
[00:20:01.460 --> 00:20:08.580]   global stage where we're effectively handing over our IP and our high paying jobs to them, because,
[00:20:08.580 --> 00:20:12.500]   you know, we're going to see on April 2nd, like there's a firm belief that the Europeans, as an
[00:20:12.500 --> 00:20:18.180]   example, are harassing our companies, are imposing standards on our companies, all these non-tariff
[00:20:18.180 --> 00:20:24.340]   barriers that probably add up to trillions of dollars would be my guess. And that it, it fundamentally
[00:20:24.340 --> 00:20:30.420]   creates, you know, an unfair playing field. You know, you're never going to sell a Cadillac in Berlin,
[00:20:30.420 --> 00:20:36.100]   but we got tons of BMWs being, you know, sold in the United States. And so I'm all for making the
[00:20:36.100 --> 00:20:41.540]   whole playing field fair. I don't really have a great sense for the level of these imbalances. I'm
[00:20:41.540 --> 00:20:49.540]   looking forward to exploring those. And it does, like, it strikes me as reasonable that over 40 years,
[00:20:49.540 --> 00:20:55.060]   where we've basically had one party rule, both Democrats and Republicans all, you know, promoted
[00:20:55.060 --> 00:21:02.500]   free trade and globalism, that there's probably room for optimization. And, you know, and so we'll see if
[00:21:02.500 --> 00:21:08.100]   they go, if they over tilt on this, I will tell you this, my belief is that if, if we're targeting
[00:21:08.100 --> 00:21:13.860]   tariff revenues going from 65 billion to a trillion, I don't think the U S economy is prepared for that.
[00:21:13.860 --> 00:21:18.820]   And I think that pushes us into a recession. If I think we're going from 65 billion to something like
[00:21:18.820 --> 00:21:24.980]   150 billion by just making it more fair across the board. And, and Scott Bass has been very clear.
[00:21:24.980 --> 00:21:30.900]   He's like, if they remove the barriers on their side, we remove the barriers on our side and all
[00:21:30.900 --> 00:21:35.220]   tariffs will come down. If that's the objective of the administration, which when I listened to
[00:21:35.220 --> 00:21:41.220]   their words, that's what it sounds like, then I think it's a, a good policy and one, the economy
[00:21:41.220 --> 00:21:47.460]   will easily absorb. I, you know, one thing I would say, and then we can move on and, and, and get into
[00:21:47.460 --> 00:21:56.660]   the AI stuff. I, if, if reproporosity is the goal, I really think that the communication could be done
[00:21:56.660 --> 00:22:03.140]   better. Like that can be calmly discussed if that's the goal and you can use math and show slides
[00:22:03.140 --> 00:22:10.180]   and, and you don't have to be compatible, combative to get to that goal. And I think you'd be more
[00:22:10.180 --> 00:22:15.380]   effective not to, not that that's why we're here to guide the administration, but I really think that's
[00:22:15.380 --> 00:22:23.620]   a rational argument and bringing a combative tone to that goal, I think makes it harder to achieve and
[00:22:23.620 --> 00:22:29.460]   make, create behavior on the other side that was unwarranted and unneeded.
[00:22:29.460 --> 00:22:34.660]   Well, listen, I think, I think the reset you've seen in the market, if you said,
[00:22:34.660 --> 00:22:40.260]   what is the number one thing that's striking fear into the market, whether they're CEOs, Capitol Hill,
[00:22:40.260 --> 00:22:45.940]   consumers, et cetera, it's this fear over tariffs and what it's going to mean for the slowdown in
[00:22:45.940 --> 00:22:51.140]   the U S economy. I think the fed median forecast just came down principally because of fear over
[00:22:51.140 --> 00:22:56.020]   tariffs and the uncertainty that that creates in the economy. So we're going to know a hell of a lot
[00:22:56.020 --> 00:23:00.580]   more in the next 60 days. And, and that's why I think you're not going to see tremendous flows into
[00:23:00.580 --> 00:23:05.060]   the market over the course of the next 60 days, because I think a lot of market participants are going to
[00:23:05.060 --> 00:23:10.820]   wait, right. They want to see, is this, you know, is this really just about making it fairer
[00:23:10.820 --> 00:23:17.140]   and flatter playing field, or is this about starting a new big trade war, which I don't, again, I don't
[00:23:17.140 --> 00:23:22.180]   think is the case. One more comment on that. And then I will force us to move on. Zani, who I've met,
[00:23:22.180 --> 00:23:28.820]   who's the editor of the economist was on for read this past week on global square. And she's based in
[00:23:28.820 --> 00:23:35.380]   the UK obviously, but, but covers all of the globe. She said the attitude amongst the European leaders
[00:23:35.380 --> 00:23:41.700]   is so kind of angry and chafed that there's a likelihood they may come to trust China more than
[00:23:41.700 --> 00:23:47.940]   the U S. And I just think that's an important like reality to consider that, that, that may be happening
[00:23:47.940 --> 00:23:55.460]   anyway. Like if you look at BYD sales and into Europe and that kind of thing, but boy, you know, talk about,
[00:23:55.460 --> 00:24:00.180]   you know, picking a fight you didn't want that, that would, that, that would create the opposite
[00:24:00.180 --> 00:24:05.380]   of everything we're talking about. I think for every one of those, I see an equal and opposite,
[00:24:05.380 --> 00:24:11.060]   you know, around, uh, you know, around the world, but I, I w I would say on, you know, when it comes to
[00:24:11.060 --> 00:24:15.380]   more investment in the United States, I think the president's announced a trillion and a half a new
[00:24:15.380 --> 00:24:20.580]   investment. We saw the a hundred billion out of TSMC, uh, you know, including importantly, by the way,
[00:24:20.580 --> 00:24:26.660]   bill building a new R and D fab, like not just, not just, you know, a three or four nanometer,
[00:24:26.660 --> 00:24:31.700]   but advanced R and D fab in the United States. That's critic. That's critical. And so I think,
[00:24:31.700 --> 00:24:35.540]   I think we're going to end up in a better place, but we got to get through kind of that fog of war,
[00:24:35.540 --> 00:24:40.980]   like we've said. So, you know, uh, don't expect some big snapback in the market until we start seeing
[00:24:40.980 --> 00:24:48.580]   these and remember all the goodies, the tax cuts, the deregulation, you know, the, the better business
[00:24:48.580 --> 00:24:53.140]   environment. And this is a good segue to, you know, we're going to talk about whiz and the M and a market,
[00:24:53.140 --> 00:24:58.580]   all of the goodies of a pro growth administration, right. Will come when you get the reconciliation
[00:24:58.580 --> 00:25:03.620]   package back pass, that's a little bit more back half. And so we're taking a little bit of this
[00:25:03.620 --> 00:25:09.700]   medicine upfront, this uncertainty around tariffs, et cetera. And I think when it's balanced out with the
[00:25:09.700 --> 00:25:14.820]   pro growth deregulation side of this net net, I think it's going to be a positive for the economy,
[00:25:14.820 --> 00:25:19.860]   but let me, let me shift gears here, Bill, because this is right in your wheelhouse,
[00:25:19.860 --> 00:25:23.620]   something we've been talking a lot, which is the M and a environment in the United States,
[00:25:23.620 --> 00:25:29.060]   the IPO market environment in the United States. And we get a blockbuster deal announced this week
[00:25:29.060 --> 00:25:35.540]   that Google, uh, has announced to buy whiz, um, for 32 billion all cash deal. Of course,
[00:25:35.540 --> 00:25:41.060]   most people know what whiz is. It's in the cloud security area, which is a huge growth area. They
