
[00:00:00.000 --> 00:00:19.200]   Welcome to the AI Engineers World Fair. This is the first workshop. There's a few other running,
[00:03:30.640 --> 00:03:35.600]   like lodge, you know, showcase corrections. So yes, I'm still human. But yes, like, you know,
[00:03:35.600 --> 00:03:41.520]   we analyze lots of models and stuff like this. And hopefully by the end of these workshops, well,
[00:03:41.520 --> 00:03:45.120]   actually, this one, okay, it's actually not one workshop, it's going to be like multiple things in
[00:03:45.120 --> 00:03:49.680]   one. So like, I decided to like, talk about three things. But I'll tell you about that later. Hopefully,
[00:03:49.680 --> 00:03:55.360]   you guys can like, analyze and learn about how to do, like, find bugs and stuff like that by the end of
[00:03:55.360 --> 00:04:02.080]   today. So another one I did recently was like, you know, Nvidia's Nemetron. I don't know if you saw this,
[00:04:02.080 --> 00:04:08.640]   but Nvidia released a 340 billion parameter model, which is extremely large. I'm assuming this is in,
[00:04:08.640 --> 00:04:14.480]   like, you know, in preparation, like they have to release this earlier before Lama 405 billion,
[00:04:14.480 --> 00:04:18.880]   right? So they have to do this quickly. And but there are like some weird, interesting things,
[00:04:18.880 --> 00:04:24.320]   like, you know, they use the squared value, and not the normal sweet glue and the other types. So that
[00:04:24.320 --> 00:04:28.240]   was very interesting. They were actually the first, well, actually, not the first, but like the first big
[00:04:28.240 --> 00:04:33.920]   model trained to be using these, like other activation functions. And there's other like other weird
[00:04:33.920 --> 00:04:39.120]   quirks and stuff like that. And hopefully, you'll be also able to like, analyze, like, you know,
[00:04:39.120 --> 00:04:43.280]   whenever the code comes out, just read it, and you'll get it. Um, it does take some practice. Okay,
[00:04:43.280 --> 00:04:47.440]   like, I take like, okay, the first time when I read this code, like, it took me like many, many days
[00:04:47.440 --> 00:04:53.600]   to read for like, all these architectures and understand exactly what they are. But now it takes
[00:04:53.600 --> 00:04:58.000]   like 10 minutes. So like, I'm sure you're getting like, just the code comes and just read it. Um,
[00:04:58.000 --> 00:05:03.680]   that's the whole goal today. And also language models, if you don't know, they're not just like
[00:05:03.680 --> 00:05:08.960]   issues and bugs and analysis of these architectures, the tokenizer is a totally separate beast from
[00:05:08.960 --> 00:05:16.240]   language models. My tokenization is like extremely annoying. Um, so like, I also tweeted about like,
[00:05:16.240 --> 00:05:20.560]   you know, there's like different types of tokenization issues, like Mistral, Lama,
[00:05:20.560 --> 00:05:24.960]   like all these different types of like variants of Mistral from the Mistral team, you know,
[00:05:24.960 --> 00:05:29.600]   they have like different tokenizations if you didn't notice. Um, like if you, so the smiley face,
[00:05:29.600 --> 00:05:36.400]   the sun's smiley face is a space. And if you actually tokenize them, um, depending on the model,
[00:05:36.400 --> 00:05:41.600]   you'll have different results. And the question is, which one is correct? Um, unfortunately,
[00:05:41.600 --> 00:05:46.880]   I do not know. Um, I did ask the HockeyFace team for this. Um, and according to them, some of them are
[00:05:46.880 --> 00:05:50.400]   correct. And some of them are just because the Mistral team forgot to update the
[00:05:50.400 --> 00:05:54.640]   model to the fast tokenization variant. Um, we will be talking about this later as well.
[00:05:54.640 --> 00:06:00.720]   Um, but you can see even before you can train or run the model, the tokenizer is broken.
[00:06:00.720 --> 00:06:04.480]   So what are you going to do? Um, it's a multi-pronged problem.
[00:06:04.480 --> 00:06:10.320]   So we don't just do language models. Um, you know, like we don't, you know,
[00:06:10.320 --> 00:06:16.720]   experience is, you know, a bit broader than that. So we actually like, I used to actually major in maths
[00:06:16.720 --> 00:06:21.920]   and computer science. So, um, yes, very fun. Well, actually I kind of did very badly in maths,
[00:06:21.920 --> 00:06:27.040]   but anyways, um, yes, very, very fun. So like SVD, I don't know if anyone, has anyone done normal
[00:06:27.040 --> 00:06:34.800]   machine learning here? Oh yes. Very good. There is a few people. Um, so like the SVD, I'm assuming like
[00:06:34.800 --> 00:06:40.000]   most people know PCA. Yes. Principle component analysis. Yes. Okay. Very good. Data visualization.
[00:06:40.000 --> 00:06:44.560]   It's a very powerful technique. More people should know about it. Um, SVD. Okay. I don't,
[00:06:44.560 --> 00:06:49.680]   I don't know if people know about SVD or like, okay. Yes. It's a bit less well known. I'm actually a bit
[00:06:49.680 --> 00:06:54.000]   confused why people don't know SVD. It's actually the algorithm that's one of the most important
[00:06:54.000 --> 00:07:00.240]   algorithms in all of like maths and computer science. Um, it literally underpins like many applications.
[00:07:00.240 --> 00:07:06.720]   Um, and it is extremely important. Um, maybe we'll talk about that, but yes, I'm a huge proponent
[00:07:06.720 --> 00:07:11.680]   of like telling people to learn more about SVD. So please do the singular value decomposition. That's
[00:07:11.680 --> 00:07:15.760]   like the must, must, must, must, must. Okay. Like that's the most important algorithm. It's because
[00:07:15.760 --> 00:07:20.480]   it's like one algorithm. It can like spawn many other algorithms and it's like, can be used for many
[00:07:20.480 --> 00:07:26.080]   purposes. Um, there's also like the QR decomposition. Okay. Okay. Okay. No one knows. The LU,
[00:07:26.080 --> 00:07:31.840]   Choletsky, like there's a lot, um, randomized SVD. Yes. That's extremely important as well. Um,
[00:07:31.840 --> 00:07:36.720]   and yeah, so we don't just do language models. You can ask me any questions about,
[00:07:36.720 --> 00:07:42.800]   you know, stuff, um, maps or computer science. You, you have a question or real quick. Um,
[00:07:42.800 --> 00:07:51.280]   so do you think, um, so for the Nemo Tron, uh, 340 B, um, is it a unique architecture for,
[00:07:51.280 --> 00:07:57.040]   because you can only use Nemo loader right now to load and train, you know, do the,
[00:07:57.040 --> 00:08:01.600]   I think the data is just the most valuable part, but we are attempting to try to convert it to a
[00:08:01.600 --> 00:08:07.200]   hugging face, a transformer safe tensors. So, but we've had issues because we don't have the modeling
[00:08:07.200 --> 00:08:14.000]   file. So, um, I was wondering, do you think that it's similar to, so at the same day, they uploaded a
[00:08:14.000 --> 00:08:21.840]   7db of llama 3 that's Nemo Tron and 12. Do you think that we can get some clues of how to build a
[00:08:21.840 --> 00:08:28.880]   hugging face implementation? Yes. So the question was, for Nemo Tron, the code was not released
[00:08:28.880 --> 00:08:33.200]   for the actual inference and bot training. And you have to go through the Nemo training framework from
[00:08:33.200 --> 00:08:42.240]   MIM video. Um, yes, but the code. Yeah. I was actually planning on doing something like that,
[00:08:42.240 --> 00:08:48.080]   but as you know, we didn't have time to do that. So I probably, yeah, I might take a crack at that.
[00:08:48.080 --> 00:08:50.720]   And also, is there going to be a Q and A? I don't want to ask any more questions.
[00:08:50.720 --> 00:08:53.680]   Oh, yes. No, no, there is. So you can log questions on Q and A. There is,
[00:08:53.680 --> 00:08:58.720]   there will be Q and A. So we, no, no. Yeah. No, you cannot. Anyone can like raise their hands and
[00:08:58.720 --> 00:09:02.640]   like ask a question. Like I don't, I'll just repeat the question. Um, and, but there is like the
[00:09:02.640 --> 00:09:09.600]   slider. If you want to random questions, I will keep monitoring. Um, yeah. And yeah, so like, oh,
[00:09:09.600 --> 00:09:13.520]   yes. The other one was like another paper called Laura learns less and forgets less. It shows that,
[00:09:13.520 --> 00:09:19.280]   you know, fine tuning by Laura does not really work for learning new knowledge. And, um, well,
[00:09:19.280 --> 00:09:24.800]   it depends. Like it depends on how you actually read the paper. Like some components were incorrect.
[00:09:24.800 --> 00:09:28.400]   They didn't actually train on all linear layers. They've kind of forgot a few. And they also,
[00:09:28.400 --> 00:09:32.560]   you need to do some sort of like, like, you know, special parameters to make this work.
[00:09:32.560 --> 00:09:35.760]   And we will also be talking about that as well. But I was just trying to show you that, you know,
[00:09:35.760 --> 00:09:40.000]   we don't just do language models. So we have like a whole wealth of knowledge across different
[00:09:40.000 --> 00:09:44.560]   industries and stuff. Well, not industries, topics. Um, and you can ask me any question that you like.
[00:09:44.560 --> 00:09:50.800]   Um, so unsloft. Yes. Um, we launched just last December. So I launched this with my brother. Um,
[00:09:50.800 --> 00:09:56.080]   it's a bit outdated. But anyways, um, I think we have 11.9 something K or something. I don't
[00:09:56.080 --> 00:10:00.320]   even know now. But anyways, um, we launched this last December. It generally makes fine
[00:10:00.320 --> 00:10:07.040]   tuning of, um, language models like Lama, Mr. Gemma faster to two times faster, um, generally speaking.
[00:10:07.040 --> 00:10:12.000]   And we have like 70% less memory usage. Now we have like some new methodologies which reduce memory even
[00:10:12.000 --> 00:10:16.400]   further. And the trick is there is no degradation and accuracy. So like, you know, we don't do any,
[00:10:16.400 --> 00:10:21.680]   like, approximations. That's the whole purpose of the optimizations is we don't want to lose any accuracy.
[00:10:21.680 --> 00:10:29.360]   Um, and so we do like Triton kernels. So this is like from OpenAI. Um, it's a language to do like
[00:10:29.360 --> 00:10:36.560]   Cuda programming. Um, essentially it's like an intermediary between the Cuda code and Python itself.
[00:10:36.560 --> 00:10:41.520]   And we'll be showing some Triton code. Um, I don't know if we have time for like programming Triton,
[00:10:41.520 --> 00:10:48.400]   but that'll be another topic. Um, and yeah, so like the whole purpose of unsloft is to make everyone be
[00:10:48.400 --> 00:10:54.160]   able to fine tune the language models with very bad GPUs, right? So like Tesla T4s, the free Google.
[00:10:54.160 --> 00:11:00.160]   Does anyone like people do know that Google collab has free Tesla T4s, right? Yes. Yes. Right. 65
[00:11:00.160 --> 00:11:05.600]   teraflops, right? It's actually not that bad. Um, if you use it properly, um, just a reminder,
[00:11:05.600 --> 00:11:10.400]   there is a common misconception that the P100s on Kaggle is faster. That's actually not correct. Um,
[00:11:10.400 --> 00:11:16.480]   P100s I think are five times slower than Tesla T4s. Um, so although it's actually more expensive as a GPU,
[00:11:16.480 --> 00:11:23.920]   I think, I think, um, but it's actually slower for, um, so please do not select the P100s on Kaggle.
[00:11:23.920 --> 00:11:31.040]   Right? So Kaggle has 30 hours for free per week GPUs. Um, and you get two Tesla T4s. So that's 130
[00:11:31.040 --> 00:11:36.080]   teraflops per week, um, 30 hours. And that is actually very powerful. I think that's the same as
[00:11:36.080 --> 00:11:42.480]   RTX 3070. Although I can't, yeah, I can't, I can't remember exactly. But, um, yeah, so that,
[00:11:42.480 --> 00:11:47.920]   so Kaggle has 30 hours for free per week. Google collab, it depends on how much you use. Normally,
[00:11:47.920 --> 00:11:53.440]   you get four hours per day, I think. Um, I guess the pro is not that bad. It's like $10 per month. You
[00:11:53.440 --> 00:11:59.680]   can actually get, like, yeah, it's pretty good. Um, yeah, so probably get pro. Um, I do not suggest,
[00:11:59.680 --> 00:12:04.480]   I mean, you could use, like, Runprod and Lambda Labs and stuff like that. I guess that's another option. But we do
[00:12:04.480 --> 00:12:09.440]   actually share a pricing comparison. So what you need to, like, be careful when you use GPUs,
[00:12:09.440 --> 00:12:15.440]   there is a big issue is, like, oh, look, this is the most I want to use a H100. Um, did you actually
[00:12:15.440 --> 00:12:21.280]   check how much flops the H100 provides? Um, be careful of NVIDIA's marketing. It's times two,
[00:12:21.280 --> 00:12:26.560]   because it has sparsity. Um, so just be careful of that. And also, you have to be careful of the flops
[00:12:26.560 --> 00:12:31.760]   when it's, like, float eight or float 16. So just be careful of those. Um, I do have a pricing comparison
[00:12:31.760 --> 00:12:36.800]   where we, like, normalize by, like, the flops, um, with no sparsity. And we'd, like, look through,
[00:12:36.800 --> 00:12:44.400]   like, Lambda Labs, Runpod, Google Colab, AWS, um, Google Cloud. And I think Runpod is mostly pretty
[00:12:44.400 --> 00:12:53.600]   good. Oh, yes. Question. Oh, the sparsity? So, okay, so the question was, why is times two for flops for the
[00:12:53.600 --> 00:12:59.680]   sparsity feature on the NVIDIA GPUs? So sparsity, the sparsity feature, what it does is you take 50%
[00:12:59.680 --> 00:13:05.040]   of the weights and make them go to zero. And NVIDIA essentially allows you to train this two times
[00:13:05.040 --> 00:13:10.480]   faster by not doing matrix multiplications on the zeros, right? So you're, like, two times zero is just
[00:13:10.480 --> 00:13:14.320]   zero. So, like, you essentially don't fire the transistors. And essentially, this makes it two times
[00:13:14.320 --> 00:13:18.640]   faster. Um, well, that's actually not, that's just a higher level overview. But, like, essentially,
[00:13:18.640 --> 00:13:23.440]   you, like, compress the matrix into this special format. And then this NVIDIA special format allows
[00:13:23.440 --> 00:13:31.280]   you to do matrix multiplications two times faster. Um, yeah, so it's sparsity. So it's on H100s,
[00:13:31.280 --> 00:13:38.720]   it's on, it's on A100s as well. So your RTX 30, 60, your RTX 30 series has that feature from RTX 30,
[00:13:38.720 --> 00:13:47.360]   the 30 series. I think it has, yes, I think it does. Um, so if you want to enable it, the biggest issue is,
[00:13:47.360 --> 00:13:52.960]   is that the language models, most companies do not train their language models with sparsity enabled.
[00:13:52.960 --> 00:13:58.640]   If you set this, like, weights go to zero, um, you will actually ruin the behavior of the model.
[00:13:58.640 --> 00:14:03.440]   So there are, like, papers which show that you can actually do, like, turn on the feature and then
[00:14:03.440 --> 00:14:09.040]   you can do fine tuning to make it work. So there are actually papers which do that. Um, so in theory,
[00:14:09.040 --> 00:14:14.240]   you could enable this. Um, but, you know, it depends on, like, what models are released from the large
[00:14:14.240 --> 00:14:19.920]   companies. Um, yeah. I'm assuming, I think I do know if Facebook is, like, they did implement
[00:14:19.920 --> 00:14:26.560]   sparsity in the PyTorch and, um, Xformers library. So I'm assuming there might be focused on sparsity
[00:14:26.560 --> 00:14:30.880]   because you get times two faster. Um, and if you know, like, open AI, you know, like, they keep saying,
[00:14:30.880 --> 00:14:36.240]   oh, it's two times faster. Hmm. I wonder why. Why is it two times faster? Why is it the two times faster?
[00:14:36.240 --> 00:14:41.120]   Right? So, like, could it be sparsity? Could it be float eight? Right? Float eight is generally two
[00:14:41.120 --> 00:14:44.560]   times faster. Okay. Not exactly, but, like, approximately two times faster. So, you know,
[00:14:44.560 --> 00:14:48.240]   all these, like, things when you hear two times faster, where does it come from? Could it be these
[00:14:48.240 --> 00:14:54.080]   things? Although we don't know, but, like, we're just guessing. Um, yeah. Any other questions?
[00:14:54.080 --> 00:14:59.760]   Okay. Just remember, you can raise your hand or you can do slide -- wait, are there any -- I'm assuming there's no
[00:14:59.760 --> 00:15:05.840]   slider questions yet. Um, yeah. Okay. Yeah. Just raise your hand. Um, so we -- so for Unsloth,
[00:15:05.840 --> 00:15:10.880]   we do benchmarking against HuggingFace plus Flash Attention 2. Um, and we just show our benchmark.
[00:15:10.880 --> 00:15:17.120]   This is kind of old already. The memory reduction is much more now. Um, so -- and we do a blog -- we did
[00:15:17.120 --> 00:15:21.840]   a blog post with them. So thanks to HuggingFace for the collaboration. Um, and essentially, all you need
[00:15:21.840 --> 00:15:27.200]   to do is, you know, from Unsloth import fast language model, and we try to make it as easy as possible
[00:15:27.920 --> 00:15:33.520]   for people to fine tune a language model. Um, and, yes, we'll be talking about Unsloth a bit later.
[00:15:33.520 --> 00:15:39.040]   Um, oh, there is a question. Is it a myth or solid hypothesis that linear versus cosine,
[00:15:39.040 --> 00:15:44.720]   then short one to two epochs versus three to five epochs is the highly -- is -- oh, is highly generalized?
[00:15:44.720 --> 00:15:52.480]   Um, I think it depends. Um, so, like, for training methodologies -- sorry. So, is it a myth or solid
[00:15:52.480 --> 00:16:00.640]   hypothesis that linear versus cosine, then, of course, short epochs versus long epochs is the highly
[00:16:00.640 --> 00:16:03.600]   generalized best way to train as any standard-based model?
[00:16:03.600 --> 00:16:09.120]   I think it depends. So, there are, like, some research papers which show that cosine or linear
[00:16:09.120 --> 00:16:14.080]   schedules -- I mean, it depends. To tell you the truth, I think it's a toss of a coin. I don't think so. It's
[00:16:14.080 --> 00:16:19.040]   actually that important for the learning rate scheduler. I think it more depends on, like, the data set,
[00:16:19.040 --> 00:16:24.160]   the number of parameters. Um, so, like, research papers would show that if you just simply change
[00:16:24.160 --> 00:16:28.240]   from tied weights -- from untied weights to tied weights, you can get, like, better accuracy for
[00:16:28.240 --> 00:16:32.240]   smaller models. So, I think it's -- so, the learning rate schedule is not that important. You might get
[00:16:32.240 --> 00:16:38.240]   accuracy plus 0.1%. Just train for more data. There we go. Right, get more data. Oh, wait, I pressed back.
[00:16:38.240 --> 00:16:42.720]   Just train for more data, and I'm assuming it will be similar. Um, but to tell you the truth, I think it's best
[00:16:42.720 --> 00:16:47.280]   to, like, do small experiments and then, like, test which schedule is the best. But I don't think so. It's
[00:16:47.280 --> 00:16:52.480]   that important. Um, I think for the number of epochs, that's actually important. Um,
[00:16:52.480 --> 00:16:58.240]   these, like, big companies -- I'm not sure what LAMA, like, 15 trillion tokens, is it actually 15
[00:16:58.240 --> 00:17:04.240]   trillion tokens? Or is it, like, 5 trillion tokens times 3 epochs? I do not know. Right? These questions
[00:17:04.240 --> 00:17:08.800]   are very important. If it's 5 trillion tokens times 3, that's actually very different from actually 15
[00:17:08.800 --> 00:17:12.640]   trillion tokens in total. But that's actually very, very different. But in general speaking, like, you know,
[00:17:12.640 --> 00:17:19.040]   if you train for more epochs, 3 is generally the well, you know, good, like, approximate 3 epochs.
[00:17:19.040 --> 00:17:23.600]   One is actually the best for pre-training, generally. Um, you shouldn't, like, retrain your data, like,
[00:17:23.600 --> 00:17:28.560]   multiple times. Um, but yeah. Um, did you have a follow-up question, or no?
[00:17:28.560 --> 00:17:37.440]   Well, um, so basically, um, learning rate is one was one of the big issues to fix with the Gemma
[00:17:37.440 --> 00:17:44.160]   implementation. Oh, yes. So that's why I kind of -- that's where, um, my pitfall was when I was training
[00:17:44.160 --> 00:17:53.680]   my 2D for, um, Gemma. And, um, so I actually trained it pre-YourFix, and somehow it turned out
[00:17:53.680 --> 00:18:00.640]   the benchmark, and then after YourFix was better than -- I don't know what happened, but it's now
[00:18:00.640 --> 00:18:07.440]   it's, like, one of the highest ranking benchmark in 2D. Oh, okay. So I don't know, like, what -- do you
[00:18:07.440 --> 00:18:12.000]   have any theories about what could happen? I trained it on the transformers, the broken version.
[00:18:12.000 --> 00:18:19.920]   Hmm. And then something about using octalado and using, uh, a, um, a very hard -- we grew forth
[00:18:19.920 --> 00:18:27.040]   a learning rate. Hmm. But it turned out surprisingly well, and, um, we also used -- we didn't use
[00:18:27.040 --> 00:18:32.880]   unslopped, but we used, like, uh, APU, so, um -- So this is after the fixes that we did? Like, it does --
[00:18:32.880 --> 00:18:37.200]   Before. Before, so before does better? No, well, no. Before, it was -- it was -- it was --
[00:18:37.200 --> 00:18:40.640]   It was usable. Everybody else's was unusual, right? Yeah.
[00:18:40.640 --> 00:18:45.920]   But it was usable. Was it surprised me? Because everybody else's was unusual.
[00:18:45.920 --> 00:18:51.760]   But then, after your fixes, we are now the top -- well, my company has -- on the OpenL on
[00:18:51.760 --> 00:18:56.080]   Lee Award has the highest -- So you didn't even retrain? You, like, you just --
[00:18:56.080 --> 00:18:59.520]   No. So after your fixes, somehow -- It made it better? Okay.
[00:18:59.520 --> 00:19:04.000]   Do you have any theories on that? To be honest, I do not know. I think, like, because the fixes
[00:19:04.000 --> 00:19:06.960]   that we did for Gemma are, like, multi-pronged. Like, it's not like one fix. It's, like,
[00:19:06.960 --> 00:19:10.720]   nine or something. So I don't know which fix caused the change.
[00:19:10.720 --> 00:19:12.800]   It could be, like, all of them, maybe. I don't know.
[00:19:12.800 --> 00:19:19.280]   It's kind of like, um, just for me, when I -- when I -- when I did the training, right,
[00:19:19.280 --> 00:19:22.880]   and it turned out good, and then I heard from, like, all my friends,
[00:19:22.880 --> 00:19:27.680]   "Oh, I can't do this. I can't do this." It's, like, um, it just shocked me, I guess.
[00:19:27.680 --> 00:19:32.160]   Okay, yes, that is quite shocking. If, like, you didn't -- yeah, we change the code, like,
[00:19:32.160 --> 00:19:36.720]   we kind of, like, fix all the issues, and then you don't need to retrain it, and it does better?
[00:19:36.720 --> 00:19:39.680]   Okay, that's -- okay, that's a very interesting phenomenon. I do not know.
[00:19:39.680 --> 00:19:41.440]   I just sent you the code that -- Oh, yeah, okay.
[00:19:41.440 --> 00:19:43.440]   It's actually open source online on the PowerPoint.
[00:19:43.440 --> 00:19:48.240]   Okay, yeah, great. Um, yes. To be honest, like, language models -- I mean,
[00:19:48.240 --> 00:19:51.520]   these are all active areas of research. Please, someone will do a research on that.
[00:19:51.520 --> 00:20:00.240]   Yeah. Okay, yeah. Yes. I cannot say anything other than I just read the code and fix the box.
[00:20:00.240 --> 00:20:08.080]   I do not know. So, yeah, yeah, yeah, don't worry. Um, okay. We also, like, do long context fine
[00:20:08.080 --> 00:20:13.040]   tuning. So, like, we show that if you use a new methodology which does gradient checkpointing
[00:20:13.040 --> 00:20:19.920]   and offload it to system RAM, you can randomly increase your context size by four. And your -- and
[00:20:19.920 --> 00:20:26.400]   the weird part is, if you offload correctly to system RAM from the GPU, weirdly, the time of
[00:20:26.400 --> 00:20:32.480]   execution is just slower by one to two percent. Right? So, like, this is very weird. It's like,
[00:20:32.480 --> 00:20:40.640]   if you can do non-blocking cores and offload the GPU, like, memory into system RAM, if you do it correctly,
[00:20:40.640 --> 00:20:47.280]   it's not slower. Um, some implementations, unfortunately, offload incorrectly. Um, I don't know what to name
[00:20:47.280 --> 00:20:51.840]   anyone, but they offload incorrectly. Sometimes they offload to disk. I don't know who came up with
[00:20:51.840 --> 00:20:57.680]   the idea of offloading to disk. But anyways, please try to offload to memory first and then disk. Right?
[00:20:57.680 --> 00:21:03.200]   Disk is extremely slow. Um, and if you can offload to memory system RAM, you can actually get away with
[00:21:03.200 --> 00:21:09.600]   a lot of memory usage. Um, okay. So, I should have put this at the first time. But anyways, so today,
[00:21:09.600 --> 00:21:15.440]   we'll be having three approximate topics. Um, and these -- I wanted to make them into like three
[00:21:15.440 --> 00:21:20.320]   different separate topics, but I guess I just mix them together. Whatever. Um, so you'll be learning
[00:21:20.320 --> 00:21:26.640]   about low-level technicals of language models. For example, backpropagation. Um, why is -- why is
[00:21:26.640 --> 00:21:33.040]   transformers not O of N squared -- sorry, O of N cubed for training and rather O of N squared. And there is a lot of
[00:21:33.040 --> 00:21:36.720]   maths. But I will try my best to reduce -- I think I already tried my best to reduce the maths, but
[00:21:36.720 --> 00:21:41.920]   there are still some maths. So, please handle the maths. Um, I will try my best to explain as
[00:21:41.920 --> 00:21:47.840]   simply as possible. Um, that's the whole goal of the workshop. So, not that bad maths. You will
[00:21:47.840 --> 00:21:52.320]   actually understand the formulas very well. Um, just a reminder, I kind of nearly failed my maths in
[00:21:52.320 --> 00:21:58.400]   university. So, do not worry. Do not be scared. Um, it's very fine. Um, we were talking about
[00:21:58.400 --> 00:22:03.440]   unslawed fast fine-tuning. The best tips and tricks for fine-tuning. How do we write the fast kernels
[00:22:03.440 --> 00:22:08.480]   for fine-tuning? Um, you know, how do we actually make it two times faster? Use 70% less memory? Like,
[00:22:08.480 --> 00:22:13.840]   how? And with no accuracy degradation? Um, and we'll be talking, like, some, you know, Triton,
[00:22:13.840 --> 00:22:19.040]   OpenAI's Triton language and stuff like that. Um, and we'll be doing finding and fixing bugs. Um, so,
[00:22:19.040 --> 00:22:24.960]   this would be a constant phenomenon and theme. How do we find and fix bugs in Lama, Mr. Gemma? Um,
[00:22:24.960 --> 00:22:29.120]   we'll be talking about a mixture of experts as well. Oh, wait, maybe not. But it depends on time. Um,
[00:22:29.120 --> 00:22:34.400]   and we'll be doing lots of bug hunting, bug fixing, and more. And everyone here will be a fantastic bug
[00:22:34.400 --> 00:22:39.440]   hunter and bug fixer. And we can, like, essentially open source our effort to fix open source models to
[00:22:39.440 --> 00:22:46.240]   everyone here. Um, oh, yes. And we also have stickers. Um, yes. I don't know where they are. But,
[00:22:46.240 --> 00:22:51.600]   like, oh, yes. Yeah, my brother has some stickers. Um, and we bought a few of these stickers, which look
[00:22:51.600 --> 00:22:56.880]   pretty cute. Right? So, like, you can wait. My laptop has some, right? I put them on my laptop. Um,
[00:22:56.880 --> 00:23:03.040]   and they're pretty cute. I really like them. Um, so my brother has them. We'll be handing them out. Um,
[00:23:03.040 --> 00:23:12.640]   yeah, as well at the end. Um, okay, so let us start. Um, so the transformer, right? So, like, what is the
[00:23:12.640 --> 00:23:18.320]   transformer? I'm assuming everyone knows what the transformer is? Um, does anyone not know what the
[00:23:18.320 --> 00:23:26.720]   transformer is? Yes or no? Like, you can simply... Okay. Yes. Okay. So the transformer is just an
[00:23:26.720 --> 00:23:33.440]   architecture that is behind all language models. Um, so, like, GPT-4, GPT-3, you know, like, Lama,
[00:23:33.440 --> 00:23:38.960]   Mistral, Gemma, all these open source models. What are they? Like, what's the architecture behind them? And
[00:23:39.600 --> 00:23:46.320]   all of them rely on the, like, the transformer. And the transformer is essentially a architecture,
