
[00:00:00.000 --> 00:00:05.480]   Here's today's email.
[00:06:40.740 --> 00:06:46.740]   Statistically, the greater the gap in ages, the greater the likelihood of divorce.
[00:06:46.740 --> 00:06:54.360]   One group of statistics that I consulted said that a gap of 10 years increases the likelihood
[00:06:54.360 --> 00:06:56.340]   of divorce by 39 percent.
[00:06:56.340 --> 00:07:00.980]   A gap of 20 years increases the likelihood of divorce by 95 percent.
[00:07:00.980 --> 00:07:06.220]   A gap of 30 years increases the likelihood by 172 percent.
[00:07:06.220 --> 00:07:15.340]   So if three out of 10 marriages fail, if both are 25 years old, then 8.7 marriages out of
[00:07:15.340 --> 00:07:22.260]   10 fail when the 25-year-old marries a 55-year-old.
[00:07:22.260 --> 00:07:31.520]   Now one of the reasons for that failure rate is no doubt that physiologically, mentally,
[00:07:31.520 --> 00:07:36.980]   the gap widens as you get older rather than shrinking.
[00:07:36.980 --> 00:07:43.980]   The physical difference between a 48-year-old man and a 24-year-old woman is negligible.
[00:07:43.980 --> 00:07:48.140]   Mentally, physically, they can do all the same things.
[00:07:48.140 --> 00:07:54.100]   But when she's a vital, energetic 56, he will be 80.
[00:07:54.100 --> 00:08:00.900]   And the strength and the mental acuity of an 80-year-old does not relate to a 56-year-old
[00:08:00.900 --> 00:08:05.100]   the same way a 48-year-old relates to a 24-year-old.
[00:08:05.100 --> 00:08:11.380]   So both partners need to take very seriously this fact.
[00:08:11.380 --> 00:08:21.780]   The experience of aging will not be a shared experience as it is in most marriages.
[00:08:21.780 --> 00:08:26.620]   This will present unique challenges for both.
[00:08:26.620 --> 00:08:34.740]   So let me venture one other exhortation and a kind of warning for this man in particular.
[00:08:34.740 --> 00:08:40.540]   In order to flourish within those peculiar challenges, which is possible, by the way,
[00:08:40.540 --> 00:08:46.300]   it is possible where there's great biblical maturity and great wisdom and great love,
[00:08:46.300 --> 00:08:56.220]   I think our friend will need to be sure that he has grown in his relationship to God beyond
[00:08:56.220 --> 00:08:59.640]   what I heard in his question.
[00:08:59.640 --> 00:09:09.420]   He said, "I have felt ignored by God as I watched my friends get married and have children
[00:09:09.420 --> 00:09:15.500]   and seemingly get blessed by God, whereas I was always alone."
[00:09:15.500 --> 00:09:22.500]   Now that's an understandable feeling, not a good one, not a mature one.
[00:09:22.500 --> 00:09:31.900]   I could be very wrong, but I hear a view of God that is not as big and wise and trustworthy
[00:09:31.900 --> 00:09:33.840]   as it ought to be.
[00:09:33.840 --> 00:09:41.860]   And I hear a relationship to God that is not as deeply shaped by God's good and wise sovereignty
[00:09:41.860 --> 00:09:44.100]   as it ought to be.
[00:09:44.100 --> 00:09:52.340]   It's not a sign of mature, stable faith when a Christian feels ignored by God, as if other
[00:09:52.340 --> 00:09:56.580]   people are more loved by God than he is.
[00:09:56.580 --> 00:10:01.980]   Either the view of God is flawed or faith is flawed.
[00:10:01.980 --> 00:10:08.540]   And so I would exhort our friend to go deep into the sovereignty of God, go deep into
[00:10:08.540 --> 00:10:16.160]   the goodness of God, go deep into the wisdom of God and sink your roots down so deep into
[00:10:16.160 --> 00:10:22.780]   God's sovereign grace that you are so firm in your sense of his sovereign care and love
[00:10:22.780 --> 00:10:30.720]   for you that you never feel abandoned by him, no matter what good is coming to other people
[00:10:30.720 --> 00:10:35.220]   or what bad is happening to you.
[00:10:35.220 --> 00:10:48.020]   Then I think you will be in a very good position to say a faith-filled yes or no to marriage
[00:10:48.020 --> 00:10:50.740]   to a woman half your age.
[00:10:50.740 --> 00:10:55.360]   Thank you, Pastor John, for walking through all the various entailments of this scenario.
[00:10:55.360 --> 00:10:56.460]   And thanks for the question.
[00:10:56.460 --> 00:11:01.060]   You can ask Pastor John your own question or search our growing archive or subscribe
[00:11:01.060 --> 00:11:02.060]   to the podcast.
[00:11:02.060 --> 00:11:07.300]   You can do all that online at desiringgod.org/askpastorjohn.
[00:11:07.300 --> 00:11:10.740]   We are taking a break for the weekend and then back to your questions on Monday.
[00:11:10.740 --> 00:11:11.740]   Thanks for joining us.
[00:11:11.740 --> 00:11:15.180]   I'm your host, Tony Renke, and we'll see you on the other side of the weekend.
[00:11:15.180 --> 00:11:15.680]   [END]
[00:11:15.680 --> 00:11:16.680]   Desiring God's Grace.
[00:11:16.680 --> 00:11:16.680]   Desiring God's Grace.
[00:11:16.680 --> 00:11:17.680]   Desiring God's Grace.
[00:11:17.680 --> 00:11:18.680]   Desiring God's Grace.
[00:11:18.680 --> 00:11:18.680]   Desiring God's Grace.
[00:11:18.680 --> 00:11:19.680]   Desiring God's Grace.
[00:11:19.680 --> 00:11:20.680]   Desiring God's Grace.
[00:11:20.680 --> 00:11:20.680]   Desiring God's Grace.
[00:11:20.680 --> 00:11:30.680]   [BLANK_AUDIO]

