
[00:00:00.000 --> 00:00:05.120]   what's going on y'all it's another episode of curious mike i am here with chris brickley um
[00:03:12.720 --> 00:03:19.520]   assistant coach in the country uh at fairly dickinson then um i took an internship with the knicks
[00:03:20.320 --> 00:03:27.840]   and then my intern year so i'm like the rebounder and then you know uh all of a sudden carmelo who
[00:03:27.840 --> 00:03:32.560]   was like in the prime of his career um took a liking to me and he said i want you to be my main trainer
[00:03:32.560 --> 00:03:40.720]   mid-season and that literally i was making 300 a week as an intern that changed the my entire life so
[00:03:40.720 --> 00:03:47.600]   then for four years i was with mellow year round we travel with them um got to know him really well
[00:03:47.600 --> 00:03:52.480]   through him got to know all these other players and then so i was with the next four years
[00:03:52.480 --> 00:04:00.480]   through four different coaches four different gms like we experienced a lot um then i was like okay i
[00:04:00.480 --> 00:04:05.360]   could stay with the knicks i think if i leave though i've made enough connections through mellow i could
[00:04:05.360 --> 00:04:11.680]   start my own business and yeah i took a chance my family's like you're leaving health insurance
[00:04:11.680 --> 00:04:15.840]   you're leaving a guarantee guarantee check are you sure you want to do this
[00:04:15.840 --> 00:04:23.360]   um looking back i'm like i don't even know why how i could even do that but uh somehow it worked out
[00:04:23.360 --> 00:04:32.320]   that's amazing um for like people that you know are aspiring to be or just break away from the norm the
[00:04:32.320 --> 00:04:38.080]   nine to five the the typical job and make something of themselves you have done that you gambled on
[00:04:38.080 --> 00:04:44.320]   yourself and it paid off um like what would you say to people that are teetering that edge of like
[00:04:44.320 --> 00:04:49.360]   trying to play it safe versus try to like explore and see what they can make of their life so it's like
[00:04:49.360 --> 00:04:55.680]   you can't be you don't want to be delusional like at the same time but you also you want to believe in
[00:04:55.680 --> 00:05:03.520]   yourself it's like a it is a fine line like um and i played that super close i feel like um so i left
[00:05:03.520 --> 00:05:09.360]   the knicks and i initially i was gonna sign this big deal with nike and so in the back of my mind i'm
[00:05:09.360 --> 00:05:17.520]   like okay i'm talking to a vp of nike i'm gonna sign this big deal in nike um long story short that guy
[00:05:17.520 --> 00:05:22.400]   wanted to control my whole team all my childhood friends that would rebound for me and all that he's
[00:05:22.400 --> 00:05:29.680]   like no i don't want that i want this so i was like i'm not doing this two months go by i'm homeless
[00:05:29.680 --> 00:05:35.120]   don't have a home i go from i'm coaching with the knicks i'm gonna sign this big nike deal
[00:05:35.120 --> 00:05:43.440]   i turn it down and i'm in new york city at the yotel trying to get back in the room and they're like
[00:05:43.440 --> 00:05:50.160]   your credit card decline if i have no money left my my uh debit card this was like six seven years ago
[00:05:50.160 --> 00:05:56.800]   and uh i'm sleeping like where i do the runs now lifetime sky i'm like sleeping in like a side room
[00:05:56.800 --> 00:06:04.000]   that like i found for like a few months not telling anyone not even telling mellow and i did i had too
[00:06:04.000 --> 00:06:10.880]   much pride to tell him i had too much pride to tell the players um yeah and i just grinded it out i just
[00:06:10.880 --> 00:06:15.360]   literally workout by workout i never really showed the players who i didn't i never told
[00:06:15.360 --> 00:06:21.680]   them what was going on and uh kept doing my job assigned a manager signed with a manager who helped
[00:06:21.680 --> 00:06:27.360]   me get some deals and then that kind of changed everything it's amazing that's an amazing story
[00:06:27.360 --> 00:06:33.120]   um i feel like in the training space you know as a trainer as a basketball player there's only so many
[00:06:33.120 --> 00:06:37.280]   drills you can really do right there's so many people who are very knowledgeable about the game can
[00:06:37.280 --> 00:06:42.240]   break different things down but there's really only so many drills you can do and you have elevated
[00:06:42.240 --> 00:06:49.920]   over the last probably 10 to 15 years is like the you know the epitome of of what an nba trainer looks
[00:06:49.920 --> 00:06:57.440]   like um off the court and on the court you know how what do you feel like separates trainers from
[00:06:57.440 --> 00:07:03.360]   like average trainer from the best trainers because i feel like something you touched on is is the
[00:07:03.360 --> 00:07:08.080]   relationship you build in the energy you give off because like you were just saying when you were a
[00:07:08.080 --> 00:07:13.040]   ball boy or a intern with the knicks or just rebounding for players mellow at the prime of his
[00:07:13.040 --> 00:07:19.360]   career one of the most skilled players ever he wasn't even trying to rock with the quote unquote best
[00:07:19.360 --> 00:07:25.440]   trainer in the world at that time he was rocking with you and like you probably were just getting into
[00:07:25.440 --> 00:07:29.680]   i mean you probably knew what you were doing but like at the end of the day there's only so many drills you
[00:07:29.680 --> 00:07:34.560]   can do so how important is that relationship and kind of the energy trainers give off to players
[00:07:34.560 --> 00:07:39.680]   in terms of elevating themselves it's everything so i think i learned that from phil jackson i feel
[00:07:39.680 --> 00:07:44.640]   so i was with the knicks that was an end of phil's career he took over the knicks as like president
[00:07:44.640 --> 00:07:53.280]   and so when he first got the job the whole staff's like oh everyone's done so the season ended we're doing
[00:07:53.280 --> 00:07:59.120]   exit meetings head coach goes in gets fired assistants going gets fired so i'm at the bottom of the line
[00:07:59.120 --> 00:08:04.640]   so i'll call my dad i'm like i'm about to get fired right now so i go into phil's office and feels like
[00:08:04.640 --> 00:08:13.200]   he asked me three questions um by the grace of god i answered him in a way that he liked him and he's like
[00:08:13.200 --> 00:08:20.560]   i'm gonna keep you so he fired everyone on the staff kept me we developed a friendship me and phil and he
[00:08:20.560 --> 00:08:26.560]   taught me when i was with the this is phil talking when i was with the bulls it wasn't about basketball
[00:08:26.560 --> 00:08:32.480]   it was about how i managed michael jordan and scotty pippen and dennis rodman and so then i was like damn
[00:08:32.480 --> 00:08:40.720]   so this whole basketball thing is like it's about managing players energy managing different players
[00:08:40.720 --> 00:08:46.240]   attitudes and like figuring that out and that's how you get the best of the players so i think i took a
[00:08:46.240 --> 00:08:52.640]   lot of that in into my training like you said obviously um you want the right drills but there's
[00:08:52.640 --> 00:09:00.880]   no magic drills um but yeah i think phil played a huge uh role in just my how i deal with players
[00:09:00.880 --> 00:09:05.440]   that's amazing so mellow you guys you guys are rocking you're kind of building your brand a
[00:09:05.440 --> 00:09:12.480]   little bit that way um when did it get to the point where so many players and just like how did you
[00:09:12.480 --> 00:09:19.360]   slowly because even when i met you a few years ago we met at some puma event yep um like it wasn't at
[00:09:19.360 --> 00:09:23.360]   the level it is now you know what i mean and probably a few years prior to that it wasn't at the level it
[00:09:23.360 --> 00:09:29.680]   was then so like how did you slowly um kind of i mean you're in new york city the biggest market but
[00:09:29.680 --> 00:09:34.800]   from working with mellow to all these different players how did you slowly build that reputation
[00:09:34.800 --> 00:09:40.240]   and that trust along the league yeah so i think so first off shout out to mellow and shout out to new
[00:09:40.240 --> 00:09:46.400]   york city i'd be delusional to be like in new york city didn't play a role or mellow didn't play a role
[00:09:46.400 --> 00:09:52.320]   i think through mellow i got a chance to work with katie and work with lebron and james and russ and these
[00:09:52.320 --> 00:09:59.920]   guys and just be able to spend time with them and um they got to see that i was coming from a genuine
[00:09:59.920 --> 00:10:05.120]   place um i knew i was talking about as far as like i wasn't bullshitting them about like
[00:10:05.120 --> 00:10:09.920]   uh i don't know you you know when someone's trying to talk to you about your game they really don't know
[00:10:09.920 --> 00:10:15.040]   so i just i was i was always honest if a player asked me something that i i didn't know i'd be honest
[00:10:15.040 --> 00:10:20.480]   i don't know um so i think just being honest i think uh the new york city thing really helped
[00:10:20.480 --> 00:10:27.680]   i had a building a team around me i i uh signed with a manager that wasn't like part of a big agency
[00:10:27.680 --> 00:10:34.480]   he just worked for me he went and he did he's done a great job and got me a puma deal and bmw and 2k
[00:10:34.480 --> 00:10:39.920]   and all these things that i think have helped me with my career that's amazing i feel like also like
[00:10:39.920 --> 00:10:46.240]   as a player as an nba player one thing that really turns players off to trainers is when trainers try to
[00:10:46.240 --> 00:10:52.000]   act like the player needs them i remember like back in high school there were a couple trainers and a
[00:10:52.000 --> 00:10:55.920]   couple people that would approach me and this is i was already one of the best players in the country
[00:10:55.920 --> 00:11:00.800]   and they would be like if you work with me you could take from here to here yeah that's probably
[00:11:00.800 --> 00:11:10.080]   never was in your in your no no because you just know any nba player i've ever worked with they don't
[00:11:10.080 --> 00:11:18.960]   need me i didn't make them you do all the work right i'm just able to be part of your journey and be
[00:11:18.960 --> 00:11:24.880]   able to be able to literally i i i call it like this witnessing witnessing your journey be like
[00:11:24.880 --> 00:11:30.320]   yeah we do drills yeah we do film but you're the one doing all the work you're the one you get
[00:11:30.320 --> 00:11:36.480]   the injuries i don't deal with the injuries i don't deal with that you rehabbing uh all of that stuff
[00:11:36.480 --> 00:11:41.840]   uh i'm huge on that too i hate when people are like i hate when trainers like my player
[00:11:41.840 --> 00:11:49.040]   no like no like a player me and buddy were talking about it earlier today a player should be able to
[00:11:49.040 --> 00:11:56.320]   work with multiple trainers and that's fine that's okay it's like no trainer should be like don't work
[00:11:56.320 --> 00:12:03.360]   with anyone else just work with me i just uh yeah so to answer your question i think i've always just been
[00:12:03.360 --> 00:12:11.200]   been open to i show love to other trainers and um i understand that i didn't make any players that's
[00:12:11.200 --> 00:12:16.880]   for sure yeah as you have elevated in that space and become you know who you are today i mean there's
[00:12:16.880 --> 00:12:22.960]   only one other person i can really think of that like has the on the court presence and off the court
[00:12:22.960 --> 00:12:26.960]   social media presence as you do and that's like lethal shooter but he's more like skits a little bit
[00:12:26.960 --> 00:12:32.080]   and you're more like really just in the trenches in the gym with players every single day as you've
[00:12:32.080 --> 00:12:37.280]   elevated how have you maintained like because you come off very humble you come off and i feel like
[00:12:37.280 --> 00:12:41.120]   that has been part of the reason for your success but how have you maintained that to where like
[00:12:41.120 --> 00:12:46.880]   the simplicity of what got you to where you are today which was probably grinding it out in the gym
[00:12:46.880 --> 00:12:52.400]   every day you know talking to players hitting players up to get in the gym and just the simplicity of
[00:12:52.400 --> 00:12:58.720]   that how as you have rose kind of in in fame and just in notoriety how have you maintained like that
[00:12:58.720 --> 00:13:03.600]   humility and just that that grind and that work ethic because i i'm around a lot of people not only
[00:13:03.600 --> 00:13:08.880]   basketball players um but even like musicians and other people who once they kind of taste that
[00:13:08.880 --> 00:13:15.600]   success of what of what money and fame and all this stuff gets them they lose that like desire to
[00:13:15.600 --> 00:13:20.720]   every single day wake up early get in the gym do it again how have you maintained that that's actually
[00:13:20.720 --> 00:13:28.000]   the way you broke that down this the the simplicity of like it's like how did i get to where i got to
[00:13:28.000 --> 00:13:33.200]   it's just every day getting in getting in the gym working with players building day by day
[00:13:33.200 --> 00:13:40.400]   day after day after day after day it's like no magic but so to answer your question yeah for sure i
[00:13:40.400 --> 00:13:46.080]   i went in my 20s and um i never had over 20 000 in my bank account and then you know you get
[00:13:46.960 --> 00:13:53.120]   to your 30s and i i have seven figures in my bank account um and then like people might ask me for
[00:13:53.120 --> 00:13:57.680]   pictures or and so like yeah that's for sure different that was never the plan ever that was
[00:13:57.680 --> 00:14:04.080]   never the plan so i have like little things that i do like for example i have humility on my finger but
[00:14:04.080 --> 00:14:11.280]   some that i do a lot um next knows this is i get in my car and i drive to where i used to live when i was
[00:14:11.280 --> 00:14:16.800]   struggling where i lived when i coached fdu in new jersey and i go on these drives and i take myself
[00:14:16.800 --> 00:14:22.720]   back to where i was seven eight years ago mentally and just to stay grounded you know um i think that
[00:14:22.720 --> 00:14:28.400]   that's like huge that's like my thing just driving back and trying to put myself myself in those places
[00:14:28.400 --> 00:14:34.480]   yeah no i think that's an amazing tool like taking yourself out of kind of this luxurious lifestyle
[00:14:34.480 --> 00:14:39.120]   and putting yourself kind of back in the grind back in the trenches like i remember before the
[00:14:39.120 --> 00:14:44.320]   bubble happened all the gyms were shut down um like we couldn't get in the nuggets facility i couldn't
[00:14:44.320 --> 00:14:49.200]   get in any of the nice gyms but there was one gym it was like a little shack and i would call it the
[00:14:49.200 --> 00:14:52.400]   trenches and they opened it up for me and they would let me in there and then i remember
[00:14:52.400 --> 00:14:58.000]   me breaking out as a player in the nba was when i went to the bubble yeah and i was for sure
[00:14:58.720 --> 00:15:03.360]   consistently putting up like 30 games straight but i didn't have a state-of-the-art gym i didn't have
[00:15:03.360 --> 00:15:09.840]   state-of-the-art recovery it was putting myself back in kind of those those hard spaces and i feel
[00:15:09.840 --> 00:15:17.040]   like intentionally doing that is there's got to be like some some benefit to that so true so true that
[00:15:17.040 --> 00:15:22.320]   that's actually dope to hear because you you're the way you put in the bubble was i feel like that was
[00:15:22.320 --> 00:15:28.560]   like you're like okay this guy is gonna be in the nba for a long time yeah that was like post injury
[00:15:28.560 --> 00:15:36.240]   like for sure rehab that whole first year of my nba career um that second year like i kind of started
[00:15:36.240 --> 00:15:41.520]   off okay but it was it was kind of slow i was you know sharing minutes with malik beasley tory craig
[00:15:41.520 --> 00:15:47.120]   wancho um you know there was like four or five of us that coach was yeah and then the bubble happened
[00:15:47.120 --> 00:15:54.480]   that was like the the break in the middle of the season and i got so lucky because i got to start
[00:15:54.480 --> 00:16:00.240]   pretty early because guys had covet so they weren't and then i got to to break out in the in the bubble
[00:16:00.240 --> 00:16:06.880]   but um a bunch of 20 plus games yeah yeah i remember that i definitely remember that but yeah no so i think
[00:16:06.880 --> 00:16:11.600]   that's huge putting your so actually just recently this is actually kind of funny a little off topic
[00:16:12.240 --> 00:16:18.880]   so um i have a girlfriend right uh we've been dating for like i don't know a year and a half which so
[00:16:18.880 --> 00:16:25.120]   she she lives like uh by massive square garden and she lives with like some roommates
[00:16:25.120 --> 00:16:32.080]   the play it's not really in the best area it's like their apartments like kind of grimy it's just like
[00:16:32.640 --> 00:16:39.760]   sorry lexi but um and so i would do this thing where and like you know i so i live where where the
[00:16:39.760 --> 00:16:44.480]   gym is i live in the summit i live in like a penthouse i would do this thing where i would i would go to
[00:16:44.480 --> 00:16:52.640]   her house i'd like sleep over and she'd go to work and i would like spend for as long as i could
[00:16:54.080 --> 00:17:00.960]   in her like this like old crib that like just like in the middle of the winter it's like freezing cold
[00:17:00.960 --> 00:17:08.240]   i'm like don't go get food i'm like i'm like starving myself i'm like almost like taking myself back this
[00:17:08.240 --> 00:17:14.000]   is like recently i'm i'm taking myself back to the days where like i didn't have money to eat and i just
[00:17:14.000 --> 00:17:19.920]   didn't have money to do anything luxurious and i would like do i would stay in her crib as long as i could
[00:17:21.360 --> 00:17:27.600]   so i was so uncomfortable i was i'm hungry like what the am i doing and and i feel like that like
[00:17:27.600 --> 00:17:32.160]   helped that helps like getting yourself uncomfortable kind of like what you're talking about about the
[00:17:32.160 --> 00:17:38.720]   gym yeah no that's such an underrated like tactic to increase mental strength and to increase like
[00:17:38.720 --> 00:17:44.240]   resiliency and all that is on purpose go put yourself uncomfortable uncomfortable position for sure
[00:17:44.240 --> 00:17:49.280]   and that can be as simple as waking up and you want to get in the hot shower go turn on a cold shower
[00:17:49.280 --> 00:17:54.480]   for sure or go get in the cold tub or do you know when you feel like doing this do something else on
[00:17:54.480 --> 00:18:00.000]   purpose and like that really can build you know build your mind in a way that and like there was
[00:18:00.000 --> 00:18:05.520]   um i watched the interview actually david goggins had an interview with andrew huberman i don't know
[00:18:05.520 --> 00:18:11.120]   if you know who that is yeah um but they talked about this this part in your brain that only grows
[00:18:11.120 --> 00:18:15.200]   when you do uncomfortable things like that's the only time that it grows is when you
[00:18:16.240 --> 00:18:21.600]   do uncomfortable things on purpose and you accomplish those things so what you're saying
[00:18:21.600 --> 00:18:26.880]   of putting yourself back in those shoes of when you didn't have much and you didn't have much money
[00:18:26.880 --> 00:18:33.520]   and doing that on purpose that as you climb in life i feel like that's that's important yeah no for
[00:18:33.520 --> 00:18:40.880]   sure the the my yeah the mindset just having that mindset i have a question for you um what what is
[00:18:40.880 --> 00:18:48.880]   your go-to during your playing career when moments when you're not shooting good you're not playing
[00:18:48.880 --> 00:18:54.160]   good do you do anything different or do you keep your routine the same when i'm not shooting good or not
[00:18:54.160 --> 00:19:00.960]   playing good um i try to keep my routine very similar if anything i'll go in the evenings and really just
[00:19:00.960 --> 00:19:07.280]   try to like like get my form and my go back to like really basic things yep um but like off of the
[00:19:07.280 --> 00:19:16.880]   court mental wise i have to like if i'm you know if i'm kind of like in the mix a little bit during the
[00:19:16.880 --> 00:19:21.680]   season hanging out going to dinners for me personally i have to like alone time is really important so i
[00:19:21.680 --> 00:19:26.960]   get back to spending like time alone and time time reading books times journaling times of
[00:19:26.960 --> 00:19:33.680]   getting that because we all like in this line of work the physical part of things is very easy
[00:19:33.680 --> 00:19:38.960]   so going to the gym lifting weights all that stuff is easy for me so during those hard times i have to
[00:19:38.960 --> 00:19:43.920]   on purpose like go to like the mental gym and like do things that i don't normally do which is
[00:19:43.920 --> 00:19:50.560]   journaling some meditation some prayer so that i can try to get that like feeling of heaviness yeah
[00:19:50.560 --> 00:19:54.560]   that feeling of whatever off of me so then i can go into the game and just feel like man like
[00:19:54.560 --> 00:20:00.240]   i can i can have a quick i can have a quick memory even if i miss like i'm free out there i feel
[00:20:00.240 --> 00:20:05.600]   loose i feel free i don't feel this pressure that's dope man that i hope someone clips that for players
[00:20:05.600 --> 00:20:10.880]   out there i feel like that's that's such a big thing players get stuck in there they don't know how to
[00:20:10.880 --> 00:20:17.520]   get out of it they don't know how to get to that journaling or being alone or they can't figure that
[00:20:17.520 --> 00:20:22.640]   part out and sometimes that's why players can't get to that next level i think i mean honestly for me
[00:20:22.640 --> 00:20:28.560]   though it goes back to faith like i like my faith in god because if you can get out quickly of like
[00:20:28.560 --> 00:20:35.280]   trying to perform to to appease your coaches or trying to perform to for your own or the approval of
[00:20:35.280 --> 00:20:40.960]   the fans or your own if you can get out of that and kind of get back to the joy of the game playing
[00:20:40.960 --> 00:20:46.400]   for the passion of the game playing for you know god you know being grateful for the gate the gifts
[00:20:46.400 --> 00:20:51.360]   he's giving you and and going out there with that mindset that's a completely different mindset than
[00:20:51.360 --> 00:20:56.640]   the than the previous one which is probably going to you know make fear come into your mind you're
[00:20:56.640 --> 00:21:01.040]   going to feel the pressure of shots when you can get into like the grateful mindset thanking god for
[00:21:01.040 --> 00:21:06.080]   the talent he gave you and the fact that you're able to go out there and play and be healthy that
[00:21:06.080 --> 00:21:11.280]   to me is a way to kind of get some of like i just said some of that unnecessary pressure off that's so
[00:21:11.280 --> 00:21:19.120]   true that's so true when things uh to play off that when things i feel like aren't going good in my life
[00:21:19.120 --> 00:21:25.600]   whether relationships or whatever i those are the times where i'm like when i pray and i'm saying thank
[00:21:25.600 --> 00:21:31.440]   you the most yeah for whatever reason i think i've always been like that yeah that's fine yeah
[00:21:31.440 --> 00:21:34.960]   well you're doing so well on the court and everything but you're doing equally as well
[00:21:34.960 --> 00:21:39.600]   off of the court with the um you know the new age of social media and the influence that you can have
[00:21:39.600 --> 00:21:45.840]   in that way um how did you really because you're one of the first guys that really paid attention to
[00:21:45.840 --> 00:21:52.320]   really like the content game is there as a as a trainer how did you kind of like see into that world
[00:21:52.320 --> 00:21:56.160]   before it became such a big thing and how have you grown that so i feel like in the beginning i was
[00:21:56.160 --> 00:22:02.960]   getting like killed for it because like you know mellow was like yo let's start putting content out
[00:22:02.960 --> 00:22:11.120]   and um it was looked at almost like oh he's just trying to show new york that he's working hard or
[00:22:11.120 --> 00:22:17.120]   he's not and mellow's real reason for that was he wanted to inspire younger basketball players to show
[00:22:17.120 --> 00:22:24.880]   them like what he was doing so then we started recording and then now jr so mellow and jr were
[00:22:24.880 --> 00:22:28.720]   close and then me and jr started recording then we started doing runs and then we started recording that
[00:22:28.720 --> 00:22:37.120]   and um a lot of negative negativity came from that because it was like oh you're only doing workouts
[00:22:37.680 --> 00:22:44.880]   to film them or you're only but it's like no we actually did like 50 workouts and i posted 45 seconds
[00:22:44.880 --> 00:22:54.960]   of one yeah um and so now i feel like it's a little bit more more more players post content so uh there's
[00:22:54.960 --> 00:22:59.520]   not as much negative negative vibes with it but at first i felt like that was a negative connotation with
[00:22:59.520 --> 00:23:03.840]   it it's kind of cool too the way you do it because even in the runs or even in the basketball workouts it
[00:23:03.840 --> 00:23:08.800]   looks like it's shot from like an iphone like very oh yeah um it's not like you know some of these super
[00:23:08.800 --> 00:23:15.440]   curated like uh creative directed things that like are mixtapes it's like no you're just showing the
[00:23:15.440 --> 00:23:20.080]   work on on a phone show i've always been super mindful of that i've always definitely been super
[00:23:20.080 --> 00:23:25.600]   mindful of that and i understand the whole no one ever misses and and it's like i'm gonna look at the
[00:23:25.600 --> 00:23:31.360]   camera what do you want so you want to watch the player miss 10 shots in a row i just don't i never
[00:23:31.360 --> 00:23:36.640]   understood that like criticized for yeah for sure uh definitely definitely they're like why aren't
[00:23:36.640 --> 00:23:43.120]   you doing defensive drills it's like so you want me to post a video of them of a player doing defensive
[00:23:43.120 --> 00:23:49.440]   slides it's strange if they try to nitpick just to try to pull out the the negative but if they even
[00:23:49.440 --> 00:23:53.840]   think for themselves like what would they enjoy watching what is a young basketball player he wants
[00:23:53.840 --> 00:23:58.800]   to watch mellow you know get in the mid post and kill these guys in your workout they want to watch clay
[00:23:58.800 --> 00:24:04.000]   thompson shoot and make 73s from the corner in a row like they like like i don't understand
[00:24:04.000 --> 00:24:08.400]   it's really the society we live in because you can be doing everything by the book being the most
[00:24:08.400 --> 00:24:13.440]   authentic person people are still going to find a way to twist that for sure that's inevitable that's
[00:24:13.440 --> 00:24:19.120]   the world we live in yeah um besides like the social media thing you have been one of the first
[00:24:19.120 --> 00:24:26.400]   trainers to really get some of these big endorsement deals you know the puma one um among other things how
[00:24:26.400 --> 00:24:29.520]   how did those things come about you mentioned something earlier that you have a guy that
[00:24:29.520 --> 00:24:33.200]   doesn't work with a lot of people he works for you and he's out there hustling and yeah these things
[00:24:33.200 --> 00:24:39.360]   done how did some of those things come about yeah so i left the knicks i was like struggling i was like
[00:24:39.360 --> 00:24:46.560]   into the nike thing um had a good summer like it was like four weeks after the calves
[00:24:47.360 --> 00:24:52.160]   i played the words in the finals i had like lebron and katie playing in a run against each other guarding
[00:24:52.160 --> 00:24:57.520]   each other right after and so like that was a big moment um so i had all these big agencies that wanted
[00:24:57.520 --> 00:25:02.720]   to meet with me i had this one guy that was emailing me every week and i was like i'm gonna take this
[00:25:02.720 --> 00:25:07.120]   meeting i took the meeting and he's like i promise you like i'm gonna be loyal to you i'm gonna do
[00:25:07.120 --> 00:25:13.120]   everything i can to help build you know so i was like all right let's do this and he got me the puma
[00:25:13.120 --> 00:25:20.000]   deal and i think getting a sneaker deal is huge so that led to body armor which led to bmw and tiffany's
[00:25:20.000 --> 00:25:27.360]   and bose and therabody and you know it's been a blessing it's been a blessing even you you even um
[00:25:28.640 --> 00:25:34.560]   you even what you would call it in the 2k yeah yeah 2k that was a huge moment i feel like uh
[00:25:34.560 --> 00:25:40.880]   i guess my popularity having like brickley's gym in there like that became a thing where i you know
[00:25:40.880 --> 00:25:45.280]   every every time i went to the airport it'd be like oh i play with you in the video game or there'd be
[00:25:45.280 --> 00:25:49.840]   people online being like i didn't know chris brickley was a real person i thought he was just a video game
[00:25:49.840 --> 00:25:55.840]   so that's a really cool shout out to 2k for that all that's just uh i'm super thankful but that's not why
[00:25:56.560 --> 00:26:03.120]   i got into what i got into we could take all that away and we could uh put my bank account
[00:26:03.120 --> 00:26:08.320]   at ten thousand dollars and i'm still gonna do what i'm doing i'm not i'm not doing it strictly for
[00:26:08.320 --> 00:26:14.320]   deals or for money or i actually love developing basketball players it's fun it's a it's a passion
[00:26:14.320 --> 00:26:20.800]   it's cool seeing the progress it's cool watching the game and being like damn like the last last past
[00:26:20.800 --> 00:26:25.840]   summer we were working on that and now that's not me taking credit but it's me just being part of your
[00:26:25.840 --> 00:26:30.480]   journey part of a player's journey i think that that's what that makes me fulfilled that's dope
[00:26:30.480 --> 00:26:35.280]   man you obviously got the very distinct look with the tats going on you know i mean when people see
[00:26:35.280 --> 00:26:40.480]   chris brickley they know who it is when did um when did that come about was it when you were a young
[00:26:40.480 --> 00:26:45.200]   intern was that the was that the vibe or did that kind of man so i was super self-conscious with this
[00:26:45.200 --> 00:26:51.520]   so when i was with the knicks i started slowly getting tattoos i'd go with jr and so oh you're hanging out
[00:26:51.520 --> 00:26:55.760]   jr that's that's how you got tight for sure so i started getting them but i wouldn't show them so
[00:26:55.760 --> 00:27:01.200]   it got to a point where like i just have a pair so i wear t-shirts every day so it got to a point
[00:27:01.200 --> 00:27:07.280]   my last year with the next this is uh i've never said this on any interview we're in vegas summer league
[00:27:07.280 --> 00:27:13.920]   and now at this point i have like my legs and i have like my forearms we uh going to summer league
[00:27:13.920 --> 00:27:19.360]   practice in vegas i don't want to show my tattoos i don't want anyone to have them so and it's 115
[00:27:19.360 --> 00:27:25.840]   degrees i have on my next polo with the long sleeve i have on the like the knicks practice shorts with
[00:27:25.840 --> 00:27:31.680]   like the spandex and and i'm just going every practice like that sweating like and coach i remember
[00:27:31.680 --> 00:27:37.520]   the coach is like yo why do you have long sleeves in here and i just didn't want to and then one day i'm
