
[00:00:00.000 --> 00:00:05.940]   Today, we're going to be taking a look at OpenAI's Agents SDK and how we can use agent
[00:04:16.080 --> 00:04:21.520]   article we covered the orchestrator sub-agent pattern to begin with. That's the video from before.
[00:04:21.520 --> 00:04:28.880]   And the handoff part of this article actually comes a little bit later. So, click over here
[00:04:28.880 --> 00:04:34.880]   and we get to the handoff part. So, this handoff section is what we're going to be walking through
[00:04:34.880 --> 00:04:42.880]   in this video. Now, this all comes with code. So, the code we will find over here. So, this Aurelio
[00:04:42.880 --> 00:04:49.040]   CoLab's Agents SDK course. This is part of a broader course on the Agents SDK. And we want to go to the
[00:04:49.040 --> 00:04:54.320]   multi-agent notebook. This is what we're going to be running through. You can open it in CoLab. That's
[00:04:54.320 --> 00:05:00.000]   the way that I recommend running this. You can also run this locally, which is actually what I am doing.
[00:05:00.000 --> 00:05:08.000]   But again, I would recommend running CoLab. It's just easier and simpler. So, if you are running in CoLab,
[00:05:08.000 --> 00:05:13.200]   you will want to run this cell here. This will install everything you need to run through the
[00:05:13.200 --> 00:05:20.240]   code. If you are running it locally, we have setup instructions over in the README, which will explain
[00:05:20.240 --> 00:05:27.040]   how you get everything set up. We use the UMV package manager. And it's pretty simple. But again,
[00:05:27.040 --> 00:05:33.280]   not as simple as just using CoLab. So, it's up to you. Now, let's get started. The first thing we do want
[00:05:33.280 --> 00:05:43.200]   to do here is set up our OpenAI API key. I will note that there are many features in OpenAI's Agents SDK that
[00:05:43.200 --> 00:05:51.200]   you can use with other LLM providers. But handoffs are not one of those. So, handoffs, from what I have
[00:05:51.200 --> 00:05:59.760]   seen so far, do only work with OpenAI LLMs. So, we will need an OpenAI API key. So, we'll run this. And you
[00:05:59.760 --> 00:06:06.560]   get this from the OpenAI platform, which is platform.openai.com. Now, we will be going through some
[00:06:06.560 --> 00:06:12.240]   of the orchestrator sub-agent code just to sell our agents in particular because we're using those
[00:06:12.240 --> 00:06:18.240]   both in the orchestrator sub-agent part of this and also in the handoffs section as well. So,
[00:06:18.240 --> 00:06:24.560]   we'll go and initialize those. But the actual agents themselves are basically the same. We're
[00:06:24.560 --> 00:06:29.120]   going to prompt the orchestrator a little bit differently. But otherwise, they are the same. So,
[00:06:30.320 --> 00:06:35.760]   let's go ahead and just initialize all those. I have spoken more about them in the orchestrator
[00:06:35.760 --> 00:06:42.320]   sub-agent video. So, if you really do want to cover multi-agent systems in Agents SDK, I would
[00:06:42.320 --> 00:06:47.280]   recommend watching that as well. Whether that's before or after this, that's completely up to you.
[00:06:47.280 --> 00:06:53.760]   I will explain the bare minimum to understand everything here. So, we are first going to initialize
[00:06:53.760 --> 00:07:00.960]   this web search sub-agent, okay? Just to be clear, this is not the architecture.webbuilding. The
[00:07:00.960 --> 00:07:07.280]   architecture.webbuilding is shown in this later graph here, which is the main agent. It's basically
[00:07:07.280 --> 00:07:13.600]   the same book using handoffs, okay? So, we're going to go ahead and initialize those. So, the web search
[00:07:13.600 --> 00:07:23.280]   sub-agent is using this LinkUp API. LinkUp is a search provider like Perplexity, like EXA. So, if you've
[00:07:23.280 --> 00:07:29.920]   used either of those services, it's a similar sort of thing. But in general, they provide really good
[00:07:29.920 --> 00:07:39.120]   search results. So, I do really like using these guys. So, we will need to set up our LinkUp API key.
[00:07:39.120 --> 00:07:46.000]   So, to do that, you need to click over here. We have this LinkUp reference and we just need to
[00:07:46.000 --> 00:07:50.400]   obviously sign up if you don't already have an account. If you're following the last video,
[00:07:50.400 --> 00:07:55.360]   you will already have one. So, you will sign in and you should find that you'll have some free credits.
[00:07:56.080 --> 00:08:04.000]   So, it will probably last you a while, I think. So, you need to copy your API key and we'll come
[00:08:04.000 --> 00:08:10.560]   back over to here and I just want to run this, okay? And then to my API. Great. So, we have that. Now,
[00:08:10.560 --> 00:08:18.000]   once we have that, we'll want to perform a search. I do generally say, you know, you should always use
[00:08:18.000 --> 00:08:25.520]   async because if you're building AI agents into an application, like AI is using a lot of API calls
[00:08:25.520 --> 00:08:31.680]   in general. If you're going fully local, then it's different, of course. But a lot of the time, you're
[00:08:31.680 --> 00:08:40.160]   using a lot of API calls. And API calls, if you're writing synchronous code, your Python instance is
[00:08:40.160 --> 00:08:47.840]   just going to be waiting for a response. So, your code is sending the API request and it's just doing
[00:08:47.840 --> 00:08:53.680]   nothing whilst it waits for it to return. And that's super inefficient because that's a lot of time,
[00:08:53.680 --> 00:08:59.280]   especially when you think about how much code could be executed in the time it takes for an LLM to respond
[00:08:59.280 --> 00:09:03.840]   to you, which is, you know, it's like two or so seconds. You could be doing a lot in that time.
[00:09:03.840 --> 00:09:10.240]   So, write everything asynchronously and whilst you're waiting for that response from an API,
[00:09:10.240 --> 00:09:18.720]   your Python code can go and it can be doing other things within that time. So, yeah,
[00:09:18.720 --> 00:09:28.320]   AI especially is one of those fields where writing async code is generally very, very useful.
[00:09:28.320 --> 00:09:35.520]   So, yeah, we use the async search because of that. Great. We get our search results there. We pass
[00:09:35.520 --> 00:09:42.000]   those out and you can kind of see here like this, you know, this is telling me, did I search for world
[00:09:42.000 --> 00:09:48.400]   news, right? Search for latest world news. And this is everything I'm getting there. Then I create this
[00:09:48.400 --> 00:09:55.760]   search web tool. This is what my search web agent is going to be using. Okay. You see here, this is the
[00:09:55.760 --> 00:10:02.960]   prompting and everything for that web search agent. And yeah, we have that. So, we can also confirm,
[00:10:02.960 --> 00:10:08.000]   does that work? I'm going to ask you, how's the weather in Tokyo? It will tell us. So, let's see that.
[00:10:09.200 --> 00:10:16.320]   Okay. Very nice weather. And that is, yeah, all seems to work. That's great. Now, we move on to the next
[00:10:16.320 --> 00:10:22.480]   sub-agent, which is like a dummy rag agent. So, we're pretending to have these internal docs,
[00:10:22.480 --> 00:10:29.760]   of which you can read those docs here. Basically, we have our AI robotics startup, which is Skynet,
[00:10:30.400 --> 00:10:38.560]   talking about, I think it's like a T1000 or something robots. I can't quite remember. It was a
[00:10:38.560 --> 00:10:46.160]   while ago when I last read it. But it's talking about how Skynet is doing. And you can see here,
[00:10:46.160 --> 00:10:55.200]   right? So, it's basically all this information here, right? And we are essentially creating this dummy
[00:10:55.200 --> 00:11:02.160]   rag search here. So, this query that the LLM is passing to our dummy search tool doesn't actually
[00:11:02.160 --> 00:11:09.280]   get used. But that's fine because we're not, you know, we're focusing really on that agentic
[00:11:09.280 --> 00:11:15.280]   architecture here, not necessarily on a specific rag tool, which takes a little bit of setup.
[00:11:16.480 --> 00:11:22.640]   So, yeah, we have that. Then we have our code execution sub-agent. Code execution sub-agent
[00:11:22.640 --> 00:11:29.760]   is just going to execute some code that our LLM generates. Again, yeah, it's the same sort of thing,
[00:11:29.760 --> 00:11:37.440]   right? So, we have our code execution tool, code execution agent. Then we provide that agent with
[00:11:37.440 --> 00:11:43.520]   specific prompting based on what we need it to do. And yeah, we can see everything it's doing here
[00:11:43.520 --> 00:11:50.560]   and what that comes out to. Cool. Then we have the orchestrator. I don't think we necessarily
[00:11:50.560 --> 00:11:56.160]   need to define everything here, but we'll just run through just in case. I think we might need
[00:11:56.160 --> 00:12:02.240]   this get current date tool. This is a tool of itself. This is not a sub-agent or anything like
[00:12:02.240 --> 00:12:09.280]   that. We just also define this get current date tool just to see, okay, our architecture here can
[00:12:09.280 --> 00:12:16.640]   use both agents as tools and just tools. And then when we move on in a moment to the handoffs,
[00:12:16.640 --> 00:12:23.280]   we'll see that we have both agents that can hand off to other agents and our agent that can just use
[00:12:23.280 --> 00:12:28.080]   a tool or do both, right? So, the agent can use a tool then hand off to another agent, for example.
[00:12:28.080 --> 00:12:34.320]   Okay. So, we have that. I'm not going to go and run the orchestrator stuff. That's what we're building here.
[00:12:34.320 --> 00:12:40.000]   Instead, we're going to move on to the handoff parts. We have all of these components basically
[00:12:40.000 --> 00:12:44.800]   ready. We're going to redefine the main agent here, but the website, sub-agent, term.sub-agent,
[00:12:44.800 --> 00:12:51.760]   and codecluson.sub-agent, they are all ready. The main difference, as I mentioned near the start of the
[00:12:51.760 --> 00:12:57.360]   video, is that each of these sub-agents, as you can see here, each of these sub-agents can go ahead
[00:12:57.360 --> 00:13:03.040]   and respond to the human user directly. Okay. That's one of the main differences here.
[00:13:03.040 --> 00:13:11.680]   So, as I mentioned, one of the biggest positives there is latency, right? Latency and cost as well. So,
[00:13:11.680 --> 00:13:19.680]   we are removing that additional step to go back to the orchestrator or main agent to get back to the
[00:13:19.680 --> 00:13:28.080]   user, right? Which is not as direct as it could be. So, let's go ahead and implement that handoff.
[00:13:28.080 --> 00:13:38.240]   So, with the handoffs, OpenAI within the SDK, they have provided this default prompt that you can add to
[00:13:38.240 --> 00:13:45.680]   your orchestrator or main agent prompt or instructions that essentially just describes
[00:13:45.680 --> 00:13:54.880]   what handoffs are and that sort of broader system context for the LLM. And I find this quite useful
[00:13:54.880 --> 00:14:03.760]   because it's your LLM, it has no idea where it is. Okay. And what that means is that
[00:14:05.360 --> 00:14:09.120]   if it doesn't know where it is, it doesn't know the context of, you know, within what system it's
[00:14:09.120 --> 00:14:16.080]   being used, it might do things that we wouldn't necessarily want it to do, right? It might misuse
[00:14:16.080 --> 00:14:21.120]   that system and just understand how to use the system. And of course, we don't want that. We want it.
[00:14:21.120 --> 00:14:28.240]   If we explain to the LLM what the multi-agent architecture around it looks like,
[00:14:29.040 --> 00:14:38.160]   generally speaking, the LLM is going to know, is going to be able to better use its tools, its other
[00:14:38.160 --> 00:14:45.200]   agents, and understand its own place within that system. And we'll generally get better results from
[00:14:45.200 --> 00:14:52.400]   that. So, this is really useful. They have this recommended prompt prefix here for handoffs, this
[00:14:52.400 --> 00:14:58.000]   handoff prompt, recommended prompt prefix. And we can read it here. Okay. So "handoffs are achieved by
[00:14:58.000 --> 00:15:03.680]   calling a handoff function, generally named transfer to agent name". Okay. So, internally, what is
[00:15:03.680 --> 00:15:12.320]   happening here is when we have these handoffs here, each one of these is going to be renamed internally
[00:15:12.320 --> 00:15:18.560]   to something like transfer to, and then I believe it would be web search agent or internal docs agent.
[00:15:19.440 --> 00:15:24.400]   And all those are going to be presented to this main agent as a thing, like essentially almost
[00:15:24.400 --> 00:15:30.000]   tools that it can call. So, transfers between agents are handled seamlessly in the background. Do not
[00:15:30.000 --> 00:15:33.920]   mention or draw attention to these transfers in your conversation with the user. I think that bit is
[00:15:33.920 --> 00:15:41.440]   important because it's very easy for a LLM within the multi-agent system, or even, you know, when it's
[00:15:41.440 --> 00:15:48.400]   using tools to talk directly to the user about what it's doing. And in some cases, you might want to do this.
[00:15:48.400 --> 00:15:54.720]   So, you know, if it's like a research agent and you might want the LLM to say, "Okay,
[00:15:54.720 --> 00:16:02.080]   I'm just going to refer to this tool to look up these particular bits of information. And hey, look,
[00:16:02.080 --> 00:16:08.960]   this is what I got from this tool, this information here". So, you might want some level of detail in
[00:16:08.960 --> 00:16:17.360]   there, but most likely you don't want too much. Like, you don't want your LLM to be saying, "Hey, I'm going to use the
[00:16:17.360 --> 00:16:25.680]   the transfer_to_web_agent
[00:16:25.680 --> 00:16:27.680]   and the transfer_to_internal_docsagent".
[00:16:27.680 --> 00:16:33.840]   You don't want all of that specific information. Instead, you're probably going to want to,
[00:16:33.840 --> 00:16:37.680]   maybe through streaming or some other interface,
[00:16:37.680 --> 00:16:43.440]   potentially show the user, "Oh, we're using these various tools or we're using a tool".
[00:16:43.440 --> 00:16:51.120]   And you're probably going to want to include sources in particular, which we do do. We've
[00:16:51.120 --> 00:16:56.880]   prompted all of our sub-agents to provide markdown citations. So, all that does get returned to us,
[00:16:56.880 --> 00:17:05.200]   but we don't want it to just return too much information. Okay? So, yeah, we have this, we have our recommended prompt prefix.
[00:17:05.200 --> 00:17:08.240]   You, depending on what you're doing here, you might actually want to,
[00:17:08.240 --> 00:17:14.000]   well, use this as a prefix rather than just the prompt. But in this case, we don't necessarily need to.
[00:17:14.000 --> 00:17:18.800]   So, if you are going to use it as a prefix, which I think most probably would be doing, you're going
[00:17:18.800 --> 00:17:26.800]   to be adding more text like it kind of has on here. So, yeah, it would be something like this in this
[00:17:26.800 --> 00:17:33.520]   scenario, right? Because it's like an internal company agent that we're building. So, you would
[00:17:33.520 --> 00:17:39.760]   use this as a prefix and then add more use case specific information following that prefix.
[00:17:39.760 --> 00:17:45.360]   So, then we have our handoffs. So, handoffs are easy, right? So, we've defined our agents already,
[00:17:45.360 --> 00:17:51.200]   they're standard agents, and then we pass them as a list into the handoffs parameter of our agent
[00:17:51.200 --> 00:17:59.040]   definition. Then we also want to provide handoff description. So, this is just, okay, in general,
[00:17:59.040 --> 00:18:02.480]   how should I use these handoffs? You can get more specific in this as well if you,
[00:18:02.480 --> 00:18:06.320]   depends on how your agent is behaving. If you find that it's not using the
[00:18:06.320 --> 00:18:14.400]   tools correctly in various cases, you might want to say, oh, you need to use this handoff
[00:18:14.400 --> 00:18:20.480]   in this particular scenario, right? You can get more specific. It just depends on what you're going for.
[00:18:20.480 --> 00:18:31.200]   And based on your testing of the agents, where is it lacking ability and where is it performing well,
[00:18:31.200 --> 00:18:37.040]   right? You would obviously just iterate on your instructions and your handoff description based
[00:18:37.040 --> 00:18:42.880]   on that. And the final thing is that we do also include a tool. So, this tool is just for the main
[00:18:42.880 --> 00:18:52.240]   agent. Okay. Cool. So, we have that. We run it and we go on and just say, okay, how long ago from today
[00:18:52.240 --> 00:18:59.040]   was it when we got our last red and report? Okay. So, ideally, what is going to happen here is the main
[00:18:59.040 --> 00:19:05.680]   agent is going to go and use the get current date tool. It's going to receive that information and then
[00:19:05.680 --> 00:19:13.120]   all of that then it's going to hand off to the, I would say, the internal docs sub-agent. And the
[00:19:13.120 --> 00:19:17.920]   internal docs sub-agent will see, okay, the previous tool call for the get current time. It will see the
[00:19:17.920 --> 00:19:28.000]   query from the user and it will be able to go and check its own internal docs tool, get the revenue report,
[00:19:28.000 --> 00:19:34.720]   and return all of that information to the user. So, I think the revenue report in the internal docs
[00:19:34.720 --> 00:19:45.200]   that we have, the date on that is April 2nd, 2025. So, let's see what happens there. When we're comparing
[00:19:45.200 --> 00:19:50.240]   the time between the orchestrated sub-agent, I was getting like 7.5 seconds for this query
[00:19:50.240 --> 00:19:54.080]   with the orchestrated sub-agent pattern. So, that's without handoffs. And then with the handoffs,
[00:19:54.080 --> 00:20:00.160]   I was getting there 6.4 seconds. There may also be network latency involved there. And we can try
[00:20:00.160 --> 00:20:07.040]   running it again, although we might run into some caching or prompt caching there. So, let's just see
[00:20:07.040 --> 00:20:12.080]   what we get. So, interestingly, I'm getting very long response time to say, which is not normal.
[00:20:12.080 --> 00:20:18.720]   This is, I assume it's my network latency or something wrong with OpenAI. Okay. Well, we see it's still
[00:20:18.720 --> 00:20:27.440]   running. That was an insanely long time. The answer is correct, right? But that time is a bit crazy.
[00:20:27.440 --> 00:20:34.560]   But we can have a look. So, let's just take a look at the tracing dashboard, because we also get tracing
[00:20:34.560 --> 00:20:40.160]   by default with Agents SDK, which is really very useful. So, let's talk a little bit about this in the
[00:20:40.160 --> 00:20:47.600]   of the previous videos. But I'm going to go to the dashboard here. I'm going to go to traces and we'll
[00:20:47.600 --> 00:20:53.200]   just see, okay, why did that take so long? And it does seem like it was actually on the OpenAI side,
[00:20:53.200 --> 00:21:04.080]   which is pretty wild. Wow. So, when we look at this, we can see, well, what took such a long time.
[00:21:04.720 --> 00:21:12.720]   So, our main agent step here was just 3.8 seconds. Okay. And that was, you know, it was just, it was
[00:21:12.720 --> 00:21:18.960]   normal, right? So, we got the get, we decided, okay, I'm going to use the get current date tool. It did.
[00:21:18.960 --> 00:21:26.560]   It got that and then it decided, okay, I'm going to use the transfer to internal docs agents. And it did that.
[00:21:26.560 --> 00:21:31.680]   So, there was a, it created that handoff. And that's what we see here. Then we came to this internal docs
[00:21:31.680 --> 00:21:39.440]   agent and took an incredibly long time. The internal docs agent decided first to use the search internal
[00:21:39.440 --> 00:21:47.280]   docs tool. And that was very quick. So, we had this, it took 1.5 seconds to generate that. The docs tool,
[00:21:47.280 --> 00:21:54.960]   it's not really doing anything. So, it was really fast to respond. Then, this response here took
[00:21:55.840 --> 00:22:04.320]   a incredibly, incredibly long time. And looking at this, there's nothing in here that, in my opinion,
[00:22:04.320 --> 00:22:10.640]   there's nothing in here that should have taken a very long time. All it did was generate this.
[00:22:10.640 --> 00:22:18.560]   So, it read all this information here, the LM, and we're using GPT 4.1 mini, should be very fast. And
[00:22:18.560 --> 00:22:25.360]   this is a response we got. Okay. So, there's nothing crazy in here. Like, I could have assumed if this was
[00:22:25.360 --> 00:22:34.720]   like a basically an essay, but it's not. It's 55 tokens output and 615 tokens input, which is not that,
[00:22:34.720 --> 00:22:43.440]   there's nothing significant. So, to me, this time here is a bit of an outlier and very likely
[00:22:44.240 --> 00:22:49.840]   from OpenAI. And if I run it again, it's 11.2 seconds. Not as good as what I was seeing before,
[00:22:49.840 --> 00:22:57.040]   but at least a lot more reasonable than what we saw. So, yeah, the correct information has been
[00:22:57.040 --> 00:23:05.280]   returned is going through that. So, okay. That seems to be working other than the outliers in latency there.
[00:23:05.920 --> 00:23:12.640]   Just to confirm, we can take a look at that last run and just check, okay, what actually happened
[00:23:12.640 --> 00:23:19.440]   there. And we can see exactly the same thing. Just that final post, that final LM generation
[00:23:19.440 --> 00:23:27.200]   was not like insanely long, which is what we see there. Great. So, we have that. And now we have our
[00:23:27.200 --> 00:23:32.080]   next question, which is what is our current revenue and what century of revenue comes from T1000 units?
[00:23:32.080 --> 00:23:38.080]   Now, what we would typically see here, or what we would need to be aware of is in this question,
[00:23:38.080 --> 00:23:43.040]   we're kind of asking for two sub-agents to be used. We have what is our current revenue,
[00:23:43.040 --> 00:23:47.440]   which is the internal docs sub-agent. And then we also have what percentage of revenue comes from
[00:23:47.440 --> 00:23:54.400]   the T1000 units, which is ideally the code execution agent, you know, just to be careful in how we're
[00:23:54.400 --> 00:24:00.080]   computing things. Although what we'll find is that it will, the internal docs sub-agent will likely just
[00:24:00.080 --> 00:24:05.280]   calculate it itself, because it's not too difficult of a calculation, but particularly for those more
[00:24:05.280 --> 00:24:11.360]   complicated calculations, we'd ideally want to hand off to the code execution sub-agent. And to be honest,
[00:24:11.360 --> 00:24:18.080]   even ideally for simple calculations, because LLMs can fairly easy get calculations wrong,
[00:24:18.080 --> 00:24:24.960]   although they have gotten much better at it recently, it's still something that they're going to
[00:24:24.960 --> 00:24:28.880]   hallucinate every now and again. And we want to try and avoid that as much as possible,
[00:24:28.880 --> 00:24:35.360]   which is much easier to do when we have another agent writing and executing code. Because if it
[00:24:35.360 --> 00:24:42.160]   writes that code wrong, it's not going to run. It's going to be told, "Hey, you need to write this code
[00:24:42.160 --> 00:24:49.760]   correctly." And it will usually basically fix itself and realize it's the error and resolve the issue. So
[00:24:49.760 --> 00:24:53.200]   it generally, it can be much safer to do that.
[00:24:56.080 --> 00:25:04.400]   So let's see how long this one takes. So we've got 7.7 seconds. This is more aligned with what I was
[00:25:04.400 --> 00:25:13.920]   seeing before, actually. So we have all of this current revenue, and this is the correct percentage from
[00:25:13.920 --> 00:25:24.880]   the T1000 units. So yeah, this is accurate. Although if we have a look at the agent workflow,
[00:25:24.880 --> 00:25:34.320]   the most recent one here, we will see that, okay, use the internal docs. It seems to use them, I think it
[00:25:34.320 --> 00:25:40.480]   called parallel. Yeah, it tried parallel tool calls here. It was trying to search your current revenue
[00:25:40.480 --> 00:25:46.560]   and revenue percentage from the T1000 units because the internal docs agent thinks that it's using
[00:25:46.560 --> 00:25:50.960]   like an actual WAG tool that has access to many documents. It doesn't, it just has access to the
[00:25:50.960 --> 00:25:57.680]   one, but it's going to try and use that as if it has access to many documents. And of course, the response
[00:25:57.680 --> 00:26:02.880]   from both of those is the same. So we've got that response and it uses that to generate the answer,
[00:26:02.880 --> 00:26:09.200]   which is what we have here. So yeah, all of that happened as we would expect it to happen.
[00:26:10.400 --> 00:26:18.080]   So nothing surprising that. Great. So that's a handoff, so high level. What I do want to cover
[00:26:18.080 --> 00:26:23.760]   is a few other handoff features. And these are not necessarily things that we're going to be using
[00:26:23.760 --> 00:26:29.680]   in production, maybe in some cases, not most of the time. Instead, I think most of these features
[00:26:29.680 --> 00:26:35.760]   are very useful for development and debugging and just understanding what is going on. So we have
[00:26:35.760 --> 00:26:42.480]   three things on take you through. We have on handoff, which is a callback that gets executed whenever we
[00:26:42.480 --> 00:26:51.840]   hand off to a sub agent. And in a production scenario, you probably use this to write, you know,
[00:26:51.840 --> 00:26:59.120]   like the fact that a handoff happened, like some handoff event log to a database or to your
[00:26:59.120 --> 00:27:04.960]   telemetry provider, you know, whatever you're doing, that's probably where you would use this
[00:27:04.960 --> 00:27:13.440]   callback. And in development, this can just be a very good place to put like a print statement or a
[00:27:13.440 --> 00:27:20.640]   log, a debug or whatever else, just to see kind of what is okay when a handoff is happening and
[00:27:21.280 --> 00:27:26.800]   whatever information you need within that handoff as well. So that can be really useful for that.
[00:27:26.800 --> 00:27:32.560]   And I'll take you through that you're using that in a moment. We then also have input type. So input type
[00:27:32.560 --> 00:27:40.720]   allows us to define a specific structured format to be used by our agent in the handoff. So to pass
[00:27:40.720 --> 00:27:48.240]   particular information to either the sub agent or actually through the callback. So those can obviously
[00:27:48.240 --> 00:27:55.600]   be used in tandem. So you can, you'll get some structured information that you then print or
[00:27:55.600 --> 00:28:00.880]   saw in your telemetry somewhere based on whatever you put into this input type. So that can be really
[00:28:00.880 --> 00:28:06.560]   useful. And then we also have input filter. I expect OpenAI are going to add more to this feature in the
[00:28:06.560 --> 00:28:13.440]   future. The way that OpenAI describe input filter is like you can use it to filter various things that are
[00:28:13.440 --> 00:28:19.520]   going into your agent that you're handing off to. So the way that they phrase it makes it seem like you
[00:28:19.520 --> 00:28:25.840]   can filter. Like maybe you just want to filter your user message or assistant message or you want to
[00:28:25.840 --> 00:28:34.400]   filter the tools that the LM downstream might see. But right now, the only thing that you can filter
[00:28:34.400 --> 00:28:41.680]   is all tool messages for in the conversation so far. So that, that is what it does. I will see in a moment
[00:28:41.680 --> 00:28:48.560]   an example of that and it will probably make a bit more sense. Now, all of these are set via this handoff
[00:28:48.560 --> 00:28:56.240]   object. Okay. So if we start with that on handoff function, so this is the callback that gets called
[00:28:56.240 --> 00:29:01.760]   whenever a handoff happens. So in here, we can, we're just going to print handoff called to the,
[00:29:01.760 --> 00:29:09.440]   to the console. And then what we do is we wrap our agent that we're going to be handing off to
[00:29:09.440 --> 00:29:16.560]   inside this handoff object. And we also pair that with the on handoff function that we defined here.
[00:29:16.560 --> 00:29:26.160]   And then these become the handoff agents that we create. We define those and yeah, let's run that.
[00:29:26.160 --> 00:29:31.120]   And then we're just going to run this. Okay. So what we should see is when the handoff occurs,
[00:29:31.120 --> 00:29:36.800]   we should see that we should see handoff called below our cell that we're running. So let's run that.
[00:29:36.800 --> 00:29:45.040]   Okay. So we can see the print has occurred there and then we get this. Okay. So it's the same as
[00:29:45.040 --> 00:29:53.920]   before. Great. So we have that. Let's add a little more to this. So one thing with this information
[00:29:53.920 --> 00:30:00.880]   here is that we don't actually get much information being passed to the callback handler. So what I'm
[00:30:00.880 --> 00:30:05.600]   going to do is I'm going to add a little more information. What I'm going to do is say, okay,
[00:30:05.600 --> 00:30:11.360]   I know the handoff is happening, but why is it happening? And where is it being handed off to?
[00:30:11.360 --> 00:30:18.800]   Okay. So I'm defining this pedantic base model. I'm saying, I want the sub-agent name. We set as field
[00:30:18.800 --> 00:30:23.840]   and we say, okay, this is the name of sub-agent that is being called. Then the reason, like,
[00:30:23.840 --> 00:30:29.440]   why is this sub-agent being called? And the main agent is going to have to generate this
[00:30:30.240 --> 00:30:37.680]   for that handoff. Okay. So we're going to be able to see exactly why things are happening according to
[00:30:37.680 --> 00:30:42.080]   the, according to the main agent. Okay. And then we're just going to print it out so we can, we can read
[00:30:42.080 --> 00:30:50.880]   that. So we do that. We use on handoff again, which is the same as before, but we've added this handoff
