
[00:00:00.000 --> 00:00:21.440]   Hi everyone! I'm so excited to be part of this conference and share with you five practical
[00:12:16.280 --> 00:12:24.200]   This is Python, so we're starting by just integrating the Python SDK client here. And then you can define
[00:12:24.200 --> 00:12:30.760]   this list of messages. And here's, for example, where you put in your user message prompts. You can put in
[00:12:30.760 --> 00:12:38.200]   system prompts as well. And then this message list, you can just pass in this single API call using the
[00:12:38.200 --> 00:12:43.960]   Converse API here. In the model ID, you can choose which model you want to test. Here I'm using an
[00:12:43.960 --> 00:12:51.240]   entropic model. And then pass the messages and also the inference parameters. And again, in this API,
[00:12:51.240 --> 00:12:58.760]   all those parameters are standardized, and we're going to make the work behind the covers to convert this to
[00:12:58.760 --> 00:13:05.080]   the specific format that the model is expecting. So you have an easy way to work across different models.
[00:13:05.080 --> 00:13:13.080]   Similarly, here for function calling, we do have the support built in that with the models that support it.
[00:13:13.080 --> 00:13:21.720]   So how we implement this is by defining a tool list. So tool here equivalent to the functions you want to give
[00:13:22.280 --> 00:13:28.280]   access to. And then when you're doing the Converse API call, you can pass this list of tools.
[00:13:28.280 --> 00:13:36.600]   All right. If you want to find out more about Converse API, here's a link to our generative AI space on
[00:13:36.600 --> 00:13:43.560]   community.aws, which has a lot more tutorials, code examples, not just for Python, but across different
[00:13:43.560 --> 00:13:49.640]   languages as well. So check it out. The author here, Dennis Traub, is also somewhere in the audience
[00:13:49.640 --> 00:13:54.040]   here this week. So if you want to connect with him, talk about different code examples and how to use
[00:13:54.040 --> 00:14:03.320]   the API, feel free to reach out. All right. Now let's integrate AI into our applications. And this can
[00:14:03.320 --> 00:14:08.360]   be a whole session in its own, but I want to focus on one of the hottest topics right now that we're
[00:14:08.360 --> 00:14:16.120]   discussing during the conference, which is, of course, agents. And I have one more demo here, and I asked my
[00:14:16.120 --> 00:14:22.760]   colleague Mike last time to put together an exciting demo to show you what you can do with agents.
[00:14:22.760 --> 00:14:27.720]   Mike. And we need sound.
[00:14:27.720 --> 00:14:35.080]   To be able to create agentic workflows right inside of the AWS console and inside of the service. It works
[00:14:35.080 --> 00:14:41.960]   fully serverless, and I've used it to create an agent that plays Minecraft. Let me show you how I did it.
[00:14:41.960 --> 00:14:48.040]   If we jump into the AWS console, go down the menu on the left-hand side to agents, you can see the
[00:14:48.040 --> 00:14:54.840]   agent screen here, and I can open up my agent, my Minecraft agent. Now, if I just go into agent builder
[00:14:54.840 --> 00:14:59.960]   and just expand the screen out a little bit, you get to see some of the parameters that I used to create
[00:14:59.960 --> 00:15:05.960]   this agent. So you can see the large language model I used, in this case, Claude3 Haiku. And you can also see
[00:15:05.960 --> 00:15:12.040]   this, the instructions for the agent. Now, this is not some notes for myself. This is actually prompt engineering
[00:15:12.040 --> 00:15:17.880]   that we're doing to explain how we want the agent, in this case, the Minecraft bot, to play the game.
[00:15:17.880 --> 00:15:23.480]   And then we also have to add some tools in, right, some Minecraft tools. So we do that through actions
[00:15:23.480 --> 00:15:28.040]   and inside of action groups. So I've got a couple of different action groups. We've got Minecraft actions
[00:15:28.040 --> 00:15:34.520]   and Minecraft experimental. Let's have a look at actions. And inside of here, we can see some really
[00:15:34.520 --> 00:15:40.360]   simple things, some actions that the bot will be able to do. And these are all linked up to code.
[00:15:40.360 --> 00:15:45.560]   So we've got the action to jump. We've got the action to dig. And you can see the description here
[00:15:45.560 --> 00:15:51.000]   for action to dig. It's got some instructions. Again, this is prompt engineering. And then we've got some
[00:15:51.000 --> 00:15:56.920]   parameters that we can select, collect. In fact, we require these parameters. So the bot needs to get
[00:15:56.920 --> 00:16:02.120]   these for us. If I scroll down a little further, there's a couple of really simple actions in here.
[00:16:02.120 --> 00:16:10.600]   Action to get a player location, and action to move to a location. I want to show you those in action,
[00:16:10.600 --> 00:16:17.560]   because the bot can actually problem solve and reason its way to be able to use these tools to solve
[00:16:17.560 --> 00:16:24.040]   simple problems. Let's jump into the game. And so it is nighttime. So let's set it to be the daytime.
[00:16:24.040 --> 00:16:30.200]   So that we can see what's going on. So set time to day. Okay. And there in the middle of the screen,
[00:16:30.200 --> 00:16:36.840]   you can see Rocky. Rocky is the bedrock agent running inside of the game. And we can talk to it. We can
[00:16:36.840 --> 00:16:44.200]   have a chat session. But what about if we want it to come to us? Now, there is no tool to come to us.
[00:16:44.200 --> 00:16:48.040]   So I'm just going to back up a little bit further, make it a little bit more of a challenge. And I'm
[00:16:48.040 --> 00:16:53.960]   going to say, come to me in chat. And what's going to happen now is that the agent's going to reason
[00:16:53.960 --> 00:16:59.160]   through a whole set of actions. It's going to look to see who requested that. It's then going to take
[00:16:59.160 --> 00:17:05.160]   that name, and that's my name. And it's going to find the location of that player. And then it's going to
[00:17:05.160 --> 00:17:11.960]   map a path from where it currently was to me. All of those things happened all in that blink of an eye.
[00:17:11.960 --> 00:17:17.480]   And there's agentic workflows making all of that happen. This is super exciting. I'm discovering new
[00:17:17.480 --> 00:17:22.120]   things that this bot can do every day. But with that, it's back to you.
[00:17:22.120 --> 00:17:29.480]   All right. Thank you, Mike. If you're curious to know how we did this, check out our booth session.
[00:17:29.480 --> 00:17:35.080]   We're running the demo there as well. And we have another session in the agent's track later today.
[00:17:35.080 --> 00:17:40.360]   So make sure you're popping in there if you want to know more. And, of course, you can find the project
[00:17:40.360 --> 00:17:47.880]   code for this on GitHub. So if you want to play it on your own in how you can integrate agents into a fun
[00:17:47.880 --> 00:17:55.320]   thing, check out this project. All right. We're almost there. So the last step I really want to call out is
[00:17:55.320 --> 00:18:01.400]   stay up to date. There's so much happening in this space, as you all know. And a really good way to do
[00:18:01.400 --> 00:18:08.840]   that is to engage with the community. Speaking of community, I have one last announcement to make.
[00:18:08.840 --> 00:18:16.200]   And I'm super excited to announce that we're transforming our AWS loft here in San Francisco
[00:18:16.200 --> 00:18:23.800]   into the AI engineering hub for the community. So we're super excited to host workshops, events,
[00:18:23.800 --> 00:18:29.720]   and meetups there. If you want to suggest a couple of topics you're most interested in to make those
[00:18:29.720 --> 00:18:35.480]   events most valuable to you, fill out this quick survey here. Also, if you're interested in speaking
[00:18:35.480 --> 00:18:42.760]   or hosting a meetup yourself, you can let us know. And also, we do have another event tonight,
[00:18:42.760 --> 00:18:49.080]   which I think we're reaching capacity or just have reached capacity. But we do have a happy hour with
[00:18:49.080 --> 00:18:56.840]   Entropic tonight at the loft. In case you didn't make it anymore and we're at capacity, don't worry.
[00:18:56.840 --> 00:19:02.760]   We're working on putting together much more events like this in the upcoming weeks and months. So keep an
[00:19:02.760 --> 00:19:09.960]   eye out for those. And with that, I'm coming to the end of my presentation. This wraps it up the five
[00:19:09.960 --> 00:19:17.720]   practical steps to become an AI engineer. And let's innovate together. And I'm looking forward and I'm
[00:19:17.720 --> 00:19:24.840]   excited to see what you built with AI. Thanks so much. Make sure you're checking out the rest of the
[00:19:24.840 --> 00:19:42.280]   sessions here and also pop by our booth outside. Thanks so much.
[00:19:42.280 --> 00:19:47.160]   I'll see you next time.

