
[00:00:00.000 --> 00:00:05.200]   Hello everybody, it's Sam from Financial Samurai and in this episode I want to talk about the 401k
[00:07:36.660 --> 00:07:42.340]   You should be able to fix at least your finances or make it better and with food and eating
[00:07:42.340 --> 00:07:45.820]   Well, we know it's just eating less and more exercise
[00:07:45.820 --> 00:07:53.540]   Finally, I just want to leave some historical perspective on what the historical 401k contribution limits were
[00:07:53.540 --> 00:07:58.660]   Because nineteen thousand five hundred is pretty darn good for 2020
[00:07:59.020 --> 00:08:04.900]   Back when I first started contributing to my 401k it was in 1999 and that limit was ten thousand
[00:08:04.900 --> 00:08:09.500]   So it's steadily increased by about five hundred dollar increments every one to two years
[00:08:09.500 --> 00:08:12.140]   sometimes a thousand dollar increments
[00:08:12.140 --> 00:08:15.180]   but it's generally been five hundred dollars and I
[00:08:15.180 --> 00:08:21.140]   expect this increase should continue as the government wants us all to keep up with inflation and
[00:08:21.140 --> 00:08:23.740]   Inflation is a dirty and a good word
[00:08:24.180 --> 00:08:31.220]   inflation helps those of us with assets get wealthier because our assets inflate with inflation and hopefully quicker and
[00:08:31.220 --> 00:08:38.300]   Those who don't have assets like real estate and stocks are going to get poorer because inflation is going to eat into your purchasing power
[00:08:38.300 --> 00:08:44.700]   So if you want to retire comfortably, please at least max out your 401k each year
[00:08:44.700 --> 00:08:47.980]   After ten years, you're gonna be pumped after 30 years
[00:08:47.980 --> 00:08:52.740]   I think you're gonna reach a million dollar status if you continue to max it out
[00:08:52.740 --> 00:08:58.980]   And that's fine work until 60 have your 401k have some of your social security
[00:08:58.980 --> 00:09:01.700]   Maybe you might have a pension you're gonna be okay
[00:09:01.700 --> 00:09:07.180]   You're gonna do great if you can max out your 401k and you know, it's not gonna be a lavish retirement lifestyle
[00:09:07.180 --> 00:09:11.460]   But it's gonna be a comfortable retirement lifestyle, especially if you pay off all your debt
[00:09:11.460 --> 00:09:15.340]   Now if you want to retire early like in your 40s or 50s
[00:09:15.340 --> 00:09:19.060]   You must really focus on building that after-tax
[00:09:19.740 --> 00:09:26.940]   Investment portfolio it can be in stocks bonds real estate private equity venture debt or whatever
[00:09:26.940 --> 00:09:32.180]   You just really need to focus on building this after-tax portfolio because it is this portfolio
[00:09:32.180 --> 00:09:35.720]   That's gonna spit out a livable passive income stream
[00:09:35.720 --> 00:09:38.100]   So hopefully after this podcast
[00:09:38.100 --> 00:09:45.620]   Everybody is motivated to max out their 401k and do some investigating on what other company benefits you have whether it's tuition
[00:09:45.980 --> 00:09:51.860]   Reimbursement benefits understand your health benefits because health care is very expensive if you don't have any benefits
[00:09:51.860 --> 00:09:54.060]   And I think you'll learn to appreciate your company more
[00:09:54.060 --> 00:09:59.540]   Look what type of profit sharing arrangement there could be if you stay at your firm for another three to five to ten years
[00:09:59.540 --> 00:10:01.860]   Who knows it could be really good
[00:10:01.860 --> 00:10:07.660]   Thanks so much everyone and happy savings. If you enjoyed this podcast, please share and subscribe
[00:10:07.660 --> 00:10:08.220]   Subscribe.

