
[00:00:00.040 --> 00:00:09.520]   På
[00:09:57.800 --> 00:10:27.780]  руing to be able to pivot quickly and provide the goods and services that we need. But that still means you need to understand a potential problem in your life, a problem that might not be able to be solved with money, because after all, as I have previously discussed in radical personal finance, if somebody, an entrepreneur comes in and wants to offer you goods at a higher price because you want to solve your problem with money, of course, they would be excoriated for that and and would face some sort of criminal charge if they are found to be
[00:10:27.780 --> 00:10:27.780]   in a situation where
[00:10:27.780 --> 00:10:27.780]   and would face some sort of criminal charge if they are found to
[00:10:27.780 --> 00:10:27.780]   a
[00:10:27.780 --> 00:10:27.780]   and would face some sort of criminal charge if they are found to
[00:10:27.780 --> 00:10:27.780]   a
[00:10:27.780 --> 00:10:27.780]   and would face some sort of criminal charge if they are found to
[00:10:27.780 --> 00:10:27.780]   a
[00:10:27.780 --> 00:10:27.780]   and would face some sort of criminal charge if they are found to
[00:10:27.780 --> 00:10:27.780]   a
[00:10:27.780 --> 00:10:27.780]   and would face some sort of criminal charge if they are found to
[00:10:27.780 --> 00:10:27.780]   a
[00:10:27.820 --> 00:10:57.800]   a
[00:10:57.840 --> 00:11:27.820]   and would face some sort of criminal charge if they are found to be.
[00:11:27.820 --> 00:11:27.820]   and would face some sort of criminal charge if they are found to be.
[00:11:27.820 --> 00:11:27.820]   and would face some sort of criminal charge if they are found to be.
[00:11:27.840 --> 00:11:57.840]   I have to warn you, this might be a little boring at first. We're going to talk about inventory strategy. Or this might be really exciting if operations and efficiency blows hot air.
[00:11:57.840 --> 00:11:57.840]   I have to warn you, this might be a little boring at first. We're going to talk about inventory strategy. Or this might be really exciting if operations and efficiency blows hot air.
[00:11:57.840 --> 00:11:57.840]   I have to warn you, this might be a little boring at first. We're going to talk about inventory strategy. Or this might be really exciting if operations and efficiency blows hot air.
[00:11:57.840 --> 00:11:57.840]   I have to warn you, this might be a little boring at first. We're going to talk about inventory strategy. Or this might be really exciting if operations and efficiency blows hot air.
[00:11:57.840 --> 00:11:57.840]   I have to warn you, this might be a little boring at first. We're going to talk about inventory strategy. Or this might be really exciting if operations and efficiency blows hot air.
[00:11:57.860 --> 00:12:27.860]   I have to warn you, this might be a little boring at first. We're going to talk about inventory strategy. Or this might be really exciting if operations and efficiency blows hot air.
[00:12:27.860 --> 00:12:27.860]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:27.860 --> 00:12:27.860]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:27.860 --> 00:12:27.860]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:27.860 --> 00:12:27.860]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:27.860 --> 00:12:27.860]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:27.860 --> 00:12:27.860]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:27.860 --> 00:12:27.860]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:27.860 --> 00:12:27.860]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:27.900 --> 00:12:57.880]  , I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:57.880 --> 00:12:57.880]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:57.880 --> 00:12:57.880]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:57.880 --> 00:12:57.880]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:57.880 --> 00:12:57.880]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:57.880 --> 00:12:57.880]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:12:57.920 --> 00:13:27.900]   preview
[00:13:27.900 --> 00:13:27.900]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:27.900 --> 00:13:27.900]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:27.900 --> 00:13:27.900]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:27.900 --> 00:13:27.900]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:27.900 --> 00:13:27.900]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:27.900 --> 00:13:27.900]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:27.900 --> 00:13:27.900]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:27.900 --> 00:13:27.900]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:27.940 --> 00:13:57.920]  ,
[00:13:57.920 --> 00:13:57.920]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:57.920 --> 00:13:57.920]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:57.920 --> 00:13:57.920]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:57.920 --> 00:13:57.920]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:57.920 --> 00:13:57.920]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:57.920 --> 00:13:57.920]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:57.920 --> 00:13:57.920]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:57.920 --> 00:13:57.920]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:57.920 --> 00:13:57.920]   I have to warn you, this might be really exciting if operations and efficiency blows hot air.
[00:13:57.940 --> 00:14:27.940]   Fossilization is a process that is an essential part of the process.
[00:14:27.940 --> 00:14:27.940]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:27.940 --> 00:14:27.940]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:27.940 --> 00:14:27.940]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:27.940 --> 00:14:27.940]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:27.940 --> 00:14:27.940]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:27.940 --> 00:14:27.940]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:27.940 --> 00:14:27.940]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:27.940 --> 00:14:27.940]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:27.940 --> 00:14:27.940]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:27.980 --> 00:14:57.960]  , you have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:57.960 --> 00:14:57.960]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:57.960 --> 00:14:57.960]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:57.960 --> 00:14:57.960]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:57.960 --> 00:14:57.960]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:57.960 --> 00:14:57.960]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:57.960 --> 00:14:57.960]   You have to warn you, this might be really exciting if operations and efficiencydoes hot air.
[00:14:58.000 --> 00:15:08.380]   provide
[00:15:08.380 --> 00:15:17.680]   learning, it that stays
[00:15:26.860 --> 00:15:55.720]  iminally. I'm going to stop that in a second. And then that goes into the cost of your goods over the length of time that your goods are in there. Your eyes are starting to roll back in your head. Stay with me. Stay with me. Why cubic foot? Why not square foot? I'm used to thinking about square foot. Well, your building occupies more than square feet. You have an extraordinarily weird building, in which case I would love to see a picture of that. That's that's really weird. But anyway, cubic foot. So your building has that link width and height, you know, x, y and z axis.
[00:15:56.500 --> 00:16:05.980]   Saying High grinding
[00:17:52.320 --> 00:18:02.580]   underway.
[00:18:02.580 --> 00:18:11.020]   Again, this is a costume and theatrical supply shop that's been around at that point for like 60 years.
[00:18:11.020 --> 00:18:14.200]   So Rubber Dog Doo-Doo in the context makes total sense.
[00:18:14.200 --> 00:18:21.420]   The vendor offered my father like this really crazy good deal if he would just buy a shit ton of Rubber Dog Doo-Doo.
[00:18:21.420 --> 00:18:22.160]   Again, this is a costume and theatrical supply shop that's been around at that point for like 60 years. So Rubber Dog Doo-Doo in the context makes total sense.
[00:18:22.160 --> 00:18:22.200]   Again, this is a costume and theatrical supply shop that's been around at that point for like 60 years. So Rubber Dog Doo-Doo in the context makes total sense.
[00:18:22.200 --> 00:18:22.240]   Again, this is a costume and theatrical supply shop that's been around at that point for like 60 years. So Rubber Dog Doo-Doo in the context makes total sense.
[00:18:22.240 --> 00:18:42.380]   Knew it.
[00:18:42.380 --> 00:18:43.340]   I'm not sure if I'm gonna be able to say it.
[00:18:43.340 --> 00:18:43.360]   I'm not sure if I'm gonna be able to say it.
[00:18:43.360 --> 00:18:43.380]   I'm not sure if I'm gonna be able to say it.
[00:18:43.380 --> 00:18:43.440]   I'm not sure if I'm gonna be able to say it.
[00:18:43.440 --> 00:18:43.480]   I'm not sure if I'm gonna be able to say it.
[00:18:43.480 --> 00:18:43.520]   I'm not sure if I'm gonna be able to say it.
[00:18:43.520 --> 00:18:43.540]   I'm not sure if I'm gonna be able to say it.
[00:18:43.580 --> 00:19:05.840]  ,
[00:19:05.840 --> 00:19:11.940]   I'm not sure if I'm gonna be able to say it.
[00:19:11.940 --> 00:19:12.000]   I'm not sure if I'm gonna be able to say it.
[00:19:12.000 --> 00:19:12.020]   I'm not sure if I'm gonna be able to say it.
[00:19:12.020 --> 00:19:12.040]   I'm not sure if I'm gonna be able to say it.
[00:19:12.040 --> 00:19:12.080]   I'm not sure if I'm gonna be able to say it.
[00:19:12.080 --> 00:19:40.720]  ,
[00:19:40.720 --> 00:19:42.100]   I'm not sure if I'm gonna be able to say it.
[00:19:42.100 --> 00:19:42.100]   I'm not sure if I'm gonna be able to say it.
[00:19:42.100 --> 00:19:42.100]   I'm not sure if I'm gonna be able to say it.
[00:19:42.100 --> 00:19:42.100]   I'm not sure if I'm gonna be able to say it.
[00:19:42.120 --> 00:20:12.120]   I'm not sure if I'm gonna be able to say it.
[00:20:12.120 --> 00:20:12.120]   I'm not sure if I'm gonna be able to say it.
[00:20:12.120 --> 00:20:12.120]   I'm not sure if I'm gonna be able to say it.
[00:20:12.120 --> 00:20:12.120]   I'm not sure if I'm gonna be able to say it.
[00:20:12.120 --> 00:20:12.120]   I'm not sure if I'm gonna be able to say it.
[00:20:12.120 --> 00:20:12.120]   I'm not sure if I'm gonna be able to say it.
[00:20:12.120 --> 00:20:12.120]   I'm not sure if I'm gonna be able to say it.
[00:20:12.120 --> 00:20:12.120]   I'm not sure if I'm gonna be able to say it.
[00:20:12.120 --> 00:20:12.120]   I'm not sure if I'm gonna be able to say it.
[00:20:12.120 --> 00:20:12.120]   I'm not sure if I'm gonna be able to say it.
[00:20:12.120 --> 00:20:12.120]   I'm not sure if I'm gonna be able to say it.
[00:20:12.120 --> 00:20:12.120]   I'm not sure if I'm gonna be able to say it.
[00:20:12.120 --> 00:20:42.140]   I'm not sure if I'm gonna be able to say it.
[00:20:42.140 --> 00:20:42.140]   I'm not sure if I'm gonna be able to say it.
[00:20:42.140 --> 00:20:42.140]   I'm not sure if I'm gonna be able to say it.
[00:20:42.140 --> 00:20:42.140]   I'm not sure if I'm gonna be able to say it.
[00:20:42.140 --> 00:20:42.140]   I'm not sure if I'm gonna be able to say it.
[00:20:42.140 --> 00:20:42.140]   I'm not sure if I'm gonna be able to say it.
[00:20:42.140 --> 00:20:42.140]   I'm not sure if I'm gonna be able to say it.
[00:20:42.140 --> 00:20:42.140]   I'm not sure if I'm gonna be able to say it.
[00:20:42.140 --> 00:20:42.140]   I'm not sure if I'm gonna be able to say it.
[00:20:42.140 --> 00:20:42.140]   I'm not sure if I'm gonna be able to say it.
[00:20:42.160 --> 00:21:12.160]   I'm not sure if I'm gonna be able to say it.
[00:21:12.160 --> 00:21:12.160]   I'm not sure if I'm gonna be able to say it.
[00:21:12.160 --> 00:21:12.160]   I'm not sure if I'm gonna be able to say it.
[00:21:12.160 --> 00:21:12.160]   I'm not sure if I'm gonna be able to say it.
[00:21:12.160 --> 00:21:12.160]   I'm not sure if I'm gonna be able to say it.
[00:21:12.160 --> 00:21:12.160]   I'm not sure if I'm gonna be able to say it.
[00:21:12.160 --> 00:21:12.160]   I'm not sure if I'm gonna be able to say it.
[00:21:12.160 --> 00:21:12.160]   I'm not sure if I'm gonna be able to say it.
[00:21:12.160 --> 00:21:12.160]   I'm not sure if I'm gonna be able to say it.
[00:21:12.160 --> 00:21:12.160]   I'm not sure if I'm gonna be able to say it.
[00:21:12.160 --> 00:21:12.160]   I'm not sure if I'm gonna be able to say it.
[00:21:12.160 --> 00:21:12.160]   I'm not sure if I'm gonna be able to say it.
[00:21:12.160 --> 00:21:42.180]   I'm not sure if I'm gonna be able to say it.
[00:21:42.180 --> 00:21:42.180]   I'm not sure if I'm gonna be able to say it.
[00:21:42.180 --> 00:21:42.180]   I'm not sure if I'm gonna be able to say it.
[00:21:42.180 --> 00:21:42.180]   I'm not sure if I'm gonna be able to say it.
[00:21:42.180 --> 00:21:42.180]   I'm not sure if I'm gonna be able to say it.
[00:21:42.180 --> 00:21:42.180]   I'm not sure if I'm gonna be able to say it.
[00:21:42.180 --> 00:21:42.180]   I'm not sure if I'm gonna be able to say it.
[00:21:42.180 --> 00:21:42.180]   I'm not sure if I'm gonna be able to say it.
[00:21:42.200 --> 00:22:12.200]   I'm not sure if I'm gonna be able to say it.
[00:22:12.200 --> 00:22:12.200]   I'm not sure if I'm gonna be able to say it.
[00:22:12.200 --> 00:22:12.200]   I'm not sure if I'm gonna be able to say it.
[00:22:12.200 --> 00:22:12.200]   I'm not sure if I'm gonna be able to say it.
[00:22:12.200 --> 00:22:12.200]   I'm not sure if I'm gonna be able to say it.
[00:22:12.200 --> 00:22:12.200]   I'm not sure if I'm gonna be able to say it.
[00:22:12.200 --> 00:22:12.200]   I'm not sure if I'm gonna be able to say it.
[00:22:12.200 --> 00:22:12.200]   I'm not sure if I'm gonna be able to say it.
[00:22:12.200 --> 00:22:12.200]   I'm not sure if I'm gonna be able to say it.
[00:22:12.200 --> 00:22:12.200]   I'm not sure if I'm gonna be able to say it.
[00:22:12.200 --> 00:22:12.200]   I'm not sure if I'm gonna be able to say it.
[00:22:12.200 --> 00:22:12.200]   I'm not sure if I'm gonna be able to say it.
[00:22:12.200 --> 00:22:42.220]   I'm not sure if I'm gonna be able to say it.
[00:22:42.220 --> 00:22:42.220]   I'm not sure if I'm gonna be able to say it.
[00:22:42.220 --> 00:22:42.220]   I'm not sure if I'm gonna be able to say it.
[00:22:42.220 --> 00:22:42.220]   I'm not sure if I'm gonna be able to say it.
[00:22:42.220 --> 00:22:42.220]   I'm not sure if I'm gonna be able to say it.
[00:22:42.220 --> 00:22:42.220]   I'm not sure if I'm gonna be able to say it.
[00:22:42.220 --> 00:22:42.220]   I'm not sure if I'm gonna be able to say it.
[00:22:42.260 --> 00:22:50.160]  MIN
[00:22:50.160 --> 00:23:10.160]   " butt, you,
[00:23:11.000 --> 00:23:39.740]   I'm back to this in a moment. Grocery stores want to keep it as close to 24 hours as they can get away with. If they could shave even more without disrupting shoppers that are there actively shopping, they would. And in some cases they kind of do, but staying out of the weeds. Sounds pretty slick, right? Everything's very efficient. Machines and dancing and ballet and all the accounting numbers in the correct column and money saved and savings then
[00:23:39.740 --> 00:23:39.740]   Then reflected in lower income.
[00:23:39.780 --> 00:23:55.960]   a
[00:24:09.140 --> 00:24:37.240]   '
[00:26:05.040 --> 00:26:05.320]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care. You know? We're human beings, we don't care."
[00:26:05.320 --> 00:26:05.820]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care. You know? We're human beings, we don't care."
[00:26:05.820 --> 00:26:06.320]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:26:36.040 --> 00:26:36.040]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:26:36.040 --> 00:26:36.040]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:26:59.580 --> 00:27:04.200]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:27:04.200 --> 00:27:06.080]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:27:06.080 --> 00:27:36.120]  , "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:27:36.120 --> 00:27:36.120]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:27:36.120 --> 00:27:36.120]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:27:36.120 --> 00:27:36.120]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:27:36.120 --> 00:27:36.120]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:27:36.120 --> 00:27:36.120]   "And even if they have plenty and them buying more interrupts somebody else."
[00:27:36.160 --> 00:28:06.160]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:06.160 --> 00:28:06.160]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:06.160 --> 00:28:06.160]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:06.180 --> 00:28:12.200]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:12.200 --> 00:28:14.200]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:14.200 --> 00:28:16.200]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:16.200 --> 00:28:18.200]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:18.200 --> 00:28:20.200]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:20.200 --> 00:28:22.200]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:22.200 --> 00:28:24.200]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:24.220 --> 00:28:48.240]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:48.240 --> 00:28:50.240]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:50.240 --> 00:28:52.240]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:52.240 --> 00:28:54.240]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:54.240 --> 00:28:54.240]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:54.240 --> 00:28:54.240]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:54.240 --> 00:28:54.240]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:28:54.240 --> 00:28:54.240]   And even if they're human beings, we don't care."
[00:28:54.280 --> 00:29:24.280]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:29:24.280 --> 00:29:24.280]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:29:24.280 --> 00:29:24.280]   "And even if they have plenty and them buying more interrupts somebody else. We're human beings, we don't care."
[00:29:24.320 --> 00:29:35.280]   come
[00:29:35.280 --> 00:29:42.420]   call buy than minimize
[00:29:42.420 --> 00:29:52.280]   thank in or even better through wall probe e bound que
[00:29:53.320 --> 00:30:02.600]   próxima
[00:30:02.600 --> 00:30:21.340]   porque think, ",
[00:30:22.300 --> 00:30:28.640]   E
[00:30:28.640 --> 00:30:51.320]   do my,,,,
[00:30:51.340 --> 00:30:55.680]   preparing for what comes next is a big part of becoming an adult.
[00:30:55.680 --> 00:30:58.800]   So if your teenager says they want to join the military,
[00:30:58.800 --> 00:31:00.880]   they're preparing for a real challenge.
[00:31:00.880 --> 00:31:05.860]   Visit today's military.com because their success tomorrow begins with your
[00:31:05.860 --> 00:31:06.660]   support today.

