
[00:00:00.040 --> 00:00:05.260]   sometimes you make some venture bets and they don't work and then you're like I just invested
[00:15:14.920 --> 00:15:20.360]   alternative to you know the overspending of governments and when you have a stable coin right
[00:15:20.360 --> 00:15:25.840]   how long is it before a new regulation goes through that allows a stable coin to pay interest
[00:15:25.840 --> 00:15:33.020]   sort of odd stable coins can offer rewards but can't pay interest and when you have a stable coin
[00:15:33.020 --> 00:15:38.300]   with interest how long is it before the government creates a one-year stable coin a five-year 10-year
[00:15:38.300 --> 00:15:45.200]   30-year stable coin which will allow every single person around the world to invest in the usa so the
[00:15:45.200 --> 00:15:50.240]   government is going to have an incentive to not have these bonds be sold through these like weird
[00:15:50.240 --> 00:15:55.100]   dealers and this and that right the government should go direct to the consumer just like
[00:15:55.100 --> 00:16:02.340]   just like companies do so i bet you that in the not too distant future people will be able to
[00:16:02.340 --> 00:16:08.300]   automatically invest in bonds and so that's yet another example on top of what you were saying tom
[00:16:08.300 --> 00:16:14.560]   about the the bitcoin and stuff that i think it's uh anyway we need to switch topic otherwise i'm gonna
[00:16:14.560 --> 00:16:20.700]   really pull the few hairs that you and i have left okay back to back to ai one one of the topics you
[00:16:20.700 --> 00:16:25.880]   guys had an incredible audience here you had andy jassy here you know talking at lunch kevin weill from
[00:16:25.880 --> 00:16:31.260]   uh open ai and one of the topics was consumer ai and i thought one of the most incredible pieces of data
[00:16:31.260 --> 00:16:39.400]   that you guys shared was looking at the impact that chat gpt which is now scaling to you know kind of a
[00:16:39.400 --> 00:16:46.380]   billion users is having on on google and you did this by conjoining a couple pieces of data that you
[00:16:46.380 --> 00:16:53.240]   guys had so thomas you want to talk to us a little bit this is slides 22 and slides 24 uh and and and
[00:16:53.240 --> 00:17:00.260]   and slides 26 i'll i'll pass it to philip for this chart but okay i think bill and i were chatting about
[00:17:00.260 --> 00:17:06.420]   this earlier it anecdotally it certainly seems to be the case right uh the more people i talk to
[00:17:06.420 --> 00:17:12.600]   the more i ask them um do you feel like your google search has been impacted by chat gpt and and
[00:17:12.600 --> 00:17:18.820]   resoundingly i i almost everybody at this point now agrees that that's the case right and we can argue
[00:17:18.820 --> 00:17:23.580]   whether the queries are commercial or not i think the queries are getting more commercial yes every day
[00:17:23.580 --> 00:17:30.580]   but without a doubt it's having that impact we could not prove it numerically it felt intuitively true
[00:17:30.580 --> 00:17:35.680]   obviously google is telling you it isn't right so i think we went about seeing is there is there
[00:17:35.680 --> 00:17:40.720]   a numerical assumption that we can make that would kind of prove this out and i think you should
[00:17:40.720 --> 00:17:47.960]   introduce the work yeah and and by the way as we you know all these platforms have some businesses that
[00:17:47.960 --> 00:17:54.500]   get threatened and other businesses and google could still be an amazing company by just saying listen
[00:17:54.500 --> 00:18:01.360]   maybe search is on the threat but youtube is with all this new ai content gonna explode and
[00:18:01.360 --> 00:18:08.240]   potentially threaten netflix and maybe waymo is gonna also do incredibly well so our judgment more
[00:18:08.240 --> 00:18:16.020]   is around what exactly happens i mean the assets of the android phone and the gmail and and the google
[00:18:16.020 --> 00:18:22.080]   docs and like that's a nice set of complementary pieces they have so many great assets it'll be very
[00:18:22.080 --> 00:18:26.560]   interesting to see how it plays you know for me if i were ceo of google that would be way above my
[00:18:26.560 --> 00:18:32.080]   yeah basically i would have no idea how to put it all together but god is it just fun to be alive and
[00:18:32.080 --> 00:18:37.520]   just see how what's amazon gonna do what's google gonna do what all these guys so what we try to do
[00:18:37.520 --> 00:18:43.880]   here is as part of the data science that we do we process probably a hundred million credit card
[00:18:43.880 --> 00:18:50.640]   receipts a day so we have a very fine view of what the u.s consumer does and we have another data set
[00:18:50.640 --> 00:18:56.160]   where we know what consumers do based on their email receipts and the trick was to try to join
[00:18:56.160 --> 00:19:02.900]   those two data sets and in general in data science my only lessons learned is data is useless unless you
[00:19:02.900 --> 00:19:11.120]   can join data sets that don't speak to each other that is the unlock and so we did that and what you see on
[00:19:11.120 --> 00:19:22.320]   that uh chart is that absent chat gdp uh chat gpt maybe uh google page views for particular user growing
[00:19:22.320 --> 00:19:29.040]   four percent per year so we are consuming more google then we get a subscription to chat gdp which we uh
[00:19:29.040 --> 00:19:37.040]   chat jesus christ i confused gdp and gpt we get a subscription and now we're like ah this guy's paying 20
[00:19:37.040 --> 00:19:42.240]   bucks a month yes and then we track once he started paying the 20 bucks a month
[00:19:42.240 --> 00:19:49.520]   to open ai what happens to the usage and you can see peak to trough it's down eight percent year
[00:19:49.520 --> 00:19:56.400]   over year peak to trough it's let's say down 11. so clearly page views are going down and that's over
[00:19:56.400 --> 00:20:02.480]   almost two years right so it's not like it's immediate it's not like it's an immediate gigantic
[00:20:02.480 --> 00:20:06.720]   threat but one thing we've learned and thomas and i repeat that to each other all the time is
[00:20:07.200 --> 00:20:12.720]   these major shifts they just start one little step at a time and that one little step becomes
[00:20:12.720 --> 00:20:18.640]   a gigantic move quickly so you can't underestimate these small moves and i i think this confirms
[00:20:18.640 --> 00:20:23.520]   something that we all know anecdotally as as we're talking about well and i think that you know even
[00:20:23.520 --> 00:20:29.920]   slide 24 you know when we were talking two years ago about chat gpt we knew it was off to a good start
[00:20:29.920 --> 00:20:34.560]   but the question was what's going to happen when meta you know gets its game going what's going to happen
[00:20:34.560 --> 00:20:40.240]   when google launches gemini what's going to happen when elon launches grok what's going to happen when
[00:20:40.240 --> 00:20:45.440]   you know claude gets better we all thought that when they got into the game that this line would
[00:20:45.440 --> 00:20:52.240]   start to flatten out but the fact of the matter is chat gpt has been radically more resilient and the
[00:20:52.240 --> 00:20:57.200]   engagement has increased much faster than i think any of us would have thought with that level of
[00:20:57.200 --> 00:21:03.280]   what's interesting about that is that's true in the us it's true internationally yes it's true
[00:21:03.280 --> 00:21:08.320]   whether you look at it on downloads it's true whether you look at it on engagement it has blips
[00:21:08.320 --> 00:21:14.400]   here and there the deep seek moment and others but the resiliency to me bill it does remind me a little
[00:21:14.400 --> 00:21:20.720]   bit of when uber got started right and it would just they established that market share and you know it was
[00:21:20.720 --> 00:21:25.760]   just incredibly difficult to disrupt right yeah for listeners that don't have the slides we're looking
[00:21:25.760 --> 00:21:33.760]   at chat gpt adoption against twitter instagram facebook and tick tock and it's just you know
[00:21:33.760 --> 00:21:40.160]   you know straight up and way ahead way ahead of those against by the way those apps had inherent
[00:21:40.160 --> 00:21:45.440]   virality as you know i mean you're kind of the expert of that this doesn't right this has no virality to
[00:21:45.440 --> 00:21:50.720]   it it's just value to the consumer correct driving adoption although i would say that we're starting
[00:21:50.720 --> 00:21:56.800]   to see network effects right on the data side we're starting to see switching costs with permanent memory
[00:21:56.800 --> 00:22:02.720]   as you and i have talked you know starting to see what's amazing is you have this level of adoption
[00:22:02.720 --> 00:22:08.320]   even before those things begin to kick in but it confirms what we kind of know to be true we saw this
[00:22:08.320 --> 00:22:13.520]   with google right we saw this with facebook yeah and now we're seeing it again with chat gpt
[00:22:13.520 --> 00:22:18.720]   kevin who was on stage after you guys talked made an interesting comment which i mean it's it's
[00:22:18.720 --> 00:22:25.280]   tautological but it it still kind of resonated with me he said look this is products going to get better
[00:22:25.280 --> 00:22:32.720]   so you have all of this adoption with that's what's scary you know the product's getting
[00:22:32.720 --> 00:22:38.160]   yeah it's not even three years old we could show the or maybe we did show the stat about also the usage
[00:22:38.160 --> 00:22:45.360]   in terms of minutes yes right right that more maus more weekly users more daily users and then more
[00:22:45.360 --> 00:22:51.840]   time per day which is a lot which is also consistent with all of our personal lives right yeah um we're
[00:22:51.840 --> 00:22:56.880]   going to keep forging ahead here we're going to get crunched on time slide 27 bill is i know a slide you
[00:22:56.880 --> 00:23:02.320]   wanted to talk about when we talk about these new hyperscalers and what you did here is you were mapping up
[00:23:02.320 --> 00:23:08.720]   cloud revenue market share to the share of nvidia gpus so bill why don't you i'll just describe this so
[00:23:08.720 --> 00:23:15.200]   people and that are listening can follow along and then we'd ask you guys to talk about your takeaways
[00:23:15.200 --> 00:23:22.240]   from it but they they the co2 team mapped out cloud revenue market share and you have oracle five percent
[00:23:22.240 --> 00:23:30.960]   amazon 44 because of the success of aws google 19 and microsoft 30 and then you show right next to it the share of
[00:23:30.960 --> 00:23:38.640]   nvidia gpu allocation microsoft and google are about equivalent uh 30 and 20 to what they have in the
[00:23:38.640 --> 00:23:46.720]   in the cloud revenue market share amazon notably 44 of cloud revenue market share but only 20 of nvidia
[00:23:46.720 --> 00:23:55.600]   gpu allocation and then oracle jumps from 5 to 19 and core weave comes out of nowhere to be 11. so tell
[00:23:55.600 --> 00:24:03.040]   tell us why you guys put this together and what are your big takeaways i mean for me as a um i'll go ahead
[00:24:03.040 --> 00:24:09.920]   and then you go as a as an as an analyzer of companies this might be my favorite slide because
[00:24:09.920 --> 00:24:15.840]   it shows like the competitive dynamics at work and whose strategy will win out you know i mean i look at
[00:24:15.840 --> 00:24:23.680]   this and and one obvious takeaway is that amazon has half the share of gpus than their shave aws so
[00:24:23.680 --> 00:24:30.000]   that could mean one of two things either aws is behind an ai that could be one or they're pursuing a
[00:24:30.000 --> 00:24:36.720]   different hardware strategy than it's uh than its competitor which andy spoke specifically about so that
[00:24:36.720 --> 00:24:43.280]   could be or a combination thereof right so that's one and number two it shows the reinvention of oracle
[00:24:43.280 --> 00:24:49.840]   mm right i'm incredible incredible left for dead in this left for dead in the 2000s left for dead in
[00:24:49.840 --> 00:24:56.080]   the sas era left for dead in the ai era now coming back and then also i give corey a tremendous amount
[00:24:56.080 --> 00:25:01.600]   of credit of just entering the market as a pure play had difficulty raising capitals none of us ever
[00:25:01.600 --> 00:25:07.680]   believe there's no ip you're just buying gpus and reselling them just by being in market and being focused
[00:25:07.680 --> 00:25:12.640]   right started to build that relationship with nvidia and now it's punching way above its weight
[00:25:12.640 --> 00:25:20.880]   so it's a by the way the third theory could just be that nvidia would prefer not to have a dominant
[00:25:20.880 --> 00:25:26.160]   customer like they wouldn't want this to be the customer though it hasn't seemed to impact
[00:25:26.160 --> 00:25:32.240]   microsoft and google so yes do you want to add anything yeah i mean listen i would say the one thing on
[00:25:32.240 --> 00:25:38.400]   that chart is damn hard to get the numbers right so there we have to explain the viewers like we could
[00:25:38.400 --> 00:25:45.200]   be off by you know five or six percent up or down but i think where we're not off is the concept that
[00:25:45.200 --> 00:25:51.600]   some players are getting more gpu chips than others and so then the question is are nvidia gpus
[00:25:52.400 --> 00:25:59.040]   a prediction of future cloud revenues and i think the answer is like and uh we haven't even included
[00:25:59.040 --> 00:26:05.520]   stargate which is going to start coming up here right and what if what if anthropic also becomes
[00:26:05.520 --> 00:26:11.600]   its own hyperscaler you could have a world with more like a dozen hyperscalers than like the two or
[00:26:11.600 --> 00:26:16.960]   three that we've had before the overseas the sovereign then you're going to have the sovereigns for sure
[00:26:17.760 --> 00:26:22.640]   you're going to have some telecom operators more traditional operators in europe is that so there'll
[00:26:22.640 --> 00:26:30.240]   be more right but i think what definitely is going on now is there's sort of a battle between uh people
[00:26:30.240 --> 00:26:40.320]   that want to standardize on nvidia pay the nvidia rent yeah and get the supply versus people who also think
[00:26:40.320 --> 00:26:47.200]   like hey i'm bringing a lot of software i already have a lot of the data and i can afford a different
[00:26:47.200 --> 00:26:53.840]   strategy in the internet era almost every startup started with oracle and sun and five years later
[00:26:53.840 --> 00:26:59.200]   they weren't on it so there is some precedent there is and i also think like uh the other one that
[00:26:59.200 --> 00:27:04.240]   surprised me i i even have a hard time believing that those are the numbers is i thought google was
[00:27:04.240 --> 00:27:11.920]   more skewed to tpus than nvidia so there's some people who are going exclusively with one chip there's
[00:27:11.920 --> 00:27:18.800]   some people who are going to go in a hybrid way google both as a nvidia and tpu i think amazon is
[00:27:18.800 --> 00:27:25.600]   also choosing a path of like hey we're still making a ginormous bet on nvidia but we also would like to
[00:27:25.600 --> 00:27:33.440]   have you know our own bet and i wouldn't be surprised if maybe someday an anthropic or uh maybe even an open
[00:27:33.440 --> 00:27:39.520]   ai would say uh maybe we should design our own chips and then frankly you might have uh some very
[00:27:39.520 --> 00:27:46.240]   expensive model with enormous reasoning that runs on nvidia and maybe a super cheap model just for some
[00:27:46.240 --> 00:27:52.640]   very local applications maybe that could run on a custom chip so i think a lot of it is going to morph and
[00:27:52.640 --> 00:27:59.360]   change uh over time but at least what's fun here is let's go revisit this chart in like five or seven
[00:27:59.360 --> 00:28:05.040]   years and be like okay different people play chess the different ways what's happening and i think to
[00:28:05.040 --> 00:28:10.400]   me the thing that stands out most about this slide again slide 27 microsoft you know you talked about
[00:28:10.400 --> 00:28:15.920]   the explosion in terms of token production you know we we might be a hundred million tokens a month
[00:28:15.920 --> 00:28:22.320]   already out of microsoft microsoft is open ai so you got chat trillion hundred trillion i know you knew
[00:28:22.320 --> 00:28:28.560]   that you know for the so it's a yeah so what's really driving inference and and this token explosion
[00:28:28.560 --> 00:28:34.960]   like consumers first and foremost and google's got gemini right microsoft derivatively is supporting
