
[00:00:00.000 --> 00:00:04.380]   what's going on y'all there's another episode of curious mike i am here with denise garcia and
[00:03:03.640 --> 00:03:09.960]   like ever since um my ex and i were together and he posted me it was like oh you're a gold digger and
[00:03:09.960 --> 00:03:16.200]   this is before we even brought zoe into the world so i feel like people just think that you're kind of out
[00:03:16.200 --> 00:03:24.440]   there for what players can offer you like financially and just all of that um but i my situation i feel
[00:03:24.440 --> 00:03:32.680]   like it's like point maybe like one zero percent of the league like i knew him before in high school
[00:03:32.680 --> 00:03:39.320]   like my situation is very different so like having to deal with that publicly was really hard um i don't
[00:03:39.320 --> 00:03:46.840]   understand why um fully like we get that in your situation like when you talk about athletes or people
[00:03:46.840 --> 00:03:53.800]   that end up having money it's their dream scenario to you know stay with the girl that they went through
[00:03:53.800 --> 00:03:58.920]   high school with and grew up with and that was you're in a zoe situation and you know so i don't
[00:03:58.920 --> 00:04:04.200]   know i don't really understand and i was an athlete myself too like i had my own stuff going on i was
[00:04:04.200 --> 00:04:10.120]   a soccer player he was basketball so it was like i had my own ride somewhere to go play and he had his
[00:04:10.120 --> 00:04:15.080]   own so i felt like that kind of brought us together because we both were student athletes but we didn't
[00:04:15.080 --> 00:04:21.000]   think anything like i didn't think that you know i didn't know what to expect so i was kind of just
[00:04:21.000 --> 00:04:26.520]   experiencing it first and we were so young too like looking back i'm like i don't know how i even
[00:04:26.520 --> 00:04:31.400]   was able to navigate that but i learned a lot i feel like you you have handled it well like it hasn't
[00:04:31.400 --> 00:04:36.040]   taken away like since i've known you hasn't taken away like your joy of life you still like to have fun
[00:04:36.040 --> 00:04:41.400]   you're still denise it hasn't like beat you up too much so thank you in this world like it's good to have
[00:04:41.400 --> 00:04:47.240]   thick skin your situation's a little different because you met pj like later on correct how long
[00:04:47.240 --> 00:04:53.800]   have you known him what was that like yeah i met him um i think we had started kind of like talking in
[00:04:53.800 --> 00:05:03.240]   2019 um so kind of like right before he had got drafted you know but let's reverse one second because
[00:05:03.240 --> 00:05:11.160]   before we go on to that because that is whatever you have made comments i think you're asking us about
[00:05:11.160 --> 00:05:15.480]   how do we feel being on the other side of it my question to you is you have made comments saying
[00:05:15.480 --> 00:05:21.160]   that you would never wife someone who has a child with someone in the league so my question to you
[00:05:21.160 --> 00:05:27.000]   is like what inspired you to feel that way and what connotation do you have about women who have a
[00:05:27.000 --> 00:05:32.520]   child with a basketball player that's a good question we'd love to hear the answer what is my
[00:05:32.520 --> 00:05:37.480]   connotation i don't have a negative connotation to it i think that you know my my right hand man
[00:05:37.480 --> 00:05:43.000]   nicodemus he um you've met little nick i think or you know about little nicodemus the little baby
[00:05:43.000 --> 00:05:48.440]   i'm always with and him and his wife just separated and nicodemus has spoken just on the the difficulties
[00:05:48.440 --> 00:05:52.520]   it brings once you have a child to then like move on like it takes a very understanding person to want
[00:05:52.520 --> 00:06:01.400]   to take on that role take on that and it can get really messy like when you're going into life with a
[00:06:01.400 --> 00:06:05.880]   woman who has a child and now you're having to navigate like how close are you going to get with
[00:06:05.880 --> 00:06:09.240]   the child how does the baby daddy feel about you getting close to the child so i don't have a
[00:06:09.240 --> 00:06:14.920]   negative connotation i feel like for me because i don't have any kids it's something that i've always
[00:06:14.920 --> 00:06:21.480]   thought i would stay like steer away from but i truly feel like as i've gotten older i've realized like
[00:06:22.360 --> 00:06:26.200]   once you meet someone and you're really down for them then you everything that comes along with them
[00:06:26.200 --> 00:06:31.720]   you can decide if you want to take that on or not i don't have a negative connotation like oh
[00:06:31.720 --> 00:06:37.240]   that person has a child so they're they're untouchable and that's like a negative thing i just feel like
[00:06:37.240 --> 00:06:41.400]   you have to weigh it out you have to because it does you know it comes with a lot if you're willing
[00:06:41.400 --> 00:06:47.240]   to take that on so i don't view it negatively the comments i said about um what comments are you
[00:06:47.240 --> 00:06:51.320]   specifically talking about i think i think you're talking about when he said that he wouldn't like
[00:06:51.320 --> 00:06:58.600]   somebody that was already oh that had talked to an athlete yeah um i feel like if you dated like
[00:06:58.600 --> 00:07:05.480]   publicly like a player it would be hard just because of i don't know i just feel like it'd be hard what
[00:07:05.480 --> 00:07:09.960]   do y'all think about that do you think that i'm curious on y'all's thoughts because to me i like i said in
[00:07:09.960 --> 00:07:16.680]   the in the comments like it would be tough dating someone's old girl and they just always have that
[00:07:16.680 --> 00:07:23.000]   like over you like i don't know it's tough like i feel like i could be tripping though it could be like
[00:07:23.000 --> 00:07:28.360]   an ego thing or like a insecurity thing i don't know it could be i don't know i'm not saying i'm
[00:07:28.360 --> 00:07:34.440]   right that's just how i've always felt but i'm i'm i'm open to change i'm not stuck in my ways i feel like
[00:07:34.440 --> 00:07:39.480]   i see why guys are hesitant with certain girls because i even see certain girls and i'm like you
[00:07:39.480 --> 00:07:45.960]   make it hard for us women to be taken seriously as like you know mothers versus baby mama or out here
[00:07:45.960 --> 00:07:49.560]   for the wrong thing so i get that because i see it and i'm like you guys are surrounded by it
[00:07:49.560 --> 00:07:56.840]   a lot um i just think it's up to to you guys to kind of like bet those girls out you know what i'm
[00:07:56.840 --> 00:08:01.400]   saying because it is i see what you guys are surrounded by too so i understand that part of
[00:08:01.400 --> 00:08:07.800]   it but um on the flip side i just feel like the reason why i have stayed true to myself is because
[00:08:07.800 --> 00:08:14.040]   you got to make your private life happy and make sure that whoever's coming into yours in your child's
[00:08:14.040 --> 00:08:21.560]   world is adding something i agree so so is your is your because i've i agree with you your stands
[00:08:21.560 --> 00:08:27.160]   britney because i've listened to some of your like podcasts and you know talking to guys and whatever
[00:08:27.160 --> 00:08:32.600]   and going back and forth with them like what is your stance on like past past are you like once
[00:08:32.600 --> 00:08:37.560]   you meet the person past doesn't really matter what is your what is your thoughts on that i feel
[00:08:37.560 --> 00:08:43.000]   like everything someone has encountered up into present day needed to happen so whatever has taken
[00:08:43.000 --> 00:08:48.120]   place whatever puzzle pieces these relationships have given you i'm not going to judge anyone for it
[00:08:48.120 --> 00:08:54.520]   if i don't want someone to judge me for my past i cannot judge them and i feel like of course i am
[00:08:54.520 --> 00:09:00.440]   always going to be very vocal about that that group of people that i feel like you know if you have had
[00:09:00.440 --> 00:09:05.160]   public relationships or you've just lived a very public life like myself i always found myself going
[00:09:05.160 --> 00:09:10.520]   to bat for and being that voice for that because you know for me it's like i live my life out loud
[00:09:10.520 --> 00:09:16.280]   like i mean pretty much everything i've done you can google and find it so i feel like you not wanting
[00:09:16.280 --> 00:09:21.240]   children like with someone who already has a kid because you don't have children is a very different
[00:09:21.240 --> 00:09:26.120]   energy than oh you dated this basketball player who took you seriously who you thought was your end
[00:09:26.120 --> 00:09:31.080]   game and like i wouldn't look at you as that like to me that's very egotistical again your preference
[00:09:31.080 --> 00:09:38.360]   you're allowed that but i also think it's kind of like okay like i feel like it's honestly it's
[00:09:38.360 --> 00:09:44.200]   it might be the way most men are wired versus how women are wired like i feel like most women and correct
[00:09:44.200 --> 00:09:50.520]   me if i'm wrong y'all don't care as much about past as men and i feel like that's because y'all
[00:09:50.520 --> 00:09:55.800]   have a gift of being more forgiving being more graceful being more this all these things and men
[00:09:55.800 --> 00:10:00.600]   seem to like dudes will get mad over some stuff that happened five years ago when you weren't even with
[00:10:00.600 --> 00:10:05.720]   them but i don't know what that is in men i feel like it's just a difference in like how we view a
[00:10:05.720 --> 00:10:13.160]   situation um i don't really know if it's necessarily like wrong but it could very well be an ego thing and
[00:10:13.160 --> 00:10:17.960]   that's not that's not the right way to go about relationships but at the end of the day i feel
[00:10:17.960 --> 00:10:23.720]   like whatever your preference is there's someone out there for everyone like yeah i i also feel
[00:10:23.720 --> 00:10:31.480]   like though that men collectively not only have like pretty low self-esteem for the most part or their their
[00:10:31.480 --> 00:10:41.160]   ego is astronomical i feel like men fixate a lot on someone's past because they feel that another man can
[00:10:41.160 --> 00:10:49.000]   permanently taint a woman you don't have that power you just don't so it's like again you don't think
[00:10:49.000 --> 00:10:54.600]   so you don't think a man cannot permanently taint me it's just like not you maybe you're very a strong
[00:10:54.600 --> 00:11:00.840]   independent woman but a lot of women are very they've had relationships that have completely changed
[00:11:00.840 --> 00:11:06.600]   their personalities the way they trust a man the way they the way they view men in general i feel like
[00:11:06.600 --> 00:11:12.440]   like you can be in a messed up relationship that can they can really mess you up mess right but i
[00:11:12.440 --> 00:11:17.080]   think where i'm focusing on because i think it's i get what you're saying you're saying that people can
[00:11:17.080 --> 00:11:22.280]   be jaded from whatever experiences they have but i feel like when it comes to past and a man focusing on
[00:11:22.280 --> 00:11:27.320]   what happened five years ago or what man you slept with or what guy you were with that is thinking when
[00:11:27.320 --> 00:11:33.720]   this man stuck his penis in her she no longer has value so that to me is where i challenge like that
[00:11:33.720 --> 00:11:38.760]   because it's like okay well who are y'all having sex with we're the whores but who are we all
[00:11:38.760 --> 00:11:44.040]   fucking you know what i mean so i think that's kind of where it's like you know yes we're aware of double
[00:11:44.040 --> 00:11:49.000]   standards we all love them when it benefits us but the truth of the matter is it's like if you meet
[00:11:49.000 --> 00:11:54.200]   somebody that makes sense whether they have a kid whether they've been with someone publicly that
[00:11:54.200 --> 00:11:59.640]   was in the league it's like why miss out on the love potential love of your life just because some
[00:11:59.640 --> 00:12:04.360]   guy dated her and it didn't work out they were meant to have a kid they moved on it's just like
[00:12:04.360 --> 00:12:09.960]   like i said but that's the that's the mature that's probably the mature mindset no no 100 i i wish
[00:12:09.960 --> 00:12:16.360]   i wish i could i could think like that too it's like it's like why are we seen as like the baggage
[00:12:16.360 --> 00:12:22.360]   you know like why do we when it's like a blessing mama there's a baby daddy and also right and also
[00:12:22.360 --> 00:12:29.240]   like i really thought and so did my ex we thought we were end game and then zoe came before that so
[00:12:29.240 --> 00:12:35.160]   honestly it showed me that actually you are not my end game yeah and so it's like i had to learn in a
[00:12:35.160 --> 00:12:43.480]   different i think it's the same the same ideology is the reason why men like some type of like
[00:12:43.480 --> 00:12:49.160]   purity in a woman but women don't really like that in men like the the the girls that a lot of dudes
[00:12:49.160 --> 00:12:55.400]   go for is like someone who hasn't done everything in the book and and like been around the world and
[00:12:55.400 --> 00:13:00.360]   seen everything there is to see and done everything like they like to bring like a new experience to a
[00:13:00.360 --> 00:13:06.440]   woman and i feel like women are the opposite they want a dude who has done his thing can show them
[00:13:06.440 --> 00:13:10.040]   you know put them on new things i feel like it's the same ideology i feel like men and women are
[00:13:10.040 --> 00:13:15.960]   wired different but putting myself in y'all's shoes the double standards would get irritating the fact
[00:13:15.960 --> 00:13:21.960]   that we think that we can just have a crazy past and have a million bodies in our past a billion bodies
[00:13:21.960 --> 00:13:30.120]   a million generous but then we'll be tripping about if if a girl we like has however many bodies my
[00:13:30.120 --> 00:13:35.560]   question is does that matter at all to you guys does past this past matter like at all that's hard
[00:13:35.560 --> 00:13:41.800]   because i feel like there's a part of me that's like get it out of your system i don't care what
[00:13:41.800 --> 00:13:48.520]   happened before me as long as it's not happening when i'm with you and after but also like to some
[00:13:48.520 --> 00:13:53.160]   extent because who are you exchanging energy with right like how those are real soul ties that's
[00:13:53.160 --> 00:13:57.160]   a real thing when you talk about baggage like i believe in that i believe that all these people
[00:13:57.160 --> 00:14:02.360]   that you've been with can you can bring that into the next you can also cut the cord as well absolutely
[00:14:02.360 --> 00:14:07.560]   so for me it's like so how accessible are you because then that changes things like are you really picky
[00:14:07.560 --> 00:14:14.920]   with who you're exchanging energy with that to me is important yeah yeah yeah i'm not i'm 33 years
[00:14:14.920 --> 00:14:19.320]   old i'm not having a conversation about like body count like in my mind that's not like something i'm
[00:14:19.320 --> 00:14:27.320]   ever bringing up um i just don't care again like every every step that you have taken to arrive here
[00:14:27.320 --> 00:14:35.400]   it's written so for me to like get caught up on all these insignificant really details like i'm more
[00:14:35.400 --> 00:14:41.480]   concerned about do i like you as a person do i like who i am when i'm with you can i be more of myself
[00:14:41.480 --> 00:14:46.440]   with this guy these are the three questions that mean the most to me so all that body count and
[00:14:46.440 --> 00:14:51.400]   you know all that other stuff before to me it's just like yes like it's very talked about in pods
[00:14:51.400 --> 00:14:55.400]   but it's like where how are we moving this conversation forward in like a productive way
[00:14:55.400 --> 00:14:59.880]   because it's like okay i don't want to go who's been with a bunch of guys okay well i don't want a guy
[00:14:59.880 --> 00:15:05.240]   who's been with a bunch of great now where do we go from here you guys we want somebody pure okay but
[00:15:05.240 --> 00:15:10.680]   you're not you're asking for something that you're not like 100 like are you waiting or have you
[00:15:10.680 --> 00:15:15.960]   waited till you are married or no no that's what i'm saying so you're not really pure either you see
[00:15:15.960 --> 00:15:20.040]   what i'm saying i think it is a double standard like like dudes really have a double standard on
[00:15:20.040 --> 00:15:25.240]   that i'm not saying a double standard is right i think that i'm not saying it's right i just think
[00:15:25.240 --> 00:15:30.600]   it exists for some for whatever reason it is i don't know if that's going anywhere like like i said
[00:15:30.600 --> 00:15:37.080]   there's someone out there for anyone but i do think that that double standard exists and i i think
[00:15:37.080 --> 00:15:43.080]   talking about it and and getting the perspective from both sides like it does matter because putting
[00:15:43.080 --> 00:15:49.320]   ourselves in your shoes like we would we would we would be mad if there was a double standard dudes
[00:15:49.320 --> 00:15:59.000]   definitely definitely try to try to like i said have those double standards you have been in the public
[00:15:59.000 --> 00:16:03.720]   eye for a long time you've been on you know social media i'm not sure how you got the you know the
[00:16:03.720 --> 00:16:08.280]   notoriety you got i remember watching some videos back in the day of you being very outspoken about
[00:16:08.280 --> 00:16:13.160]   certain issues what were some of those things was it mostly advocating for women or was it
[00:16:13.160 --> 00:16:19.800]   like what back in the day were you speaking on mostly and have those views changed at all as you've
[00:16:19.800 --> 00:16:25.080]   gotten older or do you feel like you're still the same britney as you were well i think my heart has never
[00:16:25.080 --> 00:16:30.600]   changed so there's pieces of interviews videos that you'll find that it still reflects who i am and
[00:16:30.600 --> 00:16:39.160]   where i am today i think for me um a lot of girls coming up it was the ones who were more quiet everyone
[00:16:39.160 --> 00:16:43.080]   has their own way of teaching don't get me wrong but like i feel like there were a lot of things that
[00:16:43.080 --> 00:16:48.360]   were unspoken and if i only have value because you don't know my truth then i don't really have value
[00:16:48.360 --> 00:16:53.640]   so it's like for me i just found myself like what what is there to be ashamed of
[00:16:53.640 --> 00:16:59.960]   so when i'm openly talking about my body count on shannon sharp or whatever what is i'm gonna be
[00:16:59.960 --> 00:17:05.400]   ashamed for what you know what i mean so i just feel like for me people just need to be more comfortable
[00:17:05.400 --> 00:17:10.200]   with their truth whatever that looks like and again it only takes one person to see your value that's
[00:17:10.200 --> 00:17:16.760]   yourself every when you choose yourself everything in your outer world it catches up so it's like i will find a
[00:17:16.760 --> 00:17:23.400]   man that it also accepts me for me i only need one guy i don't need five i don't even five a thousand
[00:17:23.400 --> 00:17:28.760]   guys to wrap around the corner and wait for me like for what so i think for me it's just like dude i'm
[00:17:28.760 --> 00:17:34.440]   saying things that people either a have already done b are too afraid to talk about and see i just like
[00:17:34.440 --> 00:17:38.920]   and what's gonna come behind it because i don't do apology tours and
[00:17:39.720 --> 00:17:45.240]   it is what it is i accept what comes behind my decisions i feel like part of the reason i wanted
[00:17:45.240 --> 00:17:50.440]   you on here i didn't even know you get on your first podcast i feel like part of the reason though is
[00:17:50.440 --> 00:17:57.720]   the authenticity you've always had you know i feel like speaking on the subjects you speak on and being
[00:17:57.720 --> 00:18:03.880]   very outspoken and like that is rare especially as a woman but in both of your situations like the world
[00:18:04.840 --> 00:18:08.520]   in my situation too just if you're going to be public at all if you're a public figure at all
[00:18:08.520 --> 00:18:12.840]   the world does beat you up they love negativity and all these things and a lot of your guys's
[00:18:12.840 --> 00:18:19.080]   situation has come from men so has that has that not that you guys hate men or anything like that but has
[00:18:19.080 --> 00:18:26.280]   that has that like weighed on you at all like just you with the andrew tate podcast or i watched a little
[00:18:26.280 --> 00:18:31.880]   bit of your clips with the fresh and fit guy and you're just like do those things having those conversations
[00:18:31.880 --> 00:18:37.800]   ever just you get tired of dudes no did did you watch those clips we had a great conversation
[00:18:37.800 --> 00:18:42.280]   fresh and fit one yeah but i i we had a great conversation really so we spoke for two hours
[00:18:42.280 --> 00:18:46.920]   now the clip that went viral was me calling them a niggas that was like the first time just the fact
[00:18:46.920 --> 00:18:50.280]   that like when you're when you're saying your points or whatever it seemed like he was like
[00:18:50.280 --> 00:18:54.360]   making light of it or joking around and that's fine because at the end of the day i don't question
[00:18:54.360 --> 00:18:58.520]   any platforms i'm called to i'm going to teach and i'm going to share what wisdom was gifted to me
[00:18:58.520 --> 00:19:04.360]   and whether it's received or not is not really my concern so again i've sat down with andrew tate
[00:19:04.360 --> 00:19:09.480]   fresh and fit academics joe budden kevin samuels when he was alive i mean all these people who were
[00:19:09.480 --> 00:19:15.160]   supposed to tear me apart and it's really just about perspective sharing so it's like i i love talking to
[00:19:15.160 --> 00:19:20.600]   different people even a tyrant can be a teacher so i don't i definitely don't hate men i i think we
[00:19:20.600 --> 00:19:25.160]   love men like you know what i mean like we're hopeful romantics like yeah you know what i mean
[00:19:25.160 --> 00:19:31.320]   i think i think it did kind of harden me a little bit like to tap back into like my feminine was it
[00:19:31.320 --> 00:19:39.160]   took me a long time because i was like hold on i need to i have somebody to raise okay i have to be an
[00:19:39.160 --> 00:19:45.000]   example for my daughter and what kind of love she should see her mom receive right so i really had to
[00:19:45.000 --> 00:19:50.680]   like look in on myself work on those things and i was just like not i'm like i can't i don't have
[00:19:50.680 --> 00:19:56.200]   the emotional capacity right now i need to be at my best if i want the best partner for me and my daughter
[00:19:56.200 --> 00:20:02.680]   and i i mean it hasn't been public like have you dated anyone since she was born i she's never met
[00:20:02.680 --> 00:20:11.480]   anybody so i literally i'm so picky i'm literally like so picky with who i choose to date um i really
[00:20:11.480 --> 00:20:16.840]   have just been focused on mine and zoe's world to this point i feel like because i want again want to
[00:20:16.840 --> 00:20:23.240]   be like the best denise like i relied i lost myself so much in that just trying to be the best partner
[00:20:23.240 --> 00:20:28.760]   when it was like i need to look inwards and focus on who i am what makes me happy what's going to make
[00:20:28.760 --> 00:20:34.680]   zoe happy zoe wants all her friends to come from like over after school perfect like let's you know
[00:20:34.680 --> 00:20:41.240]   it's just our world so it's taking me some time i'm really protective i've yet to introduce a partner
[00:20:41.240 --> 00:20:47.880]   to zoe um i don't know i'm like my guy might be a unicorn i don't know what would be the qualifications
[00:20:47.880 --> 00:20:53.960]   like of a dude uh for either of you to like bring in those situations being a mother now you want to go
[00:20:53.960 --> 00:21:01.880]   first like do you want them taking on like a like a father role at some point for your child like what
[00:21:01.880 --> 00:21:09.560]   yeah what are the questions i feel like she just needs to see an example of healthy love just getting
[00:21:09.560 --> 00:21:16.760]   treated the way that you know a woman should be treated like a queen um and just kind of have that
[00:21:16.760 --> 00:21:22.680]   like i mean she has a dad you know so i'm not looking for somebody to come and be her dad but
[00:21:22.680 --> 00:21:27.480]   it's like be that figure where it's like she's comfortable enough to have conversations you can
[00:21:27.480 --> 00:21:32.520]   have talks with her and have like develop that relationship with her that any little girl needs
[00:21:33.400 --> 00:21:38.520]   so that's kind of where i'm at i love that i mean i feel the same way too where it's just kind of like
[00:21:38.520 --> 00:21:49.080]   um i think when you have a child as well it life gets very serious where maybe other instances where
[00:21:49.080 --> 00:21:54.040]   you were like horse playing and just kind of doing stuff for the plot it's like when you have a a little
[00:21:54.040 --> 00:22:00.440]   person running around and um you want to really make sure that again like you said they're treating
[00:22:00.440 --> 00:22:07.080]   you with the utmost respect and yeah even though again my son has his dad as well but like if we merge
[00:22:07.080 --> 00:22:15.160]   a household yeah that is inevitably going to be a role like my son would look for that so i think it's
[00:22:15.160 --> 00:22:20.600]   like yeah you want an upstanding guy you want somebody who is of character who's consistent
[00:22:20.600 --> 00:22:26.600]   who's a man of his word who respects you who's truthful all these things you know so you know
[00:22:26.600 --> 00:22:32.680]   again i feel like you know sometimes when you have a child there is that negative stigma just about being
[00:22:32.680 --> 00:22:38.280]   a single mom but there are people who don't care i mean look at sierra and russell it's just it's
[00:22:38.280 --> 00:22:42.600]   she had a baby with future you know what i mean he's not was the best like i like i'm close with
[00:22:42.600 --> 00:22:47.320]   russell then he was in denver i was over at his house and the way like he views little future as
[00:22:47.320 --> 00:22:53.320]   um like you know he he takes care of him like as he should it's fire now russell russell and there's
[00:22:53.320 --> 00:22:59.720]   yeah out there like that what do you guys think are some are some misconceptions about you guys as
[00:22:59.720 --> 00:23:05.000]   individuals that like the work because i feel like you bring out the parchment you haven't really been
[00:23:05.000 --> 00:23:09.960]   very outspoken i know you you've been very outspoken and you defend your views and all those things but
[00:23:09.960 --> 00:23:18.200]   what do you think individually are some misconceptions um people think that oh my god they think i'm so
[00:23:18.200 --> 00:23:26.040]   opposite of who i am like honestly like they think i'm just uh out here i was out here for the clout and
[00:23:26.040 --> 00:23:33.240]   whatever came with zo um they labeled me as a gold digger a whore slut like all just disgusting things
[00:23:33.240 --> 00:23:40.600]   they couldn't be more wrong about me actually yeah so yeah i've seen it all i've like i'm like my comments
[00:23:40.600 --> 00:23:49.880]   like and they still to this day seven years later yeah yeah that's tough yeah what about you i mean too
[00:23:49.880 --> 00:23:57.720]   many misconceptions to name to be honest like really like couldn't be more true or it couldn't yeah like
[00:23:57.720 --> 00:24:01.640]   like it's just the opposite of you or just when you see all the time and it kind of just rubs you
[00:24:01.640 --> 00:24:06.440]   i have mine that people just think about me but like what is it let's hear yours first my misconception
[00:24:06.440 --> 00:24:13.400]   about me yeah i don't know so like back when covet was happening right like i didn't i didn't take
[00:24:13.400 --> 00:24:18.040]   the vaccine like i just because i think you should be able to decide for yourself i've never really
[00:24:18.040 --> 00:24:23.400]   taken vaccines my parents homeschooled us and we weren't going to school we weren't doing all that so
[00:24:23.400 --> 00:24:30.120]   like as soon as you don't do something i feel like that the public is for you're just labeled
[00:24:30.120 --> 00:24:34.840]   as a certain type of person and you're just like it was it was everybody thinks because i didn't take
[00:24:34.840 --> 00:24:41.000]   the vaccine all of a sudden i'm i'm trump this and trump all this crazy stuff i don't know how that all
[00:24:41.000 --> 00:24:47.400]   that gets grouped together but there's there's countless um just misconceptions that come along with
[00:24:47.400 --> 00:24:53.240]   the decisions i've made and it is tough to deal with but at the end of the day people's public opinion
[00:24:53.240 --> 00:24:58.280]   of you like they don't meet you in real life yeah they don't have a real yeah impact on your
[00:24:58.280 --> 00:25:02.680]   happiness unless you let them like there is times where i get off social media like i would rather
[00:25:02.680 --> 00:25:07.400]   just be my family my friends and not even see it because anybody could say this doesn't affect you
[00:25:07.400 --> 00:25:11.960]   this doesn't affect you but at the end of the day if you see too much stuff in effect we're all human
[00:25:11.960 --> 00:25:17.560]   yeah i mean so i do take my breaks from social media for that reason but at the end of the day like
[00:25:17.560 --> 00:25:23.080]   it is what it is that's what comes with it yeah i barely i feel like i really don't post i
[00:25:23.080 --> 00:25:27.880]   started really posting a little bit more after basketball wives because i needed to look inwards
[00:25:27.880 --> 00:25:33.720]   and make sure that my life was happy privately i'm like i can post a life that nobody really knows
[00:25:33.720 --> 00:25:39.160]   about and i take pride in that because it's like you guys are going to say talk to me anyway so i might
[00:25:39.160 --> 00:25:44.200]   do you think you're going to do that as well all right yeah you still didn't answer oh yeah um
[00:25:44.200 --> 00:25:55.160]   i don't know you know i've joined instagram when i was 20 and i'm 33 now so i think that very early
[00:25:55.160 --> 00:26:01.880]   on i was labeled a villain and i feel that in this in this world you're either handed a hero jersey or a
[00:26:01.880 --> 00:26:07.960]   villain jersey and i would say even before i really started to just run amok and and be vocal i was already
[00:26:07.960 --> 00:26:12.760]   labeled as that so i think for me it's like yeah a lot of people have horrible things to say which is
[00:26:12.760 --> 00:26:18.840]   fine um your feelings are not facts right um and also nobody asks but thank you for sharing that
[00:26:18.840 --> 00:26:22.680]   somebody cares somewhere in the world but it's just like i don't know i think sometimes too like
[00:26:22.680 --> 00:26:27.240]   those negative like those misconceptions and just people being nasty i kind of like the benefit of it
[00:26:27.240 --> 00:26:31.640]   because if people think i'm like this terrible nasty horrible succubus harlot horror villain
[00:26:32.280 --> 00:26:37.000]   stay away from me like don't talk to me or like keep your distance if you see me like i don't really
[00:26:37.000 --> 00:26:41.960]   mind that but i don't know i just feel like there's just a lot of negative things i would say um more
[00:26:41.960 --> 00:26:50.040]   recently probably the stuff about just with being muslim and um their reasoning why they feel i um
[00:26:50.040 --> 00:26:55.880]   converted i think that stuff has just been maybe more of the the glaringly obvious stuff that has been
[00:26:55.880 --> 00:27:00.680]   thrown at me which is like okay yeah we're gonna get into that in a little bit i feel like um
[00:27:00.680 --> 00:27:07.880]   what's really weird though is like in your guys's situation the the your baby daddy probably approached
[00:27:07.880 --> 00:27:14.040]   you guys and they'll label you guys like you guys are like um trapping guys or any baby mama who's the
