
[00:00:00.320 --> 00:00:08.540]   I recently stumbled across a fascinating 2024 essay written by a Norwegian psychology professor.
[00:02:40.040 --> 00:02:44.960]   It was published by a team from Northwestern in the journal Intelligence.
[00:02:44.960 --> 00:02:51.040]   The chart on the screen, this is kind of the key chart in the paper, the details are a little bit complicated, but the trend is very clear.
[00:02:51.040 --> 00:02:59.260]   So what you see for the listeners, what you would see if you're looking at this chart is a bunch of different colored lines that are angling downwards.
[00:02:59.260 --> 00:03:15.100]   Now, if you look at the bottom x-axis, you're going to see years starting from 2006 going up to 2008 and on the y-axis or the vertical axis, you're going to see a standardized average IQ score on a 35 item composite ICAR intelligence test.
[00:03:15.100 --> 00:03:23.440]   Why are there different lines? Well, these are broken out by different education levels from graduate education down to less than 12 years of schooling.
[00:03:23.440 --> 00:03:31.740]   So what you see is as you sort these lines by education, the higher the education level, the higher the line.
[00:03:31.740 --> 00:03:38.620]   So you in general have higher IQ scores if you have a graduate education versus less than 12 years education, that makes sense.
[00:03:38.620 --> 00:03:43.200]   But what's interesting about these charts is that the lines all head downwards.
[00:03:43.200 --> 00:03:49.280]   So we see, yes, this is the the so-called reverse Flynn effect in bright technicolor.
[00:03:49.280 --> 00:03:51.280]   IQ scores are getting lower.
[00:03:51.280 --> 00:03:55.600]   If you look at charts from 1932, you see they go up on average like three to five points per decade.
[00:03:55.600 --> 00:04:03.480]   And now we begin to get this decline as we get to the 2010s below it is another chart that breaks this out by gender as well.
[00:04:03.480 --> 00:04:05.120]   Basically, no difference. They both go down.
[00:04:05.120 --> 00:04:08.760]   There's not any meaningful difference there between genders.
[00:04:08.760 --> 00:04:11.880]   All right. So we see the study decline.
[00:04:11.880 --> 00:04:17.960]   It hits all education levels more or less equally, even though they start from different places, very little difference between gender.
[00:04:17.960 --> 00:04:26.040]   If you break out specific intelligence measures within this 35 item test, you see that all but one measure decreased.
[00:04:26.040 --> 00:04:34.040]   So there is actually one intelligence measure that's often tested like you test that still is increasing and that is three dimensional rotational scores.
[00:04:34.040 --> 00:04:40.120]   So test of your ability to have a 3D object in your mind and to rotate it within your head.
[00:04:40.120 --> 00:04:42.120]   We're still getting better at that.
[00:04:42.120 --> 00:04:46.120]   But on everything else, we have begun to decline.
[00:04:46.120 --> 00:04:48.120]   All right. So why is this happening?
[00:04:48.120 --> 00:04:54.200]   There's one argument in particular that is common.
[00:04:54.200 --> 00:04:54.200]   It's well known.
[00:04:54.200 --> 00:05:00.200]   It's been articulated by many different people in many different contexts, and it is pretty convincing.
[00:05:00.200 --> 00:05:06.200]   Here is the short version of this most common argument for the reverse Flynn effect.
[00:05:06.200 --> 00:05:08.280]   We stopped reading.
[00:05:08.280 --> 00:05:12.280]   So the idea that reading rates are down drastically, this is well covered.
[00:05:12.280 --> 00:05:13.240]   This is known.
[00:05:13.240 --> 00:05:14.280]   We did an episode.
[00:05:14.280 --> 00:05:24.280]   I don't know when that was, Jesse, but probably like in the spring where we went over a lot of like the more recent data about how much people are reading, how much people are reading for pleasure and how these have had a steady decline.
[00:05:24.280 --> 00:05:28.360]   So this is just this is well known.
[00:05:28.360 --> 00:05:43.880]   Now, many have argued that this shift away from books and towards other types of media, such as television at first, now more recently, also the Internet and smartphones, can explain, at least in part, why we are getting dumber.
[00:05:43.880 --> 00:05:45.960]   So how does this work?
[00:05:45.960 --> 00:05:47.720]   Well, I want to play you a clip here.
[00:05:47.720 --> 00:05:49.560]   This is James Marriott.
[00:05:49.560 --> 00:05:52.360]   He's a critic and columnist for the Times of London.
[00:05:53.080 --> 00:06:07.480]   This is a podcast appearance from a couple of weeks ago where James tries to summarize this sort of general argument that the now well-accepted fact that we're reading less is impacting our overall intelligence and helps explain the reverse Flynn effect.
[00:06:07.480 --> 00:06:14.520]   It's kind of a long clip, but I think it's worth hearing in its entirety because James sort of lays out clearly how this chain of argument goes.
[00:06:14.520 --> 00:06:15.880]   So Jesse, let's hear this clip.
[00:06:15.880 --> 00:06:22.360]   When you look at the way that information is structured in a book compared to the way that information is structured in a phone, it makes a lot of sense.
[00:06:22.840 --> 00:06:24.920]   Books are exceptionally dense with information.
[00:06:24.920 --> 00:06:26.600]   They're exceptionally dense with argument.
[00:06:26.600 --> 00:06:29.560]   Print requires us to make a logical case for a subject.
[00:06:29.560 --> 00:06:34.760]   A really significant feature of books is that if you make a case in print, you have to make it logically add up.
[00:06:34.760 --> 00:06:39.560]   You can't just assert things in the way you can on TikTok or on YouTube or on a podcast or in conversation.
[00:06:39.560 --> 00:06:50.600]   And print privileges a whole way of thinking and a whole way of processing the world that is logical, that is more rational, that is more dense information, that is more intellectually challenging.
[00:06:50.600 --> 00:07:01.320]   And if you lose these things in our culture, which I think we really are in the process of losing them, it's not surprising that people are getting stupider and their reasoning skills are declining and that, yeah, we seem to find the IQ is declining.
[00:07:01.320 --> 00:07:04.040]   Right, so that's a really interesting argument.
[00:07:04.040 --> 00:07:23.720]   If you spend more time consuming media through things like television, or James is focusing in particular on smartphones, you are missing essentially a sort of intellectual cross-training that you get by reading books that force you to do a sort of more logical type of analytical thinking, which gives you a brain that can do really well on IQ test.
[00:07:23.720 --> 00:07:38.440]   Now, this is not a new idea, so Marriott here is not making a new idea, it's something that really big thinkers, sort of like big minds of techno criticisms and media studies from decades past, have been grappling with.
[00:07:38.440 --> 00:07:44.280]   I want to play another short clip from Marriott where he talks about the sort of esteemed history of people thinking about these type of issues.
[00:07:44.280 --> 00:08:05.840]   Exactly. There's been, there's a lot of interesting research and writing on this done in the sixties and seventies, when TV and radio had really begun to find mass adoption in Western households and people like Walter Ong and another guy, Eric Havelock, a classicist, compared the information environments of oral societies with literate societies.
[00:08:05.840 --> 00:08:11.800]   And they made a series of really brilliant cases that literate culture enables things like analytic thought.
[00:08:11.800 --> 00:08:21.680]   So in other words, this idea, even before we had smartphones, as soon as TV came up, there was this big thinker started saying, wait a second, literate society.
[00:08:21.680 --> 00:08:28.200]   So society based on information consumption, primarily through the written word, their brains just operate differently.
[00:08:28.200 --> 00:08:41.760]   And one of the most influential thinkers to try to tackle this concept, this connection between reading and IQ, was the late NYU communications professor, Neil Postman, who's been a major influence on my own thinking and writing as a technology critic.
[00:08:41.760 --> 00:08:49.640]   In 1985, he published a classic book, which we've talked about on the show several times, Amusing Ourselves to Death: Public Discourse in the Age of Show Business.
[00:08:49.640 --> 00:09:03.640]   Now, this book was all about how the shift in our culture from a, he called it the lexicographic culture, but a culture in which newspapers and books were the main way through which we gained information to a world of television.
[00:09:03.640 --> 00:09:11.520]   It changed the way literally that we thought our definitions of truth, the processes by which we tried to make sense of the world.
[00:09:11.520 --> 00:09:14.520]   I'm going to read you a key quote here from chapter two of that book.
[00:09:14.520 --> 00:09:25.400]   Postman writes, "Under the governance of the printing press, discourse in America was different than it is now, generally coherent, serious, and rational.
[00:09:25.400 --> 00:09:31.400]   Under the governance of television, it has become shriveled and absurd."
[00:09:31.400 --> 00:09:35.400]   Now, here's another quote from that chapter where he sort of elaborates how these changed happens.
[00:09:35.400 --> 00:09:36.400]   Here's Neil.
[00:09:36.400 --> 00:09:41.880]   "My argument is limited to saying that a major new medium changes the structure of discourse.
[00:09:41.880 --> 00:09:53.760]   it does so by encouraging certain uses of the intellect, by favoring certain definitions of intelligence and wisdom, and by demanding a certain kind of content, in a phrase, by creating new forms of truth-telling.
[00:09:53.760 --> 00:10:06.760]   I will say once again that I am no relativist in this matter, and that I believe the epistemology created by television not only is inferior to a print-based epistemology, but is dangerous and absurdist."
[00:10:06.760 --> 00:10:11.960]   But what he argues in this book is that literally we think differently.
[00:10:11.960 --> 00:10:24.640]   We think differently in a culture that is broadcast-based versus lexographic-based, where we consume information created to us visually or in audio form versus reading it for ourselves, and it leads to a worse country.
[00:10:24.640 --> 00:10:25.640]   He's like, "I'm not a relativist.
[00:10:25.640 --> 00:10:27.640]   It's not, 'Well, things change and some things are better than others.'"
[00:10:27.640 --> 00:10:32.840]   No, the lexographic governance, when we read, that was better.
[00:10:32.840 --> 00:10:37.680]   That was better suited for a democratic country and democratic life and just for intellectual life in general.
[00:10:37.680 --> 00:10:41.960]   That was actually a really good match for what we needed from the human brain.
[00:10:41.960 --> 00:10:44.160]   So there we go.
[00:10:44.160 --> 00:10:54.280]   As we moved away from reading, from television to smartphones, our brains thought in a different way, and the way we thought, to put it crudely, the way we think now, it's just a dumber.
[00:10:54.280 --> 00:11:16.280]   When you use a 35 item ICAR intelligence test, you measure, like, yes, we are starting to do worse on these measures because our brains just don't get the same cross-training they got before, and we're not exposed to the same sort of sophisticated analytical discourses and epistemological definitions of truth-telling that we used to have before.
[00:11:16.280 --> 00:11:24.040]   Now, I want to be clear, it's not like this is a consensus claim that the decline of reading is making us dumber.
[00:11:24.040 --> 00:11:26.440]   Those are big thinkers with big ideas.
[00:11:26.440 --> 00:11:35.000]   In our current world, I mean, there are a lot of researchers who will say the typical thing that a lot of researchers will say, which is like, "Well, it's complicated," and it is probably complicated.
[00:11:35.000 --> 00:11:43.320]   The post-literacy hypothesis for explaining the reverse Flynn effect is by, it's solid, but by no means a complete explanation.
[00:11:43.320 --> 00:11:58.040]   So just for the sake of clarity here, I want to quote here one of the authors from that Northwestern paper where I showed you the chart from that showed the reverse Flynn effect.
[00:11:58.040 --> 00:12:06.760]   The corresponding author of that paper, Elizabeth Dwark, who is a research professor at the Northwestern Medical School, she said, "We don't really know why we're seeing this."
[00:12:06.760 --> 00:12:08.760]   Let me read a quote from her here.
[00:12:08.760 --> 00:12:17.320]   "There's debate about what's causing it, but not every domain is going down. One of them is going up," so she's referencing there to the 3D spatial reasoning.
[00:12:17.320 --> 00:12:24.680]   "If all the scores were going in the same direction, you could make a nice little narrative about it, but that's not the case. We need to do more to dig into it."
[00:12:24.680 --> 00:12:35.480]   Dwark goes on to suggest several other theories bouncing around for the reverse Flynn effect, like maybe there's a decline in motivation among the test takers, so something about the effect of how they recruited people to take the test.
[00:12:35.480 --> 00:12:53.480]   Or it could be things, and she's just being hypothetical here, just to show who knows. It could be a lot of things, but she said hypothetically, maybe something about the shift to STEM education and public education has de-emphasized other subjects that might have been better for the analytical reasoning that's tested on IQ tests.
[00:12:53.480 --> 00:12:55.480]   She's like, "Look, we don't really know."
[00:12:55.480 --> 00:13:05.480]   So I don't want to give the sense that the post-literacy hypothesis is a consensus, but I do want to note the sort of pushback here isn't exactly damning.
[00:13:05.480 --> 00:13:15.480]   I think the fact that we're still getting better at manipulating visual objects in our head doesn't contradict the post-literacy hypothesis.
[00:13:15.480 --> 00:13:25.480]   That is a type of intelligence that really has nothing to do with reading and, in fact, using video games and more visual culture where we're having to simulate more virtual worlds in our head.
[00:13:25.480 --> 00:13:29.480]   Maybe that is something we got better at. It would make sense, actually, with the change in the media landscape.
[00:13:29.480 --> 00:13:38.480]   The fact that changes to STEM education or some other changes to the American educational system might be de-emphasizing skills to show up on IQ tests.
[00:13:38.480 --> 00:13:46.480]   That might be true, but the reverse Flynn effect is showing up consistently in many different countries that have their own educational systems and priorities.
[00:13:46.480 --> 00:13:52.480]   And yes, maybe in their particular research design, they could be dealing with lack of motivation on the test-takers.
[00:13:52.480 --> 00:13:57.480]   But again, we're seeing this same decline in IQ tests from many different studies that gather data from many different sources.
[00:13:57.480 --> 00:14:07.480]   So I want to emphasize that there's not a consensus around this issue, but it's not like there are massive holes in the post-literacy hypothesis of, oh, this is really a flawed theory.
[00:14:07.480 --> 00:14:12.480]   It's still a convincing explanation for at least part of what we are observing.
[00:14:12.480 --> 00:14:16.480]   Okay, now I want to give my explanation.
[00:14:16.480 --> 00:14:22.480]   Now, I should qualify this here by saying I actually think the post-literacy hypothesis is right.
[00:14:22.480 --> 00:14:26.480]   Right, I think that explains a lot of what we see.
[00:14:26.480 --> 00:14:30.480]   But there is another factor that's sometimes mentioned that I think gets overlooked.
[00:14:30.480 --> 00:14:37.480]   It is also playing a large role, especially in the recent decreases in IQ.
[00:14:37.480 --> 00:14:47.480]   Now, given my interest as a technocritic and the fact that this podcast focuses on technology's impact on our ability to live deep lives, you might not be surprised by what I'm going to say.
[00:14:47.480 --> 00:14:54.480]   But I think the missing factor here is the smartphone's impact on our attention.
[00:14:54.480 --> 00:14:56.480]   So this is different.
[00:14:56.480 --> 00:14:57.480]   Let's think about this.
[00:14:57.480 --> 00:15:08.480]   The post-literacy hypothesis is saying when we stop reading, the way our brain processes information changes and it becomes less analytical and dumber.
[00:15:08.480 --> 00:15:13.480]   So our capabilities, like what our brain can do goes down.
[00:15:13.480 --> 00:15:15.480]   All right, fair enough.
[00:15:15.480 --> 00:15:26.480]   But the rise of smartphones and in particular hyperpalatable algorithmic content delivered through smartphones has an additional impact of reducing our ability to sustain concentration.
[00:15:26.480 --> 00:15:29.480]   Now, this is not about the way our brain processes information.
[00:15:29.480 --> 00:15:32.480]   It's not about our epistemology, as Neil Postman would say.
[00:15:32.480 --> 00:15:43.480]   It's about the fact that we are constantly overwhelming our short-term motivation circuits with this hyperpalatable content to the point where our brain begins to suffer when we ask it to put sustained concentration on one target.
[00:15:43.480 --> 00:15:59.480]   So it's like the post-literacy hypothesis explains the capability of our brain is going down and the attention hypothesis claims our ability to make use of whatever processing ability we have is also being reduced.
[00:15:59.480 --> 00:16:04.480]   You put these two things together and you get a much more heightened effect.
[00:16:04.480 --> 00:16:09.480]   And I think this is a major effect in the Flynn effect.
[00:16:09.480 --> 00:16:15.480]   And I think we have two pieces of evidence that I want to point to here that shows that the attention hypothesis is playing a big role here.
[00:16:15.480 --> 00:16:21.480]   One, reading began to decline, of course, well before the advent of ubiquitous smartphones.
[00:16:21.480 --> 00:16:28.480]   I mean, we talked about, you know, Walter Ong was writing in the 1960s about the death of literate society with the rise of television.
[00:16:28.480 --> 00:16:31.480]   Neil Postman was writing in the 1980s.
[00:16:31.480 --> 00:16:33.480]   We've seen declines in the statistics and reading.
[00:16:33.480 --> 00:16:36.480]   This has started going down in the 80s and the 90s.
[00:16:36.480 --> 00:16:37.480]   So none of this is new.
[00:16:37.480 --> 00:16:40.480]   It continues to get worse, but none of this is new.
[00:16:40.480 --> 00:16:45.480]   And yet, if you look closer at the reverse Flynn effect studies, they all point to an inflection point.
[00:16:45.480 --> 00:16:55.480]   Increases slow down, but the point where it turns and IQ scores start going down, on average lands somewhere around 2010.
[00:16:55.480 --> 00:16:58.480]   What happens around 2010?
[00:16:58.480 --> 00:17:03.480]   Not some major shift in our reading habits, but the ubiquitous introduction of smartphones.
[00:17:03.480 --> 00:17:06.480]   So, smartphones entering the picture, we already were reading less.
[00:17:06.480 --> 00:17:09.480]   We already were watching some crazy amount of television a day.
[00:17:09.480 --> 00:17:11.480]   But then our attention began to get worse.
[00:17:11.480 --> 00:17:17.480]   And so now, this slow reduction of our brain's ability to process had this other factor added to it.
[00:17:17.480 --> 00:17:22.480]   We can't even get that, the full capacity that our brain has reduced as it might be.
[00:17:22.480 --> 00:17:24.480]   Here's another piece of evidence.
[00:17:24.480 --> 00:17:31.480]   If we return to that Northwestern study, they also broke out these IQ declines by age group.
[00:17:31.480 --> 00:17:37.480]   And guess what age group has had the sharpest decline in IQs in this sort of period starting in 2010?
[00:17:37.480 --> 00:17:39.480]   18 to 22 year olds.
[00:17:39.480 --> 00:17:40.480]   22 year olds.
[00:17:40.480 --> 00:17:43.480]   So, what do we know about 18 and 22 year olds?
[00:17:43.480 --> 00:17:44.480]   Two things.
[00:17:44.480 --> 00:17:47.480]   They are the heaviest users of smartphones.
[00:17:47.480 --> 00:17:56.480]   And they are the first generation to not have that formative experience of going through childhood education, primary education and post-primary education.
[00:17:56.480 --> 00:18:07.480]   So, without smartphones, what used to be this sort of neurological crucible where you practice concentration, you come out of the schooling system and your ability to focus on abstract things has really been elevated.
[00:18:07.480 --> 00:18:08.480]   That was one of the main skills.
[00:18:08.480 --> 00:18:15.480]   Today's 18 to 22 year olds has studied in, you know, 18 to 22 years from the last decade has studied in that paper.
[00:18:15.480 --> 00:18:17.480]   They had the smartphone aspect throughout all of that.
[00:18:17.480 --> 00:18:24.480]   So, they had a notable impoverishment in attention ability that was probably more heightened than what we saw in other sort of demographics.
[00:18:24.480 --> 00:18:26.480]   And they had their things go down the worse.
[00:18:26.480 --> 00:18:29.480]   They had their IQ scars fall the fastest.
[00:18:29.480 --> 00:18:31.480]   So, we put all these pieces together.
[00:18:31.480 --> 00:18:37.480]   There's a lot of things that might come together to explain the reverse Flynn effect and the post-literacy hypothesis has to be a part of it, right?
[00:18:37.480 --> 00:18:44.480]   I mean, if we were still in a largely lexographic area, I mean, society, we would be smarter.
[00:18:44.480 --> 00:18:46.480]   And moving on from that has and continues to make a difference.
[00:18:46.480 --> 00:18:56.480]   But smartphones have added their own extra special dumbness spice on top of this Sunday of badness, which is we also struggle to concentrate and use the skills we already have.
[00:18:56.480 --> 00:19:01.480]   So, we're in a post-literacy society, but also a post-concentration society.
[00:19:01.480 --> 00:19:07.480]   You put those together and we are accelerating our descent towards dumbness, right?
[00:19:07.480 --> 00:19:08.480]   So, that's my idea.
[00:19:08.480 --> 00:19:12.480]   But what I want to do is because I think there's an opportunity here, right?
[00:19:12.480 --> 00:19:20.480]   I mean, on this show, what I'm trying to do is not just give you ideas, but figure out what are the concrete takeaways that these ideas imply.
[00:19:20.480 --> 00:19:29.480]   How can you, in other words, like what ideas can we draw from these ideas that you can put into practice in your life to try to find more depth in a world in which technology threatens to take that away?
[00:19:29.480 --> 00:19:32.480]   So, what I want to do now is move on to kind of adding this.
[00:19:32.480 --> 00:19:33.480]   We've added some theme music, right, Jesse?
[00:19:33.480 --> 00:19:34.480]   Yeah.
[00:19:34.480 --> 00:19:37.480]   Some theme music for at the end of the deep dive.
[00:19:37.480 --> 00:19:40.480]   It's time for concrete takeaways.
[00:19:40.480 --> 00:19:52.480]   You know what that music reminds me of?
[00:19:52.480 --> 00:19:53.480]   What?
[00:19:53.480 --> 00:19:56.480]   Like a high-intensity bass fishing television show.
[00:19:56.480 --> 00:20:03.480]   Like, can't you imagine like an opening montage where like guys are just like wrestling large bass out of the water and then like high-fiving each other.
[00:20:03.480 --> 00:20:04.480]   Yeah.
[00:20:04.480 --> 00:20:06.480]   And like crushing a Bud Light and like catching another bass.
[00:20:06.480 --> 00:20:08.480]   That's where that, that's what I think about that music.
[00:20:08.480 --> 00:20:16.480]   Which means it is a perfect fit for our concrete takeaways on subtle variations in the 35 item ICAR intelligent test.
[00:20:16.480 --> 00:20:17.480]   All right.
[00:20:17.480 --> 00:20:18.480]   What's our takeaways?
[00:20:18.480 --> 00:20:19.480]   What does this mean for you?
[00:20:19.480 --> 00:20:20.480]   Okay.
[00:20:20.480 --> 00:20:38.480]   So, if losing your ability to pay attention is making everyone dumber, if you cross-train or systematically train your ability to maintain concentration compared to everyone else, you'll be getting relatively smarter.
[00:20:38.480 --> 00:20:43.480]   So, you have an opportunity here to basically take an IQ boosting pill.
[00:20:43.480 --> 00:20:51.480]   You're not actually going to get smarter, but you are going to be hurting your IQ less than most of the other people around you.
[00:20:51.480 --> 00:21:02.480]   And so, if you are relatively smarter and get relatively smarter compared to the people around you, obviously, it's going to open up way more job opportunities, but it's also going to allow you to just appreciate nuances and information in the world.
[00:21:02.480 --> 00:21:05.480]   It's sort of like a little superpower you can get.
[00:21:05.480 --> 00:21:17.480]   So, we can take our sort of IQ boosting pill, metaphorically speaking, if we can practically figure out how to counteract the post-concentration societies pull on your ability to pay attention.
[00:21:17.480 --> 00:21:19.480]   So, I'm going to get really specific here.
[00:21:19.480 --> 00:21:20.480]   I've got four things to tell you.
[00:21:20.480 --> 00:21:32.480]   Number one, to the extent possible, I want you to quit apps on your phone or your computer where the company who makes the app makes more money the more you use it.
[00:21:32.480 --> 00:21:33.480]   Right?
[00:21:33.480 --> 00:21:49.480]   TikTok, Instagram, any of those games that have like a bunch of coins that fall out when you press a button and you never paid for and it's just there on your phone and you start playing it on the flight to Chicago and then you look up and you're in Chicago and you haven't moved from your seat and your leg is asleep.
[00:21:49.480 --> 00:21:54.480]   Anything where your attention is what is valuable, get those off your phone.
[00:21:54.480 --> 00:21:55.480]   Right?
[00:21:55.480 --> 00:22:02.480]   That's just designed to degrade your short-term motivational system to concentrate on something.
[00:22:02.480 --> 00:22:03.480]   It's going to hyperpalatable.
[00:22:03.480 --> 00:22:04.480]   It's going to take that over.
[00:22:04.480 --> 00:22:16.480]   Two, for things that maybe fit that profile but you can't quit or delete because they have some uses you need to preserve, join the attention resistance.
[00:22:16.480 --> 00:22:33.480]   Now this is an idea from my 2019 book Digital Minimalism which says basically find a way through using new rules and technologies to make these technologies that have specific use cases you need to make them no longer hyperpalatable.
[00:22:33.480 --> 00:22:35.480]   Make them not a source of distraction in your life.
[00:22:35.480 --> 00:22:39.480]   So for example, if you say I need to use YouTube occasionally for looking things up.
[00:22:39.480 --> 00:22:40.480]   Right?
[00:22:40.480 --> 00:22:44.480]   Like this is a good reference library when I need to figure out how to change the oil on my minivan.
[00:22:44.480 --> 00:22:45.480]   Great.
[00:22:45.480 --> 00:22:50.480]   If you don't get a browser plug-in only access it on the browser and on app and get a browser plug-in.
[00:22:50.480 --> 00:22:54.480]   There's many that exist like this that hide the recommendations.
[00:22:54.480 --> 00:22:55.480]   Now YouTube is just a cool library.
[00:22:55.480 --> 00:22:56.480]   You search for oil change.
[00:22:56.480 --> 00:22:57.480]   You see the results.
[00:22:57.480 --> 00:22:58.480]   They're all oil change videos.
[00:22:58.480 --> 00:22:59.480]   You click on one.
[00:22:59.480 --> 00:23:13.480]   You're doing an oil change and you don't see over on the right-hand side you know how oil changes are part of the secret MAGA agenda to put microchips and Epstein's vaccines.
[00:23:13.480 --> 00:23:14.480]   Right?
[00:23:14.480 --> 00:23:15.480]   You don't see those recommendations on the side.
[00:23:15.480 --> 00:23:16.480]   You're just getting the oil change video.
[00:23:16.480 --> 00:23:18.480]   That's joining the attention resistance.
[00:23:18.480 --> 00:23:21.480]   You have to use Instagram for your business for like whatever reason.
[00:23:21.480 --> 00:23:27.480]   We've got to post because we have to post what's going on at our local bookstore or something like this so people get news.
[00:23:27.480 --> 00:23:28.480]   That's fine.
[00:23:28.480 --> 00:23:30.480]   Have a Google doc where you put the information.
[00:23:30.480 --> 00:23:34.480]   One of your own employees once a day at five o'clock takes that puts it into a post and puts it up.
[00:23:34.480 --> 00:23:35.480]   You never even see Instagram.
[00:23:35.480 --> 00:23:36.480]   Right?
[00:23:36.480 --> 00:23:46.480]   So, hey, I'm getting use out of you Instagram without you being on my phone and me having again to, you know, go on this short chain from like, hey, my bookstore is open at five.
[00:23:46.480 --> 00:23:48.480]   Like it's five too late for my bookstore to be open.
[00:23:48.480 --> 00:23:54.480]   Oh my God is the oil change on my car part of a MAGA conspiracy to put microchips and Jeffrey Epstein's vaccines.
[00:23:54.480 --> 00:23:54.480]   Right?
[00:23:54.480 --> 00:23:56.480]   Like you don't have to play that game anymore.
[00:23:56.480 --> 00:24:00.480]   It's like I'm getting some advantage out of Instagram without having to deal with that.
[00:24:00.480 --> 00:24:01.480]   All right.
[00:24:01.480 --> 00:24:02.480]   Concrete takeaway number three.
[00:24:02.480 --> 00:24:03.480]   This is a huge one.
[00:24:03.480 --> 00:24:05.480]   I've been really pushing this one.
[00:24:05.480 --> 00:24:06.480]   It's a hard one.
[00:24:06.480 --> 00:24:08.480]   I want you to hear me out on this.
[00:24:08.480 --> 00:24:11.480]   When you're home, keep your phone in your kitchen.
[00:24:11.480 --> 00:24:12.480]   Plug it in.
[00:24:12.480 --> 00:24:13.480]   And that's where it is when you're home.
[00:24:13.480 --> 00:24:16.480]   If you need to look something up, you go to your kitchen.
[00:24:16.480 --> 00:24:17.480]   Look it up.
[00:24:17.480 --> 00:24:19.480]   If you need to check, there's a text conversation going on.
[00:24:19.480 --> 00:24:20.480]   You're making plans with your friends.
[00:24:20.480 --> 00:24:26.480]   You got to go over there in the kitchen and see what's going on with the text conversation and sort of make your plans there and then go back to what you're doing.
[00:24:26.480 --> 00:24:29.480]   If you want to listen to a podcast or whatever, AirPods.
[00:24:29.480 --> 00:24:35.480]   And if you're in a mansion, then I guess you can have your butler move it to another part of your house to plug it in.
[00:24:35.480 --> 00:24:38.480]   I know Jesse has this issue.
[00:24:38.480 --> 00:24:49.480]   So Jesse, your butler can move the iPod from your kitchen to the catering kitchen if you're in your basement fitness center, and then they can move it to the conservatory greenhouse when you're in your West Wing library.
[00:24:49.480 --> 00:24:53.480]   But the point is, is it's plugged in in a location and not on your person.
[00:24:53.480 --> 00:24:54.480]   This changes everything.
[00:24:54.480 --> 00:24:57.480]   It's not a companion when you're at your house.
[00:24:57.480 --> 00:24:58.480]   It's not no matter what I'm doing.
[00:24:58.480 --> 00:24:59.480]   I'm checking this.
[00:24:59.480 --> 00:25:00.480]   I'm eating at dinner.
[00:25:00.480 --> 00:25:01.480]   My family, I'm checking it.
[00:25:01.480 --> 00:25:02.480]   I'm watching TV.
[00:25:02.480 --> 00:25:03.480]   I'm checking it.
[00:25:03.480 --> 00:25:04.480]   I'm watching sports.
[00:25:04.480 --> 00:25:05.480]   I'm checking it.
[00:25:05.480 --> 00:25:07.480]   I'm doing chores.
[00:25:07.480 --> 00:25:08.480]   I'm checking it.
[00:25:08.480 --> 00:25:09.480]   I'm working out in between sets.
