
[00:00:00.000 --> 00:00:03.080]   (slow hip hop music)
[00:02:53.480 --> 00:02:58.160]   I ended up joining the Army, became a military policeman.
[00:02:58.160 --> 00:03:01.320]   And then I switched over to something that's called
[00:03:01.320 --> 00:03:03.600]   the Army Criminal Investigation Division,
[00:03:03.600 --> 00:03:06.480]   Army CID that does felony investigations,
[00:03:06.480 --> 00:03:08.680]   which then kind of led me
[00:03:08.680 --> 00:03:10.500]   into being a civilian federal agent.
[00:03:10.500 --> 00:03:12.840]   I started off with the Treasury Department
[00:03:12.840 --> 00:03:15.760]   and then switched over to Homeland Security.
[00:03:15.760 --> 00:03:19.360]   And then that's when I started working
[00:03:19.360 --> 00:03:21.440]   child exploitation cases.
[00:03:21.440 --> 00:03:24.520]   And it's interesting, everybody's like,
[00:03:24.520 --> 00:03:27.880]   why would Homeland Security ever investigate
[00:03:27.880 --> 00:03:30.420]   child exploitation?
[00:03:30.420 --> 00:03:34.680]   And I'll just clarify this up front that,
[00:03:34.680 --> 00:03:39.680]   so what was referred to as child pornography
[00:03:39.680 --> 00:03:42.040]   has been kind of reclassified
[00:03:42.040 --> 00:03:44.400]   as child sexual abuse material,
[00:03:44.400 --> 00:03:49.400]   as it is better for the morale of survivors of exploitation.
[00:03:49.400 --> 00:03:57.320]   And so if I say CSAM or any of those kinds of things
[00:03:57.320 --> 00:04:02.160]   that I'm talking about what you or many of your followers
[00:04:02.160 --> 00:04:05.640]   would think of as child pornography would be CSAM.
[00:04:05.640 --> 00:04:10.640]   So historically, CSAM would come into the United States
[00:04:10.640 --> 00:04:12.320]   through the mail.
[00:04:12.320 --> 00:04:15.360]   And so it would get intercepted by US Custom Service
[00:04:15.360 --> 00:04:18.280]   and it would be usually worked with Postal Service
[00:04:18.280 --> 00:04:19.600]   and Custom Service.
[00:04:19.600 --> 00:04:22.980]   And so that's how Homeland Security
[00:04:22.980 --> 00:04:26.920]   kind of became a leader in CSAM investigations.
[00:04:26.920 --> 00:04:31.920]   - Talk about your first story where you really realized
[00:04:31.920 --> 00:04:35.160]   like, man, this world is straight up evil.
[00:04:35.160 --> 00:04:36.920]   Well, actually before we get into that,
[00:04:36.920 --> 00:04:41.840]   I wanna talk about when you decide to be a Homeland Security
[00:04:41.840 --> 00:04:43.120]   and be in a line of work,
[00:04:43.120 --> 00:04:46.560]   what is the things that you have to like sign
[00:04:46.560 --> 00:04:48.520]   or the things that you have to say,
[00:04:48.520 --> 00:04:50.580]   I'm not gonna speak on like,
[00:04:50.580 --> 00:04:52.020]   'cause you said this is one of your first interviews
[00:04:52.020 --> 00:04:52.860]   since you've retired.
[00:04:52.860 --> 00:04:53.680]   - It is.
[00:04:53.680 --> 00:04:56.040]   - Is there things that you are not allowed to like,
[00:04:56.040 --> 00:04:57.000]   what's the--
[00:04:57.000 --> 00:04:59.560]   - So there are things that I had to sign
[00:04:59.560 --> 00:05:01.560]   a non-disclosure agreement about
[00:05:01.560 --> 00:05:05.240]   that are ongoing criminal investigations
[00:05:05.240 --> 00:05:08.200]   that I was involved in prior to my retirement.
[00:05:08.200 --> 00:05:09.560]   I'm allowed to talk about things
[00:05:09.560 --> 00:05:12.100]   that have gone through the court system
[00:05:12.100 --> 00:05:13.160]   and stuff like that.
[00:05:13.160 --> 00:05:18.760]   Then I was involved in some undercover things
[00:05:18.760 --> 00:05:21.140]   that if I were to talk about them,
[00:05:21.140 --> 00:05:23.440]   I think it would put myself and my family in jeopardy.
[00:05:23.440 --> 00:05:25.040]   So I wouldn't talk about those.
[00:05:25.040 --> 00:05:26.240]   - Right, wow.
[00:05:26.240 --> 00:05:27.880]   Yeah, I wanna get into some of that later.
[00:05:27.880 --> 00:05:29.240]   But yeah, talk about that first story
[00:05:29.240 --> 00:05:32.240]   where you were like, man, like this job is insane,
[00:05:32.240 --> 00:05:36.240]   but also the world that I live in like needs this.
[00:05:36.240 --> 00:05:37.880]   The world that I live in is evil.
[00:05:38.360 --> 00:05:43.360]   - And I can remember the first time
[00:05:43.360 --> 00:05:46.000]   that my eyes were completely open to it.
[00:05:46.000 --> 00:05:51.000]   And this was a young girl, she was 10 and 11.
[00:05:51.000 --> 00:05:54.960]   She was sexually abused by her father.
[00:05:54.960 --> 00:05:57.960]   It was recorded, put out on the internet.
[00:05:57.960 --> 00:06:00.760]   Some detectives in Canada found these images
[00:06:00.760 --> 00:06:03.660]   and were able to use clues in the background of the images
[00:06:03.660 --> 00:06:07.320]   like a cup and a sweatshirt and those kinds of things.
[00:06:07.320 --> 00:06:08.840]   And they found out that she was located
[00:06:08.840 --> 00:06:12.200]   in Northwest, Pacific Northwest.
[00:06:12.200 --> 00:06:14.400]   And so we started looking for her there.
[00:06:14.400 --> 00:06:16.680]   So we searched for her for two years.
[00:06:16.680 --> 00:06:20.440]   And finally, we were able to figure out who she was
[00:06:20.440 --> 00:06:26.320]   based largely on the fact that she had reported sex abuse
[00:06:26.320 --> 00:06:28.480]   by her father to a local police department.
[00:06:28.480 --> 00:06:33.880]   He had fled the country and he was featured on the media.
[00:06:33.880 --> 00:06:35.360]   And that's kind of how we ended up
[00:06:35.360 --> 00:06:37.120]   linking those things together.
[00:06:37.120 --> 00:06:42.120]   But through that process, when a victim is identified
[00:06:42.120 --> 00:06:45.820]   of child sexual abuse material,
[00:06:45.820 --> 00:06:49.280]   they are allowed to be notified
[00:06:49.280 --> 00:06:53.380]   by the National Center for Missing and Exploited Children
[00:06:53.380 --> 00:06:55.960]   every time someone is caught with their image.
[00:06:55.960 --> 00:06:57.720]   Now, not every police department,
[00:06:57.720 --> 00:06:58.880]   not every federal agency,
[00:06:58.880 --> 00:07:01.080]   not everybody submits all their images
[00:07:01.080 --> 00:07:04.940]   to the National Center for Missing and Exploited Children,
[00:07:04.940 --> 00:07:07.600]   but a lot of them do.
[00:07:07.600 --> 00:07:12.600]   And so after we were able to identify her,
[00:07:12.600 --> 00:07:16.080]   I started calculating how many times
[00:07:16.080 --> 00:07:18.740]   someone was caught with her image.
[00:07:18.740 --> 00:07:20.100]   So the images were submitted.
[00:07:20.100 --> 00:07:22.180]   Someone was caught possessing her images
[00:07:22.180 --> 00:07:24.600]   of her being raped as a 10-year-old.
[00:07:24.600 --> 00:07:30.140]   It was six times a day, every four hours.
[00:07:30.140 --> 00:07:35.140]   So if you can imagine being a 16 or 17-year-old girl,
[00:07:35.140 --> 00:07:37.240]   having the worst moments of your life,
[00:07:37.240 --> 00:07:38.700]   being raped by your father,
[00:07:38.700 --> 00:07:44.500]   and knowing that men are being caught on the average
[00:07:44.500 --> 00:07:47.940]   of every four hours.
[00:07:47.940 --> 00:07:48.780]   - Yeah.
[00:07:48.780 --> 00:07:50.500]   - To walk out into a grocery store,
[00:07:50.500 --> 00:07:53.460]   to walk into an elevator with three grown men
[00:07:53.460 --> 00:07:57.020]   and wonder which one of those has seen you.
[00:07:57.020 --> 00:07:59.180]   And like, that's the first time that,
[00:07:59.180 --> 00:08:01.260]   like when I did that calculation,
[00:08:01.260 --> 00:08:02.740]   it's the first time that really opened my eyes
[00:08:02.740 --> 00:08:04.860]   to like how screwed up this is.
[00:08:04.860 --> 00:08:09.060]   - Yeah, that fetish or whatever you wanna call it,
[00:08:09.060 --> 00:08:12.300]   for that to be something that grown men would wanna consume
[00:08:12.300 --> 00:08:14.620]   is really honestly strange.
[00:08:14.620 --> 00:08:17.380]   Have you come to any conclusions on, you know,
[00:08:17.380 --> 00:08:20.020]   why that has even become a thing in our society?
[00:08:20.020 --> 00:08:23.860]   Like what feeds that desire for grown men
[00:08:23.860 --> 00:08:28.060]   not only to want to, you know, abuse young women,
[00:08:28.060 --> 00:08:29.620]   but to even consume it?
[00:08:29.620 --> 00:08:32.140]   Like have you guys figured that out at all?
[00:08:32.140 --> 00:08:36.860]   - So I think there's two general issues.
[00:08:36.860 --> 00:08:39.580]   One is pornography and pornography addictions.
[00:08:39.580 --> 00:08:40.420]   - Yeah.
[00:08:40.420 --> 00:08:42.340]   - I know you've had a recent guest that talked about that,
[00:08:42.340 --> 00:08:43.880]   and you talked about it with her,
[00:08:43.880 --> 00:08:47.580]   that once someone has seen a certain type of pornography
[00:08:47.580 --> 00:08:49.940]   for so long, then they seek something new,
[00:08:49.940 --> 00:08:53.100]   something different, and those kind of things,
[00:08:53.100 --> 00:08:56.840]   or something taboo, something that's wrong.
[00:08:56.840 --> 00:08:58.220]   So that's one way.
[00:08:58.220 --> 00:09:00.420]   And then pedophilia is the other way,
[00:09:00.420 --> 00:09:05.040]   that men who are just absolutely attracted to children,
[00:09:05.040 --> 00:09:10.040]   and that with the onset of the internet,
[00:09:10.040 --> 00:09:13.340]   giving people the ability to be anonymous
[00:09:13.340 --> 00:09:16.260]   and hang out in chat rooms and have conversations
[00:09:16.260 --> 00:09:18.100]   that they would never have in public,
[00:09:18.100 --> 00:09:22.540]   like made it spread, you know, like wildfire.
[00:09:22.540 --> 00:09:25.060]   - So was this the main, this was the main area of focus
[00:09:25.060 --> 00:09:28.320]   that you and your team were involved in?
[00:09:28.320 --> 00:09:29.160]   - Yeah.
[00:09:29.160 --> 00:09:32.280]   So for about 20 years, I was focused
[00:09:32.280 --> 00:09:37.280]   on child sexual abuse investigations on a day-to-day basis.
[00:09:37.280 --> 00:09:41.880]   - Which, you know, the message that I wanna get across
[00:09:41.880 --> 00:09:45.520]   to people, and the reason I've had multiple guests on here
[00:09:45.520 --> 00:09:49.520]   speaking on this specific issue is because it may not seem
[00:09:49.520 --> 00:09:51.320]   like it's the biggest issue in our world today,
[00:09:51.320 --> 00:09:54.120]   but almost a million children go missing a year,
[00:09:54.120 --> 00:09:57.580]   and no one knows, no one really speaks on it.
[00:09:57.580 --> 00:10:00.020]   I don't know if it's not on the news
[00:10:00.020 --> 00:10:02.900]   because it's a sensitive subject.
[00:10:02.900 --> 00:10:03.960]   I don't know if it's not on the news
[00:10:03.960 --> 00:10:07.820]   because the same people that run these big media outlets
[00:10:07.820 --> 00:10:10.220]   are also the same people that are sometimes involved
[00:10:10.220 --> 00:10:11.220]   in these pedophilia rings.
[00:10:11.220 --> 00:10:13.580]   I don't know, but the reason that I think it's important
[00:10:13.580 --> 00:10:15.600]   to speak on is because, man, this is happening
[00:10:15.600 --> 00:10:19.340]   every single day, like, you know, you can leave your kid
[00:10:19.340 --> 00:10:21.780]   in a grocery store for five seconds,
[00:10:21.780 --> 00:10:23.060]   they can get snatched up, you know?
[00:10:23.060 --> 00:10:26.020]   So I think it's just bringing awareness to it.
[00:10:26.020 --> 00:10:28.820]   I know you have a lot of things to speak on,
[00:10:28.820 --> 00:10:31.140]   and we're gonna speak on a lot of things in this interview,
[00:10:31.140 --> 00:10:34.500]   but, you know, working undercover like that,
[00:10:34.500 --> 00:10:36.980]   were there ever any scary situations,
[00:10:36.980 --> 00:10:40.300]   or was it scary at all being undercover like that?
[00:10:40.300 --> 00:10:42.160]   To you, you've said there's been things
[00:10:42.160 --> 00:10:44.580]   that you didn't speak on because you were worried
[00:10:44.580 --> 00:10:46.620]   about the safety of your family.
[00:10:46.620 --> 00:10:50.660]   You know, speak on that whole thing a little bit.
[00:10:50.660 --> 00:10:52.520]   - So I did a lot of undercover stuff,
[00:10:52.520 --> 00:10:54.540]   and I wanna circle back with you at some point
[00:10:54.540 --> 00:10:56.400]   about, like, kids getting abducted.
[00:10:56.400 --> 00:11:00.860]   But, so throughout my career, I think my first time
[00:11:00.860 --> 00:11:05.480]   I did an undercover deal was in 1996, like a drug deal.
[00:11:05.480 --> 00:11:11.940]   I have done undercover things into white supremacy groups,
[00:11:11.940 --> 00:11:15.540]   selling arms overseas,
[00:11:15.540 --> 00:11:21.100]   into different organizations.
[00:11:21.100 --> 00:11:24.580]   I've sold children, I've bought children, all those things.
[00:11:24.580 --> 00:11:30.580]   So when it comes to, like, the fringe organizations,
[00:11:30.580 --> 00:11:34.220]   that's, like, where I wouldn't wanna talk about it
[00:11:34.220 --> 00:11:37.900]   because, you know, those people have long memories.
[00:11:37.900 --> 00:11:41.100]   - Wow, okay, you talk about, so undercover,
[00:11:41.100 --> 00:11:45.100]   a lot of times you are obviously enacting
[00:11:45.100 --> 00:11:46.800]   like you're a part of something that you're not,
[00:11:46.800 --> 00:11:48.420]   and that's how you catch the people.
[00:11:48.420 --> 00:11:51.580]   What is the process of buying or selling a child?
[00:11:51.580 --> 00:11:55.540]   - So, like, purchasing a child, like, you know,
[00:11:55.540 --> 00:11:57.900]   some of your previous guests have talked about,
[00:11:57.900 --> 00:12:00.380]   it's almost as easy as doing online stuff.
[00:12:00.380 --> 00:12:05.380]   And so, to be able to go online and look through
[00:12:05.380 --> 00:12:08.860]   these different sites that advertise daily,
[00:12:08.860 --> 00:12:12.740]   you know, new to your area, this much an hour,
[00:12:12.740 --> 00:12:16.820]   these are the services, I mean, it's super easy to find.
[00:12:16.820 --> 00:12:20.460]   And we would go on there, we would comb those websites,
[00:12:20.460 --> 00:12:22.980]   looking for phone numbers, looking for pictures,
[00:12:22.980 --> 00:12:24.980]   all those kind of things, where we could determine
[00:12:24.980 --> 00:12:27.180]   if there was a child, and we'd set up a date
[00:12:27.180 --> 00:12:30.580]   and then try to arrest the trafficker.
[00:12:30.580 --> 00:12:33.340]   We did one of those operations and we were able,
[00:12:33.340 --> 00:12:36.620]   and it wasn't designed as, like, a prostitution thing
[00:12:36.620 --> 00:12:39.020]   to arrest the girl, it was to identify her
[00:12:39.020 --> 00:12:42.580]   and get her into victim services and those kind of things,
[00:12:42.580 --> 00:12:46.340]   and then to try to follow up and arrest the traffickers.
[00:12:46.340 --> 00:12:50.540]   And the, there's one operation I remember,
[00:12:50.540 --> 00:12:52.100]   it was one of the first ones I did,
[00:12:52.100 --> 00:12:56.340]   that we identified, I think it's eight people in one night.
[00:12:56.340 --> 00:13:01.340]   And of those eight people, six of them
[00:13:01.340 --> 00:13:06.920]   were previously documented survivors of child sex abuse.
[00:13:06.920 --> 00:13:11.200]   So you see how it feeds into each other.
[00:13:11.200 --> 00:13:12.860]   - Yeah, yeah, yeah.
[00:13:12.860 --> 00:13:13.700]   - And then--
[00:13:13.700 --> 00:13:14.620]   - So you're saying the same people
[00:13:14.620 --> 00:13:18.260]   that were participating in this type of stuff,
[00:13:18.260 --> 00:13:20.660]   this same thing happened to them when they were younger?
[00:13:20.660 --> 00:13:23.180]   - No, no, no, sorry, the victims that we identified,
[00:13:23.180 --> 00:13:25.440]   eight of 'em, the people who find themselves
[00:13:25.440 --> 00:13:27.460]   being victimized by human traffickers
[00:13:27.460 --> 00:13:30.420]   often are the survivors of child sex abuse.
[00:13:30.420 --> 00:13:32.360]   - Oh, got you.
[00:13:32.360 --> 00:13:34.440]   Wow, that's crazy.
[00:13:34.440 --> 00:13:39.620]   Do you, so some of the more mainstream kind of things
[00:13:39.620 --> 00:13:42.340]   that have hit the news in terms of, you know,
[00:13:42.340 --> 00:13:45.700]   that whole child trafficking has been the Wayfair thing
[00:13:45.700 --> 00:13:49.220]   and the Pizzagate thing, so-called conspiracy theories.
[00:13:49.220 --> 00:13:54.140]   You as an undercover guy, how plausible are those
[00:13:54.140 --> 00:13:56.940]   like mega things where they're selling, you know,
[00:13:56.940 --> 00:13:59.620]   a piece of furniture but it's disguised as a child,
[00:13:59.620 --> 00:14:00.440]   things like that?
[00:14:00.440 --> 00:14:04.300]   - So, and I hope I'm not offensive to you at all,
[00:14:04.300 --> 00:14:08.360]   but it's complete bullshit and it wastes our time.
[00:14:08.360 --> 00:14:11.280]   Because congressional people hear that,
[00:14:12.240 --> 00:14:16.280]   news media hears that, and then our agency
[00:14:16.280 --> 00:14:18.560]   gets all these requests dumped into like,
[00:14:18.560 --> 00:14:19.980]   why aren't you doing more about this?
[00:14:19.980 --> 00:14:21.320]   Why aren't you doing more about that?
[00:14:21.320 --> 00:14:23.280]   And we're answering these questions
[00:14:23.280 --> 00:14:26.440]   instead of actually going out and doing our job
[00:14:26.440 --> 00:14:28.540]   and finding kids that are being abused.
[00:14:28.540 --> 00:14:32.700]   Because unfortunately, like I was saying,
[00:14:32.700 --> 00:14:38.040]   most of the time, this isn't an abduction off the street.
[00:14:38.040 --> 00:14:43.040]   Like that, if, do you know who Elizabeth Smart is?
[00:14:43.040 --> 00:14:46.840]   Have you heard of that story?
[00:14:46.840 --> 00:14:47.680]   - I haven't.
[00:14:47.680 --> 00:14:51.480]   - So, it was in the late '90s, early 2000s,
[00:14:51.480 --> 00:14:52.980]   girl kidnapped from her house.
[00:14:52.980 --> 00:14:58.920]   For years, one of the top stories in the media,
[00:14:58.920 --> 00:15:01.560]   a girl being kidnapped in Utah.
[00:15:01.560 --> 00:15:06.320]   If there's a girl in Denver today who got snatched
[00:15:06.320 --> 00:15:08.560]   out of a grocery store,
[00:15:08.560 --> 00:15:11.140]   what would the local police's response be?
[00:15:11.140 --> 00:15:13.080]   - I don't know, you tell me.
[00:15:13.080 --> 00:15:16.040]   - It would be helicopters, there'd be news media.
[00:15:16.040 --> 00:15:16.880]   - You think?
[00:15:16.880 --> 00:15:21.280]   - Every cop around would be searching for this kid.
[00:15:21.280 --> 00:15:23.600]   - So, what about the Amber Alerts on your phone?
[00:15:23.600 --> 00:15:25.880]   - So, most of the Amber Alerts on your phone
[00:15:25.880 --> 00:15:27.720]   are parental abductions.
[00:15:27.720 --> 00:15:30.060]   So, there's a disagreement between parents
[00:15:30.060 --> 00:15:32.720]   and one parent who shouldn't have the kid takes the child.
[00:15:32.720 --> 00:15:33.720]   - Gotcha.
[00:15:33.720 --> 00:15:36.040]   - That's probably 90% of the Amber Alerts.
[00:15:36.040 --> 00:15:40.160]   If you look at missing kids in the National Center
[00:15:40.160 --> 00:15:42.480]   for Missing and Exploited Children,
[00:15:42.480 --> 00:15:44.680]   probably 98% of them are runaways.
[00:15:44.680 --> 00:15:50.840]   And the perception that kids are getting trafficked
[00:15:50.840 --> 00:15:54.180]   on Wayfair and stuff like that,
[00:15:54.180 --> 00:15:56.880]   it diminishes our capacity to respond
[00:15:56.880 --> 00:15:59.720]   to what I believe is the true problem,
[00:15:59.720 --> 00:16:04.720]   which is kids are getting abused by their father,
[00:16:04.720 --> 00:16:07.800]   their priest, their coach, their that,
[00:16:07.800 --> 00:16:12.480]   and it sets them into a downward spiral of drug addiction,
[00:16:12.480 --> 00:16:14.480]   going into being trafficked.
[00:16:14.480 --> 00:16:18.580]   Like, you know, Kat described a traumatic home life
[00:16:18.580 --> 00:16:21.480]   led her into seeking things in other places,
[00:16:21.480 --> 00:16:26.480]   and she got conned in by a trafficker,
[00:16:27.080 --> 00:16:30.280]   and that's 99% of the problem.
[00:16:30.280 --> 00:16:32.680]   - Okay, so now let's circle back a little bit
[00:16:32.680 --> 00:16:36.260]   to just the statistics that come out
[00:16:36.260 --> 00:16:40.060]   about all the missing children year after year,
[00:16:40.060 --> 00:16:42.260]   not only in the United States, but worldwide.
[00:16:42.260 --> 00:16:46.260]   So, you kind of are making a sound right now,
[00:16:46.260 --> 00:16:48.440]   like if that does happen, it's such an anomaly,
[00:16:48.440 --> 00:16:52.520]   and the police react so forcefully,
[00:16:52.520 --> 00:16:54.800]   and they get their, you know, the helicopters and things,
[00:16:54.800 --> 00:16:56.760]   but when I'm looking up these stats,
[00:16:56.760 --> 00:16:58.680]   it seems like it's happening a lot more
[00:16:58.680 --> 00:17:00.420]   than people are giving it credit for.
[00:17:00.420 --> 00:17:01.680]   What are your thoughts on that?
[00:17:01.680 --> 00:17:06.680]   - So, I think that statistics drive money,
[00:17:06.680 --> 00:17:12.560]   and you can make a statistic say what you want it to say,
[00:17:12.560 --> 00:17:18.360]   and as far as kids not getting abducted off the streets,
[00:17:18.360 --> 00:17:21.160]   I'm specifically talking about the U.S.,
[00:17:21.160 --> 00:17:25.480]   and most civilized countries, that in a heartbeat,
[00:17:25.480 --> 00:17:28.800]   there would be an enormous law enforcement response.
[00:17:28.800 --> 00:17:30.400]   Like, I don't know if you have any other friends
[00:17:30.400 --> 00:17:32.400]   or cops, just ask 'em, what would happen
[00:17:32.400 --> 00:17:36.080]   if a kid got reported abducted, not missing?
[00:17:36.080 --> 00:17:38.800]   So, so many kids are reported missing
[00:17:38.800 --> 00:17:41.440]   because they didn't come home that night,
[00:17:41.440 --> 00:17:45.800]   and a lot of times, that's never cleared off the books
[00:17:45.800 --> 00:17:47.360]   if they come back in three days,
[00:17:47.360 --> 00:17:48.680]   'cause the parent doesn't report,
[00:17:48.680 --> 00:17:50.920]   oh, you know, my child ran away,
[00:17:50.920 --> 00:17:54.040]   and so then that's a statistic for a missing child,
[00:17:54.040 --> 00:17:55.640]   'cause it never got resolved.
[00:17:55.640 --> 00:17:59.320]   And so, people look for statistics because,
[00:17:59.320 --> 00:18:02.640]   and unfortunately, there's a lot of money
[00:18:02.640 --> 00:18:05.160]   that flows to it because of people like you
[00:18:05.160 --> 00:18:09.000]   who are genuinely concerned and wanna do something about it,
[00:18:09.000 --> 00:18:11.200]   and when people are genuinely concerned
[00:18:11.200 --> 00:18:14.120]   and they wanna contribute, then there's always people
[00:18:14.120 --> 00:18:17.560]   who come in and start these charities or non-profits,
[00:18:17.560 --> 00:18:21.680]   and they spin out new statistics to raise money,
[00:18:21.680 --> 00:18:24.200]   and so you just have to be really careful
[00:18:24.200 --> 00:18:29.200]   on what organizations you try to donate to
[00:18:29.200 --> 00:18:32.160]   or support that are actually, I think,
[00:18:32.160 --> 00:18:36.040]   combating the real problems of child exploitation.
[00:18:36.040 --> 00:18:37.080]   - Gotcha.
[00:18:37.080 --> 00:18:39.440]   Sound of Freedom was a movie that came out recently,
[00:18:39.440 --> 00:18:42.920]   and it really caught a lot of people's attention.
[00:18:42.920 --> 00:18:46.020]   There was a positive and negative response to that movie.
[00:18:46.020 --> 00:18:50.200]   How kind of accurate is that,
[00:18:50.200 --> 00:18:54.240]   and what were your thoughts on that movie as a whole?
[00:18:54.240 --> 00:18:56.480]   - So, my thoughts on the movie as a whole
[00:18:56.480 --> 00:18:57.640]   was it was a good movie.
[00:18:57.640 --> 00:19:03.880]   Having worked the job, I was able to see that it was a movie.
[00:19:03.880 --> 00:19:04.880]   You know what I mean?
[00:19:04.880 --> 00:19:05.720]   - Yeah.
[00:19:05.720 --> 00:19:10.000]   - If you watched a movie about your career last year
[00:19:10.000 --> 00:19:12.480]   and winning a championship, there'd be a lot of things
[00:19:12.480 --> 00:19:14.560]   that were left out, there'd be some things
[00:19:14.560 --> 00:19:16.920]   that maybe were changed a little bit,
[00:19:16.920 --> 00:19:18.640]   or those kind of things.
[00:19:18.640 --> 00:19:21.940]   One of the things that I wish they had done better
[00:19:21.940 --> 00:19:26.560]   in the movie was that they portrayed Tim Ballard,
[00:19:26.560 --> 00:19:30.720]   who was an HSI agent, they portrayed him
[00:19:30.720 --> 00:19:33.600]   as doing every step of the investigations,
[00:19:33.600 --> 00:19:38.600]   and we are so dependent on being a part of a team
[00:19:38.600 --> 00:19:41.720]   that there's forensic interview specialists
[00:19:41.720 --> 00:19:44.560]   that interview children, there are analysts
[00:19:44.560 --> 00:19:48.520]   that run things for you, there are interview people,
