
[00:00:00.000 --> 00:00:19.040]   Hello everyone, there's a lot of interesting talks so thank you for being here. My name is Hubert,
[00:07:25.760 --> 00:07:30.720]   that case are molecules, you represent them in the latent space, which are embeddings effectively,
[00:07:30.720 --> 00:07:36.320]   and then you navigate the embeddings to optimize for that. So, for a given purpose. So, you have the
[00:07:36.320 --> 00:07:41.280]   latent space, and you want to extract the points which are the most interesting for your purpose,
[00:07:41.280 --> 00:07:46.320]   right? So, in our case, we are trying to extract the embeddings which are the most similar to the question,
[00:07:46.320 --> 00:07:53.280]   right? So, we do simple similarity. But in other domains, like chemistry, we run optimization over
[00:07:53.280 --> 00:07:58.720]   that latent space, and this is type of reasoning, really, right? So, I was like, aha, okay. So,
[00:07:58.720 --> 00:08:07.440]   kind of common theme is appearing here. Now, the question is, do you really know? Do you really
[00:08:07.440 --> 00:08:16.240]   need it? How do I know if my question is complex or not? So, we all know nearly in high stack, right?
[00:08:16.240 --> 00:08:25.280]   Test or experiment or benchmark. So, I'm not going to be focusing on that too much. So, let me go quite
[00:08:25.280 --> 00:08:31.280]   quickly, you know, like find the perfect ingredient, the ingredient to build the perfect pizza, right?
[00:08:31.280 --> 00:08:40.080]   And a little bit extended version of that is multi-needling high stack, discussed yesterday on
[00:08:40.080 --> 00:08:48.400]   one of the tracks as well, right? So, when you think about it, this is not only about the response which
[00:08:48.400 --> 00:08:52.880]   you're going to get, but this is also about the question and really relationship between the question
[00:08:52.880 --> 00:08:59.600]   and the response. And as I was saying, between more convoluted, semantically the question is,
[00:08:59.600 --> 00:09:03.440]   the harder it's going to be. So, how we can generalize it? And I was thinking about databases,
[00:09:03.440 --> 00:09:12.240]   right? I'm an engineer. So, one needle, one response, or one concept, one piece of information is like
[00:09:12.240 --> 00:09:18.880]   one-to-one relationship, like in databases. Then you have one-to-n, and then it appeared to my head that,
[00:09:18.880 --> 00:09:29.440]   okay, if I have a few concepts put together in one question, this is a multi-thing versus
[00:09:29.440 --> 00:09:35.040]   finding one needle. And then you can extend it still to a few concepts hidden in a few chunks of
[00:09:35.040 --> 00:09:39.760]   the document. So, really, you need to do a little bit more. You already see that, okay, you need to pass
[00:09:40.320 --> 00:09:46.080]   somehow the complexity of the question so that you can get the right embeddings extracted.
[00:09:46.080 --> 00:09:55.120]   And this is what kind of triggers your reasoning. If you have a few concepts in the question,
[00:09:55.120 --> 00:10:00.240]   you probably need the reasoning before the retrieval so that you know what to retrieve and how to do it.
[00:10:01.040 --> 00:10:11.600]   So, I was mentioning reasoning, right? So, what reasoning really is? And there are many views on
[00:10:11.600 --> 00:10:16.240]   that because, for example, we use chain of thought as a type of reasoning, right? But I'm thinking about
[00:10:16.240 --> 00:10:23.680]   reasoning as processing information in some logical way, right? So, we all know how we can do the aggregation,
[00:10:23.680 --> 00:10:30.080]   how we can do simple arithmetic over the data. We also know what's logical reasoning, right?
[00:10:30.080 --> 00:10:37.280]   So, there's also causal reasoning. If you extract specific entities from the data and causal relationships
[00:10:37.280 --> 00:10:44.720]   between them, you might ask LLM, okay, what more you can hypothesize about this data or what maybe you
[00:10:44.720 --> 00:10:50.560]   can deduce, right? And there are papers about it. And this kind of starts working. Then you have algorithmic
[00:10:50.560 --> 00:10:57.200]   reasoning, which I mentioned before. You have also probabilistic reasoning. So, we were trying to
[00:10:57.200 --> 00:11:02.720]   to make LLMs reason in a probabilistic fashion, right? Like a Bayesian inference. There's also
[00:11:02.720 --> 00:11:06.400]   structured way of reasoning. This is a little bit different from causal because you might have
[00:11:06.400 --> 00:11:12.080]   a structure and you can expect some kind of compositionality over that structure, right? So,
[00:11:13.760 --> 00:11:23.280]   And there's also, of course, Arc Kaggle competition recently released with $1 million price for closer
[00:11:23.280 --> 00:11:29.680]   getting to AGI, right? This is reasoning over geometry. That's why it's so challenging because this is not
[00:11:29.680 --> 00:11:40.000]   typical type of reasoning, right? So, why am I saying this? Because usually what we do, we expect LLMs to
[00:11:41.760 --> 00:11:48.400]   perform all of these reasoning well, all of these reasoning well. And do we really need LLMs for that?
[00:11:48.400 --> 00:11:55.440]   Probably, yes, or maybe not. But you can also delegate these reasoning types to specific tools,
[00:11:55.440 --> 00:12:01.360]   which are specialists in that. So, you can do causal inference with libraries for causal inference.
[00:12:01.360 --> 00:12:06.640]   You can do algorithmic reasoning with specific Python, right? That's why we have a
[00:12:07.520 --> 00:12:13.040]   REPL as a tool, right? Attached to your agent so that you can generate the code. And this is
[00:12:13.040 --> 00:12:14.720]   this is kind of algorithmic reasoning, right?
[00:12:14.720 --> 00:12:21.920]   So, let's try to come back to the problem and think how we can solve it, really, right?
[00:12:21.920 --> 00:12:26.480]   So, we want to find the cause of these three phenomena. And we define the type of reasoning,
[00:12:26.480 --> 00:12:32.000]   the type of retrieval, which is the relation between question and an answer.
[00:12:33.280 --> 00:12:39.200]   And the particularities in our case are also that we are not, we don't want to build a rack to
[00:12:39.200 --> 00:12:45.600]   respond many different questions over specific data set, but we want to respond really one question,
[00:12:45.600 --> 00:12:50.000]   right? And this is the question. We want to respond this really one question and we want to
[00:12:50.000 --> 00:12:55.360]   process our data set as many times as we possibly can so that we extract all of the relevant themes in
[00:12:55.360 --> 00:13:05.360]   that. So, but the trick here is that LLMs during training have seen Wikipedia. So, they know about
[00:13:05.360 --> 00:13:11.120]   this problem and RNA inference because it happened in 1998. So, we need the groundedness, right? And this
[00:13:11.120 --> 00:13:17.360]   is another aspect of it. So, when you think about different methods and where you are in your specific
[00:13:17.360 --> 00:13:23.680]   use case in that computational efficiency versus groundedness, you immediately see,
[00:13:23.680 --> 00:13:28.560]   okay, which approaches might be more suitable for my case. And as I'm going to show you later on,
[00:13:28.560 --> 00:13:34.880]   relevant classifier is one of the main things which we use because we can process all of the data set.
[00:13:37.440 --> 00:13:46.240]   So, overall designing choices, you can see here, and this depends usually upon your specific question
[00:13:46.240 --> 00:13:52.000]   you have, the reasoning you need, the relationship between question and answering, and another aspect
[00:13:52.000 --> 00:14:02.640]   like groundedness versus efficiency. So, when we have defined what type of question that is, so how we
[00:14:02.640 --> 00:14:08.720]   really want to test whether our solution is capable of doing this kind of discovery, right? So, you state
[00:14:08.720 --> 00:14:13.520]   the question, you define the type of question, but then you need to do the knowledge cutoff, which is
[00:14:13.520 --> 00:14:19.440]   basically you need to remove from the LLM the knowledge about the discovery. So, what we do, we use RAC
[00:14:19.440 --> 00:14:27.280]   and in that RAC we have only the scientific papers from before the discovery, right? So, that it doesn't cheat.
[00:14:27.280 --> 00:14:33.440]   So, we present it in the state of the situation, which was before the discovery, so that it can, we can simulate
[00:14:33.440 --> 00:14:41.600]   that situation, right? And this is kind of a training, you can think about it as an agent training in that specific,
[00:14:41.600 --> 00:14:46.880]   on that specific scientific problem, on that specific data set, and the overarching goal is to
[00:14:46.880 --> 00:14:53.520]   have a system which would be able to make those discoveries on many different scientific problems
[00:14:53.520 --> 00:14:56.000]   and applying this the same the same scheme.
[00:14:56.000 --> 00:15:06.640]   Now, the question is, how do we define the success of this experiment? So, the first level of success
[00:15:06.640 --> 00:15:15.040]   would be, okay, find some hypothesis or what we really know from this data set, right? So, it's not
[00:15:15.040 --> 00:15:20.640]   that we are asking specific questions. We want RAC to extract, okay, what do you know about this
[00:15:20.640 --> 00:15:27.840]   specific, anything related really to that problem? And don't read the text, forgive me the amount of
[00:15:27.840 --> 00:15:34.880]   text on these slides, but look at the graph, right? So, we want RAC to find those relationships between
[00:15:34.880 --> 00:15:41.760]   different facts in our data set. Then the next level would be to find like less obvious links, because
[00:15:42.480 --> 00:15:48.000]   you remember there were three different subdomains of biology, right? So, those linkages are not obvious.
[00:15:48.000 --> 00:15:54.320]   So, we wanted to get a little bit further. Ideally, if it's exhaustive, so finding all of the
[00:15:54.320 --> 00:16:03.200]   facts from the data set, right? And the next level would be making new hypotheses, right? Which would be,
[00:16:03.200 --> 00:16:10.160]   okay, if I see this, I can go maybe one step further and hypothesize about a new relationship.
[00:16:10.160 --> 00:16:16.000]   And the ideal situation, or like the high level of success, I'm not expecting to have this
[00:16:16.000 --> 00:16:22.400]   anytime soon. Otherwise, we're going to meet in Sweden. But this is really about finding not only
[00:16:22.400 --> 00:16:28.960]   what can be, what is related between those different facts in the literature, but also explaining how that
[00:16:28.960 --> 00:16:33.440]   happens. And the interesting thing is that when the discovery happened, made by humans,
[00:16:33.440 --> 00:16:38.240]   we didn't know how it was happening. We know what was happening, but we didn't know how.
[00:16:38.240 --> 00:16:44.640]   Okay, so the last part, I'm going to go quite quickly, because I have just a less than two minutes.
[00:16:44.640 --> 00:16:50.320]   So, the naive RAC, we all know. I'm going to show a very, very, very nice trick, which is not very prevalent,
[00:16:51.120 --> 00:16:57.840]   actually. Because when you have the distances, similarities between the question embedding and
[00:16:57.840 --> 00:17:03.040]   the embedding in your database, you might ask yourself, of course, how many embeddings are,
[00:17:03.040 --> 00:17:08.480]   how many chunks are enough, right? Really. But you can do it, think about it mathematically. Because if you,
[00:17:08.480 --> 00:17:14.560]   if you see those distances, you can calculate the variances within the different clusters
[00:17:15.120 --> 00:17:22.480]   of those embeddings and between them. So this is called Jenkins natural breaks, very simple thing to do.
[00:17:22.480 --> 00:17:29.600]   And you can extract the top top cluster, which would be kind of representing the lowest variance between
[00:17:29.600 --> 00:17:34.880]   between the chunks extracted. So they are kind of telling you that the probably the giving you the most
[00:17:34.880 --> 00:17:43.840]   information, right? There is a snippet how you can do it. I'm going to go quite quickly. In this case,
[00:17:43.840 --> 00:17:50.320]   we got we then got the ground as well, because it was using the knowledge from from after the discovery.
[00:17:50.320 --> 00:17:58.080]   So we need to make the prompt stronger, right? So we call it strict prompting. And then it got better,
[00:17:58.080 --> 00:18:03.920]   right? And then what we do, we did the relevance classifier, which is really passing all of the chunks
[00:18:03.920 --> 00:18:08.960]   in our data set through the LLM and asking whether this is relevant to our problem. Unfortunately,
[00:18:08.960 --> 00:18:15.760]   that wasn't very much informative, because it was kind of redundant to distance of the from the embeddings,
[00:18:15.760 --> 00:18:22.960]   right? There was a discussion yesterday about it. But when we when we did the analysis of how relevant
[00:18:22.960 --> 00:18:31.360]   each paper is in the context of hypothesis advancing, so we built a more sophisticated prompt and thinking
[00:18:31.360 --> 00:18:36.640]   about a little bit more about the scientist. This is when we got the hypothesis a little bit further,
[00:18:36.640 --> 00:18:42.400]   right? So it found us all of the hypothesis in the literature related to DNA, but one to the RNA,
[00:18:42.400 --> 00:18:46.800]   and this is the right one, right? So we see already that it's going in the right direction. I'm going to skip it
[00:18:46.800 --> 00:18:52.400]   in the interest of time, you're going to have access to it. So my point here is when we started doing this reasoning over
[00:18:53.520 --> 00:18:58.880]   the question and the database before the retrieval, we started getting closer to the results,
[00:18:58.880 --> 00:19:04.640]   which are ground true results without cheating. So the conclusion is scientific discovery requires
[00:19:04.640 --> 00:19:10.400]   solving harder than simple Q&A problems. Knowing your problem can help define more efficient rack
[00:19:10.400 --> 00:19:14.560]   architecture. Needle in the high stack might be generalized. I'm not saying that this is like
[00:19:14.560 --> 00:19:19.440]   the best way of doing it, but this is already you see something new and interesting and harder problems
[00:19:19.440 --> 00:19:26.320]   might need reasoning, right? And of course you cannot forget about the brute force because if you have
[00:19:26.320 --> 00:19:33.280]   the use case where you can do it, check your LLM, maybe it's going to do better than the distance embeddings.
[00:19:35.440 --> 00:19:43.520]   So thank you very much for giving me rushing, I hope this has helped.
[00:19:43.520 --> 00:19:59.520]   Thank you.

