
[00:00:00.000 --> 00:00:04.320]   student nova it's an accredited private school everything from foreign languages to
[00:04:54.160 --> 00:04:59.600]   groups and i actually went to a lot of christian um tables so i introduced myself i was like hi you
[00:04:59.600 --> 00:05:05.120]   know and i think most people assume you're christian already so you know i didn't really make meaningful
[00:05:05.120 --> 00:05:10.400]   connections but then i get to get a flyer for welcome night and it's susan iskandar from minnesota
[00:05:10.400 --> 00:05:14.880]   and she's warm and friendly and engages me and i write on that flyer like i have to go to this one
[00:05:14.880 --> 00:05:20.720]   and then i wanted to be a teacher at that time so she walked me over to the table and i met emily kim
[00:05:20.720 --> 00:05:26.000]   who was in grad school to be a teacher at that time i thought she was like the coolest person so i wrote
[00:05:26.000 --> 00:05:32.560]   i was like must go to this group you know like cool people so i went to welcome night i was really
[00:05:32.560 --> 00:05:39.440]   blown away yeah by the messages so i think most of my freshman year i mostly only came for the content
[00:05:39.440 --> 00:05:44.800]   and then i left right after because i had other friends other activities they were really cool but
[00:05:44.800 --> 00:05:49.600]   i don't want to hang out with them yeah i did you know go to their place and stuff but it was just like
[00:05:49.600 --> 00:05:55.600]   but i always made sure i made it to the bible study and then eventually to church um so pastor ed was
[00:05:55.600 --> 00:06:02.320]   teaching like i just soaked everything up i thought the truths were so profound and it described life
[00:06:02.320 --> 00:06:10.080]   you know as i had experienced it so i didn't know what i didn't have the word sin in my vocabulary
[00:06:10.080 --> 00:06:16.640]   but i had experienced the effects of sin you know and so when pastor ed put a label on it and described
[00:06:16.640 --> 00:06:21.760]   you know our brokenness i just thought that's so true like this is exactly what i experienced
[00:06:21.760 --> 00:06:28.640]   and then that experience of like yeah god is like this father you know and so it took course 101
[00:06:28.640 --> 00:06:34.640]   the middle of freshman year i became a christian um and then it was kind of was it like a special event
[00:06:34.640 --> 00:06:40.160]   or anything it was just kind of it was a sunday sunday service yeah just i forget exactly the passage
[00:06:40.800 --> 00:06:48.000]   you know it's one of those like like i'm ready like i'm ready like i understand um yeah and then
[00:06:48.000 --> 00:06:54.480]   then that that's it yeah for like did you um become christian or church was it before like
[00:06:54.480 --> 00:07:00.000]   what was kind of that spiritual journey like for you through college yeah i think growing up going to
[00:07:00.000 --> 00:07:06.480]   church i came into college uh looking for independence and freedom and kind of looking to walk away um in
[00:07:06.480 --> 00:07:11.920]   some ways and at least open to the idea very open to the idea but before i walked away i felt like i
[00:07:11.920 --> 00:07:17.680]   should at least figure out to see it um whether or not there's any merit to it and so i took course 101
[00:07:17.680 --> 00:07:25.360]   and um pastor ed's messages uh they were unusual to me in a lot of ways um but i got at least one thing
[00:07:25.360 --> 00:07:31.120]   most of the time but the thing that struck me the most was just the authenticity with the way uh
[00:07:31.120 --> 00:07:36.400]   in the way that people lived out their faith and so that struck me and that kept me coming to see
[00:07:36.400 --> 00:07:42.480]   like there must be something here um i took a little bit longer and so i made my clear salvation
[00:07:42.480 --> 00:07:46.960]   decision in my junior year so it was probably kind of right around the same time since we're two years
[00:07:46.960 --> 00:07:53.360]   apart yeah but i think my junior year was the time where i really saw my sinfulness for the first time
[00:07:53.360 --> 00:08:00.640]   clearly and owned it for myself knew that i couldn't fix it on my own through just my own like ability to
[00:08:00.640 --> 00:08:06.960]   work around it or to stop it and then um that's when the cross became um the most meaningful to me so
[00:08:06.960 --> 00:08:13.280]   so you guys been doing by vocational ministry for gosh how long for you now since 2002 so that's
[00:08:13.280 --> 00:08:19.840]   over 20 years 22 years now yeah so i have a working a full-time job yeah what did you guys do before
[00:08:19.840 --> 00:08:24.880]   becoming fit like so i was i'll go first because it's not as impressive
[00:08:24.880 --> 00:08:32.080]   i was a teacher um and then i became a technical writer um and how i got that job was
[00:08:32.080 --> 00:08:39.840]   Eunice they wanted to hire Eunice she's like i can't take Eunice Kim she's like um i'm about to like go plant a
[00:08:39.840 --> 00:08:46.640]   church so you can't hire me but i know this sister and then i go to the job interview and on my resume
[00:08:46.640 --> 00:08:54.160]   it's like i wrote for our website yeah they're like you write for pastor ed i was like yeah but it turns
[00:08:54.160 --> 00:08:59.840]   out like they went hiring the hiring manager knew of pastor yeah because pastor spoke at a retreat
[00:09:00.400 --> 00:09:07.920]   for like a korean church when they were in college or postgrad so then i got the job so that's how i
[00:09:07.920 --> 00:09:13.680]   made the transition from teaching to writing yeah oh actually that's interesting because my first job
[00:09:13.680 --> 00:09:20.960]   out of college i got through genie oh oh you did i did the video side of her tech writing wow i forgot
[00:09:20.960 --> 00:09:27.040]   about that but yeah that's uh it's interesting it's all about it's all about who you know yeah oh i
[00:09:27.040 --> 00:09:33.120]   guess i should thank my dad i guess that's interesting um and then yeah sure um after college i went to
[00:09:33.120 --> 00:09:39.120]   law school and i worked as an attorney um most recently i worked as for the state as an administrative
[00:09:39.120 --> 00:09:44.880]   law judge um and yep that's what it is is it true that you would show up to like all the college events
[00:09:44.880 --> 00:09:51.760]   with your suit yeah like your first like your judge no no no no this is the first few years where i had
[00:09:51.760 --> 00:09:56.880]   to wear a suit to work every day okay and i was working long hours so right when i got out of the
[00:09:56.880 --> 00:10:02.560]   office i would head straight to berkeley go to campus and just participated in whatever we were doing that
[00:10:02.560 --> 00:10:08.000]   day and so if it was bible study i'd go to bible study in my suit if it was dining hall outreach i'd do
[00:10:08.000 --> 00:10:14.000]   that in my suit if it was ultimate frisbee i'd roll up my sleeves roll up my pant legs and just run out
[00:10:14.000 --> 00:10:19.360]   there with a lot of suits with all the freshmen yeah probably outran a lot yeah so you guys oh
[00:10:19.360 --> 00:10:25.200]   go now i was just gonna say funny story about the suit thing so when we first started dating we i mean
[00:10:25.200 --> 00:10:29.840]   i knew of him we didn't know each other that well so and he called me i was like oh sure why not because
[00:10:29.840 --> 00:10:35.440]   i knew him as like someone that was like a hard-working brother in our midst but anyway we go to our first
[00:10:35.440 --> 00:10:41.760]   date and he's like in a suit and tie and i didn't know that he wore it all the time for work you know so i'm
[00:10:41.760 --> 00:10:49.120]   like feeling really confident like wow like this guy's a tryhard he's trying really hard he's just
[00:10:49.120 --> 00:10:55.360]   trying hard and that's what she liked he must be really into me right so that so it was a good first
[00:10:55.360 --> 00:10:59.440]   impression it was good because you know i was kind of nervous you know and then i was like i'm feeling
[00:10:59.440 --> 00:11:05.760]   confident okay i think it's gonna go well were you able to tell yeah like this girl's no i was really
[00:11:05.760 --> 00:11:12.960]   nervous too you know right right after i did yeah and then i was like he wears a suit everywhere he goes
[00:11:12.960 --> 00:11:19.360]   even when he really should not be in a suit yeah that's true wow wow i think the guys listening to
[00:11:19.360 --> 00:11:25.920]   this podcast should take notes they should wear a suit on your first date yeah yeah so you guys well
[00:11:25.920 --> 00:11:33.440]   let's talk about that a little bit so your guys relationship so um best and worst date story do
[00:11:33.440 --> 00:11:42.960]   you guys have any fun ones hmm oh yeah worst date okay i can't mind quick you know we were i mean
[00:11:42.960 --> 00:11:48.720]   we were pretty in a busy season of life so like i worked a teaching job it was like a one hour commute
[00:11:48.720 --> 00:11:53.920]   he was at a really hard law firm and we were both busy with ministry so it was hard to like plug in time
[00:11:53.920 --> 00:11:58.080]   you know so there was like a stretch where it was like okay let's find a time to me just couldn't
[00:11:58.080 --> 00:12:05.360]   figure out time so he's like let's meet before like jcc practice right okay yeah like on saturday
[00:12:05.360 --> 00:12:11.840]   morning right he's like let's meet at 6 30 a.m for breakfast and i'm like i'm not a morning person
[00:12:11.840 --> 00:12:19.680]   so that for me that was like the worst day i'm like i never want to do this ever again i'd rather not
[00:12:19.680 --> 00:12:26.240]   see you let's see you at 6 30 in the morning yeah but that was saturday morning you know friend yeah
[00:12:26.240 --> 00:12:32.160]   i thought you were going to talk about the the the day that i proposed that was the worst no no well
[00:12:32.160 --> 00:12:38.720]   okay no no that was it was inconvenient but that was also the date where um yeah we had to meet for
[00:12:38.720 --> 00:12:44.880]   breakfast so it was like 6 30 or 7 but i had to pull the trailer for jcc practice okay so i woke up
[00:12:44.880 --> 00:12:49.920]   earlier pulled the trailer to willard yeah dropped it off and then went back to when i found out about
[00:12:49.920 --> 00:12:56.400]   that then i was like wow you know you're awesome so i dropped off this anyway yeah but then uh the day
[00:12:56.400 --> 00:13:03.920]   that i was going to propose okay so we went to um that you know that walkway off at the bay and bay farm
[00:13:03.920 --> 00:13:09.360]   yeah yeah right right along the coast and then i was like hey let's meet up you know it's like okay and
[00:13:09.360 --> 00:13:16.240]   then she was supposed to help i was helping the sister move and it was just me and my like suv
[00:13:16.240 --> 00:13:21.120]   she's like i don't have a lot of stuff i have like five boxes and i get there she has like a ton of
[00:13:21.120 --> 00:13:28.400]   stuff it took me like four hours and i'm moving it like by myself no elevator up no elevator up like two
[00:13:28.400 --> 00:13:34.720]   flights of stairs so i'm like i don't want to meet today i'm like hi i'm 20 like i just moved like right
[00:13:34.720 --> 00:13:40.560]   like four trips for this little girl he's like no i really want to i was like okay you know
[00:13:40.560 --> 00:13:47.680]   so he had no idea it was coming no i didn't know i was just like okay he must have no other time this
[00:13:47.680 --> 00:13:54.720]   week to meet me you know but because we got engaged it washed away the yeah yeah yeah yeah
[00:13:54.720 --> 00:14:02.480]   that's so funny yeah that's so funny so that's funny so you have you have any like positive
[00:14:02.480 --> 00:14:08.400]   stories you want to balance that out with or yeah anytime you didn't meet i'm just like
[00:14:08.400 --> 00:14:13.200]   i did want to ask you a little bit more about like the bivocational ministry things so
[00:14:13.200 --> 00:14:20.320]   um just like as a college senior what was what what made you stick around and you know decided to do
[00:14:20.320 --> 00:14:25.760]   ministry here and for as long as you did two decades i guess for both of you um yeah what went into that
[00:14:25.760 --> 00:14:34.160]   decision i think um there were a few pivotal like moments in underground that really changed my like
[00:14:34.160 --> 00:14:40.400]   it was a paradigm shift for me um one of them was uh going on mission trip to japan you know and um not
[00:14:40.400 --> 00:14:46.560]   only just going on the mission trip but the summer the summer before i went um we sent a team and and
[00:14:46.560 --> 00:14:55.040]   just seeing how um japan could be the most efficient orderly you know society and yet produce so much
[00:14:55.040 --> 00:15:01.920]   lostness and brokenness amongst its people that really struck me you know and it and and then i had
[00:15:01.920 --> 00:15:07.200]   you know internships in college and things like that worked with like really smart successful people
[00:15:07.200 --> 00:15:11.920]   and when i took a look at what their lives were really about it was like just for the weekends it was
[00:15:11.920 --> 00:15:17.440]   like their wine collection or something like that and in my mind i was pretty ambitious as an undergrad
[00:15:17.440 --> 00:15:26.000]   but i was like man am i gonna burn all of my years and energy you know just to just for like a wine
[00:15:26.000 --> 00:15:31.440]   collection you know and i and so i just saw the emptiness of of that kind of life and and what
[00:15:31.440 --> 00:15:37.120]   that would look like you know 10 20 years down the line but also seeing that really society has no other
[00:15:37.120 --> 00:15:42.800]   answer you know um seeing how lost uh even the japanese people are you know and japanese college
[00:15:42.800 --> 00:15:48.320]   students and so um at that point i personally just felt like man yeah the gospel is the hope of the
[00:15:48.320 --> 00:15:53.200]   world you know and so it's just something that i wanted to commit to doing and i haven't seen
[00:15:53.200 --> 00:16:01.760]   ministry done anywhere else like our church does you know um and so i just wanted to be a part of that you
[00:16:01.760 --> 00:16:08.880]   know to experience um the way that god was um reaching people um at our church um in a way that
[00:16:08.880 --> 00:16:14.080]   i hadn't seen in any other way and so um yeah i i was thrilled to be a part of that what year was
[00:16:14.080 --> 00:16:21.280]   that when you went to japan uh i went in i went the summer of 2001 was that the famous olympic center
[00:16:21.280 --> 00:16:26.480]   no no no no no i went for the whole summer actually oh wow so it wasn't just a two-week thing but i got
[00:16:26.480 --> 00:16:31.280]   to go for the whole summer i lived at uh tony sun's house oh that's when they were there yeah that was
[00:16:31.280 --> 00:16:37.920]   when yeah and so stefan and philip were like little yeah you know runs running around there um
[00:16:37.920 --> 00:16:42.640]   but we had a lot of fun and it was uh it was a really wonderful experience uh yeah so
[00:16:42.640 --> 00:16:51.680]   yeah i think my um choice to stay at college it was like more tenuous you know yeah i actually left
[00:16:51.680 --> 00:16:55.920]   so i went four and a half years in college and then i went home for a semester because
[00:16:55.920 --> 00:17:00.640]   to help my family out yeah um and then i wasn't sure if i was going to actually come back to our church
[00:17:00.640 --> 00:17:07.920]   but then i got to grad school and then i came back um but i think it was over time so you asked earlier
[00:17:07.920 --> 00:17:14.640]   like people we ministered to i think it was as i was doing ministry that my heart for college ministry
[00:17:14.640 --> 00:17:21.200]   specifically grew so you know i'm the only christian in my family and so that was like a big burden yeah
[00:17:21.200 --> 00:17:26.880]   um college ministry i wasn't sure like i would be really into that i love like children you know i
[00:17:26.880 --> 00:17:33.520]   wanted to be a teacher enjoy youth so so it wasn't the demographic but i knew that i wanted to do some
[00:17:33.520 --> 00:17:39.040]   kind of ministry so you know in undergrad i read about like heroes of faith and so that was always in
[00:17:39.040 --> 00:17:44.960]   my mind yeah i'm a christian i want to share the gospel um but yeah staying at our church serving
[00:17:44.960 --> 00:17:53.200]   like that was kind of like i'm not sure you know like i still had trouble with like just church life
[00:17:53.200 --> 00:17:57.520]   because it was just you know at the end of the day like it was not something i was used to
[00:17:57.520 --> 00:18:04.960]   you know for most of my life and i don't know if anyone's yeah yeah so but as i grew you know some
[00:18:04.960 --> 00:18:12.640]   of the first classes was one class that stands out to me is like 2014 like helen zoo casey um they were
[00:18:12.640 --> 00:18:18.960]   so fun like i had so much every day yeah i had so much fun with them we had like road trips and they were
[00:18:18.960 --> 00:18:27.840]   you know just kind of um helping them grow um really saw helped me see yeah just how um fulfilling
[00:18:27.840 --> 00:18:33.120]   you know sharing the gospel and leading people and then also as i got older and more mature i realized
[00:18:33.120 --> 00:18:39.920]   like how much was given to me i think that took me time to see um and seeing how yeah if i had not
[00:18:39.920 --> 00:18:47.920]   you know been like a recipient of so so much of people's sacrifices from people that ministered to me to
[00:18:47.920 --> 00:18:53.920]   people that just gave to the environment you know like tithe so that we could have like these home
[00:18:53.920 --> 00:18:59.760]   getaway homes or you know even i remember like pastor donathan giving up like harvard and that
[00:18:59.760 --> 00:19:05.440]   like set a new standard for me like wow he he could have done that but he's here and he's preaching and
[00:19:05.440 --> 00:19:13.680]   he's teaching and you know um and yeah passing on wisdom you know to people like me you know and so i think
[00:19:13.680 --> 00:19:19.840]   as i just matured my convictions grew um but it definitely it was kind of like i'll try it out
[00:19:19.840 --> 00:19:25.840]   and see how it goes for for a little while wow i really yeah i love how in both your stories sort of
[00:19:25.840 --> 00:19:30.160]   cover the gamut you know that there's people who like right away like i know this is what i want to
[00:19:30.160 --> 00:19:34.640]   do and i want to be part of that you know and you have an experience of being disillusioned by you
[00:19:34.640 --> 00:19:39.520]   know working life you're on a mission trip well often part of that story and then you realize wow this is
[00:19:39.520 --> 00:19:43.520]   what i want to do and then you got like the i'm not really sure about this there's some real things
[00:19:43.520 --> 00:19:48.160]   i'm not used to and i don't know and you kind of go in going maybe a year you know i'll just test it
[00:19:48.160 --> 00:19:52.560]   out and then your heart gets really you know captured by ministry and seeing people transform
[00:19:52.560 --> 00:19:56.960]   and i think um i think there's a lot there that uh everyone in our network can identify with and
[00:19:56.960 --> 00:20:01.520]   encourage um maybe you can speak into a little bit just a one more thing on this bivocational thing
[00:20:01.520 --> 00:20:08.960]   um you know uh 22 years that's a long time so what are some things that like like were challenging
[00:20:08.960 --> 00:20:14.080]   about it and then like got better like over time like maybe in a long-term view or or yeah just
[00:20:14.080 --> 00:20:17.360]   something that where you could speak to someone who's maybe in the thick of that challenge if you
[00:20:17.360 --> 00:20:22.240]   like it gets better you know like we're like you know encourage them a little bit you know yeah yeah
[00:20:22.240 --> 00:20:27.520]   oh yeah i'll be honest because i want to encourage some sisters out there
[00:20:28.720 --> 00:20:35.920]   you know um like i was a mess of a person in college right like my room like i had my laundry
[00:20:35.920 --> 00:20:41.680]   on my bed you know and then when i had to go to sleep sometimes i'd put on my desk it was like back up
[00:20:41.680 --> 00:20:48.880]   you know it was like i just could not keep track of my schedule like i just couldn't get life done
[00:20:48.880 --> 00:20:54.240]   just some guys are like this too okay yeah that does not make me feel better you know that some guys are
[00:20:54.240 --> 00:21:00.080]   like i'm just saying like yeah yeah that's where i started you know i don't have a lot of like
[00:21:00.080 --> 00:21:07.520]   discipline or habits and so going into working life becoming a mom like leading a ministry like that all
[00:21:07.520 --> 00:21:16.880]   catches up with you you know so i think like the hardest part is like just maintaining like an orderly
[00:21:16.880 --> 00:21:23.760]   life while doing ministry and leading people and meeting different needs you know um i wouldn't
[00:21:23.760 --> 00:21:27.680]   say that that's the hardest part because there's other hard things like you know like people break
[00:21:27.680 --> 00:21:33.840]   you know break your heart and like you know things like that but i think in terms of being bivocational
[00:21:33.840 --> 00:21:41.360]   or co-vocational and doing ministry you are busy you are busy and um there's some things that you just
[00:21:41.360 --> 00:21:46.160]   need to get better at with life and that's where i experienced a lot of strength like coming from
[00:21:46.160 --> 00:21:52.720]   the outside you know like just yeah learning to be more structured and disciplined um actually it got
[00:21:52.720 --> 00:22:01.040]   a lot better after we got married you know because i because he's very disciplined then you know sometimes
[00:22:01.040 --> 00:22:10.320]   clean up you know after me a little bit just a little bit that helped yeah yeah um yeah i think um i remember
[00:22:10.320 --> 00:22:16.560]   early uh when i started first started working well there was that six month period where i was like
[00:22:16.560 --> 00:22:24.160]   tired all the time you know because i just entered the working world even though i was 28 at the time
[00:22:24.160 --> 00:22:30.960]   you know i felt like i was a 23 year old you know just starting to um learn how to get into the office
[00:22:30.960 --> 00:22:37.760]   do all my work and you know perform okay and and all that stuff and um so i think doing that and then
[00:22:37.760 --> 00:22:46.720]   at that time i was um i was with calvin's peers and so leading a life group as well um and so it's cool
[00:22:46.720 --> 00:22:53.760]   because calvin's in the yeah yeah calvin the program and um later we led 2014 which is brian mouse
[00:22:53.760 --> 00:22:59.680]   yeah so it's a really neat intergenerational kind of very different than when we did yeah i guess
[00:22:59.680 --> 00:23:08.160]   anyway um and so to like but to get everything done and still prioritize my spiritual disciplines
[00:23:08.160 --> 00:23:12.880]   like there's a season where i just like skimped on that you know and it bit me in the end because i just
[00:23:12.880 --> 00:23:20.240]   felt thinned out and like um it just wasn't good for me you know and so i think to going back to like
[00:23:20.240 --> 00:23:27.280]   the getting what's important done instead of just the urgent you know like your dt never feels urgent
[00:23:27.280 --> 00:23:33.360]   you know um but it's so important you know and to to get into a regular rhythm and habit of making
[00:23:33.360 --> 00:23:38.960]   sure that i have that solitude time with god first before doing any of the other things i think that
[00:23:38.960 --> 00:23:43.520]   was a challenge but it got easier over time as i submitted the schedule and i just personally became
[00:23:43.520 --> 00:23:49.680]   more disciplined but also as i really saw the value of having those disciplines in place first you
[00:23:49.680 --> 00:23:56.160]   know before anything else and so i think me like i can execute things and get things done you know
[00:23:56.160 --> 00:24:01.600]   but do it in such a way that it becomes very mechanical you know and so to be able to like have
[00:24:01.600 --> 00:24:07.440]   those times where i'm engaging my heart you know while getting those things done or you know
[00:24:07.440 --> 00:24:13.600]   letting some things drop you know in order to prioritize kind of heart engagement you know
[00:24:13.600 --> 00:24:18.720]   i think that is something that was difficult in the beginning just because i thought i could do
[00:24:18.720 --> 00:24:24.800]   everything because i was young and i was brash you know but over time you know just seeing the reality
[00:24:24.800 --> 00:24:31.760]   and what i needed and what my limitations were i think that became easier over time yeah wow so you guys
[00:24:31.760 --> 00:24:37.920]   were at berkeley riverside apu and pomona is that right yeah are we missing any yeah yeah
[00:24:37.920 --> 00:24:39.920]   yeah you guys have a favorite campus
[00:24:39.920 --> 00:24:43.040]   hmm oh yeah i can't see that
[00:24:43.040 --> 00:24:45.040]   it's virtual man i love i love them all
[00:24:45.040 --> 00:24:54.320]   all right you don't have to tell us but tell us after the show um you want to get into the fit lit thing yeah yeah
[00:24:54.320 --> 00:25:01.040]   yeah so so fit lit uh lit stands for leads and training like i said and um yeah getting a year
[00:25:01.040 --> 00:25:04.800]   training it's a program that it's like a second time we're doing the first time was with us we were
[00:25:04.800 --> 00:25:11.440]   the guinea pigs and you know um and so um what he changed a lot from our program it has changed a lot
[00:25:11.440 --> 00:25:18.960]   it's like upgrade i don't know what that says about us but a lot changed we were beta yeah um uh why did
[00:25:18.960 --> 00:25:24.640]   you sign up for yeah i was curious about that because it's not like you had a good thing going
[00:25:24.640 --> 00:25:30.800]   you're just why make that switch now 22 years yeah yeah you know um it was a little bit of a surprise
[00:25:30.800 --> 00:25:37.440]   that uh we were even asked to be part of the program given our age but um you know pastor had emailed us
[00:25:37.440 --> 00:25:44.800]   and it was i i still kind of remember because he emailed on a sunday and i was finishing my message
[00:25:44.800 --> 00:25:50.400]   and i saw his email come in but i was like i cannot read this right now and then did you see
[00:25:50.400 --> 00:25:54.240]   the subject line you knew what it was well no i didn't i was like oh it's something important but
[00:25:54.240 --> 00:25:59.600]   i'm not going to look at it right now i have to preach and then she texted me she's like what do you
[00:25:59.600 --> 00:26:03.040]   want to do right and so we were going to talk about it right but i was like i cannot talk about it
[00:26:03.040 --> 00:26:10.480]   so um but i think the morning stress yeah i think the opportunity just to be trained by
[00:26:10.480 --> 00:26:17.520]   pestering kelly in a focused way yeah you know um uh was just an opportunity we didn't want to pass up
[00:26:17.520 --> 00:26:23.440]   and then we had concerns because um where pomona ministry was we just felt like we needed to be
[00:26:23.440 --> 00:26:28.080]   there but then rick and sue had been with us for a long time and they kind of knew what the ministry was
[00:26:28.080 --> 00:26:34.720]   like and and what the state of it was and so um they thought it would be okay for us to um leave pomona
[00:26:34.720 --> 00:26:40.080]   and be part of this program so that gave us some extra reassurance too but just uh just the opportunity
[00:26:40.080 --> 00:26:49.200]   to um to just surrender and to put our yes on the table and you know to um be trained because i
[00:26:49.200 --> 00:26:55.120]   think i personally also felt like after three years of leading pomona ministry as a bible i was
[00:26:55.120 --> 00:27:02.640]   right up at the edge of my leadership kind of capability you know and like um and so i felt like
[00:27:02.640 --> 00:27:08.160]   it was something we we needed to do as well you know so yeah it was it was good timing and um
[00:27:08.160 --> 00:27:16.320]   yeah so i think that's the main reason why we yeah so i had stopped working in 2017 already
[00:27:16.320 --> 00:27:24.400]   and working for church um and so my when we got the invite i was like wow they like actually won us
[00:27:24.400 --> 00:27:30.720]   that was why because i thought i just thought are you sure we were just like kind of older already
[00:27:30.720 --> 00:27:41.600]   anyway but i think um but prior to that i was kind of reaching um i think my just capacity like kind
[00:27:41.600 --> 00:27:51.760]   of a ceiling um and then as their retirement coming up yeah it was like shoot like you know like i gotta grow
[00:27:51.760 --> 00:27:57.600]   so i think i was mostly motivated by personal growth especially as you know in our context
[00:27:57.600 --> 00:28:04.480]   before we had a lot of older ones with you had a lot of heart a lot of zeal you know and i really wanted
[00:28:04.480 --> 00:28:12.320]   to help them grow as well but um i felt like i i need to i need to grow first and like kind of understand
[00:28:13.360 --> 00:28:18.720]   or just yeah just grow just grow and so yeah i didn't know we didn't really know what was gonna
[00:28:18.720 --> 00:28:24.480]   happen when we got here but um we were excited to be with you know pastor and kelly i think one of the
[00:28:24.480 --> 00:28:30.720]   reasons i actually stayed on staff for so long even when i struggled was just like meeting with them i
