
[00:00:00.000 --> 00:00:04.000]   When you're in winter's favorite town,
[00:16:16.000 --> 00:16:21.000]   And it practically serves something like 160, 170 countries.
[00:16:21.000 --> 00:16:22.000]   That's incredible.
[00:16:22.000 --> 00:16:30.000]   And so you have this – even just this cell phone infrastructure that works just pretty well flawlessly and seamlessly.
[00:16:30.000 --> 00:16:33.000]   And you see that happening all around the world.
[00:16:33.000 --> 00:16:41.000]   I'm seeing billboards here in Costa Rica for the local cell phone company that advertises that all of the Americas are included in their plans,
[00:16:41.000 --> 00:16:46.000]   from the tip of Argentina to the tip of Alaska on just their standard plan.
[00:16:46.000 --> 00:16:49.000]   And that's the same way really all around the world.
[00:16:49.000 --> 00:16:56.000]   And so this connectivity has meant that you can travel and, of course, work, which we'll talk more about.
[00:16:56.000 --> 00:17:00.000]   But it's also meant that you can have access to information.
[00:17:00.000 --> 00:17:03.000]   And that's what it means to live in the information age.
[00:17:03.000 --> 00:17:04.000]   You have access to information.
[00:17:04.000 --> 00:17:13.000]   If you were traveling 40 years ago, you would have just simply gone somewhere and then figured it out.
[00:17:13.000 --> 00:17:19.000]   I love to read Kevin Kelly's travel logs from his time traveling in Asia in the 1970s.
[00:17:19.000 --> 00:17:20.000]   He didn't know anybody, didn't speak the language.
[00:17:20.000 --> 00:17:21.000]   He just go and figure it out.
[00:17:21.000 --> 00:17:26.000]   And you're going based upon signs that you see and information you can find out from local travelers, right,
[00:17:26.000 --> 00:17:30.000]   the bar at the local hostel where you find out where to go and who to go with, et cetera.
[00:17:30.000 --> 00:17:42.000]   Well, then, of course, there was a guidebook revolution, and you could see backpackers all around the world with their tattered copy of The Lonely Planet listing where they go and where to stay and where to eat and what to do, et cetera.
[00:17:42.000 --> 00:17:48.000]   Well, now it's gotten even more intense where if you're going to go somewhere, you're going to go to Costa Rica, what do you do?
[00:17:48.000 --> 00:17:53.000]   All you need, and I repeat this again and again, all you need is a passport, a credit card, and a cell phone.
[00:17:53.000 --> 00:17:57.000]   And ideally, the cell phone is going to have global connectivity.
[00:17:57.000 --> 00:17:58.000]   Why?
[00:17:58.000 --> 00:18:07.000]   Well, with the passport, you've got your legal documents straightened away, especially if you have a passport where you don't have a lot of visa requirements to file individual visas.
[00:18:07.000 --> 00:18:11.000]   Passport takes care of your ability to move across borders.
[00:18:11.000 --> 00:18:18.000]   A credit card allows you to pay seamlessly across borders, and the cell phone allows you to get information and book things.
[00:18:18.000 --> 00:18:24.000]   So you pull out your JetBlue app and you say, "How can I fly to Costa Rica inexpensively?
[00:18:24.000 --> 00:18:32.000]   Oh, look, here's a flight," boom, or Spirit Airlines, or you pull out your kayak app or your Kiwi app and you figure out, "Okay, how do I get here inexpensively?"
[00:18:32.000 --> 00:18:43.000]   You book it, you bill it to your credit card, then you pull out your booking.com or your hotels.com or your Marriott app or your Airbnb app or whatever it is that you want.
[00:18:43.000 --> 00:18:45.000]   You find a property, you click "Book."
[00:18:45.000 --> 00:18:52.000]   Then, of course, when you get here, you have an Uber, although they've got kind of funky with Uber from the airport.
[00:18:52.000 --> 00:18:54.000]   Uber is technically illegal in Costa Rica, I guess.
[00:18:54.000 --> 00:19:00.000]   But you get your Uber app or your DD app or you grab your taxi and you use it.
[00:19:00.000 --> 00:19:02.000]   It's just so simple.
[00:19:02.000 --> 00:19:06.000]   Life is so – international travel is so simple.
[00:19:06.000 --> 00:19:11.000]   You need to do a currency conversion, pull out your XE.com app and do your currency conversion.
[00:19:11.000 --> 00:19:13.000]   It's incredible.
[00:19:13.000 --> 00:19:16.000]   It's absolutely amazing.
[00:19:16.000 --> 00:19:29.000]   So the world that we live in has so fundamentally changed, and yet I wonder if people even – I mean, hopefully you realize it.
[00:19:29.000 --> 00:19:36.000]   And for me, this is one of the unique insights that I personally have given my age.
[00:19:36.000 --> 00:19:42.000]   I am a millennial, which means that by the definition of millennial that I'm a digital native.
[00:19:42.000 --> 00:19:45.000]   But what's interesting is I'm what they call a geriatric millennial.
[00:19:45.000 --> 00:19:52.000]   So I remember the world before the absolute transformation and after.
[00:19:52.000 --> 00:19:56.000]   My father was always involved as a computer program electrical engineer.
[00:19:56.000 --> 00:19:58.000]   So he was on the early edge, right?
[00:19:58.000 --> 00:20:01.000]   We were the first people and everyone I knew to have a computer in our home.
[00:20:01.000 --> 00:20:08.000]   I remember the time he came home and showed us his laptop, which was the size of a dictionary, but he was just amazed at what could fit into this dictionary.
[00:20:08.000 --> 00:20:20.000]   I remember in 1998 I traveled with my father and my mother to the United Kingdom, and I remember being in the hotel room in Wales and him plugging in his computer and downloading his email.
[00:20:20.000 --> 00:20:24.000]   And so I remember the world before all this stuff, and now – so I'm really amazed at it.
[00:20:24.000 --> 00:20:28.000]   It's never – it just still feels like magic to me, but I'm also totally comfortable.
[00:20:28.000 --> 00:20:30.000]   It gives me a unique insight into it.
[00:20:30.000 --> 00:20:33.000]   So what has happened because of this?
[00:20:33.000 --> 00:20:40.000]   Well, of course, it's become easier to travel, but now people are integrating travel into their lifestyle in new and unique and interesting ways.
[00:20:40.000 --> 00:20:47.000]   And so with the pandemic, you see that virtually anybody who is a knowledge worker can work remotely.
[00:20:47.000 --> 00:20:55.000]   You've had this lightning-fast transformation of massive companies into being 100% remote workers.
[00:20:55.000 --> 00:21:13.000]   As I told you in the beginning of the pandemic, I told you this is the single biggest lifestyle opportunity that you have right now is to make sure that you crush it working remotely so that going forward, if you want to work remotely, you can prove that you can do it because that opens up the world to you.
[00:21:13.000 --> 00:21:23.000]   I shared how I recently reread Tim Ferriss' 4-Hour Workweek book, and I was reading, I think, the 10th anniversary edition of that.
[00:21:23.000 --> 00:21:29.000]   And yet still, there were pages, several pages in there about how to negotiate remote work with your job.
[00:21:29.000 --> 00:21:33.000]   When he does a 20th anniversary of that, those whole pages are going to go out.
[00:21:33.000 --> 00:21:34.000]   It's going to tear them out.
[00:21:34.000 --> 00:21:39.000]   There's no point in it anymore because anyone who wants to work remote can easily just say it and do it.
[00:21:39.000 --> 00:21:47.000]   And so this has opened up not only other places in your city to live, not only other states to live, but other countries.
[00:21:47.000 --> 00:22:01.000]   You can get on an airplane, and if you can work from Miami, Florida, and you can commute to New York City on occasion if you need to, then why can't you work from San Jose and commute to New York City when you need to?
[00:22:01.000 --> 00:22:07.000]   Same one-hour, I guess, one-hour time zone off, but same difference.
[00:22:07.000 --> 00:22:09.000]   And so it's just amazing.
[00:22:09.000 --> 00:22:21.000]   And so with the growth of knowledge work, the growth of ability to people work, now what was once difficult, I remember I used to buy books on work from home opportunities.
[00:22:21.000 --> 00:22:24.000]   Some of them were good, some of them were bad, but now you don't need that anymore.
[00:22:24.000 --> 00:22:28.000]   You just need a useful career and a computer and a cell phone, and boom, you're in it.
[00:22:28.000 --> 00:22:30.000]   You can do it.
[00:22:30.000 --> 00:22:36.000]   And so it's opened up travel in a really amazing way for anybody who wants to.
[00:22:36.000 --> 00:22:43.000]   Now, this fundamentally opens up the chance to transform your physical location life if you want to.
[00:22:43.000 --> 00:22:45.000]   And there are different ways that you can do it.
[00:22:45.000 --> 00:22:47.000]   There are different styles of travel.
[00:22:47.000 --> 00:22:57.000]   What we're doing now, you would probably call the digital nomad, that I work, I have my computer in front of me, I have my microphone in front of me, I have my cell phone in front of me.
[00:22:57.000 --> 00:23:04.000]   I have the ability to record this podcast, to upload it to you, to do my other work and upload it.
[00:23:04.000 --> 00:23:06.000]   And so I'm a digital nomad.
[00:23:06.000 --> 00:23:14.000]   I'm earning my income from the road, and because I work digitally, I can sit down anywhere, I can set up my laptop and I can work.
[00:23:14.000 --> 00:23:19.000]   Café, co-working space, hotel room, Airbnb, I'm good to go.
[00:23:19.000 --> 00:23:26.000]   And what's really interesting is I'm on the front edge of the curve in terms of even how hardcore this can be.
[00:23:26.000 --> 00:23:48.000]   I've experimented so much with different technological solutions, but I literally at this point have the equipment that you can sit me down and I can just set up a table somewhere, a park bench table, park picnic table or something, middle of nowhere, and I can be live on the internet recording high-quality media stuff whenever I need to be.
[00:23:48.000 --> 00:23:51.000]   It's amazing, really, really amazing.
[00:23:51.000 --> 00:23:59.000]   It's so good that you can quite literally, for many of us, you can quite literally earn your living with nothing more than a smartphone.
[00:23:59.000 --> 00:24:09.000]   I travel and have more gear than that because it makes my life easier, makes me more productive, but you can, many of us, quite literally earn your living with nothing more than a smartphone.
[00:24:09.000 --> 00:24:13.000]   And I know I sound enthusiastic.
[00:24:13.000 --> 00:24:14.000]   I am.
[00:24:14.000 --> 00:24:17.000]   Because this is amazing.
[00:24:17.000 --> 00:24:18.000]   It really is.
[00:24:18.000 --> 00:24:21.000]   It opens up tremendous opportunities to you.
[00:24:21.000 --> 00:24:30.000]   It opens up the opportunity to you to live a rich life now instead of deferring it.
[00:24:30.000 --> 00:24:33.000]   It lives up to many people, "Okay, I want to retire and travel when I'm retired."
[00:24:33.000 --> 00:24:35.000]   Okay, that's great.
[00:24:35.000 --> 00:24:40.000]   And while I think that's actually in some ways better, let me interrupt myself to say this.
[00:24:40.000 --> 00:24:50.000]   Whenever I do what I'm doing now, which is travel and try to keep a business going, I often wish I were fully financially independent.
[00:24:50.000 --> 00:24:51.000]   I often do.
[00:24:51.000 --> 00:24:58.000]   I'm not yet financially independent, working towards it, saving, working, making money, investing, et cetera, but I often wish I were.
[00:24:58.000 --> 00:25:03.000]   Because working on the road does add an additional stress.
[00:25:03.000 --> 00:25:06.000]   It does add an additional difficulty to your life.
[00:25:06.000 --> 00:25:18.000]   And I often think, "Man, how cool would it be if I just had 10 grand a month coming in, 10 grand comes in as dividends from publicly traded companies, no work, it's true passive income, totally relaxed.
[00:25:18.000 --> 00:25:20.000]   How awesome would that be?"
[00:25:20.000 --> 00:25:22.000]   And I think pretty awesome.
[00:25:22.000 --> 00:25:24.000]   I think I get boring myself.
[00:25:24.000 --> 00:25:35.000]   I like the work because it keeps me interested, but there are a lot of times when everything's messed up, nothing's working, and you're like, "Man, I just wish I had 10 grand a month deposited in my checking account, then I'd be good to go."
[00:25:35.000 --> 00:25:40.000]   Or, "I wish I had my trust that would pay my Amex bill for me every month, and I'm good to go."
[00:25:40.000 --> 00:25:43.000]   So, I think, is it better?
[00:25:43.000 --> 00:25:45.000]   I think it's probably a little bit better.
[00:25:45.000 --> 00:25:47.000]   But back to the old 80/20, right?
[00:25:47.000 --> 00:25:50.000]   If I can get 80% of the way there, which is really how I feel, right?
[00:25:50.000 --> 00:26:04.000]   I feel like I've gotten 80% of the way there with just simply working from the road, building a business that's a good fit for me, building a business with certain characteristics and attributes that are better than other kinds of businesses.
[00:26:04.000 --> 00:26:06.000]   I feel like I'm 80% of the way there.
[00:26:06.000 --> 00:26:15.000]   But yet, I've gotten there far faster than waiting until I'm 40 years old or 60 years old or 70 years old and a multimillionaire to do it.
[00:26:15.000 --> 00:26:23.000]   So, why not take 80% now, especially given the fact that I can make the plan work so that I can get the full 100% down the road, right?
[00:26:23.000 --> 00:26:26.000]   Why not?
[00:26:26.000 --> 00:26:30.000]   But I lost my train of thought.
[00:26:30.000 --> 00:26:34.000]   The travel opens up these new and interesting lifestyles that have benefits.
