
[00:00:00.000 --> 00:00:01.200]   That's good going.
[00:03:13.640 --> 00:03:18.520]   So even though you guys are absolutely
[00:03:18.520 --> 00:03:23.160]   submerged in a culture that is screaming
[00:03:23.160 --> 00:03:29.760]   that self-control is not fair and that little kids should not
[00:03:29.760 --> 00:03:32.480]   have to practice self-control because they're not
[00:03:32.480 --> 00:03:37.440]   developmentally ready, that is all false information.
[00:03:37.440 --> 00:03:40.080]   I've been doing a lot of research lately on this,
[00:03:40.080 --> 00:03:45.440]   in fact, and you have to believe God's word.
[00:03:45.440 --> 00:03:48.480]   He would not put it in there if it was not
[00:03:48.480 --> 00:03:50.120]   true, obviously.
[00:03:50.120 --> 00:03:56.080]   And who knows better how to train up our little ones
[00:03:56.080 --> 00:03:57.600]   than God himself?
[00:03:57.600 --> 00:04:01.880]   So trust what he says and don't be
[00:04:01.880 --> 00:04:07.000]   afraid to require your children to practice self-control.
[00:04:07.000 --> 00:04:09.440]   And of course, it's going to take practice.
[00:04:09.440 --> 00:04:11.960]   It's going to take development.
[00:04:11.960 --> 00:04:13.240]   It definitely is.
[00:04:13.240 --> 00:04:17.240]   But that's your job is to train them developmentally
[00:04:17.240 --> 00:04:18.960]   to practice self-control.
[00:04:18.960 --> 00:04:22.160]   And I just want to share a little something
[00:04:22.160 --> 00:04:26.800]   because I know we're going to hit on question number two
[00:04:26.800 --> 00:04:31.440]   where it talks about concentrated study in Proverbs
[00:04:31.440 --> 00:04:35.840]   and what are the three elements that characterize maturity.
[00:04:35.840 --> 00:04:39.120]   And this was something that we literally
[00:04:39.120 --> 00:04:42.680]   used as a guideline for whether kids
[00:04:42.680 --> 00:04:46.040]   were going to be admitted into Cornerstone
[00:04:46.040 --> 00:04:49.080]   or whether they were going to spend a little more time
[00:04:49.080 --> 00:04:52.720]   at home practicing with mom and dad in these areas.
[00:04:52.720 --> 00:04:55.960]   But when they came in, we would do--
[00:04:55.960 --> 00:04:58.760]   and these were sometimes four-year-olds
[00:04:58.760 --> 00:05:03.880]   that were getting ready to go into kindergarten at age five.
[00:05:03.880 --> 00:05:10.880]   And our questions that we presented to these little ones
[00:05:10.880 --> 00:05:11.920]   were very fun.
[00:05:11.920 --> 00:05:13.520]   We had a lot of fun with them.
[00:05:13.520 --> 00:05:17.640]   We gave them questions that were not threatening at all,
[00:05:17.640 --> 00:05:21.560]   just super fun questions that they could answer.
[00:05:21.560 --> 00:05:23.960]   We would get some incredible answers from them.
[00:05:23.960 --> 00:05:27.720]   But they were based on digging in a little bit
[00:05:27.720 --> 00:05:32.160]   to find out these three important points.
[00:05:32.160 --> 00:05:35.320]   Were they able to be self-controlled?
[00:05:35.320 --> 00:05:37.440]   Did they have biblical wisdom?
[00:05:37.440 --> 00:05:39.840]   Did they know why they were doing the things
[00:05:39.840 --> 00:05:41.040]   that they were doing?
[00:05:41.040 --> 00:05:44.880]   And were they showing signs of responsibility?
[00:05:44.880 --> 00:05:48.560]   And when we could check off all three of those boxes
[00:05:48.560 --> 00:05:50.360]   with our little four- and five-year-olds
[00:05:50.360 --> 00:05:54.840]   that were entering into Cornerstone, they would come in.
[00:05:54.840 --> 00:05:57.240]   And there were a lot of kids that
[00:05:57.240 --> 00:06:01.440]   could because their parents were doing the same thing that you
[00:06:01.440 --> 00:06:06.760]   all are doing and practicing these techniques
[00:06:06.760 --> 00:06:11.840]   and the truths that go along with self-control.
[00:06:11.840 --> 00:06:16.480]   So don't be swayed by your culture.
[00:06:16.480 --> 00:06:21.280]   It is handing out lots of lies, which
[00:06:21.280 --> 00:06:27.200]   is leaving parents in terrible states of confusion and chaos
[00:06:27.200 --> 00:06:28.720]   in their homes.
[00:06:28.720 --> 00:06:31.480]   So we just want to encourage you in that.
[00:06:31.480 --> 00:06:33.680]   Yeah, and as Sharon said, it takes work.
[00:06:33.680 --> 00:06:38.560]   And it takes us being diligent as parents of these children.
[00:06:38.560 --> 00:06:40.760]   It doesn't naturally occur, does it?
[00:06:40.760 --> 00:06:42.960]   Maturity doesn't come all by itself.
[00:06:42.960 --> 00:06:44.520]   No, we have to train it.
[00:06:44.520 --> 00:06:45.480]   Absolutely.
[00:06:45.480 --> 00:06:49.560]   And so we need to keep that close to our hearts
[00:06:49.560 --> 00:06:51.640]   and understand that it is our job to do that.
[00:06:51.640 --> 00:06:54.920]   And it's a biblical mandate, so important.
[00:06:54.920 --> 00:06:58.120]   Question number six, hopefully a good self-examination
[00:06:58.120 --> 00:06:58.680]   question.
[00:06:58.680 --> 00:07:01.000]   Have you discovered certain areas
[00:07:01.040 --> 00:07:05.280]   your child is characterized by self-indulgence and immaturity?
[00:07:05.280 --> 00:07:06.920]   Again, I think it's really good to be
[00:07:06.920 --> 00:07:09.440]   able to take an inventory of where our kids are
[00:07:09.440 --> 00:07:15.280]   and by looking at their behavior and understanding, hey,
[00:07:15.280 --> 00:07:17.520]   what areas do I really need to focus on?
[00:07:17.520 --> 00:07:20.640]   What areas do I need to pay attention to
[00:07:20.640 --> 00:07:23.880]   and then to correct and train accordingly?
[00:07:23.880 --> 00:07:26.040]   So it's so important to be able to do that.
[00:07:26.040 --> 00:07:28.560]   Hopefully you are doing that.
[00:07:28.560 --> 00:07:30.840]   Another way to be able to do that
[00:07:30.840 --> 00:07:34.400]   is look at whether or not our kids are lobbying us.
[00:07:34.400 --> 00:07:40.520]   Are they saying things like, please, mommy, please, daddy,
[00:07:40.520 --> 00:07:44.800]   after being told no by us to do or not do a certain thing?
[00:07:44.800 --> 00:07:46.360]   I think that's a good indicator.
[00:07:46.360 --> 00:07:49.760]   So you want to be able to add that to your list as well.
[00:07:49.760 --> 00:07:52.240]   Very important.
[00:07:52.240 --> 00:07:54.120]   They may not even be saying, please.
[00:07:54.120 --> 00:07:56.000]   They may just be saying, I don't want to.
[00:07:56.000 --> 00:07:56.760]   I don't want to.
[00:07:56.760 --> 00:07:57.560]   That's true.
[00:07:57.560 --> 00:07:59.320]   Yeah, yeah, that's right.
[00:07:59.320 --> 00:08:00.520]   No.
[00:08:00.520 --> 00:08:02.760]   And that sure doesn't show submission, does it?
[00:08:02.760 --> 00:08:06.240]   Or it doesn't show respect or honor when they do that, right?
[00:08:06.240 --> 00:08:08.520]   So we want to be able to help them grow in maturity.
[00:08:08.520 --> 00:08:10.800]   And I think our guideline, again,
[00:08:10.800 --> 00:08:15.720]   is looking at Matthew 22, 37, 39, and Philippians 2, 3
[00:08:15.720 --> 00:08:16.320]   through 5.
[00:08:16.320 --> 00:08:17.360]   Were they loving God?
[00:08:17.360 --> 00:08:18.720]   Were they loving their neighbor?
[00:08:18.720 --> 00:08:21.680]   Were they considering others better than themselves?
[00:08:21.680 --> 00:08:24.760]   Those are some great scriptures that really give us
[00:08:24.760 --> 00:08:28.840]   a good guideline on how we have to look at our children being
[00:08:28.840 --> 00:08:30.080]   able to grow up in maturity.
[00:08:30.080 --> 00:08:32.080]   And it gives them a good guideline.
[00:08:32.080 --> 00:08:35.400]   When they really learn to practice those principles,
[00:08:35.400 --> 00:08:38.960]   they start to define it themselves.
[00:08:38.960 --> 00:08:42.560]   And they know when they're not doing something that
[00:08:42.560 --> 00:08:44.520]   falls within the guidelines of being
[00:08:44.520 --> 00:08:48.080]   self-controlled and respectful to the people around them.
[00:08:48.080 --> 00:08:49.840]   Yeah, absolutely.
[00:08:49.840 --> 00:08:53.280]   Question number nine gives us some insight
[00:08:53.280 --> 00:08:57.560]   into what the Lord says about this in Ephesians 4, 2, and 3.
[00:08:57.560 --> 00:09:00.440]   It says to be completely humble and gentle.
[00:09:00.440 --> 00:09:01.560]   Be patient.
[00:09:01.560 --> 00:09:03.240]   Bearing with one another in love.
[00:09:03.240 --> 00:09:06.040]   Make every effort to keep the unity of the spirit
[00:09:06.040 --> 00:09:08.040]   through the bond of peace.
[00:09:08.040 --> 00:09:11.440]   And certainly, a child that lacks self-control
[00:09:11.440 --> 00:09:13.640]   is not going to be able to conduct his behavior
[00:09:13.640 --> 00:09:15.480]   accordingly, right?
[00:09:15.480 --> 00:09:19.000]   So again, some good things to look at and to think about.
[00:09:19.000 --> 00:09:21.480]   Any questions?
[00:09:21.480 --> 00:09:24.040]   I know we're sweeping through this pretty quickly.
[00:09:24.040 --> 00:09:26.920]   And it's an important topic.
[00:09:26.920 --> 00:09:31.520]   Anybody have any questions specifically about this?
[00:09:31.520 --> 00:09:35.960]   I have a question about self-indulgence.
[00:09:35.960 --> 00:09:40.160]   I guess in terms of always wanting to be first.
[00:09:40.160 --> 00:09:44.680]   So the older one will tell, well, the first will be last.
[00:09:47.920 --> 00:09:53.400]   But then the younger one always runs in front of her
[00:09:53.400 --> 00:09:55.440]   to get to the door first.
[00:09:55.440 --> 00:10:00.360]   And so the older one will back up to not get bulldozed.
[00:10:00.360 --> 00:10:01.240]   OK, good.
[00:10:01.240 --> 00:10:03.440]   I'm glad to hear that your older one is
[00:10:03.440 --> 00:10:06.160]   picking up on the principles.
[00:10:06.160 --> 00:10:11.640]   And yeah, so at least you're not training both of them, right?
[00:10:11.640 --> 00:10:14.280]   Yeah, but I kind of feel bad because one of them
[00:10:14.280 --> 00:10:15.840]   always is first.
[00:10:15.840 --> 00:10:17.560]   Right.
[00:10:17.560 --> 00:10:20.280]   So and then sometimes we're like, then we do every other.
[00:10:20.280 --> 00:10:22.280]   Like, OK, well, this time he went through first.
[00:10:22.280 --> 00:10:23.680]   So next time you get to go through first.
[00:10:23.680 --> 00:10:25.280]   And I'm like, but there's three of you.
[00:10:25.280 --> 00:10:28.680]   So you're not always--
[00:10:28.680 --> 00:10:32.000]   I'm not going to remember the order every time.
[00:10:32.000 --> 00:10:33.040]   Exactly.
[00:10:33.040 --> 00:10:35.480]   Yeah, and because when they start doing that
[00:10:35.480 --> 00:10:38.840]   and they start questioning, no, I went first.
[00:10:38.840 --> 00:10:39.720]   It's my turn.
[00:10:39.720 --> 00:10:42.600]   You went first last time.
[00:10:42.600 --> 00:10:47.240]   They are literally falling right back into that.
[00:10:47.240 --> 00:10:52.480]   Yeah, self-indulgence, that thinking of themselves first,
[00:10:52.480 --> 00:10:55.120]   prioritizing themselves.
[00:10:55.120 --> 00:10:59.960]   And I mean, at that point, even that saying
[00:10:59.960 --> 00:11:02.760]   can be twisted in so many ways.
[00:11:02.760 --> 00:11:07.600]   And we've heard kids do that in so many ways
[00:11:07.600 --> 00:11:13.280]   where they'll convince another sibling
[00:11:13.280 --> 00:11:17.760]   to go to the end of the line because the last will be first.
[00:11:17.760 --> 00:11:20.680]   So it can really backfire if they don't get
[00:11:20.680 --> 00:11:23.200]   the principle in their heart that this
[00:11:23.200 --> 00:11:28.720]   is an exercise of dying to self, of sacrificing self,
[00:11:28.720 --> 00:11:31.960]   and that there's joy in sacrificing themselves.
[00:11:31.960 --> 00:11:38.280]   So I mean, if my kids were doing that
[00:11:38.280 --> 00:11:41.160]   and we had lots of that going on at Cornerstone
[00:11:41.160 --> 00:11:43.200]   where we would have to train the kid,
[00:11:43.200 --> 00:11:46.160]   pretty soon there'd be a fight for who's going first
[00:11:46.160 --> 00:11:47.680]   and start who's going first.
[00:11:47.680 --> 00:11:50.160]   And then it would be the fight for who's going last.
[00:11:50.160 --> 00:11:54.080]   So like I said, they can twist this in so many ways
[00:11:54.080 --> 00:11:56.920]   and still come out thinking only of themselves.
[00:11:56.920 --> 00:11:57.920]   For sure.
[00:11:57.920 --> 00:12:01.560]   And so with my kids, there would be discipline sometimes
[00:12:01.560 --> 00:12:05.280]   if they were not getting through with it,
[00:12:05.280 --> 00:12:07.720]   if it was not getting through to them.
[00:12:07.720 --> 00:12:10.840]   Because at some point, they're not listening.
[00:12:10.840 --> 00:12:15.480]   At some point, they are taking what they're learning
[00:12:15.480 --> 00:12:18.120]   and using it for their own benefit.
[00:12:18.120 --> 00:12:22.480]   And at that point, there is an attitude of rebellion
[00:12:22.480 --> 00:12:24.720]   or disobedience in that.
[00:12:24.720 --> 00:12:30.160]   And so discipline is an appropriate response
[00:12:30.160 --> 00:12:32.840]   to that for your child, remembering
[00:12:32.840 --> 00:12:34.640]   all the rules of discipline.
[00:12:34.640 --> 00:12:38.120]   And maybe in the beginning, it's not physical discipline.
[00:12:38.120 --> 00:12:43.360]   Maybe you're going to apply a related consequence.
[00:12:43.360 --> 00:12:45.920]   And then after a couple of days, if it's still
[00:12:45.920 --> 00:12:48.880]   not getting through to them, and it probably won't.
[00:12:48.880 --> 00:12:51.800]   Because really, there's one discipline
[00:12:51.800 --> 00:12:53.000]   that gets to the heart.
[00:12:53.000 --> 00:12:57.000]   And that is the consequence, the chastisement
[00:12:57.000 --> 00:12:58.800]   when they're little.
[00:12:58.800 --> 00:13:02.680]   And so you will probably have to apply the chastisement.
[00:13:02.680 --> 00:13:06.040]   And so it sounds like your oldest is doing a good job.
[00:13:06.040 --> 00:13:11.240]   Sounds like your youngest is taking advantage of that,
[00:13:11.240 --> 00:13:13.800]   or however it's working over there.
[00:13:13.800 --> 00:13:17.560]   And so maybe somebody is going to have
[00:13:17.560 --> 00:13:19.480]   to start to suffer the consequences.
[00:13:19.480 --> 00:13:23.240]   And the other one's going to get some pats on the back.
[00:13:23.240 --> 00:13:27.920]   It just depends on what's happening and who's doing what.
[00:13:27.920 --> 00:13:31.240]   So does that make sense?
[00:13:31.240 --> 00:13:31.920]   Yeah.
[00:13:31.920 --> 00:13:35.640]   Yeah, I think-- yeah, I think it's
[00:13:35.640 --> 00:13:40.040]   hard to know if the person is just stepping back
[00:13:40.040 --> 00:13:44.240]   because of not wanting to get bulldozed versus--
[00:13:44.240 --> 00:13:46.040]   I think I appreciate your reminder
[00:13:46.040 --> 00:13:49.160]   that it's about self-sacrifice.
[00:13:49.160 --> 00:13:50.920]   So I think that's important to remember
[00:13:50.920 --> 00:13:53.320]   that at the end of the day, it's about the heart.
[00:13:53.320 --> 00:13:55.720]   Yeah, sacrifice.
[00:13:55.720 --> 00:13:56.840]   Yeah, that's good.
[00:13:56.840 --> 00:14:00.000]   So that is something you could talk to your kids about
[00:14:00.000 --> 00:14:03.040]   and remind them as well.
[00:14:03.040 --> 00:14:06.520]   And so if they're acting outside of that,
[00:14:06.520 --> 00:14:13.640]   then they're probably in sin, practicing selfishness.
[00:14:13.640 --> 00:14:17.640]   Did you ever do a rule of if you don't do your chores,
[00:14:17.640 --> 00:14:18.600]   you can't eat?
[00:14:18.600 --> 00:14:21.440]   Because those who don't work can't eat?
[00:14:21.440 --> 00:14:25.200]   No, there were certain things.
[00:14:25.200 --> 00:14:26.600]   It's interesting because I've heard
[00:14:26.600 --> 00:14:29.640]   all the different kinds of applications
[00:14:29.640 --> 00:14:32.080]   straight from the Bible.
[00:14:32.080 --> 00:14:36.880]   In fact, in the book that we recommend,
[00:14:36.880 --> 00:14:42.240]   Instructions in Righteousness, there are great ideas in there.
[00:14:42.240 --> 00:14:45.600]   She can really give a lot of good information.
[00:14:45.600 --> 00:14:49.720]   But there are several things in there that as a mom,
[00:14:49.720 --> 00:14:52.120]   I wasn't going to apply.
[00:14:52.120 --> 00:14:55.520]   So any time the consequence ended up
[00:14:55.520 --> 00:15:01.560]   taking away something that is what I considered a need,
[00:15:01.560 --> 00:15:03.080]   no, I would not do that.
[00:15:03.080 --> 00:15:06.280]   I would find a different consequence
[00:15:06.280 --> 00:15:10.680]   and stick more with what is a privilege.
[00:15:10.680 --> 00:15:11.480]   So--
[00:15:11.480 --> 00:15:13.800]   OK, makes sense.
[00:15:13.800 --> 00:15:16.120]   Yeah, I mean, if it's that severe
[00:15:16.120 --> 00:15:21.240]   that you would want to remove the privilege of food
[00:15:21.240 --> 00:15:27.960]   from them, I would say you're better off applying a spanking.
[00:15:27.960 --> 00:15:31.120]   Get it done and get it over with and give your child
[00:15:31.120 --> 00:15:34.440]   the chance to succeed, right?
[00:15:34.440 --> 00:15:35.760]   Sometimes we hold off.
[00:15:35.760 --> 00:15:38.680]   We don't want to give the chastisement.
[00:15:38.680 --> 00:15:41.840]   And the chastisement is the one thing that's going to work.
[00:15:41.840 --> 00:15:44.720]   And not that we want that to be the answer to everything,
[00:15:44.720 --> 00:15:49.800]   but if you're not seeing the fruit that you should be seeing
[00:15:49.800 --> 00:15:52.160]   if they're not getting the lesson,
[00:15:52.160 --> 00:15:56.280]   that means that they're rejecting the lesson.
[00:15:56.280 --> 00:16:00.720]   They are capable of it, but they're not doing it.
[00:16:00.720 --> 00:16:07.120]   And so that's them making a decision to hear you,
[00:16:07.120 --> 00:16:09.200]   but to not respond.
[00:16:09.200 --> 00:16:10.040]   OK.
[00:16:10.040 --> 00:16:13.640]   Yeah, we've never not given them food in the end.
[00:16:13.640 --> 00:16:16.840]   It's just like, well, we all work together in order.
[00:16:16.840 --> 00:16:19.560]   And food is-- we'll say it like that.
[00:16:19.560 --> 00:16:21.240]   We've never once not given them food,
[00:16:21.240 --> 00:16:23.040]   but it's enough to kind of sometimes
[00:16:23.040 --> 00:16:26.400]   motivate some of them who care about eating.
[00:16:26.400 --> 00:16:29.200]   I mean, I might do something where
[00:16:29.200 --> 00:16:31.600]   they are the ones that serve the food,
[00:16:31.600 --> 00:16:33.920]   and they are the ones that clean up after.
[00:16:33.920 --> 00:16:35.640]   That'd be better.
[00:16:35.640 --> 00:16:36.840]   Those kinds of things.
[00:16:36.840 --> 00:16:39.960]   And that way, they are getting in the service
[00:16:39.960 --> 00:16:42.480]   that they should be doing.
[00:16:42.480 --> 00:16:43.920]   So there's things like that where
[00:16:43.920 --> 00:16:46.800]   I wouldn't go directly at not giving them food,
[00:16:46.800 --> 00:16:51.040]   but then find that consequence somewhere around there.
[00:16:51.040 --> 00:16:52.160]   OK, got it.
[00:16:52.160 --> 00:16:53.600]   Thank you.
[00:16:53.600 --> 00:16:55.760]   Sarah's got a question.
[00:16:55.760 --> 00:16:58.400]   Was that a book that you just recommended?
[00:16:58.400 --> 00:16:59.480]   Yes.
[00:16:59.480 --> 00:17:00.520]   What was it again?
[00:17:00.520 --> 00:17:01.600]   I'm sorry.
[00:17:01.600 --> 00:17:04.440]   For Instructions in Righteousness,
[00:17:04.440 --> 00:17:08.000]   and it's from Doorpost Ministries.
[00:17:08.000 --> 00:17:10.360]   You can buy it on Amazon, but I would just
[00:17:10.360 --> 00:17:12.560]   go straight to Doorpost.
[00:17:12.560 --> 00:17:16.240]   They'll get it out to you.
[00:17:16.240 --> 00:17:20.240]   And I know it seems like all the good Christian books
[00:17:20.240 --> 00:17:24.400]   are starting to sell for more and more on Amazon.
[00:17:24.400 --> 00:17:27.400]   So it's not really worth it.
[00:17:27.400 --> 00:17:30.720]   And better for the ministry person
[00:17:30.720 --> 00:17:33.880]   to be making the money than Amazon making the money.
[00:17:33.880 --> 00:17:36.720]   Anyway, yeah, Doorpost is the one
[00:17:36.720 --> 00:17:40.160]   that has all the charts that we recommend.
[00:17:40.160 --> 00:17:44.000]   The If/Then chart and the Blessing chart,
[00:17:44.000 --> 00:17:45.760]   they're so good.
[00:17:45.760 --> 00:17:46.960]   Go to the ant.
[00:17:46.960 --> 00:17:52.360]   That's one if somebody is being a sluggard.
[00:17:52.360 --> 00:17:56.640]   And it's a whole lesson on going to the ant
[00:17:56.640 --> 00:18:02.040]   and seeing how God has created the ant to be a worker.
[00:18:02.040 --> 00:18:05.960]   And then there's also really good lessons
[00:18:05.960 --> 00:18:08.560]   for boys and for girls.
[00:18:08.560 --> 00:18:10.320]   And I love that ministry.
[00:18:10.320 --> 00:18:13.200]   They have been doing a phenomenal job
[00:18:13.200 --> 00:18:15.000]   ever since my kids were little.
[00:18:15.000 --> 00:18:17.400]   And they're still going strong.
[00:18:17.400 --> 00:18:22.440]   And her biggest book is For Instructions in Righteousness.
[00:18:22.440 --> 00:18:27.960]   And it's literally like a Bible study on behaviors.
[00:18:27.960 --> 00:18:29.360]   So she's gone through.
[00:18:29.360 --> 00:18:31.960]   And then she's taken it from the If/Then.
[00:18:31.960 --> 00:18:35.240]   So if your child has done this, then this
[00:18:35.240 --> 00:18:39.040]   would be either the consequence or this would be the blessing.
[00:18:39.040 --> 00:18:42.560]   And she covers all of that information.
[00:18:42.560 --> 00:18:45.640]   I can't tell you how many times I referenced that book when
[00:18:45.640 --> 00:18:49.160]   my kids were growing up, when I was not
[00:18:49.160 --> 00:18:52.760]   able to come up with the correct thing at the correct moment.
[00:18:52.760 --> 00:18:55.280]   And I would run to that book and open it up
[00:18:55.280 --> 00:18:59.640]   and get a great idea on how to do a consequence.
[00:18:59.640 --> 00:19:01.520]   Although, like I said, be careful
[00:19:01.520 --> 00:19:06.600]   that you're not taking any needs or being too harsh on it.
[00:19:06.600 --> 00:19:08.320]   Find a good consequence.
[00:19:08.320 --> 00:19:14.320]   And if it is something that is like don't give them a meal,
[00:19:14.320 --> 00:19:17.040]   something like that where I just I don't agree with that,
[00:19:17.040 --> 00:19:20.800]   but then think, OK, what's surrounding the meal
[00:19:20.800 --> 00:19:23.880]   that I can use as a consequence?
[00:19:23.880 --> 00:19:26.840]   And so like in this situation that we just had,
[00:19:26.840 --> 00:19:30.000]   I referenced being the one who serves the family
[00:19:30.000 --> 00:19:32.320]   or being the one who clears the plates
[00:19:32.320 --> 00:19:36.360]   and maybe even does the dishes, those kinds of things.
[00:19:36.360 --> 00:19:41.120]   So you can switch things out for what she recommends.
[00:19:41.120 --> 00:19:50.600]   If it's something that feels out of sorts to you and be wise.
[00:19:50.600 --> 00:19:54.720]   You guys have the Holy Spirit, be wise.
[00:19:54.720 --> 00:19:55.400]   Be discerning.
[00:19:55.400 --> 00:20:02.680]   Yeah, she was a tougher disciplinarian than I ever was.
[00:20:02.680 --> 00:20:08.880]   I really love the gospel, just remembering the gospel,
[00:20:08.880 --> 00:20:12.560]   remembering compassion, remembering
[00:20:12.560 --> 00:20:15.480]   what the purpose of discipline is.
[00:20:15.480 --> 00:20:19.280]   It is to get them to improve for the better,
[00:20:19.280 --> 00:20:22.840]   to get them to overcome their sin.
[00:20:22.840 --> 00:20:24.360]   It's not punishment.
[00:20:24.360 --> 00:20:27.640]   And so if we keep all those things in mind,
[00:20:27.640 --> 00:20:32.800]   then we can pick out the really good suggestions.
[00:20:32.800 --> 00:20:35.440]   And there are a lot of them in there.
[00:20:35.440 --> 00:20:42.240]   And leave the ones that aren't quite so merciful.
[00:20:42.240 --> 00:20:44.040]   Yeah, use your mommy and daddy to serve.
[00:20:44.040 --> 00:20:45.400]   Yes, definitely.
[00:20:45.400 --> 00:20:47.040]   Yeah.
[00:20:47.040 --> 00:20:49.760]   OK, any other questions on day one?
[00:20:49.760 --> 00:20:52.840]   And I have to tell you, I feel a little bit the same
[00:20:52.840 --> 00:20:54.320]   with Red Bradley, too.
[00:20:54.320 --> 00:20:57.720]   That's a book I would never recommend on its own.
[00:20:57.720 --> 00:21:00.240]   I recommend it to go along with Ted Tripp
[00:21:00.240 --> 00:21:02.600]   because Ted Tripp is so good at teaching
