
[00:00:00.000 --> 00:00:06.920]   [APPLAUSE]
[00:02:28.160 --> 00:02:30.880]   The idea here is that when you do a conversion,
[00:02:30.880 --> 00:02:32.400]   the conversion is taxable.
[00:02:32.400 --> 00:02:34.920]   So you have to pay some tax right now, right?
[00:02:34.920 --> 00:02:37.800]   But then the money is going to be in a Roth IRA going forward.
[00:02:37.800 --> 00:02:40.320]   So Roth IRAs are allowed to grow tax-free.
[00:02:40.320 --> 00:02:42.960]   So you won't have to pay tax later as it grows.
[00:02:42.960 --> 00:02:45.160]   And as long as you meet the appropriate requirements,
[00:02:45.160 --> 00:02:47.680]   you can take the money out tax-free as well.
[00:02:47.680 --> 00:02:51.200]   Whereas, conversely, if you don't do a conversion,
[00:02:51.200 --> 00:02:54.480]   then you won't be paying any tax right now because you
[00:02:54.480 --> 00:02:56.160]   didn't do a conversion.
[00:02:56.160 --> 00:02:59.000]   But then the money is still in a traditional IRA or other tax
[00:02:59.000 --> 00:03:00.200]   deferred account.
[00:03:00.200 --> 00:03:03.160]   And so you most likely would have
[00:03:03.160 --> 00:03:06.040]   to pay tax at some point later whenever the money does
[00:03:06.040 --> 00:03:08.680]   come out of the account later.
[00:03:08.680 --> 00:03:11.760]   And of the three effects shown on this slide,
[00:03:11.760 --> 00:03:15.120]   this first one, paying tax now instead of paying tax later,
[00:03:15.120 --> 00:03:20.320]   this is the one that gets almost all of the discussion.
[00:03:20.320 --> 00:03:24.160]   And in fact, it's very common to see this treated as if it
[00:03:24.160 --> 00:03:25.960]   is the entirety of the analysis.
[00:03:25.960 --> 00:03:28.800]   It's very common to see articles and bogleheads threads where
[00:03:28.800 --> 00:03:31.020]   this is the only thing that gets brought up.
[00:03:31.020 --> 00:03:32.600]   But as we'll see in just a little bit,
[00:03:32.600 --> 00:03:34.480]   this is really only one piece of the picture.
[00:03:34.480 --> 00:03:37.720]   It's important to account for more than this.
[00:03:37.720 --> 00:03:40.480]   Now, this effect of paying tax now instead of paying tax
[00:03:40.480 --> 00:03:44.640]   later, it can be helpful or it can be harmful.
[00:03:44.640 --> 00:03:46.360]   So it can be a good thing or it can be a bad thing.
[00:03:46.360 --> 00:03:48.320]   It can be a point in favor of doing a conversion
[00:03:48.320 --> 00:03:49.920]   or a point against.
[00:03:49.920 --> 00:03:54.120]   And that all depends on the current marginal tax rate.
[00:03:54.120 --> 00:03:56.380]   And by that, I mean the tax rate that you would pay
[00:03:56.380 --> 00:03:58.240]   on a conversion of a given size if you did
[00:03:58.240 --> 00:04:00.240]   do that conversion this year.
[00:04:00.240 --> 00:04:02.440]   And how does that tax rate compare
[00:04:02.440 --> 00:04:04.880]   to the future marginal tax rate?
[00:04:04.880 --> 00:04:07.280]   And by that, we specifically mean
[00:04:07.280 --> 00:04:10.880]   the tax rate that would be paid on the dollars in question
[00:04:10.880 --> 00:04:13.040]   whenever they come out of the account later
[00:04:13.040 --> 00:04:14.880]   if you don't convert them.
[00:04:14.880 --> 00:04:17.080]   So we're comparing those two tax rates.
[00:04:17.080 --> 00:04:18.800]   And whenever the current tax rate,
[00:04:18.800 --> 00:04:20.500]   so the tax rate on the conversion,
[00:04:20.500 --> 00:04:24.600]   is the lower of the two, then this effect is helpful.
[00:04:24.600 --> 00:04:26.940]   It's a point in favor of doing a conversion.
[00:04:26.940 --> 00:04:29.080]   And conversely, whenever the current tax rate
[00:04:29.080 --> 00:04:32.400]   is the higher of the two, then this effect is harmful
[00:04:32.400 --> 00:04:35.600]   because it means you're paying tax now at a higher tax rate
[00:04:35.600 --> 00:04:37.840]   when you could have waited and paid tax later
[00:04:37.840 --> 00:04:38.760]   at a lower tax rate.
[00:04:38.760 --> 00:04:40.240]   So that's not a good thing.
[00:04:40.240 --> 00:04:42.640]   So this effect, it can be good or it can be bad.
[00:04:42.640 --> 00:04:44.480]   It just depends on the circumstances.
[00:04:44.480 --> 00:04:48.480]   Now, there are a number of caveats,
[00:04:48.480 --> 00:04:51.360]   complicating factors, that make this pay tax now
[00:04:51.360 --> 00:04:54.780]   or pay tax later thing more complicated
[00:04:54.780 --> 00:04:57.280]   than it might appear at first glance.
[00:04:57.280 --> 00:04:58.700]   The first one is that when we're talking
[00:04:58.700 --> 00:05:02.660]   about marginal tax rates, your marginal tax rate
[00:05:02.660 --> 00:05:05.040]   might be different than just your tax bracket.
[00:05:05.040 --> 00:05:07.180]   We often treat those two terms as if they're synonyms,
[00:05:07.180 --> 00:05:09.920]   but they're not because there are a ton
[00:05:09.920 --> 00:05:11.960]   of different things in our tax code
[00:05:11.960 --> 00:05:14.080]   where as your income goes up,
[00:05:14.080 --> 00:05:18.720]   your income tax does go up as a result of your tax bracket,
[00:05:18.720 --> 00:05:21.400]   but something else also happens.
[00:05:21.400 --> 00:05:23.260]   Like this additional taxable income causes you
[00:05:23.260 --> 00:05:25.400]   to become ineligible for a particular tax credit
[00:05:25.400 --> 00:05:26.720]   or something like that.
[00:05:26.720 --> 00:05:29.160]   And so when you account for that factor
[00:05:29.160 --> 00:05:32.780]   plus your tax bracket, your actual marginal tax rate
[00:05:32.780 --> 00:05:35.440]   can be considerably higher than just the tax bracket
[00:05:35.440 --> 00:05:36.560]   that you're in.
[00:05:36.560 --> 00:05:39.000]   And I wanna run through just a few things
[00:05:39.000 --> 00:05:40.560]   that can cause that type of effect
[00:05:40.560 --> 00:05:42.000]   that are most likely to be relevant
[00:05:42.000 --> 00:05:43.640]   in a Roth conversion analysis.
[00:05:43.640 --> 00:05:46.800]   The first one is the premium tax credit.
[00:05:46.800 --> 00:05:49.240]   So that's the credit for anybody buying health insurance
[00:05:49.240 --> 00:05:50.760]   on the Affordable Care Act exchange.
[00:05:50.760 --> 00:05:52.280]   So that's most often gonna be relevant
[00:05:52.280 --> 00:05:55.040]   in a scenario where you retire before 65,
[00:05:55.040 --> 00:05:57.520]   so you're not yet on Medicare, but you've retired,
[00:05:57.520 --> 00:05:59.940]   so you don't have insurance through your previous employer,
[00:05:59.940 --> 00:06:02.560]   most likely, so you're probably buying insurance
[00:06:02.560 --> 00:06:03.400]   on the exchange.
[00:06:03.400 --> 00:06:06.800]   And the way that credit works is that
[00:06:06.800 --> 00:06:09.400]   as your income goes up, the credit shrinks,
[00:06:09.400 --> 00:06:11.800]   and eventually it shrinks all the way to zero.
[00:06:11.800 --> 00:06:13.720]   And so let's say you're 63,
[00:06:13.720 --> 00:06:16.060]   and you're thinking about doing a conversion this year,
[00:06:16.060 --> 00:06:18.320]   and you're buying insurance on the exchange.
[00:06:18.320 --> 00:06:20.920]   Well, then this is something we have to account for.
[00:06:20.920 --> 00:06:23.520]   Is this taxable income from the conversion
[00:06:23.520 --> 00:06:25.420]   going to be shrinking this tax credit?
[00:06:25.420 --> 00:06:31.320]   And if the answer is yes, that doesn't necessarily mean...
[00:06:31.320 --> 00:06:34.540]   (audience laughing)
[00:06:38.200 --> 00:06:39.800]   Can we get that light switch back on?
[00:06:39.800 --> 00:06:40.640]   Thank you.
[00:06:40.640 --> 00:06:45.120]   So if a conversion would be shrinking
[00:06:45.120 --> 00:06:47.960]   your premium tax credit, that's not a good thing,
[00:06:47.960 --> 00:06:49.680]   but it isn't necessarily enough to say
[00:06:49.680 --> 00:06:51.760]   that we shouldn't do a conversion.
[00:06:51.760 --> 00:06:55.480]   It just is something we need to account for in the math
[00:06:55.480 --> 00:06:57.180]   in order to be doing it correctly.
[00:06:57.180 --> 00:07:01.000]   Then the way that Social Security benefits are taxed,
[00:07:01.000 --> 00:07:02.880]   that can also cause this type of effect.
[00:07:02.880 --> 00:07:04.960]   Basically, if your income is low enough,
[00:07:04.960 --> 00:07:06.960]   your benefits are not taxable,
[00:07:06.960 --> 00:07:08.720]   but then as your income proceeds upwards
[00:07:08.720 --> 00:07:10.200]   through a particular range,
[00:07:10.200 --> 00:07:14.320]   the portion of your benefits that are taxable, it goes up.
[00:07:14.320 --> 00:07:17.880]   So as your income is proceeding upward through that range,
[00:07:17.880 --> 00:07:21.040]   the actual marginal tax rate is much higher
[00:07:21.040 --> 00:07:23.840]   than just the tax bracket that you're in.
[00:07:23.840 --> 00:07:25.520]   And Medicare IRMA,
[00:07:25.520 --> 00:07:28.160]   that's Income Related Monthly Adjustment Amount,
[00:07:28.160 --> 00:07:30.000]   and it is just a rule that says that
[00:07:30.000 --> 00:07:32.920]   if your income crosses a certain threshold
[00:07:32.920 --> 00:07:35.680]   or various thresholds in a particular year,
[00:07:35.680 --> 00:07:38.600]   then your Medicare premiums two years from now
[00:07:38.600 --> 00:07:40.040]   are going to be higher.
[00:07:40.040 --> 00:07:44.360]   So if we're thinking about conversions in 2024,
[00:07:44.360 --> 00:07:48.080]   if you would be 65 or older in 2026, so two years from now,
[00:07:48.080 --> 00:07:49.880]   then we want to be thinking about,
[00:07:49.880 --> 00:07:53.320]   would this conversion push you over one of those thresholds?
[00:07:53.320 --> 00:07:55.040]   And again, if the answer is yes,
[00:07:55.040 --> 00:07:57.560]   that doesn't necessarily mean no conversions,
[00:07:57.560 --> 00:08:00.440]   it just means that's something we have to be accounting for
[00:08:00.440 --> 00:08:02.480]   in order to be getting the math right.
[00:08:02.480 --> 00:08:06.200]   And one thing to point out about this idea
[00:08:06.200 --> 00:08:08.680]   that marginal tax rate and tax bracket
[00:08:08.680 --> 00:08:10.600]   are not necessarily the same
[00:08:10.600 --> 00:08:12.760]   is that we need to be thinking about that
[00:08:12.760 --> 00:08:15.320]   on both ends of this analysis, right?
[00:08:15.320 --> 00:08:18.600]   We're talking about pay tax now or pay tax later,
[00:08:18.600 --> 00:08:20.600]   and we're looking at the current tax rate
[00:08:20.600 --> 00:08:22.600]   and the future tax rate.
[00:08:22.600 --> 00:08:24.440]   In both cases,
[00:08:24.440 --> 00:08:27.320]   we're concerned with your actual marginal tax rate,
[00:08:27.320 --> 00:08:29.320]   not just the tax bracket that you're in.
[00:08:30.320 --> 00:08:33.760]   Another important complicating factor
[00:08:33.760 --> 00:08:37.520]   that people often overlook is that for a married couple,
[00:08:37.520 --> 00:08:39.720]   one thing that often happens
[00:08:39.720 --> 00:08:42.120]   after either of the two people has died
[00:08:42.120 --> 00:08:44.320]   is that the surviving spouse
[00:08:44.320 --> 00:08:47.920]   is left with a higher marginal tax rate going forward.
[00:08:47.920 --> 00:08:51.720]   And the reason for that is that the standard deduction
[00:08:51.720 --> 00:08:54.920]   for a single filer is only half the size
[00:08:54.920 --> 00:08:57.720]   that it is for a married couple filing jointly.
[00:08:57.720 --> 00:09:00.920]   And the tax brackets only have half as much space in them.
[00:09:00.920 --> 00:09:03.920]   But typically, when one of the two spouses dies,
[00:09:03.920 --> 00:09:06.520]   what happens is that the household's income falls,
[00:09:06.520 --> 00:09:08.520]   but it falls by less than half
[00:09:08.520 --> 00:09:09.920]   because it's usually the smaller
[00:09:09.920 --> 00:09:12.920]   of the two Social Security benefit amounts that goes away.
[00:09:12.920 --> 00:09:15.120]   And the income from the portfolio
[00:09:15.120 --> 00:09:17.720]   usually doesn't change at all, or at least not very much, right?
[00:09:17.720 --> 00:09:20.520]   It's still there, paying interest and dividends and RMDs and so on.
[00:09:20.520 --> 00:09:23.720]   So the surviving spouse, they have half the standard deduction
[00:09:23.720 --> 00:09:26.120]   and half the space in the tax brackets
[00:09:26.120 --> 00:09:28.520]   but more than half as much income.
[00:09:28.520 --> 00:09:31.920]   And so the result is that they're often left with a higher tax rate.
[00:09:31.920 --> 00:09:34.520]   And the takeaway with respect to Roth conversions
[00:09:34.520 --> 00:09:36.720]   is that this can be a compelling point
[00:09:36.720 --> 00:09:41.720]   in favor of doing conversions while both people are still alive.
[00:09:41.720 --> 00:09:44.920]   Another caveat, another complicating factor here
[00:09:44.920 --> 00:09:49.120]   is that when we're talking about that future tax rate,
[00:09:49.120 --> 00:09:53.320]   it might not be your future tax rate that we're talking about
[00:09:53.320 --> 00:09:55.720]   for a significant portion of these dollars.
[00:09:55.720 --> 00:09:59.320]   It could be the tax rate that your heirs, your beneficiaries,
[00:09:59.320 --> 00:10:01.520]   would be paying on distributions
[00:10:01.520 --> 00:10:04.120]   from an inherited tax-deferred account.
[00:10:04.120 --> 00:10:07.120]   And so there's a couple of things we want to be thinking about there.
[00:10:07.120 --> 00:10:11.120]   Sorry, one moment.
[00:10:11.120 --> 00:10:12.920]   The first thing we want to be thinking about
[00:10:12.920 --> 00:10:16.320]   is how many beneficiaries will there be?
[00:10:16.320 --> 00:10:19.920]   Because imagine you've got one adult child
[00:10:19.920 --> 00:10:21.920]   and they have no kids of their own
[00:10:21.920 --> 00:10:24.920]   and there's nobody else you're planning on leaving any of these assets to.
[00:10:24.920 --> 00:10:28.520]   Well, then it's pretty darn likely
[00:10:28.520 --> 00:10:31.320]   that the distributions themselves,
[00:10:31.320 --> 00:10:34.320]   as in the distributions that this beneficiary would have to take
[00:10:34.320 --> 00:10:36.520]   from an inherited traditional IRA,
[00:10:36.520 --> 00:10:37.920]   it's likely that those distributions
[00:10:37.920 --> 00:10:41.520]   would be pushing this person up into a higher tax rate.
[00:10:41.520 --> 00:10:44.320]   And so that would be a compelling point
[00:10:44.320 --> 00:10:46.320]   in favor of doing conversions now.
[00:10:46.320 --> 00:10:49.320]   Pay tax at your current tax rate, whatever it happens to be,
[00:10:49.320 --> 00:10:52.920]   so your beneficiary doesn't have to pay a much higher tax rate later.
[00:10:52.920 --> 00:10:55.120]   But if you think about a different scenario,
[00:10:55.120 --> 00:10:56.920]   if you've got ten beneficiaries,
[00:10:56.920 --> 00:10:59.320]   four kids and six grandkids or something like that,
[00:10:59.320 --> 00:11:02.320]   and the accounts are going to be split up among all ten of those people,
[00:11:02.320 --> 00:11:03.720]   then it's a lot less likely
[00:11:03.720 --> 00:11:06.920]   that the distributions would be pushing them up into higher tax rates.
[00:11:06.920 --> 00:11:09.920]   And so this wouldn't necessarily be a point in favor of conversions
[00:11:09.920 --> 00:11:11.920]   and could be a point against doing a conversion.
[00:11:11.920 --> 00:11:15.320]   So it all depends on the circumstances.
[00:11:15.320 --> 00:11:17.320]   We also want to be thinking about what are the careers,
[00:11:17.320 --> 00:11:21.320]   or just more broadly, what are the earnings levels of these beneficiaries?
[00:11:21.320 --> 00:11:23.920]   The higher their level of earnings,
[00:11:23.920 --> 00:11:26.920]   the more likely it is that they're going to be paying very high tax rates
[00:11:26.920 --> 00:11:30.320]   on distributions from any inherited tax-deferred accounts.
[00:11:30.320 --> 00:11:34.320]   And so if all of these beneficiaries have high levels of earnings,
[00:11:34.320 --> 00:11:36.920]   that's a strong point in favor of doing conversions.
[00:11:36.920 --> 00:11:40.720]   Whereas if these beneficiaries have more modest levels of earnings,
[00:11:40.720 --> 00:11:43.120]   that could be a point against doing conversions.
[00:11:43.120 --> 00:11:46.920]   So this all just depends on the circumstances.
[00:11:46.920 --> 00:11:51.120]   And then our last caveat here on this paying tax now versus paying tax later idea
[00:11:51.120 --> 00:11:56.720]   is that to the extent that you would use qualified charitable distributions, QCDs,
[00:11:56.720 --> 00:11:59.720]   or to the extent that you would leave tax-deferred dollars
[00:11:59.720 --> 00:12:02.720]   to charity at your death by naming a charity
[00:12:02.720 --> 00:12:05.720]   as the beneficiary of your IRA or something like that,
[00:12:05.720 --> 00:12:07.720]   well, then, to that extent,
[00:12:07.720 --> 00:12:10.120]   the future tax rate that we're talking about,
[00:12:10.120 --> 00:12:15.320]   it's actually zero because nonprofit organizations are tax-exempt.
[00:12:15.320 --> 00:12:17.320]   They don't have to pay tax on dollars
[00:12:17.320 --> 00:12:21.120]   that they get from a traditional IRA or 401(k) or something like that.
[00:12:21.120 --> 00:12:27.320]   And so if you anticipate a large portion of your tax-deferred balances
[00:12:27.320 --> 00:12:29.320]   ultimately going to charity,
[00:12:29.320 --> 00:12:35.720]   well, then, that is a pretty compelling point against doing Roth conversions
[00:12:35.720 --> 00:12:39.120]   because it means you're paying tax now at whatever tax rate you pay on the conversion
[00:12:39.120 --> 00:12:41.520]   when ultimately a good chunk of these dollars
[00:12:41.520 --> 00:12:45.120]   could have come out of the account later at a 0% tax rate anyway.
[00:12:45.120 --> 00:12:48.920]   And paying tax now to avoid zero taxes later is not helpful.
[00:12:48.920 --> 00:12:52.520]   So that's one thing to have in mind.
[00:12:52.520 --> 00:12:56.120]   And that is the first effect of a Roth conversion.
[00:12:56.120 --> 00:12:58.920]   You pay tax now instead of paying tax later,
[00:12:58.920 --> 00:13:00.720]   and it can be good or it can be bad.
[00:13:00.720 --> 00:13:04.720]   It just depends on all the circumstances.
[00:13:04.720 --> 00:13:07.120]   The second effect of a Roth conversion
[00:13:07.120 --> 00:13:11.920]   is that conversions let you use taxable account dollars
[00:13:11.920 --> 00:13:15.120]   to essentially buy more Roth space.
[00:13:15.120 --> 00:13:17.920]   And before getting into how that works,
[00:13:17.920 --> 00:13:20.520]   I want to make sure we're all clear on a definition
[00:13:20.520 --> 00:13:24.120]   because I actually see this misunderstanding a lot on the Vogelheads forum.
[00:13:24.120 --> 00:13:28.520]   Sometimes people think that a taxable account means a traditional IRA,
[00:13:28.520 --> 00:13:31.920]   meaning that it's taxable because you take the money out and it's taxable,
[00:13:31.920 --> 00:13:33.920]   but that's not what we're talking about.
[00:13:33.920 --> 00:13:38.720]   A taxable account is any account that doesn't have special tax treatment.
[00:13:38.720 --> 00:13:41.120]   So a taxable account is not a traditional IRA.
[00:13:41.120 --> 00:13:43.520]   It's not a Roth IRA.
[00:13:43.520 --> 00:13:45.520]   It's not a 401(k) or a Roth 401(k).
[00:13:45.520 --> 00:13:48.120]   It's not a 403(b) or a Roth 403(b).
[00:13:48.120 --> 00:13:51.120]   It's not a 457 or a 529 or an HSA or an FSA.
[00:13:51.120 --> 00:13:52.320]   It's none of that stuff.
[00:13:52.320 --> 00:13:57.320]   It's basically a regular checking account or a regular savings account.
[00:13:57.320 --> 00:14:00.120]   Or if you went to Vanguard or Schwab or your favorite brokerage firm
[00:14:00.120 --> 00:14:03.520]   and opened up a new brokerage account that isn't an IRA,
[00:14:03.520 --> 00:14:04.720]   that's a taxable account.
[00:14:04.720 --> 00:14:06.720]   Those are the types of accounts we're talking about here.
[00:14:06.720 --> 00:14:08.920]   And we call them taxable accounts because they're the types of accounts
[00:14:08.920 --> 00:14:11.720]   where you have to pay tax every year on the interest and dividends
[00:14:11.720 --> 00:14:13.920]   that you earn and so on.
[00:14:13.920 --> 00:14:21.120]   And the idea of effect number two here is that you can use money
[00:14:21.120 --> 00:14:26.120]   from a taxable account to pay the tax on the conversion.
[00:14:26.120 --> 00:14:28.120]   And when you do that, what's happening essentially
[00:14:28.120 --> 00:14:31.520]   is that you're giving up money from a taxable account
[00:14:31.520 --> 00:14:33.520]   and you're getting more Roth money.
[00:14:33.520 --> 00:14:35.120]   And to illustrate how that works, I want
[00:14:35.120 --> 00:14:38.520]   to run through a very quick example of a Roth conversion.
[00:14:38.520 --> 00:14:40.320]   And as we'll see, this is actually an example
[00:14:40.320 --> 00:14:42.120]   of what not to do in most cases.
[00:14:42.120 --> 00:14:44.320]   But we'll get to that in just a minute.
[00:14:44.320 --> 00:14:46.720]   And so we're going to keep the math easy.
[00:14:46.720 --> 00:14:49.320]   We're going to assume it's a 25% tax rate.
[00:14:49.320 --> 00:14:52.420]   And we're going to assume it's a $100,000 Roth conversion.
[00:14:52.420 --> 00:14:53.420]   Easy math.
[00:14:53.420 --> 00:14:58.020]   So we have $100,000 coming out of a traditional IRA.
[00:14:58.020 --> 00:15:01.320]   And when you do a conversion, you have a choice.
[00:15:01.320 --> 00:15:05.320]   You can have taxes withheld if you want to at any percentage you want,
[00:15:05.320 --> 00:15:06.620]   including zero.
[00:15:06.620 --> 00:15:10.020]   So it's optional, but you can have taxes withheld.
[00:15:10.020 --> 00:15:11.520]   And so in this example, we're going
[00:15:11.520 --> 00:15:14.320]   to assume that you do choose to have taxes withheld.
[00:15:14.320 --> 00:15:17.420]   And you're anticipating a 25% tax rate.
[00:15:17.420 --> 00:15:21.020]   So again, easy math, 25% gets withheld.
[00:15:21.020 --> 00:15:25.520]   And that means that $75,000 of this conversion, $75,000
[00:15:25.520 --> 00:15:28.120]   is what actually ends up in the Roth.
[00:15:28.120 --> 00:15:30.220]   The other $25,000 gets withheld.
[00:15:30.220 --> 00:15:32.420]   It goes to the IRS.
[00:15:32.420 --> 00:15:35.320]   So that's one way you can do a conversion.
[00:15:35.320 --> 00:15:39.820]   Or instead of doing that, you can do this, what we have on this slide.
[00:15:39.820 --> 00:15:44.720]   Here we have $100,000 coming out of the traditional IRA.
[00:15:44.720 --> 00:15:46.720]   Nothing gets withheld.
[00:15:46.720 --> 00:15:50.420]   So the whole $100,000 goes into the Roth account.
[00:15:50.420 --> 00:15:52.020]   But you still do have to pay the tax.
[00:15:52.020 --> 00:15:55.820]   And so we're just writing a check, essentially, to the IRS for $25,000.
[00:15:55.820 --> 00:15:59.220]   We're using money from a taxable account to pay that tax.
[00:15:59.220 --> 00:16:04.220]   And so what has happened here is you gave up money from a taxable account,
[00:16:04.220 --> 00:16:06.720]   because that's what you used to pay the tax.
[00:16:06.720 --> 00:16:08.220]   But you got more Roth money.
[00:16:08.220 --> 00:16:11.220]   Because in this case, $100,000 made it into the Roth.
[00:16:11.220 --> 00:16:16.920]   The whole amount made it into the Roth instead of only $75,000.
[00:16:16.920 --> 00:16:20.420]   Now, this effect of using taxable account money to pay the tax
[00:16:20.420 --> 00:16:23.020]   and therefore, essentially, buy more Roth space,
[00:16:23.020 --> 00:16:26.120]   one thing to point out is that it doesn't apply to everybody.
[00:16:26.120 --> 00:16:29.520]   If you don't have taxable account dollars that you could use,
[00:16:29.520 --> 00:16:30.720]   well, then who really cares?
[00:16:30.720 --> 00:16:31.420]   It's not relevant.
[00:16:31.420 --> 00:16:33.220]   You don't need to be thinking about it.
[00:16:33.220 --> 00:16:39.120]   But in the cases where it is applicable, by definition,
[00:16:39.120 --> 00:16:41.120]   it's a point in favor of conversions.
[00:16:41.120 --> 00:16:43.820]   This one's never a point against conversions.
[00:16:43.820 --> 00:16:46.420]   The only two choices here are it does not apply
[00:16:46.420 --> 00:16:48.920]   or it's a point in favor of conversions.
[00:16:48.920 --> 00:16:52.720]   And the reason for that is that taxable accounts
[00:16:52.720 --> 00:16:54.720]   have what we call tax drag.
[00:16:54.720 --> 00:16:57.420]   And Roth accounts don't have that.
[00:16:57.420 --> 00:17:00.420]   And what I mean by that is that in a taxable account every year,
[00:17:00.420 --> 00:17:02.520]   you have to pay tax on the interest that you earn.
[00:17:02.520 --> 00:17:04.220]   You have to pay tax on the dividends that you earn.
[00:17:04.220 --> 00:17:07.520]   You have to pay tax on the capital gains when you sell something.
[00:17:07.520 --> 00:17:09.820]   And we call that tax drag
[00:17:09.820 --> 00:17:13.020]   because it's taxes dragging down your rate of return.
[00:17:13.020 --> 00:17:17.120]   And in Roth accounts, we don't have that.
[00:17:17.120 --> 00:17:18.420]   You don't have to pay those taxes.
[00:17:18.420 --> 00:17:21.820]   You get to keep the whole rate of return.
[00:17:21.820 --> 00:17:24.520]   And one thing that I know you all know,
[00:17:24.520 --> 00:17:27.020]   because this is one thing that we spend so much time
[00:17:27.020 --> 00:17:28.220]   talking about as Bogleheads,
[00:17:28.220 --> 00:17:31.620]   is that expense ratios of mutual funds,
[00:17:31.620 --> 00:17:34.220]   they're really important, right?
[00:17:34.220 --> 00:17:35.620]   And the reason that they're so important,
[00:17:35.620 --> 00:17:38.120]   the reason we spend so much time talking about that
[00:17:38.120 --> 00:17:40.720]   is because even a small difference
[00:17:40.720 --> 00:17:43.020]   in the annual rate of return
[00:17:43.020 --> 00:17:45.520]   when you compound it over many years
[00:17:45.520 --> 00:17:47.520]   is a really big deal.
[00:17:47.520 --> 00:17:52.020]   And that same exact math applies to tax drag.
[00:17:52.020 --> 00:17:54.120]   Even a small difference in the annual rate of return
[00:17:54.120 --> 00:17:56.120]   when we compound it over many years
[00:17:56.120 --> 00:17:58.620]   can have a very big impact.
[00:17:58.620 --> 00:18:02.920]   And so whenever you can give up taxable account money
[00:18:02.920 --> 00:18:06.120]   where you don't keep the whole rate of return
