
[00:00:00.000 --> 00:00:07.200]   Last week Jerry Seinfeld as part of the promotional tour for his new Netflix movie frosted
[00:03:52.840 --> 00:03:57.120]   Writers now write are way more efficient than they've ever been before
[00:03:57.120 --> 00:04:00.160]   Look even in my own lifetime
[00:04:00.160 --> 00:04:05.160]   When I was copy editing my first books, which I wrote in the the early 2000s
[00:04:05.840 --> 00:04:11.760]   They would FedEx you a big printed manuscript with red colored pencils using to do all the corrections
[00:04:11.760 --> 00:04:16.560]   you had to learn all the copy editing marks because you had all these efficient marks that indicate what you meant and
[00:04:16.560 --> 00:04:21.360]   You had to go through each of these things and respond to them with a different color pencil
[00:04:21.360 --> 00:04:23.920]   I mean you would
[00:04:23.920 --> 00:04:25.880]   Check mark things you would cross things out
[00:04:25.880 --> 00:04:29.920]   You would make your own corrections and flag them in the margins and then you have to go to the post office
[00:04:29.920 --> 00:04:34.800]   I remember this so well and put this big thing in a I'd use like a priority mail
[00:04:35.520 --> 00:04:41.360]   Giant envelope and mail it back to Random House and hope it didn't get lost because there was no other copy of this, right?
[00:04:41.360 --> 00:04:45.080]   And now of course we use Microsoft Word and track changes. It's faster
[00:04:45.080 --> 00:04:48.600]   Hemingway would pound out
[00:04:48.600 --> 00:04:52.640]   Each word of his books or a short stories on a Corona typewriter
[00:04:52.640 --> 00:04:57.080]   Now we can copy and paste in a word processor. It's better, right? It's more efficient
[00:04:57.080 --> 00:05:02.440]   But Hemingway wrote a lot and in fact if we look at how much work authors produce
[00:05:02.440 --> 00:05:06.200]   We don't see some major change where as the tools got better authors produced
[00:05:06.200 --> 00:05:08.760]   More writing as the tools got better
[00:05:08.760 --> 00:05:15.560]   We don't see a change that authors produced better writing because ultimately creative acts take a long time. It's much more about the actual
[00:05:15.560 --> 00:05:24.000]   Thinking the construction of the original idea the original voice Jerry's case the original joke. This is what really matters
[00:05:24.000 --> 00:05:26.720]   This is something that is tool agnostic
[00:05:26.720 --> 00:05:31.080]   It is just the very last mile of creation where you actually record that on something and yeah
[00:05:31.080 --> 00:05:35.280]   It's a little bit easier if that's Microsoft Word instead of a typewriter and a typewriter certainly easier
[00:05:35.280 --> 00:05:40.680]   Then it would be writing this on a scroll, but it's the last mile of this long creative process
[00:05:40.680 --> 00:05:43.960]   So it doesn't in the long run affect the quality when I produce or how much I produce
[00:05:43.960 --> 00:05:48.440]   Creative productivity is different than process productivity. If you are a knowledge worker
[00:05:48.440 --> 00:05:53.480]   You're much closer to the creatives than you are to the processes
[00:05:53.480 --> 00:05:58.720]   You're much closer to the Seinfelds and the Hemingways than you are to the pop-tart factory
[00:05:59.440 --> 00:06:03.760]   So there's a good lesson here. Do not get caught up in a process productivity mindset
[00:06:03.760 --> 00:06:09.880]   Updated your tools as a knowledge worker can make your life less annoying on the margins, but is largely
[00:06:09.880 --> 00:06:12.400]   orthogonal
[00:06:12.400 --> 00:06:17.360]   To how much high-quality stuff you produce and how quality those things actually are
[00:06:17.360 --> 00:06:21.640]   All right lesson number two from the Seinfeld interview
[00:06:21.640 --> 00:06:25.160]   Here's the setup Barry Weiss asked Jerry
[00:06:25.160 --> 00:06:27.960]   Do you have a special place?
[00:06:28.440 --> 00:06:32.520]   You like to write. I so here's Jerry's exact quote in response. I
[00:06:32.520 --> 00:06:37.040]   Do but I could write right here. If you would all just leave me alone
[00:06:37.040 --> 00:06:44.360]   Give me a flat surface and I'm good to go. This is the other thing I believe in there is no writer's block
[00:06:44.360 --> 00:06:48.840]   There's no writer's block. There's lazy. They're scared
[00:06:48.840 --> 00:06:51.400]   But there's no writer's block
[00:06:51.400 --> 00:06:56.280]   Just sit down and realize you're mediocre and you're gonna have to put a lot of effort into this to make it good
[00:06:56.680 --> 00:06:58.680]   That's what writing is
[00:06:58.680 --> 00:07:04.200]   But I think we can generalize this to a lot of creative or cognitive pursuits
[00:07:04.200 --> 00:07:07.000]   They're hard
[00:07:07.000 --> 00:07:08.080]   Why are they hard?
[00:07:08.080 --> 00:07:13.840]   well, we can get neurological about this if we want to the human brain is evolved to do lots of things pretty well and
[00:07:13.840 --> 00:07:16.760]   Because we're evolved to do certain things
[00:07:16.760 --> 00:07:20.560]   we don't feel a lot of strain or resistance to doing them if I see a
[00:07:21.040 --> 00:07:28.440]   Animal in the distance that I want to hunt and I'm hungry. I'm evolved to very accurately aim a spear
[00:07:28.440 --> 00:07:32.800]   There's a lot of calculations and machinations that go on within our neural circuitry
[00:07:32.800 --> 00:07:35.840]   But I can aim that spear especially with some practice in a way
[00:07:35.840 --> 00:07:40.240]   That's really quite amazing and have a good chance of hitting that animal. I don't feel resistance to it
[00:07:40.240 --> 00:07:42.240]   It's something I'm doing that I'm evolved to do
[00:07:42.240 --> 00:07:45.280]   abstract cognition
[00:07:45.280 --> 00:07:52.680]   what we some researchers call symbolic processing where we're taking these mechanisms that are meant to encounter a concrete world and we turn them inward and
[00:07:52.680 --> 00:07:55.600]   Say, let's work on an internal abstract world
[00:07:55.600 --> 00:08:00.600]   let's deal with abstractions like writing and concepts and ideas and theories that we're then going to try to wrench into
[00:08:00.600 --> 00:08:04.840]   written words or computer code or a
[00:08:04.840 --> 00:08:10.920]   Design for an ad campaign. We're not evolved to do this. We're again. We're wrenching
[00:08:11.560 --> 00:08:17.680]   Mechanisms meant for a much more embodied physical cognition and we're reassigning them to this more abstract work
[00:08:17.680 --> 00:08:20.800]   Our minds not on board with this and so we feel resistance
[00:08:20.800 --> 00:08:25.600]   this is why if you sit down to write a report or an article or a
[00:08:25.600 --> 00:08:27.200]   novel
[00:08:27.200 --> 00:08:31.280]   You really have a hard time getting started. So your mind's like I don't know what this is
[00:08:31.280 --> 00:08:32.920]   This is not throwing a spear now
[00:08:32.920 --> 00:08:37.600]   It gets easier because once you get going what happens is is you load up all the relevant cognitive context, right?
[00:08:37.600 --> 00:08:40.440]   Now your brain is activating the networks that are relevant to what you're writing
[00:08:40.440 --> 00:08:46.320]   It's inhibiting the networks that aren't relevant to it anymore. You get into a cognitive groove and things rolls along much better
[00:08:46.320 --> 00:08:51.160]   So what this tells us is don't expect it to be easy, but it will get easier as you go along
[00:08:51.160 --> 00:08:53.920]   So just go do it
[00:08:53.920 --> 00:08:56.040]   Stop thinking about the muse
[00:08:56.040 --> 00:08:57.800]   Stop imagining that
[00:08:57.800 --> 00:09:04.240]   Your cognitively demanding process that it's just the mood was just right or your skills were just right or the circumstance was just right
[00:09:04.240 --> 00:09:05.960]   It's gonna come effortlessly
[00:09:05.960 --> 00:09:08.920]   Don't obsess over Mahaly Csikszentmihalyi's theory of flow
[00:09:08.920 --> 00:09:12.360]   Maybe you'll get some flow. Probably not. It's just hard
[00:09:12.360 --> 00:09:18.360]   What you're doing at first isn't good and the way things become good is you put them down and work and work and work on
[00:09:18.360 --> 00:09:19.560]   them
[00:09:19.560 --> 00:09:21.440]   This is certainly my experience writing
[00:09:21.440 --> 00:09:26.200]   It's in particular my experience when I work on a New Yorker piece just because the demands of the language is very high
[00:09:26.200 --> 00:09:28.480]   There's no other way to go about those
[00:09:28.480 --> 00:09:33.080]   But they're just right and right and right and go back and fix and right and just trust over time
[00:09:33.680 --> 00:09:37.600]   You will be able to build from your natural mediocreness into something that might actually work
[00:09:37.600 --> 00:09:39.560]   So I think Jerry is really on to something there now
[00:09:39.560 --> 00:09:43.560]   This doesn't mean now here's the subtlety of this look at what his very first two words of his answer
[00:09:43.560 --> 00:09:47.560]   I do the question was do you have a special place to write and he said I do
[00:09:47.560 --> 00:09:52.840]   So this doesn't mean that location is something you should be indifferent to it can help
[00:09:52.840 --> 00:09:55.480]   Talk about this all the time on the show
[00:09:55.480 --> 00:09:58.040]   if you have a location that you
[00:09:58.040 --> 00:10:02.480]   associate exclusively with a certain type of deep work
[00:10:03.480 --> 00:10:08.740]   It will be easier to get into those deep work sessions. Not easy easier if you have a ritual you do
[00:10:08.740 --> 00:10:11.720]   consistently, but before
[00:10:11.720 --> 00:10:18.000]   Deep work sessions. It will make it easier to do that deep work not easy, but easier
[00:10:18.000 --> 00:10:21.600]   But you don't have to have that and even with that it's going to be hard
[00:10:21.600 --> 00:10:25.640]   So I like his mindset of you should be willing to just find a flat surface and go or whatever
[00:10:25.640 --> 00:10:31.480]   Your equivalent of a flat surface is for the creative endeavor that you are involved in. There's one thing
[00:10:31.480 --> 00:10:33.920]   I'm gonna add to Jerry's wisdom here. Hey, it's Cal
[00:10:33.920 --> 00:10:39.960]   I wanted to interrupt briefly to say that if you're enjoying this video, then you need to check out my new book
[00:10:39.960 --> 00:10:44.360]   slow productivity the lost art of accomplishment without
[00:10:44.360 --> 00:10:51.120]   Burnout. This is like the Bible for most of the ideas we talked about here in these videos
[00:10:51.120 --> 00:10:54.780]   You can get a free excerpt at cal Newport calm
[00:10:54.780 --> 00:11:00.600]   Slow I know you're gonna like it. Check it out. Now. Let's get back to the video
[00:11:01.360 --> 00:11:05.360]   A writer's block is largely invented. I agree with that
[00:11:05.360 --> 00:11:08.280]   Writing is hard feeling harsh wouldn't be a problem
[00:11:08.280 --> 00:11:15.600]   There is however an interpretation of it that I think is useful if you're really consistently
[00:11:15.600 --> 00:11:22.860]   Having difficulties mustering motivation to work on a creative project, especially if it's a new or bold idea
[00:11:22.860 --> 00:11:26.880]   Sometimes this is your mind's way of telling you that your plan stinks
[00:11:27.640 --> 00:11:33.120]   Right is the concept we talked about often on the show is that procrastination in many cases is your mind correctly pointing out?
[00:11:33.120 --> 00:11:37.640]   You don't really know what you're doing. Our mind has a way of projected into the future
[00:11:37.640 --> 00:11:43.640]   Simulating the plan for what you're about to do trying to get to the results of this plan so it can then
[00:11:43.640 --> 00:11:47.000]   Evaluate those results and say if this is positive
[00:11:47.000 --> 00:11:51.160]   I'll give you motivation to do what we're about to do and if this is negative I won't
[00:11:52.240 --> 00:11:59.680]   Right again, this goes back to the Paleolithic. I'm in the late Ice Age. I'm hunting a mammoth. I have this idea
[00:11:59.680 --> 00:12:00.920]   Here's what I'm going to do
[00:12:00.920 --> 00:12:02.920]   I'm gonna run and jump off this cliff
[00:12:02.920 --> 00:12:09.000]   Onto the back of the mammoth and club it in the head with a rock until it dies and you find yourself having a hard
[00:12:09.000 --> 00:12:11.560]   Time actually pulling the trigger to run and jump
[00:12:11.560 --> 00:12:15.580]   Well, it's because your brain has simulated this pretty effortlessly and said I probably will
[00:12:15.580 --> 00:12:20.080]   A break my legs as I fall off the cliff and to be stomped to death by a mammoth
[00:12:20.080 --> 00:12:23.440]   That doesn't seem like a really good outcome. So let's withhold motivation
[00:12:23.440 --> 00:12:27.280]   You know, like that's maybe not a good plan and someone else comes along and says why don't we throw a spear from a distance?
[00:12:27.280 --> 00:12:32.840]   Your brain thinks about that. It's like that'll probably work. We won't get stopped and I like meat and you get motivation to do it
[00:12:32.840 --> 00:12:39.240]   It's an adaptive and it's an adaptive reaction, but when it comes to creative pursuits, it still comes to play
[00:12:39.240 --> 00:12:44.600]   So you want to write a novel and you've fallen in love with like you got this like perfect
[00:12:45.320 --> 00:12:52.760]   Set up where you're gonna do your writing every morning with just the right tea and you just love the the accoutrements of the the novelist
[00:12:52.760 --> 00:12:56.000]   Lifestyle, but you don't really know anything about novel writing
[00:12:56.000 --> 00:12:59.200]   You don't know like what does it take to break into the type of writing you're trying to do?
[00:12:59.200 --> 00:13:03.520]   Are you good at it? Have you been evaluated? What's the process? Did you have an agent first?
[00:13:03.520 --> 00:13:06.200]   Did you be working with an editor? You didn't really do any of that work
[00:13:06.200 --> 00:13:10.840]   So your brain is unable to simulate with confidence a future that it trusts. So it's like I don't think so
[00:13:12.080 --> 00:13:15.640]   Motivation with help. So that is the one distinction. I'll give to Jerry's advice
[00:13:15.640 --> 00:13:17.760]   If you really have block on a creative pursuit
[00:13:17.760 --> 00:13:24.200]   Make sure first you really understand how that pursuit works and you have a plan going forward that you have some faith can actually succeed
[00:13:24.200 --> 00:13:29.920]   Then resistance beyond that point you gotta just find a flat surface and write
[00:13:29.920 --> 00:13:34.240]   All right, let's see here lesson number three
[00:13:34.240 --> 00:13:38.060]   Barry asked him Jerry
[00:13:38.060 --> 00:13:41.000]   about the importance of place
[00:13:41.640 --> 00:13:44.680]   Meaning like where you live. All right, here's Jerry's response
[00:13:44.680 --> 00:13:48.040]   It's hugely essential
[00:13:48.040 --> 00:13:50.800]   cataclysmically relevant and potent to your
[00:13:50.800 --> 00:13:55.600]   Psychophysical well-being and productiveness the importance of place to me
[00:13:55.600 --> 00:14:01.280]   The analogy is the tuning fork you have a rhythm a frequency a vibration as a human being
[00:14:01.280 --> 00:14:08.000]   When you were in the place that your frequency vibration matches the frequency vibration of the place then you're comfortable
[00:14:09.880 --> 00:14:11.880]   Now this fits perfectly
[00:14:11.880 --> 00:14:17.840]   With the notion of lifestyle centric planning that we talk about all the time on the show now if you're new to the show
[00:14:17.840 --> 00:14:19.160]   You should listen to last week's episode
[00:14:19.160 --> 00:14:25.920]   I get into the dangers of just assuming that a singular grand goal is going to make your life suddenly meaningful and intentional
[00:14:25.920 --> 00:14:27.920]   We often tell ourselves this fairy tale
[00:14:27.920 --> 00:14:31.200]   Accomplish some singular grand goal and your whole life will be good
[00:14:31.200 --> 00:14:37.120]   The much more consistent way of building a life that you find meaningful and intentional is to actually figure out
[00:14:37.440 --> 00:14:40.160]   what are all of the elements of such a life and
[00:14:40.160 --> 00:14:48.480]   Then systematically creatively and flexibly work towards those properties using all of the resources to your available that you have available to you
[00:14:48.480 --> 00:14:49.120]   It's not as sexy
[00:14:49.120 --> 00:14:55.040]   It's just I've got this grand idea that impresses my roommate when I tell him and if I succeed all is going to be good
[00:14:55.040 --> 00:14:57.040]   But you're also much more likely to make progress
[00:14:57.040 --> 00:15:01.720]   One of the key things when we type talk about lifestyle centric planning is where you live
[00:15:02.480 --> 00:15:07.640]   I don't mean specifically necessarily like this neighborhood or this city, but the type of place you live
[00:15:07.640 --> 00:15:14.440]   I always talk about that when you vision your ideal lifestyle that you're going to now work towards part of this vision has to be
[00:15:14.440 --> 00:15:16.120]   What is the place like where you live?
[00:15:16.120 --> 00:15:21.840]   Are you walking out of the cabin on to the Sun Dapple pond where you're gonna sit quietly with your coffee and watch?
[00:15:21.840 --> 00:15:25.760]   Like the row at Walden the ice melt as you get your thoughts going for the day
[00:15:25.760 --> 00:15:28.240]   Or is it going to be a sort of high energy? You're in a city
[00:15:29.080 --> 00:15:36.680]   You know, you're on your way the the see a reading of an experimental play that people are interesting artistic types of of all sorts of
[00:15:36.680 --> 00:15:39.680]   diverse interesting backgrounds that just what what catches your attention
[00:15:39.680 --> 00:15:43.160]   Seinfeld here is emphasizing why that's important
[00:15:43.160 --> 00:15:48.400]   I always talk about resonance when we do lifestyle centric planning work backwards from what resonates
[00:15:48.400 --> 00:15:52.480]   He uses a tuning fork analogy. What a tuning forks do they resonate?
[00:15:52.480 --> 00:15:57.840]   So he said yeah, this is really important the right type of place for you
[00:15:58.440 --> 00:16:03.000]   Creates a resonance. It's a rhythm. You're comfortable the wrong type of place. It doesn't work
[00:16:03.000 --> 00:16:08.800]   So the type of place you are matters. So again, if you follow the grand goal
[00:16:08.800 --> 00:16:15.280]   The grand goal theory this is the type of thing that you might neglect the grand goal theory might say, okay
[00:16:15.280 --> 00:16:19.480]   Whatever. I want the highest possible achievement in the field on it
[00:16:19.480 --> 00:16:23.160]   I want to find a job does my passion or something like this, right?
[00:16:23.160 --> 00:16:27.600]   Or I want to finally succeed in you know, selling a novel and being a novelist, right?
[00:16:27.600 --> 00:16:29.120]   You're just focusing on one thing
[00:16:29.120 --> 00:16:35.420]   But if you're focusing on one thing all the other attributes your life get pulled around randomly so in pursuing that goal
[00:16:35.420 --> 00:16:39.760]   Hey, I got into banking out of school because it was the hardest job
[00:16:39.760 --> 00:16:44.120]   And if I can become a managing director and make a million five a year then that's then I'm going to be happy
[00:16:44.120 --> 00:16:49.680]   You're following that goal with singular focus. You don't realize I hate cities. This is not resonating with me. I'm miserable
[00:16:49.680 --> 00:16:54.120]   It makes me anxious because you weren't thinking about the whole lifestyle. You're thinking about just one thing
[00:16:54.160 --> 00:16:57.200]   So think of the whole lifestyle location should be a big part of it Jerry
[00:16:57.200 --> 00:17:02.560]   Emphasizes that and in case you're wondering for Jerry, it's New York the rhythms of New York
[00:17:02.560 --> 00:17:06.680]   I mean, he's being nice about LA which is where he was to record this interview
[00:17:06.680 --> 00:17:14.640]   But but clearly his time in LA filming Seinfeld. He learned that's not his place the rhythms of New York
[00:17:14.640 --> 00:17:18.080]   That's the place the type of place he needs to be
[00:17:18.080 --> 00:17:21.320]   Alright, we got a fourth and final lesson here
[00:17:22.320 --> 00:17:25.280]   The setup is Barry is discussing with Jerry
[00:17:25.280 --> 00:17:32.780]   The meaning of life the importance Jerry places on craft. They started deep things, right? All right. So Jerry has a cool quote here
[00:17:32.780 --> 00:17:36.740]   It's all beautiful. He's referring here to life
[00:17:36.740 --> 00:17:45.240]   But I really but not really until we do something with it make something do something the hard is the good I
[00:17:45.240 --> 00:17:47.200]   Think I was about eight
[00:17:47.200 --> 00:17:52.960]   And I remember where I was the exact Street and I was on my bike just pedaling and I remember it hitting me that there
[00:17:52.960 --> 00:17:56.920]   Was a lot going on and I just wanted to do something really hard
[00:17:56.920 --> 00:17:59.840]   So I love this idea
[00:17:59.840 --> 00:18:02.800]   Should resonate with people who have read my book so good
[00:18:02.800 --> 00:18:08.400]   They can't ignore you or have read my new book slow productivity and a particular principle three obsess over quality
[00:18:08.400 --> 00:18:12.640]   I love this idea that the heart is good. It's in the pursuing of something hard and
[00:18:13.400 --> 00:18:18.120]   Making progress in that pursuit that we do gain a lot of our meaning as humans now
[00:18:18.120 --> 00:18:22.400]   We know this from psychology if we look at self-determination theory Ryan and Decky for example
[00:18:22.400 --> 00:18:27.400]   Or they look at what are the elements you need for motivation and thriving psychologically?
[00:18:27.400 --> 00:18:30.040]   one of the big ones there was
[00:18:30.040 --> 00:18:31.840]   mastery
[00:18:31.840 --> 00:18:37.320]   Mastering something and doing something. Well humans really like that. And again, I'm gonna use a lot of these sort of paleolithic
[00:18:37.320 --> 00:18:42.280]   Evolutionary biology just so tales but some of them are so obvious that we can just sort of
[00:18:43.000 --> 00:18:45.000]   Stipulate that they're true
[00:18:45.000 --> 00:18:50.440]   Clearly it's important for our species that mastery felt good
[00:18:50.440 --> 00:18:55.120]   By getting better at hard things is what allowed us to what we call
[00:18:55.120 --> 00:19:00.760]   Biologists would call refine our extended phenotype in other words
[00:19:00.760 --> 00:19:02.320]   Extend what it is
[00:19:02.320 --> 00:19:08.400]   We are able to do in the world beyond just with what physically we have on our body with how we're born not just our arms
[00:19:08.400 --> 00:19:14.200]   And our legs, but we can master throwing spears that extends our phenotype. We can master art that extends our phenotype
[00:19:14.200 --> 00:19:16.200]   We can master language we can master
[00:19:16.200 --> 00:19:23.160]   Strategy all of this this extended phenotype this ability to gain and master new skills throughout life
[00:19:23.160 --> 00:19:26.760]   Is very important to human survival and it feels really good
[00:19:26.760 --> 00:19:30.200]   Now here's a key lesson, right? I mean, this is a podcast about
[00:19:30.200 --> 00:19:38.200]   Navigating the promises and perils of technology and pursuit of a deeper life technology plays a big role in thwarting
[00:19:38.760 --> 00:19:41.000]   The Seinfeld the envision of the heart is good
[00:19:41.000 --> 00:19:47.280]   Technology wants to trick you especially modern consumer facing internet mobile technologies wants to trick you
[00:19:47.280 --> 00:19:51.520]   Into thinking your online activities that these are hard
[00:19:51.520 --> 00:19:59.280]   That you're a cruel of these sort of fake followers online and the retweets means that you're a leader. This was a hard to do
[00:19:59.280 --> 00:20:01.880]   It's not really that your progress in the video game
[00:20:01.880 --> 00:20:07.920]   That you have a higher ranking among the wizards in World of Warcraft command duty, you know, whatever
[00:20:08.480 --> 00:20:12.200]   Means that you've built up skill that gives you respect among your fellow tribe members
[00:20:12.200 --> 00:20:16.640]   But these aren't real people and these skills are easy to learn the games are set up so that you'll make progress on these skills
[00:20:16.640 --> 00:20:22.120]   Regularly, it's made up. So you always feel better like you you just got a glorified participation trophy now
[00:20:22.120 --> 00:20:25.580]   You're even better at shooting digital Nazis on your TV screen in the basement
[00:20:25.580 --> 00:20:29.720]   The digital wants you to think that you're you're angry
[00:20:29.720 --> 00:20:34.080]   rantings on social media versus your perceived
[00:20:34.720 --> 00:20:40.320]   Political or ideological enemies is somehow moving the arc of progress forward that it matters that you're part of the change
[00:20:40.320 --> 00:20:43.680]   What they don't realize is that you're actually on the set of the Truman Show
[00:20:43.680 --> 00:20:48.400]   You're yelling in an empty warehouse and your sound is being bottled and monetized
[00:20:48.400 --> 00:20:52.080]   To help a small number of stockholders these social media companies. You're not changing the world
[00:20:52.080 --> 00:20:58.340]   You're changing the number of zeros on someone like Mark Zuckerberg's annual worth
[00:20:58.340 --> 00:21:00.960]   All right. So technology
[00:21:00.960 --> 00:21:02.960]   survives in part by subverting this
[00:21:03.800 --> 00:21:06.760]   Instinct towards mastery. Don't let it
[00:21:06.760 --> 00:21:09.720]   seek real mastery
[00:21:09.720 --> 00:21:16.680]   Not the low-friction digital kind but real mastery. There's unambiguous stakes and reward where it's hard to make progress, but you know for sure you did
[00:21:16.680 --> 00:21:23.400]   This is a really important part of living a deep life in a technological world
[00:21:23.400 --> 00:21:31.000]   Alright, so let's pull together all four of these lessons from this 10-minute run. This is Barry Weiss
[00:21:32.200 --> 00:21:34.920]   Interview of Jerry Seinfeld. All right, if I was going to summarize
[00:21:34.920 --> 00:21:39.440]   This sort of scripture of Jerry Seinfeld here work hard
[00:21:39.440 --> 00:21:43.920]   Over time on something you care about don't worry about your tools too much
[00:21:43.920 --> 00:21:48.060]   But just put in the work a day after day live in a location that resonates with you
[00:21:48.060 --> 00:21:53.640]   But don't get caught up about having the perfect immediate surroundings just to get started each day put in the hours
[00:21:53.640 --> 00:21:56.280]   The heart is good. All right, Jerry
[00:21:56.280 --> 00:22:00.960]   I know you didn't mean the sort of right and oral self-help manifesto
[00:22:00.960 --> 00:22:04.820]   But you are on to something my friend and I appreciated
[00:22:04.820 --> 00:22:07.560]   your lessons
[00:22:07.560 --> 00:22:14.360]   All right, so we can move on now with our questions before we do. However, let's hear a word from some of our sponsors. I
[00:22:14.360 --> 00:22:17.080]   Want to talk first about our friends at element
[00:22:17.080 --> 00:22:24.480]   LMNT now, you know element as the drink mix that gives you those electrolyte levels
[00:22:24.480 --> 00:22:30.240]   You need to recover from a hard day a workout from where you're real dehydration
[00:22:30.600 --> 00:22:35.140]   No sugar, no artificial nonsense. Just what you need
[00:22:35.140 --> 00:22:40.160]   Gives it to you pure they have a new offering now that I'm particularly exciting about
[00:22:40.160 --> 00:22:45.280]   So instead of just the drink mix you add to your own water. They have something now called element
[00:22:45.280 --> 00:22:51.300]   Sparkling that delivers that same zero sugar electrolyte formulation. You already know and trust but in a
[00:22:51.300 --> 00:22:59.480]   16 ounce can of sparkling water. You can just grab it cold from your fridge, which I am really excited about
[00:22:59.920 --> 00:23:06.760]   No sugar, no caffeine. Just all the electrolytes you need now in a 16 ounce can
[00:23:06.760 --> 00:23:11.040]   So this is beginning to roll out and I'm excited about this
[00:23:11.040 --> 00:23:13.840]   offering that they have
[00:23:13.840 --> 00:23:19.320]   So you can get some now, all right, so here's how this works you can get a free sample pack
[00:23:19.320 --> 00:23:24.600]   with any drink mix purchase at drink element comm
[00:23:25.400 --> 00:23:28.600]   - deep and if you're an element insider
[00:23:28.600 --> 00:23:37.080]   You have access to buying first access to buy an element sparkling. Alright, so right now the element sparkling is available to element
