
[00:00:00.040 --> 00:00:20.580]   All right. Thank you, everyone. We're excited to be here. And thank you for coming to our talk.
[00:11:06.400 --> 00:11:16.400]   that. Those are all available with an API in Python or TypeScript that feels what folks have told me feels
[00:11:16.400 --> 00:11:24.480]   kind of like pandas or polar, like very familiar to data workers who are used to data frame type of APIs.
[00:11:24.480 --> 00:11:32.160]   And of course, for large tables, we support GPU indexing. So I think our record has been around something like
[00:11:32.800 --> 00:11:40.080]   three or four billion vectors in a single table that can be indexed in under two or three hours.
[00:11:40.080 --> 00:11:50.240]   So all of that is to say, like, LanceTV excels at massive scale. And this is happening at a fraction of
[00:11:50.240 --> 00:11:57.680]   the cost because of the compute storage separation and because we take advantage of object store. And
[00:11:59.280 --> 00:12:06.400]   so of course, and I talked about sort of having one place to put all of your AI data. So this is the only
[00:12:06.400 --> 00:12:13.920]   database where you can put, you know, images and videos and audio track next to your embeddings,
[00:12:13.920 --> 00:12:21.600]   next to text data, next to your tabular data, time series data. You can put all of that in a single table.
[00:12:23.120 --> 00:12:27.600]   And then you can, of course, use that as the single source of truth for all the different workloads
[00:12:27.600 --> 00:12:32.480]   that you want to do that do on that data from search to analytics to training and, of course,
[00:12:32.480 --> 00:12:40.480]   pre-processing or feature engineering. A lot of that is possible because of the open source
[00:12:40.480 --> 00:12:46.880]   LANs format that we built from the ground up. So, you know, if you're working with multimodal data,
[00:12:46.880 --> 00:12:52.880]   whether it's documents, you know, PDF scan slides or just large, even large-scale videos,
[00:12:52.880 --> 00:13:00.240]   if you're doing that in, let's say, like Web Dataset or Iceberg Parquet, you're missing out on a lot of
[00:13:00.240 --> 00:13:08.080]   features and things like, you know, lack of random access or the inability to support large blob data
[00:13:08.080 --> 00:13:17.760]   or not being very efficient about schema evolution. So LANs format, by giving you all of those,
[00:13:17.760 --> 00:13:24.080]   right, it makes it so that you can store all of your data in one place rather than split up across
[00:13:24.080 --> 00:13:31.680]   multiple parts. And so this is the, I would say, like the foundational innovation in LANs CB where
[00:13:33.120 --> 00:13:38.560]   without it, what we see a lot of AI teams doing is they have to have different copies of different
[00:13:38.560 --> 00:13:42.320]   parts of their data in different places, and they're spending a lot of their time and effort
[00:13:42.320 --> 00:13:47.280]   just sort of keeping those pieces glued together and in sync with each other.
[00:13:47.280 --> 00:13:59.120]   All right. So, kind of, basically, you can think about LANs format as sort of parquet plus iceberg plus
[00:13:59.120 --> 00:14:05.600]   secondary indices, but for AI data. And that gives you fast random access, which is good for search and
[00:14:05.600 --> 00:14:11.280]   shuffle. It still gives you fast scans, which is so good for analytics and, you know, data loading and
[00:14:11.280 --> 00:14:19.680]   training. And it's the only one out of this set that is uniquely good for storing blob data, or more
[00:14:19.680 --> 00:14:25.120]   importantly, a mix of large blob data and small, like scalar data.
[00:14:25.120 --> 00:14:34.080]   And by using Apache Arrow as the main interface, LANs format is already compatible with your current
[00:14:34.080 --> 00:14:42.240]   data lake and lake house tools. So you can use Spark and Ray to write very large amounts of LANs data in a
[00:14:42.240 --> 00:14:49.200]   distributed fashion very quickly. You can use PyTorch to load that data for training or fine tuning.
[00:14:49.920 --> 00:14:58.880]   You can certainly query it using tools like, you know, pandas and pollers. All right. So I want you to take it back.
[00:14:58.880 --> 00:15:09.040]   Yeah, so we're back? Okay. So I just wanted to share some general take home messages about building RAG for
[00:15:09.040 --> 00:15:14.640]   these sort of large scale domain specific use cases. So the first is that these domain specific challenges
[00:15:14.640 --> 00:15:19.440]   require very creative solutions around understanding the data and also choosing sort of modeling and
[00:15:19.440 --> 00:15:23.760]   infrastructure around that. Like I mentioned about like trying to understand the structure of your data, what the
[00:15:23.760 --> 00:15:29.760]   use cases are, what the explicit and implicit query patterns are. So definitely spend time with that. Work with
[00:15:29.760 --> 00:15:36.240]   domain experts and try to sort of immerse yourself as much as possible in that. The second is to make sure you're
[00:15:36.240 --> 00:15:41.760]   building for iteration speed and flexibility. I think this is a very new technology, very new industry, and a lot of
[00:15:41.760 --> 00:15:47.120]   things are changing. New tools are coming out, new paradigms, new model context windows and everything. So you kind of want to
[00:15:47.120 --> 00:15:54.080]   set yourself up for flexibility and iteration speed. And you can kind of ground that in evaluation, where if you have
[00:15:54.080 --> 00:15:59.920]   good evaluation sets or either procedures or automation around that, then you can iterate much faster and just get good
[00:15:59.920 --> 00:16:06.080]   signal on whether your systems are good or accurate. So definitely invest time in the evaluation to enable that iteration speed.
[00:16:06.960 --> 00:16:14.080]   And then, yeah, the third, which John covered is that new data infrastructure has to recognize that there's sort of this new world we're entering
[00:16:14.080 --> 00:16:21.760]   with multimodal data, a lot heavier on vectors and embeddings. Workloads are very diverse and the scale is just going to keep
[00:16:21.760 --> 00:16:28.880]   getting larger and larger as we try to sort of ingest and query over all the data that exists, public and private.
[00:16:31.840 --> 00:16:33.840]   Yeah, thanks for listening to our talk.
[00:16:33.840 --> 00:16:39.440]   Thank you for listening to our talk.

