
[00:00:00.000 --> 00:00:03.000]   Thank you.
[00:06:05.920 --> 00:06:12.720]   For example, de-skewing, so either recognize things that have been rotated by 90 degrees
[00:06:12.720 --> 00:06:18.480]   or better still that have been rotated by 5 degrees and straighten them.
[00:06:18.480 --> 00:06:24.360]   Colorization, so make a bunch of images into black and white and learn to put the color
[00:06:24.360 --> 00:06:27.480]   back again.
[00:06:27.480 --> 00:06:38.080]   Noise reduction, maybe do a really low-quality JPEG save and learn to put it back to how
[00:06:38.080 --> 00:06:45.360]   it should have been, and so forth, or maybe take something that's in a 16 color palette
[00:06:45.360 --> 00:06:49.280]   and put it back to a higher color palette.
[00:06:49.280 --> 00:06:56.600]   I think these things are all interesting because they can be used to take pictures that you
[00:06:56.600 --> 00:07:00.880]   may have taken back on crappy old digital cameras before they were high resolution,
[00:07:00.880 --> 00:07:06.120]   or you may have scanned in some old photos that have faded or whatever, I think it's
[00:07:06.120 --> 00:07:11.120]   a really useful thing to be able to do, and also it's a good project because it's really
[00:07:11.120 --> 00:07:15.140]   similar to what we're doing here, but different enough that you'll come across some interesting
[00:07:15.140 --> 00:07:19.200]   challenges on the way, I'm sure.
[00:07:19.200 --> 00:07:22.400]   So I'm going to use ImageNet again.
[00:07:22.400 --> 00:07:26.360]   You don't need to use all of ImageNet at all, I just happen to have it lying around.
[00:07:26.360 --> 00:07:29.720]   You can download the 1% sample of ImageNet from files.fast.ai.
[00:07:29.720 --> 00:07:35.880]   You can use any set of pictures you have lying around, honestly.
[00:07:35.880 --> 00:07:42.160]   And in this case, as I said, we don't really have labels per se, so I'm just going to give
[00:07:42.160 --> 00:07:50.360]   everything a label of 0 just so we can use it with our existing infrastructure more easily.
[00:07:50.360 --> 00:07:54.880]   Now because I'm in this case pointing at a folder that contains all of ImageNet, I certainly
[00:07:54.880 --> 00:07:58.420]   don't want to wait for all of ImageNet to finish, to run an epoch.
[00:07:58.420 --> 00:08:06.720]   So here most of the time I would set keep% to 1 or 2%, and then I just generate a bunch
[00:08:06.720 --> 00:08:14.000]   of random numbers, and then I just keep those which are less than 0.02, and so that lets
[00:08:14.000 --> 00:08:21.720]   me quickly sub-sample my rows.
[00:08:21.720 --> 00:08:35.960]   So we're going to use VGG16, and VGG16 is something that we haven't really looked at in this class,
[00:08:35.960 --> 00:08:46.240]   but it's a very simple model where we take our normal, presumably 3-channel input, and
[00:08:46.240 --> 00:08:55.200]   we basically run it through a number of 3x3 convolutions, and then from time to time we
[00:08:55.200 --> 00:09:08.280]   put it through a 2x2 MaxPool, and then we do a few more 3x3 convolutions, MaxPool, so
[00:09:08.280 --> 00:09:10.160]   on and so forth.
[00:09:10.160 --> 00:09:21.520]   And then this is kind of our backbone, I guess.
[00:09:21.520 --> 00:09:27.560]   And then we don't do an average pooling layer, an adaptive average pooling layer.
[00:09:27.560 --> 00:09:36.760]   After a few of these we end up with this 7x7 grid as usual, I think it's about 7x7x512.
[00:09:36.760 --> 00:09:42.160]   And so rather than average pooling we do something different, which is we flatten the whole thing.
[00:09:42.160 --> 00:09:52.900]   So that spits out a very long vector of activations of size 7x7x512 if memory says correctly.
[00:09:52.900 --> 00:10:04.920]   And then that gets fed into two fully connected layers, each one of which has 4096 activations,
[00:10:04.920 --> 00:10:10.840]   and then one more fully connected layer which has however many classes.
[00:10:10.840 --> 00:10:25.440]   So if you think about it, the weight matrix here is huge, it's 7x7x512x4096, and it's because
[00:10:25.440 --> 00:10:32.100]   of that weight matrix really that VGG went out of favor pretty quickly, because it takes
[00:10:32.100 --> 00:10:36.920]   a lot of memory, it takes a lot of computation, and it's really slow.
[00:10:36.920 --> 00:10:44.040]   And there's a lot of redundant stuff going on here, because really those 512 activations
[00:10:44.040 --> 00:10:51.720]   are not that specific to which of those 7x7 grid cells they're in, but when you have this
[00:10:51.720 --> 00:11:00.600]   entire weight matrix here of every possible combination, it treats all of them uniquely.
[00:11:00.600 --> 00:11:04.560]   And so that can also lead to generalization problems, because there's just a lot of weights
[00:11:04.560 --> 00:11:07.800]   and so forth.
[00:11:07.800 --> 00:11:14.840]   My view is that the approach that's used in every modern network, which is here we do
[00:11:14.840 --> 00:11:21.840]   an adaptive average pooling in Keras that we know as a global average pooling, or in
[00:11:21.840 --> 00:11:32.320]   fast.ai we generally do a concat pooling, which spits it straight down to a 512-long activation.
[00:11:32.320 --> 00:11:39.000]   I think that's throwing away too much geometry, so to me probably the correct answer is somewhere
[00:11:39.000 --> 00:11:45.160]   in between and would involve some kind of factored convolution or some kind of tensor
[00:11:45.160 --> 00:11:51.020]   decomposition which maybe some of us can think about in the coming months.
[00:11:51.020 --> 00:11:56.200]   So for now we've gone from one extreme, which is the adaptive average pooling, to the other
[00:11:56.200 --> 00:12:00.400]   extreme which is this huge flattened pooling connection layer.
[00:12:00.400 --> 00:12:08.200]   So a couple of things which are interesting about VGG that make it still useful today.
[00:12:08.200 --> 00:12:18.000]   The first one is that there's more interesting layers going on here with most modern networks
[00:12:18.000 --> 00:12:20.600]   including the ResNet family.
[00:12:20.600 --> 00:12:31.560]   The very first layer generally is a 7x7 pond, or something similar, which means we throw
[00:12:31.560 --> 00:12:39.120]   away half the grid size straight away and so there's little opportunity to use the fine
[00:12:39.120 --> 00:12:44.640]   detail because we never do any computation with it.
[00:12:44.640 --> 00:12:52.080]   And so that's a bit of a problem for things like segmentation or super resolution models
[00:12:52.080 --> 00:12:57.400]   because the fine detail matters, we actually want to restore it.
[00:12:57.400 --> 00:13:03.800]   And then the second problem is that the adaptive average pooling layer entirely throws away
[00:13:03.800 --> 00:13:08.800]   the geometry in the last few sections, which means that the rest of the model doesn't really
[00:13:08.800 --> 00:13:13.560]   have as much interest in learning the geometry as it otherwise might.
[00:13:13.560 --> 00:13:18.360]   And so therefore for things which are dependent on position, any kind of localization based
[00:13:18.360 --> 00:13:22.800]   approach to anything that requires generative modeling is going to be less effective.
[00:13:22.800 --> 00:13:28.080]   So one of the things I'm hoping you're hearing as I describe this is that probably none of
[00:13:28.080 --> 00:13:32.340]   the existing architectures are actually ideal.
[00:13:32.340 --> 00:13:33.520]   We can invent a new one.
[00:13:33.520 --> 00:13:42.360]   And actually I just tried inventing a new one over the week which was to take the VGG
[00:13:42.360 --> 00:13:47.720]   thread and attach it to a ResNet backbone.
[00:13:47.720 --> 00:13:53.520]   And interestingly I found I actually got a slightly better classifier than a normal ResNet,
[00:13:53.520 --> 00:13:57.640]   but it also was something with a little bit more useful information.
[00:13:57.640 --> 00:14:05.960]   It took 5 or 10% longer to train, but nothing worth worrying about.
[00:14:05.960 --> 00:14:10.040]   I think maybe we couldn't in ResNet replace this as we've talked about briefly before,
[00:14:10.040 --> 00:14:14.760]   this very early convolution with something more like an inception stem which does a bit
[00:14:14.760 --> 00:14:16.160]   more computation.
[00:14:16.160 --> 00:14:22.820]   I think there's definitely room for some nice little tweaks to these architectures so that
[00:14:22.820 --> 00:14:26.360]   we can build some models which are maybe more versatile.
[00:14:26.360 --> 00:14:29.720]   At the moment people tend to build architectures that just do one thing.
[00:14:29.720 --> 00:14:35.120]   They don't really think what am I throwing away in terms of opportunity because that's
[00:14:35.120 --> 00:14:36.120]   how publishing works.
[00:14:36.120 --> 00:14:40.240]   You know you publish like I've got the state-of-the-art in this one thing rather than I've created
[00:14:40.240 --> 00:14:43.480]   something that's good at lots of things.
[00:14:43.480 --> 00:14:49.020]   So for these reasons we're going to use VGG today even though it's ancient and it's missing
[00:14:49.020 --> 00:14:50.760]   lots of great stuff.
[00:14:50.760 --> 00:14:55.200]   One thing we are going to do though is use a slightly more modern version which is a
[00:14:55.200 --> 00:15:00.400]   version of VGG where batch norm has been added after all the convolutions.
[00:15:00.400 --> 00:15:05.200]   And so in fast.ai actually when you ask for a VGG network you always get the batch norm
[00:15:05.200 --> 00:15:09.280]   one because that's basically always what you want.
[00:15:09.280 --> 00:15:12.480]   So this is actually our VGG with batch norm.
[00:15:12.480 --> 00:15:14.160]   There's a 16 and a 19.
[00:15:14.160 --> 00:15:23.480]   The 19 is way bigger and heavier and doesn't really any better so no one really uses it.
[00:15:23.480 --> 00:15:30.500]   So we're going to go from 72x72, LR is low resolution input, Si is low resolution.
[00:15:30.500 --> 00:15:37.340]   We're going to initially scale it up by x2 with a batch size of 64 to get a 2x72, so
[00:15:37.340 --> 00:15:39.720]   1x44x144 output.
[00:15:39.720 --> 00:15:46.120]   So that's going to be our stage 1.
[00:15:46.120 --> 00:15:52.800]   We'll create our own dataset for this and the dataset, it's very worthwhile looking
[00:15:52.800 --> 00:15:59.920]   inside the fastai.dataset module and seeing what's there because just about anything you'd
[00:15:59.920 --> 00:16:04.120]   want we probably have something that's almost what you want.
[00:16:04.120 --> 00:16:10.880]   So in this case I want a dataset where my x's are images and my y's are also images.
[00:16:10.880 --> 00:16:15.360]   So there's already a files dataset we can inherit from where the x's are images and
[00:16:15.360 --> 00:16:20.200]   then I just inherit from that and I just copied and pasted the get x and turned that into
[00:16:20.200 --> 00:16:23.520]   get y so it just opens an image.
[00:16:23.520 --> 00:16:27.760]   So now I've got something where the x is an image and the y is an image and in both cases
[00:16:27.760 --> 00:16:31.240]   what we're passing in is an array of file names.
[00:16:31.240 --> 00:16:37.320]   I'm going to do some data augmentation, obviously with all of ImageNet we don't really need
[00:16:37.320 --> 00:16:43.640]   it, but this is mainly here for anybody who's using smaller datasets to make most of it.
[00:16:43.640 --> 00:16:50.240]   Random dihedral is referring to every possible 90 degree rotation plus optional left/right
[00:16:50.240 --> 00:16:56.560]   flipping, so the dihedral group of eight symmetries.
[00:16:56.560 --> 00:17:01.440]   Probably we don't use this transformation for ImageNet pictures because you don't normally
[00:17:01.440 --> 00:17:07.480]   flip dogs upside down, but in this case we're not trying to classify whether it's a dog
[00:17:07.480 --> 00:17:13.640]   or a cat, we're just trying to keep the general structure of it, so actually every possible
[00:17:13.640 --> 00:17:20.280]   flip is a reasonably sensible thing to do for this problem.
[00:17:20.280 --> 00:17:26.360]   So create a validation set in the usual way, and you can see I'm kind of using a few more
[00:17:26.360 --> 00:17:30.440]   slightly lower level functions, generally speaking I just copy and paste them out of
[00:17:30.440 --> 00:17:34.600]   the fast.ai source code to find the bits I want.
[00:17:34.600 --> 00:17:43.480]   So here's the bit which takes an array of validation set indexes and one or more arrays
[00:17:43.480 --> 00:17:50.440]   of variables and simply splits, so in this case this into a training and a validation
[00:17:50.440 --> 00:17:58.760]   set and this into a training and a validation set to give us our x's and y's.
[00:17:58.760 --> 00:18:05.720]   Now in this case the x and y are the same, our image and our output are the same, we're
[00:18:05.720 --> 00:18:10.720]   going to use transformations to make one of them lower resolution, so that's why these
[00:18:10.720 --> 00:18:14.760]   are the same thing.
[00:18:14.760 --> 00:18:24.880]   So the next thing that we need to do is to create our transformations as per usual, and
[00:18:24.880 --> 00:18:30.440]   we're going to use this transform y parameter like we did for bounding boxes, but rather
[00:18:30.440 --> 00:18:38.320]   than use transform type.coordinate, we're going to use transform type.pixel, and so
[00:18:38.320 --> 00:18:47.160]   that tells our transformations framework that your y values are images with normal pixels
[00:18:47.160 --> 00:18:54.200]   in them and so anything you do with the x you also need to do the y, do the same thing.
[00:18:54.200 --> 00:18:59.560]   And you need to make sure any data representation transforms you use have the same parameter
[00:18:59.560 --> 00:19:06.440]   as well.
[00:19:06.440 --> 00:19:09.960]   So you can see the possible transform types, basically you've got classification, which
[00:19:09.960 --> 00:19:15.040]   we're about to use for segmentation in the second half of today, coordinates, no transformation
[00:19:15.040 --> 00:19:20.480]   at all, or pixel.
[00:19:20.480 --> 00:19:28.840]   So once we've got a dataset class and some x and y training and validation sets, there's
[00:19:28.840 --> 00:19:34.760]   a handy little method called get_datasets, which basically runs that constructor over
[00:19:34.760 --> 00:19:39.560]   all the different things that you have to return all the datasets that you need in exactly
[00:19:39.560 --> 00:19:46.560]   the right format to pass to a model data constructor, in this case the image data constructor.
[00:19:46.560 --> 00:19:51.520]   So we're kind of like going back under the covers of fast.ai a little bit and building
[00:19:51.520 --> 00:19:53.840]   it up from scratch.
[00:19:53.840 --> 00:19:58.400]   And in the next few weeks this will all be wrapped up and refactored into something that
[00:19:58.400 --> 00:20:03.000]   you can do in a single step in fast.ai, but the point of this class is to learn a bit
[00:20:03.000 --> 00:20:08.320]   about going under the covers.
[00:20:08.320 --> 00:20:17.200]   So something we've briefly seen before is that when we take images in we transform them
[00:20:17.200 --> 00:20:23.800]   not just with data augmentation, but we also move the channels dimension up to the start,
[00:20:23.800 --> 00:20:27.800]   we subtract the mean, divide by the standard deviation, whatever.
[00:20:27.800 --> 00:20:32.640]   So if we want to be able to display those pictures that have come out of our datasets
[00:20:32.640 --> 00:20:38.840]   or data loaders, we need to denormalize them, and so the model data objects dataset has
[00:20:38.840 --> 00:20:43.680]   a denorm function that knows how to do that, so I'm just going to give that a short name
[00:20:43.680 --> 00:20:46.160]   for convenience.
[00:20:46.160 --> 00:20:50.320]   So now I'm going to create a function that can show an image from a dataset, and if you
[00:20:50.320 --> 00:20:55.560]   pass in something saying this is a normalized image, then we'll denormalize it.
[00:20:55.560 --> 00:20:59.160]   So we can go ahead and have a look at that.
[00:20:59.160 --> 00:21:07.400]   You'll see here we've passed in size_low_res as our size for the transforms, and size_high_res
[00:21:07.400 --> 00:21:10.760]   as this is something new, the size_y parameter.
[00:21:10.760 --> 00:21:14.620]   So the two bits are going to get different sizes.
[00:21:14.620 --> 00:21:20.240]   And so here you can see the two different resolutions of our x and our y for a whole
[00:21:20.240 --> 00:21:23.800]   bunch of fish.
[00:21:23.800 --> 00:21:29.360]   As per usual, plot.subplots to create our two plots, and then we can just use the different
[00:21:29.360 --> 00:21:37.980]   axes that came back to put stuff next to each other.
[00:21:37.980 --> 00:21:43.640]   So we can then have a look at a few different versions of the data transformation, and there
[00:21:43.640 --> 00:21:49.480]   you can see them being flipped in all different directions.
[00:21:49.480 --> 00:21:57.260]   So let's create our model.
[00:21:57.260 --> 00:22:07.520]   So we're going to have an image coming in, a small image coming in, and we want to have
[00:22:07.520 --> 00:22:12.720]   a big image coming out.
[00:22:12.720 --> 00:22:18.480]   And so we need to do some computation between those two to calculate what the big image
[00:22:18.480 --> 00:22:20.000]   would look like.
[00:22:20.000 --> 00:22:23.120]   And so essentially there's kind of two ways of doing that computation.
[00:22:23.120 --> 00:22:31.640]   We could first of all do some upsampling, and then do a few stride1 kind of layers to
[00:22:31.640 --> 00:22:34.240]   do lots of computation.
[00:22:34.240 --> 00:22:39.080]   Or we could first do lots of stride1 layers to do all the computation, and then at the
[00:22:39.080 --> 00:22:42.760]   end do some upsampling.
[00:22:42.760 --> 00:22:48.160]   We're going to pick the second approach, because we want to do lots of computation on something
[00:22:48.160 --> 00:22:53.160]   smaller because it's much faster to do it that way.
[00:22:53.160 --> 00:23:01.760]   And also like all that computation we get to leverage during the upsampling process.
[00:23:01.760 --> 00:23:05.960]   So upsampling, we know a couple of possible ways to do that.
[00:23:05.960 --> 00:23:14.440]   We can use transposed or fractionally strided convolutions, or we can use nearest neighbor
[00:23:14.440 --> 00:23:21.920]   upsampling, followed by a 1x1 conv.
[00:23:21.920 --> 00:23:30.400]   And then in the do lots of computation section, we could just have a whole bunch of 3x3 cons.
[00:23:30.400 --> 00:23:37.000]   But in this case in particular, it seems likely that ResNet blocks are going to be better,
[00:23:37.000 --> 00:23:45.200]   because really the output and the input are very similar.
[00:23:45.200 --> 00:23:51.040]   So we really want a flow-through path that allows as little fussing around as possible
[00:23:51.040 --> 00:23:55.760]   except the minimal amount necessary to do our super-resolution.
[00:23:55.760 --> 00:24:01.920]   And so if we use ResNet blocks, then they have an identity path already.
[00:24:01.920 --> 00:24:09.880]   So you could imagine the most simple version where it does a bilinear sampling kind of
[00:24:09.880 --> 00:24:10.880]   approach or something.
[00:24:10.880 --> 00:24:14.080]   It could basically just go through identity blocks all the way through, and then in the
[00:24:14.080 --> 00:24:19.400]   upsampling blocks just learn to take the averages of the inputs and get something that's not
[00:24:19.400 --> 00:24:22.160]   too terrible.
[00:24:22.160 --> 00:24:23.160]   So that's what we're going to do.
[00:24:23.160 --> 00:24:31.960]   We're going to create something with 5 ResNet blocks, and then for each 2x scale-up we have
[00:24:31.960 --> 00:24:38.440]   to do, we'll have one upsampling block.
[00:24:38.440 --> 00:24:43.600]   So they're all going to consist of, obviously as per usual, convolution layers, possibly
[00:24:43.600 --> 00:24:46.760]   with activation functions after many of them.
[00:24:46.760 --> 00:24:53.840]   So I kind of like to put my standard convolution block into a function so I can refactor it
[00:24:53.840 --> 00:24:56.240]   more easily.
[00:24:56.240 --> 00:25:00.560]   As per usual I just won't worry about passing in padding and just calculate it directly
[00:25:00.560 --> 00:25:04.340]   as kernel size over 2.
[00:25:04.340 --> 00:25:09.720]   So one interesting thing about our little conv block here is that there's no batch norm,
[00:25:09.720 --> 00:25:14.880]   which is pretty unusual for ResNet-type models.
[00:25:14.880 --> 00:25:20.560]   And the reason there's no batch norm is because I'm stealing ideas from this fantastic recent
[00:25:20.560 --> 00:25:27.280]   paper which actually won a recent competition in super-resolution performance.
[00:25:27.280 --> 00:25:32.800]   And to see how good this paper is, here's kind of a previous state of the art, this
[00:25:32.800 --> 00:25:41.200]   SR ResNet, and what they've done here is they've zoomed way in to an upsampled kind of net
[00:25:41.200 --> 00:25:43.680]   or fence, this is the original.
[00:25:43.680 --> 00:25:49.080]   And you can see in the previous best approach there's a whole lot of distortion and blurring
[00:25:49.080 --> 00:25:55.040]   going on, whereas in their approach it's nearly perfect.
[00:25:55.040 --> 00:25:59.520]   So it was a really big step up this paper.
[00:25:59.520 --> 00:26:03.000]   They call their model EDSR, Enhanced Deep Residual Networks.
[00:26:03.000 --> 00:26:10.280]   And they did two things differently to the previous standard approaches.
[00:26:10.280 --> 00:26:15.000]   One was to take the ResNet block, this is a regular ResNet block, and throw away the batch
[00:26:15.000 --> 00:26:17.360]   norm.
[00:26:17.360 --> 00:26:19.520]   So why would they throw away the batch norm?
[00:26:19.520 --> 00:26:25.980]   Well the reason they would throw away the batch norm is because batch norm changes stuff,
[00:26:25.980 --> 00:26:31.360]   and we want a nice straight-through path that doesn't change stuff.
[00:26:31.360 --> 00:26:36.200]   So the idea basically here is if you don't want to fiddle with the input more than you
[00:26:36.200 --> 00:26:41.120]   have to, then don't force it to have to calculate things like batch norm parameters.
[00:26:41.120 --> 00:26:42.760]   So throw away the batch norm.
[00:26:42.760 --> 00:26:46.000]   And the second trick we'll see shortly.
[00:26:46.000 --> 00:26:49.640]   So here's a conv with no batch norm.
[00:26:49.640 --> 00:26:58.480]   And so then we're going to create a residual block containing, as per usual, two convolutions.
[00:26:58.480 --> 00:27:03.520]   And as you see in their approach, they don't even have a value after their second conv.
[00:27:03.520 --> 00:27:11.760]   So that's why I've only got activation on the first one.
[00:27:11.760 --> 00:27:16.460]   So a couple of interesting things here.
[00:27:16.460 --> 00:27:26.280]   One is that this idea of having some kind of main ResNet path, like conv_relu_conv,
[00:27:26.280 --> 00:27:30.840]   and then turning that into a relu block by adding it back to the identity, it's something
[00:27:30.840 --> 00:27:31.840]   we do so often.
[00:27:31.840 --> 00:27:36.880]   We've kind of factored it out into a tiny little module called res_sequential, which
[00:27:36.880 --> 00:27:44.660]   simply takes a bunch of layers that you want to put into your residual path, turns that
[00:27:44.660 --> 00:27:50.560]   into a sequential model, runs it, and then adds it back to the input.
[00:27:50.560 --> 00:27:58.160]   So with this little module we can now turn anything like conv_activation_conv into a
[00:27:58.160 --> 00:28:04.960]   ResNet block, just by wrapping it in res_sequential.
[00:28:04.960 --> 00:28:10.760]   But that's not quite all I'm doing, because normally a res block just has that in its
[00:28:10.760 --> 00:28:11.760]   forward.
[00:28:11.760 --> 00:28:15.760]   But I've also got that.
[00:28:15.760 --> 00:28:16.760]   What's res_scale?
[00:28:16.760 --> 00:28:20.040]   Res_scale is the number 0.1.
[00:28:20.040 --> 00:28:22.400]   Why is it there?
[00:28:22.400 --> 00:28:25.320]   I'm not sure anybody quite knows.
[00:28:25.320 --> 00:28:33.400]   But the short answer is that the guy who invented batchnorm also somewhat more recently did
[00:28:33.400 --> 00:28:39.800]   a paper in which he showed, I think the first time, the ability to train imageNet in under
[00:28:39.800 --> 00:28:41.480]   an hour.
[00:28:41.480 --> 00:28:48.500]   And the way he did it was fire up lots and lots of machines and have them work in parallel
[00:28:48.500 --> 00:28:51.400]   to create really large batch sizes.
[00:28:51.400 --> 00:28:56.880]   Now generally when you increase the batch size by order n, you also increase the learning
[00:28:56.880 --> 00:28:58.960]   rate by order n to go with it.
[00:28:58.960 --> 00:29:04.200]   So generally very large batch size training means very high learning rate training as
[00:29:04.200 --> 00:29:05.200]   well.
[00:29:05.200 --> 00:29:13.240]   And he found that with these very large batch sizes of 8,000 plus, or even up to 32,000,
[00:29:13.240 --> 00:29:18.760]   that at the start of training his activations would basically go straight to infinity.
[00:29:18.760 --> 00:29:22.880]   And a lot of other people found that, we actually found that when we were competing in Dawnbench
[00:29:22.880 --> 00:29:28.920]   both on the Cypher and the imageNet competitions that we really struggled to make the most
[00:29:28.920 --> 00:29:34.920]   of even the eight GPUs that we were trying to take advantage of because of these challenges
[00:29:34.920 --> 00:29:38.760]   with these larger batch sizes and taking advantage of them.
[00:29:38.760 --> 00:29:43.920]   So something that Christian found, this researcher, was that in the resNet blocks, if he multiplied
[00:29:43.920 --> 00:29:50.320]   them by some number smaller than 1, something like 0.1 or 0.2, it really helped stabilize
[00:29:50.320 --> 00:29:53.760]   training at the start.
[00:29:53.760 --> 00:30:01.000]   And that's kind of weird because mathematically it's kind of identical, because obviously
[00:30:01.000 --> 00:30:07.560]   whatever I'm multiplying it by here, I could just scale the weights by the opposite amount
[00:30:07.560 --> 00:30:10.440]   here and have the same number.
[00:30:10.440 --> 00:30:21.480]   So it's kind of like we're not dealing with abstract math, we're dealing with real optimization
[00:30:21.480 --> 00:30:27.920]   problems and different initializations and learning rates and whatever else.
[00:30:27.920 --> 00:30:35.280]   And so the problem of weights disappearing off into infinity I guess generally is really
[00:30:35.280 --> 00:30:42.040]   about the kind of discrete and finite nature of computers in practice.
[00:30:42.040 --> 00:30:46.800]   And so often these kind of little tricks can make the difference.
