
[00:00:00.000 --> 00:00:21.900]   This is the API key. So if you haven't scanned this already, please scan it. It will take you
[00:05:15.640 --> 00:05:37.640]   So we're going to use Cerebris hardware today for our workshop. So we're going to use Cerebris hardware today for our workshop. So if you guys can actually try it. But before I want to explain what we're actually building. So we're going to build an application with a mixture of agents. Each agent will be a separate LLM. And kind of like right now, I want to explain why this is beneficial, why we want to build that, and why this architecture is better compared to like a monolithic one LLM that we use right now.
[00:05:37.640 --> 00:06:06.640]   Thank you. Yeah, so sort of like from like pre-training perspective, how do we make larger models more intelligent, better? How do we scale them faster? So all of these type of questions we ask at Cerebris, when we have our hardware, we can scale models pretty fast. But like, how do we make them more efficient? What kind of architectures we need to invest in? So I kind of wanted to give sort of like the evolution that happened in the LLM space for you guys. So we started
[00:06:06.640 --> 00:06:22.640]   with the GPT-3 that was released a few years ago. And the model there was quite small. And basically, what GPT-3 paper showed is that if you continue scaling the model size, you're going to improve the performance, your models will have better skill sets, that's how you're going to scale it.
[00:06:22.640 --> 00:06:40.640]   The next thing that we saw in the LLM evolution is you actually have to spend a lot of time improving your data that you pre-train on. So LLM model became bigger, but it also spent a lot of time on curating the dataset and scaling the number of tokens that you're trained for as well.
[00:06:40.640 --> 00:06:56.640]   And now, you guys probably heard about Deep-Seq-3 that was released a few months ago. That model took some additional innovations into place. So if you want to go even larger, you see like GPT-3 is 13 billion, LLM 3 is 400 billion, and Deep-Seq-3 is 600 billion.
[00:06:56.640 --> 00:07:06.640]   So if you want to continue scaling the model size, which is what gives us better models, we need to come up with not just dataset improvements, but also architecture improvements.
[00:07:06.640 --> 00:07:20.640]   So how do we actually improve the models and thus serve the large models? Because as you increase the number of parameters, you have to come up with a way to scale it, to scale your inference infrastructure and make it more efficient.
[00:07:20.640 --> 00:07:34.640]   The answer here is mixture of experts. And these type of models, to just give you an overview of how it works, imagine that you have a transformer architecture, which is what we use as a backbone for large language models.
[00:07:34.640 --> 00:07:45.640]   It has different types of layers. So here I highlighted, there are more layers there, but some important layers are embedding attention at feed-forward layers.
[00:07:45.640 --> 00:07:56.640]   They all have different types of purposes in the network, and now we're going to see how we change the standard transformer architecture into something called mixture of experts.
[00:07:56.640 --> 00:08:04.640]   So if you look at different layers and you do some interpretability work, you will figure out that feed-forward network has a specific model,
[00:08:04.640 --> 00:08:14.640]   bottleneck. It has a challenge because feed-forward network sort of like has to disentangle all the information that previous layers process, like attention layer.
[00:08:14.640 --> 00:08:22.640]   So you can think about it this way. Feed-forward network has to decide which neuron in the network to activate when it sees a golden gate breach in a text.
[00:08:22.640 --> 00:08:30.640]   So it's really hard because the tasks that we have for LLMs, sometimes they have different languages, sometimes they require different specialization.
[00:08:30.640 --> 00:08:37.640]   They could be like mod domain, biology, etc. So feed-forward network has the hardest job in the whole.
[00:08:37.640 --> 00:08:51.640]   So how does mixture of experts solve this bottleneck? Instead of having one monolithic feed-forward network, we will create separate feed-forward networks, and we will call them experts, as you can see on the right side of the screen.
[00:08:51.640 --> 00:09:02.640]   Each expert will be specialized in a specific task. So you can think about it this way. One expert can be solving math problems, another expert can be a biology teacher, right?
[00:09:02.640 --> 00:09:10.640]   And the other thing that is crucial here, this type of architecture allows us to increase parameters of the model.
[00:09:10.640 --> 00:09:17.640]   You create multiple copies of the feed-forward network, but you don't have to activate all of them for every token you route for the network.
[00:09:17.640 --> 00:09:26.640]   You can see that there is an additional network called router within our network, which basically decides which expert to select for a particular token.
[00:09:26.640 --> 00:09:35.640]   So you can click next, yeah. And that allows us to actually increase the width of the model, increase the capacity of the model, and scale the parameters.
[00:09:35.640 --> 00:09:41.640]   Because we know that from parameters you are getting better skills without increasing the inference time.
[00:09:41.640 --> 00:09:45.640]   So you can actually activate the same number of parameters as for the monolithic model.
[00:09:45.640 --> 00:09:51.640]   So you will map like in terms of the time, but you will be better in quality because you trained a larger model.
[00:09:51.640 --> 00:10:01.640]   Yeah, so sort of like to close on on this, this is the approach that other companies are using.
[00:10:01.640 --> 00:10:05.640]   Like this is the industry standard right now, OpenAI GPT-4 models and Tropiccloid.
[00:10:05.640 --> 00:10:13.640]   All of them are using this way, this approach to scale the models and to gain better skills for their models.
[00:10:13.640 --> 00:10:17.640]   So yeah, MOE models are really, really cool.
[00:10:17.640 --> 00:10:24.640]   And they are kind of like becoming the industry standard for being able to run large, large parameter models in an efficient way.
[00:10:24.640 --> 00:10:29.640]   So you don't have to continuously just add hardware to be able to run better and better quality models.
[00:10:29.640 --> 00:10:31.640]   But there are some other approaches that also work.
[00:10:31.640 --> 00:10:34.640]   So something I want to talk a little bit about is inference time compute.
[00:10:34.640 --> 00:10:43.640]   Last year, I believe, Ilya Siskover gave a talk at NeurIPS around how we're in the age of inference time compute,
[00:10:43.640 --> 00:10:49.640]   where we have just thrown as much data as possible when we pre-train these really, really large models.
[00:10:49.640 --> 00:10:54.640]   And eventually, we're going to hit a data wall, right, where we have no more additional unique data to train our models with.
[00:10:54.640 --> 00:11:05.640]   So now, what we can do is do more compute after the model has been trained to be able to get better and better results and more and more intelligent models.
[00:11:05.640 --> 00:11:10.640]   So an example of problems that benchmarks test for are math problems.
[00:11:10.640 --> 00:11:19.640]   So I want to first take a math problem from the AIME math competition and see how certain models kind of tackle this kind of problem.
[00:11:19.640 --> 00:11:26.640]   And the thing with these types of math problems is that it's harder for, like, a single non-reasoning model to be able to solve these,
[00:11:26.640 --> 00:11:32.640]   because they require multiple steps in sequential thought, where it's really hard to do things like this without reasoning.
[00:11:32.640 --> 00:11:40.640]   And when I ran this exact problem through GPT-40, which is not a reasoning model, it took 45 seconds to come to the wrong answer.
[00:11:40.640 --> 00:11:42.640]   And this is like the frontier model.
[00:11:42.640 --> 00:11:50.640]   But ChatGPT-03, sorry, GPT-03, which is a reasoning model, took 293 seconds to come up with the right answer.
[00:11:50.640 --> 00:11:57.640]   So this is it on the right, doing everything correctly, but it just took 293 seconds.
[00:11:57.640 --> 00:12:04.640]   So if you want something in a reasonable within three business days kind of timeline, this is probably not the solution for you.
[00:12:04.640 --> 00:12:11.640]   Like, imagine you're, like, scrolling through an app and it just is loading for six minutes or three minutes or four minutes and 53 seconds.
[00:12:11.640 --> 00:12:16.640]   That's just, like, an unreasonable amount of time for a lot of, like, tasks.
[00:12:16.640 --> 00:12:22.640]   So I want to introduce something called Mixture of Agents, which is leveraging the collective intelligence of multiple LLMs to come to the right answer.
[00:12:22.640 --> 00:12:29.640]   And I think, like, because Cerebrus is a super-fast inference provider, I'm sure everyone can see where this is going.
[00:12:29.640 --> 00:12:38.640]   So Mixture of Agents is basically the ability to take advantage of these earth-shattering speeds from our hardware and apply them into harder problems like this.
[00:12:38.640 --> 00:12:39.640]   So it's not just about speed.
[00:12:39.640 --> 00:12:44.640]   It's about getting higher intelligence with less smart models.
[00:12:44.640 --> 00:12:51.640]   And Mixture of Agents is-- a lot of it is inspired by Mixture of Experts architecture because, essentially, you're trying to do the same thing.
[00:12:51.640 --> 00:13:01.640]   You're trying to squeeze out as much intelligence in an efficient way from a lot of, like, tokens, whether it's within the model or outside of the model.
[00:13:01.640 --> 00:13:09.640]   So basically how it works is that you send inputs to multiple LLMs with custom system prompts like agents, and then each model gives its own response.
[00:13:09.640 --> 00:13:15.640]   And then, basically, a final model combines all of the answers from all the individual models into a single answer.
[00:13:15.640 --> 00:13:24.640]   And this has shown that it outperforms even frontier models on certain benchmarks as benchmarked by Together AI,
[00:13:24.640 --> 00:13:28.640]   who's the ones that kind of came up with this idea and this term.
[00:13:28.640 --> 00:13:38.640]   So I want to show you an example of a startup that's actually building in production with Cerebrus in this Mixture of Agents model.
[00:13:38.640 --> 00:13:39.640]   There's a YouTube video.
[00:13:39.640 --> 00:13:40.640]   Let's show the video.
[00:13:40.640 --> 00:13:41.640]   Let's see.
[00:13:41.640 --> 00:13:44.640]   Worst case, I can just show the Google Drive link.
[00:13:44.640 --> 00:13:45.640]   Sorry.
[00:13:45.640 --> 00:13:47.640]   The internet, as you all know, is not great.
[00:13:47.640 --> 00:13:50.640]   So I hope this loads.
[00:13:50.640 --> 00:13:51.640]   If not-- wait.
[00:13:51.640 --> 00:13:53.640]   I think I have it locally saved.
[00:13:53.640 --> 00:13:54.640]   One second.
[00:13:54.640 --> 00:13:55.640]   Oh, yeah.
[00:13:55.640 --> 00:13:56.640]   I do have it locally saved.
[00:13:56.640 --> 00:13:57.640]   Perfect.
[00:13:57.640 --> 00:14:03.640]   So this is ninjatech.ai, and you can try this product in production right now.
[00:14:03.640 --> 00:14:07.640]   And they're basically building a smarter chatbot.
[00:14:07.640 --> 00:14:15.640]   And this is ninjatech solving the same exact question in 7.4 seconds and getting the answer correct.
[00:14:15.640 --> 00:14:22.640]   So people are using this type of technique and our inference together in production to solve really hard questions like this math problem.
[00:14:22.640 --> 00:14:23.640]   Cool.
[00:14:23.640 --> 00:14:24.640]   Cool.
[00:14:24.640 --> 00:14:25.640]   Okay.
[00:14:25.640 --> 00:14:26.640]   Hopefully.
[00:14:26.640 --> 00:14:27.640]   Please.
[00:14:27.640 --> 00:14:28.640]   Please, tech gods.
[00:14:28.640 --> 00:14:29.640]   Okay.
[00:14:29.640 --> 00:14:30.640]   Cool.
[00:14:30.640 --> 00:14:39.640]   So basically, what this startup did was take a bunch of models and a bunch of LLM calls and get the right answer that a frontier model reasoning model took 293 seconds.
[00:14:39.640 --> 00:14:40.640]   All the way down to seven seconds.
[00:14:40.640 --> 00:14:42.640]   And here's how their whole application works.
[00:14:42.640 --> 00:14:48.640]   So they have a planning agent that spits out eight potential proposals for the right answer.
[00:14:48.640 --> 00:14:52.640]   And then another token, a critique agent, comes in and be like, hey, are these any of them feasible answers to the right answer?
[00:14:52.640 --> 00:14:53.640]   In this case, all of them were bad.
[00:14:53.640 --> 00:15:09.640]   So then what happens is that the planning agent goes back to the drawing board and then spits out 16K context worth of thinking tokens of eight answer proposals.
[00:15:09.640 --> 00:15:26.640]   And then the same virtual cycle happens where the critique agents like, are any of them good?
[00:15:26.640 --> 00:15:33.640]   In this case, in the example I showed before, two of them were potential answer candidates that could have been the correct answer.
[00:15:33.640 --> 00:15:41.640]   And then another agent, a summarization agent, takes those two top answers and then turns them in to the final answer, which is eventually the right answer.
[00:15:41.640 --> 00:15:52.640]   So this whole process, even though it took seven seconds, took over 500,000 tokens to be generated and 32 LLM calls, some of them in parallel, some of them sequential.
[00:15:52.640 --> 00:16:00.640]   So this type of system allows you to take advantage of non-frontier models, even open source models that may not perform as well in benchmarks,
[00:16:00.640 --> 00:16:03.640]   and turn them into performing better than frontier models.
[00:16:03.640 --> 00:16:09.640]   So, yeah, like I said, again, why don't people use O3 in production?
[00:16:09.640 --> 00:16:11.640]   It's because it's very slow.
[00:16:11.640 --> 00:16:20.640]   Like, what, I can't even think about, like, use cases where you can wait five minutes to come up with an answer unless it's like very asynchronous.
[00:16:20.640 --> 00:16:23.640]   And Cerebrus solves the speed bottleneck.
[00:16:23.640 --> 00:16:26.640]   And obviously, Cerebrus is the leader in fast inference.
[00:16:26.640 --> 00:16:28.640]   So I want to show you why we are so fast.
[00:16:28.640 --> 00:16:31.640]   So this is an architecture diagram of a GPU.
[00:16:31.640 --> 00:16:39.640]   And highlighted in red is the core, or the thing that does all the mathematical computations that allow LLMs to predict the next token.
[00:16:39.640 --> 00:16:46.640]   In this particular GPU, which is the H100, there are around 17,000 cores on this chip.
[00:16:46.640 --> 00:16:57.640]   The problem is that the memory where all the weights and all the intermediate calculations and all the other information needed to produce the next token is stored largely off the chip.
[00:16:57.640 --> 00:17:15.640]   And these memory channels that communicate between the cores and the external memory become bottlenecks as you run larger and larger models because, of course, you have to transfer in more weights and you have to transfer in more intermediate calculations in the KV cache while you're trying to calculate the next token.
[00:17:15.640 --> 00:17:21.640]   Cerebrus tackle this by having a radically different memory management system.
[00:17:21.640 --> 00:17:25.640]   We have 900,000 individual cores on one chip.
[00:17:25.640 --> 00:17:33.640]   And then with those 900,000 cores, we have 900,000 individual memory stores that are distributed all across the chip, one-to-one with our compute cores.
[00:17:33.640 --> 00:17:37.640]   And each core has direct access to memory.
[00:17:37.640 --> 00:17:43.640]   The core-specific memory holds the same set of weights regardless of what you're putting into the system.
[00:17:43.640 --> 00:17:50.640]   So basically, you don't need to wait for the external weights or the intermediate calculations to load to be able to do the computations.
[00:17:50.640 --> 00:17:55.640]   We can just do it in real time because there's no kind of memory transfer time that you need to wait for.
[00:17:55.640 --> 00:17:58.640]   Everything is just on the chip.
[00:17:58.640 --> 00:18:02.640]   And Cerebrus scales linearly across larger models.
[00:18:02.640 --> 00:18:11.640]   The thing that makes Cerebrus really fast with super-large models is that the only piece of data that's being transferred from chip to chip is activations.
[00:18:11.640 --> 00:18:13.640]   That's the only piece of data that travels.
[00:18:13.640 --> 00:18:17.640]   It can even be, like, transferred using a single Ethernet cord, that amount of data.
[00:18:17.640 --> 00:18:18.640]   It's very small.
[00:18:18.640 --> 00:18:26.640]   With a DGX cluster with multiple GPUs, they have to transfer so many activations and cache computations in between layers
[00:18:26.640 --> 00:18:33.640]   because single GPUs cannot do multiple layers of computations via hundreds of MV links, connectors, switches, etc.
[00:18:33.640 --> 00:18:39.640]   And that networking piece is the reason why we're so dominant compared to NVIDIA GPUs.
[00:18:39.640 --> 00:18:42.640]   So, Daria, how does this all translate?
[00:18:42.640 --> 00:18:43.640]   Sure.
[00:18:43.640 --> 00:18:44.640]   Yeah.
[00:18:44.640 --> 00:18:48.640]   I probably want to start with, like, a problem that I have and see how many people have the same problem.
[00:18:48.640 --> 00:19:00.640]   So, when I interact with a monolithic model, with just one model, I usually ask to solve a particular problem, and then it doesn't get the right solution right away, usually, if the problem is complex, right?
[00:19:00.640 --> 00:19:07.640]   So, I have to continue prompting it and refining it and, at some point, hitting the number of tokens that the model can process or something like that.
[00:19:07.640 --> 00:19:10.640]   Let's start all with the chat from scratch.
[00:19:10.640 --> 00:19:14.640]   Does anyone else have the same problem?
[00:19:14.640 --> 00:19:15.640]   Okay, cool.
[00:19:15.640 --> 00:19:16.640]   So, I'm not alone.
[00:19:16.640 --> 00:19:25.640]   Here, what we do with mixture of agents, we're going to specialize each agent to solve a particular portion of the problem.
[00:19:25.640 --> 00:19:27.640]   So, imagine you have a very complex problem.
[00:19:27.640 --> 00:19:28.640]   I don't know.
[00:19:28.640 --> 00:19:30.640]   You need to do a surgery, let's say, right?
[00:19:30.640 --> 00:19:31.640]   Imagine that.
[00:19:31.640 --> 00:19:33.640]   So, we need different types of people to help with the surgery.
[00:19:33.640 --> 00:19:44.640]   And we're going to ask each expert to specialize in one specific part of the surgery so they all together can work and produce, like, a better result compared to just one person who can do a surgery, right?
[00:19:44.640 --> 00:19:47.640]   So, we're going to do it through prompt engineering.
[00:19:47.640 --> 00:19:59.640]   And the one nice thing about it is, instead of doing multiple rounds, multiple iterations to find the best solution at the end, you're going to find the solution at the zero shot, at the one shot.
[00:19:59.640 --> 00:20:12.640]   You're going to ask one question, and because each kind of, like, agent is already specialized in solving a particular portion of the task, they will combine the result together, and it's going to be the final solution without continuous prompting.
[00:20:12.640 --> 00:20:14.640]   So, this is what we're going to build today.
[00:20:14.640 --> 00:20:17.640]   So, this is the time for the hands-on workshop.
[00:20:17.640 --> 00:20:21.640]   So, before we move on, this is, like, the second time I'm showing this.
[00:20:21.640 --> 00:20:23.640]   Everyone needs an API key.
[00:20:23.640 --> 00:20:25.640]   This is, like, the one thing you need to do for the workshop.
[00:20:25.640 --> 00:20:27.640]   So, everyone get an API key.
[00:20:27.640 --> 00:20:28.640]   Okay, cool.
[00:20:28.640 --> 00:20:33.640]   And then, please go to this GitHub link, and then star and fork the repo.
[00:20:33.640 --> 00:20:35.640]   That's the next step.
[00:20:35.640 --> 00:20:36.640]   Kevin created it.
[00:20:36.640 --> 00:20:37.640]   Kevin.
[00:20:37.640 --> 00:20:38.640]   Not Daniel.
[00:20:38.640 --> 00:20:39.640]   Kevin.
[00:20:39.640 --> 00:20:42.640]   I don't have HD shots of Kevin going like this.
[00:20:42.640 --> 00:20:44.640]   So, that's me.
[00:20:44.640 --> 00:20:45.640]   Yeah.
[00:20:45.640 --> 00:20:53.640]   This is also in our Slack channel if you don't want a QR code scan.
[00:20:53.640 --> 00:20:58.640]   So, if you are in the AI engineer Slack channel, feel free to go to--
[00:20:58.640 --> 00:21:02.640]   Yeah, we also dropped the slides there, and you guys can interact there if you want.
[00:21:02.640 --> 00:21:03.640]   Help each other out.
[00:21:03.640 --> 00:21:05.640]   It's called MOA.
[00:21:05.640 --> 00:21:06.640]   MOA workshop.
[00:21:06.640 --> 00:21:08.640]   Does anyone have issues finding that?
[00:21:08.640 --> 00:21:09.640]   Let us know.
[00:21:09.640 --> 00:21:10.640]   Yeah.
[00:21:10.640 --> 00:21:17.640]   And once you guys start and fork the repo, we're going to deploy this app via streamlet.
[00:21:17.640 --> 00:21:19.640]   Or you can run it locally, whatever you prefer.
[00:21:19.640 --> 00:21:22.640]   I just don't want to deal with Python installation issues.
[00:21:22.640 --> 00:21:28.640]   So, that's why-- where I suggest if you have the internet bandwidth to go through streamlet.
[00:21:28.640 --> 00:21:32.640]   But if not, doing it locally via Python is fine.
[00:21:32.640 --> 00:21:35.640]   And just quickly, Daniel is going through the slides.
[00:21:35.640 --> 00:21:39.640]   But if you want to come back to some of the steps, we shared it in the Slack channel.
[00:21:39.640 --> 00:21:41.640]   So, you can open slides 50 to 54.
[00:21:41.640 --> 00:21:43.640]   They will have the same instructions.
[00:21:43.640 --> 00:21:45.640]   What's the Slack channel?
[00:21:45.640 --> 00:21:48.640]   MOA, mixture of agents.
[00:21:48.640 --> 00:21:49.640]   Dash.
[00:21:49.640 --> 00:21:50.640]   Dash workshop.
[00:21:50.640 --> 00:21:51.640]   Yeah.
[00:21:51.640 --> 00:21:59.640]   So, once you start and fork the repo, you basically are going to deploy it via streamlet.
[00:21:59.640 --> 00:22:00.640]   Or locally.
[00:22:00.640 --> 00:22:04.640]   And basically, how you deploy it on streamlet is you go to streamlet.io.
[00:22:04.640 --> 00:22:06.640]   I would suggest logging in with GitHub.
[00:22:06.640 --> 00:22:09.640]   That way, everything is set up for you.
[00:22:09.640 --> 00:22:16.640]   And then, deploy the Cerebrus.MOA workshop that you have forked into your GitHub repo.
[00:22:16.640 --> 00:22:18.640]   Changing the main file path.
[00:22:18.640 --> 00:22:19.640]   And then, clicking advanced settings.
[00:22:19.640 --> 00:22:24.640]   And once you click advanced settings, you just plug in your Cerebrus API key here.
[00:22:24.640 --> 00:22:28.640]   And that's how you run the app.
[00:22:28.640 --> 00:22:38.640]   So, I'll wait like two, let's say three minutes for everyone to go and clone and spin up their app.
[00:22:38.640 --> 00:22:40.640]   And then, we can go from there.
[00:22:40.640 --> 00:22:42.640]   Raise your hand if you need help from me or Daria.
[00:22:42.640 --> 00:22:46.640]   We can help you get set up if you have any questions.
[00:22:46.640 --> 00:22:47.640]   Okay, let me set a timer.
[00:22:47.640 --> 00:22:55.640]   If you guys want to have an access to the presentation, here is the QR code to our Slack channel called MOA workshop.
[00:22:55.640 --> 00:23:03.640]   And if you want steps on how to set up everything with the streamlet, you can go to the slide 50 to 54.
[00:23:03.640 --> 00:23:08.640]   I already shared it in the chat there.
[00:23:08.640 --> 00:23:09.640]   Yeah.
[00:23:09.640 --> 00:23:11.640]   I think Kevin committed the API key.
[00:23:11.640 --> 00:23:13.640]   Did we just use that one?
[00:23:13.640 --> 00:23:15.640]   Kevin committed the API key.
[00:23:15.640 --> 00:23:16.640]   God damn it.
[00:23:16.640 --> 00:23:23.640]   Thank you so much for bringing that up.
[00:23:23.640 --> 00:23:24.640]   It's okay.
[00:23:24.640 --> 00:23:28.640]   His API key is rate limited.
[00:23:28.640 --> 00:23:32.640]   It's not like he has like the God API key, but it's okay.
[00:23:32.640 --> 00:23:33.640]   He's an intern, right?
[00:23:33.640 --> 00:23:37.640]   Like, yeah, feel free to like use your own though, please.
[00:23:37.640 --> 00:23:38.640]   That would be great.
[00:23:38.640 --> 00:23:40.640]   Because that will get rate limited.
[00:23:40.640 --> 00:23:44.640]   If everyone uses it, it's going to like obviously get rate limited.
[00:23:44.640 --> 00:23:46.640]   Daniel, I think.
[00:23:46.640 --> 00:23:48.640]   I'm glad that my boss is not here.
[00:23:48.640 --> 00:23:49.640]   Yeah.
[00:23:49.640 --> 00:23:54.640]   The secret just stays between you, us, and the internet, you know?
[00:23:54.640 --> 00:23:55.640]   Because apparently this is getting in.
[00:23:55.640 --> 00:23:57.640]   The door is being recorded.
[00:23:57.640 --> 00:23:58.640]   It's being recorded.
[00:23:58.640 --> 00:23:59.640]   No, I know, I know.
[00:23:59.640 --> 00:24:01.640]   I'm going to rotate it right now.
[00:24:01.640 --> 00:24:06.640]   Perfect.
[00:24:06.640 --> 00:24:11.640]   Daniel, I think we are getting the prize for the finest workshop ever, right?
[00:24:11.640 --> 00:24:12.640]   Wait, really?
[00:24:12.640 --> 00:24:13.640]   Yeah, probably, right?
[00:24:13.640 --> 00:24:14.640]   API key is committed.
[00:24:14.640 --> 00:24:16.640]   I kind of want to win though.
[00:24:16.640 --> 00:24:21.640]   So like if everyone wants to vote for us as like the most popular slash funnest workshop,
[00:24:21.640 --> 00:24:22.640]   you know?
[00:24:22.640 --> 00:24:23.640]   I wouldn't say no.
[00:24:23.640 --> 00:24:24.640]   You know?
[00:24:24.640 --> 00:24:25.640]   Huh?
[00:24:25.640 --> 00:24:28.640]   I said how many string records do I have to do for us?
[00:24:28.640 --> 00:24:30.640]   Oh, it's a bribery thing.
[00:24:30.640 --> 00:24:31.640]   Okay, I see, I see.
[00:24:31.640 --> 00:24:32.640]   They are strings attached to this vote.
[00:24:32.640 --> 00:24:33.640]   I see, I see.
[00:24:33.640 --> 00:24:38.640]   Yeah, let us know if you have any trouble spinning up the workshop
[00:24:38.640 --> 00:24:40.640]   and then using definitely your own API key.
[00:24:40.640 --> 00:24:49.640]   Okay.
[00:24:49.640 --> 00:24:54.640]   Do we have a slide how the workshop page, front page should look like?
[00:24:54.640 --> 00:24:55.640]   Yeah.
[00:24:55.640 --> 00:24:56.640]   I think I can use some help.
[00:24:56.640 --> 00:24:57.640]   Wait, what?
[00:24:57.640 --> 00:24:58.640]   Sorry?
[00:24:58.640 --> 00:24:59.640]   I can use some help.
[00:24:59.640 --> 00:25:00.640]   Oh, okay.
[00:25:00.640 --> 00:25:08.640]   No, it's in the readme.
[00:25:08.640 --> 00:25:15.640]   It's basically you have to install like all the requirements file and then you run one command.
[00:25:15.640 --> 00:25:16.640]   It's very simple.
[00:25:16.640 --> 00:25:18.640]   We try to make it as simple as possible.
