
[00:00:00.000 --> 00:00:04.380]   If you're looking to optimize your life without spending more time or money than you have to,
[00:02:13.780 --> 00:02:18.200]   So I'll include links to all of them in the show notes. And just so you know, when I mentioned an
[00:02:18.200 --> 00:02:23.180]   episode number, it serves two purposes. One, if you're on the podcast app, it makes it easy to scroll
[00:02:23.180 --> 00:02:28.440]   back in time. The episode number should be in the little summary for each one. But also if you go to
[00:02:28.440 --> 00:02:34.620]   allthehacks.com slash 91, it'll jump straight to episode 91. So you can always use that number as a
[00:02:34.620 --> 00:02:39.540]   way to get to the episode page where on that episode page, you can find links to the episode
[00:02:39.540 --> 00:02:46.180]   in your favorite podcast app or YouTube. So I'm going to start with travel, which I'll split into
[00:02:46.180 --> 00:02:52.520]   credit card points and miles side first, and then general travel after. So the first thing is that
[00:02:52.520 --> 00:02:59.280]   welcome bonuses always win. So it's fun to sometimes think about what credit card is the best one for
[00:02:59.280 --> 00:03:04.540]   earning the most cashback or points or whatever you want. When it comes to a category, you spend a lot
[00:03:04.540 --> 00:03:10.280]   on like dining. But I think the most important thing to remember is that there is hardly a welcome
[00:03:10.280 --> 00:03:17.780]   bonus on a new card that earns anything less than 5%. I would say the actual average of the top welcome
[00:03:17.780 --> 00:03:25.120]   bonuses when I did the analysis for episode 170, which was about cashback versus points, was around 17x
[00:03:25.120 --> 00:03:29.820]   points on the average welcome bonus. And not the average of all welcome bonuses, but the average I think of
[00:03:29.820 --> 00:03:34.460]   the top 10 or 20 at the time. So yes, you can earn 4x points on dining or 5x points
[00:03:34.460 --> 00:03:41.200]   on flights. But the average welcome bonus is going to give you 17x points on all of your spend on that
[00:03:41.200 --> 00:03:48.340]   card up until you hit that minimum spend. So welcome bonuses always win. The next one is that in math,
[00:03:48.340 --> 00:03:54.720]   we've learned from the time we were kids that 1 plus 1 equals 2. But in the points game, 1 plus 1 is
[00:03:54.720 --> 00:03:59.540]   definitely able to be more than 2. And that's because you can play this game with your spouse,
[00:03:59.700 --> 00:04:05.580]   your partner, your parents, your family, your friends, your children. And in addition to both earning welcome
[00:04:05.580 --> 00:04:12.560]   bonuses, when you refer people, you can usually for many card issuers earn a referral bonus as well. So if you were
[00:04:12.560 --> 00:04:19.320]   going to say open a card that had a 80,000 point bonus, and then refer your partner to a card that also had an 80,000 point
[00:04:19.320 --> 00:04:26.060]   bonus, you could get not only the 160 plus maybe 20,000 points for the referral. I'm using some round numbers to make this
[00:04:26.060 --> 00:04:31.320]   easy, but it's somewhere in that order of magnitude. It also means that you can take advantage of a really
[00:04:31.320 --> 00:04:37.100]   huge opportunity multiple times. If you were playing this game with a partner, maybe you were also helping
[00:04:37.100 --> 00:04:42.280]   your parents. That's four people that could take advantage of a 100,000 point welcome bonus, not just
[00:04:42.280 --> 00:04:49.020]   one, plus any referrals that stack on top of that. So I know one of the pieces of pushback I get a lot of time
[00:04:49.020 --> 00:04:54.480]   here is that if you open up tons and tons of cards, you go for welcome bonuses, you do it with your partner, what is
[00:04:54.480 --> 00:05:00.940]   that going to do to your credit? In episode 221, I did a deep dive on credit and credit scores. But one of the highlights
[00:05:00.940 --> 00:05:07.940]   I'll share is from a story from someone who posted online pretty publicly, but said they opened 26 credit cards in
[00:05:07.940 --> 00:05:14.140]   2017. And the entire time they tracked their credit score for them and their partner, not only did the two of them
[00:05:14.140 --> 00:05:19.600]   accumulate 2 million points, but their credit scores both went up and his partner's score went up by over
[00:05:19.600 --> 00:05:27.800]   100 points. And they ended this in the high 700, low 800 range, starting from below that for both of them. So
[00:05:27.800 --> 00:05:32.740]   this is not necessarily something that will ruin your credit. In fact, in many cases, it will improve it.
[00:05:32.740 --> 00:05:39.820]   The next one is that every one of us can be a travel agent. And I say this because one of the challenges with
[00:05:39.820 --> 00:05:44.560]   earning points and miles is that most of us don't want to keep spending more and more money that we
[00:05:44.560 --> 00:05:50.480]   don't need to spend. So what I love doing is anytime I'm taking a trip with family or friends, or maybe
[00:05:50.480 --> 00:05:56.960]   it's a reunion or a bachelor party or even something at work, I've always volunteered to be the travel agent
[00:05:56.960 --> 00:06:02.080]   for the group. I'll book the hotels, I'll book the flights, and I'll go as far as to reach out to the
[00:06:02.080 --> 00:06:07.720]   airline and try to get a group fare or the same thing with the hotel. Turns out most people hate doing
[00:06:07.720 --> 00:06:12.480]   that kind of work. I'm guessing if you're listening to this podcast, maybe you like that. And if that's
[00:06:12.480 --> 00:06:17.920]   true, this gives you an opportunity to say, I will take all that logistical overhead off of all of your
[00:06:17.920 --> 00:06:22.940]   plates. All I ask for in return is I'm going to book it all on my card. And then I'm going to ask you
[00:06:22.940 --> 00:06:30.160]   to Venmo, Zelle, PayPal, whatever it is, the cost of that trip. I've used that to get lots and lots of
[00:06:30.160 --> 00:06:34.560]   travel bookings on my cards that weren't necessarily for me and accumulate a ton of points.
[00:06:35.620 --> 00:06:41.520]   The next big one in the points and miles world is to take advantage of award search tools and
[00:06:41.520 --> 00:06:48.620]   their alerts. In episode 166 and 167, Greg from The Frequent Miler and I went down and looked at every
[00:06:48.620 --> 00:06:54.460]   single hotel and flight booking service there is out there. So I'm not going to recap all of them,
[00:06:54.460 --> 00:07:03.000]   but these tools have gotten so good and made it so easy for you to really maximize your points that if
[00:07:03.000 --> 00:07:07.340]   you're not using them and you have points and miles, I think you're really doing yourself a
[00:07:07.340 --> 00:07:13.760]   disservice. And there's a massive opportunity for you to take advantage of tools that make it so easy
[00:07:13.760 --> 00:07:19.420]   to find flights that can give you such outsized value for your points. I know in a couple weeks,
[00:07:19.420 --> 00:07:24.460]   I'm going to do an episode on probably somewhere around 15 or 20 different award search tricks
[00:07:24.460 --> 00:07:28.860]   to make it easier for you to book flights with points and miles. One of those is award search tools,
[00:07:28.860 --> 00:07:32.960]   but we'll cover a lot of things. And then the other thing is these tools also come with alerting.
[00:07:32.960 --> 00:07:39.660]   So not only does it make it easy to say, help me find a flight from California to Asia, but also
[00:07:39.660 --> 00:07:44.540]   help me set an alert so that if a better price comes up or a better route comes up, you can send me a
[00:07:44.540 --> 00:07:50.980]   notification and I can rebook it or book it then. Next one is not all of us have points. Some of us
[00:07:50.980 --> 00:07:55.320]   have been playing the cashback game for a really long time. Some of us just find an amazing points deal,
[00:07:55.320 --> 00:08:01.800]   but don't have the points to do it. Well, you can buy points. In episode 170, I did cashback versus points
[00:08:01.800 --> 00:08:07.080]   and talked about the difference between the two. And one of the biggest takeaways for me is that points go on
[00:08:07.080 --> 00:08:13.800]   sale all the time. And so there are opportunities to buy points, even if you don't have them. So my favorite
[00:08:13.800 --> 00:08:20.220]   example of this is we stayed at this incredible resort called Caprocot in the island of Majorca in Spain.
[00:08:20.220 --> 00:08:26.280]   And it's part of the small luxury hotel group. And that's part of Hilton. And so Hilton had this hotel
[00:08:26.280 --> 00:08:33.780]   available for 120,000 points a night. Now, the cash rate was something around $3,000. So already, this is an
[00:08:33.780 --> 00:08:40.080]   amazing value for Hilton points, which are often considered worth around half a cent or $600. So this
[00:08:40.080 --> 00:08:45.880]   is like five times the normal value. But not everyone has 120,000 Hilton points. And yes, you can transfer
[00:08:45.880 --> 00:08:51.440]   from Amex, but maybe you don't have points that can go to Hilton. Well, at the very time we were booking
[00:08:51.440 --> 00:08:58.080]   this, Hilton points were on sale, something that happens at least six to 12 times a year, if not more
[00:08:58.080 --> 00:09:04.260]   frequently. And so you could just go to the Hilton website, buy 120,000 points for half a cent each
[00:09:04.260 --> 00:09:10.000]   or $600, and then immediately book that hotel. So if you're ever on a hotel site searching for hotels,
[00:09:10.120 --> 00:09:14.400]   even if you don't have enough points to use, you might as well toggle that little thing that says
[00:09:14.400 --> 00:09:20.400]   use points and see what the points price is. And if you notice that the points price is such a better
[00:09:20.400 --> 00:09:25.280]   deal, take a look at buying those points if you don't already have them, because there are sometimes big
[00:09:25.280 --> 00:09:31.140]   opportunities there. The same thing is true with airlines. I know Avianca LifeMiles, which is a Star
[00:09:31.140 --> 00:09:37.400]   Alliance partner of Air Canada, United, Lufthansa, they often have points on sale for such an incredible
[00:09:37.400 --> 00:09:42.980]   price that if you were to find an amazing flight on United going to Europe, there's a decent chance
[00:09:42.980 --> 00:09:48.660]   that if you were to buy Avianca LifeMiles points, you could get a way cheaper price than the cash
[00:09:48.660 --> 00:09:53.400]   price for that flight, especially if it's like a long haul international business class flight. So keep
[00:09:53.400 --> 00:09:56.980]   that in mind anytime you find a great deal with points, or maybe you want to look for a great deal
[00:09:56.980 --> 00:10:01.160]   with points, even if you don't have them. Next is making sure you take advantage of all the credit
[00:10:01.160 --> 00:10:05.660]   card benefits that you have. Now, some of the most common ones are purchase protection,
[00:10:06.040 --> 00:10:10.360]   things break. Your credit card company will often cover that. Lots of travel protections depending on
[00:10:10.360 --> 00:10:15.800]   the card. I did an episode a few years ago, number 113, that went through all the different hidden
[00:10:15.800 --> 00:10:20.320]   benefits of your credit card. But I realized in prepping this episode, that one was a little bit
[00:10:20.320 --> 00:10:25.760]   out of date. So I'm going to be redoing that episode in the coming weeks. So keep an eye out for
[00:10:25.760 --> 00:10:31.300]   that. But there are so many benefits and I would be blown away if almost every single person listening
[00:10:31.300 --> 00:10:37.180]   didn't go download their guide to benefits from their card issuer. If it's a Visa card,
[00:10:37.180 --> 00:10:42.160]   there might be a Visa Infinite or Visa Signature or MasterCard World Elite. Not only look at the
[00:10:42.160 --> 00:10:46.260]   benefits that come with your card, but go to the MasterCard World Elite website, go to the Visa
[00:10:46.260 --> 00:10:50.820]   Infinite site and look at those benefits. There are all kinds of things you might not know existed.
[00:10:50.820 --> 00:10:56.680]   Unfortunately, the one I'll share right now is gone. But for a while, having a Visa Signature or
[00:10:56.680 --> 00:11:02.140]   Infinite card included wine tasting two-for-ones in Sonoma County. So just all kinds of crazy benefits
[00:11:02.140 --> 00:11:07.700]   that you won't know until you look. And then the last points in Miles 1 is that if you are active
[00:11:07.700 --> 00:11:13.420]   duty military or a spouse of someone who is active duty military, and depending on the issuer, that may
[00:11:13.420 --> 00:11:20.420]   include reserves, you can get most of your credit card fees completely waived. And I know this firsthand
[00:11:20.420 --> 00:11:25.900]   because a listener emailed me a copy of both their earning summary from their active duty
[00:11:25.900 --> 00:11:32.080]   in the reserves, as well as a spreadsheet of all the credit card annual fees that were getting waived
[00:11:32.080 --> 00:11:38.480]   because of it. And both numbers were somewhere around $7,000 or $9,000. But the funny part was that
[00:11:38.480 --> 00:11:46.320]   they were actually getting more fees waived than they were getting paid to be a reservist. So it basically
[00:11:46.320 --> 00:11:51.060]   more than doubled their income from that perspective. Now, they probably wouldn't have had all these
[00:11:51.060 --> 00:11:55.580]   credit cards if the fees weren't getting waived. But there are some cards that have free nights,
[00:11:55.580 --> 00:12:02.700]   free hotel credits, priority pass, global entry, clear, all kinds of benefits and perks. And so if
[00:12:02.700 --> 00:12:08.760]   those fees are getting waived, it can be a huge, huge benefit for anyone who serves or is married to
[00:12:08.760 --> 00:12:15.280]   someone who does. Okay, moving on from credit cards, let's talk general travel. And this is more of a
[00:12:15.280 --> 00:12:21.080]   mindset shift from episode 187 with my good friend Lee Rowan. We talked in that episode about a bunch
[00:12:21.080 --> 00:12:25.260]   of travel planning tips and hacks. But one that keeps sticking with me is asking the question,
[00:12:25.260 --> 00:12:31.580]   are you planning the trip or is the trip planning you? And there are lots of times in this world where
[00:12:31.580 --> 00:12:35.820]   we see a deal or we find this awesome thing. And it's not necessarily a bad thing if you find an
[00:12:35.820 --> 00:12:40.900]   amazing flight deal or a hotel deal and want to build your entire trip around it. But just make sure
[00:12:40.900 --> 00:12:45.500]   you're conscious about what you're doing. Because sometimes we get down in this rabbit hole where we
[00:12:45.500 --> 00:12:50.240]   start finding a deal and the next deal and all of a sudden we're building a trip. But we never pause
[00:12:50.240 --> 00:12:55.020]   to step back and say, is this actually the trip we want to take? And I've found myself in that situation
[00:12:55.020 --> 00:13:00.940]   a few times. And so my new mindset is think in advance whether this is a trip where we want to be
[00:13:00.940 --> 00:13:05.480]   very intentional about the kind of trip or where we just want to get out. And we're okay letting the
[00:13:05.480 --> 00:13:12.600]   deal or the opportunity plan the trip for us. Here's a small quick one, but it's really fun.
[00:13:12.600 --> 00:13:17.220]   And there's actually a company that built an entire business around it, which is that you can reverse
[00:13:17.220 --> 00:13:25.280]   image search places on Airbnb or VRBO and find other places that property is being rented. So you could
[00:13:25.280 --> 00:13:31.100]   just go take the image, go to Google image search and put the image from the Airbnb site or the Vrbo
[00:13:31.100 --> 00:13:37.960]   site and search for it. But there's a website, hichee.com that does this for you. You can paste
[00:13:37.960 --> 00:13:42.300]   in the link from Airbnb and they'll go and see if they can find that property somewhere else for you
[00:13:42.300 --> 00:13:45.780]   to book. I've never used that site. I have no affiliation with them, but I just want to share
[00:13:45.780 --> 00:13:50.400]   because they've kind of productized this functionality. And when we were going to Paris,
[00:13:50.400 --> 00:13:55.720]   we found a vacation rental and then we were able to find another place to get the exact same property
[00:13:55.720 --> 00:14:01.880]   for about 20% less that wasn't going through Airbnb. And I presume had less fees for the
[00:14:01.880 --> 00:14:08.300]   person who owned it. Now, another one is that once you book something online, you can monitor for price
[00:14:08.300 --> 00:14:13.880]   drops. And so you could do this for rental cars, hotel prices, airline fares, and there's a lot of
[00:14:13.880 --> 00:14:18.580]   different sites that do this. You can go to Google flights and set a price alert. And so if the fare
[00:14:18.580 --> 00:14:22.960]   drops, you'll get an alert. You can do that whether you've bought the flight or not. There's a great car
[00:14:22.960 --> 00:14:28.140]   rental site I love to use called Auto Slash. I had the founder on talking about ways to get rental car
[00:14:28.140 --> 00:14:32.880]   deals. But even if you don't use them to book a rental car, you can go tell them, here's my rental
[00:14:32.880 --> 00:14:38.200]   car summary. Here's how much I'm paying. And if they find a better deal, they'll message you and you can
[00:14:38.200 --> 00:14:42.520]   basically go and rebook it. And since lots of rental cars are cancelable, it's pretty easy.
[00:14:42.520 --> 00:14:47.800]   They launched something called Hotel Slash, which does the same thing for hotels. There's a service
[00:14:47.800 --> 00:14:53.020]   called Autopilot that will monitor, I think, United, Delta, and American flights. And so if
[00:14:53.020 --> 00:14:58.300]   the fare drops on any of those flights that you've booked, not only will they let you know that it
[00:14:58.300 --> 00:15:03.320]   dropped, but they're actually going to go out and rebook the flight for you so that you don't even
[00:15:03.320 --> 00:15:08.680]   have to think about it. Now they do take, I think, 25% of the savings. So keep that in mind, but they
[00:15:08.680 --> 00:15:12.460]   will go out and just say, we'll monitor your flight. And if the fare changes, we'll just rebook it for you.
[00:15:12.460 --> 00:15:15.580]   And you won't even, you'll get a flight credit for the difference or a refund if you booked a
[00:15:15.580 --> 00:15:20.860]   refundable fare. TripIt also does something very similar. They don't charge you a fee or do it for
[00:15:20.860 --> 00:15:24.940]   you, but they will send you an email and say, hey, we noticed this fare dropped. You could rebook it and
[00:15:24.940 --> 00:15:29.860]   save. And that's something that depending on the airline can be really easy to really difficult to
[00:15:29.860 --> 00:15:36.100]   do. Some of them like Southwest, it's often as easy as just changing your flight to that same flight
[00:15:36.100 --> 00:15:41.080]   and then getting a credit right away. Now those credits do expire now. They used to not.
[00:15:41.080 --> 00:15:46.000]   So keep that in mind. But I always say, if you book a flight for $200 and you can change it to
[00:15:46.000 --> 00:15:51.240]   $150 version of the same flight and get a $50 credit, even if you don't use the credit, it didn't
[00:15:51.240 --> 00:15:55.360]   cost you anything. So you might as well do it. Now, similar to not just getting a better deal on the
[00:15:55.360 --> 00:16:00.760]   price. One of my favorite tactics that I've heard hundreds of people listening to this podcast use
[00:16:00.760 --> 00:16:06.880]   is just sending an email to the hotel. And I won't say you're not asking for an upgrade,
[00:16:06.880 --> 00:16:11.760]   but essentially you're sending an email that says, hey, I'm really excited to stay at your hotel.
[00:16:11.760 --> 00:16:15.980]   Here's who we are. If you're traveling with your family, if you're celebrating something and just let
[00:16:15.980 --> 00:16:20.000]   them know who you are. Always book directly with the hotel when you're doing this, because
[00:16:20.000 --> 00:16:24.940]   if you just book from some of the third party booking sites that are powered by Expedia or
[00:16:24.940 --> 00:16:30.060]   Travelocity, that reservation might not even be associated with your name in the system until a lot
[00:16:30.060 --> 00:16:35.900]   closer to check-in and hotels are in the hospitality game. So they want to treat customers with a ton of
[00:16:35.900 --> 00:16:40.400]   hospitality and try to build a long-term relationship. And if you book directly with them, you're giving
[00:16:40.400 --> 00:16:45.800]   them a lot more opportunity to do that. So book directly, send an email. If you can't find an email,
[00:16:45.800 --> 00:16:51.520]   call up the hotel and ask for an email for someone at the front desk or someone in manager, a sales
[00:16:51.520 --> 00:16:55.560]   manager, and just shoot them a note. And then maybe three days before, if you haven't heard from them,
[00:16:55.560 --> 00:17:01.280]   send a follow-up. I have heard stories of room upgrades, better views, free champagne, free
[00:17:01.280 --> 00:17:07.280]   chocolate, decorating a room for a child's birthday, embroidering initials on pillows, like you name it.
[00:17:07.280 --> 00:17:12.540]   Someone has emailed me about a perk they've gotten for doing this. And it's so easy. This episode is
[00:17:12.540 --> 00:17:17.200]   brought to you by Copilot. If you're looking to get your finances organized this year, you have to
[00:17:17.200 --> 00:17:22.440]   check out Copilot. It's one of my favorite apps and I check it almost every day because it makes it so
[00:17:22.440 --> 00:17:27.560]   seamless and easy to manage your money and track your spending, which for us has resulted in a huge
[00:17:27.560 --> 00:17:32.440]   boost to our savings. And I've tried dozens of apps that do this. I've even made a whole episode about
[00:17:32.440 --> 00:17:38.260]   it, but Copilot is the only one I've kept using and I have no plans to stop. You can link accounts at over
[00:17:38.260 --> 00:17:44.240]   10,000 institutions and their AI powered expense categorization is the best I've used with custom
[00:17:44.240 --> 00:17:49.020]   Amazon and Venmo integrations to make it even better. You can completely design your spending
[00:17:49.020 --> 00:17:54.140]   categories and subcategories and easily set up rules to assign transactions to them in the future.
[00:17:54.140 --> 00:17:59.500]   Thanks to Copilot, I have never had a better grasp on our spending and cash flow, which I'm pretty
[00:17:59.500 --> 00:18:04.260]   sure has resulted in thousands of dollars of savings every year. So for the best app to track your
[00:18:04.260 --> 00:18:09.760]   spending, subscriptions, and investments, go to chrishutchins.com slash copilot or click the link
[00:18:09.760 --> 00:18:16.320]   in the description to download Copilot and enter code hacks during onboarding for a two month free trial.
[00:18:16.600 --> 00:18:23.320]   Again, that's chrishutchins.com slash copilot and the code hacks two for a free two month trial of my
[00:18:23.320 --> 00:18:28.200]   favorite personal finance app. This episode is brought to you by NetSuite. What does the future
[00:18:28.200 --> 00:18:34.360]   hold for business? Ask nine experts and you'll get 10 answers. Bull market, bear market, inflation up or
[00:18:34.360 --> 00:18:40.440]   down. It would be amazing if we had a crystal ball. But until then, over 38,000 businesses have future
[00:18:40.440 --> 00:18:46.560]   proofed their business with NetSuite by Oracle, the number one cloud ERP, bringing accounting, financial
[00:18:46.560 --> 00:18:52.840]   management, inventory, HR, all into one fluid platform. With one unified business management suite, there is
[00:18:52.840 --> 00:18:58.240]   one source of truth, giving you the visibility and control you need to make quick decisions. And when you're
[00:18:58.240 --> 00:19:04.200]   closing the books in days, not weeks, you're spending less time looking backwards and more time planning for the
[00:19:04.200 --> 00:19:10.880]   future with actionable data, which is exactly what I'd want as a CEO. Speaking of opportunity, you can download the
[00:19:10.880 --> 00:19:17.680]   NetSuite CFO's guide to AI and machine learning at chrishutchins.com slash NetSuite. The guide is free. You can go to
[00:19:17.680 --> 00:19:24.500]   chrishutchins.com slash NetSuite or click the link in the description. Next, if you're traveling internationally, getting
[00:19:24.500 --> 00:19:33.040]   data from eSIMS has gotten so, so, so easy. So if you're on a plan that includes unlimited international roaming, then
[00:19:33.040 --> 00:19:41.580]   obviously you're all set. But if you're still on an AT&T or a Verizon plan that charges $10, $20 a day or even more, I'd highly
[00:19:41.580 --> 00:19:47.040]   encourage you to go look at eSIMS. They are like those SIM cards you just put in your phone, except you can do it all
[00:19:47.040 --> 00:19:55.400]   electronically. So there are marketplaces. One I've used in the past is called AIRALO, A-I-R-A-L-O. And you could just go say, oh, I'm going to
[00:19:55.400 --> 00:20:02.120]   Japan. And they'll say, oh, 20 gigabytes for $10 for seven days or whatever the different plans are. And you can get them and
[00:20:02.120 --> 00:20:08.500]   activate them without even having to go into a store locally in the country. And it's such a cheap way to get usually
[00:20:08.500 --> 00:20:10.660]   very inexpensive high-speed data.
[00:20:10.660 --> 00:20:17.040]   And then also, when traveling international, if you're looking to save money and actually just get a great experience, free walking
[00:20:17.040 --> 00:20:25.640]   tours are incredible. Obviously, I love free. I love saving a deal. They're not really free because almost every time, if you had a
[00:20:25.640 --> 00:20:32.540]   great experience, I would strongly encourage you to tip the tour guide. That's how they make their money. But it turns out that people who make their
[00:20:32.540 --> 00:20:40.780]   money off tips really try hard to do a good job to earn those tips. And I've had amazing experiences with our family going on these free
[00:20:40.780 --> 00:20:47.120]   walking tours in other cities. And we love doing it right when we get somewhere in a city we've never been to. And it kind of helps to
[00:20:47.120 --> 00:20:53.000]   orient yourself in the city. And you get to ask questions about what should I do while I'm here and get some inspiration.
[00:20:53.000 --> 00:21:00.740]   So I love that. And then the last one when traveling is something we talked about way, way back in episode five with Scott Kyes, who
[00:21:00.740 --> 00:21:07.180]   started a newsletter way back in the day called Scott's Cheap Flights that turned into a whole company now called Going.
[00:21:07.180 --> 00:21:14.420]   And we talked about the peak end rule. And it's just something I try to think about when traveling. And it's this idea that the thing
[00:21:14.420 --> 00:21:22.540]   that you remember after a trip is the peak, the highlight, and the last thing. So I always try to make sure that we do something really
[00:21:22.540 --> 00:21:28.540]   memorable towards the end of a trip, because that's just how our brains work. You know, we're going to remember this, this really
[00:21:28.540 --> 00:21:34.160]   big highlight moment of the trip, which of course we are, but we're also going to usually remember the end of the trip more than
[00:21:34.160 --> 00:21:39.580]   the other parts. So save something special for the end, try to make a magical thing happen somewhere in the middle, and maybe
[00:21:39.580 --> 00:21:45.260]   make magic happen every day, of course. But I try to remember the peak end rule when I'm trying to lay out an itinerary for a
[00:21:45.260 --> 00:21:52.000]   trip. So that's travel. I wasn't counting off numbers, but we're at 14 right now. And next, I want to jump into money.
[00:21:52.080 --> 00:21:59.660]   And it's a topic that I love talking about. And I've broken down the money section into two buckets. One is on expenses. So how do you
[00:21:59.660 --> 00:22:06.160]   save money and spend less money? And then one is on investments and income. So how do you generate more money or invest your
[00:22:06.160 --> 00:22:15.200]   money and grow better? So on the expenses side, the first one is to audit and reduce your bills regularly. So one great example, in
[00:22:15.200 --> 00:22:21.500]   episode 104, I talked at length about specifically just insurance policies, making sure you're going through and
[00:22:21.500 --> 00:22:28.520]   repricing both with your current carrier or potentially with other carriers. I have found that almost every time I have
[00:22:28.520 --> 00:22:35.220]   gone and done that, I've found some way to get something comparable or better for less money. And I think the current
[00:22:35.220 --> 00:22:42.060]   total is $14,000 that I've heard of one listener wrote in and said, I went through the process you outlined in
[00:22:42.060 --> 00:22:48.800]   that episode. And I saved $14,500. It's one of the quotes on the website that just listening to one episode
[00:22:48.800 --> 00:22:53.960]   saved them that much money because they found that they're wildly overpaying for insurance, probably had a
[00:22:53.960 --> 00:22:59.020]   very nice home or car to save that much on insurance. It's more than I think most of us are paying on our home
[00:22:59.020 --> 00:23:04.260]   or auto insurance or definitely not so much that there's a margin for that. But nonetheless, awesome
[00:23:04.260 --> 00:23:09.400]   thing. But I do this with all bills. We all have probably talked or had a conversation about doing
[00:23:09.400 --> 00:23:14.760]   this with Comcast or your cable bill. But just something to keep in mind all the time that if there are
[00:23:14.760 --> 00:23:19.040]   regular bills you have to pay, you should audit them. And one of the bills that I'd really encourage
[00:23:19.040 --> 00:23:24.940]   you to push back is a medical bill. So if you want to go back and listen to episode 34, Marshall Allen and
[00:23:24.940 --> 00:23:31.280]   I went deep on the process of negotiating your medical bills. And from his experience talking to
[00:23:31.280 --> 00:23:36.260]   hundreds of people, I would say it's almost certain that if you have a high medical bill that you don't
[00:23:36.260 --> 00:23:40.920]   think is correct, you can push back and fight it on number of different ways. We walked through some
[00:23:40.920 --> 00:23:45.660]   of them. He also wrote a book about this process. And I would be surprised if you weren't able to get
[00:23:45.660 --> 00:23:51.160]   almost any medical bill reduced. Or if you're paying out of pocket, make sure you tell the health
[00:23:51.160 --> 00:23:56.400]   provider that and they often have cash prices. It's just a great opportunity to cut a bill
[00:23:56.400 --> 00:24:02.500]   significantly down. I know I had one bill where I was trying to be charged for an out of network doctor
[00:24:02.500 --> 00:24:07.200]   that was working at an in network hospital. And I pushed back. And sure enough, I was able to get
[00:24:07.200 --> 00:24:11.880]   that covered. Now, one of the biggest expenses most of us have is on housing, whether we're renters or
[00:24:11.880 --> 00:24:17.440]   owners. There are so many different ways to hack our houses. And if you go back to episode 14,
[00:24:17.440 --> 00:24:22.760]   we talked all about house hacking. I have done this at various stages of my life. For example,
[00:24:22.760 --> 00:24:27.920]   our first home purchase was actually a three bedroom condo. But we bought a specific unit that
[00:24:27.920 --> 00:24:33.460]   had a separate entrance in one of the bedrooms that had its own ensuite bathroom. And we changed the
[00:24:33.460 --> 00:24:38.940]   doorknob that connected that room to the house to turn it into a studio, rented it out, and we're able
[00:24:38.940 --> 00:24:46.200]   to significantly subsidize the cost of owning that condo. So much so that we could buy something that was
[00:24:46.200 --> 00:24:52.220]   bigger than we needed at the time. And then as we grew, the family had a child, we were able to take
[00:24:52.220 --> 00:24:57.660]   back that room. And we went from a two to a three bedroom condo without actually having to change homes
