
[00:00:00.000 --> 00:00:08.000]   Welcome back to lesson 9 part 2, how to train your model.
[00:13:50.000 --> 00:13:58.000]   Look like that but uniform random numbers.
[00:13:58.000 --> 00:14:08.000]   Look like that right and so the uniform random numbers they were using as their kind of starting point were between.
[00:14:08.000 --> 00:14:11.000]   Minus one and one.
[00:14:11.000 --> 00:14:31.000]   The standard deviation of that obviously is not one right the standard deviation is obviously less than one and so you can Google for the standard deviation of a uniform distribution or you could jump into Excel or Python and just grab a bunch of random numbers and find out what the standard deviation is.
[00:14:31.000 --> 00:14:47.000]   And you'll find that you can I've got it here actually I've grabbed ten thousand random numbers in that uniform distribution and asked for this standard deviation and it turns out that it's one over root three.
[00:14:47.000 --> 00:15:04.000]   Okay so part of the reason for this difference actually. Is that they need a gain to handle uniform random numbers rather than just normal random numbers but it still doesn't.
[00:15:04.000 --> 00:15:15.000]   Quite account for the difference so let's take a look so here's here's my version of climbing in which I've just grabbed all of the previous lines of code and merge them together.
[00:15:15.000 --> 00:15:27.000]   And then I've just added this thing to multiply it by root three because of the uniform random number and so then if I run this timing to.
[00:15:27.000 --> 00:15:35.000]   On my weights and get the stats of that nice again get a variance of about one.
[00:15:35.000 --> 00:15:40.000]   And again confirming that if I.
[00:15:40.000 --> 00:15:57.000]   Well this is interesting if I do it with a equals math dot square root five I would expect to get the same result as the pie torch default which I do it's about point four which is what we found back here point three five so it seems like we've successfully.
[00:15:57.000 --> 00:16:00.000]   You know re implemented what they had.
[00:16:00.000 --> 00:16:12.000]   So at this point I was like okay well what is this what does this do what does this mean so to see kind of what this looks like I threw together a quick confident.
[00:16:12.000 --> 00:16:27.000]   And I grabbed the first hundred dependent variables and so then I took my input and I ran it through the whole confident to get the stats out of the results so this is now telling me what happens when I use the default pie torch in it.
[00:16:27.000 --> 00:16:36.000]   And put it through a four layer confident and the answer is I end up with a variance of point oh oh six.
[00:16:36.000 --> 00:16:53.000]   And that sounds likely to be a really big problem right because there's there's so little variation going on that last layer and also there's a huge difference between the first layer and the last layer that's the really big issue the first layer had a standard deviation of point four and the last layer had a standard.
[00:16:53.000 --> 00:17:04.000]   Well the input layers is one that's the first hidden layer is point four and the last layer is point oh six so these are all going at like totally different rates.
[00:17:04.000 --> 00:17:17.000]   And then what we could do is we could grab that prediction and put it through mean squared error this is the function we created last week run backward and get the stats on the gradients.
[00:17:17.000 --> 00:17:21.000]   For the first layer weights so this is now going all the way forward and all the way back again.
[00:17:21.000 --> 00:17:30.000]   And again standard deviation is nowhere near one so that sounds like a big problem.
[00:17:30.000 --> 00:17:50.000]   So let's try using climbing uniform instead and if you look at the climbing uniform source code you'll see that it's got this it's got the steps that we saw gain over root of the fan and here is the square root of three because it's uniform okay and so we can confirm.
[00:17:50.000 --> 00:18:01.000]   Let's go through and go through every layer and if it's a convolutional layer then let's call climbing uniform on the weights and set the biases to zero.
[00:18:01.000 --> 00:18:07.000]   So we'll initialize it ourselves.
[00:18:07.000 --> 00:18:11.000]   And then we'll grab T.
[00:18:11.000 --> 00:18:23.000]   And it's not one but it's a lot better than point oh eight so this is pretty encouraging that we can get through four layers we wouldn't want to probably have.
[00:18:23.000 --> 00:18:37.000]   A forty layer neural network which is losing this much variance but it should be fine plenty good enough for a four layer network and then let's also confirm on the backward and the backward the first layers gradient is point five.
[00:18:37.000 --> 00:18:46.000]   So that was my kind of starting point for the research here and at the end of this I kind of thought this is.
[00:18:46.000 --> 00:18:52.000]   You know pretty concerning and why did I think it was concerning.
[00:18:52.000 --> 00:18:58.000]   We'll be saying a lot more about why it's concerning but let's quickly look at to be initializing.
[00:18:58.000 --> 00:19:07.000]   So I put this together today and he called this why you need a good in it and he's just he's pointed out here that if you grab.
[00:19:07.000 --> 00:19:21.000]   To grab a random vector X and a random matrix a which is random normally distributed mean zero and standard deviation of one.
[00:19:21.000 --> 00:19:39.000]   Then a hundred times you basically go X is a times X and then you go so you're basically multiplying again and again and again after a hundred iterations your standard deviation and mean are not a number.
[00:19:39.000 --> 00:19:49.000]   So basically the issue is that when you multiply by a matrix lots and lots of times you explode out to the point that your computer can't even keep track.
[00:19:49.000 --> 00:19:52.000]   So what silver did next was he actually.
[00:19:52.000 --> 00:20:04.000]   Put something in a loop to check whether it's not a number and he found it was twenty twenty twenty eight iterations before it before it died.
[00:20:04.000 --> 00:20:09.000]   So it didn't take very long to.
[00:20:09.000 --> 00:20:17.000]   To explode now in the other hand what if we take the random numbers for the standard deviation of point or one instead of one.
[00:20:17.000 --> 00:20:20.000]   And we do that a hundred times.
[00:20:20.000 --> 00:20:22.000]   Then it disappears to zero.
[00:20:22.000 --> 00:20:33.000]   So you can see like you know if you've got a hundred layer neural net because that's what it's doing it's doing a hundred matrix multipliers on itself on the on the output of each previous one you've got to be super careful.
[00:20:33.000 --> 00:20:44.000]   To find some set of weights that because because if this is your starting set of weights if it's point or one or if it's one standard deviation.
[00:20:44.000 --> 00:20:55.000]   You can't ever learn anything because there are no gradients the gradients are either zero or man right so you actually have to have a reasonable starting point and this is really why.
[00:20:55.000 --> 00:21:06.000]   For decades people weren't able to train deep neural networks because people hadn't figured out how to initialize them.
[00:21:06.000 --> 00:21:10.000]   So instead we have to use some.
[00:21:10.000 --> 00:21:21.000]   In it okay and we'll talk about that in a moment for those who are interested Silvan's thing gone on to describe why it is that you have to divide by the square root of the fan.
[00:21:21.000 --> 00:21:32.000]   And so feel free to keep reading that if you're interested it's it's cool but we don't need to know it for now it's just some derivation and further discussion.
[00:21:32.000 --> 00:21:38.000]   So in parallel I also asked the pipe torch team about this and I sent these results to them.
[00:21:38.000 --> 00:21:57.000]   And I said what's going on and so sumeth finally appeared and he said it was a historical accident because 15 years ago or for 15 years before Python appeared there was a product called torch a neural network product in lower and they did it that way.
[00:21:57.000 --> 00:22:10.000]   And so then on Google Plus in 2014 he started talking to someone a dealer man who's now a deep mind and about at this time maybe a bit before he was our intern actually and.
[00:22:10.000 --> 00:22:34.000]   Sonda said this is. At analytic. And Sonda said this this route five thing looks weird and sumeth said no no go look at the paper and Sonda said no that's not what the paper said and sumeth said oh it's a bug but it's a good bug because somebody at somebody went and checked it out and they thought that they were getting better results with this thing.
[00:22:34.000 --> 00:22:47.000]   So so then I talked to sumeth and he was already aware of this issue to some extent and within a couple of hours.
[00:22:47.000 --> 00:23:09.000]   I torch team had created an issue saying they're going to update their their edits so this is super cool like it so this is like partly to say well this is an awesome team super responsive and this is why pie torch works so well is that they see issues and they fix them but it's also to say like.
[00:23:09.000 --> 00:23:21.000]   When you see something in a library don't assume it's it's right or that it makes sense you know when it comes to deep learning none of us know what we're doing and you can see it doesn't take too much to kind of.
[00:23:21.000 --> 00:23:45.000]   Begin to something you know and then you can you know raise an issue and say his his analysis that I did there's a fantastic extension called just it just it for Jupiter notebooks that lets you take your little research notebook press a single button and it turns it into a shareable just that you can then put a link to say here's the analysis that I did.
[00:23:45.000 --> 00:23:49.000]   And so yeah that's that's a little bit of.
[00:23:49.000 --> 00:23:54.000]   A little bit of research idea to answering this question from last week.
[00:23:54.000 --> 00:24:05.000]   There are lots of interesting initialization approaches you can use we've already talked about the lower and Ben Jio paper we've already talked about the timing her paper.
[00:24:05.000 --> 00:24:24.000]   There's an interesting paper called all you need is a good in it which describes how you can kind of iteratively go through your network and set one layer of weights at a time to like literally like kind of do a little optimized to find out which set of parameters gets you a unit variance at every point.
[00:24:24.000 --> 00:24:40.000]   There's another cool paper which talks about something called orthogonal initialization if you've done some many algebra particularly if you've done Rachel's computational linear algebra course you'll know about the idea of orthogonal matrices and they make good in its.
[00:24:40.000 --> 00:24:48.000]   We talked briefly last week about fix up initialization and then there's also something called self normalizing neural networks.
[00:24:48.000 --> 00:24:55.000]   Fix up and self normalizing neural networks are both interesting papers because they describe how to try to set.
[00:24:55.000 --> 00:25:12.000]   A combination of kind of activation functions and in it such that you are guaranteed a unit variance as deep as you like and both of those 2 papers went to something like a thousand layers deep and train them successfully.
[00:25:12.000 --> 00:25:19.000]   In both cases the fix ups much more recent but in both cases people have kind of held them as.
[00:25:19.000 --> 00:25:30.000]   Reasons we can get rid of batch norm I think it's very unlikely to be true very very few people use this sell you thing now because in both cases they're incredibly fiddly.
[00:25:30.000 --> 00:25:46.000]   You know so for example in this in the self normalizing neural networks case if you put in dropout you need to put a correction if you know if you do anything different in put in a correction as soon as you as you've seen as soon as something changes like the amount of leakiness in your activation function or whatever.
[00:25:46.000 --> 00:25:53.000]   All you know all of your assumptions about what your variance will be in the next layer disappear.
[00:25:53.000 --> 00:26:10.000]   And for the cellular paper it was a particular problem because it relied on 2 specific numbers that were calculated in a famous 96 page long appendix of math in the cellular paper and so if you wanted to do a slightly different.
[00:26:10.000 --> 00:26:25.000]   You know architecture in any way and they only showed this a fully connected network so even if you want to do convolutions what are you going to do you know redo that 96 pages of math so that 96 pages of math is now so famous that it has its own Twitter handle the cellular appendix.
[00:26:25.000 --> 00:26:35.000]   Which has the pin tweet why does nobody want to read me and this is like literally what the entire 96 pages of the appendix looks like.
[00:26:35.000 --> 00:26:46.000]   I will mention that this in my opinion this is kind of a dumb way of finding those 2 numbers the all you need is a good in it paper is a much better approach to kind of.
[00:26:46.000 --> 00:26:58.000]   Doing these things in my opinion which is like if you've got a couple of parameters you need to set then why not kind of set them using a quick little loop or something you know so if you if you need those if you want to find.
[00:26:58.000 --> 00:27:07.000]   To kind of sell you parameters that work for your architecture you can find them empirically pretty quickly and pretty easily.
[00:27:07.000 --> 00:27:14.000]   Okay so that's a little bit about in it we'll come back to more of that very shortly.
[00:27:14.000 --> 00:27:32.000]   There was one other question from last week which was we noticed that the shape of the kind of manual linear layer we created and the shape of the pipe torch one were transposed and the question was why.
[00:27:32.000 --> 00:27:42.000]   And so again I did some digging into this until eventually sumeth from the high torch team pointed out to me this commit from.
[00:27:42.000 --> 00:27:51.000]   7 years ago in the old lure torch code where this actually happened and that basically it's because that old lure library.
[00:27:51.000 --> 00:28:00.000]   Couldn't handle batch matrix multiplication without doing it in this transposed way and that's why still to this day pie torch does it.
[00:28:00.000 --> 00:28:08.000]   And upside down which is fine like it's not slower it's not a problem but again it's kind of an interesting case of like.
[00:28:08.000 --> 00:28:22.000]   I find this happens all the time like in deep learning something's done a particular way forever and then everybody does it that way forever and nobody goes back and says why now this particular case it really doesn't matter I don't think.
[00:28:22.000 --> 00:28:30.000]   But often it does right so like things like how do we initialize neural networks and how many layers should they have and stuff like that they kind of.
[00:28:30.000 --> 00:28:36.000]   Nobody really thought of like nobody really changed challenged the normal practices for years so I'm hoping that with this.
[00:28:36.000 --> 00:28:51.000]   You know really ground up approach you can see what the assumptions we're making are and see how to question them and see that you know even to me pie torch is the best library around at the moment and even pie torch has these weird kind of.
[00:28:51.000 --> 00:28:56.000]   Our cake edges to it.
[00:28:56.000 --> 00:29:10.000]   OK so that was a little diversion to start with but a fun diversion because that's you know something I spend a couple of days this week on and think it's pretty interesting so to go back to how do we implement a basic modern CNN.
[00:29:10.000 --> 00:29:13.000]   Model.
[00:29:13.000 --> 00:29:27.000]   We got to this point so we've done a matrix modification so that's our fine function we've done real you so that's our nonlinearity and so a fully connected network forward.
[00:29:27.000 --> 00:29:31.000]   Is simply layering together those 2 things.
[00:29:31.000 --> 00:29:41.000]   So we did that and then we did the backward pass and we kind of refactored that nicely and it turned out that it looked pretty similar to pie torches way of doing things.
[00:29:41.000 --> 00:29:47.000]   And so now we're ready to train our model and that's where we're up to.
[00:29:47.000 --> 00:29:49.000]   So here we are.
[00:29:49.000 --> 00:29:53.000]   Oh 3 many batch training and we're going to train our model.
[00:29:53.000 --> 00:29:56.000]   So we can start.
[00:29:56.000 --> 00:30:04.000]   By grabbing our MNIST data so again we're just importing the stuff that we just exported from the previous class.
[00:30:04.000 --> 00:30:08.000]   Here's the model we created in the previous class.
[00:30:08.000 --> 00:30:14.000]   And so let's get some predictions from that model and we'll call them pred.
[00:30:14.000 --> 00:30:20.000]   And so now to train our model the first thing we need to do is we need a loss function.
[00:30:20.000 --> 00:30:28.000]   Because without a loss function we can't train it now profuse previously we used mean squared error which I said was a total cheap.
[00:30:28.000 --> 00:30:39.000]   Now that we've decided to trust pie torches auto grad we can use many more things because you don't have to write our own gradients and I'm too lazy to do that.
[00:30:39.000 --> 00:30:47.000]   So let's go ahead and use cross entropy because cross entropy makes a lot more sense to remind you from.
[00:30:47.000 --> 00:30:50.000]   The last class.
[00:30:50.000 --> 00:31:01.000]   There is an entropy example notebook where we learnt first of all that cross entropy requires doing two things first of all softmax.
[00:31:01.000 --> 00:31:13.000]   Well in the case it is multi class categorical cross entropy first to softmax and then you do the negative log likelihood so the softmax was if we have a bunch of different possible.
[00:31:13.000 --> 00:31:25.000]   Predictions and we got some output for each one from our model then we take either the power of that output we sum them all up and then we take.
[00:31:25.000 --> 00:31:30.000]   Either the power of divided by the sum of either the power of and that was our softmax.
[00:31:30.000 --> 00:31:45.000]   So there it is in math form there it is in summation math form and here it is in code form.
[00:31:45.000 --> 00:32:04.000]   So either the X divided by X X some and then the whole thing we do a dot log and that's because in pie torch negative log likelihood expects a log softmax not just a softmax and we'll see why in a moment.
[00:32:04.000 --> 00:32:09.000]   I'm sorry pop a log on the end so here's a lot longer softmax function.
[00:32:09.000 --> 00:32:13.000]   So now we can go ahead and create a softmax predictions by passing.
[00:32:13.000 --> 00:32:16.000]   Preds to log softmax.
[00:32:16.000 --> 00:32:21.000]   Now that we've done that we can calculate cross entropy loss.
[00:32:21.000 --> 00:32:46.000]   And cross entropy loss is generally expressed in this form which is this form some of actual times the log of the probability of that actual so in other words if we have is cat and is dog then here's our actual so it's one hot encoded is cat yes is dog no.
[00:32:46.000 --> 00:32:53.000]   We have our predictions from our from our model from our softmax.
[00:32:53.000 --> 00:33:03.000]   We can then say well what's the log of the probability it's a cat so log of this what's the log of the probability it's a dog so log of one minus that.
[00:33:03.000 --> 00:33:16.000]   And so then our negative log likelihood is simply B times E plus C times F and then take the negative of all that that's negative log likelihood which is what this is.
[00:33:16.000 --> 00:33:32.000]   But remember and I know I keep saying this because people keep forgetting not you guys but people out in the world keep forgetting that when you're multiplying by stuff which is mainly 0 and one hot encoded multi categorical classification most of your categories are 0.
[00:33:32.000 --> 00:33:37.000]   Every time you multiply by 0 you're doing nothing at all but you're doing it very slowly.
[00:33:37.000 --> 00:33:53.000]   So rather than multiplying by 0 and then adding up the one one that you have a much faster way as we know to do to multiply by a one hot encoded thing is to first of all simply say what's the location of the one.
[00:33:53.000 --> 00:34:06.000]   Here so in this case it's location to this case it's location one if we index from one and then we just look up into our array of probabilities directly offset by this amount.
[00:34:06.000 --> 00:34:20.000]   Or put it in math terms for one hot encoded X's the above is simply log of PI where I is the index of our prediction.
[00:34:20.000 --> 00:34:26.000]   Sorry not our prediction of the actual so the index into here the actual.
[00:34:26.000 --> 00:34:35.000]   So how do we write this in PyTorch and I'll show you a really cool trick.
[00:34:35.000 --> 00:34:40.000]   This is that this is what we're going to end up with this is our negative log likelihood.
[00:34:40.000 --> 00:34:46.000]   Implementation and it's incredibly fast and incredibly concise and I'll show you how we do it.
[00:34:46.000 --> 00:34:59.000]   Let's look at our dependent variable so let's just look at the first three values there five zero four so that's the first three elements of the dependent variable.
[00:34:59.000 --> 00:35:11.000]   And so what we want to do is we want to find what is the probability associated with five in our predictions and with zero and with four.
[00:35:11.000 --> 00:35:25.000]   So our predictions are softmax predictions remember fifty thousand by ten and so if we take the very first of those.
[00:35:25.000 --> 00:35:30.000]   That I all are right and so.
[00:35:30.000 --> 00:35:51.000]   Said that the actual answer should be five so if we go into this zero one two three four five that's the answer that we're going to want right.
[00:35:51.000 --> 00:35:55.000]   So here's how we can grab all three of those at once.
[00:35:55.000 --> 00:36:02.000]   We can index into our array with the whole thing five zero four.
[00:36:02.000 --> 00:36:05.000]   And then for the first bit we pass in.
[00:36:05.000 --> 00:36:09.000]   Just contiguous integers zero one two.
[00:36:09.000 --> 00:36:20.000]   Why does this work this works because PyTorch supports all of the advanced indexing support from NumPy and so if you click on this link.
[00:36:20.000 --> 00:36:30.000]   One of the many things that types of indexing that NumPy and therefore PyTorch supports is integer array indexing and what this is.
[00:36:30.000 --> 00:36:49.000]   Is that you pass a list for each dimension so in this case we have two dimensions so we need to pass two lists and the first is the list of all of the row indexes you want and the second is the list of all of the column indexes you want so this is going to end up returning zero comma five.
[00:36:49.000 --> 00:36:53.000]   One comma zero and two comma four.
[00:36:53.000 --> 00:36:55.000]   Which is.
[00:36:55.000 --> 00:37:01.000]   The exact numbers that we wanted so example zero five is minus two point four nine.
[00:37:01.000 --> 00:37:11.000]   So to grab the entire list of the exact things that we want for our negative log likelihood.
