
[00:00:00.040 --> 00:00:09.520]   Exodus
[00:19:30.500 --> 00:19:30.500]   and how you can get the car you want to buy.
[00:19:30.500 --> 00:19:30.500]   and how you can get the car you want to buy.
[00:19:30.500 --> 00:19:30.500]   So now instead of financing the car with a personal loan at your local credit loan on a car loan, you finance the car with a cash advance on a credit card.
[00:19:30.500 --> 00:19:30.500]   So now instead of financing the car with a personal loan at your local credit loan on a car loan, you finance the car with a cash advance on a credit card.
[00:19:30.500 --> 00:19:30.500]   So now instead of financing the car with a personal loan at your local credit loan on a car loan, you finance the car with a cash advance on a credit card.
[00:19:30.500 --> 00:19:30.500]   So now instead of financing the car with a personal loan at your local credit loan on a car loan, you finance the car with a cash advance on a credit card.
[00:19:30.500 --> 00:19:30.500]  , so now instead of financing the car loans are not only a credit loans are not being able to be able to be able to do it.
[00:19:30.540 --> 00:20:00.520]  , so now instead of financing the car loans are not only a credit loan are not being able to be able to do it.
[00:20:00.520 --> 00:20:00.520]   So now instead of financing the car loans are not only a credit loan are not being able to do it.
[00:20:00.520 --> 00:20:00.520]   So now instead of financing the car loans are not only a credit loan are not being able to do it.
[00:20:00.520 --> 00:20:00.520]   So now instead of financing the car loans are not only a credit loan are not being able to do it.
[00:20:00.520 --> 00:20:00.520]   So now instead of financing the car loans are not only a credit loan are not being able to do it.
[00:20:00.520 --> 00:20:00.520]   So now instead of financing the car loans are not only a credit loan are not being able to do it.
[00:20:00.520 --> 00:20:00.520]   So now instead of financing the car loans are not only a credit loan are not being able to do it.
[00:20:00.540 --> 00:20:30.540]   You can't automatically register to your driver's license so that when a private investigator goes down and pulls your driver's license and figure tries to figure out what vehicles you own they can't automatically find that.
[00:20:30.540 --> 00:20:30.540]   They have to come and perform some form of physical surveillance on you and your property to discover what car you own and then you make sure that you properly insure that car by insuring the car if it gets damaged or if it gets stolen or if it's in the shop and then you put in place other savings so that you can afford a rent or something like that.
[00:20:30.540 --> 00:20:30.540]   You can't automatically register to your driver's license so that when a private investigator goes down and pulls your driver's license and tries to figure out what vehicles you own they can't automatically find that.
[00:20:30.540 --> 00:20:30.540]   You can't automatically register to your driver's license so that when a private investigator goes down and pulls your driver's license and tries to figure out what vehicles you own they can't automatically find that.
[00:20:30.580 --> 00:21:00.560]   a car when the car breaks down etc. Now what I've done is just in that example taken something fairly simple that we all do all the time buying and selling cars and I've made it sound very complicated to point out the components of asset protection planning but if you think about it it'll allow you to make certain decisions step by step by step that will protect you now everything I've given to you in that example is part of asset protection planning by changing the system and then you can't be able to do it without the process.
[00:21:00.600 --> 00:21:30.580]   giaoura.com
[00:21:30.580 --> 00:21:30.580]   and then you can't be able to do it without the process.
[00:21:30.580 --> 00:21:30.580]   You're protecting your family
[00:21:30.580 --> 00:21:30.580]   and then you can't be able to do it without the process.
[00:21:30.580 --> 00:21:30.580]   and then you can't be able to do it without the process.
[00:21:30.580 --> 00:21:30.580]   and then you can't be able to do it without the process.
[00:21:30.580 --> 00:21:30.580]   and then you can't be able to do it without the process.
[00:21:30.580 --> 00:21:30.580]   and then you can't be able to do it without the process.
[00:21:30.580 --> 00:21:30.580]   and then you can't be able to do it without the process.
[00:21:30.580 --> 00:21:30.580]   and then you can't be able to do it without the process.
[00:21:30.580 --> 00:21:30.580]   and then you can't be able to do it without the process.
[00:21:30.580 --> 00:21:30.580]   and then you can't be able to do it without the process.
[00:21:30.580 --> 00:21:30.580]   and then you can't be able to do it without the process.
[00:21:30.620 --> 00:22:00.600]  ,
[00:22:00.600 --> 00:22:00.600]   and then you can't be able to do it without the process.
[00:22:00.600 --> 00:22:00.600]   and then you can't be able to do it without the process.
[00:22:00.600 --> 00:22:00.600]   and then you can't be able to do it without the process.
[00:22:00.600 --> 00:22:00.600]   and then you can't be able to do it without the process.
[00:22:00.600 --> 00:22:00.600]   and then you can't be able to do it without the process.
[00:22:00.600 --> 00:22:00.600]   and then you can't be able to do it without the process.
[00:22:00.600 --> 00:22:00.600]   and then you can't be able to do it without the process.
[00:22:00.600 --> 00:22:00.600]   and then you can't be able to do it without the process.
[00:22:00.600 --> 00:22:00.600]   and then you can't be able to do it without the process.
[00:22:00.600 --> 00:22:00.600]   and then you can't be able to do it without the process.
[00:22:00.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.620 --> 00:22:30.620]   and then you can't be able to do it without the process.
[00:22:30.640 --> 00:23:00.640]   and then you can't be able to do it without the process.
[00:23:00.640 --> 00:23:00.640]   and then you can't be able to do it without the process.
[00:23:00.640 --> 00:23:00.640]   and then you can't be able to do it without the process.
[00:23:00.640 --> 00:23:00.640]   and then you can't be able to do it without the process.
[00:23:00.640 --> 00:23:00.640]   and then you can't be able to do it without the process.
[00:23:00.640 --> 00:23:00.640]   and then you can't be able to do it without the process.
[00:23:00.640 --> 00:23:00.640]   and then you can't be able to do it without the process.
[00:23:00.640 --> 00:23:00.640]   and then you can't be able to do it without the process.
[00:23:00.640 --> 00:23:00.640]   and then you can't be able to do it without the process.
[00:23:00.640 --> 00:23:00.640]   and then you can't be able to do it without the process.
[00:23:00.660 --> 00:23:30.660]   and then you can't be able to do it without the process.
[00:23:30.660 --> 00:23:30.660]   and then you can't be able to do it without the process.
[00:23:30.660 --> 00:23:30.660]   and then you can't be able to do it without the process.
[00:23:30.660 --> 00:23:30.660]   and then you can't be able to do it without the process.
[00:23:30.660 --> 00:23:30.660]   and then you can't be able to do it without the process.
[00:23:30.660 --> 00:23:30.660]   and then you can't be able to do it without the process.
[00:23:30.660 --> 00:23:30.660]   and then you can't be able to do it without the process.
[00:23:30.660 --> 00:23:30.660]   and then you can't be able to do it without the process.
[00:23:30.660 --> 00:23:30.660]   and then you can't be able to do it without the process.
[00:23:30.660 --> 00:23:30.660]   and then you can't be able to do it without the process.
[00:23:30.660 --> 00:23:30.660]   and then you can't be able to do it without the process.
[00:23:30.680 --> 00:24:00.680]   and then you can't be able to do it without the process.
[00:24:00.680 --> 00:24:00.680]   and then you can't be able to do it without the process.
[00:24:00.680 --> 00:24:00.680]   and then you can't be able to do it without the process.
[00:24:00.680 --> 00:24:00.680]   and then you can't be able to do it without the process.
[00:24:00.680 --> 00:24:00.680]   and then you can't be able to do it without the process.
[00:24:00.680 --> 00:24:00.680]   and then you can't be able to do it without the process.
[00:24:00.680 --> 00:24:00.680]   and then you can't be able to do it without the process.
[00:24:00.680 --> 00:24:00.680]   and then you can't be able to do it without the process.
[00:24:00.680 --> 00:24:00.680]   and then you can't be able to do it without the process.
[00:24:00.680 --> 00:24:00.680]   and then you can't be able to do it without the process.
[00:24:00.680 --> 00:24:00.680]   and then you can't be able to do it without the process.
[00:24:00.700 --> 00:24:30.700]   and then you can't be able to do it without the process.
[00:24:30.700 --> 00:24:30.700]   and then you can't be able to do it without the process.
[00:24:30.700 --> 00:24:30.700]   and then you can't be able to do it without the process.
[00:24:30.700 --> 00:24:30.700]   and then you can't be able to do it without the process.
[00:24:30.700 --> 00:24:30.700]   and then you can't be able to do it without the process.
[00:24:30.700 --> 00:24:30.700]   and then you can't be able to do it without the process.
[00:24:30.700 --> 00:24:30.700]   and then you can't be able to do it without the process.
[00:24:30.700 --> 00:24:30.700]   and then you can't be able to do it without the process.
[00:24:30.700 --> 00:24:30.700]   and then you can't be able to do it without the process.
[00:24:30.700 --> 00:24:30.700]   and then you can't be able to do it without the process.
[00:24:30.700 --> 00:24:30.700]   and then you can't be able to do it without the process.
[00:24:30.720 --> 00:25:00.720]   and then you can't be able to do it without the process.
[00:25:00.720 --> 00:25:00.720]   and then you can't be able to do it without the process.
[00:25:00.720 --> 00:25:00.720]   and then you can't be able to do it without the process.
[00:25:00.720 --> 00:25:00.720]   and then you can't be able to do it without the process.
[00:25:00.720 --> 00:25:00.720]   and then you can't be able to do it without the process.
[00:25:00.720 --> 00:25:00.720]   and then you can't be able to do it without the process.
[00:25:00.720 --> 00:25:00.720]   and then you can't be able to do it without the process.
[00:25:00.720 --> 00:25:00.720]   and then you can't be able to do it without the process.
[00:25:00.720 --> 00:25:00.720]   and then you can't be able to do it without the process.
[00:25:00.720 --> 00:25:00.720]   and then you can't be able to do it without the process.
[00:25:00.720 --> 00:25:00.720]   and then you can't be able to do it without the process.
[00:25:00.720 --> 00:25:00.720]   and then you can't be able to do it without the process.
[00:25:00.740 --> 00:25:30.740]   and then you can't be able to do it without the process.
[00:25:30.740 --> 00:25:30.740]   and then you can't be able to do it without the process.
[00:25:30.740 --> 00:25:30.740]   and then you can't be able to do it without the process.
[00:25:30.740 --> 00:25:30.740]   and then you can't be able to do it without the process.
[00:25:30.740 --> 00:25:30.740]   and then you can't be able to do it without the process.
[00:25:30.740 --> 00:25:30.740]   and then you can't be able to do it without the process.
[00:25:30.740 --> 00:25:30.740]   and then you can't be able to do it without the process.
[00:25:30.740 --> 00:25:30.740]   and then you can't be able to do it without the process.
[00:25:30.740 --> 00:25:30.740]   and then you can't be able to do it without the process.
[00:25:30.740 --> 00:25:30.740]   and then you can't be able to do it without the process.
[00:25:30.740 --> 00:25:30.740]   and then you can't be able to do it without the process.
[00:25:30.760 --> 00:26:00.760]   and then you can't be able to do it without the process.
[00:26:00.760 --> 00:26:00.760]   and then you can't be able to do it without the process.
[00:26:00.760 --> 00:26:00.760]   and then you can't be able to do it without the process.
[00:26:00.760 --> 00:26:00.760]   and then you can't be able to do it without the process.
[00:26:00.760 --> 00:26:00.760]   and then you can't be able to do it without the process.
[00:26:00.760 --> 00:26:00.760]   and then you can't be able to do it without the process.
[00:26:00.760 --> 00:26:00.760]   and then you can't be able to do it without the process.
[00:26:00.760 --> 00:26:00.760]   and then you can't be able to do it without the process.
[00:26:00.760 --> 00:26:00.760]   and then you can't be able to do it without the process.
[00:26:00.760 --> 00:26:00.760]   and then you can't be able to do it without the process.
[00:26:00.760 --> 00:26:00.760]   and then you can't be able to do it without the process.
[00:26:00.780 --> 00:26:30.780]   and then you can't be able to do it without the process.
[00:26:30.780 --> 00:26:30.780]   and then you can't be able to do it without the process.
[00:26:30.780 --> 00:26:30.780]   and then you can't be able to do it without the process.
[00:26:30.780 --> 00:26:30.780]   and then you can't be able to do it without the process.
[00:26:30.780 --> 00:26:30.780]   and then you can't be able to do it without the process.
[00:26:30.780 --> 00:26:30.780]   and then you can't be able to do it without the process.
[00:26:30.780 --> 00:26:30.780]   and then you can't be able to do it without the process.
[00:26:30.780 --> 00:26:30.780]   and then you can't be able to do it without the process.
[00:26:30.780 --> 00:26:30.780]   and then you can't be able to do it without the process.
[00:26:30.780 --> 00:26:30.780]   and then you can't be able to do it without the process.
[00:26:30.780 --> 00:26:30.780]   and then you can't be able to do it without the process.
[00:26:30.780 --> 00:26:30.780]   and then you can't be able to do it without the process.
[00:26:30.800 --> 00:26:36.180]   So you need to understand what your rights are and how to protect yourself from the police.
[00:26:36.180 --> 00:26:40.220]   Let me give you a simple, absolutely legally true example as to how this is so important.
[00:26:40.220 --> 00:26:44.620]   Let's say that you are accustomed to dealing in cash.
[00:26:44.620 --> 00:26:48.200]   And because you like to get good deals on your vehicles,
[00:26:48.200 --> 00:26:52.740]   you're on your way to go and buy a $10,000 or $15,000 minivan,
[00:26:52.740 --> 00:26:56.940]   and you've got a stack of $100 bills in your pocket.
[00:26:56.940 --> 00:27:00.800]   Now, in the United States, if you have in excess of $5,000,
[00:27:00.800 --> 00:27:00.800]   and you've got a stack of $100 bills in your pocket,
[00:27:00.800 --> 00:27:00.800]   Now, in the United States, if you have in excess of $5,000,
[00:27:00.800 --> 00:27:00.800]   and you've got a stack of $100 bills in your pocket,
[00:27:00.800 --> 00:27:00.800]   Now, in the United States, if you have in excess of $5,000,
[00:27:00.800 --> 00:27:00.800]   and you've got a stack of $100 bills in your pocket,
[00:27:01.300 --> 00:27:30.820]   and you've got a stack of $10,000 in your pocket,
[00:27:30.820 --> 00:27:30.820]   and you've got a stack of $10,000 in your pocket,
[00:27:30.820 --> 00:27:30.820]   and you've got a stack of $10,000 in your pocket,
[00:27:30.820 --> 00:27:30.820]   and you've got a stack of $10,000 in your pocket,
[00:27:30.820 --> 00:27:30.820]   and you've got a stack of $10,000 in your pocket,
[00:27:30.820 --> 00:27:30.820]   and you've got a stack of $10,000 in your pocket,
[00:27:30.820 --> 00:27:30.820]   and you've got a stack of $10,000 in your pocket,
[00:27:30.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D D
[00:28:00.840 --> 00:28:00.840]   D
[00:28:00.840 --> 00:28:00.840]   D the money is legitimate, as in the money, as in the bank,
[00:28:00.840 --> 00:28:00.840]   that the money is legitimate, when you can prove that the money is legitimate,
[00:28:00.880 --> 00:28:10.760]   is
[00:28:10.760 --> 00:28:28.140]   the tour,,,,
[00:29:22.900 --> 00:29:23.160]   performs
[00:29:23.160 --> 00:29:34.280]   be,,,
[00:29:34.280 --> 00:29:52.340]   Heaven One And I that is the end of the многие於 Pro�G winds�TA N DA grainsnah
[00:29:52.480 --> 00:30:22.060]   nd the world�s going to be a place where you can�t be alone.
[00:30:22.060 --> 00:30:22.060]   nd the world�s going to be a place where you can�t be alone.
[00:30:22.060 --> 00:30:22.060]   If you�ve just kept that $100,000 stable, you had it in physical currency or in some kind of non-interest-bearing account.
[00:30:22.060 --> 00:30:22.060]   If you�ve just kept that $100,000 stable, you had it in physical currency or in some kind of non-interest-bearing account.
[00:30:22.060 --> 00:30:22.060]   If you�ve just kept that $100,000 stable, you had it in physical currency or in some kind of non-interest-bearing account. Today in 2018, 50 years later, you would have only $13,785 of buying power. You would lose 86% of your wealth due to inflation over the course of those 50 years.
[00:30:22.100 --> 00:30:24.480]   is
[00:30:24.480 --> 00:30:50.400]   Herz, education, lad lad the provides. ....,
[00:31:20.260 --> 00:31:20.260]   .....,
[00:31:49.660 --> 00:31:53.760]   download
[00:31:53.760 --> 00:32:00.680]   vind and,
[00:32:00.680 --> 00:32:03.800]  mez completed in at you are in, like, I'll, . , . .. --.ié
[00:32:03.800 --> 00:32:18.560]   machine and the addition the én the place the
[00:32:18.680 --> 00:32:28.100]   het Muk forgive. I,,,,
[00:32:28.100 --> 00:32:47.200]  ав
[00:33:16.600 --> 00:33:17.640]   I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
[00:33:17.640 --> 00:33:17.640]  . And then design the plan for that risk. Now in future episodes of the show, we're going to talk about a lot of different components of asset protection planning. And I will give you the juicy stuff. I will give you the entities. I will give you how do you beat the IRS if they say you owe them money. I'll give you all that stuff. Short answer, it's not easy. But I'll give you as much as I've got. But don't get overwhelmed in the details such that you procrastinate.
[00:33:45.660 --> 00:33:47.440]   Because as with most good financial planning, the people who are able to protect their assets are the ones who take action now. Doesn't do you any good to close the barn door after the horse has escaped. You close the barn door when you put the horse in it. So from now going forward, think defensively. Be paranoid. Think what could happen. And how can I protect myself from this risk? Because the time to do good asset
[00:33:47.440 --> 00:33:47.660]   protection is now.
[00:33:47.700 --> 00:33:57.080]   children
[00:33:57.080 --> 00:34:01.040]   bell be. I,
[00:34:01.040 --> 00:34:12.820]  , el bad, um, don,,,,,,, be in the 50 checked theiovわかmouth dentist.\ plumbing
[00:34:12.820 --> 00:34:17.140]   work eye was朝 e
[00:34:17.300 --> 00:34:27.560]   hard
[00:34:27.560 --> 00:34:45.120]   work. "ав
