
[00:00:00.040 --> 00:00:09.600]   sparks
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.240 --> 00:05:58.240]   and hurt bodies because people don't wear their seatbelts
[00:05:58.260 --> 00:06:28.260]   and hurt bodies because people don't wear their seatbelts
[00:06:28.260 --> 00:06:28.260]   and hurt bodies because people don't wear their seatbelts
[00:06:28.260 --> 00:06:28.260]   and hurt bodies because people don't wear their seatbelts
[00:06:28.260 --> 00:06:28.260]   and hurt bodies because people don't wear their seatbelts
[00:06:28.260 --> 00:06:28.260]   and hurt bodies because people don't wear their seatbelts
[00:06:28.260 --> 00:06:28.260]   and hurt bodies because people don't wear their seatbelts
[00:06:28.260 --> 00:06:28.260]   and hurt bodies because people don't wear their seatbelts
[00:06:28.260 --> 00:06:28.260]   and hurt bodies because people don't wear their seatbelts
[00:06:28.260 --> 00:06:28.260]   and hurt bodies because people don't wear their seatbelts
[00:06:28.280 --> 00:06:58.280]  ,
[00:06:58.280 --> 00:06:58.280]   and hurt bodies because people don't wear their seatbelts
[00:06:58.280 --> 00:06:58.280]   and hurt bodies because people don't wear their seatbelts
[00:06:58.280 --> 00:06:58.280]   and hurt bodies because people don't wear their seatbelts
[00:06:58.280 --> 00:06:58.280]   and hurt bodies because people don't wear their seatbelts
[00:06:58.280 --> 00:06:58.280]   and hurt bodies because people don't wear their seatbelts
[00:06:58.280 --> 00:06:58.280]   and hurt bodies because people don't wear their seatbelts
[00:06:58.280 --> 00:06:58.280]   and hurt bodies because people don't wear their seatbelts
[00:06:58.280 --> 00:06:58.280]   and hurt bodies because people don't wear their seatbelts
[00:06:58.280 --> 00:06:58.280]   and hurt bodies because people don't wear their seatbelts
[00:06:58.280 --> 00:06:58.280]   and hurt bodies because people don't wear their seatbelts
[00:06:58.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.300 --> 00:07:28.300]   and hurt bodies because people don't wear their seatbelts
[00:07:28.340 --> 00:07:58.320]  ,
[00:07:58.320 --> 00:07:58.320]   and hurt bodies because people don't wear their seatbelts
[00:07:58.320 --> 00:07:58.320]   and hurt bodies because people don't wear their seatbelts
[00:07:58.320 --> 00:07:58.320]   and hurt bodies because people don't wear their seatbelts
[00:07:58.320 --> 00:07:58.320]   and hurt bodies because people don't wear their seatbelts
[00:07:58.320 --> 00:07:58.320]   and hurt bodies because people don't wear their seatbelts
[00:07:58.320 --> 00:07:58.320]   and hurt bodies because people don't wear their seatbelts
[00:07:58.320 --> 00:07:58.320]   and hurt bodies because people don't wear their seatbelts
[00:07:58.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:28.340]   and hurt bodies because people don't wear their seatbelts
[00:08:28.340 --> 00:08:58.360]   and hurt bodies because people don't wear their seatbelts
[00:08:58.360 --> 00:08:58.360]   and hurt bodies because people don't wear their seatbelts
[00:08:58.360 --> 00:08:58.360]   and hurt bodies because people don't wear their seatbelts
[00:08:58.360 --> 00:08:58.360]   and hurt bodies because people don't wear their seatbelts
[00:08:58.360 --> 00:08:58.360]   and hurt bodies because people don't wear their seatbelts
[00:08:58.360 --> 00:08:58.360]   and hurt bodies because people don't wear their seatbelts
[00:08:58.360 --> 00:08:58.360]   and hurt bodies because people don't wear their seatbelts
[00:08:58.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:28.380]   and hurt bodies because people don't wear their seatbelts
[00:09:28.380 --> 00:09:58.400]   and hurt bodies because people don't wear their seatbelts
[00:09:58.400 --> 00:09:58.400]   and hurt bodies because people don't wear their seatbelts
[00:09:58.400 --> 00:09:58.400]   and hurt bodies because people don't wear their seatbelts
[00:09:58.400 --> 00:09:58.400]   and hurt bodies because people don't wear their seatbelts
[00:09:58.400 --> 00:09:58.400]   and hurt bodies because people don't wear their seatbelts
[00:09:58.400 --> 00:09:58.400]   and hurt bodies because people don't wear their seatbelts
[00:09:58.400 --> 00:09:58.400]   and hurt bodies because people don't wear their seatbelts
[00:09:58.400 --> 00:09:58.400]   and hurt bodies because people don't wear their seatbelts
[00:09:58.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:28.420]   and hurt bodies because people don't wear their seatbelts
[00:10:28.420 --> 00:10:58.440]   and hurt bodies because people don't wear their seatbelts
[00:10:58.440 --> 00:10:58.440]   and hurt bodies because people don't wear their seatbelts
[00:10:58.440 --> 00:10:58.440]   and hurt bodies because people don't wear their seatbelts
[00:10:58.440 --> 00:10:58.440]   and hurt bodies because people don't wear their seatbelts
[00:10:58.440 --> 00:10:58.440]   and hurt bodies because people don't wear their seatbelts
[00:10:58.440 --> 00:10:58.440]   and hurt bodies because people don't wear their seatbelts
[00:10:58.440 --> 00:10:58.440]   and hurt bodies because people don't wear their seatbelts
[00:10:58.440 --> 00:10:58.440]   and hurt bodies because people don't wear their seatbelts
[00:10:58.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.460 --> 00:11:28.460]   and hurt bodies because people don't wear their seatbelts
[00:11:28.500 --> 00:11:58.480]   and hurt bodies because people don't wear their seatbelts
[00:11:58.480 --> 00:11:58.480]   and hurt bodies because people don't wear their seatbelts
[00:11:58.480 --> 00:11:58.480]   and hurt bodies because people don't wear their seatbelts
[00:11:58.480 --> 00:11:58.480]   and hurt bodies because people don't wear their seatbelts
[00:11:58.480 --> 00:11:58.480]   and hurt bodies because people don't wear their seatbelts
[00:11:58.480 --> 00:11:58.480]   and hurt bodies because people don't wear their seatbelts
[00:11:58.480 --> 00:11:58.480]   and hurt bodies because people don't wear their seatbelts
[00:11:58.480 --> 00:11:58.480]   and hurt bodies because people don't wear their seatbelts
[00:11:58.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.500 --> 00:12:28.500]   and hurt bodies because people don't wear their seatbelts
[00:12:28.540 --> 00:12:58.520]   a
[00:12:58.520 --> 00:12:58.520]   and hurt bodies because people don't wear their seatbelts
[00:12:58.520 --> 00:12:58.520]   and hurt bodies because people don't wear their seatbelts
[00:12:58.520 --> 00:12:58.520]   and hurt bodies because people don't wear their seatbelts
[00:12:58.520 --> 00:12:58.520]   and hurt bodies because people don't wear their seatbelts
[00:12:58.520 --> 00:12:58.520]   and hurt bodies because people don't wear their seatbelts
[00:12:58.520 --> 00:12:58.520]   and hurt bodies because people don't wear their seatbelts
[00:12:58.520 --> 00:12:58.520]   and hurt bodies because people don't wear their seatbelts
[00:12:58.520 --> 00:12:58.520]   and hurt bodies because people don't wear their seatbelts
[00:12:58.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:28.540]   and hurt bodies because people don't wear their seatbelts
[00:13:28.540 --> 00:13:58.560]   and hurt bodies because people don't wear their seatbelts
[00:13:58.560 --> 00:13:58.560]   and hurt bodies because people don't wear their seatbelts
[00:13:58.560 --> 00:13:58.560]   and hurt bodies because people don't wear their seatbelts
[00:13:58.560 --> 00:13:58.560]   and hurt bodies because people don't wear their seatbelts
[00:13:58.560 --> 00:13:58.560]   and hurt bodies because people don't wear their seatbelts
[00:13:58.560 --> 00:13:58.560]   and hurt bodies because people don't wear their seatbelts
[00:13:58.560 --> 00:13:58.560]   and hurt bodies because people don't wear their seatbelts
[00:13:58.560 --> 00:13:58.560]   and hurt bodies because people don't wear their seatbelts
[00:13:58.560 --> 00:13:58.560]   and hurt bodies because people don't wear their seatbelts
[00:13:58.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.580 --> 00:14:28.580]   and hurt bodies because people don't wear their seatbelts
[00:14:28.620 --> 00:14:58.600]   a
[00:14:58.600 --> 00:14:58.600]   and hurt bodies because people don't wear their seatbelts
[00:14:58.600 --> 00:14:58.600]   and hurt bodies because people don't wear their seatbelts
[00:14:58.600 --> 00:14:58.600]   and hurt bodies because people don't wear their seatbelts
[00:14:58.600 --> 00:14:58.600]   and hurt bodies because people don't wear their seatbelts
[00:14:58.600 --> 00:14:58.600]   and hurt bodies because people don't wear their seatbelts
[00:14:58.600 --> 00:14:58.600]   and hurt bodies because people don't wear their seatbelts
[00:14:58.600 --> 00:14:58.600]   and hurt bodies because people don't wear their seatbelts
[00:14:58.600 --> 00:14:58.600]   and hurt bodies because people don't wear their seatbelts
[00:14:58.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:28.620]   and hurt bodies because people don't wear their seatbelts
[00:15:28.620 --> 00:15:58.640]   and hurt bodies because people don't wear their seatbelts
[00:15:58.640 --> 00:15:58.640]   and hurt bodies because people don't wear their seatbelts
[00:15:58.640 --> 00:15:58.640]   and hurt bodies because people don't wear their seatbelts
[00:15:58.640 --> 00:15:58.640]   and hurt bodies because people don't wear their seatbelts
[00:15:58.640 --> 00:15:58.640]   and hurt bodies because people don't wear their seatbelts
[00:15:58.640 --> 00:15:58.640]   and hurt bodies because people don't wear their seatbelts
[00:15:58.640 --> 00:15:58.640]   and hurt bodies because people don't wear their seatbelts
[00:15:58.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.660 --> 00:16:28.660]   and hurt bodies because people don't wear their seatbelts
[00:16:28.700 --> 00:16:58.680]   the two ways that are important in this context are these.
[00:16:58.680 --> 00:16:58.680]   First, you can change a single premium immediate annuity into a deferred annuity. A deferred annuity is a contract with a life insurance company wherein you can systematically either put in monthly payments or you can transfer in a lump sum and then you can defer the receiving of money from that contract to the future.
[00:16:58.680 --> 00:16:58.680]   The two ways that are important in this context are these.
[00:16:58.680 --> 00:16:58.680]   The two ways that are important in this context are these.
[00:16:58.680 --> 00:16:58.680]   The two ways that are important in this context are these.
[00:16:58.680 --> 00:16:58.680]   The two ways that are important in this context are these.
[00:16:58.680 --> 00:16:58.680]   The two ways that are important in this context are these.
[00:16:58.700 --> 00:17:28.700]   That's why it's called a deferred annuity.
[00:17:28.700 --> 00:17:28.700]   That can be very helpful.
[00:17:28.700 --> 00:17:28.700]   The second reason it can be helpful is in this way.
[00:17:28.700 --> 00:17:28.700]   You can take an annuity contract and you can choose to have it either be what's called a fixed annuity,
[00:17:28.700 --> 00:17:28.700]   which is a guaranteed fixed rate of interest that's guaranteed by the insurance company,
[00:17:28.700 --> 00:17:28.700]   or you can have what's called a variable annuity.
[00:17:28.700 --> 00:17:28.700]   A variable annuity is an investment product that features an underlying
[00:17:28.700 --> 00:17:28.700]   that features an underlying
[00:17:28.700 --> 00:17:28.700]   value of the property.
[00:17:28.700 --> 00:17:28.700]   That's why it's called a deferred annuity.
[00:17:28.700 --> 00:17:28.700]   That's why it's called a deferred annuity.
[00:17:28.700 --> 00:17:28.700]   That's why it's called a deferred annuity.
[00:17:28.700 --> 00:17:28.700]   That's why it's called a deferred annuity.
[00:17:28.700 --> 00:17:28.700]   That's why it's called a deferred annuity.
[00:17:28.700 --> 00:17:28.700]   That's why it's called a deferred annuity.
[00:17:28.700 --> 00:17:58.720]  , and that's why it's called a deferred annuity.
[00:17:58.720 --> 00:17:58.720]   That's why it's called a deferred annuity.
[00:17:58.720 --> 00:17:58.720]   That's why it's called a deferred annuity.
[00:17:58.720 --> 00:17:58.720]   That's why it's called a deferred annuity.
[00:17:58.720 --> 00:17:58.720]   That's why it's called a deferred annuity.
[00:17:58.720 --> 00:17:58.720]   That's why it's called a deferred annuity.
[00:17:58.720 --> 00:17:58.720]   That's why it's called a deferred annuity.
[00:17:58.720 --> 00:17:58.720]   That's why it's called a deferred annuity.
[00:17:58.720 --> 00:17:58.720]   That's why it's called a deferred annuity.
[00:17:58.720 --> 00:17:58.720]   That's why it's called a deferred annuity.
[00:17:58.720 --> 00:17:58.720]   That's why it's called a deferred annuity.
[00:17:58.720 --> 00:17:58.720]   That's why it's called a deferred annuity.
[00:17:58.740 --> 00:18:28.740]   That's why it's called a deferred annuity.
[00:18:28.740 --> 00:18:28.740]   You'll frequently see if you look at an insurance company, you look at their subaccounts, you'll see the names of the management companies, and you'll also see the names of the companies that are involved in the business.
