
[00:00:00.080 --> 00:00:06.640]   Hi, I'm Jeremy Howard from Answer.ai, and I'm joined here by Sarah. Sarah is Answer.ai's
[00:06:11.680 --> 00:06:17.200]   it's taking a really kind of classic branch of research that turned out to be of great practical
[00:06:17.200 --> 00:06:22.400]   import, which is moving from just like, is this a good answer or not? To, is this a good series of
[00:06:22.400 --> 00:06:27.440]   steps to get to an answer or not? And then building on that to then say, okay, with that, we can then
[00:06:27.440 --> 00:06:34.080]   hopefully come up with a model which can actually create the correct steps and as a result doesn't
[00:06:34.080 --> 00:06:42.000]   have to jump straight to the answer straight away. And yeah, in TLDR, your model
[00:06:43.920 --> 00:06:48.800]   had encouraging results. I mean, you weren't able to train it on the large amount of compute you would
[00:06:48.800 --> 00:06:55.760]   have liked since high school researchers don't have access to open AI computers. But it looked good
[00:06:55.760 --> 00:07:02.960]   enough at least to get an Europe's paper. So actually, I wanted to kind of then step back a bit to say,
[00:07:02.960 --> 00:07:14.960]   like, right, I've... through my work with fast.ai, I would say, like, every year there's maybe a couple of
[00:07:14.960 --> 00:07:26.560]   high school students who I come across who do fast.ai and, you know, become an extremely competent
[00:07:26.560 --> 00:07:34.320]   practitioner. And so I've kind of got to know a few folks like you. And generally, the experience is like,
[00:07:35.920 --> 00:07:43.760]   a bit tricky because there aren't other people at school who have the same interests and capabilities,
[00:07:43.760 --> 00:07:52.000]   either teachers or students. So, you know, how did this work? How did this work for you? How did you
[00:07:53.360 --> 00:08:01.120]   get into artificial intelligence and how did you then follow that interest, even though I assume
[00:08:01.120 --> 00:08:06.160]   you did not have a group of peers who were following that interest with you?
[00:08:06.160 --> 00:08:13.760]   Yeah, you're definitely right about the peers thing. I think I started towards the end of middle
[00:08:13.760 --> 00:08:18.560]   school beginning of high school. What kind of age is that? I don't know what middle school is in America.
[00:08:18.560 --> 00:08:26.000]   Oh, okay. Yeah, I think I was, like, 13, 14 years old. And so I had taken, like, an algebra one course
[00:08:26.000 --> 00:08:32.880]   at, like, the highest math level. But my brother was taking the course because he's much older than me.
[00:08:32.880 --> 00:08:37.840]   He's, you know, interested in this sort of thing. And so I was like, hey, let me, you know, watch and let me
[00:08:37.840 --> 00:08:44.320]   follow along. And I think, like, the one thing that kind of parried me through the course, if you will,
[00:08:44.320 --> 00:08:49.520]   is, was actually, like, the kind of ease of, like, I don't know, just watching the lectures, playing
[00:08:49.520 --> 00:08:53.200]   around with the notebooks. It was something... For those we haven't done it, I'll just explain
[00:08:53.200 --> 00:08:58.960]   there that, like, fast AI course is a bit unusual in that even though we do get to the point of, like,
[00:08:58.960 --> 00:09:06.240]   re-implementing recent research papers, we do it in this top-down way where you start out, like,
[00:09:07.600 --> 00:09:13.360]   building stuff, basically. So it's, it's... And then you kind of only gradually get into the
[00:09:13.360 --> 00:09:18.000]   complexity of the underlying implementation as needed. So I guess you're saying that was, like,
[00:09:18.000 --> 00:09:24.960]   helpful for you as a teenager in working through it? Yes, very. I think I liked starting out with,
[00:09:24.960 --> 00:09:30.400]   like, the higher level ideas just because I got to see how they kind of worked. I feel like if you
[00:09:30.400 --> 00:09:36.000]   probably started with, I don't know, like, backpropagation or, like, any of those, like, you know, fancy
[00:09:36.000 --> 00:09:43.360]   calculus things. That's right, calculus. Hmm. But, yeah, it was just nice being able to start out with,
[00:09:43.360 --> 00:09:48.160]   like, a bigger picture view of things. And that was definitely interesting. I had no idea. Did you
[00:09:48.160 --> 00:09:54.400]   and your brother help each other? Were you kind of co-studying? We kind of co-studied in, like,
[00:09:54.400 --> 00:09:58.880]   the very beginning. I think we watched, like, a lecture or two together. But as time progressed,
[00:09:58.880 --> 00:10:03.120]   like, I realized that I didn't really, like, need him there next to me. Things were more or less
[00:10:03.120 --> 00:10:07.440]   understandable. I think there was, like, a forum, too. If I had any, like, questions, I could, like,
[00:10:07.440 --> 00:10:10.880]   go and, like, see if there was any other issues. Have you used that? Hmm?
[00:10:10.880 --> 00:10:18.400]   You used the forum? I was mostly, like, like a watcher. Yeah. Like, afar, kind of, if anyone had
[00:10:18.400 --> 00:10:25.200]   similar questions, that would be super helpful. Wasn't too much of a poster myself. But it's very,
[00:10:25.200 --> 00:10:29.440]   it was very cool being able to see, like, a bunch of people kind of following along and doing their
[00:10:29.440 --> 00:10:34.640]   own thing. Like, even if, like, my close friends weren't doing it, the only person I knew was doing
[00:10:34.640 --> 00:10:39.680]   was my brother, who's, like, much older than me. It was nice, like, to think about having, like, that
[00:10:39.680 --> 00:10:44.000]   sort of, like, I don't know, there's just, like, a community of people online that are just really
[00:10:44.000 --> 00:10:52.080]   curious and driven. Exactly. I remember a teenage girl from Bangladesh emailing me to say, like,
[00:10:52.800 --> 00:10:58.560]   hey, I've just finished the fast AI course. This seems really important and really good. But, like,
[00:10:58.560 --> 00:11:02.880]   all my friends think it's weird. And, like, I don't know anybody else that, like, really uses computers
[00:11:02.880 --> 00:11:08.960]   much. So, like, is it okay? Am I doing something wrong? And I was like, no, it'd be better than okay.
[00:11:08.960 --> 00:11:13.920]   It's amazing, you know. And she went on to get a fellowship at Google and got flown out to Silicon
[00:11:13.920 --> 00:11:22.320]   Valley. But, you know, it can be, yeah, it can be a bit weird. And actually, I remember you telling me
[00:11:22.320 --> 00:11:28.640]   that going to Neurips was pretty important for you because suddenly you were surrounded by real-life
[00:11:28.640 --> 00:11:32.640]   versions of these people and realized, like, oh, it's not this figure, right? That must have been amazing.
[00:11:32.640 --> 00:11:38.560]   Yeah. It was really cool. It was, like, one thing to, like, I don't know, kind of just, like, see the
[00:11:38.560 --> 00:11:43.280]   presentations and talk and talks and whatever, but, like, actually walking through, like, the poster
[00:11:43.280 --> 00:11:47.840]   halls and getting to, like, ask people about their research. Like, wow, these people, like, are also
[00:11:47.840 --> 00:11:52.800]   interested in the same things and they, like, spend so much time doing, like, or, like, asking the same
[00:11:52.800 --> 00:11:57.680]   questions that I'm interested in and things like that. This is a conference with, like, 10,000 AI
[00:11:57.680 --> 00:12:02.320]   researchers or something all coming into New Orleans and everywhere you go around the conference
[00:12:02.320 --> 00:12:09.920]   building. All the pubs and restaurants are full of AI researchers. Yeah, it's pretty insane.
[00:12:09.920 --> 00:12:15.680]   I felt a bit the same way when I first went to San Francisco, you know, coming from Australia, where
[00:12:15.680 --> 00:12:21.840]   my interests were... I didn't really know anybody else who had them. And it was nice to suddenly find
[00:12:21.840 --> 00:12:26.160]   myself in a town with lots of other people who thought that what I was doing was interesting and
[00:12:26.160 --> 00:12:33.600]   they cared. Like, it matters, you know. But you must have had a lot of tenacity because you were going
[00:12:33.600 --> 00:12:38.800]   for, what, four or five years before you got to that point. I mean, that must have been a huge amount
[00:12:38.800 --> 00:12:47.200]   of work for you. Yeah, I think, like, just, like, it was kind of my, like, side hustle. Like, after
[00:12:47.200 --> 00:12:52.720]   school I'd have, you know, extra free time. This would be sort of my thing. I think part of it was also,
[00:12:52.720 --> 00:12:58.560]   like, AI was kind of getting, you know, hot in the news. I was responsible for a ton of things,
[00:12:58.560 --> 00:13:04.080]   really cool papers, really cool breakthrough algorithms. And it felt like I was, like, in on
[00:13:04.080 --> 00:13:11.280]   something, you know, because more or less, like, I could understand, like, what was going on. I think,
[00:13:11.280 --> 00:13:16.080]   like, there was, like, this headline, I think, about, like, AlphaFold. And I was like, wait, like, I know,
[00:13:16.080 --> 00:13:19.920]   kind of, more or less, what's going on there. And so that kind of helped.
[00:13:19.920 --> 00:13:22.720]   But that was the protein folding model from Google, right?
[00:13:22.720 --> 00:13:30.960]   Yes. And it had, like, one, it had solved the protein folding problem as, like,
[00:13:30.960 --> 00:13:38.320]   the headlines kind of reported. And so that kind of, like, helped me kind of stay interested,
[00:13:38.320 --> 00:13:44.240]   stay driven. And I guess it kind of just, like, blossomed once I, like, hit high school. And I was
[00:13:44.880 --> 00:13:51.440]   in this program called MIT Primes that typically pairs students with, like, graduate students or
[00:13:51.440 --> 00:13:55.680]   professors, high school students with graduate students and professors to do this sort of, like,
[00:13:55.680 --> 00:14:04.000]   research project. And so for me, I was paired with Vlad Lielin, who was a PhD student at UMass Lowell,
[00:14:04.000 --> 00:14:05.680]   and now he's graduated with his PhD.
[00:14:05.680 --> 00:14:08.480]   And he became your co-author on your NeurIPS paper.
[00:14:08.480 --> 00:14:14.480]   Yes, who is my mentor and co-author and basically taught me everything I need to know about AI research.
[00:14:14.480 --> 00:14:22.080]   But through that program, I was able to kind of take on, like, a new perspective. Because this entire
[00:14:22.080 --> 00:14:26.720]   time, I'd been kind of, like, a student. I'd kind of, like, learned about these things, kind of played
[00:14:26.720 --> 00:14:31.440]   with them, kind of analyzed them from, like, the top down, picked apart their inner workings more or less.
[00:14:32.240 --> 00:14:36.640]   But now I was kind of presented with the question of, like, so what, like, what's next, right?
[00:14:36.640 --> 00:14:37.280]   And so...
[00:14:37.280 --> 00:14:43.840]   Can I just rewind for a bit, like, about the side hustle? Because, like, as a homeschooling dad,
[00:14:43.840 --> 00:14:49.120]   this kind of interests me, because I think it might be somewhat more aligned with how I think about,
[00:14:49.120 --> 00:14:56.720]   you know, school education. You know, rather than spending more time doing your math homework,
[00:14:57.360 --> 00:15:03.840]   you are spending time doing something that's not in the curriculum. But if I'm thinking about it,
[00:15:03.840 --> 00:15:12.240]   I'm thinking, okay, you're doing fast AI. Lesson four, you have to use the chain rule in calculus,
[00:15:12.240 --> 00:15:19.680]   which you would not have done in algebra one. So you must have been, like, I don't know,
[00:15:19.680 --> 00:15:23.440]   what were you doing, like, going to Khan Academy and stuff like that to kind of learn this stuff. And,
[00:15:23.440 --> 00:15:28.800]   like, I imagine that then by the time you covered it in high school, it would have been reasonably
[00:15:28.800 --> 00:15:31.600]   straightforward for you because you've been applying it for years at that point.
[00:15:31.600 --> 00:15:36.640]   Right. I realized, like, I'd taken multivariable at some point in high school, and I was like,
[00:15:36.640 --> 00:15:42.640]   wait, like, these concepts are very, very familiar to me. But I think, like, you're right in the sense
[00:15:42.640 --> 00:15:48.480]   that, like, for me, a lot of things were nonlinear. I think, like, in American schooling,
[00:15:48.480 --> 00:15:53.360]   especially, like, there's a very, you know, straightforward progression from algebra one,
[00:15:53.360 --> 00:16:00.160]   to, you know, geometry, to whatever, to eventually calculus. And I think, like, because I was just so
[00:16:00.160 --> 00:16:05.920]   interested in, like, AI, machine learning and things like that, I kind of just, like, took the initiative
[00:16:05.920 --> 00:16:12.000]   and learned things that I needed to know. And so when it actually came time for math class, like, a lot of
[00:16:12.000 --> 00:16:17.200]   things felt out of order just because they weren't... Yeah, and you would have been better at that math
[00:16:17.200 --> 00:16:24.400]   because you knew what was important, you knew what it was for. Like, as you know, my eight-year-old has
[00:16:24.400 --> 00:16:30.480]   recently started learning derivatives, and it's definitely not in her curriculum, but, like,
[00:16:30.480 --> 00:16:35.440]   we don't follow the curriculum because I figure, like, yeah, if you do fun and interesting stuff,
[00:16:35.440 --> 00:16:41.200]   then it all comes around eventually. And, you know, yeah, I'm just trying to think, like, what about,
[00:16:41.200 --> 00:16:49.280]   like, I mean, coding even more so, right? Like, in the US curriculum, I don't think there's much coding
[00:16:49.280 --> 00:16:54.800]   at high school generally, but in the fast AI course, you would have had to have become reasonably proficient
[00:16:54.800 --> 00:17:02.800]   in Python to succeed there. So I think I was lucky enough to have, like, a few Python classes at my
[00:17:02.800 --> 00:17:08.880]   middle school, but then again, very different ways of, like, thinking about programming. I think a lot of,
[00:17:08.880 --> 00:17:15.840]   like, introductory programming classes, I don't know, they're very, like, game-centered. I feel like a lot
[00:17:15.840 --> 00:17:22.880]   of the, like, intro classes, you just, like, solve a puzzle and that's, like, the entire course. But I think,
[00:17:22.880 --> 00:17:28.640]   like, what's helpful about, I don't know, fast AI and maybe just, like, Python in general is that
[00:17:28.640 --> 00:17:34.800]   it's pretty readable. I think a lot of the notebooks for fast AI, they were on Colab, so I didn't have
[00:17:34.800 --> 00:17:40.480]   to worry about, like, a terminal or, like, VS code and things that were that, you know, more complex.
[00:17:40.480 --> 00:17:42.080]   Yeah, you just pick a link and start typing.
[00:17:42.080 --> 00:17:42.880]   Go button.
[00:17:42.880 --> 00:17:43.360]   Yeah.
[00:17:43.360 --> 00:17:50.000]   Exactly. So that was nice. And then also, there were, like, a ton of resources online at that point. Even now,
[00:17:50.000 --> 00:17:55.520]   like, you know, there's, like, ChatGPT, there's AI magic, like, you can literally just, you know,
[00:17:55.520 --> 00:18:02.560]   it's the barrier to access is definitely much lower nowadays. But it's just something that I had to
[00:18:02.560 --> 00:18:06.800]   learn on the fly. And thankfully, there were enough resources to do so.
[00:18:06.800 --> 00:18:12.800]   Well, sorry, people watching this, but AI magic's an internal tool at AnswerAI, so you don't get to use it.
[00:18:12.800 --> 00:18:14.800]   Maybe I shouldn't have said that.
[00:18:14.800 --> 00:18:19.040]   That's fine. No, the fact that it exists is a known thing. I talked about it on the
[00:18:19.040 --> 00:18:21.680]   podcast ages ago, so.
[00:18:21.680 --> 00:18:23.120]   Glad I haven't spilled the beans.
[00:18:23.120 --> 00:18:24.800]   Now you've just increased the mystery.
[00:18:24.800 --> 00:18:37.040]   Okay, so let's fast forward a little bit. So you actually started working part-time at AnswerAI
[00:18:37.840 --> 00:18:46.240]   before you even finished high school. And then, you know, we had a bit of a conversation about what next
[00:18:46.240 --> 00:18:52.640]   for you. And you felt like MIT was the right place for you to be. So you've been there now for
[00:18:52.640 --> 00:19:01.440]   a few months, I guess. And I think you're living there at MIT, right? I'd love to hear, like, what's
[00:19:02.640 --> 00:19:07.440]   your experience been so far? Because, like, again, like, I'm imagining first year at MIT,
[00:19:07.440 --> 00:19:12.720]   there's still not going to be loads of people, either students or teachers you're dealing with, who
[00:19:12.720 --> 00:19:19.120]   know enough about AI to be published at Europe's. Like, have you found, like, yeah, tell me about the
[00:19:19.120 --> 00:19:24.000]   experience in general, and also whether you've, you know, kind of how you're, you know, whether you're
[00:19:24.000 --> 00:19:28.320]   mainly continuing to kind of work with Vlad, and of course, we'll talk shortly about your NSAI work,
[00:19:29.520 --> 00:19:34.640]   and how that's what you're learning and experiencing and stuff at MIT.
[00:19:34.640 --> 00:19:40.880]   Yeah, so I think when I first started talking to you about AnswerAI, kind of working there,
[00:19:40.880 --> 00:19:48.240]   doing a fellowship, I really seriously considered taking a gap year, so that I could, you know, pursue
[00:19:48.240 --> 00:19:55.040]   my research projects a little more seriously, have a little more time on my hands. But ultimately, I decided
[00:19:55.040 --> 00:20:02.480]   against it just because I feel like MIT is such, like, I hate to say this, it sounds like so basic,
[00:20:02.480 --> 00:20:09.040]   but it's such, like, a great place to be. I think you're definitely right. Like, again, none of my
[00:20:09.040 --> 00:20:16.160]   peers, or like, not none, but like, the majority of my peers aren't really interested in AI. But they're
[00:20:16.160 --> 00:20:21.360]   amazing people. They, I don't know, there's just a very broad variety in like, what they're interested
[00:20:21.360 --> 00:20:27.280]   in. And they're all super, super passionate about it. And I think like, if I think about my future,
[00:20:27.280 --> 00:20:34.160]   I don't know, five, 10 years down the line, I'm not exactly sure where I'll be. Maybe it'll be doing
[00:20:34.160 --> 00:20:40.160]   AI research, maybe it'll be entirely something else. And I think having that exposure to people that are
[00:20:40.160 --> 00:20:44.240]   interested in other things, people that are the top of their field and whatever that might be is,
[00:20:44.240 --> 00:20:51.040]   it's very exciting. And so, yeah, I guess, like, I guess that's it. Yeah.
[00:20:51.040 --> 00:20:56.480]   And so at the same time, so you're kind of, you know, got this multi-pronged thing going on where
[00:20:56.480 --> 00:21:02.320]   you're working at Answer.ai, you're also doing an MIT, I guess, where your new side hustle used to be
[00:21:02.320 --> 00:21:10.560]   fast AI. You've been working with Austin Huang, who is one of the absolute top AI practitioners
[00:21:10.560 --> 00:21:18.080]   in the world. He was a project leader at Google, you know, building the retrieval stuff for Google's
[00:21:18.080 --> 00:21:23.440]   deep learning models that became Gemini. He's the creator of Gemma.cpp.
[00:21:25.200 --> 00:21:33.600]   Yeah. What's it been like, you know, getting involved with working with folks like Austin,
[00:21:33.600 --> 00:21:40.000]   you know, what's been surprising about it or, you know, what kind of, what's the experience been like
[00:21:40.000 --> 00:21:47.680]   there? Yeah. So I think at first I was definitely a little intimidated. The laundry list of cool things
[00:21:47.680 --> 00:21:55.360]   Austin has done is just, like, insane. But I realized, like, over time, like, Austin and, like,
[00:21:55.360 --> 00:22:00.000]   the rest of the crew at Answer.ai, they're very down to earth, very happy to, like, explain concepts,
[00:22:00.000 --> 00:22:05.360]   very happy to answer questions. And I think that's, like, one of the things I've enjoyed the most about
[00:22:05.360 --> 00:22:14.480]   working with Austin. So for some context, we put together WebGPU puzzles. And so through that,
[00:22:14.480 --> 00:22:18.960]   I had to kind of, like, let's just take a look at that then, shall we? Yeah, sure.
[00:22:18.960 --> 00:22:29.120]   So here's GPU CPP.answer.ai. Okay. Okay. So you and Austin built this together. Yes. And
[00:22:29.120 --> 00:22:38.880]   let's talk a bit about what this is. So this is like, let's go through a few here. These are some pretty
[00:22:38.880 --> 00:22:44.240]   hardcore things. Basically, what you're doing here, things like a 1D convolution, a prefix sum,
[00:22:45.120 --> 00:22:58.720]   you're asking people to write code, fill in something to, you know, what is a fairly complex
[00:22:58.720 --> 00:23:10.000]   thing written in hardcore, low-level GPU code? Sorry. Kind of, yeah, hardcore, low-level GPU code,
[00:23:11.840 --> 00:23:18.000]   which, if it's taught at university at all, it would be, like, probably in, like, a master's
[00:23:18.000 --> 00:23:23.200]   program or something like that. It's just, like, it's extremely, extremely, extremely advanced.
[00:23:24.880 --> 00:23:33.440]   And you're also doing it in, like, a brand new framework that Austin invented. So
[00:23:33.440 --> 00:23:41.360]   it kind of reminds me a bit of Ada Lovelace in some ways, like, you know, she was the first computer
[00:23:41.360 --> 00:23:46.640]   programmer. And she was programming a computer that had just been invented.
[00:23:46.640 --> 00:23:56.080]   I mean, how do you... Yeah, I mean, is that your background? You've got years of hardcore,
[00:23:56.080 --> 00:24:02.720]   CUDA, GPU, low-level background of programming. Like, how did you implement and contribute to this
[00:24:03.360 --> 00:24:11.920]   project? No, I think my entire GPU programming background was probably, like, the three hours I
[00:24:11.920 --> 00:24:19.120]   spent solving Sasha Rush's GPU programming puzzles. And that was really fun for me. But in terms of just,
[00:24:19.120 --> 00:24:24.800]   like, getting this, putting this together, I think, like, learning on the fly again was, like,
[00:24:24.800 --> 00:24:30.080]   a huge thing for me. And also just, like, knowing that the framework wasn't complete. And so
[00:24:30.080 --> 00:24:34.000]   if I had, like, any questions, that Austin would be more than happy to answer them.
[00:24:34.000 --> 00:24:37.280]   It's nice to have the guy that wrote the framework there to ask questions about... Exactly.
[00:24:37.280 --> 00:24:44.720]   Yeah. But another thing that I kind of just, like, reminded myself of was that... So for a little
[00:24:44.720 --> 00:24:50.960]   context, Sasha Rush is, I believe, a professor at Cornell. He wrote these GPU puzzles. You can run them
[00:24:50.960 --> 00:24:58.080]   in CoLab. But the idea is basically to kind of distill down the ideas behind, you know, this sort of
[00:24:58.080 --> 00:25:03.680]   paradigm of, like, parallel GPU computing, and then have it presented in a very fun, interactive,
[00:25:03.680 --> 00:25:11.040]   sort of, like, puzzle-solving way. And so through that, I kind of learned, like, hey, like, this is
[00:25:11.040 --> 00:25:19.040]   how you actually think in parallel, essentially. And so when I was implementing these, the web GPU version,
[00:25:19.040 --> 00:25:24.160]   I kind of reminded myself that, like, hey, even though this is, like, a new framework, things are a
[00:25:24.160 --> 00:25:31.920]   little hacky here and there, like, the essential idea is the same. And for me, the goal for these puzzles
[00:25:32.560 --> 00:25:38.000]   was the same, kind of, along the lines of the experience I had with Sasha Rush's, kind of just
[00:25:38.000 --> 00:25:44.720]   distilling down those really core ideas into something that beginners could digest, anyone
[00:25:44.720 --> 00:25:50.480]   could digest, and really have, like, a fun time with. And so that's kind of, like, my, like, overarching
[00:25:50.480 --> 00:25:56.240]   philosophy when it came to these puzzles. Yeah, I mean, I just think it's very... It is inspiring,
[00:25:56.240 --> 00:26:04.320]   though, right, because I hear so many people say, you can't expect to make any progress in a career in
[00:26:04.320 --> 00:26:13.920]   AI research or practice without a PhD. And, you know, you are so slow, Sarah, you still don't have a PhD,
[00:26:13.920 --> 00:26:21.600]   you know, my goodness. And yet, you know, like, many, many, many fast AI alumni, I'm not saying
[00:26:21.600 --> 00:26:26.640]   fast AI is the unique way to do this, but it's a very common way to do this, you've forged a great
[00:26:26.640 --> 00:26:33.360]   path. And, you know, to be honest, I did encourage you to consider joining Answer AI full-time at least for a
[00:26:33.360 --> 00:26:42.160]   year, like, your strength, you know, your portfolio is strong enough that we're just about the hardest
[00:26:42.160 --> 00:26:48.320]   company in the world to get into, and we're offering you a position. So it's, it's definitely works out,
[00:26:48.320 --> 00:26:57.360]   you know, I do want to ask, though, like, a lot of people judge on things other than your pure
[00:26:58.000 --> 00:27:05.360]   demonstrated competence. A lot of people will at least implicitly judge based on, you know, the fact
[00:27:05.360 --> 00:27:13.360]   that somebody is very young, or the fact that somebody is female. And so I'm thinking, for example,
[00:27:13.360 --> 00:27:23.280]   my friend Tanishk, who finished high school when he was 10, and he wanted to go to university. And he, him and
[00:27:23.280 --> 00:27:29.600]   his family faced a lot of prejudice, you know, and struggled to get somebody to understand that
[00:27:29.600 --> 00:27:38.400]   he was ready to go to university. And when he finally found a, you know, professor ready to take
[00:27:38.400 --> 00:27:47.200]   him on, they were right, he shone at university, and he went on to finish a really impressive PhD, you know,
[00:27:48.000 --> 00:27:53.840]   so I think he beat you to that one. Although you beat him to a New York's publication. So tough,
[00:27:53.840 --> 00:28:00.800]   tough crowd. But, you know, it was a struggle. And, you know, I'm kind of curious to hear, like, it sounds
[00:28:00.800 --> 00:28:10.160]   like, maybe, I guess, in their case, his family were trying to get him to learn through a really classic,
[00:28:10.800 --> 00:28:17.520]   okay, stop going to school, start going to university. By doing it kind of more on your own,
[00:28:17.520 --> 00:28:22.960]   online, like, has that mean there's been like less of a struggle for you? Or has there been times you've
[00:28:22.960 --> 00:28:28.240]   found it a bit challenging to get people to take you seriously based, you know, on your age or gender or
[00:28:28.240 --> 00:28:36.000]   anything else? Well, I think the nice thing about having, you know, fast AI, answer AI, kind of my research
[00:28:36.000 --> 00:28:47.120]   as my side hustle, is that, you know, it's kind of less of, I guess, like, a part of my life as in
