
[00:00:00.000 --> 00:00:04.000]   When you're in winter's favorite town,
[00:15:30.000 --> 00:15:33.000]   passing through destinations where you're simply a tourist.
[00:15:33.000 --> 00:15:35.000]   Now, again, these guys were hardcore, right?
[00:15:35.000 --> 00:15:37.000]   You read W.G. Hill and his original writings.
[00:15:37.000 --> 00:15:42.000]   I mean, they were hardcore, but Hill would basically live as a tourist, right?
[00:15:42.000 --> 00:15:48.000]   And so you could imagine in especially today's world, the difference between today and back then
[00:15:48.000 --> 00:15:52.000]   was that those guys had to be millionaires and live off of their assets.
[00:15:52.000 --> 00:15:58.000]   Today, we have so many of us who can earn our living through the Internet that the options are much bigger.
[00:15:58.000 --> 00:16:04.000]   But if you spend time as a tourist, you're pretty much left alone, right?
[00:16:04.000 --> 00:16:10.000]   Tourists are often treated -- it's my opinion that tourists are treated better by most countries
[00:16:10.000 --> 00:16:13.000]   than are citizens or residents of that country.
[00:16:13.000 --> 00:16:14.000]   It's funny.
[00:16:14.000 --> 00:16:19.000]   We were down in Costa Rica a couple months -- let's see, about two months ago.
[00:16:19.000 --> 00:16:22.000]   Spent a month there in Costa Rica.
[00:16:22.000 --> 00:16:28.000]   And Costa Rica was having all of these -- they were having restrictions for coronavirus.
[00:16:28.000 --> 00:16:34.000]   And so I was speaking to some of the locals, and what I found out was that they had restrictions
[00:16:34.000 --> 00:16:40.000]   on when you could drive your car, and they had restrictions on when you could be out of your house.
[00:16:40.000 --> 00:16:41.000]   So there was a curfew.
[00:16:41.000 --> 00:16:44.000]   You weren't allowed to be out at certain hours depending on where you were in the country.
[00:16:44.000 --> 00:16:48.000]   And then you were only allowed to drive your car on certain days of the week.
[00:16:48.000 --> 00:16:52.000]   So if you're trying to get to work, well, you can't get to -- there were some exceptions, evidently,
[00:16:52.000 --> 00:16:55.000]   for people to get to work, but you couldn't drive your car.
[00:16:55.000 --> 00:16:57.000]   But who was exempt from that?
[00:16:57.000 --> 00:16:58.000]   Tourists.
[00:16:58.000 --> 00:17:06.000]   If you were a tourist and you were driving a rental car, then you were entirely exempted from the restrictions on driving.
[00:17:06.000 --> 00:17:11.000]   If you were on your way to a hotel or from a hotel, you were exempted from the restrictions,
[00:17:11.000 --> 00:17:14.000]   and no one was going to bother with you as a tourist.
[00:17:14.000 --> 00:17:22.000]   And so it's kind of an example number 573 that I've collected showing how governments usually treat tourists
[00:17:22.000 --> 00:17:26.000]   better than they treat their citizens and their residents, right?
[00:17:26.000 --> 00:17:32.000]   I bought a piece of electronic gear recently when I was here in Europe.
[00:17:32.000 --> 00:17:37.000]   And when I was sitting there looking at the receipt, I was -- the guy told me, he said,
[00:17:37.000 --> 00:17:41.000]   "If you want to get your VAT tax refunded" -- because I'm a tourist here, right?
[00:17:41.000 --> 00:17:42.000]   I came in on my American passport.
[00:17:42.000 --> 00:17:44.000]   I'm just a tourist here.
[00:17:44.000 --> 00:17:51.000]   But being a tourist, if I want to get my VAT tax refunded, which is 18% of my purchase,
[00:17:51.000 --> 00:17:55.000]   all I need to do is -- I had to just register my receipt, and then I could take it to the authorities in the airport,
[00:17:55.000 --> 00:17:57.000]   and they would refund me on my VAT tax.
[00:17:57.000 --> 00:18:03.000]   And so all of the local European citizens and residents, they don't have that option.
[00:18:03.000 --> 00:18:08.000]   But since I'm a tourist here, I get a refund on my VAT tax when I leave the country.
[00:18:08.000 --> 00:18:13.000]   And so this is the world that we live in, and so you can do that as well.
[00:18:13.000 --> 00:18:19.000]   Now, to your travel question, notice that each of those flags has its own thing, right?
[00:18:19.000 --> 00:18:26.000]   You could live in Indiana, and you may never want to do anything else.
[00:18:26.000 --> 00:18:31.000]   And so you would say, "Well, do I need or want another citizenship flag?"
[00:18:31.000 --> 00:18:36.000]   If your grandmother was from Ireland, right, get a file for your Irish citizenship.
[00:18:36.000 --> 00:18:40.000]   But do you need to go and pay for another passport?
[00:18:40.000 --> 00:18:44.000]   Probably not, but you could, right, if you had a lot of money.
[00:18:44.000 --> 00:18:49.000]   I remember years ago when Neil Strauss wrote his book "Emergency."
[00:18:49.000 --> 00:18:54.000]   He talked in that book about how he had gone and purchased -- at the time it was $400,000 --
[00:18:54.000 --> 00:19:00.000]   he had purchased citizenship in St. Kitts and Nevis to create for himself a Plan B.
[00:19:00.000 --> 00:19:03.000]   He didn't -- as far as I know, Neil still lives in the United States.
[00:19:03.000 --> 00:19:05.000]   He didn't renounce his U.S. citizenship.
[00:19:05.000 --> 00:19:13.000]   He didn't do anything, but he's got that St. Kitts and Nevis passport that he paid for sitting in his personal effects.
[00:19:13.000 --> 00:19:16.000]   And so most of the time you're not going to need it.
[00:19:16.000 --> 00:19:18.000]   But when would he need it?
[00:19:18.000 --> 00:19:21.000]   Well, there could be a global pandemic, and U.S. Americans couldn't travel.
[00:19:21.000 --> 00:19:26.000]   There was a time about a year ago when the U.S. passport just was basically worthless.
[00:19:26.000 --> 00:19:32.000]   But the St. Kitts and Nevis passport had a lot greater travel freedom at that time.
[00:19:32.000 --> 00:19:35.000]   And so that would be one example of a little bit of travel freedom.
[00:19:35.000 --> 00:19:40.000]   Perhaps, depending on the right passport, a businessman might do that.
[00:19:40.000 --> 00:19:49.000]   For example, maybe a businessman who has a lot of business in Russia and China might choose to purchase Grenadin citizenship and have a Grenadin passport.
[00:19:49.000 --> 00:19:55.000]   Well, citizens of Grenada can travel visa-free to Russia and visa-free to China.
[00:19:55.000 --> 00:19:59.000]   Now, they're still subject to entry rules as visitors, right?
[00:19:59.000 --> 00:20:01.000]   A little bit mixed up by the pandemic.
[00:20:01.000 --> 00:20:09.000]   But they have the ability to travel there without having to go to the embassy and apply for a visa like U.S. American citizens do.
[00:20:09.000 --> 00:20:13.000]   And so for somebody with frequent travel there, that could be a big deal.
[00:20:13.000 --> 00:20:20.000]   In your situation, I wouldn't recommend that you make it a first target, but it is worth paying attention to.
[00:20:20.000 --> 00:20:22.000]   Now, to the travel question.
[00:20:22.000 --> 00:20:27.000]   Some of these flags require only a little or no travel at all.
[00:20:27.000 --> 00:20:30.000]   So I think the best flag would be something like banking, right?
[00:20:30.000 --> 00:20:33.000]   Anybody can move some money offshore.
[00:20:33.000 --> 00:20:35.000]   And I recommend that you do it.
[00:20:35.000 --> 00:20:46.000]   You've probably heard me talk on the show about how I see this as very valuable preparation in case you run into a scenario where you have high inflation in your primary currency.
[00:20:46.000 --> 00:20:51.000]   And so I recommend to people usually that the first place they should go is Canada.
[00:20:51.000 --> 00:20:54.000]   And the first bank account you probably should open would be a Canadian bank account.
[00:20:54.000 --> 00:20:55.000]   Why?
[00:20:55.000 --> 00:21:00.000]   Well, because you can drive there during normal times and they finally just opened the border.
[00:21:00.000 --> 00:21:06.000]   But you can drive to Canada, you can physically go, and the Canadians will open an account for you as a tourist.
[00:21:06.000 --> 00:21:07.000]   That's not the same all around the world.
[00:21:07.000 --> 00:21:12.000]   Many countries in the world, you have to be a resident of that country.
[00:21:12.000 --> 00:21:16.000]   In some cases, you have to be more than a resident, but you have to be a resident of that country.
[00:21:16.000 --> 00:21:18.000]   In Canada, you don't have to do that.
[00:21:18.000 --> 00:21:25.000]   And so you could just go and take a trip to Canada and take in the sights, stay at a nice hotel, and then open a bank account.
[00:21:25.000 --> 00:21:30.000]   But now you have, say, $5,000 deposited in a Canadian bank account.
[00:21:30.000 --> 00:21:40.000]   As long as your total funds held offshore are fewer than $10,000, you have virtually no reporting requirements to the U.S. government.
[00:21:40.000 --> 00:21:48.000]   The Canadian government will still send a report every year to the U.S. government for you, but you don't have to file the disclosure forms to the U.S. government.
[00:21:48.000 --> 00:21:52.000]   And so now you can actually hold $5,000 there.
[00:21:52.000 --> 00:21:56.000]   But now you have a Canadian debit card ready for you.
[00:21:56.000 --> 00:22:06.000]   And so if you needed to put a lot of money into Canadian dollars because there was some issue with the United States, or if you needed to put more money offshore, you have that infrastructure set up.
[00:22:06.000 --> 00:22:07.000]   So that's a banking flag.
[00:22:07.000 --> 00:22:10.000]   In some cases, you might plant a business flag.
[00:22:10.000 --> 00:22:23.000]   Now, for U.S. Americans, this usually isn't a good idea necessarily if you're living in the United States, but you could set up a business flag, or you might set up an offshore trust if you had more money and you're trying to do that.
[00:22:23.000 --> 00:22:29.000]   That's flag theory, and none of that really interacts with travel necessarily.
[00:22:29.000 --> 00:22:33.000]   It's just a little bit kind of that's what it is.
[00:22:33.000 --> 00:22:36.000]   Now, with travel, what would you start?
[00:22:36.000 --> 00:22:49.000]   Well, I think that most people, the more I travel, the more I'm convinced that most people probably aren't going to ever want to leave their home country in the sense in live abroad, move abroad.
[00:22:49.000 --> 00:22:51.000]   Most people aren't going to.
[00:22:51.000 --> 00:23:04.000]   Even though I'm quite comfortable as a traveler, I haven't lived in the United States for almost three years now, I think almost every day and deeply analyze, maybe I should move back to the United States, right?
[00:23:04.000 --> 00:23:05.000]   Maybe I should.
[00:23:05.000 --> 00:23:07.000]   There's a lot of good things going for it.
[00:23:07.000 --> 00:23:20.000]   And so I think that the hurdles are too high and the difficulty is too great for most people if they don't have a compelling reason to actually go abroad.
[00:23:20.000 --> 00:23:27.000]   And so I would just say take some vacations for fun and get a little bit of experience.
[00:23:27.000 --> 00:23:34.000]   Choose a place that you want to go because you want to go there and go there because that in and of itself can be useful.
[00:23:34.000 --> 00:23:43.000]   Now, I say that most people aren't going to want to go to live abroad, but that still doesn't mean that the circumstances might not change.
[00:23:43.000 --> 00:23:50.000]   So I've talked about how if there's some kind of major crisis, one of the best things you can do is leave during a crisis.
[00:23:50.000 --> 00:23:55.000]   If there's a major crisis, I don't expect a broad scale crisis in the United States.
[00:23:55.000 --> 00:24:15.000]   But what I point out to people is that if you were from Venezuela and you saw that there could be problems in the future and you simply started getting exposure and maybe you went and set up a residency program somewhere so you could live outside of Venezuela, maybe you moved some of your money from Venezuela to the United States, etc.
[00:24:15.000 --> 00:24:26.000]   Then by the time things got bad enough, you could simply go and you could have all of your affairs structured so that you could leave the place that there was a massive crisis.
[00:24:26.000 --> 00:24:29.000]   There's lots of people who did that.
[00:24:29.000 --> 00:24:31.000]   There's lots of people who still do that.
[00:24:31.000 --> 00:24:36.000]   There are people who regularly go back to Venezuela because they have their family there and their friends there.
[00:24:36.000 --> 00:24:50.000]   But the guy living in Venezuela who has an Italian passport, who has a small apartment in Portugal and goes back to Venezuela for a couple of months to see family is doing a lot better than the guy whose whole affairs are there in Venezuela.
[00:24:50.000 --> 00:24:58.000]   So that was a 22-minute response to your question, kind of laying out the ideas.
[00:24:58.000 --> 00:25:04.000]   But to your specific question, there's nothing that I would say other than just say go and try it.
[00:25:04.000 --> 00:25:08.000]   Pick somewhere that you want to go and just go for a short trip.
[00:25:08.000 --> 00:25:15.000]   And what I would do is I would not make it a hard place.
[00:25:15.000 --> 00:25:16.000]   Maybe go to Canada.
[00:25:16.000 --> 00:25:21.000]   Canada feels in most things just like the United States.
[00:25:21.000 --> 00:25:24.000]   And so if you're in Indiana, it's an easy drive.
[00:25:24.000 --> 00:25:28.000]   Drive up, spend a week, you know, rousing around Canada, get a little experience.
[00:25:28.000 --> 00:25:30.000]   It's virtually the same experience.
