
[00:00:00.000 --> 00:00:07.460]   Well, GPT-5 is here and it's in the free tier. I've tested it a bunch, read the system card in
[00:06:15.580 --> 00:06:21.340]   context window has been barely widened. Man, we need some fresh air in here. What I mean is,
[00:06:21.340 --> 00:06:28.380]   I love that Gemini 2.5 Pro can analyse one million tokens, or almost a million words, but we are stuck in
[00:06:28.380 --> 00:06:33.420]   the low hundreds of thousands for GPT-5. Next, you may have noticed on the live stream,
[00:06:33.420 --> 00:06:40.140]   Sebastian Bubeck, one of the lead authors of that famous Sparks of AGI paper about GPT-4,
[00:06:40.140 --> 00:06:45.180]   and one of the first viewers of this channel, actually, two and a half years ago. He described
[00:06:45.180 --> 00:06:51.740]   the "recursive self-improvement" to be had when models can produce better synthetic data
[00:06:51.740 --> 00:06:57.180]   that is then used to train the next generation of models. I do get that for getting epic scores on
[00:06:57.180 --> 00:07:06.060]   benchmarks, but if that was all it took, then models like 5.4 and the Openweight OpenAI GPT-OSS model
[00:07:06.060 --> 00:07:11.340]   would be demigods by now, given how heavily they were trained on synthetic data. True story,
[00:07:11.340 --> 00:07:16.380]   that recent OpenAI Openweight model flopped so badly on Simplebench that OpenAI reached out to
[00:07:16.380 --> 00:07:21.580]   me personally to ask about our settings, which were the standard ones, by the way. A bit later on,
[00:07:21.580 --> 00:07:27.660]   I'm going to go to the biggest bit of anti-hype you could find, but a few new people may be watching
[00:07:27.660 --> 00:07:33.420]   tonight, so let's touch on another highly usable aspect, amazing aspect of GPT-5. If you watched the
[00:07:33.420 --> 00:07:39.580]   live stream and thought those vibe coding demos were epic, they were, and don't let addicts like us tell
[00:07:39.580 --> 00:07:47.100]   you otherwise. Because snake games and chart displays are everywhere in the training data, that's why GPT-5 can
[00:07:47.100 --> 00:07:53.740]   bang them out with ease. Building a production-ready consumer app is a very different story for now.
[00:07:53.740 --> 00:07:59.980]   So I would say we don't quite have what Sam Olman quoted tonight, software on demand, but we may be
[00:07:59.980 --> 00:08:05.500]   slowly getting there. More on that in another video coming out soon. Back to the system card, and they
[00:08:05.500 --> 00:08:11.580]   kept talking about health journeys. And though I had never heard that expression, it didn't strike me that
[00:08:11.580 --> 00:08:17.820]   they were taking us for a ride. For me, it's genuinely incredible. And it will be super impactful that you
[00:08:17.820 --> 00:08:24.460]   can often get expert-level text-based diagnoses from these models. Notice I say you can often get that.
[00:08:24.460 --> 00:08:31.660]   Though I don't think many people will have noticed this one, that GPT-5 Mini scored higher on health bench
[00:08:31.660 --> 00:08:38.940]   consensus than GPT-5 itself. I can imagine some frantic users on the free tier waiting until their GPT-5
[00:08:38.940 --> 00:08:43.980]   allowances out to get the quote "better model on health". Now just in case there's any really confused
[00:08:43.980 --> 00:08:50.460]   people watching, if you're wondering, there's no new Sora or image generator. There are however new voices,
[00:08:50.460 --> 00:08:55.820]   and for those who've been chatting on the free tier with models quite a lot, you should notice a step up
[00:08:55.820 --> 00:09:03.820]   in conversation quality. Although I was disappointed that GPT-5's language skills have not improved from O3.
[00:09:03.820 --> 00:09:10.300]   Translation, I feel, is such an unmitigated good from AI. I was hoping that they had been able to push the
[00:09:10.300 --> 00:09:16.540]   frontier a bit harder. Some of you will be asking about the semi-mythical GPT-5 Pro, and yes, I'd love
[00:09:16.540 --> 00:09:23.740]   to test it. I am on the Pro tier, but I'm not yet seeing it in my app as of tonight, so soon hopefully.
[00:09:23.740 --> 00:09:29.260]   Probably isn't crazily better than the other types of GPT-5, given they barely mentioned it in the
[00:09:29.260 --> 00:09:36.140]   presentation. Now though, for the real anti-hype, because even one of the lead authors of AI 2027,
[00:09:36.140 --> 00:09:41.660]   which took the world by storm and was read by millions, well, the headlines or videos derived from
[00:09:41.660 --> 00:09:48.780]   were seen or read by millions, that's Eli Lifland, said that he noticed from the system card no
[00:09:48.780 --> 00:09:54.460]   improvement on the coding evals that weren't Sweebench. Translated, you know all those videos you've been
[00:09:54.460 --> 00:10:00.380]   seeing on YouTube about AI taking over the world within the next two years? Well, one of the authors
[00:10:00.380 --> 00:10:06.620]   behind that, who I interviewed on Patreon, has probably updated in the negative in terms of his
[00:10:06.620 --> 00:10:11.980]   timelines. We should be seeing a bit more self-improvement by now, if those timelines were
[00:10:11.980 --> 00:10:17.900]   accurate. It makes sense, right? We would need to see significant improvement from GPT-5 on machine
[00:10:17.900 --> 00:10:23.180]   learning engineering, for example, machine learning engineering bench, and we don't quite see that.
[00:10:23.180 --> 00:10:28.860]   What about this benchmark from the system card? OpenAI pull requests. Can GPT-5 do some of the more
[00:10:28.860 --> 00:10:34.220]   mundane tasks that are performed at OpenAI? Well, without diving too much into that benchmark,
[00:10:34.220 --> 00:10:41.020]   notice the increment. We're not seeing big jumps from O3. What about the ability of models to replicate
[00:10:41.020 --> 00:10:47.500]   state-of-the-art AI research? This was tested on OpenAI's own paper bench. Again, correct me if I'm
[00:10:47.500 --> 00:10:53.420]   wrong, but not a huge step forward. Then there's this benchmark, arguably the most interesting of them
[00:10:53.420 --> 00:10:59.020]   all. I actually think it's a brilliant benchmark, and I remember asking someone at OpenAI about such
[00:10:59.020 --> 00:11:04.220]   a benchmark two years ago. Pretty sure that request had no impact, but either way, check this out. Can AI
[00:11:04.220 --> 00:11:10.940]   models overcome any of 20 internal research and engineering bottlenecks encountered for real at
[00:11:10.940 --> 00:11:15.660]   OpenAI in the past? These were the kind of bottlenecks that led to delays of at least a day, and in some
[00:11:15.660 --> 00:11:21.820]   cases they said it influenced the outcome of large training runs and launches. Amazing benchmark, and for
[00:11:21.820 --> 00:11:27.820]   now, slightly underwhelming performance. I say that, but it kind of depends on your perspective, because
[00:11:27.820 --> 00:11:35.100]   solving 2% of those is not bad in my opinion. My only point was that's the same score as O3. Mind you,
[00:11:35.100 --> 00:11:41.980]   I've just noticed something while filming. The green bar looks taller than O3's bar, even though it's the
[00:11:41.980 --> 00:11:49.340]   same 2%. Man, the chart crimes that OpenAI are doing for GPT-5 are unbelievable. I'm just going to spend 20
[00:11:49.340 --> 00:11:55.340]   seconds now on safety, because I did see OpenAI's safety paper, and while I haven't finished it, I do love the
[00:11:55.340 --> 00:12:01.420]   sound of the new approach on refusals. Basically, they've moved to what's called safe completions as
[00:12:01.420 --> 00:12:06.460]   a new safety paradigm. It makes sense to me, because rather than the model just making a snap judgment,
[00:12:06.460 --> 00:12:12.620]   is the user's intent good or bad, then completely obeying or refusing. Instead, safe completions
[00:12:12.620 --> 00:12:19.420]   focuses entirely on the safety of the model's output. Translating the pages I have read so far,
[00:12:19.420 --> 00:12:24.620]   it's basically, we don't really care why you're asking this, this is the only information we're going to
[00:12:24.620 --> 00:12:30.220]   give you. Perfect segue to the sponsors of today's video, Grace One. Let me know what you think,
[00:12:30.220 --> 00:12:36.940]   but what I find epic is that you can make all models, not just OpenAI's, more secure yourself,
[00:12:36.940 --> 00:12:42.380]   as in you watching. I mean, literally, a few of the viewers of this channel have gone on to the
[00:12:42.380 --> 00:12:48.940]   leaderboards in these paid competitions. If you are not familiar with them, you basically have to find
[00:12:48.940 --> 00:12:54.860]   jailbreaks for these models, and thereby improve model security. If you're interested, do use my
[00:12:54.860 --> 00:13:00.140]   personal link in the description. And for me, models being less likely to output bioterror
[00:13:00.140 --> 00:13:06.220]   instructions is just a win-win. Now for some last benchmarks before I draw this first impressions video
[00:13:06.220 --> 00:13:11.820]   to an end. GPT-5 doesn't quite get the record for what I'm calling a pattern recognition benchmark,
[00:13:11.820 --> 00:13:19.580]   Arc AGI 2. It's beaten by Grok 4, which gets 16% compared to its 10%. GPT-5 is of course much cheaper,
[00:13:19.580 --> 00:13:25.820]   though. Curiously, GPT-5 got a new record on the Google-proof science benchmark,
[00:13:25.820 --> 00:13:33.820]   called GPQA, getting 88.4%. But they barely mentioned that on the website or the live stream
[00:13:33.820 --> 00:13:39.820]   or the system card. In 2024, this was one of the most cited benchmarks for testing model intelligence.
[00:13:39.820 --> 00:13:45.340]   Seeing the OpenWeights OpenAI models score so highly did make me start to worry about benchmark
[00:13:45.340 --> 00:13:51.020]   maxing. Same story with humanity's last exam. In other words, if you are new to the channel and thought
[00:13:51.020 --> 00:13:56.460]   a model breaking records in all sorts of benchmarks meant it had to be the smartest, then do please
[00:13:56.460 --> 00:14:02.220]   stick around. Now it seems fitting, as I draw the video to an end, that we should discuss the end of the
[00:14:02.220 --> 00:14:08.460]   model selector. Because unless you are on the pro tier, all the other models that you can see here are
[00:14:08.460 --> 00:14:16.700]   deprecated. That's good news in a way if you like to avoid that mess of models to select from. Not as good news
[00:14:16.700 --> 00:14:23.420]   if you liked a particular variant for whatever reason. So there we are, that's my take on GPT-5.
[00:14:23.420 --> 00:14:29.420]   What is yours? For me, I must admit, it's quite a poignant moment in the history of this channel.
[00:14:29.420 --> 00:14:36.940]   I've been making videos touching on what GPT-5 might be like for, man, it must be over two years now.
[00:14:36.940 --> 00:14:41.660]   Some of you watching will have been following the channel since then and thank you so much.
[00:14:41.660 --> 00:14:48.940]   Would the Philip of two years ago have been bowled over by the GPT-5 of today? I genuinely don't know.
[00:14:48.940 --> 00:14:55.340]   Will we all be bowled over by the GPT-6 or 7 of the future? Only time will tell.
[00:14:55.340 --> 00:15:01.100]   Man, that was kind of a cliche ending, but forgive me and thank you so much for watching. Have a wonderful day.

