
[00:00:00.000 --> 00:00:06.000]   Welcome, everyone.
[00:04:28.840 --> 00:04:30.920]   We're going to start with data loading.
[00:04:30.920 --> 00:04:33.840]   We're going to use load dataset from Hugging Face to
[00:04:33.840 --> 00:04:37.480]   load in the Dynascent rounds as well as the SST.
[00:04:37.480 --> 00:04:41.260]   As I said before, the SST gets loaded in a five-label format,
[00:04:41.260 --> 00:04:42.920]   and the notebook does the work of
[00:04:42.920 --> 00:04:45.720]   reformatting it into the ternary problem.
[00:04:45.720 --> 00:04:47.160]   We also have a little function
[00:04:47.160 --> 00:04:48.720]   called print label distribution,
[00:04:48.720 --> 00:04:50.160]   and it will show you the distribution of
[00:04:50.160 --> 00:04:52.140]   labels for one of these splits.
[00:04:52.140 --> 00:04:54.440]   Here's the distribution for Dynascent round 1,
[00:04:54.440 --> 00:04:56.120]   that's a large resource.
[00:04:56.120 --> 00:04:58.820]   Dynascent round 2 is somewhat smaller,
[00:04:58.820 --> 00:05:03.000]   and the SST is the smallest of these resources.
[00:05:03.000 --> 00:05:06.780]   Now we come to the assignment work itself,
[00:05:06.780 --> 00:05:09.640]   beginning with question 1, linear classifiers.
[00:05:09.640 --> 00:05:12.040]   What we're going to be doing here is developing
[00:05:12.040 --> 00:05:14.780]   relatively lightweight models that depend on
[00:05:14.780 --> 00:05:17.760]   typically very sparse feature representations.
[00:05:17.760 --> 00:05:20.280]   You could think of these as being bag of
[00:05:20.280 --> 00:05:21.500]   words models that you might
[00:05:21.500 --> 00:05:24.160]   augment to make them more interesting.
[00:05:24.160 --> 00:05:27.360]   Here's how the outline looks.
[00:05:27.360 --> 00:05:31.960]   We've got four background sections and then three subtasks.
[00:05:31.960 --> 00:05:34.020]   I urge you to work through
[00:05:34.020 --> 00:05:37.580]   the background sections first before you begin the tasks.
[00:05:37.580 --> 00:05:39.160]   Whether you need a refresher or
[00:05:39.160 --> 00:05:41.200]   whether this is really what you do every day,
[00:05:41.200 --> 00:05:43.640]   I think the background sections will pay off in terms
[00:05:43.640 --> 00:05:46.440]   of helping you get hands-on with the code,
[00:05:46.440 --> 00:05:49.640]   and also just for a refresher on the core concepts.
[00:05:49.640 --> 00:05:53.360]   Work through them and then dive into the tasks.
[00:05:53.360 --> 00:05:57.440]   Question 1, task 1 is about writing feature functions.
[00:05:57.440 --> 00:05:58.680]   For the background section,
[00:05:58.680 --> 00:05:59.960]   we wrote one for you.
[00:05:59.960 --> 00:06:01.640]   This is unigrams phi.
[00:06:01.640 --> 00:06:03.420]   It takes in a string,
[00:06:03.420 --> 00:06:05.680]   splits that string on whitespace,
[00:06:05.680 --> 00:06:08.520]   and essentially just counts the resulting unigrams.
[00:06:08.520 --> 00:06:10.760]   It returns a dictionary mapping
[00:06:10.760 --> 00:06:13.680]   unigrams to their counts in the input string.
[00:06:13.680 --> 00:06:16.240]   That is the basis for featurization in
[00:06:16.240 --> 00:06:19.840]   the context of Scikit-learn as we'll be using it.
[00:06:19.840 --> 00:06:21.240]   That's our example.
[00:06:21.240 --> 00:06:23.120]   Then the task here is simply
[00:06:23.120 --> 00:06:25.120]   to write a better version of that.
[00:06:25.120 --> 00:06:27.320]   We've called that tweetgrams phi.
[00:06:27.320 --> 00:06:29.600]   The core of this is just using
[00:06:29.600 --> 00:06:32.200]   this really nice tokenizer from NLTK,
[00:06:32.200 --> 00:06:33.840]   which does a good job with things like
[00:06:33.840 --> 00:06:37.400]   emoticons and other kinds of punctuation and so forth.
[00:06:37.400 --> 00:06:40.480]   It will be a superior basis for feature functions.
[00:06:40.480 --> 00:06:43.080]   This is a very simple coding task.
[00:06:43.080 --> 00:06:47.040]   The idea here is to get your creative juices flowing.
[00:06:47.040 --> 00:06:49.240]   Having written this feature function,
[00:06:49.240 --> 00:06:52.120]   you might think about new ways of tokenizing or
[00:06:52.120 --> 00:06:53.640]   new things you could do in terms of
[00:06:53.640 --> 00:06:57.080]   featurization to build ever more powerful models.
[00:06:57.080 --> 00:06:59.800]   This is just the start.
[00:06:59.800 --> 00:07:03.480]   I want to say something about unit tests.
[00:07:03.480 --> 00:07:05.400]   You will notice in this homework that
[00:07:05.400 --> 00:07:07.000]   every single one of the questions
[00:07:07.000 --> 00:07:08.560]   has an associated unit test,
[00:07:08.560 --> 00:07:10.560]   and that is true for every question
[00:07:10.560 --> 00:07:13.160]   on all the assignments for the course.
[00:07:13.160 --> 00:07:16.240]   Make sure that you use those unit tests.
[00:07:16.240 --> 00:07:17.840]   I'm not going to belabor this throughout
[00:07:17.840 --> 00:07:19.600]   the screencast and the subsequent ones,
[00:07:19.600 --> 00:07:21.680]   but those unit tests are always there.
[00:07:21.680 --> 00:07:23.440]   They perform a crucial role.
[00:07:23.440 --> 00:07:26.680]   It is very hard for us to fully disambiguate what we're
[00:07:26.680 --> 00:07:30.400]   looking for in terms of coding in English.
[00:07:30.400 --> 00:07:32.880]   Instead, we rely on these unit tests.
[00:07:32.880 --> 00:07:34.660]   If you pass the unit test,
[00:07:34.660 --> 00:07:37.640]   then you have completed the task as we defined it.
[00:07:37.640 --> 00:07:39.720]   You will also get a clean bill of health from
[00:07:39.720 --> 00:07:41.440]   the auto-grader when you submit,
[00:07:41.440 --> 00:07:43.880]   and everything should go swimmingly.
[00:07:43.880 --> 00:07:45.720]   Make use of these unit tests.
[00:07:45.720 --> 00:07:47.020]   They also help you with
[00:07:47.020 --> 00:07:49.640]   core concepts and other aspects of the problem.
[00:07:49.640 --> 00:07:52.460]   They'll give you feedback if the unit tests fail,
[00:07:52.460 --> 00:07:54.080]   and in general, help you iterate
[00:07:54.080 --> 00:07:56.280]   toward a successful outcome.
[00:07:56.280 --> 00:07:59.120]   Use those unit tests.
[00:07:59.120 --> 00:08:01.420]   For question 1, task 2,
[00:08:01.420 --> 00:08:02.640]   this is model training.
[00:08:02.640 --> 00:08:04.240]   What you should do first is work through
[00:08:04.240 --> 00:08:06.480]   the two associated background sections
[00:08:06.480 --> 00:08:08.680]   on feature space vectorization,
[00:08:08.680 --> 00:08:10.480]   and on scikit-learn models,
[00:08:10.480 --> 00:08:14.200]   and then you're well set up to tackle this particular task.
[00:08:14.200 --> 00:08:16.440]   The task is relatively straightforward.
[00:08:16.440 --> 00:08:17.760]   You need to complete a function
[00:08:17.760 --> 00:08:19.400]   called train linear model.
[00:08:19.400 --> 00:08:22.080]   You can see here we've given you a detailed doc string,
[00:08:22.080 --> 00:08:23.600]   and then in comments,
[00:08:23.600 --> 00:08:25.280]   we've walked you through the steps that you
[00:08:25.280 --> 00:08:27.360]   need to take to complete the function.
[00:08:27.360 --> 00:08:29.560]   This is not meant to be difficult
[00:08:29.560 --> 00:08:32.240]   conceptually or in terms of coding.
[00:08:32.240 --> 00:08:34.080]   If you did that background reading
[00:08:34.080 --> 00:08:36.120]   and you're up to speed on the core concepts,
[00:08:36.120 --> 00:08:38.020]   this will be very straightforward.
[00:08:38.020 --> 00:08:41.360]   The idea here is to give you an asset,
[00:08:41.360 --> 00:08:43.560]   a function that you can use for very
[00:08:43.560 --> 00:08:46.760]   efficiently training new linear models in
[00:08:46.760 --> 00:08:48.680]   case you decide to train a lot of
[00:08:48.680 --> 00:08:52.560]   these models as part of developing an original system.
[00:08:52.560 --> 00:08:54.960]   Straightforward coding, you complete that,
[00:08:54.960 --> 00:08:57.920]   and then you have this new asset to work with.
[00:08:57.920 --> 00:09:00.720]   Question 1, task 3 is very similar.
[00:09:00.720 --> 00:09:02.360]   This is model assessment.
[00:09:02.360 --> 00:09:04.480]   Work through the background section,
[00:09:04.480 --> 00:09:06.040]   and then you should be well set up for
[00:09:06.040 --> 00:09:07.600]   the question itself.
[00:09:07.600 --> 00:09:11.000]   Again, the core task is to complete a simple function.
[00:09:11.000 --> 00:09:13.320]   This one is called assess linear model.
[00:09:13.320 --> 00:09:15.360]   We've provided documentation,
[00:09:15.360 --> 00:09:16.400]   and we've walked you through
[00:09:16.400 --> 00:09:17.960]   the steps that you need to take.
[00:09:17.960 --> 00:09:19.920]   It should be straightforward because again,
[00:09:19.920 --> 00:09:21.680]   the idea here is to give you
[00:09:21.680 --> 00:09:24.240]   another tool that you can use for very efficiently
[00:09:24.240 --> 00:09:27.160]   assessing models that you've trained so that you
[00:09:27.160 --> 00:09:28.560]   can iterate toward really
[00:09:28.560 --> 00:09:31.520]   interesting models if you decide to.
[00:09:31.520 --> 00:09:34.160]   That's it for question 1.
[00:09:34.160 --> 00:09:35.440]   We now come to question 2.
[00:09:35.440 --> 00:09:37.200]   We're going to switch gears a little bit.
[00:09:37.200 --> 00:09:39.920]   We're going to start working with Hugging Face Code,
[00:09:39.920 --> 00:09:42.680]   and we're going to be fine-tuning pre-trained models,
[00:09:42.680 --> 00:09:45.680]   in this case, a BERT mini model.
[00:09:45.680 --> 00:09:47.520]   Here's the outline. Again, you have
[00:09:47.520 --> 00:09:49.080]   some background sections,
[00:09:49.080 --> 00:09:50.640]   work through them first,
[00:09:50.640 --> 00:09:52.080]   and then you'll be set up to do
[00:09:52.080 --> 00:09:55.760]   the three subtasks associated with this question.
[00:09:55.760 --> 00:09:58.720]   Let's look at question 2, task 1.
[00:09:58.720 --> 00:10:01.120]   This is another tokenization question,
[00:10:01.120 --> 00:10:02.240]   batch tokenization.
[00:10:02.240 --> 00:10:04.280]   You'll be using Hugging Face Code.
[00:10:04.280 --> 00:10:06.280]   Work through the background material
[00:10:06.280 --> 00:10:08.360]   and then dive into the question.
[00:10:08.360 --> 00:10:10.120]   You just need to complete a function,
[00:10:10.120 --> 00:10:12.120]   get batch token IDs.
[00:10:12.120 --> 00:10:14.360]   The spirit of this is to get you
[00:10:14.360 --> 00:10:17.320]   thinking about how Hugging Face tokenizers work,
[00:10:17.320 --> 00:10:18.560]   make you aware of
[00:10:18.560 --> 00:10:20.840]   the various keyword arguments that they have,
[00:10:20.840 --> 00:10:23.760]   and in general, get you thinking about how to use
[00:10:23.760 --> 00:10:25.680]   these functions effectively in
[00:10:25.680 --> 00:10:28.240]   the context of fine-tuning models.
[00:10:28.240 --> 00:10:30.360]   Again, not a hard coding task.
[00:10:30.360 --> 00:10:32.520]   You should just follow the instructions and
[00:10:32.520 --> 00:10:35.480]   look around at the Hugging Face documentation
[00:10:35.480 --> 00:10:37.920]   in order to do this work.
[00:10:37.920 --> 00:10:41.320]   Question 2, task 2 is about representation.
[00:10:41.320 --> 00:10:42.920]   Again, this is about getting used to
[00:10:42.920 --> 00:10:45.120]   the way Hugging Face Code works,
[00:10:45.120 --> 00:10:48.720]   and about the way models like BERT represent examples.
[00:10:48.720 --> 00:10:50.800]   You work through the background section,
[00:10:50.800 --> 00:10:53.480]   and then you can tackle the associated task,
[00:10:53.480 --> 00:10:56.040]   which involves completing a function, get reps.
[00:10:56.040 --> 00:10:58.200]   Again, we've walked you through the steps,
[00:10:58.200 --> 00:11:00.560]   because the idea here is to give you a sense
[00:11:00.560 --> 00:11:03.000]   very quickly for what the representations
[00:11:03.000 --> 00:11:05.400]   are like and how you might use them.
[00:11:05.400 --> 00:11:07.520]   Then the final question is similar.
[00:11:07.520 --> 00:11:08.840]   This is the most involved though,
[00:11:08.840 --> 00:11:11.600]   because this is where the pieces come together.
[00:11:11.600 --> 00:11:16.120]   Question 2, task 3 is writing a fine-tuning module.
[00:11:16.120 --> 00:11:18.200]   There's one more background section on
[00:11:18.200 --> 00:11:19.640]   masking that you should check out,
[00:11:19.640 --> 00:11:21.680]   and then you'll be well set up to do this.
[00:11:21.680 --> 00:11:23.160]   You're going to be completing
[00:11:23.160 --> 00:11:26.720]   an NN module that we call BERT classifier module.
[00:11:26.720 --> 00:11:28.280]   There are two parts to that.
[00:11:28.280 --> 00:11:30.440]   You complete the init method,
[00:11:30.440 --> 00:11:33.440]   and that helps you set up the core computation graph.
[00:11:33.440 --> 00:11:35.680]   You can see here we've provided a lot of
[00:11:35.680 --> 00:11:39.000]   guidance in terms of documentation and other description.
[00:11:39.000 --> 00:11:41.320]   Then you also complete the forward method,
[00:11:41.320 --> 00:11:44.000]   which is core for how we do inference in this model,
[00:11:44.000 --> 00:11:48.120]   and makes use of the graph that you set up in the init method.
[00:11:48.120 --> 00:11:51.000]   Then you're all set. It's just a few lines of code.
[00:11:51.000 --> 00:11:52.840]   It is not meant to be complicated.
[00:11:52.840 --> 00:11:54.760]   Again, the idea is that once you have
[00:11:54.760 --> 00:11:57.600]   a functioning BERT classifier module,
[00:11:57.600 --> 00:12:00.560]   you have something that you could easily modify to do
[00:12:00.560 --> 00:12:04.640]   more powerful and creative things for the original system.
[00:12:04.640 --> 00:12:08.520]   One more note, we have a section called
[00:12:08.520 --> 00:12:11.800]   classifier interface marked as optional use.
[00:12:11.800 --> 00:12:14.280]   You don't have to train any models as
[00:12:14.280 --> 00:12:16.720]   part of the core questions for this assignment,
[00:12:16.720 --> 00:12:19.280]   but you might want to train some original models as
[00:12:19.280 --> 00:12:21.880]   part of evaluating original systems.
[00:12:21.880 --> 00:12:24.120]   Our classifier interface can help.
[00:12:24.120 --> 00:12:26.560]   Out of the box, it will allow you to work with
[00:12:26.560 --> 00:12:28.600]   the NN module that you just wrote to
[00:12:28.600 --> 00:12:31.160]   actually train on data and do assessments.
[00:12:31.160 --> 00:12:33.280]   It's there for you as a wrapper,
[00:12:33.280 --> 00:12:35.800]   and it's straightforward also as you iterate on
[00:12:35.800 --> 00:12:37.880]   your NN module to continue to
[00:12:37.880 --> 00:12:40.560]   make use of this classifier interface.
[00:12:40.560 --> 00:12:43.760]   If you'd like a deeper dive on those concepts,
[00:12:43.760 --> 00:12:45.880]   check out this tutorial notebook,
[00:12:45.880 --> 00:12:49.320]   which I mentioned at the start of the screencast.
[00:12:49.320 --> 00:12:53.160]   Now we come to the heart of it, in my view,
[00:12:53.160 --> 00:12:54.440]   the most exciting part,
[00:12:54.440 --> 00:12:57.040]   question 3, original systems.
[00:12:57.040 --> 00:12:59.280]   You can do pretty much whatever you want.
[00:12:59.280 --> 00:13:00.840]   The task is to develop
[00:13:00.840 --> 00:13:03.840]   an original ternary sentiment classifier model.
[00:13:03.840 --> 00:13:05.920]   There are many options for this.
[00:13:05.920 --> 00:13:08.600]   We have really only one rule.
[00:13:08.600 --> 00:13:12.960]   You cannot make any use of the test sets for Dynaset round 1,
[00:13:12.960 --> 00:13:16.640]   Dynaset round 2, or the SST at any time
[00:13:16.640 --> 00:13:19.480]   during the course of developing your original system.
[00:13:19.480 --> 00:13:21.880]   It is under lock and key.
[00:13:21.880 --> 00:13:25.200]   Another note, this needs to be an original system,
[00:13:25.200 --> 00:13:28.400]   so it doesn't suffice to just download code from the web,
[00:13:28.400 --> 00:13:30.000]   retrain it, and submit.
[00:13:30.000 --> 00:13:31.960]   You can build on people's code,
[00:13:31.960 --> 00:13:33.520]   but you have to figure out how to do
[00:13:33.520 --> 00:13:35.720]   something new and meaningful with it.
[00:13:35.720 --> 00:13:39.360]   We will be evaluating your work based on the extent to which you
[00:13:39.360 --> 00:13:42.040]   try original creative things not
[00:13:42.040 --> 00:13:44.480]   on the underlying performance of the systems.
[00:13:44.480 --> 00:13:47.560]   This is not so much about being at the top of the leaderboard,
[00:13:47.560 --> 00:13:49.320]   although I grant that that's exciting.
[00:13:49.320 --> 00:13:52.160]   It is more about creative exploration with
[00:13:52.160 --> 00:13:56.200]   code and with data and with modeling techniques.
[00:13:56.200 --> 00:13:59.840]   If you feel uncertain about this question of originality,
[00:13:59.840 --> 00:14:02.000]   I would encourage you to interact with the course team.
[00:14:02.000 --> 00:14:03.960]   They'll give you guidance about whether something is
[00:14:03.960 --> 00:14:06.160]   original enough and maybe suggest
[00:14:06.160 --> 00:14:09.760]   new avenues if they feel that you should be doing more.
[00:14:09.760 --> 00:14:12.480]   One technical note about this,
[00:14:12.480 --> 00:14:15.720]   you'll notice that in this notebook and in all the assignment notebooks,
[00:14:15.720 --> 00:14:18.640]   there's the original system cell.
[00:14:18.640 --> 00:14:20.960]   Please follow these instructions.
[00:14:20.960 --> 00:14:23.440]   This really amounts to adding a description of
[00:14:23.440 --> 00:14:25.760]   your system and the code for the system
[00:14:25.760 --> 00:14:28.720]   between the start comment and stop comment lines here,
[00:14:28.720 --> 00:14:32.580]   and do not disrupt those two lines. They are crucial.
[00:14:32.580 --> 00:14:34.600]   We want you to do this for a few reasons.
[00:14:34.600 --> 00:14:38.520]   First, technically, your code has to be between these two comments,
[00:14:38.520 --> 00:14:40.640]   so the autograder knows to ignore it.
[00:14:40.640 --> 00:14:43.600]   If you put your original code elsewhere in the notebook,
[00:14:43.600 --> 00:14:46.800]   it might really cause the grade scope autograder to
[00:14:46.800 --> 00:14:49.480]   fail because it doesn't know how to execute your code,
[00:14:49.480 --> 00:14:52.200]   it doesn't have libraries you need, and so forth.
[00:14:52.200 --> 00:14:55.880]   In addition, we really value these textual descriptions,
[00:14:55.880 --> 00:14:59.720]   and the descriptions are especially important if you tried a bunch of
[00:14:59.720 --> 00:15:02.800]   different things and decided to reject those options
[00:15:02.800 --> 00:15:05.560]   in favor of maybe a simple looking original system.
[00:15:05.560 --> 00:15:09.000]   You want to get credit for all that exploratory work that you
[00:15:09.000 --> 00:15:12.920]   did and you can get that only if you describe the work to us.
[00:15:12.920 --> 00:15:15.920]   Take advantage of the textual description of
[00:15:15.920 --> 00:15:20.600]   the system to get full credit for all of your efforts.
[00:15:20.600 --> 00:15:23.600]   Having developed the original system,
[00:15:23.600 --> 00:15:25.860]   you're going to enter it into the bake-off.
[00:15:25.860 --> 00:15:29.660]   This really amounts to grabbing some new unlabeled examples,
[00:15:29.660 --> 00:15:32.260]   and running your system on those examples.
[00:15:32.260 --> 00:15:35.200]   In a bit more detail, you can see here that you load in
[00:15:35.200 --> 00:15:40.400]   the unlabeled examples and then the task is to add a new column called prediction.
[00:15:40.400 --> 00:15:42.720]   Make sure it's called prediction and make sure
[00:15:42.720 --> 00:15:44.720]   it consists of strings positive,
[00:15:44.720 --> 00:15:47.200]   negative, or neutral. Those are your predictions.
[00:15:47.200 --> 00:15:51.400]   Once you've done that, you write that to disk as a file with this name,
[00:15:51.400 --> 00:15:53.240]   and then you upload it to Gradescope,
[00:15:53.240 --> 00:15:56.600]   and we'll have a leaderboard that shows you how people did.
[00:15:56.600 --> 00:16:01.240]   Make sure when you submit to Gradescope that you submit files with these two names.
[00:16:01.240 --> 00:16:03.640]   It's really important that you keep those names.
[00:16:03.640 --> 00:16:06.680]   The autograder is looking for files with these names,
[00:16:06.680 --> 00:16:08.360]   and if it fails to find them,
[00:16:08.360 --> 00:16:11.000]   it will report that you didn't get any credit.
[00:16:11.000 --> 00:16:14.680]   Make sure you use those file names and then you should be all set.
[00:16:14.680 --> 00:16:16.720]   This is really exciting stuff.
[00:16:16.720 --> 00:16:18.360]   You've developed an original system,
[00:16:18.360 --> 00:16:20.600]   you run it on these unlabeled examples.
[00:16:20.600 --> 00:16:23.420]   When everyone has submitted all of their systems,
[00:16:23.420 --> 00:16:25.440]   we'll reveal everyone's scores,
[00:16:25.440 --> 00:16:30.380]   and then the teaching team will do a report reflecting back to all of you,
[00:16:30.380 --> 00:16:33.480]   what people did, what worked, and what didn't.
[00:16:33.480 --> 00:16:36.720]   That is often the most exciting part of this intellectually,
[00:16:36.720 --> 00:16:39.000]   because you get this wonderful look at
[00:16:39.000 --> 00:16:41.480]   all the creative and original things people tried.
[00:16:41.480 --> 00:16:43.600]   Some of them were blazing successes,
[00:16:43.600 --> 00:16:45.400]   some of them failed miserably.
[00:16:45.400 --> 00:16:51.600]   All of that is incredibly instructive about how to do problems like this one even better.
[00:16:51.600 --> 00:16:55.880]   That's the most exciting and informative part of this whole experience for me.
[00:16:55.880 --> 00:16:58.800]   Go forth, try creative ambitious things,
[00:16:58.800 --> 00:17:01.840]   and we will all learn from the results.
[00:17:01.840 --> 00:17:10.420]   [BLANK_AUDIO]

