
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:01:46.360 --> 00:01:48.400]   It was like, what is it gonna take to get better?
[00:01:48.400 --> 00:01:50.440]   You did everything that was required.
[00:01:50.440 --> 00:01:54.120]   You didn't necessarily like the 6 a.m.'s in the sand.
[00:01:55.080 --> 00:01:56.680]   - You're getting up early like that, yeah.
[00:01:56.680 --> 00:02:00.240]   - But, yeah, and then, you get to the,
[00:02:00.240 --> 00:02:02.720]   everything's going well.
[00:02:02.720 --> 00:02:06.520]   And then, I remember we get to that first game, right?
[00:02:06.520 --> 00:02:09.840]   And then, just something was off.
[00:02:09.840 --> 00:02:12.600]   And I remember you saying that you couldn't go.
[00:02:12.600 --> 00:02:15.520]   And then, we go through that whole situation, right?
[00:02:15.520 --> 00:02:19.920]   Where, right before your first game of college basketball,
[00:02:19.920 --> 00:02:22.120]   due to the injury, you couldn't play.
[00:02:22.120 --> 00:02:26.000]   And then, we have the ups and downs and ups and downs
[00:02:26.000 --> 00:02:28.760]   to trying to get you back out there on the court,
[00:02:28.760 --> 00:02:30.000]   trying to get you ready for, really,
[00:02:30.000 --> 00:02:31.600]   the next level at that point.
[00:02:31.600 --> 00:02:34.400]   And then, you had that desire to come back.
[00:02:34.400 --> 00:02:37.160]   So, you came back and played in the NCAA tournament game
[00:02:37.160 --> 00:02:38.560]   against Florida State, right?
[00:02:38.560 --> 00:02:39.400]   I think is who you played against.
[00:02:39.400 --> 00:02:40.320]   - Yeah, no, I came back against--
[00:02:40.320 --> 00:02:41.160]   - Was it Georgia?
[00:02:41.160 --> 00:02:42.680]   - I came back against Georgia. - Georgia.
[00:02:42.680 --> 00:02:44.840]   - In the SEC tournament, then Florida State.
[00:02:44.840 --> 00:02:47.280]   - Florida State in the NCAA tournament.
[00:02:47.280 --> 00:02:51.360]   So, there were a lot of ups and downs
[00:02:51.360 --> 00:02:55.480]   in between, but through that whole process,
[00:02:55.480 --> 00:02:57.560]   you and I formed a really good relationship.
[00:02:57.560 --> 00:03:01.200]   And we stayed in contact and kept working together
[00:03:01.200 --> 00:03:05.440]   after you left to go to the NBA.
[00:03:05.440 --> 00:03:07.400]   And then, shoot, here we are now.
[00:03:07.400 --> 00:03:08.240]   - Yeah.
[00:03:08.240 --> 00:03:12.160]   So, going back to that time,
[00:03:12.160 --> 00:03:13.400]   you being a young strength coach,
[00:03:13.400 --> 00:03:16.600]   you were like boys with a lot of the players, you know?
[00:03:16.600 --> 00:03:20.200]   What was, you tell me sometimes about how, like,
[00:03:20.200 --> 00:03:22.120]   we would be going out, not you,
[00:03:22.120 --> 00:03:23.440]   but, like, some of us would be going out,
[00:03:23.440 --> 00:03:27.400]   but you would have, like, a fake Snapchat,
[00:03:27.400 --> 00:03:29.560]   like, acting like you was, like, a girl,
[00:03:29.560 --> 00:03:34.560]   to, like, add the players to, like, see what we were on.
[00:03:34.560 --> 00:03:36.920]   Explain your motive behind that.
[00:03:36.920 --> 00:03:41.920]   - Yeah, so, there was, I mean, you just have to get,
[00:03:41.920 --> 00:03:43.680]   I had to get creative, right?
[00:03:43.680 --> 00:03:47.320]   Because I think part of my responsibility
[00:03:47.320 --> 00:03:50.040]   as the strength and conditioning coach at that time
[00:03:50.040 --> 00:03:51.880]   was just to make sure that you guys
[00:03:51.880 --> 00:03:55.280]   were putting yourselves in position to be successful,
[00:03:55.280 --> 00:03:57.200]   to be your eyes and ears for things
[00:03:57.200 --> 00:04:00.480]   that you might not know that could happen,
[00:04:00.480 --> 00:04:02.640]   that are happening out in the world,
[00:04:02.640 --> 00:04:06.240]   and just be as protective or as helpful as I can.
[00:04:06.240 --> 00:04:08.800]   And a part of that was understanding
[00:04:08.800 --> 00:04:10.200]   how you guys were moving around
[00:04:10.200 --> 00:04:11.400]   on the streets in the weekends.
[00:04:11.400 --> 00:04:16.400]   So, whether it was having a burner account on Snap
[00:04:16.760 --> 00:04:19.880]   or having a burner account on IG,
[00:04:19.880 --> 00:04:21.840]   or even, you know, there were times
[00:04:21.840 --> 00:04:26.560]   where befriending you all's significant others, right?
[00:04:26.560 --> 00:04:27.600]   And you're saying, "Coach Nick,
[00:04:27.600 --> 00:04:29.720]   "I can't believe Michael would do this,"
[00:04:29.720 --> 00:04:31.760]   or, "I can't believe Blake would do this,"
[00:04:31.760 --> 00:04:33.520]   and this and that and this and that.
[00:04:33.520 --> 00:04:35.320]   You know, it was, by any means necessary,
[00:04:35.320 --> 00:04:38.160]   just keeping an eye in the air to the streets
[00:04:38.160 --> 00:04:39.760]   and figuring out, you know,
[00:04:39.760 --> 00:04:42.760]   how y'all were moving on the weekends and during the week.
[00:04:42.760 --> 00:04:46.680]   - Yeah, that's funny, that's hilarious to talk about.
[00:04:46.680 --> 00:04:49.720]   So, yeah, you have a very, I'd say,
[00:04:49.720 --> 00:04:51.040]   like a protective nature
[00:04:51.040 --> 00:04:53.320]   about your protective personality.
[00:04:53.320 --> 00:04:58.320]   One story in particular that I think is interesting
[00:04:58.320 --> 00:05:02.440]   is the story about your younger sister.
[00:05:02.440 --> 00:05:03.440]   - Yeah. - And you talked,
[00:05:03.440 --> 00:05:06.280]   you told me one time about how your younger sister,
[00:05:06.280 --> 00:05:08.720]   she was, I think it was her roommate's boyfriend
[00:05:08.720 --> 00:05:12.480]   or something, and her roommate's boyfriend, like,
[00:05:12.480 --> 00:05:14.560]   disrespected your sister,
[00:05:14.560 --> 00:05:16.400]   and you said you and your brother flew all the way
[00:05:16.400 --> 00:05:18.720]   to, I think-- - West Lafayette, Indiana.
[00:05:18.720 --> 00:05:20.640]   - Oh, yeah, Indiana to check him.
[00:05:20.640 --> 00:05:21.760]   What was that story?
[00:05:21.760 --> 00:05:22.880]   What happened there?
[00:05:22.880 --> 00:05:24.920]   Have you always kind of had a protective nature?
[00:05:24.920 --> 00:05:28.200]   Was that just something you grew up with, or what, you know?
[00:05:28.200 --> 00:05:31.280]   - Yeah, because, I mean, early on, it comes from our father.
[00:05:31.280 --> 00:05:34.040]   I'm one of seven.
[00:05:34.040 --> 00:05:37.600]   I have an older brother, and then I have five sisters.
[00:05:37.600 --> 00:05:40.920]   And, I mean, we came from very humble beginnings.
[00:05:40.920 --> 00:05:43.840]   My pops moved around in the streets,
[00:05:43.840 --> 00:05:46.760]   so he taught us some of those lessons
[00:05:46.760 --> 00:05:48.440]   and some of the things that were necessary
[00:05:48.440 --> 00:05:50.920]   for us to survive in the streets
[00:05:50.920 --> 00:05:53.400]   and to protect our sisters and protect our mom
[00:05:53.400 --> 00:05:55.840]   was the number one priority.
[00:05:55.840 --> 00:05:59.080]   You know, even from a young age, I can remember me and G,
[00:05:59.080 --> 00:06:01.920]   Gary, my older brother, were very, very young,
[00:06:01.920 --> 00:06:04.240]   and my dad would always say, "When he's gone,
[00:06:04.240 --> 00:06:06.200]   "my brother's the man of the house,
[00:06:06.200 --> 00:06:08.080]   "and then it's my job to help my brother
[00:06:08.080 --> 00:06:08.960]   "be in the man of the house,
[00:06:08.960 --> 00:06:10.760]   "protect my mom and my sisters."
[00:06:10.800 --> 00:06:14.960]   So, from a young age, pops ingrained that in us
[00:06:14.960 --> 00:06:16.160]   over and over and over.
[00:06:16.160 --> 00:06:18.960]   So, I mean, when we didn't know what else to do,
[00:06:18.960 --> 00:06:20.800]   we knew that our responsibility
[00:06:20.800 --> 00:06:23.600]   was always to protect our mom and our sisters.
[00:06:23.600 --> 00:06:24.920]   And that was just an instance
[00:06:24.920 --> 00:06:28.120]   where my little sister, she was in college,
[00:06:28.120 --> 00:06:31.120]   and I remember getting that phone call.
[00:06:31.120 --> 00:06:33.640]   She called my brother and I, and she was crying,
[00:06:33.640 --> 00:06:34.840]   and then she started going off.
[00:06:34.840 --> 00:06:36.480]   My sister's very independent,
[00:06:36.480 --> 00:06:38.280]   so if she's to the point to where she's crying,
[00:06:38.280 --> 00:06:40.720]   you know something's going down.
[00:06:40.720 --> 00:06:42.360]   And I guess she had a confrontation
[00:06:42.360 --> 00:06:44.480]   with a roommate's boyfriend.
[00:06:44.480 --> 00:06:47.780]   A roommate's boyfriend has some choice words.
[00:06:47.780 --> 00:06:50.880]   So, my brother and I already knew what it was.
[00:06:50.880 --> 00:06:52.360]   - Nah, we need some circumstance.
[00:06:52.360 --> 00:06:56.200]   - So, I mean, it was essentially a situation
[00:06:56.200 --> 00:06:59.840]   where we hopped on a plane, went to West Lafayette.
[00:06:59.840 --> 00:07:01.340]   There was a confrontation.
[00:07:01.340 --> 00:07:03.520]   - With him directly?
[00:07:03.520 --> 00:07:04.480]   - Yeah. - Oh, really?
[00:07:04.480 --> 00:07:05.320]   - Yeah, yeah, yeah.
[00:07:05.320 --> 00:07:08.480]   And then, post-confrontation, all of his things
[00:07:08.480 --> 00:07:10.320]   were packed up in black trash bags
[00:07:10.320 --> 00:07:11.520]   and put on the street corner,
[00:07:11.520 --> 00:07:15.040]   and that was the last time they had communication with him.
[00:07:15.040 --> 00:07:17.160]   One of those type situations, so.
[00:07:17.160 --> 00:07:19.760]   - I like it, I like it, I like it.
[00:07:19.760 --> 00:07:23.000]   Nah, I can't think of any times I've really had to,
[00:07:23.000 --> 00:07:24.400]   you know, both my sisters are older,
[00:07:24.400 --> 00:07:26.160]   but I can't remember any times
[00:07:26.160 --> 00:07:28.360]   me and my brothers have had to,
[00:07:28.360 --> 00:07:30.280]   but we'd be on the same type of time, for sure.
[00:07:30.280 --> 00:07:31.120]   - Yeah.
[00:07:31.120 --> 00:07:33.320]   - Again, switching gears a little bit,
[00:07:33.320 --> 00:07:38.280]   I wanna get into this book that you recently wrote.
[00:07:38.280 --> 00:07:39.120]   - Yeah.
[00:07:39.120 --> 00:07:39.960]   - So, you wrote a book.
[00:07:39.960 --> 00:07:41.280]   First of all, what was your motivation
[00:07:41.280 --> 00:07:44.320]   behind writing the book, and what is it about?
[00:07:44.320 --> 00:07:46.960]   - Yeah, so it was, shoot,
[00:07:46.960 --> 00:07:50.960]   over the last 14, 15 years, right,
[00:07:50.960 --> 00:07:53.760]   working with collegiate athletes,
[00:07:53.760 --> 00:07:55.260]   working with professional athletes,
[00:07:55.260 --> 00:07:58.000]   working with businessmen and businesswomen,
[00:07:58.000 --> 00:08:01.800]   you see people who reach this pinnacle of success,
[00:08:01.800 --> 00:08:03.840]   of what we define as success,
[00:08:03.840 --> 00:08:07.160]   but behind the scenes, they still, for some reason,
[00:08:07.160 --> 00:08:09.600]   are never able to find peace.
[00:08:09.600 --> 00:08:12.960]   So, like, that concept just,
[00:08:12.960 --> 00:08:14.740]   I almost became obsessed with it.
[00:08:14.740 --> 00:08:16.520]   So, I challenged myself.
[00:08:16.520 --> 00:08:20.040]   I was like, for the next year, every single day,
[00:08:20.040 --> 00:08:23.600]   I had to spend an hour a day studying peace
[00:08:23.600 --> 00:08:25.960]   to really figure out what it was,
[00:08:25.960 --> 00:08:29.640]   how do you find it, how do you help people achieve it,
[00:08:29.640 --> 00:08:32.600]   and then I ended up, it was over a year straight,
[00:08:32.600 --> 00:08:34.840]   over a year, 365 days straight,
[00:08:34.840 --> 00:08:37.400]   where I studied peace and it kept going,
[00:08:37.400 --> 00:08:41.980]   but through that study, I came to realize that order,
[00:08:41.980 --> 00:08:45.800]   the word order, order was a prerequisite to peace.
[00:08:45.800 --> 00:08:50.040]   So, when people are able to find order in their lives,
[00:08:50.040 --> 00:08:53.880]   then that sets them up to have peace, right?
[00:08:53.880 --> 00:08:56.000]   And that word peace, if you look at it,
[00:08:56.000 --> 00:08:57.480]   if you look at the etymology of it,
[00:08:57.480 --> 00:08:59.840]   it's so rich in meaning.
[00:08:59.840 --> 00:09:02.080]   It means wholeness, it means health,
[00:09:02.080 --> 00:09:04.960]   it means prosperity, which means to move forward.
[00:09:04.960 --> 00:09:06.920]   It means protection, it means completion.
[00:09:06.920 --> 00:09:09.480]   So, when you have order in your life,
[00:09:09.480 --> 00:09:12.280]   you set yourself up to have a healthier life,
[00:09:12.280 --> 00:09:15.360]   to have a more prosperous life, to have all these things.
[00:09:15.360 --> 00:09:18.300]   So, it was just through my studies,
[00:09:18.300 --> 00:09:21.280]   through experience in life with guys like you
[00:09:21.280 --> 00:09:23.560]   and seeing this struggle to find peace
[00:09:23.560 --> 00:09:26.320]   and finding out that order was a prerequisite,
[00:09:26.320 --> 00:09:28.720]   I was like, yo, this is something
[00:09:28.720 --> 00:09:30.800]   that I want to share with others,
[00:09:30.800 --> 00:09:34.200]   specifically people who are in your situation.
[00:09:34.200 --> 00:09:36.300]   So, I knew from the beginning,
[00:09:36.300 --> 00:09:39.100]   it wasn't gonna be a traditional book,
[00:09:39.100 --> 00:09:44.100]   but I've been practicing journaling for over 10 years now,
[00:09:44.100 --> 00:09:45.160]   and then it clicked.
[00:09:45.160 --> 00:09:48.000]   It was like, well, I believe in the,
[00:09:48.000 --> 00:09:50.320]   there's this concept called instinctive elaboration,
[00:09:50.320 --> 00:09:52.140]   where if you ask a questions,
[00:09:52.140 --> 00:09:55.560]   questions for even a quick second, hijack the brain,
[00:09:55.560 --> 00:09:57.840]   and you have an opportunity to be introspective
[00:09:57.840 --> 00:09:59.880]   and to just practice self-examination.
[00:09:59.880 --> 00:10:02.040]   So, the way that I decided to do it
[00:10:02.040 --> 00:10:07.040]   is to ask a series of 17 very introspective questions
[00:10:07.040 --> 00:10:09.640]   to where you have to look yourself in the mirror.
[00:10:09.640 --> 00:10:13.920]   And the hope is that as you find your identity
[00:10:13.920 --> 00:10:16.580]   over the course of answering those seven questions
[00:10:16.580 --> 00:10:19.340]   and start to establish order in your life,
[00:10:19.340 --> 00:10:22.120]   then that's where you can really start to walk in the peace
[00:10:22.120 --> 00:10:23.840]   that we should all be walking in.
[00:10:23.840 --> 00:10:24.840]   - Right. - Yeah.
[00:10:24.840 --> 00:10:28.840]   - So, peace, identity, all these words that you're using,
[00:10:28.840 --> 00:10:32.240]   I feel like are words that are super important
[00:10:32.240 --> 00:10:34.880]   to a person of faith, a person of God.
[00:10:34.880 --> 00:10:36.840]   I feel like people that kind of are in the world
[00:10:36.840 --> 00:10:39.320]   trying to do what the world is doing,
[00:10:39.320 --> 00:10:42.060]   their goals would be more happiness,
[00:10:42.060 --> 00:10:44.200]   or their goals would be more pleasure,
[00:10:44.200 --> 00:10:46.320]   but you used the word peace.
[00:10:46.320 --> 00:10:50.560]   So, how would you say peace differs from happiness?
[00:10:50.560 --> 00:10:52.120]   'Cause you said like,
[00:10:52.120 --> 00:10:54.360]   you found that even some of the most successful people,
[00:10:54.360 --> 00:10:55.880]   they were lacking in peace,
[00:10:55.880 --> 00:10:57.000]   which is something I've seen too.
[00:10:57.000 --> 00:10:58.560]   Some of the most happiest people,
[00:10:58.560 --> 00:11:00.800]   most famous people, most rich people,
[00:11:00.800 --> 00:11:02.720]   peace is the thing that they're lacking,
[00:11:02.720 --> 00:11:05.960]   but it's also the thing that they don't know how to find.
[00:11:05.960 --> 00:11:10.020]   So, how would you say peace differs from happiness?
[00:11:10.020 --> 00:11:11.680]   - Well, I would say that,
[00:11:11.680 --> 00:11:14.160]   obviously happiness is an emotion.
[00:11:14.160 --> 00:11:16.040]   One of the words that pops in my mind
[00:11:16.040 --> 00:11:17.200]   that's synonymous with peace,
[00:11:17.200 --> 00:11:18.440]   if you look at the, like I said,
[00:11:18.440 --> 00:11:21.920]   the etymology of that word peace is fulfillment, right?
[00:11:21.920 --> 00:11:24.120]   You see people all the time who are quote unquote
[00:11:24.120 --> 00:11:26.440]   at this pinnacle of success,
[00:11:26.440 --> 00:11:30.120]   and then they're depressed, or they're committing suicide,
[00:11:30.120 --> 00:11:33.000]   or they're lacking fulfillment.
[00:11:33.000 --> 00:11:35.960]   That word peace to be complete, to be whole,
[00:11:35.960 --> 00:11:40.960]   fulfillment is something that alludes so many people.
[00:11:40.960 --> 00:11:44.460]   So, whether you wanna think of it as the word peace,
[00:11:44.460 --> 00:11:46.360]   or even wellness, or fulfillment,
[00:11:46.360 --> 00:11:49.120]   I think all of us were placed on this earth
[00:11:49.120 --> 00:11:51.320]   to fulfill something,
[00:11:51.320 --> 00:11:53.320]   and that's why I use the word identity,
[00:11:53.320 --> 00:11:55.520]   because you have to know who you are,
[00:11:55.520 --> 00:11:57.020]   and what your identity is,
[00:11:57.020 --> 00:11:58.400]   and what you were placed here to do
[00:11:58.400 --> 00:11:59.640]   in order to fulfill that.
[00:11:59.640 --> 00:12:02.760]   So, you can make a billion dollars,
[00:12:02.760 --> 00:12:06.200]   but not be doing the thing that you were created to do,
[00:12:06.200 --> 00:12:07.680]   and you don't have fulfillment.
[00:12:07.680 --> 00:12:09.600]   You can be the best CEO,
[00:12:09.600 --> 00:12:13.400]   but at home, your life is in turmoil, right?
[00:12:13.400 --> 00:12:17.840]   Because you focus so much on the professional accolades
[00:12:17.840 --> 00:12:22.840]   that you forgot that you had a wife and kids at home.
[00:12:22.920 --> 00:12:25.480]   You know, it's interesting you asked that question.
[00:12:25.480 --> 00:12:26.880]   I saw a quote the other day.
[00:12:26.880 --> 00:12:30.620]   It said that in 20 years from now,
[00:12:30.620 --> 00:12:33.240]   the only person or the only people
[00:12:33.240 --> 00:12:36.100]   that are gonna remember that you worked overtime
[00:12:36.100 --> 00:12:37.800]   are your kids.
[00:12:37.800 --> 00:12:39.440]   And that hit me differently, right?
[00:12:39.440 --> 00:12:41.520]   Because you see, I see it all the time,
[00:12:41.520 --> 00:12:44.160]   these people who grind, grind, grind, grind, grind,
[00:12:44.160 --> 00:12:47.760]   they work, work, work, and they find something,
[00:12:47.760 --> 00:12:50.480]   what I think they do is they reach an achievement,
[00:12:50.480 --> 00:12:51.600]   it's not success.
[00:12:51.600 --> 00:12:53.980]   Because success can't just be external,
[00:12:53.980 --> 00:12:55.280]   it can't just be money.
[00:12:55.280 --> 00:12:56.600]   There's two parts to success,
[00:12:56.600 --> 00:12:59.040]   there's the internal part and the external part.
[00:12:59.040 --> 00:13:02.120]   So, yes, there's the joy and the happiness and all that,
[00:13:02.120 --> 00:13:03.640]   but you don't wanna have that and be broke.
[00:13:03.640 --> 00:13:06.400]   So, I think that that's why I love the word fulfillment
[00:13:06.400 --> 00:13:09.080]   is because I'm having professional success,
[00:13:09.080 --> 00:13:11.040]   but I'm also having personal success,
[00:13:11.040 --> 00:13:13.900]   relational success, psychological success,
[00:13:13.900 --> 00:13:16.700]   so it's like the whole complete picture coming together.
[00:13:16.700 --> 00:13:20.120]   - From my experience, and I don't know what you think,
[00:13:20.120 --> 00:13:23.560]   peace is something that, like it talks in the Bible
[00:13:23.560 --> 00:13:26.120]   about it's something you search for,
[00:13:26.120 --> 00:13:28.440]   but then it's something that you work to keep,
[00:13:28.440 --> 00:13:30.680]   like you work to maintain peace.
[00:13:30.680 --> 00:13:32.840]   So, it's something that can come and go.
[00:13:32.840 --> 00:13:35.660]   What are the main ways, I mean, you talk about order,
[00:13:35.660 --> 00:13:37.900]   but what are the practical ways
[00:13:37.900 --> 00:13:41.000]   you think that you can maintain peace?
[00:13:41.000 --> 00:13:44.120]   Do you think it's the routine, it's the habits,
[00:13:44.120 --> 00:13:46.240]   or it's waking up early?
[00:13:46.240 --> 00:13:48.960]   What do you think, if you had to give a few practical ways
[00:13:48.960 --> 00:13:50.080]   where you can maintain peace,
[00:13:50.080 --> 00:13:53.000]   regardless of the ups and downs of life?
[00:13:53.000 --> 00:13:55.600]   - Number one, find your identity.
[00:13:55.600 --> 00:13:59.360]   I think that everything that is set apart
[00:13:59.360 --> 00:14:02.380]   or set aside for you is in your identity,
[00:14:02.380 --> 00:14:05.260]   because when you find out who you are,
[00:14:05.260 --> 00:14:08.200]   then you'll find out why you're here,
[00:14:08.200 --> 00:14:11.880]   and then that's where you start to prioritize your time
[00:14:11.880 --> 00:14:14.020]   and your effort towards that, right?
[00:14:14.020 --> 00:14:15.600]   So, I think identity is,
[00:14:15.600 --> 00:14:18.080]   finding your identity is so important.
[00:14:18.080 --> 00:14:20.600]   I think we're suffering from an identity crisis in the world
[00:14:20.600 --> 00:14:24.840]   because everybody is putting on these false identities,
[00:14:24.840 --> 00:14:29.000]   especially guys like you, you have fans telling you,
[00:14:29.000 --> 00:14:30.240]   this is who you're supposed to be.
[00:14:30.240 --> 00:14:31.380]   You have friends telling you,
[00:14:31.380 --> 00:14:32.520]   this is who you're supposed to be.
[00:14:32.520 --> 00:14:34.480]   You have an organization telling you,
[00:14:34.480 --> 00:14:35.580]   this is who you're supposed to be.
[00:14:35.580 --> 00:14:37.560]   You have a family telling you,
[00:14:37.560 --> 00:14:39.380]   this is who you're supposed to be.
[00:14:39.380 --> 00:14:40.700]   But it's like, at what point
[00:14:40.700 --> 00:14:42.600]   do you actually find that identity?
[00:14:42.600 --> 00:14:44.480]   Me being a believer,
[00:14:44.480 --> 00:14:46.800]   I believe that we get our identity from God.
[00:14:46.800 --> 00:14:49.760]   I believe in this concept of original intent,
[00:14:49.760 --> 00:14:52.560]   where it's like he originally intended for us
[00:14:52.560 --> 00:14:55.400]   to be something, to do something,
[00:14:55.400 --> 00:14:57.080]   to expand his kingdom on earth.
[00:14:57.080 --> 00:14:58.600]   So, I think that everything starts
[00:14:58.600 --> 00:15:01.480]   with finding the right identity.
[00:15:01.480 --> 00:15:03.240]   I think the second thing is making sure
[00:15:03.240 --> 00:15:05.840]   that you have the right influences around you,
[00:15:05.840 --> 00:15:09.360]   because who you're with and who you're around
[00:15:09.360 --> 00:15:12.800]   will significantly impact the decisions you make.
[00:15:12.800 --> 00:15:15.160]   Interesting thing about that,
[00:15:15.160 --> 00:15:17.720]   I had a conversation probably about a year ago
[00:15:17.720 --> 00:15:20.840]   with a guy by the name of Dr. Mehran Serf.
[00:15:20.840 --> 00:15:23.120]   He's a world-renowned neuroscientist.
[00:15:23.120 --> 00:15:25.240]   I was actually listening to the playback
[00:15:25.240 --> 00:15:27.080]   of our conversation this morning.
[00:15:27.080 --> 00:15:29.000]   And one of the things that he talked about,
[00:15:29.000 --> 00:15:32.640]   his big thing is human behavior and changing human behavior.
[00:15:32.640 --> 00:15:34.240]   And he said that one of the biggest things
[00:15:34.240 --> 00:15:36.960]   that you can do to impact human behavior
[00:15:36.960 --> 00:15:39.800]   is this concept of proximity, right?
[00:15:39.800 --> 00:15:42.200]   He said that the brain actually has the ability
[00:15:42.200 --> 00:15:44.160]   to learn through osmosis.
[00:15:44.160 --> 00:15:45.880]   So, the example he gave me, he was like,
[00:15:45.880 --> 00:15:47.760]   "If you wanna be a better comedian,
[00:15:47.760 --> 00:15:50.120]   you can go read a book about a thousand jokes,
[00:15:50.120 --> 00:15:52.000]   or you can go spend time with a comedian.
[00:15:52.000 --> 00:15:53.720]   And if you go spend time with a comedian
[00:15:53.720 --> 00:15:55.840]   because you're in proximity to them,
[00:15:55.840 --> 00:15:57.680]   you'll learn how to be a comedian."
[00:15:57.680 --> 00:16:00.500]   So, I think identity, I think influence,
[00:16:00.500 --> 00:16:03.960]   I think instructions, I'm big.
[00:16:03.960 --> 00:16:07.160]   So, instructions for me are just like those habits
[00:16:07.160 --> 00:16:09.120]   and those principles and those things
[00:16:09.120 --> 00:16:11.280]   that we live by that guide us.
[00:16:11.280 --> 00:16:14.560]   You know me, I'm big on habits, I'm big on discipline.
[00:16:14.560 --> 00:16:16.320]   So, I think that making sure
[00:16:16.320 --> 00:16:19.360]   that you're following some type of principles
[00:16:19.360 --> 00:16:22.220]   and you're willing to stick to those principles,
[00:16:22.220 --> 00:16:24.720]   I think that those things lead to peace.
[00:16:24.720 --> 00:16:25.680]   And then there's additionally,
[00:16:25.680 --> 00:16:27.600]   there's a scripture in the Bible that also says,
[00:16:27.600 --> 00:16:30.680]   "Wisdom's paths are peace."
[00:16:30.680 --> 00:16:35.000]   So, when you practice wisdom, then that path leads to peace.
[00:16:35.000 --> 00:16:36.880]   So, I think that it's important
[00:16:36.880 --> 00:16:39.320]   that you're following the right instructions
[00:16:39.320 --> 00:16:42.320]   and your principles and you're applying those principles.
[00:16:42.320 --> 00:16:45.080]   And when you apply them, you'll have peace, excuse me.
[00:16:45.080 --> 00:16:50.080]   So, identity, influence, and instructions.
[00:16:50.080 --> 00:16:52.120]   - Yeah, I mean, I think in my life,
[00:16:52.120 --> 00:16:54.680]   when I've applied those things,
[00:16:54.680 --> 00:16:57.240]   sometimes better, sometimes worse.
[00:16:57.240 --> 00:16:58.840]   But when I'm doing them consistently,
[00:16:58.840 --> 00:16:59.840]   that's when I have most peace,
[00:16:59.840 --> 00:17:03.160]   regardless of the good games, the bad games.
[00:17:03.160 --> 00:17:05.480]   But like you said, I feel like our culture
[00:17:05.480 --> 00:17:07.800]   and a lot of young people, you know,
[00:17:07.800 --> 00:17:09.360]   it's an identity crisis.
[00:17:09.360 --> 00:17:14.360]   I feel like even the people that are doing these things,
[00:17:14.360 --> 00:17:17.800]   maybe they are using Instagram
[00:17:17.800 --> 00:17:19.680]   and that's their whole job or whatever.
[00:17:19.680 --> 00:17:20.920]   I just feel like there's a lot of people
[00:17:20.920 --> 00:17:22.520]   that are doing things in life right now
[00:17:22.520 --> 00:17:24.680]   that don't align with their purpose.
[00:17:24.680 --> 00:17:26.520]   Like you said, you believe everyone
[00:17:26.520 --> 00:17:28.680]   was put on here for a purpose.
[00:17:28.680 --> 00:17:33.040]   So, how do you think you find your purpose?
