
[00:00:00.000 --> 00:00:06.100]   The following is a conversation with Terence Tao, widely considered to be one of the greatest
[00:08:34.860 --> 00:08:35.380]   Yes.
[00:08:35.380 --> 00:08:40.020]   Trying to understand how fluid behaves, and it actually turns out to be a really complicated, you know, fluid is
[00:08:40.020 --> 00:08:40.660]   Yeah.
[00:08:40.660 --> 00:08:42.900]   An extremely complicated thing to try to model.
[00:08:42.900 --> 00:08:47.340]   Yeah. So it has practical importance. So this clay prize problem concerns what's called the incompressible Navier-Stokes,
[00:08:47.340 --> 00:08:51.620]   which governs things like water. There's something called the compressible Navier-Stokes, which governs things like air.
[00:08:52.160 --> 00:08:56.520]   And that's particularly important for weather prediction. Weather prediction, it does a lot of computational fluid dynamics.
[00:08:56.520 --> 00:09:00.240]   A lot of it is actually just trying to solve the Navier-Stokes equations as best they can.
[00:09:00.240 --> 00:09:07.100]   Also gathering a lot of data so that they can get, they can initialize the equation. There's a lot of moving parts.
[00:09:07.100 --> 00:09:09.260]   So it's very important from practically.
[00:09:09.260 --> 00:09:17.420]   Why is it difficult to prove general things about the set of equations like it not blowing up?
[00:09:17.540 --> 00:09:24.940]   Short answer is Maxwell's demon. So Maxwell's demon is a concept in thermodynamics. Like if you have a box of two gases in oxygen and nitrogen,
[00:09:24.940 --> 00:09:29.740]   and maybe you start with all the oxygen on one side and nitrogen on the other side, but there's no barrier between them, right?
[00:09:29.740 --> 00:09:35.520]   Then they will mix. And they should stay mixed, right? There's no reason why they should unmix.
[00:09:35.520 --> 00:09:50.800]   But in principle, because of all the collisions between them, there could be some sort of weird conspiracy that, like maybe there's a microscopic demon called Maxwell's demon that will, every time an oxygen and nitrogen atom collide, they will bounce off in such a way that the oxygen sort of drifts onto one side and then nitrogen goes to the other.
[00:09:51.360 --> 00:10:00.520]   So you could have an extremely improbable configuration emerge, which we never see, and statistically, it's extremely unlikely.
[00:10:00.520 --> 00:10:05.480]   But mathematically, it's possible that this can happen, and we can't rule it out.
[00:10:05.480 --> 00:10:09.560]   And this is a situation that shows up a lot in mathematics.
[00:10:09.560 --> 00:10:14.340]   A basic example is the digits of pi, 3.14159 and so forth.
[00:10:14.760 --> 00:10:17.800]   The digits look like they have no pattern, and we believe they have no pattern.
[00:10:17.800 --> 00:10:21.780]   On the long term, you should see as many 1s and 2s and 3s as 4s and 5s and 6s.
[00:10:21.780 --> 00:10:27.000]   There should be no preference in the digits of pi to favor, let's say, 7 over 8.
[00:10:27.000 --> 00:10:35.700]   But maybe there is some demon in the digits of pi that every time you compute more and more digits, it biases one digit to another.
[00:10:35.700 --> 00:10:39.780]   And this is a conspiracy that should not happen.
[00:10:39.780 --> 00:10:43.680]   There's no reason it should happen, but there's no way to prove it.
[00:10:44.600 --> 00:10:45.620]   With our current technology.
[00:10:45.620 --> 00:10:49.580]   Okay, so getting back to Navier-Stokes, a fluid has a certain amount of energy.
[00:10:49.580 --> 00:10:52.440]   And because the fluid is in motion, the energy gets transported around.
[00:10:52.440 --> 00:10:54.720]   And water is also viscous.
[00:10:54.720 --> 00:11:02.980]   So if the energy is spread out over many different locations, the natural viscosity of the fluid will just damp out the energy and it will go to zero.
[00:11:02.980 --> 00:11:09.020]   And this is what happens when we actually experiment with water.
[00:11:09.020 --> 00:11:14.120]   You splash around, there's some turbulence and waves and so forth, but eventually it settles down.
[00:11:14.440 --> 00:11:18.780]   And the lower the amplitude, the smaller the velocity, the more calm it gets.
[00:11:20.000 --> 00:11:26.700]   But potentially there is some sort of demon that keeps pushing the energy of the fluid into a smaller and smaller scale.
[00:11:26.700 --> 00:11:28.280]   And it will move faster and faster.
[00:11:28.280 --> 00:11:31.460]   And at faster speeds, the effect of viscosity is relatively less.
[00:11:31.460 --> 00:11:54.160]   And so it could happen that it creates some sort of self-similar blow-up scenario where the energy of the fluid starts off at some large scale and then it all sort of transfers the energy into a smaller region of the fluid, which then at a much faster rate moves into an even smaller region and so forth.
[00:11:55.540 --> 00:12:07.860]   And each time it does this, it takes maybe half as long as the previous one, and then you could actually converge to all the energy concentrating in one point in a finite amount of time.
[00:12:09.540 --> 00:12:12.400]   And that scenario is called fat and hand blow-up.
[00:12:12.400 --> 00:12:15.280]   So in practice, this doesn't happen.
[00:12:15.280 --> 00:12:17.720]   So water is what's called turbulent.
[00:12:17.720 --> 00:12:23.600]   So it is true that if you have a big eddy of water, it will tend to break up into smaller eddies.
[00:12:23.600 --> 00:12:27.320]   But it won't transfer all the energy from one big eddy into one smaller eddy.
[00:12:27.320 --> 00:12:28.680]   It will transfer into maybe three or four.
[00:12:29.180 --> 00:12:32.120]   And then those ones split up into maybe three or four small eddies of their own.
[00:12:32.120 --> 00:12:37.400]   And so the energy gets dispersed to the point where the viscosity can then keep everything under control.
[00:12:37.400 --> 00:12:50.800]   But if it can somehow concentrate all the energy, keep it all together, and do it fast enough that the viscous effects don't have enough time to calm everything down, then this blow-up can occur.
[00:12:50.920 --> 00:13:02.500]   So there were papers who had claimed that, oh, you just need to take into account conservation of energy and just carefully use the viscosity, and you can keep everything under control for not just Navier-Stokes, but for many, many types of equations like this.
[00:13:02.500 --> 00:13:11.080]   And so in the past, there have been many attempts to try to obtain what's called global regularity for Navier-Stokes, which is the opposite of finite time blow-up, that velocity stays smooth.
[00:13:11.080 --> 00:13:12.540]   And it all failed.
[00:13:12.540 --> 00:13:16.280]   There was always some sign error or some subtle mistake, and it couldn't be salvaged.
[00:13:17.760 --> 00:13:25.360]   So what I was interested in doing was trying to explain why we were not able to disprove finite time blow-up.
[00:13:25.360 --> 00:13:28.400]   I couldn't do it for the actual equations of fluids, which were too complicated.
[00:13:28.400 --> 00:13:38.660]   But if I could average the equations of motion of Navier-Stokes, basically, if I could turn off certain types of ways in which water interacts and only keep the ones that I want.
[00:13:40.100 --> 00:13:58.580]   So in particular, if there's a fluid and it could transfer its energy from a large eddy into this small eddy or this other small eddy, I would turn off the energy channel that would transfer energy to this one and direct it only into this smaller eddy while still preserving the law of conservation of energy.
[00:13:58.580 --> 00:14:00.060]   So you're trying to make a blow-up.
[00:14:00.180 --> 00:14:07.200]   Yeah, so I basically engineer a blow-up by changing volts of physics, which is one thing that mathematicians are allowed to do.
[00:14:07.200 --> 00:14:08.000]   We can change the equation.
[00:14:08.000 --> 00:14:10.620]   How does that help you get closer to the proof of something?
[00:14:10.620 --> 00:14:10.880]   Right.
[00:14:10.880 --> 00:14:13.680]   So it provides what's called an obstruction in mathematics.
[00:14:14.620 --> 00:14:26.480]   So what I did was that, basically, if I turned off certain parts of the equation, which usually when you turn off certain interactions make it less nonlinear, it makes it more regular and less likely to blow up.
[00:14:26.480 --> 00:14:35.860]   But I found that by turning off a very well-designed set of interactions, I could force all the energy to blow up in finite time.
[00:14:36.680 --> 00:14:51.460]   So what that means is that if you wanted to prove global regularity for Navier-Stokes, for the actual equation, you must use some feature of the true equation, which my artificial equation does not satisfy.
[00:14:51.460 --> 00:14:54.740]   So it rules out certain approaches.
[00:14:54.740 --> 00:15:05.060]   So the thing about math is it's not just about taking a technique that is going to work and applying it, but you need to not take the techniques that don't work.
[00:15:06.380 --> 00:15:17.880]   And for the problems that are really hard, often there are dozens of ways that you might think might apply to solve the problem, but it's only after a lot of experience that you realize there's no way that these methods are going to work.
[00:15:17.880 --> 00:15:30.580]   So having these counter examples for nearby problems kind of rules out, it saves you a lot of time because you're not wasting energy on things that you now know cannot possibly ever work.
[00:15:31.060 --> 00:15:37.960]   How deeply connected is it to that specific problem of fluid dynamics, or is it some more general intuition you build up about mathematics?
[00:15:37.960 --> 00:15:38.820]   Right, yeah.
[00:15:38.820 --> 00:15:44.040]   So the key phenomenon that my technique exploits is what's called supercriticality.
[00:15:44.740 --> 00:15:48.980]   So in partial differential equations, often these equations are like a tug of war between different forces.
[00:15:48.980 --> 00:15:57.120]   So in Navier-Stokes, there's the dissipation force coming from viscosity, and it's very well understood, it's linear, it calms things down.
[00:15:57.600 --> 00:16:01.080]   If viscosity was all there was, then nothing bad would ever happen.
[00:16:01.080 --> 00:16:09.800]   But there's also transport, that energy in one location of space can get transported because the fluid is in motion to other locations.
[00:16:10.660 --> 00:16:14.140]   And that's a non-linear effect, and that causes all the problems.
[00:16:14.140 --> 00:16:19.940]   So there are these two competing terms in the Navier-Stokes equation, the dissipation term and the transport term.
[00:16:19.940 --> 00:16:29.800]   If the dissipation term dominates, if it's large, then basically you get regularity, and if the transport term dominates, then we don't know what's going on.
[00:16:29.800 --> 00:16:32.340]   It's a very non-linear situation, it's unpredictable, it's turbulent.
[00:16:32.720 --> 00:16:38.540]   So sometimes these forces are in balance at small scales, but not in balance at large scales, or vice versa.
[00:16:38.540 --> 00:16:41.280]   So Navier-Stokes is what's called supercritical.
[00:16:41.280 --> 00:16:46.240]   So at smaller and smaller scales, the transport terms are much stronger than the viscosity terms.
[00:16:46.240 --> 00:16:53.440]   So the viscosity terms are the things that calm things down, and so this is why the problem is hard.
[00:16:53.440 --> 00:17:00.940]   In two dimensions, so the Soviet Methodician Ladyshynskaya, she, in the 60s, showed in two dimensions there was no blow-up.
[00:17:01.460 --> 00:17:04.180]   And as you mentioned, the Navier-Stokes equation is what's called critical.
[00:17:04.180 --> 00:17:08.900]   The effect of transport and the effect of viscosity are about the same strength, even at very, very small scales.
[00:17:08.900 --> 00:17:14.260]   And we have a lot of technology to handle critical and also subcritical equations and prove regularity.
[00:17:14.260 --> 00:17:17.440]   But for supercritical equations, it was not clear what was going on.
[00:17:17.440 --> 00:17:22.300]   And I did a lot of work, and then there's been a lot of follow-up,
[00:17:22.300 --> 00:17:27.000]   showing that for many other types of supercritical equations, you can create all kinds of blow-up examples.
[00:17:27.000 --> 00:17:30.600]   Once the non-linear effects dominate the linear effects at small scales,
[00:17:30.700 --> 00:17:32.120]   you can have all kinds of bad things happen.
[00:17:32.120 --> 00:17:36.140]   So this is sort of one of the main insights of this line of work,
[00:17:36.140 --> 00:17:40.700]   is that supercriticality versus criticality and subcriticality, this makes a big difference.
[00:17:40.700 --> 00:17:46.360]   I mean, that's a key qualitative feature that distinguishes some equations for being sort of nice and predictable,
[00:17:46.360 --> 00:17:48.140]   and, you know, like planetary motion.
[00:17:48.140 --> 00:17:54.020]   I mean, there's certain equations that you can predict for millions of years, or thousands at least.
[00:17:54.020 --> 00:17:54.840]   Again, it's not really a problem.
[00:17:54.840 --> 00:17:59.760]   But there's a reason why we can't predict the weather past two weeks into the future,
[00:17:59.760 --> 00:18:01.220]   because it's a supercritical equation.
[00:18:01.220 --> 00:18:04.360]   Lots of really strange things are going on at very fine scales.
[00:18:04.940 --> 00:18:13.060]   So whenever there's some huge source of non-linearity that can create a huge problem for predicting what's going to happen.
[00:18:13.060 --> 00:18:13.440]   Yeah.
[00:18:13.440 --> 00:18:17.660]   And if non-linearity is somehow more and more featured and interesting at small scales.
[00:18:18.760 --> 00:18:23.900]   I mean, there's many equations that are non-linear, but in many equations, you can approximate things by the bulk.
[00:18:23.900 --> 00:18:29.780]   So, for example, planetary motion, you know, if you wanted to understand the orbit of the Moon or Mars or something,
[00:18:29.780 --> 00:18:36.200]   you don't really need the microstructure of, like, the seismology of the Moon or, like, exactly how the mass is distributed.
[00:18:36.200 --> 00:18:40.300]   You just, basically, you can almost approximate these planets by point masses.
[00:18:40.300 --> 00:18:43.440]   And just the aggregate behavior is important.
[00:18:43.440 --> 00:18:48.640]   But if you want to model a fluid, like the weather, you can't just say,
[00:18:48.640 --> 00:18:51.240]   in Los Angeles, the temperature is this, the wind speed is this.
[00:18:51.240 --> 00:18:54.440]   For supercritical equations, the fine scale information is really important.
[00:18:54.440 --> 00:18:57.700]   If we can just linger on the Navier-Stokes equations a little bit.
[00:18:57.700 --> 00:19:07.660]   So you've suggested, maybe you can describe it, that one of the ways to solve it or to negatively resolve it
[00:19:07.660 --> 00:19:12.820]   would be to sort of to construct a liquid, a kind of liquid computer.
[00:19:12.820 --> 00:19:18.040]   And then show that the halting problem from computation theory has consequences for fluid dynamics.
[00:19:18.200 --> 00:19:20.740]   So show it in that way.
[00:19:20.740 --> 00:19:22.540]   Can you describe this idea?
[00:19:22.540 --> 00:19:27.400]   Yeah, so this came out of this work of constructing this average equation that blew up.
[00:19:27.400 --> 00:19:33.820]   So as part of how I had to do this, so there's sort of this naive way to do it.
[00:19:33.820 --> 00:19:35.820]   You just keep pushing.
[00:19:35.820 --> 00:19:41.600]   Every time you get energy at one scale, you push it immediately to the next scale as fast as possible.
[00:19:41.600 --> 00:19:44.820]   This is sort of the naive way to force blow up.
[00:19:45.740 --> 00:19:47.360]   It turns out in five and higher dimensions, this works.
[00:19:47.360 --> 00:19:51.020]   But in three dimensions, there was this funny phenomenon that I discovered.
[00:19:51.020 --> 00:19:57.200]   That if you keep, if you change the laws of physics, you just always keep trying to push
[00:19:57.200 --> 00:19:59.960]   the energy into smaller, smaller scales.
[00:19:59.960 --> 00:20:04.680]   What happens is that the energy starts getting spread out into many scales at once.
[00:20:05.600 --> 00:20:11.200]   So you have energy at one scale, you're pushing it into the next scale, and then as soon as
[00:20:11.200 --> 00:20:14.220]   it enters that scale, you also push it to the next scale, but there's still some energy left
[00:20:14.220 --> 00:20:15.520]   over from the previous scale.
[00:20:15.520 --> 00:20:17.280]   You're trying to do everything at once.
[00:20:17.280 --> 00:20:20.100]   And this spreads out the energy too much.
[00:20:20.480 --> 00:20:25.720]   And then it turns out that it makes it vulnerable for viscosity to come in and actually just
[00:20:25.720 --> 00:20:26.540]   damp out everything.
[00:20:26.540 --> 00:20:31.000]   So it turns out this directive motion doesn't actually work.
[00:20:31.000 --> 00:20:35.000]   There was a separate paper by some other authors that actually showed this in three dimensions.
[00:20:36.160 --> 00:20:40.820]   So what I needed was to program a delay, so kind of like airlocks.
[00:20:40.820 --> 00:20:46.940]   So I needed an equation which would start with a fluid doing something at one scale.
[00:20:46.940 --> 00:20:52.720]   It would push this energy into the next scale, but it would stay there until all the energy
[00:20:52.720 --> 00:20:54.460]   from the larger scale got transferred.
[00:20:55.000 --> 00:20:59.700]   And only after you pushed all the energy in, then you sort of open the next gate, and then
[00:20:59.700 --> 00:21:00.960]   you push that in as well.
[00:21:00.960 --> 00:21:06.160]   So by doing that, the energy inches forward scale by scale in such a way that it's always
[00:21:06.160 --> 00:21:08.100]   localized at one scale at a time.
[00:21:08.100 --> 00:21:11.520]   And then it can resist the effects of viscosity because it's not dispersed.
[00:21:11.520 --> 00:21:18.880]   So in order to make that happen, I had to construct a rather complicated non-linearity.
[00:21:19.560 --> 00:21:24.960]   And it was basically like, you know, like it was constructed like an electronic circuit.
[00:21:24.960 --> 00:21:28.620]   So I actually thanked my wife for this because she was trained as an electrical engineer.
[00:21:28.620 --> 00:21:34.920]   And, you know, she talked about, you know, she had to design circuits and so forth.
[00:21:34.920 --> 00:21:38.680]   And, you know, if you want a circuit that does a certain thing, like maybe have a light
[00:21:38.680 --> 00:21:42.940]   that flashes on and then turns off and then on and then off, you can build it from more
[00:21:42.940 --> 00:21:45.480]   primitive components, you know, capacitors and resistors and so forth.
[00:21:45.720 --> 00:21:51.520]   And you have to build a diagram and these diagrams, you can sort of follow with your
[00:21:51.520 --> 00:21:54.880]   eyeballs and say, oh yeah, the current will build up here and then it will stop and then
[00:21:54.880 --> 00:21:55.360]   it will do that.
[00:21:55.360 --> 00:22:00.340]   So I knew how to build the analog of basic electronic components, you know, like resistors and
[00:22:00.340 --> 00:22:01.220]   capacitors and so forth.
[00:22:01.220 --> 00:22:06.400]   And I would stack them together in such a way that I would create something that would open
[00:22:06.400 --> 00:22:08.120]   one gate and then there'd be a clock.
[00:22:08.120 --> 00:22:10.640]   And then once the clock hits a certain threshold, it would close it.
[00:22:10.640 --> 00:22:14.000]   It would become a Rube Goldberg type machine, but described mathematically.
[00:22:14.120 --> 00:22:15.820]   And this ended up working.
[00:22:15.820 --> 00:22:19.900]   So what I realized is that if you could pull the same thing off for the actual equations,
[00:22:19.900 --> 00:22:26.700]   so if the equations of water support a computation, so like if you can imagine kind of a steampunk,
[00:22:26.700 --> 00:22:31.960]   but it's really water punk type of thing where, you know, so modern computers are electronic,
[00:22:31.960 --> 00:22:38.220]   you know, they're powered by electrons passing through very tiny wires and interacting with other
[00:22:38.220 --> 00:22:39.320]   electrons and so forth.
[00:22:39.740 --> 00:22:44.920]   But instead of electrons, you can imagine these pulses of water moving at a certain velocity
[00:22:44.920 --> 00:22:49.520]   and maybe it's the two different configurations corresponding to a bit being up or down.
[00:22:49.520 --> 00:22:55.740]   Probably if you had two of these moving bodies of water collide, they would come out with some
[00:22:55.740 --> 00:22:59.200]   new configuration, which would be something like an AND gate or OR gate.
[00:23:00.200 --> 00:23:04.020]   So the output would depend in a very predictable way on the inputs.
[00:23:04.020 --> 00:23:07.800]   And like you could chain these together and maybe create a Turing machine.
[00:23:07.800 --> 00:23:12.120]   And then you have computers, which are made completely out of water.
[00:23:12.120 --> 00:23:15.180]   And if you have computers, then maybe you can do robotics.
[00:23:15.540 --> 00:23:17.920]   You know, hydraulics and so forth.
[00:23:17.920 --> 00:23:25.160]   And so you could create some machine, which is basically a fluid analog, what's called a
[00:23:25.160 --> 00:23:25.780]   von Neumann machine.
[00:23:25.780 --> 00:23:31.720]   So von Neumann proposed, if you want to colonize Mars, the sheer cost of transporting people and
[00:23:31.720 --> 00:23:32.960]   machines to Mars is just ridiculous.
[00:23:32.960 --> 00:23:38.020]   But if you could transport one machine to Mars, and this machine had the ability to mine the
[00:23:38.020 --> 00:23:45.580]   planet, create some more materials, smelt them, and build more copies of the same machine, then
[00:23:45.580 --> 00:23:47.880]   you could colonize the whole planet over time.
[00:23:47.880 --> 00:23:56.240]   So if you could build a fluid machine, which, yeah, so it's a fluid robot.
[00:23:56.240 --> 00:24:01.800]   And what it would do, its purpose in life, it's programmed so that it would create a smaller
[00:24:01.800 --> 00:24:03.660]   version of itself in some sort of cold state.
[00:24:03.660 --> 00:24:04.980]   It wouldn't start just yet.
[00:24:05.400 --> 00:24:08.980]   Once it's ready, the big robot conviction of water would transfer all its energy into
[00:24:08.980 --> 00:24:11.000]   the smaller configuration and then power down.
[00:24:11.000 --> 00:24:11.480]   Okay.
[00:24:11.480 --> 00:24:13.060]   And then it clean itself up.
[00:24:13.060 --> 00:24:17.560]   And then what's left is this newer state, which would then turn on and do the same thing,
[00:24:17.560 --> 00:24:18.560]   but smaller and faster.
[00:24:18.560 --> 00:24:21.220]   And then the equation has a certain scaling symmetry.
[00:24:21.220 --> 00:24:22.760]   Once you do that, it can just keep iterating.
[00:24:22.760 --> 00:24:27.240]   So this, in principle, would create a blur for the actual Navier-Stokes.
