
[00:00:00.040 --> 00:00:09.560]   HIM
[00:07:58.920 --> 00:07:58.960]   I'm going to stop here for this one.
[00:07:58.960 --> 00:08:27.820]   I'm going to stop here for this one.
[00:08:27.820 --> 00:08:27.860]   I'm going to stop here for this one.
[00:08:27.860 --> 00:08:27.920]   I'm going to stop here for this one.
[00:08:27.920 --> 00:08:27.960]   I'm going to stop here for this one.
[00:08:27.960 --> 00:08:28.080]   I'm going to stop here for this one.
[00:08:28.080 --> 00:08:28.120]   I'm going to stop here for this one.
[00:08:28.120 --> 00:08:28.160]   I'm going to stop here for this one.
[00:08:28.160 --> 00:08:28.240]   I'm going to stop here for this one.
[00:08:28.240 --> 00:08:28.300]   I'm going to stop here for this one.
[00:08:28.300 --> 00:08:28.340]   I'm going to stop here for this one.
[00:08:28.340 --> 00:08:28.400]   I'm going to stop here for this one.
[00:08:28.400 --> 00:08:28.760]   I'm going to save money close to save money.
[00:08:28.800 --> 00:08:39.620]   as
[00:08:39.620 --> 00:08:57.740]  � he a
[00:09:27.120 --> 00:09:27.120]   The
[00:09:27.160 --> 00:09:34.160]   open
[00:09:34.160 --> 00:09:37.920]   either the que
[00:12:31.220 --> 00:12:40.940]  95
[00:12:40.940 --> 00:12:42.260]   am . finest. at,,,,
[00:12:42.260 --> 00:12:49.520]  organ
[00:13:43.400 --> 00:13:54.480]   was
[00:13:54.480 --> 00:14:12.420]   instead. Line,er,,,,,, in the business. And I'd got a bad no spread. I'd have a fun. I'm a contra. I'm a course. I'm a. I'm a. I'm a. Они Pf. Car. connect a.GH. starts giorno. liqucro Pierce the Bachelor.
[00:14:12.560 --> 00:14:15.660]   little
[00:14:15.660 --> 00:14:21.640]   buy,
[00:14:21.640 --> 00:14:23.480]   now. I I Bol
[00:14:23.480 --> 00:14:31.400]   till,,,,,, as just gymn實 use the reduces to囉nier defineopus continue어� kinetic out doughharigぇ
[00:14:31.400 --> 00:14:34.260]   transform-S- set-'-
[00:14:34.260 --> 00:14:36.400]  -��-
[00:14:40.440 --> 00:14:50.260]   live
[00:14:50.260 --> 00:14:50.740]   Потому I,
[00:14:50.740 --> 00:14:51.340]   weak. They. Min. E,
[00:14:51.340 --> 00:15:07.100]  ,
[00:15:37.960 --> 00:15:37.960]   The,
[00:15:37.960 --> 00:15:37.960]   The,
[00:15:38.020 --> 00:15:47.900]  �
[00:15:47.900 --> 00:16:06.020]   about don good
[00:16:34.300 --> 00:16:34.300]   and
[00:17:30.620 --> 00:17:30.620]   and
[00:17:30.620 --> 00:17:30.640]   and
[00:18:26.920 --> 00:18:26.920]   and
[00:18:55.860 --> 00:18:56.920]  -their work.-and the fact that you can go to most fast food restaurants you'll see a few you'll see landscaping trucks and what not parked there now usually the Spanish guys of the Latino guys are usually a little smarter they got tacos and beans and rice and what not from home but you'll often see especially the native born Americans that are working in those kinds of jobs buying fast food you can't afford it it's too expensive so if you can the first skill you have to do to learn is to change away from that and so you start to say well what's the difference between a fast food and a fast food.
[00:18:56.920 --> 00:18:56.940]   you can't afford it it's too expensive so if you can defer skill you have to do to learn is to change away from that and so you start to say well what's the difference between a fast food and a fast food.
[00:19:24.500 --> 00:19:26.960]  ертв.-and you put together your your your food you go and you buy a twenty pound bag of chicken you put that in the freezer it'll keep fine for months in the freezer and then you cook some up in advance and then lowers your per meal cost instead of spending five to eight dollars a day on gas station food coffee etc. It drops your total daily food cost to a dollar fifty a day and those savings add up big time but a thousand dollars gives you the flexibility to start to spend it on that. So the very basic level the first goal should be a thousand dollars.
[00:19:26.960 --> 00:19:26.960]  ,
[00:19:27.000 --> 00:19:37.340]  �
[00:19:37.340 --> 00:19:56.100]   advise w,,, best
[00:19:56.160 --> 00:20:06.300]   director
[00:20:06.300 --> 00:20:06.920]   Like I indicate
[00:20:06.920 --> 00:20:14.220]   остан
[00:20:54.800 --> 00:20:54.800]   and
[00:20:54.800 --> 00:20:54.800]   and
[00:21:24.860 --> 00:21:54.840]  łych.com
[00:21:54.840 --> 00:21:54.840]   and
[00:21:54.840 --> 00:21:54.840]   It's irresponsible. It's crazy. And yet in a credit card driven world like most of us live in, that's where most of us are. So you're behaving irresponsibly if you can't put your hands on $1,000 right now and you have it. The only exception I'll make to that is somebody who's living in a very vulnerable situation, multiple roommates, high-chancellability,
[00:21:54.840 --> 00:21:54.840]   and you have it. The only exception I'll make to that is somebody who's living in a very vulnerable situation, multiple roommates, high-chancellability, and you have it. The only exception I'll make to that is somebody who's living in a very vulnerable situation, multiple roommates, high-chancellability, and you have it.
[00:21:54.840 --> 00:21:54.840]   The only exception I'll make to that is somebody who's living in a very vulnerable situation, multiple roommates, high-chancellability, and you have it.
[00:21:54.880 --> 00:22:04.600]   seem
[00:22:04.600 --> 00:22:07.180]   it near
[00:22:07.180 --> 00:22:23.600]  , .,,,, in in in in and princiotti
[00:22:24.820 --> 00:22:36.000]   continue
[00:22:36.000 --> 00:22:37.340]   want the. The, the, care,
[00:22:37.340 --> 00:22:47.740]  連 by am with you is knows and I's and I's and I's and there est
[00:22:47.740 --> 00:22:53.340]   though and
[00:22:53.840 --> 00:23:04.340]  ookie and I's and there est all of a sudden I felt rich. And what I came to realize was that the majority of life changing decisions that I wanted to make.
[00:23:04.340 --> 00:23:22.060]   Were within my grasp. Now, when you have $10,000. You are, of course, insulated from the vast majority of problems in life, not all, but the vast majority. It's hard for me to think of a problem that can't be solved.
[00:23:22.840 --> 00:23:52.840]  , and or at least deferred for $10,000.
[00:23:52.860 --> 00:24:22.860]  , and or at least deferred for $10,000.
[00:24:22.880 --> 00:24:52.880]  , and or at least deferred for $10,000.
[00:24:52.900 --> 00:25:22.900]  , and or at least deferred for $10,000.
[00:25:22.900 --> 00:25:22.900]   and or at least deferred for $10,000.
[00:25:22.900 --> 00:25:22.900]   and or at least deferred for $10,000.
[00:25:22.900 --> 00:25:22.900]   and or at least deferred for $10,000.
[00:25:22.900 --> 00:25:22.900]   and or at least deferred for $10,000.
[00:25:22.900 --> 00:25:22.900]   and or at least deferred for $10,000.
[00:25:22.900 --> 00:25:22.900]   and or at least deferred for $10,000.
[00:25:22.900 --> 00:25:22.900]   and or at least deferred for $10,000.
[00:25:22.900 --> 00:25:22.900]   and or at least deferred for $10,000.
[00:25:22.900 --> 00:25:22.900]   and or at least deferred for $10,000.
[00:25:22.900 --> 00:25:22.900]   and or at least deferred for $10,000.
[00:25:22.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   And or at least deferred for $10,000.
[00:25:52.920 --> 00:25:52.920]   and at least deferred for $10,000.
[00:25:52.920 --> 00:26:22.940]   and at least deferred for $10,000.
[00:26:22.940 --> 00:26:22.940]   and at least deferred for $10,000.
[00:26:22.940 --> 00:26:22.940]   and at least deferred for $10,000.
[00:26:22.940 --> 00:26:22.940]   and at least deferred for $10,000.
[00:26:22.940 --> 00:26:22.940]   and at least deferred for $10,000.
[00:26:22.940 --> 00:26:22.940]   and at least deferred for $10,000.
[00:26:22.940 --> 00:26:22.940]   and at least deferred for $10,000.
[00:26:22.940 --> 00:26:22.940]   and at least deferred for $10,000.
[00:26:22.940 --> 00:26:22.940]   and at least deferred for $10,000.
[00:26:22.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:26:52.960]   and at least deferred for $10,000.
[00:26:52.960 --> 00:27:22.980]   and at least deferred for $10,000.
[00:27:22.980 --> 00:27:22.980]   and at least deferred for $10,000.
[00:27:22.980 --> 00:27:22.980]   and at least deferred for $10,000.
[00:27:22.980 --> 00:27:22.980]   and at least deferred for $10,000.
[00:27:22.980 --> 00:27:22.980]   and at least deferred for $10,000.
[00:27:22.980 --> 00:27:22.980]   and at least deferred for $10,000.
[00:27:22.980 --> 00:27:22.980]   and at least deferred for $10,000.
[00:27:22.980 --> 00:27:22.980]   and at least deferred for $10,000.
[00:27:23.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:27:53.000]   and at least deferred for $10,000.
[00:27:53.000 --> 00:28:23.020]   and at least deferred for $10,000.
[00:28:23.020 --> 00:28:23.020]   and at least deferred for $10,000.
[00:28:23.020 --> 00:28:23.020]   and at least deferred for $10,000.
[00:28:23.020 --> 00:28:23.020]   and at least deferred for $10,000.
[00:28:23.020 --> 00:28:23.020]   and at least deferred for $10,000.
[00:28:23.020 --> 00:28:23.020]   and at least deferred for $10,000.
[00:28:23.020 --> 00:28:23.020]   and at least deferred for $10,000.
[00:28:23.020 --> 00:28:23.020]   and at least deferred for $10,000.
[00:28:23.060 --> 00:28:53.040]   ado.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:28:53.040]   and at least deferred for $10,000.
[00:28:53.040 --> 00:29:23.060]   and at least deferred for $10,000.
[00:29:23.060 --> 00:29:23.060]   and at least deferred for $10,000.
[00:29:23.060 --> 00:29:23.060]   and at least deferred for $10,000.
[00:29:23.060 --> 00:29:23.060]   and at least deferred for $10,000.
[00:29:23.060 --> 00:29:23.060]   and at least deferred for $10,000.
[00:29:23.060 --> 00:29:23.060]   and at least deferred for $10,000.
[00:29:23.060 --> 00:29:23.060]   and at least deferred for $10,000.
[00:29:23.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:29:53.080]   and at least deferred for $10,000.
[00:29:53.080 --> 00:30:23.100]   and at least deferred for $10,000.
[00:30:23.100 --> 00:30:23.100]   and at least deferred for $10,000.
[00:30:23.100 --> 00:30:23.100]   and at least deferred for $10,000.
[00:30:23.100 --> 00:30:23.100]   and at least deferred for $10,000.
[00:30:23.100 --> 00:30:23.100]   and at least deferred for $10,000.
[00:30:23.100 --> 00:30:23.100]   and at least deferred for $10,000.
[00:30:23.100 --> 00:30:23.100]   and at least deferred for $10,000.
[00:30:23.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:30:53.120]   I'm not saying that you should be able to get a job.
[00:30:53.120 --> 00:31:23.140]   I'm not saying that you should be able to get a job.
[00:31:23.140 --> 00:31:23.140]   I'm not saying that you should be able to get a job.
[00:31:23.140 --> 00:31:23.140]   I'm not saying that you should be able to get a job.
[00:31:23.140 --> 00:31:23.140]   I'm not saying that you should be able to get a job.
[00:31:23.140 --> 00:31:23.140]   I'm not saying that you should be able to get a job.
[00:31:23.140 --> 00:31:23.140]   I'm not saying that you should be able to get a job.
[00:31:23.140 --> 00:31:23.140]   I'm not saying that you should be able to get a job.
[00:31:23.140 --> 00:31:23.140]   I'm not saying that you should be able to get a job.
[00:31:23.140 --> 00:31:23.140]   I'm not saying that you should be able to get a job.
[00:31:23.140 --> 00:31:23.140]   I'm not saying that you should be able to get a job.
[00:31:23.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:31:53.160]   I'm not saying that you should be able to get a job.
[00:31:53.160 --> 00:32:23.180]  ,
[00:32:23.180 --> 00:32:23.180]   I'm not saying that you should be able to get a job.
[00:32:23.180 --> 00:32:23.180]   I'm not saying that you should be able to get a job.
[00:32:23.180 --> 00:32:23.180]   I'm not saying that you should be able to get a job.
[00:32:23.180 --> 00:32:23.180]   I'm not saying that you should be able to get a job.
[00:32:23.180 --> 00:32:23.180]   I'm not saying that you should be able to get a job.
[00:32:23.180 --> 00:32:23.180]   I'm not saying that you should be able to get a job.
[00:32:23.180 --> 00:32:23.180]   I'm not saying that you should be able to get a job.
[00:32:23.180 --> 00:32:23.180]   I'm not saying that you should be able to get a job.
[00:32:23.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:32:53.200]   I'm not saying that you should be able to get a job.
[00:32:53.200 --> 00:33:23.220]   I'm not saying that you should be able to get a job.
[00:33:23.220 --> 00:33:23.220]   I'm not saying that you should be able to get a job.
[00:33:23.220 --> 00:33:23.220]   I'm not saying that you should be able to get a job.
[00:33:23.220 --> 00:33:23.220]   I'm not saying that you should be able to get a job.
[00:33:23.220 --> 00:33:23.220]   I'm not saying that you should be able to get a job.
[00:33:23.220 --> 00:33:23.220]   I'm not saying that you should be able to get a job.
[00:33:23.220 --> 00:33:23.220]   I'm not saying that you should be able to get a job.
[00:33:23.220 --> 00:33:23.220]   I'm not saying that you should be able to get a job.
[00:33:23.220 --> 00:33:23.220]   I'm not saying that you should be able to get a job.
[00:33:23.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:33:53.240]   I'm not saying that you should be able to get a job.
[00:33:53.240 --> 00:34:23.260]  ,
[00:34:23.260 --> 00:34:23.260]   I'm not saying that you should be able to get a job.
[00:34:23.260 --> 00:34:23.260]   I'm not saying that you should be able to get a job.
[00:34:23.260 --> 00:34:23.260]   I'm not saying that you should be able to get a job.
[00:34:23.260 --> 00:34:23.260]   I'm not saying that you should be able to get a job.
[00:34:23.260 --> 00:34:23.260]   I'm not saying that you should be able to get a job.
[00:34:23.260 --> 00:34:23.260]   I'm not saying that you should be able to get a job.
[00:34:23.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.280 --> 00:34:53.280]   I'm not saying that you should be able to get a job.
[00:34:53.320 --> 00:35:23.300]  ,
[00:35:23.300 --> 00:35:23.300]   I'm not saying that you should be able to get a job.
[00:35:23.300 --> 00:35:23.300]   I'm not saying that you should be able to get a job.
[00:35:23.300 --> 00:35:23.300]   I'm not saying that you should be able to get a job.
[00:35:23.300 --> 00:35:23.300]   I'm not saying that you should be able to get a job.
[00:35:23.300 --> 00:35:23.300]   I'm not saying that you should be able to get a job.
[00:35:23.300 --> 00:35:23.300]   I'm not saying that you should be able to get a job.
[00:35:23.300 --> 00:35:23.300]   I'm not saying that you should be able to get a job.
[00:35:23.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.320 --> 00:35:53.320]   I'm not saying that you should be able to get a job.
[00:35:53.340 --> 00:36:23.340]  , I'm not saying that you should be able to get a job.
[00:36:23.340 --> 00:36:23.340]   I'm not saying that you should be able to get a job.
[00:36:23.340 --> 00:36:23.340]   I'm not saying that you should be able to get a job.
[00:36:23.340 --> 00:36:23.340]   I'm not saying that you should be able to get a job.
[00:36:23.340 --> 00:36:23.340]   I'm not saying that you should be able to get a job.
[00:36:23.340 --> 00:36:23.340]   I'm not saying that you should be able to get a job.
[00:36:23.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:36:53.360]   I'm not saying that you should be able to get a job.
[00:36:53.360 --> 00:37:23.380]  ,
[00:37:23.380 --> 00:37:23.380]   I'm not saying that you should be able to get a job.
[00:37:23.380 --> 00:37:23.380]   I'm not saying that you should be able to get a job.
[00:37:23.380 --> 00:37:23.380]   I'm not saying that you should be able to get a job.
[00:37:23.380 --> 00:37:23.380]   I'm not saying that you should be able to get a job.
[00:37:23.380 --> 00:37:23.380]   I'm not saying that you should be able to get a job.
