
[00:00:00.000 --> 00:00:00.840]   [upbeat music]
[00:05:43.180 --> 00:05:45.460]   for the whole goal setting and pursuit process.
[00:05:45.460 --> 00:05:48.960]   But we can distill things down to four major hubs
[00:05:48.960 --> 00:05:50.940]   or stations within the brain.
[00:05:50.940 --> 00:05:53.720]   And those are the basal ganglia,
[00:05:53.720 --> 00:05:55.380]   the lateral prefrontal cortex,
[00:05:55.380 --> 00:05:57.720]   and the orbital frontal cortex.
[00:05:57.720 --> 00:05:59.780]   So going through those one by one,
[00:05:59.780 --> 00:06:01.480]   the amygdala is a structure within the brain,
[00:06:01.480 --> 00:06:02.320]   you actually have two of them,
[00:06:02.320 --> 00:06:03.860]   one on each side of the brain,
[00:06:03.860 --> 00:06:07.780]   that is involved in circuits associated with arousal
[00:06:07.780 --> 00:06:09.900]   in driving levels of alertness.
[00:06:09.900 --> 00:06:11.020]   It's also involved in fear,
[00:06:11.020 --> 00:06:12.400]   you've probably heard that many times before,
[00:06:12.400 --> 00:06:13.900]   but also things like anxiety.
[00:06:13.900 --> 00:06:15.680]   And actually the amygdala can be involved
[00:06:15.680 --> 00:06:17.740]   in what we call positive valence experiences,
[00:06:17.740 --> 00:06:19.800]   not just the bad stuff like fear and anxiety,
[00:06:19.800 --> 00:06:23.320]   but also positive forms of arousal and even learning.
[00:06:23.320 --> 00:06:25.560]   The basal ganglia include a lot
[00:06:25.560 --> 00:06:27.100]   of different brain structures,
[00:06:27.100 --> 00:06:28.580]   but for sake of today's discussion,
[00:06:28.580 --> 00:06:30.740]   what you need to know is that the basal ganglia
[00:06:30.740 --> 00:06:32.500]   includes two major pathways.
[00:06:32.500 --> 00:06:34.300]   One is the so-called go pathway,
[00:06:34.300 --> 00:06:36.860]   which is the pathway involved in generating actions.
[00:06:36.860 --> 00:06:39.200]   And the other is the so-called no-go pathway,
[00:06:39.200 --> 00:06:42.780]   or the pathway involved in withholding or ceasing action.
[00:06:42.780 --> 00:06:44.300]   And this is really important to understand
[00:06:44.300 --> 00:06:47.520]   because with all goals, we have to ask ourselves,
[00:06:47.520 --> 00:06:50.040]   are we trying to learn how to do something new,
[00:06:50.040 --> 00:06:52.820]   or are we trying to withhold a certain set of actions?
[00:06:52.820 --> 00:06:55.100]   And of course, anytime we learn anything,
[00:06:55.100 --> 00:06:57.640]   it's a process of both generating
[00:06:57.640 --> 00:06:59.840]   and withholding certain actions.
[00:06:59.840 --> 00:07:02.260]   So we've got the amygdala and we have the basal ganglia,
[00:07:02.260 --> 00:07:05.100]   which has this go action initiating
[00:07:05.100 --> 00:07:07.980]   and no-go action withholding circuitry within it.
[00:07:07.980 --> 00:07:10.140]   And then there's the lateral prefrontal cortex,
[00:07:10.140 --> 00:07:12.500]   which is involved in immediate and long-term planning.
[00:07:12.500 --> 00:07:14.120]   And this is going to be a key component
[00:07:14.120 --> 00:07:17.380]   of today's discussion because we aren't going to be talking
[00:07:17.380 --> 00:07:19.320]   about lateral prefrontal cortex per se,
[00:07:19.320 --> 00:07:22.560]   but we are going to be talking about time perception
[00:07:22.560 --> 00:07:24.900]   in the context of setting and achieving our goals,
[00:07:24.900 --> 00:07:27.180]   because setting and achieving our goals
[00:07:27.180 --> 00:07:30.240]   is all about being able to orient both in space,
[00:07:30.240 --> 00:07:31.500]   knowing where we are and what we're doing,
[00:07:31.500 --> 00:07:36.060]   but also in time, know where we are in that road of progress
[00:07:36.060 --> 00:07:38.500]   toward achieving our goal or crossing that finish line
[00:07:38.500 --> 00:07:41.620]   and repeatedly updating those finish lines in many cases.
[00:07:41.620 --> 00:07:45.460]   And the fourth structure is the orbital frontal cortex,
[00:07:45.460 --> 00:07:48.460]   which like all brain areas tends to be a multitasker,
[00:07:48.460 --> 00:07:50.060]   does a bunch of different things.
[00:07:50.060 --> 00:07:51.380]   But for sake of today's discussion,
[00:07:51.380 --> 00:07:52.460]   it's important to understand
[00:07:52.460 --> 00:07:56.660]   that the orbital frontal cortex is involved in evaluation
[00:07:56.660 --> 00:07:59.840]   of our current emotional state and arousal state
[00:07:59.840 --> 00:08:01.460]   as it relates to our goal pursuit.
[00:08:01.460 --> 00:08:05.580]   For instance, are we happy because we are sensing progress
[00:08:05.580 --> 00:08:09.460]   or are we unhappy and feeling frustrated or sad or angry
[00:08:09.460 --> 00:08:12.200]   because we are feeling that we are not achieving progress
[00:08:12.200 --> 00:08:15.000]   or that somehow we can't get into the sorts of actions
[00:08:15.000 --> 00:08:18.100]   that are going to allow us to eventually reach our goals?
[00:08:18.100 --> 00:08:20.420]   Okay, so I described four major structures,
[00:08:20.420 --> 00:08:21.860]   all of which communicate with each other
[00:08:21.860 --> 00:08:24.340]   and of course, a lot of other brain areas.
[00:08:24.340 --> 00:08:26.660]   And those four structures were the amygdala,
[00:08:26.660 --> 00:08:29.460]   the basal ganglia, the go and no-go circuitry,
[00:08:29.460 --> 00:08:30.960]   the lateral prefrontal cortex
[00:08:30.960 --> 00:08:32.340]   and the orbital frontal cortex.
[00:08:32.340 --> 00:08:34.680]   And those represent the core components
[00:08:34.680 --> 00:08:38.540]   of the neural circuitry involved in goal setting and pursuit.
[00:08:38.540 --> 00:08:40.180]   Now I realized I didn't time that section,
[00:08:40.180 --> 00:08:42.780]   so I don't know whether or not it was three minutes or less,
[00:08:42.780 --> 00:08:45.520]   but if it was shorter than three minutes, great.
[00:08:45.520 --> 00:08:47.260]   And if it was longer than three minutes,
[00:08:47.260 --> 00:08:49.140]   well, I promised to shave a couple of minutes
[00:08:49.140 --> 00:08:50.660]   off the end of this episode.
[00:08:50.660 --> 00:08:52.060]   Okay, so now you have the understanding
[00:08:52.060 --> 00:08:54.680]   that we all have the same neural circuitry
[00:08:54.680 --> 00:08:55.980]   for goal setting and pursuit.
[00:08:55.980 --> 00:08:58.080]   I find that amazing regardless of whether or not
[00:08:58.080 --> 00:09:00.820]   you want to achieve a fitness goal or an academic goal
[00:09:00.820 --> 00:09:03.280]   or a work goal, monetary goal, relationship goal,
[00:09:03.280 --> 00:09:05.460]   maybe you want to just get better at relaxing.
[00:09:05.460 --> 00:09:08.140]   I've been told I should perhaps pursue that goal.
[00:09:08.140 --> 00:09:11.500]   Well, you're going to use the same neural circuits
[00:09:11.500 --> 00:09:13.680]   for each and any of those.
[00:09:13.680 --> 00:09:14.900]   I find that incredible.
[00:09:14.900 --> 00:09:17.460]   I also find that very reassuring because what it means
[00:09:17.460 --> 00:09:20.820]   is that if we can focus on the tools and protocols
[00:09:20.820 --> 00:09:24.640]   that are anchored in the biology of goal setting and pursuit
[00:09:24.640 --> 00:09:27.440]   as we understand them to exist in all humans
[00:09:27.440 --> 00:09:29.620]   and indeed in other animals as well,
[00:09:29.620 --> 00:09:32.180]   well, then we should have the greatest possible confidence
[00:09:32.180 --> 00:09:34.380]   that we will in fact achieve our goals.
[00:09:34.380 --> 00:09:35.860]   So how do we go about doing that?
[00:09:35.860 --> 00:09:37.860]   Well, the first question you need to ask yourself
[00:09:37.860 --> 00:09:40.640]   is what goal do I want to pursue?
[00:09:40.640 --> 00:09:44.460]   And the first protocol for deciding what goal
[00:09:44.460 --> 00:09:47.220]   you want to pursue is actually a quite simple one
[00:09:47.220 --> 00:09:48.720]   in terms of how it's stated,
[00:09:48.720 --> 00:09:51.900]   but it's fairly complex for a lot of people to answer.
[00:09:51.900 --> 00:09:54.240]   And that is which specific goal
[00:09:54.240 --> 00:09:56.060]   are you going to try and pursue?
[00:09:56.060 --> 00:09:58.340]   Because guess what, folks?
[00:09:58.340 --> 00:10:02.220]   Most people who trying to achieve many goals simultaneously
[00:10:02.220 --> 00:10:04.200]   fail at all of them.
[00:10:04.200 --> 00:10:06.420]   This is what I call the overhaul approach
[00:10:06.420 --> 00:10:09.280]   when people think, okay, you know, on January 1
[00:10:09.280 --> 00:10:12.300]   or next month or next week, or perhaps even today,
[00:10:12.300 --> 00:10:15.500]   I'm going to start exercising, I'm going to start meditating,
[00:10:15.500 --> 00:10:17.780]   I'm going to learn a language, I'm going to learn to dance,
[00:10:17.780 --> 00:10:20.020]   I'm going to do all these different things.
[00:10:20.020 --> 00:10:21.940]   And that's just too many goals.
[00:10:21.940 --> 00:10:23.900]   I think here is an appropriate place
[00:10:23.900 --> 00:10:26.500]   to highlight the word priority.
[00:10:26.500 --> 00:10:29.300]   A priority literally means one thing
[00:10:29.300 --> 00:10:30.980]   that you place ahead of all others.
[00:10:30.980 --> 00:10:33.940]   These days we hear a lot about priorities, plural,
[00:10:33.940 --> 00:10:36.760]   but we really should be thinking about priority
[00:10:36.760 --> 00:10:40.620]   and defining our priority for learning in a given phase.
[00:10:40.620 --> 00:10:43.380]   So if you are somebody who wants to get more physically fit
[00:10:43.380 --> 00:10:45.680]   or you want to learn something cognitively, that's terrific.
[00:10:45.680 --> 00:10:47.640]   You are allowed to have multiple goals,
[00:10:47.640 --> 00:10:52.640]   but I highly recommend that you first select just one goal.
[00:10:52.640 --> 00:10:54.840]   Of course, you don't let go of other aspects
[00:10:54.840 --> 00:10:56.540]   of your mental health and physical health,
[00:10:56.540 --> 00:10:58.060]   that you don't throw your life away
[00:10:58.060 --> 00:10:59.500]   in service to this one goal.
[00:10:59.500 --> 00:11:02.700]   We've all seen how that goes and it's not a pretty picture,
[00:11:02.700 --> 00:11:06.300]   but rather that you continue to engage in healthy ways
[00:11:06.300 --> 00:11:07.980]   with the other aspects of your life
[00:11:07.980 --> 00:11:10.640]   that you're proficient at or mostly proficient at,
[00:11:10.640 --> 00:11:12.980]   but that you select one goal
[00:11:12.980 --> 00:11:14.740]   that you're going to try and attain.
[00:11:14.740 --> 00:11:16.700]   How you select that one goal, of course,
[00:11:16.700 --> 00:11:18.160]   is going to reflect your values,
[00:11:18.160 --> 00:11:19.980]   your motivation, your resources,
[00:11:19.980 --> 00:11:23.420]   but it's very important that you spend some serious time
[00:11:23.420 --> 00:11:26.340]   defining that one priority, that one goal
[00:11:26.340 --> 00:11:30.620]   for this initial goal setting and pursuit period.
[00:11:30.620 --> 00:11:32.980]   And in a moment, I'll tell you how long that goal
[00:11:32.980 --> 00:11:34.820]   pursuit period ought to be.
[00:11:34.820 --> 00:11:37.500]   But for some people, the best way to define
[00:11:37.500 --> 00:11:39.340]   which goal they're going to pursue
[00:11:39.340 --> 00:11:41.300]   is to write out the different things that they want
[00:11:41.300 --> 00:11:44.200]   and then essentially cross off the various things
[00:11:44.200 --> 00:11:46.560]   that they're willing to put on hold for the time being
[00:11:46.560 --> 00:11:49.300]   and circle the thing that they're really going to focus on
[00:11:49.300 --> 00:11:50.880]   and only that thing.
[00:11:50.880 --> 00:11:52.200]   And again, this is highly individual.
[00:11:52.200 --> 00:11:54.320]   It's going to depend on you, your past, your present,
[00:11:54.320 --> 00:11:56.860]   your future, your resources, all of that.
[00:11:56.860 --> 00:11:58.920]   But having that one priority
[00:11:58.920 --> 00:12:01.680]   is going to really increase the probability
[00:12:01.680 --> 00:12:03.700]   that you're going to achieve your goal.
[00:12:03.700 --> 00:12:05.960]   Now, we also know from the scientific literature
[00:12:05.960 --> 00:12:08.940]   that how lofty that goal is will impact
[00:12:08.940 --> 00:12:11.060]   whether or not you're able to achieve it.
[00:12:11.060 --> 00:12:13.960]   And I think most people mistakenly believe
[00:12:13.960 --> 00:12:15.820]   that if a goal is easy to achieve,
[00:12:15.820 --> 00:12:17.720]   it's more likely that they will achieve that goal,
[00:12:17.720 --> 00:12:18.860]   sort of a duh.
[00:12:18.860 --> 00:12:22.120]   But in fact, the opposite has been shown to be true.
[00:12:22.120 --> 00:12:24.840]   If a goal is too easy to achieve,
[00:12:24.840 --> 00:12:27.440]   it seems that it doesn't recruit sufficient amounts
[00:12:27.440 --> 00:12:30.160]   of the arousal network that involves the amygdala,
[00:12:30.160 --> 00:12:32.600]   but a bunch of other brain structures as well
[00:12:32.600 --> 00:12:35.900]   that get people into the necessary actions
[00:12:35.900 --> 00:12:37.980]   to continually pursue that goal.
[00:12:37.980 --> 00:12:40.160]   This perhaps should not be surprising.
[00:12:40.160 --> 00:12:41.840]   In order to learn something,
[00:12:41.840 --> 00:12:44.880]   we have to shift our nervous system into states
[00:12:44.880 --> 00:12:46.660]   that are somewhat uncomfortable.
[00:12:46.660 --> 00:12:49.080]   They should be safely uncomfortable states,
[00:12:49.080 --> 00:12:50.840]   but they should be uncomfortable states.
[00:12:50.840 --> 00:12:52.120]   And we're going to talk more about this
[00:12:52.120 --> 00:12:53.700]   as the episode continues,
[00:12:53.700 --> 00:12:57.220]   but any kind of successful learning or goal pursuit
[00:12:57.220 --> 00:12:58.800]   is going to involve errors.
[00:12:58.800 --> 00:13:00.440]   It's going to involve failures.
[00:13:00.440 --> 00:13:01.880]   It's going to involve frustration.
[00:13:01.880 --> 00:13:04.120]   It's going to involve anxiety.
[00:13:04.120 --> 00:13:07.520]   All of those states of mind and body, in fact,
[00:13:07.520 --> 00:13:11.240]   shift the brain into modes of so-called neuroplasticity.
[00:13:11.240 --> 00:13:13.360]   They give it the ability to change.
[00:13:13.360 --> 00:13:14.920]   And that should make perfect sense
[00:13:14.920 --> 00:13:17.640]   because if you can complete what you need to do easily,
[00:13:17.640 --> 00:13:20.360]   there's absolutely no reason for the neural circuitry
[00:13:20.360 --> 00:13:22.620]   in your brain or body to shift in any way.
[00:13:22.620 --> 00:13:23.760]   Why would it?
[00:13:23.760 --> 00:13:27.300]   Rather, those states of discomfort, frustration,
[00:13:27.300 --> 00:13:29.660]   anxiety, et cetera,
[00:13:29.660 --> 00:13:32.200]   represent shifts in neurochemical states
[00:13:32.200 --> 00:13:34.880]   that literally open the opportunity
[00:13:34.880 --> 00:13:36.340]   for neuroplasticity to occur.
[00:13:36.340 --> 00:13:39.740]   The changes between neurons that allow those neurons
[00:13:39.740 --> 00:13:40.940]   and their associated neural circuits
[00:13:40.940 --> 00:13:43.080]   to perform differently in the future
[00:13:43.080 --> 00:13:44.540]   when we learn something.
[00:13:44.540 --> 00:13:47.020]   So the key here is twofold.
[00:13:47.020 --> 00:13:49.420]   First, define the specific priority goal
[00:13:49.420 --> 00:13:50.700]   that you're going to pursue
[00:13:50.700 --> 00:13:53.860]   and set aside all other goal pursuits.
[00:13:53.860 --> 00:13:55.060]   And in doing that,
[00:13:55.060 --> 00:13:58.480]   it makes sense to pursue a somewhat loftier goal
[00:13:58.480 --> 00:14:00.540]   than perhaps a more mundane goal.
[00:14:00.540 --> 00:14:04.840]   Or if you know exactly what goal you're going to prioritize,
[00:14:04.840 --> 00:14:07.580]   that you try and achieve perhaps more
[00:14:07.580 --> 00:14:09.960]   than you think you ought to be able to achieve
[00:14:09.960 --> 00:14:11.640]   within that given goal.
[00:14:11.640 --> 00:14:13.640]   And within the goal that you decide to prioritize,
[00:14:13.640 --> 00:14:15.840]   you want to set a level of progress,
[00:14:15.840 --> 00:14:18.520]   a level of performance that you're striving to attain
[00:14:18.520 --> 00:14:21.080]   that's a bit above what you actually believe
[00:14:21.080 --> 00:14:23.800]   at this time you can accomplish.
[00:14:23.800 --> 00:14:26.440]   Now, in doing so, you are inevitably going to encounter
[00:14:26.440 --> 00:14:28.320]   some frustration and anxiety,
[00:14:28.320 --> 00:14:30.280]   but remember the component of the neural circuitry
[00:14:30.280 --> 00:14:32.440]   that we talked about at the beginning of the episode,
[00:14:32.440 --> 00:14:34.080]   the orbital frontal cortex.
[00:14:34.080 --> 00:14:35.600]   That orbital frontal cortex
[00:14:35.600 --> 00:14:37.200]   is not just part of a neural circuitry
[00:14:37.200 --> 00:14:39.580]   that assesses how we feel in a given moment
[00:14:39.580 --> 00:14:41.640]   as we are trying to pursue a goal,
[00:14:41.640 --> 00:14:44.480]   but it also understands context.
[00:14:44.480 --> 00:14:47.520]   It has the capacity to, for instance,
[00:14:47.520 --> 00:14:50.800]   see that you are experiencing anxiety,
[00:14:50.800 --> 00:14:52.680]   know that you are frustrated,
[00:14:52.680 --> 00:14:56.680]   but now that you understand that anxiety and frustration
[00:14:56.680 --> 00:14:59.880]   that comes with making errors is actually the gateway,
[00:14:59.880 --> 00:15:01.200]   it's a necessary gateway
[00:15:01.200 --> 00:15:03.000]   to achieving neural circuit changes,
[00:15:03.000 --> 00:15:04.840]   so-called neuroplasticity.
[00:15:04.840 --> 00:15:07.920]   Well, the orbital frontal cortex understands that context.
[00:15:07.920 --> 00:15:10.720]   It literally can take information about neuroplasticity,
[00:15:10.720 --> 00:15:13.040]   it can take information about frustration,
[00:15:13.040 --> 00:15:15.380]   which you now have, and it can combine those
[00:15:15.380 --> 00:15:17.660]   such that when you experience that frustration,
[00:15:17.660 --> 00:15:19.100]   you experience those errors
[00:15:19.100 --> 00:15:22.380]   and you previously would have wanted to quit,
[00:15:22.380 --> 00:15:25.020]   now you know that you are literally making progress.
[00:15:25.020 --> 00:15:27.180]   You're literally shifting those neural circuits
[00:15:27.180 --> 00:15:30.040]   in the direction of improved learning.
[00:15:30.040 --> 00:15:33.140]   Now, it's also important to remind that neuroplasticity,
[00:15:33.140 --> 00:15:34.460]   the changes in neural circuits
[00:15:34.460 --> 00:15:37.140]   that allow for improved performance in the future
[00:15:37.140 --> 00:15:39.500]   does not occur instantaneously.
[00:15:39.500 --> 00:15:42.100]   That frustration that occurs during our attempts to learn
[00:15:42.100 --> 00:15:44.780]   or to pursue a goal is the trigger for neuroplasticity,
[00:15:44.780 --> 00:15:46.660]   the actual rewiring of neural circuits
[00:15:46.660 --> 00:15:50.860]   that allows for proficient, correct performance
