
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:01:59.600 --> 00:02:01.480]   they gave me an opportunity to play with you, so,
[00:02:01.480 --> 00:02:03.720]   I was like, yeah. - Yeah, it was great.
[00:02:03.720 --> 00:02:06.400]   I mean, for the jump, we had like a crazy chemistry,
[00:02:06.400 --> 00:02:09.200]   like, from the jump, and that was our 16s,
[00:02:09.200 --> 00:02:11.120]   and we was playin' up 17s, I think.
[00:02:11.120 --> 00:02:14.360]   - Yeah, it made it easy 'cause we were both young,
[00:02:14.360 --> 00:02:16.400]   and we were out of town, and we,
[00:02:16.400 --> 00:02:17.880]   remember we had to stay over at Coach Dave's
[00:02:17.880 --> 00:02:19.760]   house all the time? - Yep, Coach Dave's.
[00:02:19.760 --> 00:02:22.360]   - So we had a lot of time, we was just in the basement,
[00:02:22.360 --> 00:02:24.160]   chillin', watchin' games. - So that's when we,
[00:02:24.160 --> 00:02:25.800]   yeah, that's when we first got real close.
[00:02:25.800 --> 00:02:27.280]   We was tryin' to sneak out the crib.
[00:02:27.280 --> 00:02:28.760]   - Yeah. (laughs)
[00:02:28.760 --> 00:02:30.640]   - Yeah, I remember that, so.
[00:02:30.640 --> 00:02:34.120]   And then, so that 16s year, we had that year,
[00:02:34.120 --> 00:02:36.160]   and we, we made PSJA, and we ended up
[00:02:36.160 --> 00:02:37.520]   losin' the pool play, right?
[00:02:37.520 --> 00:02:40.920]   - Yeah, we, I don't even think we won two games.
[00:02:40.920 --> 00:02:42.360]   - I think we won two out of three.
[00:02:42.360 --> 00:02:43.400]   - Yeah. - And then we was like,
[00:02:43.400 --> 00:02:45.640]   but we knew we had the potential to be like, cold.
[00:02:45.640 --> 00:02:46.480]   - Yeah, yeah. - And so,
[00:02:46.480 --> 00:02:48.560]   we knew we was gonna come back that next year,
[00:02:48.560 --> 00:02:53.560]   and then 17s, we came back, and we was, we was dominant.
[00:02:53.560 --> 00:02:57.120]   I think we lost, what, one game?
[00:02:57.120 --> 00:02:58.960]   Two games? - Yeah, two games all season.
[00:02:58.960 --> 00:03:00.320]   - Which one you think we should watch,
[00:03:00.320 --> 00:03:01.200]   this one or this one?
[00:03:01.200 --> 00:03:02.720]   - Nah, bro, the PSJA one, bro.
[00:03:02.720 --> 00:03:03.560]   - This one?
[00:03:03.560 --> 00:03:04.380]   I ain't seen it.
[00:03:04.380 --> 00:03:08.480]   We was so tough, bro.
[00:03:08.480 --> 00:03:10.800]   - Hey, first play of the game was good.
[00:03:10.800 --> 00:03:12.840]   - That was the first play of the game.
[00:03:12.840 --> 00:03:15.080]   - Our whole class was pretty much in the lead.
[00:03:17.560 --> 00:03:20.240]   - Yeah, we were in the lead.
[00:03:20.240 --> 00:03:21.240]   - Good, Tay.
[00:03:21.240 --> 00:03:24.280]   - Lay.
[00:03:24.280 --> 00:03:25.280]   - Good, Tay.
[00:03:25.280 --> 00:03:30.000]   I love you, man.
[00:03:30.000 --> 00:03:32.920]   - Yeah, we was getting too hype, yo.
[00:03:32.920 --> 00:03:36.000]   First, first half, I don't know, man.
[00:03:36.000 --> 00:03:39.480]   Hey, he was not missing, though, that's--
[00:03:39.480 --> 00:03:41.840]   - Jarrett, really?
[00:03:41.840 --> 00:03:45.080]   - That whole, that whole PSJA?
[00:03:45.080 --> 00:03:46.240]   - I don't know, bro.
[00:03:46.240 --> 00:03:48.440]   - I be telling people we was like the best
[00:03:48.440 --> 00:03:50.200]   AU program ever, like ever.
[00:03:50.200 --> 00:03:54.920]   - Yeah, I mean, we in the conversation, for sure.
[00:03:54.920 --> 00:03:59.000]   I think we, I can't argue with my friends all the time,
[00:03:59.000 --> 00:04:03.240]   like players, they always talk about the AU team.
[00:04:03.240 --> 00:04:05.880]   Like, I don't see a team that can match up with us.
[00:04:05.880 --> 00:04:08.160]   - Nah, 'cause it was like, we went to Peach Jam,
[00:04:08.160 --> 00:04:12.360]   and it wasn't like we was winning by two or 10 or whatever.
[00:04:12.360 --> 00:04:13.920]   We was winning by like 30.
[00:04:13.920 --> 00:04:15.680]   - Every game. - Every game.
[00:04:15.680 --> 00:04:17.520]   - So, what was your favorite memories, would you say,
[00:04:17.520 --> 00:04:22.000]   from that whole, from that whole, like AU side of thing?
[00:04:22.000 --> 00:04:29.160]   - I think, really, just what we were just talking about,
[00:04:29.160 --> 00:04:32.480]   like the time when we were going
[00:04:32.480 --> 00:04:35.520]   and having those three days on Saturdays,
[00:04:35.520 --> 00:04:37.400]   and like, throughout the day,
[00:04:37.400 --> 00:04:38.960]   we're always kicking it with each other.
[00:04:38.960 --> 00:04:42.360]   Like, me and you, with the team,
[00:04:42.360 --> 00:04:45.040]   like, we're either going to watch other games,
[00:04:45.040 --> 00:04:48.200]   or we're at the crib, or we're doing something.
[00:04:48.200 --> 00:04:50.400]   Like, we're always with each other.
[00:04:50.400 --> 00:04:52.760]   - We were always together, every weekend.
[00:04:52.760 --> 00:04:53.600]   - Every weekend.
[00:04:53.600 --> 00:04:56.560]   So, for us, out of state, like, we were always,
[00:04:56.560 --> 00:04:57.640]   me and you were always together,
[00:04:57.640 --> 00:04:59.000]   'cause we didn't have nowhere else to go.
[00:04:59.000 --> 00:05:01.360]   Like, I mean, your parents were always busy,
[00:05:01.360 --> 00:05:03.280]   like your family, mine, same way.
[00:05:03.280 --> 00:05:05.840]   Like, they're doing their stuff,
[00:05:05.840 --> 00:05:07.120]   so we were always with each other.
[00:05:07.120 --> 00:05:09.640]   So, that's, I think, why we were so close.
[00:05:09.640 --> 00:05:11.920]   - We got close. - Craziest.
[00:05:11.920 --> 00:05:14.680]   - We went, remember, we was trying to make college work, too.
[00:05:14.680 --> 00:05:15.520]   - Yeah.
[00:05:15.520 --> 00:05:16.360]   - Trying to make the college thing work,
[00:05:16.360 --> 00:05:17.520]   but we could never get it happening.
[00:05:17.520 --> 00:05:20.280]   What was your favorite camp we did?
[00:05:20.280 --> 00:05:24.120]   Like, any of that.
[00:05:24.120 --> 00:05:27.080]   We did so much, we did Chile, T-U-S-A.
[00:05:27.080 --> 00:05:32.320]   - You think N-Day Top 100 was fun?
[00:05:32.320 --> 00:05:34.560]   - I thought it was, it was fun.
[00:05:34.560 --> 00:05:35.880]   It was like, it was informative,
[00:05:35.880 --> 00:05:38.400]   'cause we'd hoop, and we'd have the class stuff.
[00:05:38.400 --> 00:05:39.240]   - Yeah.
[00:05:39.240 --> 00:05:40.280]   - And everybody was there, though.
[00:05:40.280 --> 00:05:41.120]   That's what I like about it.
[00:05:41.120 --> 00:05:41.960]   Every good player was there.
[00:05:41.960 --> 00:05:43.400]   - That's what I think about it, yeah.
[00:05:43.400 --> 00:05:45.200]   - But it was cool.
[00:05:45.200 --> 00:05:46.040]   You was killing.
[00:05:46.040 --> 00:05:48.520]   That's really like when you took a leap.
[00:05:48.520 --> 00:05:49.800]   That, I remember seeing that video,
[00:05:49.800 --> 00:05:50.840]   I think it was "A Baller's Life"
[00:05:50.840 --> 00:05:53.240]   that came out of you and Gary going back and forth.
[00:05:53.240 --> 00:05:54.680]   - Oh yeah, me and Gary went back, yeah.
[00:05:54.680 --> 00:05:55.520]   - Yeah, that was crazy.
[00:05:55.520 --> 00:05:57.120]   - No, that was cool, that was cool.
[00:05:57.120 --> 00:05:59.320]   We had a, yeah, U-S-A.
[00:05:59.320 --> 00:06:02.960]   U-S-A was, that was just a long, a long trip.
[00:06:02.960 --> 00:06:05.400]   - Bro, they kept trying to make you say, "Thank you."
[00:06:05.400 --> 00:06:06.240]   Remember?
[00:06:06.240 --> 00:06:08.480]   (laughing)
[00:06:08.920 --> 00:06:12.760]   - Look, you're not allowed to say thank you.
[00:06:12.760 --> 00:06:15.000]   (laughing)
[00:06:15.000 --> 00:06:19.320]   - Bro, I was good like, man.
[00:06:19.320 --> 00:06:21.080]   - Oh wait, that's my teammate now.
[00:06:21.080 --> 00:06:22.240]   - Who?
[00:06:22.240 --> 00:06:23.080]   Who?
[00:06:23.080 --> 00:06:24.200]   - Oh, yeah, oh yeah.
[00:06:24.200 --> 00:06:25.800]   - Oh yeah, does he play?
[00:06:25.800 --> 00:06:27.520]   - Yeah, he plays a little bit.
[00:06:27.520 --> 00:06:29.440]   - They were really tripping on saying, "Thank you."
[00:06:29.440 --> 00:06:31.400]   - No, that's, it was for the assist.
[00:06:31.400 --> 00:06:32.880]   - I know.
[00:06:32.880 --> 00:06:33.720]   - Hey.
[00:06:33.720 --> 00:06:34.560]   - Look, you didn't say it.
[00:06:34.560 --> 00:06:37.400]   Look, I know you didn't say it.
[00:06:37.400 --> 00:06:38.920]   (laughing)
[00:06:38.920 --> 00:06:40.400]   I knew it, I already knew it.
[00:06:40.400 --> 00:06:41.960]   (laughing)
[00:06:41.960 --> 00:06:44.680]   - U-S-A was crazy, but the food they gave us was so weak.
[00:06:44.680 --> 00:06:45.520]   Hey.
[00:06:45.520 --> 00:06:48.120]   - Look, no, you didn't say it.
[00:06:48.120 --> 00:06:49.760]   (laughing)
[00:06:49.760 --> 00:06:51.360]   You didn't say it.
[00:06:51.360 --> 00:06:53.120]   You didn't say it in fast enough.
[00:06:53.120 --> 00:06:54.440]   - Bro, that is crazy.
[00:06:54.440 --> 00:06:56.440]   - They was tripping on that, too.
[00:06:56.440 --> 00:06:58.480]   You had to say it like.
[00:06:58.480 --> 00:06:59.480]   - I mean, that was the thing.
[00:06:59.480 --> 00:07:01.320]   You was balling, you had MVP.
[00:07:01.320 --> 00:07:02.160]   - U-S-A?
[00:07:02.160 --> 00:07:03.000]   - You had MVP.
[00:07:03.000 --> 00:07:03.840]   - Yeah, nah, I remember.
[00:07:03.840 --> 00:07:05.480]   - I was back there, Matt Coleman.
[00:07:05.480 --> 00:07:09.640]   'Cause we had, it was like, we had a camp,
[00:07:09.640 --> 00:07:10.960]   and then we went to Team Europe.
[00:07:10.960 --> 00:07:12.600]   No, we had Peach Jam, I think.
[00:07:12.600 --> 00:07:13.960]   And then we went to some camp.
[00:07:13.960 --> 00:07:15.560]   And then we did Chile.
[00:07:15.560 --> 00:07:17.160]   And then we went to another Nike camp.
[00:07:17.160 --> 00:07:18.840]   We was with each other for like a month.
[00:07:18.840 --> 00:07:22.880]   And people, we got so tired of each other.
[00:07:22.880 --> 00:07:25.200]   Me and this dude got so tired of each other.
[00:07:25.200 --> 00:07:27.360]   And I remember, we was in Chile.
[00:07:27.360 --> 00:07:28.720]   And Chile was so crazy.
[00:07:28.720 --> 00:07:30.520]   Is that how you pronounce it, Chile?
[00:07:30.520 --> 00:07:31.880]   - Chile, yeah.
[00:07:31.880 --> 00:07:33.720]   - We was up there, and we had been with each other
[00:07:33.720 --> 00:07:34.560]   for like a month.
[00:07:34.560 --> 00:07:37.640]   And then we was like rooming together the whole time.
[00:07:37.640 --> 00:07:39.160]   We was so tired of each other.
[00:07:39.160 --> 00:07:40.360]   And I think that's the only time
[00:07:40.360 --> 00:07:42.360]   we really got into like a real fight.
[00:07:42.360 --> 00:07:43.320]   We got into like an argument.
[00:07:43.320 --> 00:07:44.160]   You remember that?
[00:07:44.160 --> 00:07:45.280]   - Yeah, we were in LA though.
[00:07:45.280 --> 00:07:46.760]   We were at the Skills Academy.
[00:07:46.760 --> 00:07:47.760]   - That's when we got into a fight?
[00:07:47.760 --> 00:07:49.480]   - Yeah, that was the last place.
[00:07:49.480 --> 00:07:50.320]   - That was the last place.
[00:07:50.320 --> 00:07:51.560]   We was so tired of each other.
[00:07:51.560 --> 00:07:54.760]   - It was all, all we could do was FaceTime.
[00:07:54.760 --> 00:07:56.840]   He wanted me to turn off the lights.
[00:07:56.840 --> 00:07:57.800]   - So this is what happened.
[00:07:57.800 --> 00:07:59.880]   So we had been with each other for like a month.
[00:07:59.880 --> 00:08:01.920]   And I'm tired, I'm trying to go to sleep.
[00:08:01.920 --> 00:08:03.600]   This dude on FaceTime with his girl.
[00:08:03.600 --> 00:08:05.280]   I'm like, "Bro, turn the light off."
[00:08:05.280 --> 00:08:06.120]   But he had the light on.
[00:08:06.120 --> 00:08:08.240]   I'm like, "Bro, you can't FaceTime with the light off?"
[00:08:08.240 --> 00:08:09.560]   He's like, "Nah, bro, I'm with the light on."
[00:08:09.560 --> 00:08:12.680]   So I get up out of my bed, and I go, "Turn the light off."
[00:08:12.680 --> 00:08:14.000]   Soon as I get back from my bed,
[00:08:14.000 --> 00:08:14.840]   he turned the light back on.
[00:08:14.840 --> 00:08:16.160]   I'm like, "Bro."
[00:08:16.160 --> 00:08:18.080]   So I get back up, turn the light off.
[00:08:18.080 --> 00:08:19.280]   He turned it back on again.
[00:08:19.280 --> 00:08:21.600]   And then like literally we both just was so like
[00:08:21.600 --> 00:08:23.120]   irritated with each other, we started fighting.
[00:08:23.120 --> 00:08:24.320]   Like actually like fighting.
[00:08:24.320 --> 00:08:25.800]   - For real, for real.
[00:08:25.800 --> 00:08:29.360]   - I think, yeah, I got a picture somewhere, but.
[00:08:29.360 --> 00:08:30.200]   - I do remember that.
[00:08:30.200 --> 00:08:31.880]   That was.
[00:08:31.880 --> 00:08:33.720]   - Hey, you was just, it was a trip, bro.
[00:08:33.720 --> 00:08:34.880]   - No, that was fun, though.
[00:08:34.880 --> 00:08:36.480]   - But going like from high school,
[00:08:36.480 --> 00:08:41.240]   so you was ranked like, I think like in the 20 to 30 range.
[00:08:41.240 --> 00:08:44.040]   But like every player you played against
[00:08:44.040 --> 00:08:46.280]   in your position, you was killing.
[00:08:46.280 --> 00:08:48.800]   But they still had you ranked so like,
[00:08:48.800 --> 00:08:50.960]   so they didn't have you ranked like high enough.
[00:08:50.960 --> 00:08:52.080]   Why do you think that was?
[00:08:52.080 --> 00:08:54.160]   Like what were people tripping about with you?
[00:08:54.160 --> 00:08:57.800]   And what was the like criticism you got in high school?
[00:08:57.800 --> 00:09:00.760]   - I think it was just more like just my,
[00:09:00.760 --> 00:09:03.560]   just my, nobody really thought that my game
[00:09:03.560 --> 00:09:05.640]   would translate to the next level, I think.
[00:09:05.640 --> 00:09:08.360]   And for me, it was just about showing it.
[00:09:08.360 --> 00:09:13.880]   I think once I got to college and played on TV
[00:09:13.880 --> 00:09:17.240]   and played in front of all these people,
[00:09:17.240 --> 00:09:18.840]   like my game, you know this,
[00:09:18.840 --> 00:09:22.120]   and my game hasn't really changed since high school.
[00:09:22.120 --> 00:09:26.280]   So it's like, it's really just since once I got
[00:09:26.280 --> 00:09:28.760]   on a national stage and played in front of more people,
[00:09:28.760 --> 00:09:31.920]   more eyes, more people saw my game could translate.
[00:09:31.920 --> 00:09:33.200]   So that's, that's really what it was.
[00:09:33.200 --> 00:09:36.040]   And I think it was just people and you know,
[00:09:36.040 --> 00:09:38.200]   people, people can, people can boost it.
[00:09:38.200 --> 00:09:39.920]   Like you should have been number one player
[00:09:39.920 --> 00:09:42.040]   in high school for the longest.
[00:09:42.040 --> 00:09:45.440]   But it's like, everything is, it's all politics.
[00:09:45.440 --> 00:09:46.760]   Like it's all politics.
[00:09:46.760 --> 00:09:49.480]   - And they'll find something like, if they don't,
[00:09:49.480 --> 00:09:51.960]   and it's so crazy 'cause they'll, they'll judge these kids.
[00:09:51.960 --> 00:09:53.560]   But like, look at what you're doing right now.
[00:09:53.560 --> 00:09:55.040]   Like they wasn't looking what you was doing right now.
[00:09:55.040 --> 00:09:57.240]   Every matchup you had against another good point guard,
[00:09:57.240 --> 00:09:58.280]   you was killing them.
[00:09:58.280 --> 00:10:01.320]   So, but they was basing everything off of potential.
[00:10:01.320 --> 00:10:03.240]   But like, that's what I don't get about like some
[00:10:03.240 --> 00:10:05.960]   of these rankers or analysts or whatever.
[00:10:05.960 --> 00:10:07.960]   Like you're doing the same exact thing.
[00:10:07.960 --> 00:10:08.920]   Your game hasn't changed.
[00:10:08.920 --> 00:10:10.760]   I remember one of the things they said was like,
[00:10:10.760 --> 00:10:12.280]   they didn't think you was athletic enough
[00:10:12.280 --> 00:10:14.400]   or couldn't get your shot off at the next level.
[00:10:14.400 --> 00:10:18.360]   But like, athleticism is more than just having balance.
[00:10:18.360 --> 00:10:19.320]   Like you ain't got no balance,
[00:10:19.320 --> 00:10:22.320]   but you got like every other athleticism you have.
[00:10:22.320 --> 00:10:23.160]   Like you're quick,
[00:10:23.160 --> 00:10:24.600]   you're one of the fastest players in the league.
[00:10:24.600 --> 00:10:26.800]   Like, and you get your shot off whenever you want.
[00:10:26.800 --> 00:10:28.360]   Your body control is crazy.
[00:10:28.360 --> 00:10:30.040]   And that's like, they was missing that.
[00:10:30.040 --> 00:10:32.680]   But like, we always knew that you was like,
[00:10:32.680 --> 00:10:33.880]   and I used to always tell you,
[00:10:33.880 --> 00:10:35.600]   like you're the number one point guard.
[00:10:35.600 --> 00:10:37.480]   And then, 'cause we used to debate
[00:10:37.480 --> 00:10:38.640]   who was number one and number two.
[00:10:38.640 --> 00:10:39.480]   You remember that?
[00:10:39.480 --> 00:10:40.960]   - For real, for real.
[00:10:40.960 --> 00:10:43.640]   I was only number one in the class and you was number two.
[00:10:43.640 --> 00:10:45.760]   - Who used to win one-on-one?
[00:10:45.760 --> 00:10:46.600]   Don't cap.
[00:10:46.600 --> 00:10:50.080]   All right, if we not gonna cap.
[00:10:50.080 --> 00:10:52.600]   All right, you got me.
[00:10:52.600 --> 00:10:55.160]   But it's only 'cause of height difference, man.
[00:10:55.160 --> 00:10:57.080]   You get to your spots and you just.
[00:10:57.080 --> 00:10:59.000]   - I used to kill every one-on-one.
[00:10:59.000 --> 00:11:00.600]   - Man, we gonna run it back now.
[00:11:00.600 --> 00:11:02.400]   - But, so we gonna go,
[00:11:02.400 --> 00:11:04.120]   we gonna transition to now college.
[00:11:04.120 --> 00:11:06.120]   So you, so you did your thing in high school,
[00:11:06.120 --> 00:11:07.920]   all of high school,
[00:11:07.920 --> 00:11:10.240]   and then you go to college at Oklahoma.
[00:11:10.240 --> 00:11:11.560]   Why did you pick Oklahoma?
[00:11:11.560 --> 00:11:16.920]   - Just being able to be me.
[00:11:16.920 --> 00:11:19.480]   Like, for real, like just being able to go to a school.
[00:11:19.480 --> 00:11:21.160]   Like, we were talking about that,
[00:11:21.160 --> 00:11:23.440]   like, picking our school, like we wanted to go places
[00:11:23.440 --> 00:11:26.960]   where we could be ourselves and be, I mean, just us.
[00:11:26.960 --> 00:11:30.360]   And I had trust in Coach Kruger and the staff
[00:11:30.360 --> 00:11:32.640]   that they were telling me,
[00:11:32.640 --> 00:11:34.480]   everything that they told me was gonna come true.
[00:11:34.480 --> 00:11:38.120]   And I mean, it kind of did.
[00:11:38.120 --> 00:11:41.320]   I had my whole plan to be there two years, like.
[00:11:41.320 --> 00:11:42.160]   - Yeah.
[00:11:42.160 --> 00:11:43.000]   - Like.
[00:11:43.000 --> 00:11:44.120]   - So you didn't even think you was gonna do
[00:11:44.120 --> 00:11:45.360]   what you did that first year?
[00:11:45.360 --> 00:11:48.800]   - I mean, I had thought it, but like,
[00:11:48.800 --> 00:11:51.000]   for me, I didn't want to put the pressure on.
[00:11:51.000 --> 00:11:51.840]   - Yeah.
[00:11:51.840 --> 00:11:53.000]   - I didn't want myself to go in, like.
[00:11:53.000 --> 00:11:55.200]   Like, for you, it was different, you know what I'm saying?
[00:11:55.200 --> 00:11:57.720]   Like, you were gifted, bro.
[00:11:57.720 --> 00:11:59.560]   Like, you had everything, you had everything.
[00:11:59.560 --> 00:12:01.000]   Like, for me, I had to go, like,
[00:12:01.000 --> 00:12:03.920]   I was thinking, like, two years, maybe.
[00:12:03.920 --> 00:12:07.440]   And if it happened, it happened.
[00:12:07.440 --> 00:12:09.640]   It happened the right way.
[00:12:09.640 --> 00:12:12.160]   And so, it's a blessing, bro, but.
[00:12:12.160 --> 00:12:13.480]   - Nah, it was crazy.
[00:12:13.480 --> 00:12:16.440]   I used to always tell people, like, from knowing you,
[00:12:16.440 --> 00:12:18.640]   when you're put in a situation where you can do your thing,
[00:12:18.640 --> 00:12:21.360]   like, organization gives you the keys.
[00:12:21.360 --> 00:12:23.840]   Whether that's Mocan, whether that's Oklahoma,
[00:12:23.840 --> 00:12:25.920]   whether that's, you know, the Atlanta Hawks,
[00:12:25.920 --> 00:12:27.520]   you're gonna be dominant.
[00:12:27.520 --> 00:12:29.760]   But, like, when the team tries to put you in a box,
[00:12:29.760 --> 00:12:30.880]   that's when you can't be Trey Young,
[00:12:30.880 --> 00:12:32.360]   and then you'll probably just be an average player.
[00:12:32.360 --> 00:12:34.560]   'Cause I remember, we was playing Team USA,
[00:12:34.560 --> 00:12:37.080]   and they had all these point guards ahead of you
[00:12:37.080 --> 00:12:39.520]   that they wanted the point guards just to distribute,
[00:12:39.520 --> 00:12:40.880]   not really look for their own shot,
[00:12:40.880 --> 00:12:43.760]   not shoot the deep threes or whatever.
[00:12:43.760 --> 00:12:45.760]   And you, like, you struggled in Team USA,
[00:12:45.760 --> 00:12:48.440]   and I used to, like, I just knew the whole time
[00:12:48.440 --> 00:12:50.080]   it was 'cause you weren't put in a situation
[00:12:50.080 --> 00:12:51.040]   where you could beat Trey.
[00:12:51.040 --> 00:12:51.880]   - Yeah.
[00:12:51.880 --> 00:12:52.720]   - But, like--
[00:12:52.720 --> 00:12:54.640]   - Yeah, nah, I don't know, it's like,
[00:12:54.640 --> 00:12:56.200]   we was in our room talking about it.
[00:12:56.200 --> 00:12:59.440]   Like, after games, like, I was hype, like, everything,
[00:12:59.440 --> 00:13:02.320]   and we won, but remember how we was talking?
[00:13:02.320 --> 00:13:05.840]   Like, we've been talking about this stuff since then, so.
[00:13:05.840 --> 00:13:08.320]   Nah, you right, like, if you put us in a box,
[00:13:08.320 --> 00:13:11.200]   like, it's hard for us to really, to flourish.
[00:13:11.200 --> 00:13:12.040]   - Right.
[00:13:12.040 --> 00:13:13.120]   - For our skills to show.
[00:13:13.120 --> 00:13:15.200]   - I'm glad we in situations now in the league
[00:13:15.200 --> 00:13:16.400]   where we can do our thing.
[00:13:16.400 --> 00:13:17.680]   You've been doing it, you know,
[00:13:17.680 --> 00:13:19.320]   I was just starting to kind of find my flow
[00:13:19.320 --> 00:13:22.320]   with Nicola and Jamal, but, like, you,
[00:13:22.320 --> 00:13:24.760]   from the moment you stepped in, you was balling.
[00:13:24.760 --> 00:13:26.520]   - Yeah, you've been out with injury,
[00:13:26.520 --> 00:13:28.120]   now you're getting back into it, you see it,
[00:13:28.120 --> 00:13:31.200]   like, as I've been watching you play, like,
[00:13:31.200 --> 00:13:32.800]   you're getting more, like, into it.
[00:13:32.800 --> 00:13:33.640]   - Starting to get it.
[00:13:33.640 --> 00:13:34.880]   - Yeah, you're starting to get into it,
[00:13:34.880 --> 00:13:37.800]   you can see the confidence, like, everybody has in you,
[00:13:37.800 --> 00:13:39.640]   like, they give you the rock, and it's,
[00:13:39.640 --> 00:13:42.120]   the coach has in you, like, that just, it makes,
[00:13:42.120 --> 00:13:43.120]   it brings the best out of you.
[00:13:43.120 --> 00:13:45.720]   - Nah, I do, like, the, like, coaches,
[00:13:45.720 --> 00:13:48.800]   man, like, the situation you're in plays such a key role
[00:13:48.800 --> 00:13:50.160]   into, like, who you can be as a player,
[00:13:50.160 --> 00:13:51.680]   and that's why I tell people, like,
[00:13:51.680 --> 00:13:54.040]   to talk about the league, like, my friends over there,
[00:13:54.040 --> 00:13:56.600]   but, like, there's so many cold players in the league
[00:13:56.600 --> 00:13:59.640]   that will never really be, like, who they could be
[00:13:59.640 --> 00:14:01.160]   just because of the situation, but, like,
[00:14:01.160 --> 00:14:04.120]   you go put 'em in, like, a run in the summertime,
[00:14:04.120 --> 00:14:06.200]   and they're gonna look amazing, you know what I'm saying?
[00:14:06.200 --> 00:14:07.040]   - Yeah.
[00:14:07.040 --> 00:14:08.560]   - And there's so many players like that,
[00:14:08.560 --> 00:14:11.400]   like, the one that comes to mind is Trey Van De Valk.
[00:14:11.400 --> 00:14:13.360]   Like, remember how cold he was, like--
[00:14:13.360 --> 00:14:14.200]   - Trey was nice.
[00:14:14.200 --> 00:14:15.920]   - Or, and then, like, he just doesn't,
[00:14:15.920 --> 00:14:17.000]   hasn't really found the situation,
[00:14:17.000 --> 00:14:19.640]   but there's so many players that's kind of like that,
[00:14:19.640 --> 00:14:20.960]   like, they just don't find the situation,
[00:14:20.960 --> 00:14:24.120]   so we're blessed, 'cause we're in good, good programs.
